"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - DHARMENDRA KUMAR","2 - SALEEM IQBAL SHERVANI","3 - KUNWAR SARVRAJ SINGH","4 - SUNITA SHAKYA","5 - IRSHAD ANSARI ADVOCATE","6 - OM VEER","7 - MOHD. ZARRAR KHAN","8 - JITENDRA SINGH YADAV","9 - NARESH SINGH SOLANKI","10 - PRAMOD KUMAR YADAV","11 - YOGENDRA KUMAR VERMA","12 - CAPTAIN P.C. SHARMA","13 - ARSHADURRAZA KHAN","14 - None of the Above","Total Votes Secured"
39,"PRI.PAT.KAKRA KHURD",434,388,0,822,316,274,0,590,590,0,250,9,171,141,0,1,0,3,0,2,5,0,1,7,590
40,PRI.PAT.ARJUNPUR,385,309,0,694,232,177,0,409,409,0,85,2,94,211,3,0,0,1,0,1,4,0,2,6,409
41,"PRI.PAT.ITAURIYA JALALPUR",306,269,0,575,215,180,0,395,395,0,124,1,263,4,1,0,0,0,1,0,0,0,0,1,395
42,PRI.PAT.VARKHERA,352,283,0,635,288,223,0,511,511,0,56,9,425,10,0,1,0,1,0,0,1,1,1,6,511
43,PRI.PAT.AMRATI,461,344,0,805,358,261,0,619,619,0,271,14,246,55,0,1,3,2,1,0,1,4,3,18,619
44,"PRI.PAT.SEKHAPUR R.N.1",648,483,0,1131,401,307,0,708,708,0,389,30,180,85,1,0,1,1,1,0,5,3,4,8,708
45,"PRI.PAT.SEKHAPUR R.N.2",313,312,0,625,222,155,0,377,377,0,49,47,247,15,0,0,2,1,0,2,1,2,1,10,377
46,"JU. HAI.VEVAL VARKATPUR R.N.1",842,698,0,1540,529,367,0,896,896,0,412,6,218,227,4,1,0,0,3,1,6,4,3,11,896
47,"JU. HAI. VEVAL VARKATPUR R.N.2",232,213,0,445,137,124,0,261,261,0,237,9,6,1,0,0,1,0,0,0,2,0,1,4,261
48,PRI.PAT.BHITAURA,304,249,0,553,246,167,0,413,413,0,112,5,233,52,0,0,0,1,0,1,2,2,1,4,413
49,"PRI.PAT.MAHAULIYA JALALPUR",314,277,0,591,224,205,0,429,429,0,40,0,17,357,3,0,2,0,0,0,2,2,2,4,429
50,PRI.PAT.MAHMOODPUR,736,622,0,1358,465,370,0,835,835,0,400,6,328,82,1,0,0,0,1,0,2,5,3,7,835
51,"PRI.PAT.BUDHAULI R.N.1",795,693,0,1488,441,376,0,817,817,0,116,4,261,410,3,1,0,0,2,1,6,5,3,5,817
52,"PRI.PAT.BUDHAULI R.N.2",397,317,0,714,258,185,0,443,443,0,124,4,287,11,1,0,0,1,0,0,2,4,1,8,443
53,"PRI.PAT.BHARATPUR URF AGARA",317,275,0,592,232,190,0,422,422,0,107,2,151,138,1,1,2,1,1,1,4,3,1,9,422
54,PRI.PAT.DHEERPUR,791,654,1,1446,558,440,0,998,998,0,161,5,169,619,6,2,1,3,1,3,6,6,6,10,998
55,PRI.PAT.SAHWAJPUR,406,330,0,736,294,226,0,520,520,0,262,41,164,31,2,1,2,2,0,1,4,0,2,8,520
56,"PRI.PAT.KHARDHA IK. KUNATANDA",322,270,0,592,221,174,0,395,395,0,259,5,94,23,0,1,0,0,0,0,3,0,1,9,395
57,"BLOCK KARYALA KUNATANDA",499,448,0,947,411,319,0,730,730,0,241,13,316,140,4,2,2,0,1,1,3,1,1,5,730
58,PRI.PAT.MANDHORA,562,468,0,1030,401,322,0,723,723,0,560,4,73,68,0,1,2,0,0,0,5,3,1,6,723
59,PRI.PAT.PAUNAGLA,449,365,0,814,300,237,0,537,537,0,183,6,77,259,2,0,0,0,0,0,5,0,1,4,537
60,"PRI.PAT.UDAYPUR BHIKAMPUR",295,232,0,527,242,172,0,414,414,0,335,4,60,3,0,0,1,1,0,2,3,0,1,4,414
61,"PRI.PAT.SIMRA KESAVPUR",452,375,0,827,338,246,0,584,584,0,451,3,75,47,1,1,0,1,0,0,0,2,0,3,584
62,"PRI.PAT.HAJIPUR KHAJURIYA",550,423,0,973,387,264,0,651,651,0,219,2,198,219,0,0,1,0,0,3,3,5,0,1,651
63,"PRI.PAT.SUNAURA MURARPUR",608,475,0,1083,569,257,0,826,826,0,296,5,419,68,2,1,0,3,1,1,2,4,6,18,826
64,"PRI.PAT. MANKAPUR",339,241,0,580,276,167,0,443,443,0,215,4,166,39,1,2,1,2,0,0,3,3,2,5,443
65,PRI.PAT.KANJACHKERPUR,395,338,0,733,329,205,0,534,534,0,190,12,122,182,5,0,0,1,0,0,6,3,0,13,534
66,PRI.PAT.SUNHA,680,562,0,1242,483,415,0,898,898,0,571,17,241,44,1,2,1,0,2,0,3,3,5,8,898
67,"PRI.PAT.RAVAL KLA KHURD",349,279,0,628,271,221,0,492,492,0,272,3,170,37,0,0,0,0,1,1,1,1,1,5,492
68,"PRI. PAT.MAHESHPUR",335,302,0,637,254,202,0,456,456,0,329,5,97,12,0,1,0,0,0,0,1,2,1,8,456
69,"JU.HAI. SCHOOL.FAJNAGAR ROOM NO. 1",564,493,0,1057,418,337,0,755,755,0,542,46,123,22,2,0,6,0,1,3,0,0,0,10,755
70,"JU.HAI. SCHOOL.FAJNAGAR ROOM NO. 2",518,445,0,963,359,251,0,610,610,0,305,124,138,12,1,1,0,1,0,1,5,5,6,11,610
71,"JU.HAI. SCHOOL.FAJNAGAR ROOM NO. 3",745,615,0,1360,464,342,0,806,806,0,106,279,295,113,1,0,1,0,0,1,3,1,2,4,806
72,"PRI. PAT.MACKPURKLAN",383,322,0,705,311,217,0,528,528,0,473,2,31,15,1,0,0,0,0,0,3,0,1,2,528
73,"PRI. PAT.MIRJAPUR",507,433,0,940,366,290,0,656,656,0,374,26,63,164,3,0,0,1,0,1,2,3,4,15,656
74,"JU.HAI. SCHOOL GULADIYA HAJARILAL",399,337,0,736,278,216,0,494,494,0,357,4,95,27,1,0,0,0,0,0,2,0,0,8,494
75,"PRI. PAT.MALLHPUR ROOM NO. 1",612,532,0,1144,368,252,0,620,620,0,107,245,244,1,2,2,1,2,1,1,2,3,2,7,620
76,"PRI. PAT.MALLHPUR ROOM NO. 2",631,582,0,1213,425,323,0,748,748,0,275,148,244,49,1,1,1,1,1,0,4,3,2,18,748
77,"PRI. PAT.SAHJANPUR HETRAM",698,573,0,1271,438,320,0,758,758,0,502,18,112,83,1,0,1,1,2,2,6,1,9,20,758
78,"JU.HAI.R.N.1 KHAJURIYA SAMPAT",628,504,0,1132,450,329,0,779,779,0,560,11,153,36,1,2,2,1,0,0,3,0,2,8,779
79,"JU.HAI.KHAJURIYA SAMPAT ROOM NO. 2",601,470,0,1071,409,292,0,701,701,0,210,6,141,328,1,1,0,1,0,5,1,3,2,2,701
80,"PRI. PAT. BIHARIPUR",374,320,0,694,292,248,0,540,540,0,245,2,83,200,2,0,1,0,0,0,1,1,1,4,540
81,"PRI. PAT. BAHGULPUR",418,320,0,738,294,203,0,497,497,0,147,14,245,86,1,0,1,0,1,1,0,0,0,1,497
82,PRI.PAT.NAGIRAMPUR,493,418,0,911,363,312,0,675,675,0,389,13,153,97,4,2,0,0,2,2,2,1,5,5,675
83,"PRI.PAT.BHAGWANPUR NIYAMATULLA",454,355,0,809,304,230,0,534,534,0,136,9,251,124,1,0,0,0,2,1,2,3,1,4,534
84,"PRI.PAT.BARUA HUSAINPUR",335,295,0,630,255,205,0,460,460,0,309,5,102,6,0,0,0,2,20,0,4,0,1,11,460
85,"PRI.PAT. BHAGWANPUR EK. ZIHI",330,322,0,652,243,214,0,457,457,0,241,8,80,107,1,1,1,0,3,1,3,3,0,8,457
86,"PRI.PAT.KALYANPUR TA. INAYATPUR",399,352,0,751,321,256,0,577,577,0,229,33,268,41,1,1,0,0,0,0,0,2,0,2,577
87,"JU.HAI.MEHTARPUR KAROD ROOM NO. 1",526,430,0,956,307,208,0,515,515,0,366,2,112,20,0,0,1,0,0,0,3,0,2,9,515
88,"JU.HAI.MEHTARPUR KAROD ROOM NO. 2",572,484,0,1056,372,283,0,655,655,0,336,121,101,65,1,1,3,0,0,0,3,2,3,19,655
89,"PRI.PAT.R.N.1 BHOJPUR RAMNATH",399,273,0,672,263,156,0,419,419,0,46,107,151,100,1,1,1,0,1,0,3,0,1,7,419
90,PRI.PAT.FATEHPUR,219,162,0,381,186,120,0,306,306,0,230,2,41,20,1,0,1,1,0,0,3,2,1,4,306
91,"PRI.PAT.BHAJPUR RAMNATH ROOM NO. 2",458,359,0,817,285,152,0,437,437,0,108,90,211,13,0,1,2,0,1,2,2,3,2,2,437
92,"PRI.PAT.BAHADURPUR KAROD",386,336,0,722,287,228,0,515,515,0,354,10,81,61,1,0,1,0,0,2,1,1,0,3,515
93,PRI.PAT.JATAUA,544,409,0,953,415,243,0,658,658,0,351,9,280,6,1,0,3,0,4,0,0,2,1,1,658
94,"PRI.PAT.VEERPUR EK. METARPUR",471,344,0,815,310,132,0,442,442,0,271,4,155,1,0,0,0,0,0,0,2,1,2,6,442
95,"PRI.PAT.HARDAYPUR URF ANDHARPURA",511,421,0,932,365,249,0,614,614,0,282,4,147,153,0,0,1,0,1,1,1,5,0,19,614
96,"JU.HAI.RAJAUPARSPUR ROOM NO. 1",793,648,0,1441,579,344,0,923,923,0,647,14,102,126,1,3,1,1,1,1,3,3,3,17,923
97,"JU.HAI.RAJAUPARSPUR ROOM NO. 2",784,656,0,1440,515,347,0,862,862,0,578,18,77,159,1,1,3,1,1,4,7,2,1,9,862
98,PRI.PAT.KESARPUR,400,317,0,717,319,174,0,493,493,0,180,12,247,36,2,1,0,0,1,3,1,3,1,6,493
99,"PRI.PAT.KARANPUR ELAKA. JED, SANKARPUR",301,244,0,545,226,137,0,363,363,0,178,7,105,61,0,1,1,0,0,0,4,2,0,4,363
100,PRI.PAT.RASUIYA,551,455,0,1006,402,302,0,704,704,0,362,7,218,84,1,1,1,0,0,0,9,4,4,13,704
101,PRI.PAT.MAGANPUR,207,183,0,390,190,130,0,320,320,0,292,4,14,7,0,0,0,0,0,0,2,0,1,0,320
102,"PRI.PAT.NAVADIYA DEHAJABTI",241,211,0,452,205,143,0,348,348,0,41,3,131,166,2,1,0,0,0,1,0,1,0,2,348
103,PRI.PAT.BAHANPUR,648,613,0,1261,429,275,0,704,704,0,63,56,341,219,6,0,1,0,3,2,3,3,2,5,704
104,PRI.PAT.SARKADA,763,599,1,1363,529,371,0,900,900,0,535,25,135,183,0,0,2,3,0,1,2,1,3,10,900
105,"PRI.PAT.MATIYA NAGLA",263,203,0,466,207,160,0,367,367,0,148,4,208,2,0,0,0,0,0,0,0,1,0,4,367
106,PRI.PAT.DIYOTHOKA,247,182,0,429,208,132,0,340,340,0,217,3,108,5,0,0,0,0,0,2,0,0,1,4,340
107,"PRI.PAT.JAGNIYA HARCHAL MUHAL",619,520,0,1139,435,340,0,775,775,0,413,29,124,181,1,1,0,3,0,3,6,1,2,11,775
108,"PRI.PAT.KIRATPUR PAREWA",416,325,0,741,300,234,0,534,534,0,163,8,112,242,2,0,0,0,1,0,0,0,2,4,534
109,PRI.PAT.BILHARA,465,381,0,846,388,296,0,684,684,0,407,6,120,135,1,0,1,0,0,0,2,5,0,7,684
110,PRI.PAT.NAUGWAN,789,694,0,1483,553,425,0,978,978,0,372,292,153,99,4,2,3,1,1,2,6,6,8,29,978
111,"KA.JU. HAI.JED ROOM NO. 1",543,423,0,966,216,128,0,344,344,0,220,30,78,5,2,0,1,0,0,0,2,1,2,3,344
112,"KA.JU. HAI.JED ROOM NO. 3",463,346,0,809,159,104,0,263,263,0,186,22,46,6,0,0,1,0,0,0,0,1,1,0,263
113,"KA.JU. HAI.JED ROOM NO. 2",521,408,0,929,243,143,0,386,386,0,38,127,174,37,1,0,1,1,3,0,0,0,2,2,386
114,"PRI.PAT. JED ROOM NO. 2",483,305,0,788,189,94,0,283,283,0,57,80,122,15,0,0,3,0,0,0,0,2,0,4,283
115,"PRI.PAT.SABDALPUR EK. JED",369,312,0,681,292,216,0,508,508,0,285,7,156,38,0,0,0,0,0,2,5,4,3,8,508
116,PRI.PAT.INAYATPUR,547,428,0,975,393,240,0,633,633,0,277,54,122,152,6,3,6,2,0,0,2,2,2,5,633
117,"PRI.PAT.SIGHAI KALAN",751,545,0,1296,557,325,0,882,882,0,7,68,718,17,1,2,2,0,0,1,0,6,54,6,882
118,"JU.HAI.DALPURA ROOM NO. 1",314,278,0,592,235,169,0,404,404,0,277,2,93,21,1,0,1,0,1,1,3,2,1,1,404
119,"PRI.PAT.BHASOKER MOHANPUR",195,166,0,361,156,112,0,268,268,0,206,12,26,16,1,1,0,0,0,0,2,0,0,4,268
120,"PRI.PAT.MAJHUA HETRAM",448,334,0,782,295,214,0,509,509,0,34,142,231,88,2,1,0,0,0,1,3,2,1,4,509
121,"PRI.PAT.SAHODA KURD",343,291,0,634,284,203,0,487,487,0,202,7,188,70,2,1,1,1,1,1,2,1,3,7,487
122,PRI.PAT.PADARATHPUR,553,440,0,993,403,321,0,724,724,0,18,324,362,8,2,0,2,1,0,1,3,1,0,2,724
123,PRI.PAT.KHIMPURA,377,284,0,661,291,189,0,480,480,0,30,190,238,18,0,0,0,0,0,0,1,2,0,1,480
124,"JU.HAI. DAKANI RAJPURI ROOM NO. 1",507,435,0,942,362,293,0,655,655,0,306,7,92,221,3,0,0,0,0,1,7,3,1,14,655
125,"JU.HAI. DAKANI RAJPURI ROOM NO. 2",871,698,0,1569,636,432,0,1068,1068,0,315,86,636,15,0,0,0,2,2,2,1,1,0,8,1068
126,"JU.HAI. DAKANI RAJPURI ROOM NO. 3",477,366,0,843,284,208,0,492,492,0,286,8,177,8,0,0,0,0,3,0,4,0,1,5,492
127,PRI.PAT.RAJPURI,254,208,0,462,215,132,0,347,347,0,143,8,176,3,0,0,2,1,1,1,4,0,2,6,347
128,PRI.PAT.GULABNAGAR,345,296,0,641,228,190,0,418,418,0,121,117,43,125,2,0,1,1,0,1,0,0,1,6,418
129,PRI.PAT.CHARPUR,597,497,0,1094,343,267,0,610,610,0,197,66,28,306,2,0,0,0,1,0,4,0,2,4,610
130,"PRI.PAT.MATHURAPUR MANJRA CHARPUR",162,134,0,296,139,107,0,246,246,0,48,4,183,3,0,0,0,2,0,0,0,2,1,3,246
131,PRI.PAT.KARUA,261,247,0,508,197,159,0,356,356,0,25,50,96,159,3,1,1,7,1,0,4,0,2,7,356
132,PRI.PAT.KAIRSADI,340,266,0,606,230,128,0,358,358,0,88,27,209,17,0,1,0,2,1,0,2,0,3,8,358
133,"PRI. PAT. ULEHATPUR MAJRA JAWAHARGUNJ",413,340,0,753,309,221,0,530,530,0,224,6,139,146,1,0,1,0,0,5,0,1,1,6,530
134,"PRI.PAT.BHAGWANTAPUR ROOM NO. 1",807,717,0,1524,431,390,0,821,821,0,121,404,181,78,10,0,1,1,2,1,4,2,5,11,821
135,"JU.HAI.BHAGWANTAPUR ROOM NO. 1",751,667,0,1418,414,350,0,764,764,0,11,536,182,6,9,2,3,2,3,0,2,2,4,2,764
136,"PRI.PAT.MEHTARPUR TIZASINGH ROOM NO. 1",882,659,0,1541,509,328,0,837,837,0,354,197,129,117,15,0,1,0,1,3,0,3,0,17,837
137,PRI.PAT.DHAURERA,665,513,0,1178,480,285,0,765,765,0,458,5,106,161,2,0,1,1,0,5,9,2,2,13,765
138,"PRI.PAT.MEHTARPUR TIZASINGH ROOM NO. 2",612,462,0,1074,394,253,0,647,647,0,6,167,389,7,56,0,1,0,0,2,0,3,5,11,647
139,"PRI.PAT.MEHTARPUR TIZASINGH ROOM NO. 3",592,403,0,995,328,150,0,478,478,0,4,236,195,8,21,0,1,3,0,1,1,2,2,4,478
140,"PRI.PAT.BADRA KASAMPUR MANJRA MANOHARPUR",363,292,0,655,279,218,0,497,497,0,49,2,72,366,1,0,0,0,0,0,1,1,2,3,497
141,PRI.PAT.KURMURI,471,426,0,897,394,319,0,713,713,0,354,1,147,179,2,2,0,2,3,1,9,3,3,7,713
142,"PRI.PAT.KAHTELI ROOM NO. 1",856,642,2,1500,499,285,0,784,784,0,586,8,138,22,0,3,1,1,3,0,1,4,5,12,784
143,"PRI.PAT.KAHTELI ROOM NO. 2",825,569,0,1394,419,148,0,567,567,0,133,180,218,24,0,1,0,0,0,0,2,2,2,5,567
144,"PRI.PAT.PIPRATHRA ROOM NO. 1",578,457,0,1035,351,276,0,627,627,0,254,66,163,122,3,1,3,2,0,1,2,1,1,8,627
145,"PRI.PAT.PIPRATHRA ROOM NO. 2",354,279,0,633,226,162,0,388,388,0,130,49,51,150,2,0,0,0,0,1,0,1,0,4,388
146,"PRI.PAT.VILAUA TA. NAGRIYA",721,654,0,1375,430,343,0,773,773,0,398,24,72,232,4,2,2,0,1,1,4,1,6,26,773
147,"PRI.PAT.KALYANPUR TA. VILAUA",328,273,0,601,248,183,0,431,431,0,311,9,62,30,2,0,3,1,0,1,1,2,1,8,431
148,PRI.PAT.MEVASAFOPUR,547,427,0,974,453,297,0,750,750,0,5,168,572,3,1,0,0,0,0,0,0,1,0,0,750
149,"PRI.PAT.NAD ANGANI",677,532,0,1209,458,335,0,793,793,0,135,324,282,32,1,1,4,0,0,2,1,4,3,4,793
150,"PRI.PAT.KANJA EK. PIPRATHRA",272,213,0,485,160,134,0,294,294,0,198,5,53,23,0,0,0,1,0,1,0,1,2,10,294
151,PRI.PAT.KHANPURA,457,344,0,801,357,220,0,577,577,0,389,5,66,104,1,2,0,0,0,1,1,2,3,3,577
152,"PRI.PAT.KIRATPUR DHEERI",459,347,0,806,349,223,0,572,572,0,97,5,301,125,5,1,0,2,2,1,11,7,2,13,572
153,"JU. HAI. GANGEPURA",376,301,0,677,224,174,0,398,398,0,302,6,63,3,1,1,0,0,0,0,0,0,0,22,398
154,"BIZGODAM CHATHIYA FAIZU",342,317,0,659,286,219,0,505,505,0,171,5,319,3,0,0,1,1,1,0,1,1,0,2,505
155,"PRI.PAT.GANGEPURA ROOM NO. 2",640,501,1,1142,348,282,0,630,630,0,381,4,164,72,2,0,0,1,0,0,3,0,3,0,630
156,PRI.PAT.HEMUPURA,503,434,0,937,322,250,0,572,572,0,267,2,117,166,2,0,3,0,0,2,4,2,4,3,572
157,"PRI.PAT.SAHEPUR BANIYAN ROOM NO. 1",876,717,0,1593,477,362,0,839,839,0,392,144,223,58,4,2,2,0,2,0,2,1,0,9,839
158,"PRI.PAT.SAHEPUR BANIYAN ROOM NO. 2",264,256,0,520,182,170,0,352,352,0,92,22,60,160,4,0,1,1,0,1,2,1,4,4,352
159,PRI.PAT.TISUA.R.N.1,596,513,0,1109,325,224,0,549,549,0,178,171,126,58,2,2,0,0,0,1,2,2,3,4,549
160,PRI.PAT.TISUA.R.N.2,568,470,0,1038,196,142,0,338,338,0,133,90,94,12,0,1,0,0,0,0,1,1,0,6,338
161,PRI.PAT.TISUA.R.N.3,584,439,0,1023,295,223,0,518,518,0,156,63,250,37,0,0,1,1,0,1,1,3,2,3,518
162,PRI.PAT.TISUA.R.N.4,588,519,0,1107,344,282,0,626,626,0,202,36,257,113,2,3,0,0,2,1,2,3,3,2,626
163,"JU. HAI. SCHOOL TISUA",693,609,0,1302,285,186,0,471,471,0,30,78,152,184,0,2,3,1,1,2,6,1,4,7,471
164,"PRI.PAT.JADAUPUR (GOLI NAGLA)",440,340,0,780,243,179,0,422,422,0,232,8,101,71,0,0,0,1,1,0,5,1,0,2,422
165,"PRI.PAT.HASANGUNJ MANJRA ,MADIYA BHGWANTAPUR",506,420,0,926,367,261,0,628,628,0,249,11,288,28,4,3,1,3,2,1,5,5,5,23,628
166,"PRI.PAT.RIYONA KLAN",728,568,0,1296,476,300,0,776,776,0,271,21,426,34,3,1,2,0,3,1,1,0,4,9,776
167,PRI.PAT.KAJRAOUTA,534,435,0,969,319,231,0,550,550,0,274,6,131,123,0,1,0,0,0,1,4,0,2,8,550
168,"AA. PA. PAT. FATEHGUNJ PURVI R. N. 1",889,721,0,1610,431,285,0,716,716,0,399,51,238,8,2,2,2,0,2,2,0,4,2,4,716
169,"AA. PA. PAT. FATEHGUNJ PURVI R. N. 2",496,397,0,893,187,128,0,315,315,0,212,11,69,17,0,1,1,0,1,2,1,0,0,0,315
170,"AA. PA. PAT. FATEHGUNJ PURVI R. N. 3",491,453,1,945,193,160,0,353,353,0,262,8,42,34,1,0,0,0,1,0,1,0,1,3,353
171,"KRASAK SAMAJ I. CO. R. N. 1 FATEHGUNJ PURVI",608,435,0,1043,195,129,0,324,324,0,246,3,35,29,1,0,1,0,3,1,0,3,0,2,324
172,"KRASAK SAMAJ I. CO. R. N. 2 FATEHGUNJ PURVI",658,529,0,1187,266,210,0,476,476,0,367,9,52,33,1,3,0,0,2,0,2,1,1,5,476
173,"KRASAK SAMAJ I. CO. R. N. 3 FATEHGUNJ PURVI",716,582,1,1299,287,219,0,506,506,0,294,14,109,60,1,1,2,0,3,2,4,3,1,12,506
174,PRI.PAT.VEELPUR,545,453,0,998,298,264,0,562,562,0,127,14,24,372,6,0,0,3,0,3,9,1,1,2,562
175,"KRASAK SAMAJ I. CO. R. N. 5 FATEHGUNJ PURVI",714,485,0,1199,174,143,0,317,317,0,101,18,184,10,0,0,0,0,0,0,0,0,0,4,317
