"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - MAHENDRA KUMAR","2 - VINOD KUMAR SONKAR","3 - SHAILENDRA KUMAR","4 - SURESH PASI","5 - MALTI DEVI","6 - RAJENDRA SONKAR","7 - SHRIPAL","8 - SWARNALATA SUMAN","9 - CHHEDDOO","10 - BEENA RANI","11 - MOHAN LAL","12 - None of the Above","Total Votes Secured"
13,"P.V. TIWARIPUR ROOM NO.3",555,479,0,1034,281,239,0,520,402,0,14,208,235,35,2,3,0,2,0,5,7,9,520
14,"P.V. KIYAVAN",635,519,0,1154,375,279,0,654,535,0,9,152,419,43,4,1,1,0,1,6,7,11,654
15,"NAVEEN P.V. JIRVABAG KIYANVA",531,452,0,983,231,244,0,475,475,0,5,265,164,10,2,5,0,0,4,7,7,6,475
16,"P.V. LATTARA ROOM NO. 01",612,542,0,1154,323,355,0,678,678,0,36,258,317,22,4,3,7,3,8,4,5,11,678
17,"P.V. LATTARA ROOM N, 2",403,323,0,726,217,130,0,347,347,0,13,168,89,56,0,4,0,2,1,4,6,4,347
18,"P.V. MIRGADAVA",641,552,0,1193,345,261,0,606,606,0,24,250,296,22,2,5,2,1,0,3,0,1,606
19,"CH.M.U.M.V. JWALAMUKHI MIRGADVA",754,565,0,1319,412,290,0,702,552,0,25,259,329,46,4,7,5,3,0,3,7,14,702
20,"P.V. ANTAMAU",576,475,0,1051,289,284,0,573,271,0,18,228,250,36,6,4,3,3,2,6,10,7,573
21,"P.V. SAMASPUR SAILVARA ROOM NO. 01",533,460,0,993,255,239,0,494,490,0,15,147,273,34,2,2,1,5,2,0,7,6,494
22,"P.V. SAMASPUR SAILVARA ROOM NO. 02",312,272,0,584,130,123,0,253,253,0,2,63,158,7,1,5,2,3,3,3,3,3,253
23,"P.V. KARAMGANJ",482,440,0,922,239,244,0,483,483,0,11,147,270,10,0,5,4,7,2,3,10,14,483
24,"P.V. BAJAHABHIT",808,723,1,1532,515,418,0,933,909,0,9,72,778,55,1,1,0,2,1,2,5,7,933
25,"P.V. CHAURAHI",530,447,0,977,340,285,0,625,567,0,18,164,334,73,2,6,8,2,2,3,7,6,625
26,"P.V. ATAULIYA",776,648,1,1425,424,377,0,801,801,0,11,180,469,84,7,1,5,6,4,8,10,16,801
27,"P.V.bariyava room no. 01",607,505,0,1112,312,254,0,566,556,0,10,175,333,17,9,3,1,4,1,2,6,5,566
28,"P.V. BARIYAVAN",681,565,0,1246,313,231,0,544,300,0,30,188,200,85,0,4,5,0,6,4,10,12,544
29,"P.V. HINAHU ROOM NO. 01",489,387,0,876,228,193,0,421,400,0,23,171,173,36,0,4,3,1,1,2,1,6,421
30,"P.V. HINAHU ROOM NO. 02",448,450,0,898,201,185,0,386,386,0,19,164,113,65,1,5,2,1,1,1,4,10,386
31,"P.V. SINDHAUL",232,203,0,435,113,133,0,246,246,0,39,83,99,11,2,5,0,0,1,1,2,3,246
32,"P.V. KALAKANKAR ROOM NO. 01",618,492,0,1110,229,171,0,400,328,0,95,163,71,38,4,4,0,4,1,1,8,11,400
33,"P.V. KALAKANKAR ROOM N. 2",434,384,0,818,168,176,0,344,303,0,94,67,108,57,3,1,2,2,0,1,0,9,344
34,"P.V. SANGARAMPUR",568,471,0,1039,267,191,0,458,458,0,16,91,249,69,8,2,5,2,1,6,2,7,458
35,"P.V. KISHUNDASPUR",340,295,0,635,179,165,0,344,100,0,6,233,73,3,2,2,0,0,3,4,9,9,344
36,"P.V. SHAHABAD ROOM N. 1",545,438,1,984,286,274,0,560,360,0,9,178,302,31,0,1,2,5,4,4,8,16,560
37,"P.V. SHAHABAD ROOM N. 2",477,408,1,886,235,189,0,424,424,0,17,183,172,26,0,2,1,8,1,1,3,10,424
38,S.S.S.BABHANPUR,658,600,0,1258,302,267,0,569,500,0,31,185,216,111,2,4,1,1,0,2,8,8,569
39,"P.V. BABHANPUR ROOM N. 1",480,368,0,848,287,221,0,508,508,0,12,342,83,62,0,3,0,1,1,2,1,1,508
40,"P.V. BABHANAPUR ROOM N. 2",543,452,0,995,221,186,0,407,407,0,12,35,208,129,1,0,2,3,0,4,4,9,407
41,"KANYA P.V. BABHANAPUR ROOM N, 1",516,433,1,950,250,230,0,480,400,0,6,83,315,41,2,0,5,1,1,1,5,20,480
42,"KANYA P.V. BABHANPUR ROOM N. 2",645,511,1,1157,331,219,0,550,550,0,22,216,242,50,3,1,0,5,0,1,3,7,550
43,"I.C. MANIKPUR ROOM N. 1",655,587,2,1244,265,225,0,490,278,0,11,159,250,55,2,1,1,2,0,2,3,4,490
44,"I.C. MANIKPUR ROOM N. 2",572,451,0,1023,238,241,0,479,400,0,38,52,348,32,0,0,0,3,0,1,1,4,479
45,"I.C. MANIKPUR ROOM N. 3",860,659,5,1524,370,310,0,680,410,0,12,349,226,56,5,3,1,3,4,6,4,11,680
46,"P.V. CHAUKAPARPUR ROOM NO. 01",572,442,1,1015,250,166,0,416,300,0,11,177,145,50,3,7,4,0,3,2,9,5,416
47,"P.V. CHAUKAPARPUR ROOM NO. 02",454,429,0,883,216,174,0,390,390,0,29,116,218,14,1,2,0,1,0,0,3,6,390
48,"P.V. DADAULI ROOM NO.1",740,637,1,1378,329,345,0,674,674,0,15,278,243,92,5,12,0,2,4,2,11,10,674
49,"P.V. DADAULI ROOM N. 2",421,341,0,762,215,180,0,395,229,0,17,172,156,31,1,6,1,2,0,2,2,5,395
50,"P.V. LAUNDA",333,307,0,640,137,166,0,303,190,0,10,142,102,26,3,8,4,0,0,2,2,4,303
51,"P.V. AIMASBHAU",613,525,0,1138,385,305,0,690,561,0,16,385,196,70,2,2,1,2,0,1,6,9,690
52,"P.V. YADAVPATTI ROOM N. 01",539,487,0,1026,251,286,0,537,530,0,10,115,222,129,2,5,3,6,10,6,13,16,537
53,"P.V. YADAVPATTI ROOM N. 02",313,244,1,558,132,125,0,257,257,0,19,43,175,8,2,1,0,3,2,1,2,1,257
54,"P.V. MUBARAKPUR ROOM NO. 1",818,676,0,1494,342,378,0,720,720,0,20,280,330,35,5,3,3,3,4,10,8,19,720
55,"P.V. MUBARAKPUR ROOM NO. 02",227,197,0,424,97,84,0,181,150,0,0,64,105,5,0,2,1,0,1,0,1,2,181
56,"P.V. MAMAULI",382,315,0,697,215,192,0,407,400,0,6,142,166,76,3,3,2,1,2,1,0,5,407
57,"P.V. KHAMSARA ROOM NO. 01",679,550,0,1229,274,242,0,516,516,0,8,143,302,19,1,6,1,2,3,1,9,21,516
58,"P.V. KHAMSARA ROOM NO. 02",470,372,0,842,167,130,0,297,203,0,4,26,216,19,2,1,1,1,3,4,7,13,297
59,"P.V. GOTANI ROOM N. 1",571,474,1,1046,298,278,0,576,437,0,7,186,332,9,1,4,1,0,4,5,6,21,576
60,"P.V. GOTANI ROOM N. 2",470,370,1,841,156,138,0,294,271,0,35,36,207,13,0,1,0,0,0,0,0,2,294
61,"P.V. MIRIYA ROOM NO. 01",729,616,1,1346,341,314,0,655,423,0,25,189,377,42,3,4,0,0,2,2,3,8,655
62,"P.V. MIRIYA ROOM NO. 02",859,715,0,1574,345,294,0,639,136,0,9,176,390,13,5,3,3,3,1,8,12,16,639
63,"P.V. MAUDARA ROOM N. 1",631,499,0,1130,284,256,0,540,540,0,5,157,316,32,1,1,3,1,2,6,8,8,540
64,"P.V. MAUDARA ROOM N. 2",298,243,0,541,116,114,0,230,150,0,3,101,104,9,2,2,0,1,0,2,4,2,230
65,"P.V. MAUDARA ROOM NO. 03",809,695,0,1504,333,264,0,597,522,0,10,176,345,27,6,5,0,2,1,11,6,8,597
66,"P.V. BULAKIPUR",550,454,0,1004,440,348,0,788,780,0,8,171,558,30,1,0,4,3,2,2,4,5,788
67,"P.V. AMILAHA",408,333,0,741,239,215,0,454,454,0,9,76,342,15,2,2,2,1,1,0,1,3,454
68,"P.BH. TAJUDDINPUR",686,589,0,1275,393,391,0,784,534,0,15,77,642,35,3,2,1,0,0,3,2,4,784
69,"P.V. KARENTI",696,597,0,1293,443,406,0,849,847,0,13,175,611,22,2,4,0,0,0,8,4,10,849
70,"P.V. DILERGANJ ROOM N. 1",894,752,4,1650,343,371,0,714,714,0,34,190,419,34,3,5,2,3,3,9,6,6,714
71,"P.V. DILERGANJ ROOM NO. 02",707,639,1,1347,295,300,0,595,595,0,23,164,363,16,6,3,3,2,0,1,6,8,595
72,"P.V. SUJAULI ROOM N. 1",608,512,0,1120,262,224,0,486,304,0,18,49,405,12,0,0,0,0,0,0,2,0,486
73,"P.V. SUJAULI ROOM NO. 02",482,377,0,859,281,220,0,501,501,0,2,44,445,6,2,1,0,0,0,0,1,0,501
74,"P.V. SHAHAVPUR",830,754,0,1584,500,220,0,720,600,0,13,438,183,46,2,3,1,8,7,3,5,11,720
75,"R.N.I.KA.PURE DHANAU ROOM NO. 01",784,632,0,1416,299,289,0,588,588,0,10,131,349,52,4,6,6,1,2,6,6,15,588
76,"RAM NARESH I.C. PURE DHANAU ROOM N. 2",757,662,0,1419,397,338,0,735,735,0,17,287,347,47,2,6,6,1,1,4,10,7,735
77,"P.V. KUSAAHIL DEEH ROOM N. 1",589,494,0,1083,283,236,0,519,519,0,13,209,197,62,10,4,0,3,2,5,7,7,519
78,"P.V. KUSAAHIL DEEH ROOM N. 2",471,409,0,880,184,155,0,339,339,0,18,120,155,38,1,0,1,2,1,0,3,0,339
79,"P.V. KUSAHIL BAZAR",542,456,1,999,331,298,0,629,629,0,6,132,336,134,0,1,0,5,0,2,8,5,629
80,"P.V. RADHAULI",867,650,0,1517,533,369,0,902,902,0,40,58,709,80,1,0,3,3,0,2,2,4,902
81,"P.V. KESHAVPUR",414,339,0,753,226,191,0,417,417,0,5,130,235,23,3,1,1,1,0,5,6,7,417
82,"P.V. JAKHAMAI ROOM NO. 01",473,396,1,870,236,227,0,463,463,0,16,172,203,45,0,4,0,3,1,6,9,4,463
83,"P.V. JAKHAMAI ROOM NO. 02",534,431,1,966,225,181,0,406,406,0,13,127,204,34,0,5,0,6,2,3,3,9,406
84,"P.V. SAHUMAI",699,581,1,1281,272,329,0,601,601,0,11,233,212,100,6,3,2,3,3,2,12,14,601
85,"P.V. MAVAIKALA",811,642,1,1454,377,350,0,727,727,0,60,120,337,148,4,4,2,4,2,12,13,21,727
86,"P.V. ITAURA",691,551,1,1243,323,296,0,619,519,0,13,282,233,54,5,4,4,1,4,5,4,10,619
87,"P.V. PEERANAGAR ROOM N. 1",479,407,0,886,227,238,0,465,465,0,13,190,164,78,1,3,0,3,3,1,4,5,465
88,"P.V. PEERANAGAR ROOM N. 2",550,457,0,1007,235,223,0,458,458,0,30,322,58,33,1,2,2,1,0,3,2,4,458
89,"JANTA U.M.V. BARAI ROOM NO. 1",540,439,0,979,244,187,0,431,431,0,30,107,208,45,2,9,0,0,2,3,4,21,431
90,"JANTA U.M.V. BARAI ROOM N. 02",469,427,0,896,193,178,0,371,371,0,79,46,142,93,0,1,0,4,1,1,0,4,371
91,"JANTA U.M.V. BARAI ROOM NO. 3",739,728,0,1467,400,207,0,607,607,0,130,14,295,148,2,1,0,4,0,1,4,8,607
92,"SADHAN SAHKARI SAMITI ITAURA BARAI",661,529,2,1192,322,205,0,527,527,0,23,62,266,158,1,5,3,4,1,2,2,0,527
93,"P.V. PANAH NAGAR BARAI ROOM N. 1",804,667,0,1471,402,350,0,752,752,0,41,110,470,86,3,6,1,4,2,7,7,15,752
94,"P.V. PANAH NAGAR BARAI ROOM N. 2",742,630,0,1372,478,430,0,908,908,0,78,155,596,22,2,9,4,5,6,6,9,16,908
95,"KULDEV B.J.H. MAHMADPUR BARAI",346,224,0,570,152,133,0,285,285,0,6,128,135,2,1,1,1,1,1,3,3,3,285
96,"T.P. I.C. KUNDA ROOM N. 1",663,491,0,1154,298,162,0,460,360,0,10,202,227,5,2,1,0,1,1,0,2,9,460
97,"T.P. I.C. KUNDA ROOM N. 2",274,232,0,506,114,93,0,207,207,0,12,137,49,2,0,1,0,2,2,0,0,2,207
98,"T.P.I.C. KUNDA ROOM N. 3",771,639,0,1410,264,196,0,460,460,0,11,306,124,5,0,3,2,0,0,1,3,5,460
99,"S.I.C. PURANI IMARAT ROOM N. 03",535,469,0,1004,207,153,0,360,360,0,18,181,100,43,2,4,4,0,3,0,2,3,360
100,"S.I.C. PURANI IMARAT ROOM N. 04",360,352,1,713,168,139,0,307,307,0,22,139,125,16,1,0,0,0,1,0,0,3,307
101,"P.V. KUNDA ROOM N.1",807,698,0,1505,441,266,0,707,707,0,45,306,253,76,1,3,2,15,0,2,3,1,707
102,"P.V. KUNDA ROOM N. 2",511,434,0,945,242,139,0,381,381,0,21,189,107,44,6,1,1,6,0,0,1,5,381
103,"P.V. KUNDA ROOM N. 3",472,401,1,874,239,174,0,413,413,0,22,241,122,21,2,0,1,1,0,0,0,3,413
104,"P.V. RAJANPUR ROOM N.1",552,395,0,947,446,250,0,696,696,0,31,185,398,52,2,10,2,2,1,4,5,4,696
105,"P.V. RAJANPUR ROOM N. 2",436,347,0,783,304,244,0,548,548,0,8,115,300,102,0,6,0,1,2,5,5,4,548
106,"P.V. KUNDA(NAYA BHAVAN) ROOM NO.1",471,372,0,843,229,165,0,394,394,0,31,160,105,89,1,2,1,2,0,0,1,2,394
107,"P.V. KUNDA(NAYA BHAVAN) ROOM NO.2",580,510,1,1091,285,209,0,494,494,0,36,262,120,48,3,4,1,6,1,2,3,8,494
108,"P.V. FAREDUPUR ROOM N. 1",601,516,0,1117,300,190,0,490,490,0,13,271,143,32,1,1,2,6,1,5,4,11,490
109,"P.V. FAREDUPUR ROOM N. 2",481,384,0,865,243,163,0,406,406,0,10,232,133,18,0,2,0,2,0,2,3,4,406
110,"S.I.C. PURANI IMARAT KUNDA ROOM N. 1",811,679,0,1490,424,327,0,751,751,0,16,316,338,34,2,5,2,4,0,7,6,21,751
111,"S.I.C. PURANI IMARAT ROOM N. 02",457,354,0,811,176,115,0,291,291,0,23,108,115,31,1,0,0,7,0,0,2,4,291
112,"P.V. PURANA KUNDA ROOM N. 01",443,358,0,801,286,207,0,493,493,0,12,201,226,37,0,2,4,2,3,0,2,4,493
113,"T.P.I.C. KUNDA ROOM NO. 4",547,418,0,965,289,191,0,480,480,0,2,297,134,27,2,2,3,2,1,2,3,5,480
114,"P.V. TILAURI VIKRAMPUR",694,560,0,1254,368,233,0,601,601,0,6,283,213,77,4,7,2,1,0,2,4,2,601
115,"P.V. AGHIYA",755,618,0,1373,367,360,0,727,700,0,45,122,386,124,5,5,3,1,2,7,6,21,727
116,"P.V. KARIMNAGAR CHAUSA",724,597,0,1321,338,302,0,640,640,0,12,265,282,26,1,7,3,2,8,8,14,12,640
117,"P.V. CHAUNSA",583,488,0,1071,372,244,0,616,616,0,10,190,352,30,5,4,1,3,6,4,6,5,616
118,"P.V. RAHVAI ROOM N. 1",630,468,0,1098,254,210,0,464,464,0,18,178,208,20,7,5,2,3,1,8,5,9,464
119,"P.V. RAHVAI ROOM N. 2",420,367,0,787,176,171,0,347,347,0,22,84,188,38,1,3,0,0,2,2,3,4,347
120,"P.V. RAHVAI ROOM NO. 3",613,595,0,1208,181,240,0,421,421,0,69,17,258,60,1,0,1,4,0,2,3,6,421
121,"SANJAY GANDHI J.H. SCHOOL RAHAVAI",504,414,0,918,203,166,0,369,369,0,12,176,128,30,0,2,3,4,2,2,4,6,369
122,"S.S.S. MAULI ROOM N. 1",777,649,0,1426,370,237,0,607,607,0,31,209,308,36,2,4,2,3,4,2,4,2,607
123,"S.S.S. MAULI ROOM N. 2",647,552,0,1199,186,230,0,416,416,0,65,40,224,70,2,2,0,1,3,3,4,2,416
124,"P.V. MAULI",726,601,0,1327,370,220,0,590,590,0,11,68,441,33,2,3,3,6,3,8,4,8,590
125,"P.V. BENTI",904,758,0,1662,408,313,0,721,721,0,5,84,558,38,4,4,3,4,1,5,5,10,721
126,"P.V. DEVIGARH BENTI",779,580,0,1359,700,415,0,1115,1100,0,6,132,937,32,0,2,0,0,3,1,1,1,1115
127,"P.M.V. BENTI ROOM N. 01",355,267,0,622,238,168,0,406,406,0,3,54,321,16,1,2,0,0,0,4,1,4,406
128,"PU.MA.V. BENTI ROOM NO. 02",738,608,0,1346,439,387,0,826,826,0,28,135,569,62,1,3,1,9,3,1,5,9,826
129,"P.V.N.BH. BENTI ROOM NO. 01",682,523,0,1205,410,341,0,751,751,0,11,41,657,17,0,0,1,1,0,4,6,13,751
130,"P.V. NAYA BHAVAN BENTI ROOM N. 2",291,219,0,510,214,137,0,351,351,0,4,41,293,3,0,1,0,0,0,2,2,5,351
131,"P.V. SHAHPUR ROOM NO. 01",717,589,0,1306,369,312,0,681,681,0,10,147,469,22,2,4,2,2,3,5,3,12,681
132,"P.V. SHAHAVPUR ROOM N. 2",612,463,0,1075,357,267,0,624,624,0,11,103,473,13,1,2,1,3,0,5,0,12,624
133,"P.V. BANEMAU ROOM NO. 01",499,410,0,909,368,247,0,615,615,0,0,28,576,6,2,0,0,0,0,1,0,2,615
134,"P.V. BANEMAU ROOM N. 2",521,430,0,951,378,293,0,671,671,0,3,56,600,2,1,0,1,1,0,2,4,1,671
135,"P.V. LAUVA SUKHDEVPUR",400,297,0,697,306,228,0,534,534,0,0,17,508,9,0,0,0,0,0,0,0,0,534
136,"P.BH. MOHADDINAGAR",817,671,1,1489,492,402,0,894,894,0,17,118,662,77,2,5,2,2,2,2,3,2,894
137,"P.V. MOHADDINAGAR",866,673,0,1539,393,367,0,760,760,0,6,129,532,70,1,7,0,0,2,3,5,5,760
138,"P.V. BALIPUR",478,428,0,906,205,212,0,417,400,0,7,110,249,13,2,2,0,3,3,3,7,18,417
139,"P.V.  MAHEVA MOHANPUR",514,484,0,998,275,267,0,542,542,0,32,44,408,37,1,1,0,6,1,4,4,4,542
140,"I.C. HATHIGAVAN ROOM N. 01",778,616,0,1394,344,286,0,630,380,0,39,193,342,19,4,6,2,1,2,6,8,8,630
141,"I.KA.HATHIGAVAN ROOM NO. 02",533,420,0,953,249,196,0,445,302,0,3,163,204,40,3,4,2,2,3,4,6,11,445
142,"I,C, HATHIGANVA ROOM N. 03",662,532,1,1195,279,239,0,518,318,0,8,213,248,20,2,4,4,13,1,0,1,4,518
143,"P.V. HATHIGAVA ROOM NO. 01",592,468,1,1061,375,272,0,647,413,0,10,117,459,46,2,4,1,1,2,1,3,1,647
144,"P.V. HATHIGANVA ROOM N. 02",573,460,2,1035,376,270,0,646,471,0,8,138,453,31,0,2,3,2,1,2,2,4,646
145,"P.V. PURANEMAU ROOM NO. 01",724,563,8,1295,447,295,0,742,530,0,1,32,697,10,0,1,0,0,0,0,1,0,742
146,"P.V. PURANEMAU ROOM NO. 02",755,615,13,1383,345,344,0,689,580,0,2,26,648,11,1,1,0,0,0,0,0,0,689
147,"P.V. PURANEMAU ROOM NO. 03",724,584,0,1308,495,412,0,907,500,0,4,66,824,10,0,1,0,0,0,2,0,0,907
148,"P.V. GAYASPUR ROOM N. 1",724,617,1,1342,377,291,0,668,413,0,31,50,475,91,2,2,1,1,1,2,3,9,668
149,"P.V. GAYASPUR ROOM N. 2",714,666,0,1380,380,297,0,677,513,0,26,64,495,53,6,1,2,2,3,4,5,16,677
150,"P.V. MAJHILGANV ROOM N. 1",837,683,0,1520,350,277,0,627,509,0,5,184,336,47,4,7,3,3,3,9,9,17,627
151,"P.V. MAJHILGAVAN ROOM N0. 02",595,505,0,1100,338,264,0,602,408,0,31,195,303,56,3,1,0,4,1,1,3,4,602
152,"P.V. MAJHILGANV ROOM N0. 03",377,289,2,668,223,123,0,346,286,0,11,166,145,18,0,0,0,0,0,1,2,3,346
153,"P.V. MAJHILGANV ROOM N0. 04",914,720,0,1634,335,254,0,589,429,0,70,142,278,75,4,2,2,2,2,2,2,8,589
154,"P.V. JAMETHI ROOM NO. 01",649,550,0,1199,277,262,0,539,470,0,7,161,290,18,7,0,3,4,1,9,14,25,539
155,"P.V. JAMETHI ROOM NO. 02",465,390,2,857,224,200,0,424,323,0,3,130,252,25,0,3,3,3,0,0,2,3,424
156,"P.V. JAMETHI ROOM N. 3",361,337,0,698,200,227,0,427,280,0,2,56,281,42,0,3,18,9,2,5,3,6,427
157,"P.V. JAMETHI ROOM NO 4",675,506,0,1181,379,278,0,657,470,0,5,205,362,28,4,5,18,3,1,5,9,12,657
158,"P.V. JAMETHI ATIRIKT ROOM",278,253,0,531,150,100,0,250,150,0,4,96,130,7,2,1,1,1,1,0,3,4,250
159,"P.V. PURE LALSAHAB",586,519,0,1105,237,207,0,444,238,0,19,200,154,50,0,2,1,1,0,3,9,5,444
160,"P.V. SARIYANVA ROOM N. 01",479,408,1,888,232,277,0,509,430,0,39,12,422,31,1,1,1,0,1,0,0,1,509
161,"P.V. SARIYANVA ROOM N. 02",681,540,0,1221,330,272,0,602,602,0,6,218,269,74,4,6,0,2,0,8,5,10,602
162,"P.V. TAJPUR ROOM NO. 01",477,418,0,895,264,223,0,487,400,0,4,138,202,105,3,2,1,1,6,7,4,14,487
163,"P.V. TAJPUR ROOM NO. 02",620,480,0,1100,219,204,0,423,423,0,63,89,179,67,2,5,0,4,0,5,4,5,423
164,"P.V. TAJPUR ROOM NO. 03",840,646,0,1486,252,266,0,518,518,0,7,61,400,36,0,5,0,0,1,3,1,4,518
165,"P.V. KHEMIPUR ROOM NO. 01",677,601,0,1278,453,465,0,918,615,0,25,202,615,55,1,7,1,2,0,2,7,1,918
166,"P.V. DHIKUHI",402,412,0,814,215,258,0,473,473,0,11,237,167,29,3,6,2,0,0,4,6,8,473
167,"P.V. BASAHIPUR ROOM NO. 01",501,424,0,925,240,197,0,437,400,0,14,113,289,13,1,3,0,1,0,1,1,1,437
168,"P.V. BASAHIPUR ROOM NO. 02",593,462,1,1056,368,318,0,686,518,0,49,292,244,58,3,15,4,1,4,4,5,7,686
169,"P.V. RAIYAPUR ROOM N. 1",805,672,0,1477,333,328,0,661,405,0,6,102,484,31,5,4,2,1,2,8,5,11,661
170,"P.V. RAIYAPUR ROOM N. 2",740,639,4,1383,328,325,0,653,503,0,16,68,508,42,2,2,3,2,0,0,4,6,653
171,"P.V. RAIYAPUR ROOM NO. 03",835,690,0,1525,385,313,0,698,405,0,5,105,448,76,5,7,4,5,1,9,9,24,698
172,"P.V. PAHADPUR BANOHI",708,559,6,1273,496,341,0,837,541,0,0,5,830,2,0,0,0,0,0,0,0,0,837
173,"SEADSTORE SARAY KIRAT",740,621,0,1361,488,368,0,856,503,0,1,108,682,38,0,2,0,3,3,4,5,10,856
174,"P.V. BHADARI ROOM NO. 01",789,679,0,1468,410,311,0,721,403,0,3,172,423,60,2,2,3,5,4,6,11,30,721
175,"P.V. BHADARI ROOM NO. 02",678,604,0,1282,340,365,0,705,406,0,6,85,535,60,2,2,1,2,0,5,2,5,705
176,"P.V. BACHHANDAMAU ROOM NO. 01",804,696,2,1502,290,314,0,604,604,0,61,9,347,157,2,0,1,5,0,3,4,15,604
177,"P.V. BACHHANDAMAU ROOM NO. 02",541,449,0,990,180,232,0,412,412,0,5,36,320,21,1,2,0,2,2,10,4,9,412
178,"P.V. SUNIYAVAN ROOM NO. 01",539,435,0,974,236,216,0,452,452,0,32,44,223,137,1,0,1,2,0,1,3,8,452
179,"P.V. SUNIYAVAN ROOM NO. 02",435,392,0,827,162,218,0,380,380,0,23,23,197,129,2,0,0,0,3,2,1,0,380
180,"J.L.I.C. RAMAPUR",788,650,0,1438,721,402,0,1123,1123,0,1,40,1076,6,0,0,0,0,0,0,0,0,1123
181,"P.V. BHULSA",558,471,0,1029,275,279,0,554,554,0,71,160,202,87,9,1,1,1,2,1,7,12,554
182,"P.V. SARAIYA PARVESHPUR",495,442,0,937,341,269,0,610,610,0,4,143,406,20,0,3,7,2,0,7,6,12,610
183,"P.V. MAHARUPUR",485,400,0,885,310,255,0,565,565,0,3,120,381,35,1,2,1,1,2,7,8,4,565
184,"M.M.D.J.H. SCHOOL AKHTIYARI KOTILA",510,434,1,945,207,268,0,475,475,0,4,77,310,16,2,6,1,2,3,41,4,9,475
185,"P.V. BISAHIYA ROOM N. 1",789,641,1,1431,341,290,0,631,631,0,10,229,304,56,3,4,3,2,5,4,3,8,631
186,"P.V. BISAHIYA ROOM N. 2",662,548,0,1210,303,237,0,540,540,0,52,80,300,82,9,5,2,0,0,4,3,3,540
187,"P.V. BISAHIYA ROOM N. 3",663,524,1,1188,339,281,0,620,620,0,19,118,392,57,4,6,2,0,4,8,7,3,620
188,"P.V. SHEKHPUR ASHIK",996,763,0,1759,706,516,0,1222,1222,0,30,33,1129,25,0,0,0,4,0,0,1,0,1222
189,"P.V. DIHA",800,662,0,1462,695,502,0,1197,1197,0,0,4,1187,6,0,0,0,0,0,0,0,0,1197
190,"P.V. MISHRADAYALPUR ROOM  NO. 1",504,400,0,904,284,217,0,501,501,0,3,134,278,50,1,5,1,2,3,8,8,8,501
191,"P.V. MISHRADAYALPUR ROOM  NO. 2",467,361,1,829,211,191,0,402,402,0,2,76,296,19,0,3,0,2,0,0,2,2,402
192,"P.V. KHIDIRPUR",358,293,0,651,254,174,0,428,428,0,9,119,230,52,2,0,2,2,0,4,4,4,428
193,"P.V. PARANUPUR",400,323,0,723,240,208,0,448,448,0,6,206,209,19,0,1,0,0,1,1,1,4,448
194,"P.V. BAHADURPUR",540,386,2,928,293,192,0,485,485,0,21,51,351,52,1,1,0,2,0,3,1,2,485
