"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ARUN SHANKAR SHUKLA","2 - BRAJESH PATHAK","3 - SUKHDEV","4 - SWAMI SACHCHIDANAND HARI SAKSHI","5 - SUMIT TEWARI","6 - ANIL KUMAR MISHRA","7 - SHALU DHARMENDRA","8 - ANIL KUMAR CHAUDHARY","9 - ANNU TANDON","10 - ARVIND KUMAR","11 - ROOP NARAYAN SINGH","12 - GIRJA SHANKAR RAJU","13 - SHIVNATH","14 - RAKESH KUMAR","15 - ANIL KUMAR","16 - RAMESHWAR","17 - MOHAMMAD AMIR KHAN","18 - RAJNIKANT","19 - SHIVKANT","20 - AKHILESH KUMAR","21 - CHETRAM PASI","22 - None of the Above","Total Votes Secured"
24,"P.S. GOBRA",396,336,0,732,205,200,0,405,345,0,172,128,1,46,1,1,0,6,30,0,0,2,1,1,1,4,6,0,1,0,0,4,405
25,"P.S. GOVINDAPUR",231,189,0,420,169,112,0,281,281,0,114,37,1,64,0,0,0,3,44,1,0,2,4,0,1,4,2,1,0,0,0,3,281
26,"P.S. SEEMAU R.N. 1",759,603,0,1362,491,314,0,805,805,0,269,100,6,253,1,1,2,12,122,0,2,5,1,0,4,2,5,3,0,5,7,5,805
27,"P.S. SEEMAU R.N. 2",337,260,0,597,182,135,0,317,317,0,138,53,3,75,2,2,0,4,25,0,0,3,3,1,0,1,4,0,0,1,0,2,317
28,"P.S. AJIJ NAGAR",328,260,0,588,220,152,0,372,359,0,193,47,2,57,2,0,1,3,53,2,0,0,1,2,0,2,1,1,1,0,0,4,372
29,"P.S. KHANDVAL",415,381,0,796,267,235,0,502,384,0,155,80,1,31,4,0,1,5,200,1,0,1,3,0,2,2,6,2,0,1,1,6,502
30,"P.S. KHANDVAL",685,559,0,1244,396,287,0,683,661,0,133,289,1,86,6,1,1,16,120,1,1,4,2,0,4,12,2,0,0,1,3,0,683
31,"NATIONAL SCHOOL AURAS R.N. 1",782,661,0,1443,433,410,0,843,711,0,181,192,0,364,2,0,1,3,67,4,0,2,3,1,5,5,2,2,1,3,2,3,843
32,"NATIONAL SCHOOL AURAS R.N. 2",743,605,0,1348,437,343,0,780,639,0,140,70,1,408,3,1,0,4,116,3,0,1,2,1,4,3,3,4,7,3,0,6,780
33,"NATIONAL SCHOOL AURAS R.N. 5",406,330,0,736,209,163,0,372,350,0,46,129,0,116,1,1,1,2,63,1,0,1,0,0,0,6,1,0,2,0,0,2,372
34,"NATIONAL SCHOOL AURAS HAAL  R.N. 7",522,411,0,933,312,205,0,517,490,0,83,86,3,189,1,1,1,3,138,3,0,2,2,0,0,1,1,0,0,0,1,2,517
35,"P.S. NANDAULI",776,681,0,1457,490,389,0,879,879,0,70,249,3,264,13,1,3,17,215,3,2,5,2,1,1,11,2,1,1,1,4,10,879
36,"J.H.S. NANDAULI",271,249,0,520,172,119,0,291,291,0,74,117,0,46,0,0,0,1,42,2,0,2,1,0,0,2,1,0,1,0,1,1,291
37,"P.S. GERUVA",714,573,0,1287,353,270,0,623,623,0,157,132,4,220,5,1,1,4,48,1,0,1,5,3,2,10,2,7,5,0,1,14,623
38,"P.S. BACHHAULI R.N. 1",600,508,0,1108,321,267,0,588,587,0,97,137,3,230,4,1,2,7,61,7,4,7,1,3,5,5,1,1,1,5,5,1,588
39,"P.S. BACHHAULI R.N. 2",726,533,0,1259,410,254,0,664,139,0,336,84,0,111,5,1,3,9,100,1,1,3,1,2,1,1,1,3,0,1,0,0,664
40,"P.S. GANGAN R.N. 1",719,573,0,1292,283,254,0,537,533,0,36,223,1,169,5,1,2,8,48,2,1,8,1,4,4,8,4,1,2,2,3,4,537
41,"P.S. GANGAN R.N. 2",673,549,0,1222,357,291,0,648,640,0,13,120,5,359,2,0,3,9,87,0,0,6,3,0,1,11,8,2,4,6,1,8,648
42,"P.S. AHAMADPUR KASIMPUR",695,519,0,1214,400,282,0,682,644,0,133,167,0,205,2,0,0,2,160,0,0,3,0,1,0,1,1,0,1,3,1,2,682
43,"P.S. JAVAN",417,357,0,774,258,252,0,510,476,0,118,113,1,182,0,1,2,9,49,1,3,2,2,1,2,9,3,3,5,1,1,2,510
44,"P.S. KARAUNDI",490,416,0,906,269,195,0,464,121,0,67,155,0,107,2,0,3,5,77,1,1,3,0,3,0,18,6,4,5,3,2,2,464
45,"P.S. KAITHANKHEDA",200,189,0,389,132,111,0,243,193,0,18,125,0,24,1,0,0,3,65,1,0,1,0,0,0,2,0,1,0,0,0,2,243
46,"P.S. RAMPUR GADHAUVA R.N. 1",615,544,1,1160,405,328,0,733,651,0,187,293,1,83,3,0,0,6,123,0,1,0,3,3,2,12,5,8,0,1,0,2,733
47,"P.S. RAMPUR GADHAUVA R.N. 2",851,620,0,1471,437,310,0,747,741,0,256,184,4,137,3,1,1,5,124,2,3,6,4,1,1,9,2,1,0,0,2,1,747
48,"P.S. BAGHAUDA",267,258,0,525,164,138,0,302,280,0,95,88,0,96,0,0,3,2,9,2,0,2,0,0,0,0,2,1,0,2,0,0,302
49,"P.S. TIKRA BAV",430,396,0,826,252,228,0,480,376,0,109,122,3,180,3,2,2,6,27,1,1,4,0,0,0,10,1,4,0,0,2,3,480
50,"P.S. BAYARI GANV",843,667,0,1510,442,346,0,788,495,0,239,284,8,137,5,0,2,12,65,0,4,1,3,1,1,13,1,3,1,2,2,4,788
51,"G.P.S. BAYARI GANV",799,597,0,1396,482,339,0,821,380,0,280,246,5,134,5,1,2,7,101,3,0,4,1,1,1,9,2,5,3,7,2,2,821
52,"P.S. HASANPUR PASHCHIM BAV R.N.1",926,759,0,1685,557,429,0,986,986,0,327,260,0,214,0,1,2,1,111,4,2,3,2,0,1,19,7,14,12,5,1,0,986
53,"P.S. HASANPUR PASHCHIM BAV R.N.2",589,452,0,1041,307,210,0,517,54,0,162,223,2,47,3,0,3,6,47,0,0,2,1,4,2,6,0,4,2,0,1,2,517
54,"P.S. SHARIFABAD",326,235,0,561,175,137,0,312,291,0,48,63,2,117,0,0,1,2,67,0,0,2,1,3,0,0,0,1,1,3,1,0,312
55,"P.S. HAJIPUR GOSHA R.N.1",725,630,0,1355,410,366,0,776,446,0,88,130,1,289,0,3,0,1,231,1,1,4,3,0,1,8,0,2,1,5,6,1,776
56,"P.S. HAJIPUR GOSHA R.N.2",312,239,0,551,193,144,0,337,260,0,34,46,2,58,1,1,0,3,175,0,1,1,2,1,0,2,3,0,1,1,0,5,337
57,"P.S. GAHA KHEDA",453,359,0,812,275,235,0,510,182,0,170,222,1,35,2,2,0,8,41,0,2,1,3,1,2,6,2,3,4,1,1,3,510
58,"P.S. MIRJAPUR AJIGANV R.N.1",607,515,0,1122,306,318,0,624,43,0,88,41,3,261,0,0,2,10,193,1,1,5,1,2,2,2,2,2,2,3,2,1,624
59,"P.S. MIRJAPUR AJIGANV R.N.2",543,452,0,995,322,250,0,572,53,0,183,151,0,87,0,1,0,2,135,1,0,0,1,0,1,2,0,3,1,1,2,1,572
60,"P.S. MIRJAPUR AJIGANV EXTRA ROOM",583,449,0,1032,288,230,0,518,100,0,153,129,1,136,0,1,0,3,79,0,0,4,1,1,1,4,0,3,0,1,1,0,518
61,"P.S. NAIBASTI",303,241,0,544,176,135,0,311,310,0,106,64,0,41,0,0,0,1,78,1,0,2,0,0,1,7,3,2,3,1,0,1,311
62,"P.S. SAIDAPUR",456,346,0,802,279,188,0,467,372,0,250,101,1,49,3,1,0,1,50,0,0,0,3,0,1,5,0,1,1,0,0,0,467
63,"P.S. PANAPUR",299,237,0,536,177,128,0,305,140,0,37,50,0,116,0,0,0,3,86,0,0,1,1,0,3,2,1,0,2,0,1,2,305
64,"P.S. RAI",739,625,0,1364,453,365,0,818,815,0,103,334,4,177,3,1,4,11,135,1,2,3,7,2,4,10,0,5,4,3,1,4,818
65,"P.S. MAINI BHAVAKHEDA",705,541,0,1246,386,233,0,619,569,0,116,203,2,186,2,2,0,3,77,1,0,1,2,1,1,4,7,3,3,3,0,2,619
66,"P.S. JAMAL NAGAR R.N. 1",426,328,0,754,285,178,0,463,463,0,77,41,1,253,0,1,1,6,58,0,2,5,3,0,0,4,4,0,4,0,0,3,463
67,"P.S. JAMAL NAGAR R.N. 2",421,335,0,756,278,197,0,475,140,0,140,91,0,103,1,0,0,3,118,0,0,0,4,1,2,5,0,1,2,2,0,2,475
68,"P.S. NARAYAN PUR",225,180,0,405,141,118,0,259,217,0,50,54,1,94,1,1,0,1,40,0,1,0,2,0,1,6,1,5,1,0,0,0,259
69,"P.S. BAIRI",383,328,0,711,251,224,0,475,300,0,109,102,0,157,0,0,0,1,88,1,0,2,2,1,0,6,2,1,1,1,1,0,475
70,"P.S. BARADEV R.N. 1",469,412,0,881,257,191,0,448,403,0,158,61,2,142,3,0,1,4,54,0,0,2,3,3,2,5,1,1,0,2,2,2,448
71,"P.S. BARADEV R.N. 2",517,470,0,987,323,252,0,575,310,0,166,152,3,175,4,2,1,9,44,1,0,1,2,1,2,4,2,3,0,1,1,1,575
72,"P.S. GADHI FATEHADAD",589,497,0,1086,396,300,0,696,293,0,96,196,3,250,3,5,2,6,88,2,1,6,1,2,4,13,5,0,3,3,3,4,696
73,"P.S. BAHRAULI JAHANPUR",458,367,0,825,293,232,0,525,324,0,14,182,1,82,1,0,0,5,204,1,0,0,4,1,0,9,11,1,0,3,2,4,525
74,"J.H.S. RASULPUR BAKIYA R.N. 1",530,413,0,943,330,231,0,561,240,0,25,44,2,296,4,1,0,3,163,3,1,4,1,2,1,3,2,1,0,3,0,2,561
75,"P.S. RASULPUR BAKIYA",483,369,0,852,260,221,0,481,478,0,7,44,3,371,0,0,0,2,45,0,1,4,0,0,0,0,0,1,2,1,0,0,481
76,"J.H.S. RASULPUR BAKIYA R.N. 2",429,348,0,777,275,234,0,509,473,0,12,295,1,173,2,1,0,0,15,0,0,3,1,0,0,2,0,0,1,1,2,0,509
77,"P.S. SALEMPUR",350,328,0,678,260,224,0,484,478,0,130,73,3,218,3,1,3,3,28,2,0,4,1,2,1,3,3,1,0,3,0,2,484
78,"P.S. SHAHPUR TONDA R.N. 1",598,525,0,1123,296,244,0,540,450,0,117,76,2,228,2,1,4,2,79,0,2,4,0,1,2,6,1,0,2,2,3,6,540
79,"P.S. SHAHPUR TONDA R.N. 2",631,528,0,1159,388,260,0,648,633,0,42,336,1,163,5,0,2,7,74,2,0,1,4,0,3,6,0,0,0,1,0,1,648
80,"P.S. GHARGHTA",282,252,0,534,184,159,0,343,335,0,104,97,0,50,1,0,1,1,74,3,0,0,1,2,0,3,2,1,0,2,1,0,343
81,"P.S. NARSA",645,451,0,1096,331,208,0,539,125,0,93,140,1,99,1,0,1,4,160,1,0,3,7,0,0,16,2,1,4,1,1,4,539
82,"P.S. TALA SARAY R.N. 1",683,531,0,1214,339,264,0,603,402,0,31,163,3,223,0,0,1,7,139,0,0,3,2,3,3,10,2,2,4,5,2,0,603
83,"P.S. TALA SARAY R.N. 2",430,367,0,797,239,204,0,443,279,0,13,56,4,164,3,0,3,7,168,1,1,2,3,1,3,3,3,2,1,3,0,2,443
84,"P.S. KORAURA",423,351,0,774,257,201,0,458,458,0,86,96,0,202,1,0,2,2,46,0,1,3,2,0,1,6,0,3,0,1,1,5,458
85,"P.S. KORO KALYAN",350,301,0,651,231,211,0,442,442,0,13,254,1,93,2,0,0,0,60,0,0,0,0,2,4,9,0,0,1,1,1,1,442
86,"J.H.S. SAMADPUR BHAVA",404,376,0,780,194,203,0,397,232,0,82,130,2,127,1,0,0,3,26,1,0,1,1,12,2,2,0,1,2,3,0,1,397
87,"P.S. SAMADPUR HARDAS",528,420,0,948,313,254,0,567,396,0,13,208,4,288,1,1,1,7,11,1,1,0,0,7,1,10,1,3,0,5,1,3,567
88,"P.S. SULTANAPUR",232,199,0,431,168,140,0,308,245,0,25,148,0,99,0,0,2,2,11,0,1,1,0,0,2,10,0,3,1,1,1,1,308
89,"P.S. HARAUNI SHAMSHUDDINPUR",576,432,0,1008,367,242,0,609,609,0,267,196,1,104,1,0,0,5,13,11,0,0,0,1,0,3,0,1,2,1,2,1,609
90,"P.S. PICHAVADA",464,394,0,858,262,184,0,446,422,0,75,51,1,196,2,0,0,3,57,0,0,2,9,2,0,15,7,7,6,0,2,11,446
91,"P.S. MATARIYA",502,438,0,940,362,267,0,629,315,0,121,157,1,247,2,0,4,10,50,0,1,1,2,4,5,8,1,1,1,4,4,5,629
92,"P.S. ALIYARPUR",183,150,0,333,136,115,0,251,121,0,39,101,0,33,1,2,1,0,64,1,1,1,0,0,1,1,2,0,1,1,1,0,251
93,"P.S. BAKSHIKHEDA",316,294,0,610,253,231,0,484,484,0,20,41,1,369,1,1,1,4,15,0,1,3,3,1,0,5,1,4,4,5,1,3,484
94,"P.S. BARATIKHEDA H/O MATARIYA",276,227,0,503,194,148,0,342,270,0,99,141,0,31,0,0,1,4,51,0,0,0,0,1,1,5,2,4,0,1,0,1,342
95,"J.H.S. PILKHNA RASHIDPUR",639,481,0,1120,486,333,0,819,819,0,184,62,3,470,3,2,2,2,65,1,2,6,2,1,0,2,1,4,0,2,0,5,819
96,"P.S. CHANDAULI KHURD",325,256,0,581,185,174,0,359,359,0,245,11,1,31,0,0,2,4,54,0,0,1,1,0,2,0,1,2,1,0,1,2,359
97,"P.S. GHURAMAU",352,276,0,628,270,191,0,461,461,0,128,161,1,137,3,1,3,1,5,0,0,3,2,8,1,6,0,0,0,1,0,0,461
98,"P.S. DHAKVA JAGDISHPUR",326,301,0,627,229,200,0,429,400,0,77,197,1,29,1,0,0,3,101,1,0,1,2,0,1,8,3,0,1,1,1,1,429
99,"P.S. AHAMADPUR BANDE",613,502,0,1115,442,327,0,769,761,0,80,127,2,520,0,2,1,4,12,1,2,1,1,0,2,9,0,0,2,1,2,0,769
100,"P.S. CHHAREHRA",372,308,0,680,250,219,0,469,469,0,6,110,2,187,0,0,0,5,145,0,2,1,0,0,1,2,1,0,1,2,2,2,469
101,"P.S. RAFIGARHI",395,326,0,721,263,220,0,483,483,0,62,148,1,238,1,1,0,1,18,0,1,0,0,0,3,3,0,0,1,2,2,1,483
102,"P.S. FARIDIPUR",586,487,0,1073,332,273,0,605,359,0,57,145,4,290,4,0,2,4,67,1,1,5,1,2,3,7,2,1,4,3,1,1,605
103,"P.S. MUSEPUR",388,302,0,690,202,155,0,357,357,0,212,30,1,68,1,0,0,0,28,1,0,5,1,1,0,4,2,3,0,0,0,0,357
104,"P.S. SAIRPUR",527,423,0,950,334,295,0,629,629,0,46,375,3,126,0,1,3,6,48,0,1,1,1,2,3,8,1,0,1,2,1,0,629
105,"P.S. TEGAPUR",567,490,0,1057,372,275,0,647,647,0,113,186,1,265,5,1,7,6,25,0,0,4,2,4,1,10,2,4,3,2,2,4,647
106,"P.S. CHAK KUSHARI",492,388,0,880,309,220,0,529,529,0,48,184,1,179,3,2,1,15,68,2,2,3,1,2,3,5,0,1,1,3,2,3,529
107,"P.S. SEMRA",447,357,0,804,302,213,0,515,473,0,36,98,3,278,1,1,2,4,70,2,0,1,0,5,0,2,2,1,1,2,3,3,515
108,"P.S. NINDEMAU R.N. 1",587,491,0,1078,326,276,0,602,602,0,36,94,1,342,0,3,3,2,95,1,2,7,1,1,1,1,1,0,3,4,3,1,602
109,"P.S. NINDEMAU R.N. 2",405,317,0,722,230,150,0,380,379,0,8,27,2,215,1,0,1,1,116,0,0,2,0,0,2,2,3,0,0,0,0,0,380
110,"P.S. UNCH GANV",809,645,0,1454,511,435,0,946,946,0,14,162,4,627,3,1,1,3,99,2,3,4,0,4,1,4,1,1,1,7,2,2,946
111,"P.S. CHIRIYARI",574,486,1,1061,407,346,0,753,753,0,78,386,5,108,5,2,1,6,109,5,2,4,5,1,3,16,1,0,4,4,3,5,753
112,"P.S. BIBIPUR",568,465,0,1033,357,327,0,684,684,0,44,231,3,345,1,0,1,6,30,2,0,1,2,1,0,9,2,1,0,4,1,0,684
113,"P.S. UNCHADWAR",666,573,0,1239,443,361,0,804,804,0,230,173,1,265,4,1,3,6,98,1,0,2,0,0,6,5,1,1,0,3,2,2,804
114,"P.S. DHAURA R.N. 1",413,386,0,799,259,213,0,472,471,0,27,86,2,260,1,0,1,6,69,0,0,9,1,2,2,1,0,1,1,3,0,0,472
115,"P.S. DHAURA EXTRA ROOM",507,441,0,948,314,270,0,584,14,0,17,22,2,490,1,2,1,10,19,1,0,9,2,0,1,0,1,1,0,3,0,2,584
116,"P.S. DHAURA R.N. 2",664,577,0,1241,439,331,0,770,333,0,8,119,1,578,5,2,1,12,17,2,1,8,0,0,2,1,3,0,0,6,2,2,770
117,"P.S. MALJHA",454,393,0,847,339,260,0,599,549,0,192,79,3,285,2,0,3,5,12,1,1,2,1,0,0,5,2,1,3,0,1,1,599
118,"P.S. KOIYA MADARPUR",551,466,0,1017,395,284,0,679,195,0,272,157,1,195,0,0,1,5,26,1,1,0,1,0,3,3,1,6,1,3,0,2,679
119,"P.S. SHANKARPUR R.N.1",470,394,0,864,278,337,0,615,615,0,23,120,1,426,0,1,0,3,18,0,0,0,2,0,0,5,2,1,9,1,0,3,615
120,"P.S. SHANKARPUR R.N.2",406,344,0,750,153,132,0,285,170,0,60,21,1,171,0,0,1,3,22,2,0,0,1,0,0,0,0,0,1,0,1,1,285
121,"P.S. KHAPURA MUSLIM",570,432,0,1002,363,248,0,611,608,0,222,154,2,149,1,1,1,6,62,0,0,1,0,0,2,5,0,0,1,0,2,2,611
122,"P.S. CHUNAUTI",263,220,0,483,213,163,0,376,78,0,5,205,0,91,1,0,0,1,53,2,0,1,0,0,0,14,0,1,1,1,0,0,376
123,"P.S. HAJIPUR BABURI H/O HAJIPUR TAREHA",529,421,0,950,348,220,0,568,468,0,38,285,1,154,1,1,0,7,67,0,0,5,0,0,0,3,1,0,1,0,3,1,568
124,"P.S. MOHIUDDINPUR",291,283,0,574,215,200,0,415,390,0,147,93,2,109,2,2,2,3,30,1,2,0,2,1,3,8,1,2,0,1,2,2,415
125,"P.S. SHESHPUR TAREHA",372,353,0,725,325,255,0,580,579,0,21,45,2,481,0,2,2,0,15,1,0,0,2,0,0,3,1,0,0,1,3,1,580
126,"G.J.H.S. NEVALGANJ R.N. 1",692,537,0,1229,451,305,0,756,352,0,88,277,2,260,7,0,1,10,76,0,0,2,2,2,2,19,1,1,2,1,1,2,756
127,"G.J.H.S. NEVALGANJ R.N. 2",353,270,0,623,221,138,0,359,277,0,9,120,2,194,1,0,0,2,20,0,0,1,0,0,1,5,1,0,0,1,0,2,359
128,"P.S. NEVALGANJ R.N. 1",547,439,1,987,343,239,0,582,582,0,88,120,1,216,2,1,3,8,108,0,0,0,3,0,3,7,8,3,2,4,0,5,582
129,"P.S. NEVALGANJ R.N. 2",480,391,0,871,281,212,0,493,457,0,39,129,2,190,0,0,0,4,115,0,0,1,0,1,0,5,1,0,1,3,0,2,493
130,"P.S. RANIKHEDA JAGIR",156,132,0,288,123,112,0,235,203,0,118,24,1,34,1,0,0,1,48,0,0,1,0,0,1,3,1,0,0,1,0,1,235
131,"INTER COLLEGE MOHAN",411,341,0,752,257,195,0,452,267,0,35,149,0,122,2,2,0,5,128,0,0,1,2,2,1,0,0,0,0,0,1,2,452
132,"INTER COLLEGE MOHAN",602,480,0,1082,353,276,0,629,89,0,45,11,1,446,1,0,0,3,107,0,0,1,1,1,1,0,1,4,1,4,1,0,629
133,"INTER COLLEGE MOHAN",741,571,0,1312,346,219,0,565,529,0,116,90,0,74,1,2,1,6,244,13,1,3,0,1,0,3,0,1,1,3,1,4,565
134,"INTER COLLEGE MOHAN",446,323,0,769,233,175,0,408,148,0,146,69,1,101,0,0,0,1,76,8,0,2,0,0,0,1,1,0,0,1,0,1,408
135,"G.P.S. MOHAN",624,502,0,1126,324,297,0,621,38,0,207,115,2,199,1,0,1,3,67,3,1,2,2,0,0,4,2,4,0,2,1,5,621
136,"INTER COLLEGE NEW BULDING MOHAN",486,358,0,844,242,168,0,410,410,0,81,26,2,216,1,0,0,2,71,1,0,2,0,0,1,2,0,0,2,3,0,0,410
137,"INTER COLLEGE NEW BULDING MOHAN",498,424,0,922,272,239,0,511,492,0,95,41,2,288,0,0,0,2,68,5,1,2,0,0,2,0,1,0,0,3,1,0,511
138,"INTER COLLEGE NEW BULDING MOHAN",467,339,0,806,275,204,0,479,361,0,100,2,0,211,0,0,0,2,151,0,0,1,0,0,1,0,3,0,2,3,0,3,479
139,"INTER COLLEGE NEW BULDING MOHAN",311,240,0,551,152,100,0,252,30,0,50,45,0,69,0,0,0,1,81,0,0,0,0,0,1,2,0,2,0,0,0,1,252
140,"G.J.H.S. MOHAN",220,174,0,394,101,100,0,201,172,0,50,40,0,41,0,0,1,2,62,1,0,2,0,0,1,0,0,0,0,1,0,0,201
141,"INTER COLLEGE NEW BULDING MOHAN",678,530,0,1208,434,279,0,713,487,0,93,64,3,429,0,0,2,4,101,8,1,1,0,0,0,2,0,0,0,3,2,0,713
142,P.S.KAMALPUR,311,307,0,618,235,215,0,450,449,0,36,198,1,136,3,0,0,5,42,1,1,1,0,0,1,9,2,2,9,1,0,2,450
143,P.S.SALAKHEMAU,657,530,0,1187,399,323,0,722,722,0,59,69,2,433,0,0,1,2,126,20,0,0,2,0,0,0,3,0,1,4,0,0,722
144,"P.S. BHOGLA",458,360,0,818,344,262,0,606,585,0,42,52,1,379,2,1,3,4,98,1,0,4,1,0,1,5,1,2,2,3,2,2,606
145,"P.S. NASARATPUR JANGLEMAU",499,399,0,898,325,262,0,587,470,0,77,136,2,305,2,2,2,6,24,3,1,7,3,0,0,3,0,3,0,4,2,5,587
146,"P.S. RANIKHEDA KHALSA",497,393,0,890,330,285,0,615,590,0,90,55,3,394,3,0,2,2,49,0,1,1,1,0,3,0,1,4,1,2,0,3,615
147,"P.S. HASANAGANJ R.N. 1",561,444,0,1005,311,226,0,537,526,0,19,6,1,437,0,0,0,0,45,2,0,0,2,0,0,7,2,2,9,0,0,5,537
148,"P.S. HASANAGANJ R.N. 3",438,380,0,818,251,155,0,406,397,0,112,11,0,139,1,1,0,5,127,3,0,0,1,0,1,1,0,0,1,2,1,0,406
149,"G.P.S. HASANAGANJ",615,488,0,1103,349,283,0,632,614,0,56,42,4,416,0,2,0,3,74,2,0,4,0,0,1,6,3,2,9,3,0,5,632
150,"P.S. HASANAGANJ R.N. 2",265,218,0,483,167,133,0,300,300,0,40,68,0,134,0,1,0,5,24,1,0,2,3,1,1,7,1,2,5,3,1,1,300
151,"B.D.O. OFFICE HASANAGANJ",255,191,0,446,153,102,0,255,114,0,35,5,0,141,1,0,1,1,59,1,0,0,1,0,0,1,1,2,1,3,1,1,255
