"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KAMLESH PASWAN","2 - GORAKH PRASAD PASWAN","3 - SADAL PRASAD","4 - SANJAI KUMAR","5 - ARJUN PRASAD RAW","6 - CHANDRIKA PRASAD BHARATI","7 - RAMNARESH","8 - RAMNIVAS  PASWAN","9 - RAMPRIT JAKHMEE","10 - LALCHAND PRASAD JATAV","11 - KUNJAWATI","12 - SHEO SHANKAR","13 - None of the Above","Total Votes Secured"
34,"P.P BRAHIMPUR ROOM NO 1",484,399,0,883,237,268,0,505,505,0,315,33,137,3,0,0,0,2,1,2,2,2,8,505
35,"P.P BRAHIMPUR ROOM NO 2",564,459,0,1023,318,316,0,634,633,0,392,15,213,4,1,1,2,0,1,2,0,1,2,634
36,"P.BHAWAN KUSULI",333,292,0,625,241,214,0,455,3,147,147,98,185,6,1,0,0,2,1,3,4,2,6,455
37,"P.P BAUWAPAR ROOM NO 1",697,579,0,1276,398,369,0,767,10,0,535,75,102,9,4,2,2,6,2,6,3,5,16,767
38,"P.P BAUWAPAR ROOM NO 2",192,158,0,350,136,106,0,242,242,0,186,20,13,9,1,0,0,1,0,2,1,3,6,242
39,"P.P JAYPUR UTTARI ROOM",558,432,0,990,309,269,0,578,74,0,268,96,150,17,1,0,3,5,2,10,1,2,23,578
40,"P.P JAYPUR DACHHIRI ROOM",106,83,0,189,53,40,0,93,93,0,27,20,45,0,0,0,0,0,1,0,0,0,0,93
41,"J.H.S. JODHPUR ROOM NO 1",562,407,0,969,254,226,0,480,120,0,150,81,197,29,1,0,1,1,2,6,3,4,5,480
42,"J.H.S. JODHPUR ROOM NO 2",457,384,0,841,233,209,0,442,42,0,269,47,83,21,0,0,0,3,1,8,1,1,8,442
43,"J.H.S.JODHPUR ROOM NO 3",675,486,0,1161,365,340,0,705,10,0,367,156,90,41,4,2,3,1,4,16,1,7,13,705
44,"P.P DUDHAI ROOM NO 1",539,394,0,933,337,320,0,657,3,0,215,22,386,9,2,0,4,7,2,1,2,1,6,657
45,"P.P JANGAL MATHIYA DACHHARI ROOM",440,338,0,778,318,240,0,558,558,0,212,222,97,4,2,0,2,3,4,5,1,3,3,558
46,"P.P AMKOL ROOM NO 1",768,648,0,1416,503,437,0,940,940,0,240,147,471,38,4,0,8,10,4,4,0,5,9,940
47,"P.P GAGARA ROOM NO 1",701,599,0,1300,375,422,0,797,797,0,566,28,151,15,3,2,2,0,3,9,6,3,9,797
48,"P.P MIRJAVA SARDAR PACHAMI ROOM",290,253,0,543,164,170,0,334,334,0,191,27,89,5,0,0,1,5,1,5,1,3,6,334
49,"P.P RAUTAUNIYA SARDAR UTTARI ROOM",417,347,0,764,228,213,0,441,441,0,258,36,121,5,0,0,0,3,0,8,1,3,6,441
50,"P.P RAUTONIYA BABU ROOM NO 1",460,387,0,847,260,218,0,478,19,0,306,64,36,54,2,0,3,1,0,6,0,2,4,478
51,"P.M.V. BELWA BABU ROOM NO 1",592,463,0,1055,284,275,0,559,248,0,401,22,93,14,2,0,2,1,4,3,2,5,10,559
52,"S.BHAWAN BELWA BUJURG",370,292,0,662,184,171,0,355,22,0,136,33,174,3,0,0,0,0,1,1,1,0,6,355
53,"P.P BAIKUNDPUR ROOM NO 1",878,708,0,1586,489,415,0,904,891,0,538,90,231,22,2,0,1,3,2,4,3,1,7,904
54,"S.V.K.M.ROOM VISHUPUR KHURD",488,381,0,869,300,260,0,560,560,0,244,132,164,6,1,0,2,1,0,4,1,1,4,560
55,"P.P BELWA  KHURD ROOM NO 1",783,618,0,1401,451,392,0,843,60,0,457,165,160,17,0,2,2,4,3,12,4,6,11,843
56,"P.P SONBARSA KHURD ROOM NO 1",811,635,0,1446,513,373,0,886,876,0,697,46,72,28,4,2,1,1,3,9,3,4,16,886
57,"P.P CHAPRA MANSUR ROOM NO 1",628,544,0,1172,309,317,0,626,226,0,382,72,105,31,0,3,6,3,0,6,4,3,11,626
58,"P.P AHIRAULI DACHHARI ROOM",359,310,0,669,224,228,0,452,22,0,242,17,171,10,2,0,0,4,1,1,0,1,3,452
59,"P.P PANSRAHI ROOM NO 1",735,603,0,1338,455,395,0,850,16,0,412,180,171,37,6,2,5,5,4,11,3,6,8,850
60,"P.BHAWAN BARAIPAR MUKHYA ROOM",675,556,0,1231,397,361,0,758,758,0,357,210,126,31,0,2,0,6,2,7,4,3,10,758
61,"P.P TILAULI UTTARI ROOM",396,347,0,743,225,214,0,439,439,0,172,156,89,8,0,0,0,0,1,1,4,3,5,439
62,"P.P SARAIYA ROOM NO 1",470,406,0,876,209,174,0,383,284,0,177,116,42,18,2,3,0,11,3,2,2,2,5,383
63,"P.P SARAIYA ROOM NO 2",568,463,0,1031,242,245,0,487,487,0,270,95,89,19,1,0,1,5,0,1,1,1,4,487
64,"R,B.I.C. SARAIYA ROOM NO 1",495,402,0,897,266,246,0,512,512,0,250,97,109,35,1,0,4,4,2,5,0,2,3,512
65,"R.B.I.C SARAIYA ROOM NO 2",448,391,1,840,206,191,0,397,397,0,256,47,53,23,1,0,0,8,0,1,2,0,6,397
66,"R.B.I.C SARAIYA ROOM NO 3",642,562,1,1205,277,258,0,535,41,0,252,95,117,45,2,0,2,9,0,4,0,2,7,535
67,"J.H.S.AYODYACHAK ROOM NO 1",558,456,0,1014,291,271,0,562,67,0,386,49,84,21,1,0,0,3,2,4,5,2,5,562
68,"P.P AWADPUR DEVKAHIYA ROOM NO 1",659,552,0,1211,347,324,0,671,671,0,325,27,271,12,6,0,4,3,0,6,2,2,13,671
69,"P.P AWADPUR DEVKAHIYA ROOM NO 2",437,353,0,790,196,160,0,356,356,0,182,32,117,11,0,0,2,0,0,3,2,2,5,356
70,"P.P AWADPUR DEVKAHIYA ROOM NO 3",432,340,0,772,235,195,0,430,430,0,245,47,100,16,2,1,3,0,1,3,2,4,6,430
71,"P.P DEVIPUR ROOM NO 1",915,715,0,1630,489,407,0,896,894,0,391,161,242,25,6,1,8,3,4,14,11,5,25,896
72,"P.P KARMAHAN ROOM NO 1",590,462,0,1052,322,282,0,604,601,0,354,87,104,14,1,0,1,9,3,7,4,4,16,604
73,"P.P BARAHI UTTARI ROOM",574,508,0,1082,323,366,0,689,689,0,258,107,257,8,2,1,10,1,6,7,10,6,16,689
74,"P.BHAWAN KESHAVPATTI PURVI ROOM",503,481,0,984,261,210,0,471,19,0,225,90,115,11,2,0,1,7,1,4,5,1,9,471
75,"P.P KEVLACHAK ROOM NO 1",675,609,0,1284,414,457,0,871,869,0,439,158,193,21,3,2,2,6,4,11,8,7,17,871
76,"P.P SATHARI ROOM NO 1",746,632,0,1378,388,376,0,764,501,0,414,173,94,30,3,0,4,5,1,8,3,5,24,764
77,"J.H.S. BILARI ROOM NO 1",617,475,0,1092,373,249,0,622,622,0,172,193,226,13,1,0,2,2,3,3,1,1,5,622
78,"P.P BILARI ROOM NO 1",628,484,0,1112,319,290,0,609,609,0,228,190,166,4,3,2,1,2,2,4,1,1,5,609
79,"P.P BILARI ROOM NO 2",862,612,0,1474,352,326,0,678,22,0,346,81,198,22,2,2,7,1,1,3,3,6,6,678
80,"L.P.K.I.C BASDILA TILATAR ROOM NO 1",816,667,0,1483,408,370,0,778,752,0,500,28,202,22,0,1,1,7,1,4,4,1,7,778
81,"P.P TELHNAPAR DAKSHIRI ROOM",463,391,0,854,264,248,0,512,6,0,333,58,88,9,1,0,1,2,3,9,2,2,4,512
82,"P.P TELHANAPAR UTTARI ROOM",445,371,0,816,277,261,0,538,538,0,256,83,164,15,0,3,1,3,2,8,1,1,1,538
83,"P.P MAHUAWA BUJURG ROOM NO 1",572,472,0,1044,342,298,0,640,61,0,379,14,191,27,1,1,0,8,2,7,1,1,8,640
84,"S.JO.K.H.S. DUMARI KHAS ROOM NO 1",954,706,0,1660,403,321,0,724,724,0,488,100,51,35,2,1,2,1,4,14,3,5,18,724
85,"S.JO.K.H.S. DUMARI KHAS ROOM NO 2",474,395,0,869,286,194,0,480,477,0,311,17,117,8,1,0,3,1,5,7,1,1,8,480
86,"S.JO.K.H.S. DUMARI KHAS ROOM NO 3",741,589,0,1330,259,278,0,537,142,0,215,164,77,41,5,1,1,1,5,8,3,2,14,537
87,"S.JO.K.H.S. DUMARI KHAS ROOM NO 4",429,359,0,788,174,206,0,380,283,0,218,66,70,15,3,0,0,0,0,1,2,0,5,380
88,"S.JO.K.H.S. DUMARI KHAS ROOM NO 7",481,359,0,840,182,190,0,372,372,0,231,60,42,15,1,2,0,1,0,9,2,1,8,372
89,"S.JO.K.H.S. DUMARI KHAS ROOM NO 5",828,616,0,1444,394,329,0,723,2,0,314,176,155,26,2,3,4,4,4,13,4,1,17,723
90,"S.JO.K.H.S. DUMARI KHAS ROOM NO 6",760,605,0,1365,294,256,0,550,544,0,300,128,99,9,2,0,1,0,0,5,1,0,5,550
91,"P.P RAMPUR BUJURG ROOM NO 1",567,482,0,1049,322,254,0,576,566,0,324,203,29,12,1,1,0,0,0,3,1,0,2,576
92,"P.P RAMPUR BUJURG NEW BHAWAN ROOM NO 1",548,497,0,1045,323,310,0,633,628,0,269,114,202,25,4,0,3,3,0,4,1,2,6,633
93,"P.P TIHA PURAVI ROOM",460,389,0,849,251,245,0,496,110,0,104,77,285,5,2,1,0,0,0,2,2,3,15,496
94,"P.P VISHAMBARPUR ROOM NO 1",778,655,0,1433,440,371,0,811,705,0,378,100,226,38,6,2,3,3,9,19,3,10,14,811
95,"J.B.V.V.BABU I GAUNAR ROOM NO 1",598,477,0,1075,317,276,0,593,454,0,389,49,126,8,1,0,1,3,0,3,4,1,8,593
96,"J.B.V.V.BABU I GAUNAR ROOM NO 2",539,424,0,963,287,269,0,556,556,0,358,60,84,20,3,1,0,3,3,9,2,1,12,556
97,"P.M.V GAUNAR ROOM NO 1",652,490,0,1142,340,329,0,669,617,0,267,125,206,21,3,3,1,5,2,8,6,4,18,669
98,"P.M.V GAUNAR ROOM NO 2",465,289,0,754,170,119,0,289,289,0,200,24,45,9,0,2,0,0,1,3,0,1,4,289
99,"P.M.V GAUNAR ROOM NO 3",467,335,0,802,203,219,0,422,300,0,273,12,105,20,1,0,0,0,0,3,3,0,5,422
100,"R.A.P.U.M.V.V BABU ROOM.N.1 GAUNAR",749,569,0,1318,317,294,0,611,52,0,351,74,89,36,3,4,4,4,1,9,3,5,28,611
101,"R.A.P.U.M.V.V BABU ROOM.N.2 GAUNAR",544,385,0,929,217,235,0,452,449,0,318,13,41,35,1,1,2,4,4,16,3,1,13,452
102,"R.A.P.U.M.V.V BABU ROOM.N.3 GAUNAR",521,379,0,900,197,214,0,411,261,0,236,38,59,54,2,0,3,4,1,8,0,2,4,411
103,"R.A.P.U.M.V.V BABU ROOM.N.4 GAUNAR",577,474,1,1052,283,268,0,551,43,0,196,13,314,10,1,0,1,1,0,3,3,0,9,551
104,"P.P SONBARSA BUJURG ROOM NO 1",741,593,0,1334,383,338,0,721,695,0,438,66,123,37,5,2,3,3,1,12,6,7,18,721
105,"P.P SONBARSA BUJURG ROOM NO 2",559,455,0,1014,284,272,0,556,27,0,323,23,160,21,3,0,0,1,1,8,5,4,7,556
106,"B.P.P BAGHAR ROOM NO 1",711,568,0,1279,370,333,0,703,76,0,374,100,113,75,5,1,0,4,3,10,4,4,10,703
107,"B.P.P BAGHAR ROOM NO 2",718,600,0,1318,348,379,0,727,727,0,427,82,84,78,8,0,4,1,3,14,6,4,16,727
108,"P. BHAWAN BAGHAR ROOM NO 1",638,546,1,1185,363,317,0,680,680,0,357,15,241,31,1,1,3,7,0,10,3,2,9,680
109,"P.BHAWAN BAGHAR ROOM NO 2",648,478,0,1126,337,291,0,628,53,0,329,176,77,26,0,0,1,1,3,5,2,2,6,628
110,"P.P CHHABAILA ROOM NO 1",524,397,0,921,243,221,0,464,464,0,212,97,101,25,2,1,1,2,5,5,2,3,8,464
111,"P.BAWAN CHHABAILA MUKHYA ROOM",380,312,0,692,177,164,0,341,341,0,170,74,55,6,3,1,2,0,0,9,3,4,14,341
112,"P. BHAWAN FULVARIYA",728,565,0,1293,368,307,0,675,150,0,478,114,21,21,3,2,1,2,1,14,2,8,8,675
113,"P.P FULVARIYA ROOM NO 1",665,547,0,1212,371,339,0,710,607,0,396,42,199,16,1,2,5,3,3,11,6,4,22,710
114,"P.P KHAIRABAD ROOM NO 1",510,404,0,914,311,266,0,577,577,0,320,91,103,21,3,0,2,3,3,5,1,5,20,577
115,"P.P KHAIRABAD ROOM NO 2",608,459,0,1067,367,265,0,632,632,0,342,141,81,17,4,0,3,5,4,12,2,2,19,632
116,"P.P BANSHIYA PURVI ROOM",630,507,0,1137,375,359,0,734,5,0,335,222,137,9,3,1,0,1,3,10,3,3,7,734
117,"P.P BAL KHURD UTTARI ROOM",530,420,0,950,250,284,0,534,10,0,299,79,76,33,1,3,2,9,3,12,2,3,12,534
118,"P.P BAL KHURD DACHHARI ROOM",557,460,0,1017,315,304,0,619,619,0,305,55,191,31,1,0,1,7,0,6,5,2,15,619
119,"P.P BHAGWANPUR UTTARI ROOM",645,571,0,1216,394,376,0,770,23,0,309,48,354,14,3,1,5,4,1,5,8,1,17,770
120,"P.P DUMRI KHURD ROOM NO 1",435,336,0,771,256,211,0,467,467,0,335,58,36,19,1,0,1,0,0,7,1,2,7,467
121,"P.P DUMRI KHURD ROOM NO 2",646,552,0,1198,385,375,0,760,758,0,297,54,367,6,0,2,6,3,2,7,5,4,7,760
122,"P.P DUMRI KHURD ROOM NO 3",593,479,1,1073,292,262,0,554,554,0,236,73,149,68,6,0,1,5,2,3,1,3,7,554
123,"P.P BAL BUJURG ROOM NO 1",714,592,0,1306,358,322,0,680,673,0,301,254,55,23,4,2,1,3,1,7,7,5,17,680
124,"P.P BAL BUJURG ROOM NO 2",881,679,0,1560,488,381,0,869,27,0,304,158,305,49,3,2,3,7,5,16,6,2,9,869
125,"P.P POKHARBHINDA ROOM NO 1",855,659,0,1514,479,435,0,914,52,0,448,140,227,34,4,3,4,5,1,12,6,11,19,914
126,"P.P. CHAURA ROOM NO 1",726,583,0,1309,378,342,0,720,719,0,438,85,101,71,2,0,1,4,1,4,2,1,10,720
127,"P.BHAWAN CHAURA ROOM NO 1",469,394,0,863,234,232,0,466,466,0,198,85,53,89,8,1,1,8,3,6,1,6,7,466
128,"P.BHAWAN CHAURA ROOM NO 2",547,448,0,995,264,215,0,479,475,0,184,61,85,131,3,0,0,4,1,3,0,1,6,479
129,"P.P.CHAURI KHAS ROOM NO 1",708,522,0,1230,288,273,0,561,560,0,297,64,129,20,5,0,7,2,1,14,7,5,10,561
130,"P.P.CHAURI KHAS ROOM NO 2",473,326,0,799,202,163,0,365,365,0,177,46,84,39,2,0,1,1,1,6,0,1,7,365
131,"R.K.P.V.CHAURI ROOM NO 1",732,549,1,1282,348,293,0,641,43,0,233,199,154,22,1,3,2,5,1,3,5,2,11,641
132,"R.K.V. CHAURIROOM NO 2",574,455,1,1030,286,250,0,536,536,0,336,105,57,21,0,1,1,0,0,13,0,2,0,536
133,"S.V.K. ROOM NO 1CHAURI",860,624,0,1484,382,298,0,680,676,0,464,66,80,25,4,2,0,1,8,12,4,2,12,680
134,"S.V.K.ROOM NO 2 CHAURI",587,465,0,1052,334,273,0,607,181,0,446,83,25,17,1,0,3,3,1,4,6,4,14,607
135,"G.P.S.I.C. BHOPA ROOM NO 1PASHCHIMI BHAWAN",644,524,0,1168,414,341,0,755,92,0,358,47,284,47,0,1,3,3,0,2,1,0,9,755
136,"G.P.S.I.C. BHOPA PASHCHIMI BHAWAN",546,481,0,1027,296,245,0,541,541,0,279,54,152,27,3,0,0,10,2,1,4,3,6,541
137,"G.P.S.I.C. BHOPA ROOM NO3 PASHCHIMI BHAWAN",532,427,0,959,270,203,0,473,461,0,258,146,27,21,1,1,1,3,1,3,2,2,7,473
138,"G.P.S.I.C. BHOPA ROOM NO 11PASHCHIMI BHAWAN",486,413,0,899,278,192,0,470,95,0,337,73,35,8,1,1,0,4,0,5,0,1,5,470
139,"G.P.S.I.C. BHOPA ROOM NO 4 PASHCHIMI BHAWAN",475,344,0,819,247,159,0,406,152,0,172,188,27,7,0,1,0,3,0,2,1,0,5,406
140,"G.P.S.I.C. BHOPA ROOM NO 12 PASHCHIMI BHAWAN",407,342,0,749,216,170,0,386,122,0,288,48,37,7,0,0,0,1,1,1,1,1,1,386
141,"G.P.S.I.C. BHOPA ROOM NO5DAKSHINI BHAWAN",660,536,0,1196,359,256,0,615,432,0,483,65,18,28,2,2,0,3,1,7,2,0,4,615
142,"G.P.S.I.C. BHOPA ROOM NO 6 DAKSHINI BHAWAN",434,337,0,771,256,175,0,431,431,0,313,17,61,25,0,2,0,7,0,2,0,1,3,431
143,"G.P.S.I.C. BHOPA ROOM NO 7 PASHCHIMI BHAWAN",612,511,0,1123,324,224,0,548,32,0,470,45,10,11,0,0,0,5,1,2,0,1,3,548
144,"G.P.S.I.C. BHOPA ROOM NO 8 DAKSHINI BHAWAN",486,415,0,901,259,183,0,442,437,0,360,29,18,18,0,0,0,6,2,6,1,0,2,442
145,"G.P.S.I.C. BHOPA ROOM NO 9 UTTARI BHAWAN",511,428,0,939,298,230,0,528,528,0,284,79,79,59,3,1,2,0,1,6,2,3,9,528
146,"G.P.S.I.C. BHOPA ROOM NO 10 UTTARI BHAWAN",422,393,0,815,253,192,0,445,445,0,381,19,21,20,0,0,0,0,1,0,2,0,1,445
147,"P.P. RAGHOPUR PURVI ROOM",680,536,0,1216,407,349,0,756,29,0,427,213,57,35,7,0,1,1,1,6,1,3,4,756
148,"P.P. MAHDEWA JANGLE ROOM NO 1",538,458,0,996,297,287,0,584,100,0,260,247,51,11,0,0,2,0,2,5,1,1,4,584
149,"P.BHAWAN SHATRUDHANPUR ROOM NO 1",543,490,0,1033,269,290,0,559,417,0,287,148,72,16,3,0,1,2,3,12,2,1,12,559
150,"P.P.BHAWAN SHATRUDHANPUR ROOM NO 2",518,346,0,864,229,175,0,404,26,0,181,53,148,8,0,0,0,0,2,7,0,0,5,404
151,"P.P. SHATRUDHANPUR ROOM NO 1",714,588,0,1302,448,322,0,770,25,0,549,73,68,26,0,5,2,3,5,17,0,6,16,770
152,"P.P. SHATRUDHANPUR ROOM NO 2 NEW BHAWAN",740,592,0,1332,357,351,0,708,38,0,327,179,127,24,1,2,4,1,2,5,3,9,24,708
153,"P.P. BHARATPUR ROOM N.1",522,435,0,957,278,286,0,564,564,0,283,103,125,10,2,1,4,4,2,9,0,7,14,564
154,"P.P. BHARATPUR ROOM N.2",616,484,0,1100,250,345,0,595,595,0,211,72,235,30,3,1,9,3,5,13,4,2,7,595
155,"J.H.S. LAXMANPUR ROOM N.1",600,498,0,1098,397,261,0,658,658,0,378,106,133,17,5,0,2,2,2,8,3,1,1,658
156,"J.H.S. LAXMANPUR ROOM N.2",961,687,0,1648,391,404,0,795,11,0,391,76,243,21,2,1,1,8,7,14,5,8,18,795
157,"P.P. RAMPURA ROOM N.1",891,691,0,1582,422,407,0,829,10,0,390,51,317,25,1,3,4,2,3,12,2,3,16,829
158,"P.P. RAMPURA ROOM N.2",765,560,0,1325,334,266,0,600,600,0,271,133,144,29,1,0,0,4,2,5,4,3,4,600
159,"P.P SHIVPUR ROOM N.1",643,525,0,1168,330,358,0,688,20,0,418,52,165,16,3,1,2,13,1,14,2,1,0,688
160,"P.P SHIVPUR ROOM N.2",761,570,1,1332,370,368,0,738,731,0,496,29,139,30,5,0,4,2,4,13,4,5,7,738
161,"P.P TOLA SEMRA VISHAVNATHPUR ROOM N.1",668,508,0,1176,277,181,0,458,10,0,216,55,97,11,3,0,5,3,7,10,4,11,36,458
162,"P.P TOLA SEMRA VISHAVNATHPUR ROOM N.2",680,500,0,1180,328,288,0,616,614,0,340,94,101,23,1,3,4,1,3,16,3,7,20,616
163,"P.M V. VISHWANATHPUR ROOM N.1",711,549,0,1260,358,352,0,710,710,0,447,132,81,7,7,1,3,3,0,11,2,4,12,710
164,"B.R.P.M.V JAGDESHPUR ROOM 1",552,438,0,990,276,212,0,488,488,0,215,70,125,41,4,0,2,5,3,6,2,4,11,488
165,"B.R.P.M.V JAGDESHPUR ROOM 2",701,538,0,1239,365,373,0,738,738,0,455,56,98,44,7,1,2,7,7,25,6,7,23,738
166,"B.R.P.M.V JAGDESHPUR ROOM 3",808,615,1,1424,383,288,0,671,671,0,456,40,108,20,3,1,4,6,2,13,2,4,12,671
167,"R.J.H.S JAGDESHPUR ROOM N.1",620,480,1,1101,347,283,0,630,630,0,145,67,369,19,3,0,4,1,6,6,2,2,6,630
168,"R.J.H.S JAGDESHPUR ROOM N.2",475,362,0,837,210,208,0,418,418,0,147,91,141,16,3,0,2,4,2,5,3,1,3,418
169,"N.I.C AMAHIYA ROOM N.1",578,445,0,1023,325,163,0,488,468,0,369,45,41,23,1,0,1,2,0,1,1,1,3,488
170,"N.I.C AMAHIYA ROOM N.2",412,334,0,746,183,189,0,372,191,0,258,8,74,22,1,0,2,1,1,1,0,1,3,372
171,"N.I.C AMAHIYA ROOM N.6",469,388,0,857,208,195,0,403,403,0,244,27,85,21,2,0,3,0,2,8,2,1,8,403
172,"N.I.C AMAHIYA ROOM N.3",486,379,0,865,223,219,0,442,255,0,181,8,192,32,3,1,4,1,2,8,3,3,4,442
173,"N.I.C AMAHIYA ROOM N.4",623,527,0,1150,327,300,0,627,571,0,193,7,345,44,5,0,5,1,1,2,1,6,17,627
174,"N.I.C AMAHIYA ROOM N.5",533,412,1,946,299,264,0,563,563,0,71,124,314,18,1,0,4,3,5,6,1,6,10,563
175,"P.P LAXMIPUR ROOM N.1",675,555,0,1230,330,324,0,654,651,0,378,100,58,76,3,1,2,4,1,14,2,2,13,654
176,"P.P LAXMIPUR ROOM N.2",708,592,0,1300,364,392,0,756,756,0,281,57,350,19,1,3,5,2,2,14,9,5,8,756
177,"P.P JHAGAHAN ROOM 1",560,484,0,1044,207,273,0,480,47,0,221,84,115,24,3,1,3,1,1,5,5,4,13,480
