"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - MULAYAM SINGH YADAV","2 - SHATRUGHAN SINGH CHAUHAN","3 - DR. SANGHMITRA MAURYA","4 - ABU NASIM PATHAN","5 - BABA HARDEV SINGH","6 - SHISHUPAL SINGH","7 - SATENDRA VEER SINGH CHAUHAN","8 - ASHOK KUMAR","9 - ALOK NANDAN","10 - MUKESH KUMAR","11 - MUKESH KUMAR SHAKYA","12 - RAJESHWARI","13 - HAKIM SINGH","14 - None of the Above","Total Votes Secured"
96,"P.V.CHANDARPUR DAKSHNI ROOM",415,305,0,720,109,187,0,296,296,0,86,133,63,1,3,1,1,0,5,0,1,0,2,0,296
97,P.P.KAMALPUR,694,569,0,1263,354,232,0,586,586,0,168,176,207,1,1,0,0,1,6,0,7,5,3,11,586
98,"P.P.ELAHABANSH UTTARI CLASS",522,468,0,990,252,164,0,416,320,0,112,239,46,1,1,0,0,2,6,0,3,5,1,0,416
99,"P.P.ELAHABANSH DAKCHANI CLASS",596,525,0,1121,340,231,0,571,440,0,128,335,81,2,0,0,0,1,10,2,4,3,3,2,571
100,J.H.S.ELAHABANSH,379,334,0,713,186,99,0,285,215,0,93,113,74,0,0,0,1,0,2,0,1,0,0,1,285
101,P.P.JAKHA,277,212,0,489,165,70,0,235,235,0,135,67,25,0,2,0,0,0,1,0,2,0,2,1,235
102,"MULAYAM SINGH J.H.S. NAGLA GADU",447,368,0,815,314,197,0,511,179,0,179,227,93,0,5,0,0,0,3,0,0,2,0,2,511
103,P.P.PALAUDI,312,243,0,555,305,211,0,516,214,0,509,2,0,0,4,1,0,0,0,0,0,0,0,0,516
104,P.P.PARASHRAMPUR,453,332,1,786,323,154,0,477,14,0,427,35,9,0,3,0,0,0,3,0,0,0,0,0,477
105,P.P.VIRTIYA,760,671,0,1431,445,332,0,777,125,0,152,266,321,1,10,1,0,1,5,3,4,3,3,7,777
106,P.P.ATIYA,231,196,0,427,3,2,0,5,5,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,5
107,P.P.BAKHATPUR,290,223,0,513,287,203,0,490,109,0,481,1,3,0,2,0,0,0,0,0,1,0,2,0,490
108,"P.P.NAGLA AHIR",343,305,0,648,300,240,0,540,540,0,464,48,11,2,4,1,0,0,1,2,0,1,1,5,540
109,P.P.BASHANTPUR,271,227,0,498,265,208,0,473,24,0,470,3,0,0,0,0,0,0,0,0,0,0,0,0,473
110,P.P.ADAMPUR,394,328,0,722,259,173,0,432,432,0,146,111,164,2,1,0,1,2,2,1,2,0,0,0,432
111,J.H.S.SAKRA,674,612,0,1286,308,228,0,536,486,0,123,313,79,1,2,1,0,0,8,0,4,1,0,4,536
112,"GAUTAM BUDDH M.V.NARAYANPUR",335,283,0,618,238,198,0,436,340,0,79,54,294,1,2,0,0,0,3,0,1,1,0,1,436
113,"P.P.MAHIGAWA FRIST ROOM",638,559,0,1197,365,277,0,642,642,0,97,114,404,3,6,2,2,2,0,1,4,3,1,3,642
114,"P.P.MAHIGAWA SECOND ROOM",274,232,0,506,172,110,0,282,270,0,209,24,43,0,0,1,0,0,1,1,0,1,0,2,282
115,"J.H.S.MAHIGAWA BHARATPUR",336,289,0,625,224,177,0,401,401,0,295,55,36,2,1,0,1,1,0,1,2,0,3,4,401
116,P.P.LAALPUR,278,257,0,535,228,195,0,423,423,0,414,5,2,0,0,0,0,0,0,0,0,0,0,2,423
117,P.P.DEVPURA,610,478,0,1088,425,216,0,641,641,0,533,14,79,1,4,0,0,0,0,0,1,2,3,4,641
118,J.H.S.MUDAUSHI,649,571,0,1220,345,266,0,611,610,0,314,109,162,1,6,1,0,3,1,1,3,7,1,2,611
119,P.P.DHEERPUR,200,161,0,361,116,74,0,190,190,0,130,13,0,0,42,1,0,1,1,0,1,0,1,0,190
120,P.P.SINGANI,603,517,0,1120,350,262,0,612,612,0,299,142,147,2,6,0,0,0,7,1,4,1,2,1,612
121,P.P.NANDPUR,351,313,0,664,222,187,0,409,381,0,45,65,279,2,1,0,1,1,4,0,5,2,2,2,409
122,"P.P.NAGLA KONDAR",460,389,0,849,386,300,0,686,8,0,645,19,9,0,0,0,0,0,2,0,0,2,1,8,686
123,"P.P.MANIGAON FRIST ROOM",596,535,0,1131,390,261,0,651,651,0,256,198,182,2,1,0,0,0,4,0,1,1,4,2,651
124,"P.P.MANIGAON SECOND ROOM",397,332,0,729,290,200,0,490,489,0,195,43,238,3,6,0,2,0,0,0,2,0,1,0,490
125,P.P.ARSHARA,636,557,0,1193,346,326,0,672,671,0,210,337,93,1,4,4,0,1,6,1,2,1,3,9,672
126,P.P.KHARAGPUR,408,369,0,777,221,194,0,415,415,0,75,131,187,0,0,0,4,0,4,2,4,2,1,5,415
127,P.P.GOKULPUR,260,226,0,486,207,168,0,375,375,0,318,13,32,1,3,0,0,1,1,0,1,0,3,2,375
128,P.P.DADAUSH,731,672,0,1403,494,344,0,838,838,0,477,97,205,1,12,0,2,2,9,1,5,9,5,13,838
129,P.P.HINDUPUR,320,273,0,593,249,181,0,430,430,0,342,10,73,2,0,0,0,0,1,0,2,0,0,0,430
130,P.P.DAUDPUR,355,302,0,657,209,153,0,362,362,0,175,50,132,0,0,0,0,0,2,1,1,0,0,1,362
131,P.P.ANTPURI,289,231,0,520,200,150,0,350,350,0,197,29,107,0,4,0,0,0,4,0,1,3,1,4,350
132,"P.P.NAGLA KHUNNI",406,371,0,777,285,270,0,555,520,0,294,33,206,0,2,0,0,2,1,1,3,1,3,9,555
133,"J.H.S.KUSHMARA ROOM NO.1",683,614,0,1297,371,266,0,637,433,0,170,376,74,0,3,1,0,0,4,1,2,2,2,2,637
134,"J.H.S.KUSHMARA ROOM NO. 2",440,386,0,826,262,193,0,455,150,0,117,244,76,1,7,1,2,0,5,0,1,1,0,0,455
135,"KANYA P.P.KUSHMARA",334,272,0,606,182,137,0,319,319,0,36,100,167,1,0,0,0,1,3,1,3,1,1,5,319
136,"MAHAKAVI DEV INTER COLLAGE KUSHMARA CENTER ROOM",641,530,0,1171,525,241,0,766,766,0,589,94,68,0,8,0,1,0,3,0,1,0,0,2,766
137,"MAHAKAVI DEV INTER COLLAGE KUSHMARA",758,621,0,1379,551,311,0,862,454,0,384,345,99,2,10,0,0,1,10,1,6,2,1,1,862
138,"MAHAKAVI DEV INTER COLLAGE KUSHMARA",797,653,0,1450,517,300,0,817,726,0,422,242,120,3,15,2,1,0,5,1,2,0,0,4,817
139,P.P.HUSAINPUR,504,445,0,949,296,230,0,526,526,0,120,106,264,1,8,1,0,0,3,3,8,0,6,6,526
140,J.H.S.DHARMANGADPUR,333,271,0,604,238,171,0,409,409,0,137,175,94,0,0,0,0,0,1,0,1,0,1,0,409
141,P.P.NUNARI,333,314,0,647,177,122,0,299,299,0,103,160,26,0,0,0,0,1,3,0,0,0,2,4,299
142,"P.P.NAGLA TARA",629,542,0,1171,346,245,0,591,590,0,223,248,97,3,4,3,1,0,6,0,4,0,0,2,591
143,P.P.KOODI,588,521,0,1109,427,261,0,688,634,0,550,82,49,0,2,1,0,0,3,0,0,0,0,1,688
144,P.P.AHINKARIPUR,370,258,0,628,192,123,0,315,26,0,67,217,6,1,0,0,1,0,9,1,1,4,3,5,315
145,P.P.BARA,701,606,0,1307,352,237,0,589,589,0,281,212,55,3,5,2,2,0,13,2,4,1,1,8,589
146,P.P.PADAMNER,278,241,0,519,204,102,0,306,306,0,149,83,45,3,8,0,0,0,3,1,2,1,4,7,306
147,P.P.DHARMNER,482,420,0,902,343,228,0,571,236,0,537,12,3,0,13,1,0,0,2,1,0,0,0,2,571
148,"PANCHAYAT GHAR KAMALNER PALNAGAR",330,296,0,626,178,112,0,290,290,0,76,133,46,1,14,0,1,1,8,2,3,0,4,1,290
149,P.P.KAMALNER,199,178,0,377,131,112,0,243,241,0,78,82,72,1,2,0,1,0,3,0,2,0,1,1,243
150,P.P.MADHKARPUR,364,273,0,637,246,142,0,388,169,0,56,233,73,3,2,0,0,2,6,1,2,3,2,5,388
151,P.P.ANANDPUR,242,198,0,440,177,109,0,286,286,0,42,238,2,0,1,0,0,0,1,0,0,0,0,2,286
152,P.P.RAHOOPURA,300,247,0,547,262,195,0,457,438,0,430,7,11,0,5,0,0,0,0,0,0,0,1,3,457
153,P.P.HEERAPUR,541,431,0,972,485,387,0,872,800,0,824,24,1,0,16,0,0,0,0,0,1,0,0,6,872
154,P.P.GAJIYAPUR,330,283,0,613,182,147,0,329,175,0,116,100,107,2,0,0,1,0,1,0,1,1,0,0,329
155,P.P.JAWAPUR,404,366,0,770,267,233,0,500,60,0,128,80,268,2,5,0,3,1,4,1,3,1,1,3,500
156,"P.P.NAGLA BAJJA",184,165,0,349,110,79,0,189,189,0,143,42,2,0,2,0,0,0,0,0,0,0,0,0,189
157,P.P.BUDAULY,394,359,0,753,231,169,0,400,400,0,68,139,180,2,0,1,0,0,3,0,5,2,0,0,400
158,P.P.HAVILIYA,358,282,0,640,116,89,0,205,205,0,66,98,20,0,3,1,2,0,2,0,3,2,3,5,205
159,P.P.BAGAUNI,246,177,0,423,188,127,0,315,300,0,219,22,65,1,1,0,0,0,0,0,2,1,1,3,315
160,P.P.KUDARA,226,169,0,395,211,130,0,341,338,0,295,5,5,0,28,1,0,0,0,0,1,1,0,5,341
161,P.P.KATTARA,246,223,0,469,190,130,0,320,318,0,313,3,1,0,0,0,0,0,0,0,0,1,0,2,320
162,P.P.BARUA,198,176,0,374,140,98,0,238,200,0,229,0,5,0,0,0,0,1,0,1,0,0,0,2,238
163,"P.P.NAGLA BAKHTI",234,205,0,439,168,123,0,291,291,0,18,4,263,1,1,0,0,0,0,1,1,0,1,1,291
164,P.P.KHADDARA,278,241,0,519,193,179,0,372,350,0,69,3,293,1,1,0,0,0,0,0,3,1,0,1,372
165,P.P.DINI,280,258,0,538,192,183,0,375,325,0,157,44,168,0,0,0,1,0,0,0,3,1,0,1,375
166,P.P.BANSHARMAU,299,253,1,553,224,157,0,381,294,0,19,117,230,2,6,0,0,0,0,0,4,2,1,0,381
167,P.P.NAGTHARI,195,183,0,378,185,149,0,334,327,0,319,14,1,0,0,0,0,0,0,0,0,0,0,0,334
168,P.P.TEJGANJ,363,317,0,680,290,188,0,478,476,0,373,88,3,0,10,0,0,1,0,0,1,0,0,2,478
169,P.P.BHARAPUR,382,310,0,692,217,169,0,386,386,0,196,142,38,0,3,0,1,1,0,0,0,2,0,3,386
170,P.P.HANHUPUR,267,233,0,500,130,119,0,249,249,0,72,158,16,0,0,0,0,0,2,1,0,0,0,0,249
171,P.P.DIVRANIYA,511,438,0,949,276,224,0,500,480,0,137,211,133,2,0,0,1,0,5,2,2,2,2,3,500
172,P.P.MOHKAMPUR,451,378,0,829,221,161,0,382,382,0,123,183,57,0,8,0,0,1,4,0,0,3,2,1,382
173,"P.P.NAGLA KANJ",308,279,0,587,198,112,0,310,310,0,293,11,0,0,1,0,1,0,0,0,1,0,1,2,310
174,P.P.NAGTHARA,395,341,0,736,181,141,0,322,322,0,19,175,106,1,7,1,1,1,3,1,1,2,3,1,322
175,P.P.ALAWALPUR,301,257,0,558,207,128,0,335,325,0,195,77,45,1,2,0,0,1,1,1,3,3,2,4,335
176,P.P.ALIPUR,389,320,0,709,232,175,0,407,390,0,209,168,15,0,4,0,1,0,3,0,1,1,1,4,407
177,P.P.KESHOPUR,395,333,0,728,247,205,0,452,451,0,44,275,119,2,0,1,0,0,8,0,0,0,3,0,452
178,J.H.S.BHADEHI,425,371,0,796,204,136,0,340,8,0,96,178,49,1,3,1,0,1,6,1,2,0,1,1,340
179,"AMITA NAMITA SMARITI SHIKSH SADAN NAGLA GOKUL",214,183,0,397,103,83,0,186,185,0,9,93,79,1,0,0,0,0,0,0,1,0,1,2,186
180,"P.P.NAGLA MAIK",337,293,0,630,203,151,0,354,87,0,8,96,235,1,0,0,2,1,6,1,2,0,1,1,354
181,"GAUTAM BUDDHA J.H.S. NAGLA JHABRA",292,280,0,572,189,155,0,344,344,0,79,19,233,2,4,1,1,0,0,1,1,1,1,1,344
182,P.P.ARJUNPUR,541,404,0,945,302,184,0,486,486,0,299,149,19,1,3,0,2,2,3,1,1,0,1,5,486
183,"P.P.NAGLA VEEL",387,364,0,751,363,275,0,638,638,0,417,191,21,1,1,0,2,0,4,0,1,0,0,0,638
184,"P.P.INDRAPUR SUJANPUR",455,359,0,814,274,209,0,483,483,0,164,297,11,1,0,1,0,0,5,0,1,0,3,0,483
185,J.H.S.CHATURIPUR,597,450,0,1047,464,278,0,742,78,0,631,98,3,1,4,0,0,0,0,0,1,0,2,2,742
186,P.P.KAITHAULY,460,421,0,881,355,173,0,528,328,0,70,265,170,3,0,0,0,0,4,1,5,3,3,4,528
187,P.P.BHAVANIGADH,619,524,0,1143,391,345,0,736,736,0,532,185,6,0,1,0,0,1,3,0,0,0,4,4,736
188,"P.P.HARIPUR RATANPUR",226,195,1,422,111,100,0,211,52,0,117,90,1,0,0,0,0,0,1,0,0,0,1,1,211
189,"P.P.MADANAPUR GAPCHARIYA ROOM NO. 1",416,327,0,743,219,186,0,405,405,0,113,104,177,1,2,0,0,0,2,0,2,1,1,2,405
190,"P.P.MADANAPUR GAPCHARIYA ROOM NO. 2",310,259,0,569,189,156,0,345,345,0,32,17,280,1,0,0,0,0,0,1,8,4,1,1,345
191,P.P.LUKUTPUR,204,190,0,394,145,116,0,261,21,0,125,117,4,1,1,0,1,0,5,0,1,0,3,3,261
192,P.P.RANGPUR,413,351,0,764,313,248,0,561,561,0,331,133,90,1,2,0,0,1,2,0,1,0,0,0,561
193,"P.P.UNCHA ISHLAMABAD",711,616,0,1327,342,215,0,557,547,0,152,287,108,0,0,0,0,1,3,1,0,1,0,4,557
194,P.P.KUNDANPUR,371,290,0,661,269,162,0,431,424,0,36,58,322,5,1,0,0,0,2,0,2,2,1,2,431
195,P.P.ABHAYPUR,276,250,0,526,185,157,0,342,142,0,110,60,158,0,1,0,1,2,2,0,1,0,3,4,342
