"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ASIF NIZAMUDDIN SIDDIQUE","2 - PRAMOD KUMAR SINGH PATEL","3 - RAJKUMARI RATNA SINGH","4 - ASHOK SHUKLA SENANI","5 - NIRMALA DEVI","6 - FOOLCHANDRA","7 - BAL KRISHNA","8 - RAJENDRA SHARMA","9 - RAM SEWAK","10 - SHESHNATH","11 - SANTOSH KUMAR SINGH","12 - KUWAR HARIVANSH SINGH","13 - AJMAL KHAN","14 - KIRAN MISHRA","15 - HARIVANSH","16 - None of the Above","Total Votes Secured"
42,"JUNIAR HIGH SCHOOL JODHEPUR",418,367,0,785,181,169,0,350,350,0,60,29,175,11,2,2,1,0,2,2,4,60,0,0,1,1,350
43,"P.V. DALAPATTI ROOM NO. 1",692,597,0,1289,324,328,0,652,458,0,41,10,406,5,2,4,0,2,1,0,6,171,2,0,1,1,652
44,"P.V. DALAPATTI ROOM NO. 2",343,295,0,638,131,144,0,275,275,0,15,1,153,8,1,2,1,1,0,2,7,78,0,1,1,4,275
45,"P.V. KUMBHIDEEHA",550,487,1,1038,275,250,0,525,25,0,61,75,235,15,3,0,3,5,1,3,1,108,4,1,8,2,525
46,"P.V. DEVARI",732,630,0,1362,368,372,0,740,740,0,109,58,232,24,5,1,1,1,6,6,24,223,8,7,9,26,740
47,"P.V. AHADBEEHAD",605,549,0,1154,395,340,0,735,735,0,60,36,439,3,5,0,2,1,0,6,2,169,2,2,7,1,735
48,"P.V. BHUDAHA",481,410,0,891,236,247,0,483,460,0,135,21,170,5,3,0,2,1,0,2,7,124,0,5,4,4,483
49,"P.V. USMANPUR",467,445,0,912,268,318,0,586,5,0,68,8,317,15,6,3,2,3,0,4,8,113,4,11,7,17,586
50,"P.V. DEVAPUR ROOM NO. 1",673,602,0,1275,371,326,0,697,3,0,69,157,275,9,1,5,2,3,0,6,11,129,4,4,6,16,697
51,"P.V. DEVAPUR ROOM NO. 2",383,342,0,725,200,171,0,371,371,0,102,23,151,9,2,2,2,0,0,2,4,66,1,0,1,6,371
52,"P.V. MURAINI ROOM NO. 1",598,493,0,1091,257,303,0,560,560,0,44,7,377,11,3,1,0,0,1,5,5,79,4,7,6,10,560
53,"P.V. MURAINI ROOM NO. 2",717,580,0,1297,331,346,0,677,121,0,53,9,388,16,4,3,3,2,5,5,3,166,4,7,6,3,677
54,"BAPU I.C. REHUALALGANJ ROOM NO. 1",669,528,0,1197,267,248,0,515,51,0,51,29,268,6,3,1,3,1,5,3,5,111,5,2,1,21,515
55,"BAPU I.C. REHUALALGANJ ROOM NO. 2",529,407,0,936,263,239,0,502,500,0,23,11,296,5,2,1,0,0,1,2,4,143,2,0,4,8,502
56,"BAPU I.C. REHUALALGANJ ROOM NO. 3",823,626,0,1449,312,358,0,670,500,0,36,5,315,10,2,2,1,2,4,3,8,263,4,2,4,9,670
57,"P.V. REHUALALGANJ",666,608,0,1274,325,317,0,642,642,0,104,63,264,9,6,5,3,1,2,6,12,130,3,7,12,15,642
58,"P.V. AMISHANKARPUR ROOM NO. 1",635,520,0,1155,276,270,0,546,546,0,69,29,191,13,5,3,0,1,3,5,10,194,2,4,5,12,546
59,"P.V. AMISHANKARPUR ROOM NO 2",608,497,0,1105,292,252,0,544,5,0,124,29,175,13,8,4,2,0,0,6,9,160,2,1,7,4,544
60,"P.V. KHANIPUR ROOM NO. 1",534,419,0,953,284,245,0,529,529,0,11,11,421,4,4,2,0,2,1,4,2,58,1,2,2,4,529
61,"P.V. KHANIPUR ROOM NO. 2",817,649,0,1466,444,345,0,789,789,0,115,14,439,17,3,0,2,2,4,2,1,171,3,1,2,13,789
62,"P.V. MANGAPUR ROOM NO 1",549,425,0,974,253,203,0,456,444,0,30,22,280,5,2,1,1,1,4,2,3,97,2,3,2,1,456
63,"P.V. MANGAPUR ROOM NO 2",783,679,0,1462,401,305,0,706,706,0,88,60,355,12,6,1,5,1,4,5,8,132,3,6,11,9,706
64,"SARSWATI VIDYA PEETH MANGAPUR ROOM NO 2",630,522,0,1152,327,271,0,598,598,0,71,32,410,10,2,0,4,2,3,2,4,53,1,1,1,2,598
65,"SARSWATI VIDYA PEETH MANGAPUR ROOM NO 2",344,352,0,696,196,179,0,375,52,0,13,39,257,7,0,0,1,0,1,0,1,47,1,1,3,4,375
66,"P.V. SALWAHANPUR",510,458,0,968,249,213,0,462,15,0,44,23,252,8,2,0,0,1,3,4,4,103,4,4,5,5,462
67,"P.V. RANKI ROOM NO. 1",866,746,0,1612,418,382,0,800,550,0,172,31,278,19,2,3,4,3,2,5,6,251,3,3,6,12,800
68,"P.V. RANKI ROOM NO. 2",691,553,0,1244,300,257,0,557,557,0,71,78,169,8,2,2,7,1,0,1,3,207,1,2,2,3,557
69,"PANCHAYAT BHAVAN RANKI",591,507,0,1098,259,260,0,519,35,0,60,21,206,12,3,1,3,2,1,2,5,190,4,0,4,5,519
70,"P.V. BALIPUR BODWA",367,353,0,720,222,219,0,441,441,0,76,6,254,3,0,0,1,0,1,0,4,85,2,1,6,2,441
71,"UCCHA P.V. NARAVAL",565,460,0,1025,267,270,0,537,537,0,66,23,235,4,1,1,1,2,0,1,2,187,0,1,8,5,537
72,"P.V. PARANIPUR",579,473,1,1053,299,267,0,566,566,0,76,176,184,9,4,0,0,0,3,1,11,85,2,7,3,5,566
73,"P.V. RAMNAGAR KOL",358,292,0,650,199,196,0,395,7,0,56,31,255,11,3,0,0,0,1,1,1,13,4,3,8,8,395
74,"NETAJI I.C. MUSTAFABAD ROOM NO. 1",895,675,0,1570,402,337,0,739,56,0,45,53,535,13,6,6,1,4,3,6,7,22,5,4,8,21,739
75,"NETAJI I.C. MUSTAFABAD ROOM NO. 2",647,594,0,1241,317,287,0,604,15,0,37,162,260,4,2,3,3,3,2,0,2,107,2,6,3,8,604
76,"P.V. MUSTAFABAD ROOM NO. 1",725,618,0,1343,312,311,0,623,25,0,96,49,347,11,6,1,3,4,4,4,8,46,5,5,12,22,623
77,"P.V. MUSTAFABAD ROON NO. 2",656,626,0,1282,349,343,0,692,692,0,198,112,278,5,2,0,5,1,3,2,2,43,6,4,6,25,692
78,"P.V. RAMPUR KASHIHA",595,533,1,1129,281,263,0,544,32,0,105,23,294,24,2,1,1,1,0,1,2,79,2,2,5,2,544
79,"SA. SAH. SAMITI RAHATEEKAR ROOM NO 1",924,682,0,1606,378,298,0,676,46,0,103,61,295,14,4,4,2,1,1,4,5,144,2,4,12,20,676
80,"SAH. SAMITI RAHATEEKAR ROOM NO. 2",499,421,0,920,247,194,0,441,441,0,73,9,169,5,2,1,0,1,0,1,1,158,3,0,6,12,441
81,"PURV. MADH. VI. RAHATEEKAR ROOM NO. 2",438,394,0,832,266,212,0,478,428,0,39,10,200,5,0,2,1,0,2,1,2,202,5,1,1,7,478
82,"PURV. MADH. VI. RAHATEEKAR ROOM NO. 2",705,528,0,1233,306,240,0,546,544,0,79,68,217,6,3,1,1,3,2,5,12,121,3,3,12,10,546
83,"P.V. PATHARIYA",491,404,0,895,218,222,0,440,235,0,81,8,217,12,4,4,1,1,3,4,4,87,2,5,3,4,440
84,"P.V. UCHHAPUR ROOM NO. 1",547,471,0,1018,272,236,0,508,508,0,57,19,162,10,2,3,3,0,2,3,9,227,2,1,0,8,508
85,"P.V. UCHHAPUR ROOM NO. 2",600,487,0,1087,300,260,0,560,560,0,46,14,213,10,6,3,4,4,2,7,4,231,0,4,7,5,560
86,"P.V. BEVALI",551,508,0,1059,222,253,0,475,425,0,28,7,342,10,0,1,1,2,1,2,2,75,0,0,2,2,475
87,"P.V. CHAHIN ROOM NO. 1",793,680,0,1473,371,330,0,701,701,0,179,20,220,13,3,3,2,3,4,6,11,216,4,5,7,5,701
88,"P.V. CHAHIN ROOM NO. 2",437,347,0,784,189,170,0,359,253,0,23,24,155,13,0,0,3,1,2,3,4,124,2,1,3,1,359
89,"P.V. LAKHAPUR",278,225,0,503,130,122,0,252,252,0,14,18,139,4,0,0,0,0,1,1,0,71,0,0,1,3,252
90,"P.V. DARRA ROOM NO. 1",637,518,0,1155,294,258,0,552,552,0,47,5,197,13,2,3,3,3,4,2,5,243,6,2,7,10,552
91,"P.V. DARRA ROOM NO. 2",651,538,0,1189,340,307,0,647,65,0,86,13,256,20,1,3,0,1,3,5,7,225,6,3,10,8,647
92,"P.V. SAMASPUR ROOM NO. 1",670,565,0,1235,286,269,0,555,537,0,40,20,279,15,5,8,1,0,2,2,8,144,2,7,12,10,555
93,"P.V. SAMASPUR ROOM NO. 2",251,216,0,467,90,96,0,186,23,0,30,1,63,3,1,2,0,3,0,1,3,77,0,2,0,0,186
94,"P.V. ORIPUR NAUGEER ROOM NO 1",593,505,0,1098,286,311,0,597,550,0,34,44,200,10,2,2,1,3,0,3,6,270,2,4,6,10,597
95,"P.V. ORIPUR NAUGEER ROOM NO. 2",527,469,0,996,218,241,0,459,54,0,11,6,139,9,0,2,1,2,1,2,4,273,3,2,2,2,459
96,"P.V. RAJAMATIPUR",685,599,0,1284,389,380,0,769,10,0,82,48,291,19,5,5,1,2,6,5,3,267,5,2,12,16,769
97,"P.V. RAJMATIPUR",736,626,1,1363,342,346,0,688,688,0,89,64,279,13,8,1,3,4,5,2,4,200,1,2,5,8,688
98,"GANDHI I.C. SANGIPUR ROOM NO. 1",672,612,1,1285,318,341,0,659,609,0,84,40,277,18,10,11,3,1,2,3,35,143,5,8,7,12,659
99,"GANDHI I.C. SANGIPUR",589,539,0,1128,320,340,0,660,220,0,33,19,458,7,5,2,0,2,1,0,6,119,0,1,1,6,660
100,"P.V. SANGIPUR ROOM NO 1",541,401,3,945,292,205,0,497,497,0,63,13,296,2,1,1,2,0,2,3,7,102,1,1,2,1,497
101,"P.V. SANGIPUR ROOM NO 2",382,308,1,691,208,164,0,372,372,0,40,24,230,2,1,1,0,1,0,1,6,61,0,1,1,3,372
102,"P.V. GADIYAN",480,440,1,921,209,217,0,426,426,0,119,13,166,8,1,4,2,1,3,5,3,76,3,2,10,10,426
103,"P.V. LAKHAHARA ROOM NO. 1",582,500,0,1082,238,224,0,462,462,0,68,8,171,10,2,0,2,0,1,0,4,188,3,1,2,2,462
104,"P.V. LAKHAHARA ROOM NO. 2",692,626,1,1319,334,340,0,674,54,0,85,18,379,14,2,3,1,0,3,3,8,149,2,0,5,2,674
105,"P.V. GOPALPUR",762,676,0,1438,387,407,0,794,794,0,145,52,378,13,6,0,6,1,5,7,10,153,4,4,4,6,794
106,"P.V. SHUKULPUR ROOM NO. 1",782,648,0,1430,478,360,0,838,838,0,37,31,650,11,4,1,2,2,1,5,3,82,0,0,4,5,838
107,"P.V. SHUKULPUR ROOM NO. 2",388,358,0,746,213,198,0,411,21,0,20,12,283,7,1,0,0,1,1,1,6,72,1,1,1,4,411
108,"P.V. JAGADESSHPUR",300,293,0,593,160,179,0,339,339,0,126,27,138,7,0,0,1,0,2,0,0,36,0,1,0,1,339
109,"P.V. BHAGAURA",611,521,0,1132,320,310,0,630,630,0,66,203,252,14,0,1,0,0,5,4,8,59,3,1,5,9,630
110,"P.V. DEVIGARH",492,424,0,916,179,287,0,466,400,0,7,143,196,4,1,1,0,1,1,3,1,101,3,0,1,3,466
111,"P.V. SINHGARH",430,400,1,831,183,235,0,418,150,0,28,66,210,8,1,0,1,0,5,0,6,81,3,1,2,6,418
112,"SA. SAH. SAMITI KALYANPUR KALA",766,682,0,1448,396,419,0,815,435,0,59,185,355,8,1,3,4,0,5,10,7,152,5,3,4,14,815
113,"P.V. PURE NARAINDASH ROOM NO 1",491,431,0,922,220,220,0,440,21,0,129,19,135,13,3,2,3,2,1,1,3,117,0,1,6,5,440
114,"P.V. PURE NARAINDASH ROOM NO 2",400,345,0,745,163,172,0,335,335,0,53,42,96,12,4,1,2,2,2,2,6,112,0,0,1,0,335
115,"P.V. KATEHATI  ROOM NO 1",653,565,0,1218,272,270,0,542,528,0,31,17,212,7,3,1,0,1,1,1,12,236,4,3,3,10,542
116,"P.V. KATEHATI  ROOM NO 2",431,377,0,808,184,185,0,369,369,0,28,17,142,2,1,0,2,2,1,1,6,161,2,0,2,2,369
117,"P.V. BHAWANIGARH",607,536,0,1143,319,321,0,640,24,0,41,92,341,9,3,1,1,1,3,3,3,133,1,2,2,4,640
118,"P.V. NAUHAJAYA",354,338,0,692,198,187,0,385,300,0,37,15,117,8,2,0,1,1,0,3,3,187,2,1,3,5,385
119,"P.V. BHAISANA ROOM NO 1",620,492,0,1112,310,270,0,580,580,0,74,92,207,5,2,0,0,1,0,2,9,175,3,3,2,5,580
120,"P.V. BHAISANA ROOM NO 2",366,333,0,699,249,168,0,417,214,0,50,43,203,6,1,2,2,0,1,3,2,97,1,4,1,1,417
121,"P.V. SHAHABARI  ROOM NO 1",565,517,1,1083,234,242,0,476,300,0,70,26,187,6,5,1,1,0,3,3,5,147,6,5,4,7,476
122,"P.V. SHAHABARI ROOM NO. 2",343,313,0,656,177,170,0,347,347,0,59,19,92,5,2,2,2,0,2,2,7,145,1,2,6,1,347
123,P.V.SARAILALSHAH,415,374,0,789,157,219,0,376,372,0,23,91,167,6,0,3,0,1,1,1,1,67,2,5,5,3,376
124,"P.V. CHIHIHARA",303,267,0,570,147,155,0,302,302,0,14,49,152,6,2,2,0,2,3,0,1,61,2,1,5,2,302
125,"JU.HIGH SCHOOL SUJAKHAR ROOM NO 2",525,465,0,990,275,286,0,561,35,0,61,223,215,9,0,2,1,2,0,3,2,30,2,3,4,4,561
126,"JU.HIGH SCHOOL SUJAKHAR ROOM NO 2",532,452,0,984,300,243,0,543,501,0,32,159,253,13,2,1,1,2,1,4,1,62,2,2,3,5,543
127,"BENI. MADHAV I.C. SILAUDHI",846,720,0,1566,316,337,0,653,600,0,32,139,252,8,0,0,2,2,0,2,4,189,3,3,5,12,653
128,"P.V. BADSHAHPUR",680,615,0,1295,261,432,0,693,382,0,36,156,216,16,4,4,3,0,1,5,8,216,3,5,8,12,693
129,"P.V. DHARUSHAHPUR",746,656,0,1402,421,346,0,767,502,0,50,78,372,5,3,1,3,1,3,1,7,220,4,4,7,8,767
130,"P.V. THARIYA",541,446,0,987,176,267,0,443,395,0,20,46,212,12,4,2,1,2,1,2,7,121,3,4,1,5,443
131,"P.V. BASUAPUR",691,582,0,1273,35,38,0,73,25,0,6,7,14,1,0,1,3,1,1,2,5,20,4,2,5,1,73
132,"P.V. DEUMPURAB",686,536,0,1222,324,290,0,614,400,0,45,122,269,5,0,0,2,3,4,3,2,152,2,1,2,2,614
133,"P.V. DEUM PASCHIM ROOM NO 1",948,832,0,1780,344,400,0,744,600,0,31,34,475,11,3,3,0,1,1,0,7,170,2,2,4,0,744
134,"P.V. DEUM PASCHIM ROOM NO 2",657,563,0,1220,283,296,0,579,522,0,34,95,239,11,4,3,4,4,3,2,7,164,1,2,4,2,579
135,"RA.RAM. I.C. DABHIYAR ROOM NO 1",911,805,0,1716,359,365,0,724,650,0,57,54,283,19,6,7,7,3,5,4,7,244,5,4,11,8,724
136,"P.V. I0C0 DABHIYAR ROOM NO. 2",640,560,0,1200,306,282,0,588,588,0,35,37,262,12,3,1,3,5,4,2,15,190,5,4,5,5,588
137,"P.V. DABHIYAR",580,538,0,1118,285,289,0,574,501,0,69,20,322,10,2,2,0,4,1,1,6,113,3,4,7,10,574
138,"P.V. KUMBHAPUR",480,407,0,887,315,257,0,572,572,0,43,83,246,1,0,0,1,0,2,1,1,182,2,1,4,5,572
139,"P.V. AMANWA ROOM NO 1",818,699,0,1517,349,332,0,681,582,0,46,17,330,6,8,0,2,2,0,1,3,247,7,0,4,8,681
140,"P.V. AMANWA ROOM NO 2",554,474,0,1028,257,241,0,498,488,0,69,15,278,7,0,2,2,0,0,2,3,112,0,2,1,5,498
141,"P;V; AMANWA ROOM NO 3",849,794,0,1643,343,388,0,731,731,0,80,25,397,10,1,3,1,4,5,3,10,173,1,1,9,8,731
142,"P.V. SARAI JAGAT SINGH DIHWA",630,536,0,1166,275,300,0,575,575,0,42,30,275,8,1,0,5,2,3,3,5,185,2,3,3,8,575
143,"P.V. KHALSA SADAT ROOM NO 1",684,586,0,1270,400,361,0,761,761,0,251,11,419,7,0,1,1,0,8,0,3,57,0,0,2,1,761
144,"P.V. KHALSA SADAT ROOM NO 2",359,319,0,678,192,170,0,362,200,0,35,19,168,1,0,0,1,1,1,3,2,127,0,1,2,1,362
145,"P.V. SHEETALMAU ROOM NO 1",613,509,0,1122,316,244,0,560,560,0,33,56,285,4,2,0,2,0,0,3,3,165,1,1,0,5,560
146,"P.V. SHEETALMAU ROOM NO 2",498,414,0,912,257,230,0,487,484,0,34,14,327,6,1,2,0,0,1,1,0,92,2,1,4,2,487
147,"P.V. SHEETALMAU ROOM NO 3",910,750,0,1660,483,382,0,865,700,0,142,37,309,11,4,1,3,1,2,3,5,334,1,3,4,5,865
148,"P.V. UMAPUR",610,520,1,1131,292,253,0,545,545,0,25,39,208,10,2,2,2,2,12,4,5,218,2,2,3,9,545
149,"P.V. KHEMASARI",354,265,0,619,215,198,0,413,98,0,44,13,197,14,4,1,3,1,0,1,6,118,0,2,6,3,413
150,"P.V. KHANAPATTI",843,725,0,1568,401,396,0,797,690,0,118,23,626,5,0,0,0,0,0,0,1,22,0,2,0,0,797
151,"P.V. MISHRANINPUR",577,514,0,1091,298,306,0,604,604,0,32,16,280,10,0,2,4,1,7,4,4,219,4,7,3,11,604
152,"P.V. DHADHUAGAJAN",677,591,0,1268,411,321,0,732,732,0,131,132,312,10,5,0,2,1,4,0,6,111,4,2,5,7,732
153,"P.V. BHAVARAM BOJHI",275,239,0,514,152,134,0,286,286,0,57,6,106,2,1,1,0,1,17,1,5,86,2,0,0,1,286
154,"P.V. PURE DINANATH",294,297,0,591,147,180,0,327,107,0,36,4,142,8,0,1,2,1,50,4,1,75,1,0,0,2,327
155,"P.V. PURE TILAKRAM",742,636,0,1378,376,447,0,823,823,0,48,21,414,21,2,3,2,2,7,3,3,281,3,6,5,2,823
156,"RAM ANJOR I.C. LALAGANJ ROOM NO 1",797,733,2,1532,420,369,0,789,789,0,102,49,361,20,3,0,1,4,1,3,2,208,7,4,10,14,789
157,"RAM ANJOR I.C. LALAGANJ ROOM NO 2",182,145,0,327,115,90,0,205,90,0,24,2,108,3,2,0,0,0,2,0,0,59,3,1,1,0,205
158,"P.V. PURE BANSHI",745,642,0,1387,339,377,0,716,468,0,123,15,375,13,7,2,1,1,5,1,4,151,1,4,1,12,716
159,"P.V. SALEMBHADARI ROOM NO 1",620,525,0,1145,284,297,0,581,571,0,42,36,272,5,4,1,2,1,4,3,5,192,2,1,3,8,581
160,"P.V. SALEMBHADARI ROOM NO 2",560,510,0,1070,288,253,0,541,54,0,64,29,368,3,0,0,1,1,0,2,3,65,1,1,1,2,541
161,"P.V. MADIPUR",964,734,0,1698,394,370,0,764,764,0,195,12,270,9,4,1,1,2,2,1,6,232,4,3,5,17,764
162,"P.V. SAMAPUR",880,738,0,1618,424,412,0,836,810,0,96,14,340,7,1,3,0,1,6,4,10,334,4,5,2,9,836
163,"SANSKRIT PATHSHALA PURE NOTI",493,429,0,922,233,242,0,475,47,0,39,15,171,14,2,1,0,1,2,1,2,218,1,0,2,6,475
164,"SHIVPRATAP LAGHU MA. VI. BAIJALPUR",636,493,0,1129,271,257,0,528,400,0,97,13,200,3,1,1,2,0,1,1,5,188,2,3,3,8,528
165,"P.V. BHADARI KALA ROOM NO 1",916,824,1,1741,463,525,0,988,680,0,67,76,477,21,5,4,6,2,3,3,6,299,3,1,12,3,988
166,"P.V. BHADARI KALA ROOM NO 2",653,534,0,1187,252,293,0,545,545,0,108,45,200,7,4,1,2,0,2,6,4,132,5,9,9,11,545
167,"SANSKRIT PATHSHALA PURE MATHAHA",694,601,0,1295,305,234,0,539,539,0,109,46,238,4,3,0,0,1,2,0,2,129,1,0,2,2,539
168,"P.V. AJHARA ROOM NO 1",621,504,0,1125,315,260,0,575,575,0,90,8,323,9,1,0,0,1,11,3,1,111,1,3,8,5,575
169,"P.V. AJHARA ROOM NO 2",687,585,0,1272,302,276,0,578,578,0,102,12,298,8,5,1,1,3,18,3,7,103,3,1,6,7,578
170,"P.V. JAINPUR",208,201,0,409,99,142,0,241,241,0,87,4,85,6,0,1,1,0,0,1,2,48,0,0,4,2,241
171,"P.V. LALUPUR",401,361,0,762,154,218,0,372,372,0,132,16,66,4,1,0,1,0,0,0,2,141,1,0,2,6,372
172,"P.V. KHAJURI",721,667,0,1388,361,369,0,730,730,0,99,64,319,19,5,5,1,1,2,6,5,183,4,4,4,9,730
173,"P.V. BALIPUR KATARA",507,467,0,974,227,265,0,492,450,0,54,16,285,11,4,2,2,1,3,2,3,92,1,4,4,8,492
