"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ANURADHA SHARMA","2 - UMA BHARATI","3 - DR. CHANDRAPAL SINGH YADAV","4 - PRADEEP JAIN ADITYA","5 - ARCHANA","6 - CHINTAMANI","7 - NARESH KUMAR","8 - MAULANA MOHAMMAD","9 - SUNIL MASSEY","10 - KULDEEP KUMAR","11 - TULA RAM","12 - DILSHAD AHMAD","13 - RACHNA SHARMA","14 - RAJENDRA KUMAR","15 - RAM KUMAR ANK SHASTRI","16 - None of the Above","Total Votes Secured"
21,P.V.RAMAIYAPURA,261,254,0,515,200,174,0,374,371,0,18,220,120,6,0,0,0,0,0,1,0,0,2,1,2,4,374
22,P.V.MIYAPUR,630,549,0,1179,478,340,0,818,811,0,27,59,725,3,1,0,0,0,0,0,0,0,0,2,0,1,818
23,P.V.CHHIRAUNA-1,593,558,0,1151,508,443,0,951,942,0,8,383,524,19,0,0,0,0,1,0,0,1,1,6,6,2,951
24,P.V.CHHIRAUNA-2,559,478,0,1037,451,357,0,808,801,0,362,188,208,28,2,0,2,0,0,1,1,0,1,4,5,6,808
25,"NAGAR PALIKA PARISHAD CHIRGAON-1",506,437,0,943,383,312,0,695,689,0,10,318,288,70,2,0,1,0,1,2,1,0,0,2,0,0,695
26,"NAGAR PALIKA PARISHAD CHIRGAON-2",480,400,0,880,355,265,0,620,614,0,18,404,161,28,3,0,0,1,0,0,1,0,1,2,1,0,620
27,"R.K.MAITHALISHARAN GUPT U.M.V.-1",481,428,0,909,328,266,0,594,589,0,28,373,133,54,1,0,1,0,0,0,1,0,1,0,0,2,594
28,"R.K.MAITHALISHARAN GUPT U.M.V.-2",335,312,0,647,212,197,0,409,405,0,15,249,92,45,0,0,0,0,0,0,0,0,1,1,4,2,409
29,"ADARSH P.P.MATANPURA CHIRGAON-1",620,545,0,1165,404,324,0,728,721,0,39,458,150,76,0,0,0,1,1,0,1,1,0,0,1,0,728
30,"ADARSH P.P.MATANPURA CHIRGAON-2",743,642,0,1385,531,428,0,959,950,0,258,404,166,101,1,1,1,0,2,1,2,1,0,6,6,9,959
31,"S.G.S.V.B.SHISHU MANDIR CHIRGAON-1",624,544,0,1168,432,346,0,778,771,0,35,442,252,35,2,1,0,0,0,1,1,0,1,5,1,2,778
32,"S.G.S.V.B.SHISHU MANDIR CHIRGAON-2",632,541,0,1173,434,363,0,797,790,0,37,508,189,30,5,5,2,1,0,1,1,2,2,5,6,3,797
33,"S.P.I.COLLEGE CHIRGAON",126,134,0,260,84,83,0,167,165,0,40,82,33,5,0,0,2,0,0,0,0,0,0,1,1,3,167
34,"S.P.I.COLLEGE CHIRGAON-2",728,664,0,1392,400,370,0,770,763,0,40,445,223,45,5,1,0,1,0,0,0,1,0,6,2,1,770
35,"S.P.I.COLLEGE CHIRGAON-3",550,477,0,1027,390,253,0,643,637,0,34,343,219,29,1,0,0,0,1,0,1,1,2,4,6,2,643
36,"S.P.I.COLLEGE CHIRGAON-4",592,563,0,1155,448,351,0,799,792,0,38,462,249,26,2,0,1,0,0,0,2,1,0,5,7,6,799
37,"S.P.I.COLLEGE CHIRGAON-5",678,545,0,1223,423,314,0,737,730,0,48,541,108,13,1,3,2,0,0,1,0,0,0,6,8,6,737
38,"SHRI.S.L.C.JAIN A.J.H.S. CHIRGAON-1",694,561,0,1255,360,259,0,619,613,0,127,216,212,31,2,0,3,0,1,0,1,1,3,4,5,13,619
39,"SHRI.S.L.C.JAIN A.J.H.S. CHIRGAON-2",620,534,0,1154,427,345,0,772,765,0,62,514,137,19,3,1,3,0,2,1,1,0,1,1,18,9,772
40,"SHRI.S.L.C.JAIN A.J.H.S. CHIRGAON-2",913,820,0,1733,532,458,0,990,981,0,68,576,274,24,4,2,3,1,3,0,4,1,2,8,11,9,990
41,"S.S.L.C.JAIN A.BAL MANDIR CHIRGAON-1",531,468,0,999,374,310,0,684,678,0,23,470,154,20,1,1,2,1,0,1,0,1,1,1,6,2,684
42,"S.S.L.C.JAIN A.BAL MANDIR CHIRGAON-2",534,480,1,1015,365,302,0,667,661,0,15,430,189,8,2,0,1,4,1,1,1,1,2,3,5,4,667
43,P.V.MIRAUNA,485,439,0,924,400,335,0,735,728,0,140,218,327,15,1,0,1,3,1,0,2,1,4,9,3,10,735
44,P.V.SIYA,439,407,0,846,393,317,0,710,704,0,197,131,347,11,1,2,0,0,0,0,1,1,3,4,5,7,710
45,"P.V.KANYA SIYA",458,413,0,871,410,351,0,761,754,0,51,139,557,3,0,0,0,0,1,0,0,1,2,1,1,5,761
46,P.V.SULTANPURA,627,568,0,1195,535,405,0,940,932,0,74,610,206,11,2,1,6,1,0,1,0,3,1,7,12,5,940
47,"J.H.S. RAMNAGAR",549,483,0,1032,395,340,0,735,728,0,89,382,207,13,3,2,7,3,3,2,2,2,4,1,11,4,735
48,"P.V.DABARA BUJURG",495,458,0,953,371,323,0,694,688,0,89,264,299,8,2,1,1,0,1,3,1,0,3,6,7,9,694
49,K.P.V.DEDAR,151,153,0,304,145,145,0,290,287,0,0,0,289,1,0,0,0,0,0,0,0,0,0,0,0,0,290
50,P.V.BHARATPURA,430,381,0,811,383,329,0,712,706,0,59,86,533,9,0,1,1,0,0,0,1,2,5,11,3,1,712
51,"P.V.SIKRI BUJURG",486,440,0,926,416,334,0,750,743,0,46,363,293,6,5,1,1,0,0,0,0,2,1,16,9,7,750
52,P.V.AUPARA,623,498,1,1122,585,430,0,1015,1006,0,56,73,867,7,4,0,1,0,0,0,0,0,0,3,0,4,1015
53,P.V.GUSGUAN,237,223,0,460,208,166,0,374,371,0,23,40,303,5,0,0,0,0,0,0,0,1,0,0,1,1,374
54,P.V.DWANI,427,369,0,796,386,282,0,668,662,0,57,283,266,20,3,3,6,1,2,3,2,0,1,3,8,10,668
55,"P.M.V. PAHADI BUJURG",521,492,0,1013,396,382,0,778,771,0,146,190,378,42,1,1,0,0,0,0,1,0,4,5,7,3,778
56,"P.V.PAHADI BUJURG",455,447,0,902,379,339,0,718,712,0,258,112,287,26,1,1,1,0,1,0,0,4,4,3,6,14,718
57,U.P.V.JARYAEE-1,430,386,0,816,341,256,0,597,592,0,49,242,281,13,0,2,0,0,1,0,0,0,2,0,3,4,597
58,U.P.V.JARYAEE-2,441,367,0,808,333,261,0,594,589,0,265,116,184,7,4,1,2,0,0,0,1,0,2,1,2,9,594
59,P.V.GULARA,370,338,0,708,322,276,0,598,593,0,52,313,165,41,3,0,2,1,0,2,1,1,2,4,9,2,598
60,"P.V. MAHEBA",260,240,0,500,222,198,0,420,416,0,32,264,102,9,0,0,0,1,6,0,0,0,0,2,3,1,420
61,P.V.MURATA,194,172,0,366,167,138,0,305,302,0,48,171,73,1,3,1,2,0,0,0,1,0,0,0,4,1,305
62,"P.V.LUHARGAON GHAT",421,370,0,791,333,233,0,566,561,0,49,143,318,12,1,1,1,0,0,1,1,4,6,8,3,18,566
63,P.V.RAMPURA,808,762,0,1570,628,520,0,1148,1138,0,189,399,488,14,2,1,3,4,0,2,1,1,4,12,10,18,1148
64,P.M.V.BUDHUPURA,158,154,0,312,136,126,0,262,260,0,162,4,81,6,0,0,1,0,0,0,1,0,1,2,3,1,262
65,"P.M.V.BANGRI BANGRA-1",499,457,0,956,413,299,0,712,706,0,256,88,338,6,8,1,0,0,0,0,0,0,0,1,8,6,712
66,"P.M.V.BANGRA BANGRI-2",489,444,0,933,373,307,0,680,674,0,208,145,302,4,1,0,0,0,0,0,0,1,2,6,3,8,680
67,P.V.KUKARGAON,495,409,0,904,404,315,0,719,713,0,196,121,359,3,1,0,1,1,0,0,2,3,2,10,5,15,719
68,"P.M.V.FOOL KHIRIYA",311,300,0,611,279,260,0,539,534,0,46,104,367,6,3,0,0,1,0,0,1,0,1,8,2,0,539
69,P.V.DINERI,294,275,0,569,235,227,0,462,458,0,34,113,284,7,2,1,0,0,0,0,0,2,3,7,1,8,462
70,P.M.V.RAWATPURA,377,342,0,719,264,243,0,507,502,0,153,136,194,7,1,0,0,0,1,0,1,0,1,8,0,5,507
71,P.M.V.SITAURA,369,327,0,696,338,261,0,599,594,0,112,86,372,8,0,1,0,0,1,0,0,0,2,6,1,10,599
72,P.V.BAMANUAN,645,558,0,1203,516,395,0,911,903,0,40,416,384,35,4,0,2,1,0,3,4,0,2,4,7,9,911
73,"S.V.P.S.M.V. BAMANUAN",821,742,0,1563,632,528,0,1160,1150,0,205,401,505,19,3,1,3,0,2,0,1,0,3,2,4,11,1160
74,"P.V. RAURA",406,380,0,786,347,285,0,632,626,0,51,215,347,5,0,1,0,0,1,0,1,1,1,2,3,4,632
75,"JU HIGH SCHOOL PARICHCHA PART-1",730,611,0,1341,506,367,0,873,865,0,84,493,222,29,2,2,3,1,2,1,2,0,4,6,11,11,873
76,"U PRA RA VI PRISHAD PRA VI PART-1",481,374,0,855,225,146,0,371,368,0,43,224,58,28,10,0,1,0,3,1,0,0,0,0,0,3,371
77,"U PRA RA VI PARISHAD PRI SCH PART-2 PARICHCHA",515,432,0,947,214,141,0,355,352,0,87,204,28,30,4,0,0,0,0,0,0,0,0,0,1,1,355
78,"U PRA RA VI PARISHAD PRI SCH PART-3 PARICHCHA",499,347,0,846,206,113,0,319,316,0,64,182,43,17,12,0,0,0,0,0,0,0,0,0,0,1,319
79,"U PRA RA VI PARISHAD PRI SCH PART-4 PARICHCHA",465,372,0,837,247,177,0,424,420,0,40,273,76,21,5,0,2,1,1,0,0,0,0,0,2,3,424
80,"PRI SCH ROCHOURA",522,414,0,936,334,250,0,584,579,0,55,405,86,10,1,1,1,0,0,0,0,0,1,5,16,3,584
81,"U PRA SCH BARATA PART-1",756,641,0,1397,543,401,0,944,936,0,412,399,81,15,4,0,1,0,3,1,0,0,3,1,6,18,944
82,"U PRA SCH BARATA PART-2",751,648,0,1399,508,388,0,896,888,0,36,672,116,28,0,2,5,1,5,0,1,0,1,5,16,8,896
83,"BADAGAON INTER COLLEGE PART-1",690,580,0,1270,465,335,0,800,793,0,78,481,174,27,1,3,2,0,0,1,0,1,3,7,12,10,800
84,"BADAGAON INTER COLLEGE PART-2",503,385,0,888,192,156,0,348,345,0,32,213,72,14,2,0,2,0,1,0,0,0,1,2,7,2,348
85,"BADAGAON INTER COLLEGE PART-3",660,547,0,1207,526,226,0,752,745,0,34,457,172,57,3,0,1,0,6,1,0,0,0,3,14,4,752
86,"BADAGAON INTER COLLGE PART-4",782,649,0,1431,437,339,0,776,769,0,188,361,159,47,1,0,0,0,2,0,0,3,1,3,3,8,776
87,"SRI KRISHNA INTER COLLEGE BADAGAON PART-1",773,670,1,1444,511,360,0,871,863,0,108,509,180,29,1,1,1,1,6,2,3,5,2,5,11,7,871
88,"SRI KRISHNA INTER COLLEGE BADAGAON PART-2",449,412,0,861,322,260,0,582,577,0,30,372,118,42,3,0,2,1,0,2,0,1,0,2,7,2,582
89,"SHRI KRISHNA INTER COLLEGE BADAGAON PART-3",538,448,0,986,360,264,0,624,618,0,63,344,157,33,1,0,2,1,1,0,2,3,5,2,3,7,624
90,"PRI SCH BHOOP NAGAR",311,289,0,600,252,209,0,461,457,0,60,266,116,9,0,0,0,0,0,0,0,0,2,1,4,3,461
91,"PRI SCH TILAITHAKALAN",499,411,0,910,478,331,0,809,802,0,74,48,664,9,5,0,1,1,0,0,1,0,0,1,3,2,809
92,"PRI SCH TILAITHA KHURD",242,208,0,450,207,171,0,378,375,0,14,41,317,2,0,1,0,0,0,0,0,0,2,1,0,0,378
93,"PRI SCH TENDOL PART-1",465,432,0,897,394,333,0,727,720,0,47,129,530,9,2,0,0,0,1,0,1,0,0,1,0,7,727
94,"PRI SCH BHUKAMPRODHI BHAWAN, TENDOL PART-2",569,505,0,1074,567,320,0,887,879,0,183,177,465,13,2,1,0,0,1,3,3,1,5,5,3,25,887
95,"PRI SCH JARBO",800,751,0,1551,650,542,0,1192,1181,0,209,362,437,86,7,1,11,3,6,2,7,4,8,15,17,17,1192
96,"PRI SCH BARETHI",206,177,0,383,199,165,0,364,361,0,10,32,308,9,0,0,1,0,0,0,0,0,0,1,2,1,364
97,"SARASWATI VIDHYA MANDI SANORA PART-1",627,574,1,1202,421,370,0,791,784,0,65,499,108,85,3,0,3,0,2,2,0,3,1,4,11,5,791
98,"SARASWATI VIDHYA MANDIR SANORA PART-2",566,548,0,1114,458,401,0,859,851,0,45,515,187,63,10,3,4,4,2,0,3,2,3,3,6,9,859
99,"PRI SCH NAI BASTI",715,660,0,1375,554,454,0,1008,999,0,37,630,227,56,5,2,1,0,4,2,2,2,6,8,9,17,1008
100,"ADARSH PRI SCH SANORA PART-1",482,440,0,922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,"ADARSH PRI SCH SANORA PART-2",682,607,0,1289,491,383,0,874,866,0,172,476,115,71,4,0,5,2,1,1,1,4,4,4,5,9,874
102,"PT RAMSAHAY SHARMA INTER COLLEGE PART-1",563,534,0,1097,440,345,0,785,778,0,32,387,290,42,1,4,3,2,0,2,1,2,2,1,8,8,785
103,"PT RAMSAHAY SHARMA INTER COLLEGE PART-2",661,615,0,1276,498,455,0,953,944,0,370,335,179,47,3,1,0,0,1,1,0,0,1,5,3,7,953
104,"PT RAMSAHAY SHARMA INTER COLLEGE PART-3",555,520,1,1076,419,348,0,767,760,0,11,519,84,144,3,1,0,0,1,0,0,0,0,1,0,3,767
105,"PT RAM SAHAY SHARMA INTER COLLEGE PART-4",459,438,0,897,300,276,0,576,571,0,17,422,83,23,4,0,7,1,0,1,1,0,1,1,7,8,576
106,"PT RAM SAHAY SHARMA I C PART-5",831,697,0,1528,586,431,0,1017,1008,0,101,524,288,27,2,1,7,5,6,1,3,8,6,12,4,22,1017
107,"नवीन कं0 प्रा0 पा0 मातवाना",663,675,0,1338,516,429,0,945,936,0,19,613,231,18,8,1,8,3,1,2,4,1,5,4,18,9,945
108,"LAXMI VYAYAMSHALA",676,578,0,1254,492,358,0,850,842,0,41,573,147,65,3,0,0,1,1,2,0,1,0,4,3,9,850
109,"D C PRI SCH NIGONAKHERA PART-1",698,625,0,1323,576,427,0,1003,994,0,53,496,363,30,5,0,10,1,3,0,4,2,5,7,8,16,1003
110,"D C PRI SCH NIGONAKHERA PART-2",466,422,0,888,336,298,0,634,628,0,48,404,121,25,3,0,5,1,2,3,5,1,1,4,3,8,634
111,"PRI SCH NAI BASTI PART-1",552,457,0,1009,396,277,0,673,667,0,12,382,238,8,3,1,3,1,2,2,2,3,2,6,2,6,673
112,"PRI SCH NAI BASTI PART-2",514,487,0,1001,397,367,0,764,757,0,43,480,117,40,3,3,8,1,2,3,2,1,5,7,18,31,764
113,"PRI SCH GHUGHUWA",623,572,0,1195,486,409,0,895,887,0,68,442,314,36,3,3,6,2,2,0,3,0,3,4,3,6,895
114,"PRI SCH CHIPLOUTA NAYA BHAWAN",628,536,0,1164,448,347,0,795,788,0,149,351,233,27,2,1,0,0,0,1,4,1,4,4,8,10,795
115,"PRI SCH DANIPURA",284,231,0,515,162,125,0,287,284,0,151,83,18,20,0,1,1,0,1,0,1,0,1,1,4,5,287
116,"PRI SCH KOTIPURA",818,690,0,1508,570,468,0,1038,1029,0,156,513,180,85,8,2,10,2,6,3,5,8,1,8,18,33,1038
117,"PRI SCH HARPURA",453,438,0,891,320,302,0,622,616,0,21,345,171,27,7,2,4,0,4,4,0,2,3,4,11,17,622
118,"PRI SCH BANGUWAN",736,689,0,1425,532,447,0,979,970,0,27,457,372,15,7,0,6,6,3,1,2,6,9,16,27,25,979
119,"KANYA PRI SCH BANGUWAN",607,568,0,1175,455,375,0,830,823,0,138,180,397,74,5,1,2,2,1,0,3,1,4,10,4,8,830
120,"PRI SCH LAXMANPURA",288,254,0,542,194,173,0,367,364,0,89,85,115,52,2,3,3,0,1,1,1,1,2,5,4,3,367
121,"PRI SCH KOLBA",457,380,0,837,397,296,0,693,687,0,45,88,539,9,1,0,2,0,0,0,1,0,1,2,3,2,693
122,"PRI SCH DOUN",499,470,0,969,400,317,0,717,711,0,210,285,162,28,4,1,3,1,1,0,0,1,0,3,8,10,717
123,"PRI SCH DIMRONI",337,296,0,633,271,209,0,480,476,0,121,83,254,3,0,0,5,2,1,0,3,0,1,4,1,2,480
124,"PRI SCH SHANKARGARH",393,330,0,723,337,281,0,618,612,0,78,474,29,4,2,1,0,0,0,0,1,3,2,7,11,6,618
125,"PRI SCH DIGARA",821,720,0,1541,614,499,0,1113,1103,0,301,279,467,30,1,1,1,3,1,1,0,4,4,6,3,11,1113
126,"PRI SCH GORAMACHIYA",629,559,0,1188,393,334,0,727,720,0,174,260,231,11,3,4,4,0,1,1,1,5,5,6,8,13,727
127,"PRI SCH DUNARA",241,247,0,488,180,177,0,357,354,0,129,147,53,11,1,1,1,1,0,0,0,0,0,1,3,9,357
128,"PRI SCH BACHAWALI BUJURG",455,428,0,883,384,288,0,672,666,0,24,363,257,4,2,1,5,0,1,1,0,1,1,4,1,7,672
129,"PRI SCH CHHAPRA",460,473,0,933,389,298,0,687,681,0,86,250,313,8,3,1,1,1,1,0,2,0,2,7,10,2,687
130,"PRI SCH MADORA PART-1",702,607,0,1309,496,318,0,814,807,0,178,365,221,17,1,2,1,0,3,1,1,0,2,1,7,14,814
131,"PRI SCH MADORA PART-2",525,395,0,920,274,183,0,457,453,0,6,150,286,4,1,0,1,0,0,1,0,0,2,2,3,1,457
132,"PRI SCH HAJIPURA",199,160,0,359,157,123,0,280,277,0,97,55,113,2,1,0,0,1,0,1,0,0,1,0,2,7,280
133,"PRI SCH UDENA",167,152,0,319,153,129,0,282,279,0,2,6,263,6,0,0,0,1,0,0,0,0,0,2,1,1,282
134,"PRI SCH LIDOURA",538,473,0,1011,459,375,0,834,826,0,101,567,138,2,1,2,1,1,3,1,1,2,4,2,4,4,834
135,"PRI SCH BEHTAPALAR",386,336,0,722,327,277,0,604,599,0,19,485,65,14,0,1,0,0,1,0,1,0,0,4,12,2,604
136,"PRI SCH JOURIKHURD",257,250,0,507,217,205,0,422,418,0,3,300,101,6,0,1,1,0,0,1,1,2,1,1,4,0,422
137,"PRI SCH JOURI BUJURG",812,666,0,1478,649,400,0,1049,1040,0,131,784,67,4,3,1,4,0,2,2,1,2,4,8,23,13,1049
138,"U PRI SCH PALAR PART-1",683,580,0,1263,569,438,0,1007,998,0,72,212,671,11,0,1,1,1,2,0,3,2,4,7,6,14,1007
139,"U PRI SCH PALAR PART-2",376,317,0,693,328,235,0,563,558,0,30,174,340,6,0,0,2,0,0,0,0,0,0,3,6,2,563
140,"PRI SCH LEWA",451,385,0,836,355,306,0,661,655,0,78,448,97,6,1,0,1,0,1,0,0,0,0,6,14,9,661
141,"U PRI SCH RANGUWAN",389,336,0,725,298,260,0,558,553,0,29,409,105,4,1,0,4,0,0,0,1,0,0,1,4,0,558
142,"PRI SCH GANGAWALI",298,282,0,580,265,236,0,501,496,0,41,33,399,9,2,0,1,0,1,0,0,0,1,6,1,7,501
143,"U PRI SCH PARSAR",411,382,0,793,344,307,0,651,645,0,38,68,515,11,1,1,0,1,0,0,1,0,2,4,3,6,651
144,"PRI SCH PALIPARSAR",245,212,0,457,221,167,0,388,385,0,6,2,376,1,0,1,0,0,0,0,0,0,0,0,1,1,388
145,"PRI SCH GAURARI",288,262,0,550,247,224,0,471,467,0,32,250,169,3,0,0,0,0,0,0,1,1,1,3,7,4,471
146,"PRI SCH TANDA",198,159,0,357,165,118,0,283,280,0,32,75,171,1,0,0,0,0,0,0,0,1,0,1,2,0,283
147,"PRI SCH BABAL",409,329,0,738,324,245,0,569,564,0,53,97,395,8,0,0,0,1,2,0,3,0,0,3,3,4,569
148,"PRI SCH GARMAU",703,580,0,1283,485,375,0,860,852,0,321,281,187,26,0,1,5,2,2,1,1,3,2,6,6,16,860
149,"PRI SCH GANDHI NAGAR",307,241,0,548,266,209,0,475,471,0,333,12,119,2,0,0,0,0,0,0,0,0,1,1,3,4,475
150,"PRI SCH TANKORI",581,538,0,1119,443,413,0,856,848,0,189,162,453,31,2,2,2,1,0,0,2,1,1,3,3,4,856
151,"PRI SCH MUSTARA",360,317,0,677,310,245,0,555,550,0,100,43,392,10,2,0,1,0,0,1,0,0,2,2,0,2,555
152,"PRI SCH PADRI",673,514,0,1187,560,355,0,915,907,0,46,165,624,30,6,1,1,2,2,1,2,2,3,10,9,11,915
153,"PRI SCH KESHAVPUR",455,397,0,852,352,302,0,654,648,0,67,275,258,14,0,4,2,1,1,1,2,0,2,7,10,10,654
154,"PRI SCH AARI",393,365,0,758,338,267,0,605,600,0,246,100,228,11,1,1,0,1,2,0,0,0,1,4,5,5,605
155,"PRI SCH MATHANPURA RAMPURA",456,383,0,839,388,310,0,698,692,0,218,104,349,7,1,0,0,0,0,0,0,2,2,2,2,11,698
156,"PRI SCH PEHELGUWAN",460,418,0,878,391,352,0,743,736,0,208,29,479,3,0,1,0,0,0,0,0,1,3,8,2,9,743
157,"PRI SCH BIRGUWAN PART-1",562,488,0,1050,384,351,0,735,728,0,429,68,187,6,0,1,2,1,0,0,2,2,3,7,7,20,735
158,"PRI SCH BIRGUWAN PART-2",395,349,0,744,324,254,0,578,573,0,35,189,332,2,3,3,1,0,0,0,1,0,1,2,4,5,578
159,"PRI SCH MABAIGIRD",714,591,0,1305,569,455,0,1024,1015,0,188,403,380,13,3,0,2,1,3,0,2,0,5,6,6,12,1024
160,"PRI SCH BARGARH",208,206,0,414,205,144,0,349,346,0,57,78,200,2,1,1,1,0,0,1,0,0,1,3,2,2,349
161,"PRI SCH POHRA",486,441,0,927,403,370,0,773,766,0,367,191,158,13,1,0,4,1,2,0,0,1,6,4,15,10,773
162,"PRI SCH KOT",439,372,0,811,385,314,0,699,693,0,122,131,386,31,1,2,3,0,1,0,0,0,3,6,3,10,699
163,"PRI SCH BEHTA",605,511,0,1116,568,371,0,939,931,0,198,139,470,88,4,0,4,2,3,4,2,0,3,6,5,11,939
164,"PU MA SCH BHOJLA PART-1",625,581,0,1206,558,443,0,1001,992,0,61,134,726,53,2,1,2,0,1,0,1,2,1,3,8,6,1001
165,"PU MA SCH BHOJLA PART-2",631,579,0,1210,480,406,0,886,878,0,224,273,311,49,1,1,1,2,0,1,2,3,3,5,4,6,886
166,"PRI SCH BHARARI",138,119,0,257,106,95,0,201,199,0,25,61,106,6,0,0,0,0,0,0,0,0,0,3,0,0,201
167,"PRI SCH LAKARA PART-1",453,355,0,808,347,194,0,541,536,0,32,152,330,10,2,1,1,0,0,0,1,0,4,4,2,2,541
168,"PRI SCH LAKARA PART-2",454,395,0,849,357,287,0,644,638,0,197,102,314,13,1,0,0,0,0,0,1,0,2,7,4,3,644
169,"PRI SCH RUNDKARARI",352,299,0,651,301,257,0,558,553,0,43,183,288,8,1,0,1,0,0,5,1,0,2,7,7,12,558
170,"PRI SCH RONIJA",271,251,0,522,158,131,0,289,286,0,99,103,76,2,1,0,0,0,0,0,1,0,0,1,3,3,289
171,"PRI SCH CHANDARA",118,102,0,220,111,89,0,200,198,0,61,74,62,0,0,1,0,0,0,0,1,0,0,0,0,1,200
172,"U PRI SCH AMBABAY PART-1",680,584,0,1264,466,407,0,873,865,0,322,248,254,22,4,1,2,1,2,2,1,1,0,1,3,9,873
173,"U PRI SCH AMBABAY PART-2",758,630,0,1388,563,457,0,1020,1011,0,188,564,198,16,5,3,1,2,4,3,3,3,4,4,7,15,1020
174,"NAVEEN PRI SCH HASTANAPUR",539,480,0,1019,422,354,0,776,769,0,195,368,170,8,1,2,2,1,1,3,2,1,2,2,6,12,776
175,"PRI SCH KALOTHRA",93,76,0,169,92,70,0,162,161,0,7,6,149,0,0,0,0,0,0,0,0,0,0,0,0,0,162
176,"PRI SCH SARMAU",502,430,0,932,295,181,0,476,472,0,47,172,235,5,1,0,0,1,1,0,2,0,0,5,4,3,476
177,"PRI SCH PARBAI",259,207,0,466,201,146,0,347,344,0,87,135,117,1,0,0,0,0,0,0,1,1,0,0,5,0,347
178,"PRI SCH DATARNAGAR",302,276,0,578,248,214,0,462,458,0,42,112,281,15,2,0,2,0,0,0,1,0,1,1,2,3,462
