"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AJIT SINGH","2 - GHULAM MOHAMMED","3 - PRASHANT CHAUDHRI","4 - DR. SATYA PAL SINGH","5 - ANIL KUMAR","6 - KRISHAN PAL","7 - YUNUSH","8 - SOMENDAR DHAKA","9 - AJAY PAL","10 - ARVIND","11 - JAIVINDRA KUMAR","12 - NISHANT","13 - RUKSANA","14 - SUBHASH CHAND KASHYAP","15 - None of the Above","Total Votes Secured"
80,"VEER SMARAK INTER COLLEGE MADHY BARAUT",594,444,0,1038,321,235,0,556,554,0,94,30,7,415,2,0,0,5,0,0,0,0,1,1,1,556
81,"VEER SMARAK INTER COLLEGE MADHY BARAUT",652,527,0,1179,470,358,0,828,813,0,36,74,80,627,3,0,1,2,0,0,1,1,0,1,2,828
82,"VEER SMARAK INTER COLLEGE DAXIN BARAUT",620,476,0,1096,487,358,0,845,845,0,58,481,45,243,2,0,0,2,0,0,2,2,2,4,4,845
83,"VEER SMARAK INTER COLLEGE DAXIN BARAUT",678,526,0,1204,445,440,0,885,885,0,163,697,14,6,1,0,0,0,0,1,0,0,1,0,2,885
84,"VEER SMARAK INTER COLLEGE DAXIN BARAUT",885,675,0,1560,573,447,0,1020,1020,0,63,915,7,30,1,0,0,0,1,0,0,1,0,0,2,1020
85,"VEER SMARAK INTER COLLEGE DAXIN BARAUT",591,471,1,1063,450,345,0,795,795,0,81,636,10,63,0,0,0,1,0,1,0,0,0,0,3,795
86,"VEER SMARAK INTER COLLEGE DAXIN BARAUT",753,542,0,1295,446,316,0,762,762,0,39,630,6,76,4,0,1,1,0,0,1,0,1,3,0,762
87,"VEER SMARAK INTER COLLEGE DAXIN BARAUT",798,591,0,1389,525,352,0,877,877,0,38,778,5,43,1,0,0,2,1,2,1,0,0,2,4,877
88,"VEER SMARAK INTER COLLEGE DAXIN BARAUT",826,653,0,1479,536,416,0,952,952,0,71,730,17,110,0,0,0,5,1,0,0,1,1,5,11,952
89,"SHRI SHIV PANCHMUKHI SANSKRT MAHAVIDHYALY R. NO. 1 BARAUT",888,679,0,1567,573,437,0,1010,1010,0,74,306,298,297,1,0,2,10,0,0,6,4,5,2,5,1010
90,"SHRI SHIV PANCHMUKHI SANSKRT MAHAVIDHYALY R. NO. 3 BARAUT",1008,820,0,1828,623,491,0,1114,1114,0,336,139,116,510,2,0,1,3,0,0,3,0,1,0,3,1114
91,"SHRI SHIV PANCHMUKHI SANSKRT MAHAVIDHYALY R. NO. 5 BARAUT",569,511,1,1081,343,316,0,659,659,0,58,112,108,356,4,2,1,1,0,2,6,4,2,0,3,659
92,"SHRI SHIV PANCHMUKHI SANSKRT MAHAVIDHYALY R. NO. 2 BARAUT",681,570,0,1251,384,340,0,724,724,0,210,38,19,441,3,1,0,5,0,1,3,2,0,0,1,724
93,"SHRI SHIV PANCHMUKHI SANSKRT MAHAVIDHYALY HAAL BARAUT",361,304,0,665,171,143,0,314,308,0,62,62,11,176,0,0,0,3,0,0,0,0,0,0,0,314
94,"SHRI SHIV PANCHMUKHI SANSKRT MAHAVIDHYALY R. NO. 4 BARAUT",676,525,2,1203,493,386,0,879,857,0,53,126,14,660,4,0,0,1,0,0,12,3,2,2,2,879
95,"BEPIST MITION PRIMARI PATHSHALA PURAB BARAUT",419,345,0,764,291,245,0,536,530,0,80,23,264,162,1,0,0,0,0,1,0,1,2,1,1,536
96,"BEPIST MITION PRIMARI PATHSHALA PASCHIM BARAUT",650,539,0,1189,432,325,0,757,757,0,85,217,98,349,4,0,0,0,0,0,2,0,0,0,2,757
97,"PRIMARI PATHSHALA PATTI MEHAR NAZUL KI BHUMI ME STHIT BARAUT",516,428,0,944,383,319,0,702,702,0,91,55,9,535,3,0,0,3,0,0,4,1,0,0,1,702
98,"PRIMARI PATHSHALA PATTI MEHAR DAXIN BARAUT",686,596,0,1282,479,394,0,873,873,0,98,109,163,482,6,0,0,5,1,1,2,3,1,2,0,873
99,"PRIMARI PATHSHALA PATTI MEHAR DAXIN BARAUT",497,408,0,905,343,279,0,622,610,0,50,7,0,559,2,1,0,0,0,0,2,0,0,0,1,622
100,"PRIMARI PATHSHALA PATTI CHODHRAN BARAUT",439,341,0,780,308,194,0,502,502,0,18,369,1,104,0,0,0,7,0,0,1,0,0,1,1,502
101,"PRIMARI PATHSHALA PATTI CHODHRAN BARAUT",791,584,0,1375,534,371,0,905,896,0,25,856,3,14,1,0,0,2,0,0,0,0,0,4,0,905
102,"LAXMIBAI PRIMARI PATHSHALA R. NO. 1 PATTI CHODHRAN BARAUT",733,564,0,1297,443,341,0,784,784,0,152,470,21,133,0,0,0,0,1,0,0,2,0,0,5,784
103,"LAXMIBAI PRIMARI PATHSHALA R. NO. 2 PATTI CHODHRAN MADHY BARAUT",444,329,0,773,285,200,0,485,473,0,31,403,5,40,1,0,1,1,0,1,0,0,0,1,1,485
104,"JAIN DEGREE COLLEGE R. NO. 1 BARAUT",549,472,0,1021,387,358,0,745,745,0,44,288,2,401,3,1,0,2,0,0,1,0,1,0,2,745
105,"JAIN DEGREE COLLEGE MADHY BARAUT",409,337,0,746,316,195,0,511,509,0,26,142,4,330,0,0,0,3,0,1,1,0,1,0,3,511
106,"JAIN DEGREE COLLEGE MADHY BARAUT",292,265,0,557,234,176,0,410,382,0,17,3,3,383,1,0,0,2,0,0,0,1,0,0,0,410
107,"JAIN DEGREE COLLEGE MADHY BARAUT",262,225,0,487,184,127,0,311,284,0,15,23,0,273,0,0,0,0,0,0,0,0,0,0,0,311
108,"JAIN DEGREE COLLEGE MADHY BARAUT",715,568,0,1283,509,365,0,874,853,0,36,345,3,472,3,0,0,3,0,1,2,1,2,3,3,874
109,"JAIN DEGREE COLLEGE MADHY BARAUT",510,389,0,899,357,275,0,632,605,0,45,119,13,440,3,0,0,0,1,1,6,3,0,0,1,632
110,"BHARAT MATA SARSWATI SHISHU MANDIR SHANTI NAGAR NALE KE PAAS BARAUT",514,460,0,974,388,289,0,677,677,0,249,24,5,384,0,0,0,4,0,0,3,4,0,0,4,677
111,"PRIMARY PATHSHALA ARJUNPURAM NIKAT C. O. OFFICE BARAUT",709,612,0,1321,546,383,0,929,918,0,135,199,9,575,3,0,0,0,0,0,2,1,1,1,3,929
112,"PRIMARY PATHSHALA R. NO. 1 ARJUNPURAM NIKAT C. O. OFFICE BARAUT",605,464,0,1069,381,281,0,662,662,0,128,272,25,232,1,0,0,0,1,1,0,2,0,0,0,662
113,"PRIMARY PATHSHALA R. NO. 2 ARJUNPURAM NIKAT C. O. OFFICE BARAUT",351,274,0,625,223,190,0,413,405,0,183,68,2,157,0,0,0,2,0,0,0,0,0,0,1,413
114,"GANDHI INTER COLLEGE UTTAR BARAUT",593,496,0,1089,426,331,0,757,748,0,245,111,4,388,1,0,0,2,1,0,4,0,0,0,1,757
115,"GANDHI INTER COLLEGE BARAUT",756,605,0,1361,347,302,0,649,648,0,301,18,0,324,1,0,0,1,0,1,2,0,1,0,0,649
116,"GANDHI INTER COLLEGE BARAUT",524,388,0,912,270,223,0,493,493,0,171,22,1,294,1,0,0,1,0,0,2,0,0,1,0,493
117,"GANDHI INTER COLLEGE R. NO. 3 UTTAR BARAUT",593,508,0,1101,359,325,0,684,680,0,109,295,15,253,0,1,0,2,0,0,4,2,1,0,2,684
118,"GANDHI INTER COLLEGE R. NO.1 UTTAR BARAUT",425,319,0,744,288,207,0,495,490,0,34,137,7,301,4,1,0,4,0,0,3,1,0,0,3,495
119,"GANDHI INTER COLLEGE R. NO. 2 UTTAR BARAUT",665,523,0,1188,285,248,0,533,533,0,123,88,9,303,6,0,0,3,0,1,0,0,0,0,0,533
120,"GANDHI INTER COLLEGE UTTAR BARAUT",602,492,0,1094,298,237,0,535,531,0,174,75,5,273,0,0,0,6,0,0,2,0,0,0,0,535
121,"STHANAK WASI GIRLS DEGRI COLLEGE R. NO. 1 MADHY BARAUT",753,592,0,1345,554,408,0,962,941,0,66,140,18,720,3,1,0,5,0,0,5,3,0,0,1,962
122,"STHANAK WASI GIRLS DEGRI COLLEGE R. NO. 2  MADHY BARAUT",730,631,0,1361,500,314,0,814,814,0,131,40,7,612,3,0,0,10,1,0,5,1,2,1,1,814
123,"STHANAK WASI GIRLS DIGREE COLLEGE R. NO. 3 BARAUT",638,561,0,1199,374,301,0,675,655,0,149,47,10,466,0,0,0,2,0,1,0,0,0,0,0,675
124,"STHANAK WASI GIRLS DIGREE COLLEGE R. NO. 4 BARAUT",636,562,0,1198,395,378,0,773,758,0,247,15,11,485,2,1,0,6,0,0,3,2,0,0,1,773
125,"STHANAK WASI GIRLS DIGREE COLLEGE R. NO. 6 BARAUT",483,387,2,872,324,169,0,493,473,0,138,6,9,329,1,1,0,3,0,0,1,0,0,0,5,493
126,"STHANAK WASI GIRLS DIGREE COLLEGE R. NO. 5 BARAUT",448,378,0,826,287,200,0,487,487,0,28,5,3,442,0,0,0,6,0,1,0,0,0,1,1,487
127,"DIGAMBAR JAIN INTER COLLEGE MADHY BARAUT",508,447,0,955,338,286,0,624,615,0,125,4,2,488,0,0,0,3,0,0,0,0,0,0,2,624
128,"DIGAMBAR JAIN INTER COLLEGE MADHY BARAUT",422,378,0,800,246,249,0,495,495,0,166,2,6,314,0,3,0,3,0,0,0,1,0,0,0,495
129,"DIGAMBAR JAIN INTER COLLEGE MADHY BARAUT",790,606,0,1396,478,361,0,839,839,0,127,12,6,673,3,2,1,9,0,1,3,0,0,1,1,839
130,"DIGAMBAR JAIN INTER COLLEGE MADHY BARAUT",481,402,0,883,342,235,0,577,577,0,101,7,15,441,2,0,0,1,0,0,2,5,0,1,2,577
131,"DIGAMBAR JAIN INTER COLLEGE MADHY BARAUT",348,317,0,665,265,203,0,468,464,0,21,5,2,434,0,0,0,3,0,0,1,0,0,0,2,468
132,"DIGAMBAR JAIN INTER COLLEGE MADHY BARAUT",791,652,0,1443,592,465,0,1057,1057,0,60,116,9,837,14,0,0,6,2,1,5,5,0,0,2,1057
133,"DIGAMBAR JAIN INTER COLLEGE MADHY BARAUT",779,638,0,1417,500,378,0,878,862,0,117,25,6,713,1,0,0,4,0,0,4,5,0,0,3,878
134,"PRIMARI PATHSHALA JALALPUR",866,616,0,1482,563,460,0,1023,1023,0,11,737,95,155,4,0,2,0,0,0,4,2,0,9,4,1023
135,"ATI0 HARIJAN CHOPAL LOHADDA",456,346,0,802,270,274,0,544,528,0,67,10,82,376,2,0,0,1,0,0,4,2,0,0,0,544
136,"PRIMARI PATHSHALA NO. 1 R. NO. 1 LOHADDA",483,366,0,849,310,234,0,544,544,0,124,100,4,305,1,0,0,0,0,0,2,5,1,0,2,544
137,"PRIMARI PATHSHALA NO. 1 R. NO. 2 LOHADDA",470,367,0,837,322,256,0,578,578,0,233,2,0,337,1,0,0,0,0,2,1,0,0,1,1,578
138,"PRIMARI PATHSHALA NO. 3 WAJIDPUR",602,374,0,976,410,187,0,597,597,0,94,44,232,207,2,1,0,3,0,0,5,3,1,1,4,597
139,"PRIMARI PATHSHALA NO. 1 WAJIDPUR",807,536,0,1343,527,343,0,870,870,0,535,55,38,231,1,0,1,0,0,0,2,0,0,6,1,870
140,"PRIMARI  KANYA PATHSHALA WAJIDPUR",435,333,0,768,327,222,0,549,549,0,177,14,3,342,2,0,1,0,0,1,6,2,0,0,1,549
141,"ISLAMIYA SCHOOL R. NO. 2 WAJIDPUR",551,347,0,898,371,216,0,587,580,0,109,108,90,261,3,0,0,0,1,1,1,5,1,2,5,587
142,"ISLAMIYA SCHOOL R. NO. 3 WAJIDPUR",499,353,0,852,275,185,0,460,460,0,106,16,45,272,2,0,0,1,0,2,6,3,0,1,6,460
143,"PANCHAYAT GHAR WAJIDPUR",325,260,0,585,225,167,0,392,387,0,156,53,14,151,2,0,1,0,0,0,6,4,0,0,5,392
144,"POORV MADHYMIK JUNIOR HIGH SCHOOL ANGADPUR",579,459,0,1038,358,282,0,640,640,0,43,134,53,392,1,0,0,0,0,2,1,2,2,3,7,640
145,"B0 PRATHMIK VIDHYALY NO. 1 ANGADPUR",719,581,0,1300,499,400,0,899,899,0,135,516,31,186,2,1,1,2,3,0,3,3,1,10,5,899
146,"POORV MADHYMIK VIDHYALY R. NO. 1 UTTAR JOHDI",557,391,0,948,400,302,0,702,690,0,35,209,5,420,4,0,0,2,0,1,8,4,1,9,4,702
147,"POORV MADHYMIK VIDHYALY R. NO. 2 UTTAR JOHDI",666,492,0,1158,462,302,0,764,764,0,270,95,6,377,2,0,1,0,0,0,3,3,2,1,4,764
148,"SHAHEED DHARMPAL SINGH ADARSH PRATHMIK VIDHYALY JOHDI",908,623,0,1531,604,446,0,1050,1050,0,104,205,338,366,2,1,2,0,2,6,5,6,6,2,5,1050
149,"PRATHMIK VIDHYALY ARIFPUR KHERI",759,553,0,1312,543,381,0,924,924,0,554,14,112,232,0,0,0,2,0,0,4,0,1,2,3,924
150,"PRIMARY PATHSHALA UTTAR BADAWAD",664,535,0,1199,477,344,0,821,813,0,288,283,15,212,0,0,0,2,0,1,3,2,1,1,13,821
151,"PRIMARY PATHSHALA MADHY BADAWAD",505,391,0,896,370,246,0,616,613,0,245,31,130,205,0,0,0,0,0,1,0,1,0,1,2,616
152,"PRIMARY PATHSHALA DAXIN BADAWAD",501,400,0,901,299,263,0,562,558,0,187,77,64,209,4,2,0,0,0,0,9,2,5,0,3,562
153,"PRIMARI PATHSHALA LATIFPUR SABHAKHEDI",193,154,0,347,158,129,0,287,287,0,15,236,6,29,0,0,0,0,0,0,0,0,0,0,1,287
154,"PRIMARI PATHSHALA POORV GURANA",620,446,0,1066,425,274,0,699,699,0,576,4,2,108,2,0,0,1,0,1,0,1,0,0,4,699
