"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - DHARMENDRA KUMAR","2 - SALEEM IQBAL SHERVANI","3 - KUNWAR SARVRAJ SINGH","4 - SUNITA SHAKYA","5 - IRSHAD ANSARI ADVOCATE","6 - OM VEER","7 - MOHD. ZARRAR KHAN","8 - JITENDRA SINGH YADAV","9 - NARESH SINGH SOLANKI","10 - PRAMOD KUMAR YADAV","11 - YOGENDRA KUMAR VERMA","12 - CAPTAIN P.C. SHARMA","13 - ARSHADURRAZA KHAN","14 - None of the Above","Total Votes Secured"
17,"PRI. PATH. ANJANI MU. R. NO. 1( H. NO. 1 TO 30   + ANJANI ETMALI )",455,418,0,873,339,249,0,588,588,0,359,22,91,101,0,0,0,2,1,0,0,4,3,5,588
18,"PRI. PATH. ANJANI MU. R. NO. 2 ( H. NO. 31 TO END )",530,457,0,987,329,245,0,574,574,0,306,10,140,108,2,0,0,1,0,1,0,3,0,3,574
19,"PRI. PATH. DHAURELA MU0",195,163,0,358,162,116,0,278,278,0,86,8,179,0,0,1,0,0,0,0,1,1,0,2,278
20,"PRI. PATH. SHIVPURI UTTARI BHAG",723,592,0,1315,447,391,0,838,838,0,184,9,267,351,6,1,1,0,4,1,7,2,2,3,838
21,"PR. PATH SHIVPUR NORTH PATH",716,608,0,1324,457,346,0,803,803,0,348,98,222,112,4,1,1,1,3,1,0,1,1,10,803
22,"J. H. SCHOOL SHIVPUR R.N. 1",549,432,0,981,318,250,0,568,567,0,346,47,153,4,1,0,0,0,1,1,3,1,1,10,568
23,"J. H. SCHOOL SHIVPUR R.N. 2",764,637,0,1401,404,316,0,720,720,0,389,22,112,144,5,2,3,1,4,2,10,6,7,13,720
24,"PRI. KANYA PATH. SHIVPUR",390,332,0,722,234,187,0,421,421,0,69,2,58,268,2,0,0,0,0,2,7,2,2,9,421
25,"PRI. PATH. HAJIPUR",397,300,0,697,170,137,0,307,307,0,248,10,30,13,0,0,0,0,3,0,2,0,0,1,307
26,"PRI. PATH. NAMDARGANJ",432,354,0,786,292,258,0,550,550,0,81,4,310,147,1,0,0,1,1,0,0,0,1,4,550
27,"PRI. PATH GURWA",425,364,0,789,254,224,0,478,478,0,73,10,240,146,1,1,2,0,0,2,1,0,0,2,478
28,"PRI. PATH. DHANAURA GAURI R. NO. 1",514,419,0,933,331,256,0,587,580,0,258,15,189,104,0,0,1,1,2,0,5,2,3,7,587
29,"RPI. PATH. DHANAURA GAURI R. NO. 2",387,327,0,714,258,215,0,473,473,0,235,22,18,165,2,2,4,0,2,0,5,2,3,13,473
30,"PRI. PATH. SONA",683,629,0,1312,435,377,0,812,808,0,394,84,95,213,1,2,2,2,4,0,1,1,5,8,812
31,"PRI. PATH. KHARGAPUR",419,359,0,778,288,186,0,474,474,0,306,13,94,44,1,0,2,0,0,4,0,2,2,6,474
32,"PRI. PATH. KALYANPUR GAIVATPUR R. NO. 1",557,465,0,1022,288,309,0,597,596,0,23,287,251,17,3,1,0,0,3,2,1,1,4,4,597
33,"PRI. PATH. KALYANPUR GAIVATPUR R. NO. 2",443,369,0,812,257,242,0,499,499,0,19,251,187,14,2,0,3,1,0,1,5,5,8,3,499
34,"PRI. PATH. AURANGABAD",312,257,1,570,237,205,0,442,442,0,172,51,163,49,0,0,0,0,0,0,1,0,1,5,442
35,"PRI. PATH. PATTHA",647,535,0,1182,392,285,0,677,677,0,233,104,298,20,1,1,0,0,4,0,4,3,0,9,677
36,"PRI. PATH. KESARPUR R. NO. 1",847,663,0,1510,403,334,0,737,737,0,158,208,206,118,4,2,3,3,1,1,10,5,7,11,737
37,"RPI.PATH. KESARPUR R. NO. 2",765,637,0,1402,390,368,0,758,758,0,164,306,235,17,0,1,2,2,0,1,2,8,7,13,758
38,"PRI. PATH NYA BHAWAN CHANDUPURA",482,374,0,856,259,224,0,483,481,0,395,10,49,10,2,0,0,0,1,1,2,1,1,11,483
39,"LAL JEEVAN I.C. AJAMER",503,397,0,900,243,238,0,481,481,0,122,101,203,42,0,2,1,0,0,0,1,3,3,3,481
40,"PRI. PATH. SHAHAWAJPUR",706,590,0,1296,301,385,0,686,684,0,23,112,517,15,0,0,3,2,0,0,3,6,2,3,686
41,"PRI. PATH. DEVLAYARA URF SANGRAMPUR",822,684,0,1506,494,357,0,851,847,0,623,38,98,49,2,1,2,3,2,3,9,4,2,15,851
42,"PRI. PATH VARSER SIKANDRAPUR R. NO. 1",670,570,0,1240,428,325,0,753,753,0,433,11,124,154,4,3,0,0,0,1,7,1,4,11,753
43,"PRI.PATH. VARSERPUR SIKANDRAPUR R. NO. 2",713,592,0,1305,474,376,0,850,850,0,522,61,214,13,1,0,1,0,0,1,4,3,5,25,850
44,"PRI. PATH DASTAMAPUR",312,254,0,566,242,208,0,450,447,0,12,19,371,45,0,1,0,0,0,0,1,0,0,1,450
45,"PRI.PATH LEELAUR BUHURG",380,319,0,699,271,225,0,496,483,0,178,1,262,47,1,0,1,0,2,0,1,0,0,3,496
46,"J.H.S. LEELAUR SAHASA",459,356,0,815,236,176,0,412,386,0,177,17,204,6,0,0,2,0,1,0,2,0,0,3,412
47,"PRI. PATH. LEELAUR CHAHARAM",292,248,0,540,167,132,0,299,299,0,131,0,160,2,0,0,1,0,0,0,2,0,1,2,299
48,"PRI. PATH SUNRASI",346,286,0,632,223,179,0,402,402,0,119,9,180,62,2,0,1,1,1,0,3,5,5,14,402
49,"PRI. PATH RAMPURA BHUD",426,332,0,758,222,193,0,415,415,0,114,10,128,139,3,0,1,0,2,1,2,2,2,11,415
50,"PRI.PATH VYODHAN BUJURG",718,580,0,1298,485,329,0,814,786,0,251,12,40,486,1,2,1,1,1,1,7,2,2,7,814
51,"PRI.PATH PRATHAVIPUR",209,173,0,382,174,115,0,289,289,0,121,2,159,2,0,0,0,0,1,2,0,1,0,1,289
52,"PRI.PATH. PATTI MAJARA PRATHVIPUR",370,288,0,658,271,180,0,451,451,0,89,10,321,4,1,2,0,3,6,0,4,3,1,7,451
53,"P.P. GULADIYA ARIL",839,702,0,1541,669,204,0,873,873,0,286,47,386,120,3,0,1,0,2,0,4,3,3,18,873
54,"P.P. TAKHA URF SUKATIYA",596,409,0,1005,406,220,0,626,626,0,241,20,224,107,5,2,2,0,1,0,2,8,1,13,626
55,"P.P. NAWABAPURA R. NO. 1 ( H NO. 1 TO 70)",455,375,0,830,257,219,0,476,475,0,75,28,103,258,2,0,3,0,0,1,2,0,1,3,476
56,"P.P. NAWABAPURA R. NO.2 ( H. NO. 71 TO LAST)",456,372,0,828,217,181,0,398,398,0,241,12,68,52,2,2,0,0,3,1,4,0,0,13,398
57,"PANCHAYT GHAR VYODHAN KHURD",734,559,0,1293,435,301,0,736,736,0,564,32,77,34,0,3,3,0,2,2,6,2,1,10,736
58,"P.P. VYODHAN KHURD",693,543,0,1236,394,302,0,696,696,0,331,12,78,254,4,0,4,0,0,0,4,2,0,7,696
59,"P.P. PIPARIYA VEERPUR",355,291,0,646,265,221,0,486,486,0,150,5,31,294,1,0,0,0,0,0,1,1,0,3,486
60,"NYA P.P. PHUNDAPQU URF ATA R.NO. 1",522,446,0,968,358,278,0,636,636,0,406,49,118,35,2,0,0,1,0,1,3,2,6,13,636
61,"NYA P.P. PHUNDAPQU URF ATA R.NO. 2",201,164,0,365,127,107,0,234,234,0,196,2,8,27,0,0,0,0,0,0,0,0,0,1,234
62,"P.P. VARATHANPUR",726,586,0,1312,530,375,0,905,900,0,259,21,371,236,3,0,3,1,2,0,3,1,1,4,905
63,"P.P. VELABOJHI",409,335,0,744,303,222,0,525,525,0,459,5,15,36,1,2,0,0,0,1,1,2,2,1,525
64,"P.P. JANGBAJPUR R.NO.1",382,291,0,673,256,168,0,424,424,0,157,31,149,69,1,1,0,1,4,2,1,1,2,5,424
65,"P.P. JANGBAJPUR R.NO.2",328,270,0,598,225,146,0,371,371,0,120,28,196,16,1,0,0,0,0,0,2,0,2,6,371
66,"P.P. RAMPURA BHOPATNAGAR R. NO. 1 ( H. NO. 1 TO 130 )",469,382,0,851,234,190,0,424,424,0,162,201,48,1,1,1,0,0,1,0,2,0,1,6,424
67,"P.P. RAMPURA BHOPATNAGAR R. NO. 2 ( H. NO. 131 TO LAST )",438,361,0,799,273,196,0,469,469,0,266,97,45,39,1,0,0,1,1,1,1,2,2,13,469
68,"P.P. NYA BHAWAN HARDASPUR R. NO. 1",522,461,0,983,288,235,0,523,523,0,165,150,87,104,1,1,1,0,0,0,4,1,2,7,523
69,"P.P. NYA BHAWAN HARDASPUR R. NO. 3",437,360,0,797,232,190,0,422,422,0,122,132,146,10,1,0,0,0,1,0,1,1,1,7,422
70,"P.P. NYA BHAWAN HARDASPUR R. NO. 2",910,731,0,1641,511,330,0,841,841,0,586,76,67,79,0,2,0,0,2,3,10,1,2,13,841
71,"P.P. CHAKARPUR GAHI",763,606,0,1369,453,296,0,749,744,0,312,19,309,68,5,0,1,0,1,8,4,8,3,11,749
72,"P.P. ISLAMNAGAR URF DALIPPUR",540,430,0,970,345,247,0,592,592,0,151,18,52,345,3,0,0,1,0,2,6,5,2,7,592
73,"J.H.S. RAMNAGAR UTTARI KAMARA",920,718,0,1638,582,420,0,1002,1002,0,313,56,281,308,5,0,3,1,4,2,6,9,3,11,1002
74,"J.H.S. RAMNAGAR DAJHIDI KAMARA R. NO. 2",545,414,0,959,306,207,0,513,513,0,295,21,135,42,0,0,1,0,0,2,0,4,5,8,513
75,"J.H.S. RAMNAGAR DAJHIDI KAMARA R. NO. 3",464,388,0,852,296,216,0,512,512,0,220,49,189,41,1,0,1,0,0,1,0,2,0,8,512
76,"P.P. LACHCHHAMAPUR",494,376,0,870,397,269,0,666,666,0,439,11,141,42,3,0,1,1,8,2,4,1,1,12,666
77,"P.P. RALULAPUR MAJHARA RAMNAGAR",232,209,0,441,174,132,0,306,306,0,262,12,18,3,0,0,2,0,1,0,1,0,1,6,306
78,"PRI.PAT. GANESHPUR STHI GRAM PUNNAPUR MAZRA RAMNAGAR",264,197,0,461,210,140,0,350,350,0,207,6,119,7,1,1,1,0,1,0,1,1,0,5,350
79,"P.P. JAGANNATHPUR",643,522,0,1165,418,342,0,760,760,0,242,10,195,288,2,2,0,0,0,1,6,2,0,12,760
80,"J.H.S. MADKARA MAZARA JAGANNATHPUR",300,257,0,557,234,175,0,409,407,0,339,10,17,33,0,0,0,0,0,2,1,1,1,5,409
81,"PRI.PATH. GURUGAWAN MU0 NORTH BLOCK R.NO.1",613,489,0,1102,122,139,0,261,261,0,186,26,17,6,0,1,0,1,8,0,1,1,2,12,261
82,"PRI.PATH. GURUGAWAN MU0 NORTH BLOCK R.NO.3",445,331,0,776,124,122,0,246,246,0,206,8,7,4,0,0,0,0,4,1,0,3,3,10,246
83,"P.P. GURUGAWAN MU. SOUTH BLOCK R, NO. 2",490,369,0,859,229,174,0,403,403,0,269,54,26,38,1,1,1,0,0,1,2,0,2,8,403
84,"P.P. GURUGAWAN MU. SOUTH BLOCK R, NO. 4",480,388,0,868,253,226,0,479,479,0,87,30,60,286,0,1,1,0,0,1,5,1,2,5,479
85,"LAL BAHADUR SHASTRI J. H. SCHOOL GURUGAWAN R. NO. 1",649,437,0,1086,276,201,0,477,476,0,290,18,146,7,0,1,1,2,1,0,2,0,1,8,477
86,"LAL BAHADUR SHASTRI J. H. SCHOOL GURUGAWAN R. NO. 2",564,342,0,906,306,169,0,475,473,0,167,6,282,3,0,1,0,1,0,0,1,4,1,9,475
87,"J.H.S. GANESHPUR",570,445,0,1015,330,252,0,582,582,0,439,27,45,43,1,0,1,1,1,2,3,1,4,14,582
88,"PRI.PATH LABHARI R. NO. 1",513,387,0,900,316,197,0,513,512,0,394,26,59,15,4,0,0,0,0,2,1,1,1,10,513
89,"PRI.PATH LABHARI R. NO. 2",498,355,0,853,243,137,0,380,380,0,238,23,32,62,1,0,1,1,1,1,4,1,3,12,380
90,"P.P. PIPARIYA UPRALA R. NO. 1",515,436,0,951,257,217,0,474,432,0,148,6,58,248,1,0,0,0,2,0,4,1,2,4,474
91,"P.P. PIPARIYA UPRALA R. NO. 2",445,356,0,801,274,208,0,482,482,0,175,12,265,21,1,0,0,0,3,1,1,0,1,2,482
92,"P.P. GAUTIYA DALCHAND",284,230,0,514,207,161,0,368,368,0,274,7,25,53,1,1,0,0,0,0,1,1,1,4,368
93,"P.P. SHIKHA",301,215,0,516,243,164,0,407,407,0,387,3,16,1,0,0,0,0,0,0,0,0,0,0,407
94,"P.P. JHAUNAGALA",424,324,0,748,137,132,0,269,269,0,173,3,36,38,2,0,0,1,0,1,7,0,0,8,269
95,"P.P. GIRDHARPUR",458,365,0,823,342,242,0,584,584,0,228,9,175,149,3,0,0,0,1,1,2,4,2,10,584
96,"P.P. BHUDA BASNTPUR",522,384,0,906,441,277,0,718,718,0,437,10,109,114,1,1,1,1,0,6,8,9,1,20,718
97,"P.P. BHUDA",565,393,0,958,319,217,0,536,536,0,128,4,354,19,2,0,3,2,4,1,2,1,1,15,536
98,"P.P. MUGALPUR",794,577,0,1371,556,351,0,907,902,0,606,62,66,154,1,0,2,2,1,0,2,1,3,7,907
99,"P.P. KATAROI BUJURGA",282,209,0,491,219,155,0,374,372,0,192,11,119,43,0,2,0,0,1,0,1,2,1,2,374
100,"P.P. RUKHADA",390,362,0,752,303,264,0,567,563,0,242,6,250,60,1,0,0,0,1,0,3,2,1,1,567
101,"P.P. KATARAIYA MAZARA RUKHADA",484,375,0,859,296,221,0,517,511,0,254,19,166,59,1,4,1,0,1,0,0,4,5,3,517
102,"P.P.  BADAGANW  R.NO. 1",590,506,0,1096,383,304,0,687,687,0,327,34,22,265,3,0,1,0,2,0,5,6,4,18,687
103,"P.P.  BADAGANW  R.NO. 2",674,550,0,1224,401,289,0,690,673,0,472,13,72,110,0,0,0,2,0,2,0,1,3,15,690
104,"P.P. GULADIYA UPARALA",760,616,0,1376,467,360,0,827,827,0,641,20,59,87,2,0,1,1,0,0,2,0,2,12,827
105,"P.P. KHATETA",864,673,0,1537,527,396,0,923,923,0,302,55,321,212,4,0,0,0,1,15,2,2,0,9,923
106,"P.P. KALYANPUR",504,388,0,892,344,211,0,555,555,0,117,3,379,37,2,1,1,2,0,0,3,6,1,3,555
107,"P.P. MANJHA",254,194,0,448,169,131,0,300,298,0,250,20,17,8,0,0,0,0,0,0,0,1,2,2,300
108,"KISAN SEVA KENDRA BHIMAPUR KATAUTI",241,197,0,438,192,130,0,322,322,0,187,8,73,34,1,0,2,1,0,1,4,1,2,8,322
109,"P.P. NASATAJGANJ",539,430,0,969,354,294,0,648,648,0,325,85,63,139,0,0,1,2,5,1,2,1,2,22,648
110,"P.P. AALAMPUR KOT",258,197,0,455,198,124,0,322,319,0,155,8,92,51,3,0,0,0,4,0,2,1,3,3,322
111,"P.P. CHANDUPURA SHIVNAGAR",508,404,0,912,357,248,0,605,605,0,456,12,102,17,1,1,1,0,0,0,2,0,4,9,605
112,"P.P. UDAYBHANPUR URF ANANDPUR",803,652,0,1455,537,454,0,991,991,0,589,15,117,230,4,1,2,2,1,2,2,4,5,17,991
113,"P.P. VAREEKHEDA",705,559,0,1264,421,306,0,727,722,0,267,20,42,380,2,0,0,1,7,2,3,0,1,2,727
114,"P.P. DEVKOLA",494,389,0,883,389,279,0,668,505,0,495,9,34,120,2,1,1,0,1,1,0,0,0,4,668
115,"P.P. AJUDHYA",334,252,0,586,266,179,0,445,345,0,394,2,34,4,0,0,2,0,2,0,0,0,2,5,445
116,"P.P. RAMPURA",365,294,0,659,283,224,0,507,507,0,332,8,146,10,0,0,2,1,0,0,1,1,1,5,507
117,"P.P. BAJHEDA",791,644,0,1435,592,325,0,917,891,0,212,25,441,183,7,2,3,0,0,4,13,6,5,16,917
118,"P.P. KHANGANWA SHYAM R. NO. 1",498,434,0,932,350,301,0,651,651,0,64,5,181,381,7,1,0,0,0,1,5,0,0,6,651
119,"P.P. KHANGANWA SHYAM R. NO. 2",464,406,0,870,330,272,0,602,602,0,165,11,373,37,1,0,1,0,1,0,3,2,2,6,602
120,"P.P. AAJAMPUR MAZARA KHANGANWA SHYAM",508,398,0,906,334,285,0,619,619,0,101,6,483,10,2,0,0,0,1,0,2,7,3,4,619
121,"P.P. BARA SIRSA R. NO. 1",693,559,0,1252,440,316,0,756,746,0,403,16,224,75,1,1,5,1,1,1,7,1,6,14,756
122,"P.P. BRA SIRSA ER. NO. 2",643,509,1,1153,358,266,0,624,624,0,158,3,270,169,3,0,1,1,1,2,2,4,1,9,624
123,"P.P. BHEEMLAOR RASULPUR",672,599,0,1271,448,366,0,814,814,0,272,51,275,189,2,1,0,0,0,1,5,5,4,9,814
124,"P.P. BHAJANAI",317,267,0,584,230,189,0,419,419,0,194,2,109,105,0,1,0,0,0,0,2,2,1,3,419
125,"SARDAR BHAGAT SINGH HIGH S. SCHOOL R. NO.1 RAJPURA KALAN",814,644,0,1458,500,345,0,845,845,0,312,132,292,82,1,1,1,1,0,4,3,0,7,9,845
126,"SARDAR BHAGAT SINGH H.S.S. R. NO. 2 RAJPUR KALAN",848,647,0,1495,480,283,0,763,763,0,136,173,170,266,2,0,0,1,2,1,2,2,4,4,763
127,"P.P. GAUTIYA MZARA RAJPUR KANLA",641,496,1,1138,511,255,0,766,766,0,233,30,445,37,0,0,0,0,0,1,3,1,4,12,766
128,"P.P. MADAUNA URF PATAPRAGANJ",454,401,0,855,301,248,0,549,549,0,278,20,73,157,1,0,3,1,1,1,5,1,4,4,549
129,"P.P. KIDAUNA R. N0. 1",529,443,0,972,277,232,0,509,507,0,268,67,49,114,1,0,0,0,0,0,3,0,4,3,509
130,"P.P. KIDAUNA R. NO2",534,478,0,1012,360,337,0,697,697,0,106,17,69,486,5,1,0,1,1,1,1,1,0,8,697
131,"P.P. KUNDRIYA FAIJULAPUR R. NO2",513,427,0,940,385,283,0,668,668,0,198,181,61,193,3,2,0,1,3,4,14,4,0,4,668
132,"P.P KUDARIA FAIJULAPUR R. NO.2",542,457,0,999,408,280,0,688,688,0,487,51,47,82,0,1,1,0,0,0,4,1,3,11,688
133,"P. P, INCHAORJHUNANAGAR",621,555,0,1176,383,302,0,685,685,0,433,30,53,142,0,2,2,0,1,1,4,2,2,13,685
134,"J.H.S ANURUDHAPUR",935,713,0,1648,603,445,0,1048,1043,0,583,84,59,296,0,1,0,2,0,0,2,2,4,15,1048
135,"P.P. HAFISAGANJ",557,487,0,1044,450,351,0,801,801,0,449,18,170,151,7,0,1,0,0,1,2,0,1,1,801
136,"P.P. RAUHATAPUR",435,359,0,794,216,207,0,423,423,0,273,13,113,9,0,1,2,0,0,0,1,2,2,7,423
137,"P.P. KAINI SHIV NAGAR",657,506,0,1163,434,288,0,722,722,0,530,16,26,135,1,0,0,0,0,0,1,1,1,11,722
138,"P.P. MAHOWA",276,240,0,516,153,129,0,282,282,0,149,8,85,30,0,0,0,0,2,0,1,0,2,5,282
139,"P.P. DAKIYA",516,427,0,943,369,261,0,630,630,0,500,9,30,75,1,2,2,2,0,0,1,0,1,7,630
140,"P.P. VIVANI",576,500,0,1076,416,358,0,774,774,0,680,26,47,9,0,0,0,1,0,2,2,0,3,4,774
141,"P.P. KAMALPUR",268,222,0,490,202,158,0,360,360,0,203,13,125,7,0,1,1,0,1,0,1,3,1,4,360
142,"P.P. SHIVNAGAR NAUGANWA",828,682,0,1510,500,379,0,879,879,0,513,19,48,279,1,2,2,0,5,1,4,2,1,2,879
143,"P.P. BIHARIPUR DEHAJAGIR",767,624,0,1391,479,351,0,830,830,0,347,64,160,236,1,0,2,0,1,2,5,1,4,7,830
144,"KANYA J.H.S. KHAILAM DEHAJAGIR",870,685,0,1555,522,378,0,900,895,0,141,74,354,294,5,0,3,0,1,0,10,3,4,11,900
145,"P.P. KHAILAM DEHAJAGIR",790,653,0,1443,435,359,0,794,794,0,129,114,440,83,1,1,1,0,5,1,3,6,4,6,794
146,"P.P. ANTAPUR",768,629,0,1397,445,345,0,790,790,0,285,56,259,169,2,0,2,0,4,1,2,3,2,5,790
147,"CHANDRA SHEKHAR AZAD I.C. GAINI R. NO. 1",486,362,0,848,340,203,0,543,543,0,273,0,79,174,0,1,0,0,1,1,5,0,2,7,543
148,"CHANDRA SHEKHAR AZAD I.C. GAINI R. NO. 4",514,385,0,899,270,220,0,490,490,0,231,26,202,14,1,0,0,1,0,2,1,2,3,7,490
149,"CHANDRA SHEKHAR AZAD I.C. GAINI R. NO. 2",590,515,1,1106,357,303,0,660,660,0,306,18,299,2,1,2,0,0,2,0,4,4,5,17,660
150,"CHANDRA SHEKHAR AZAD I.C. GAINI R. NO. 5",402,324,0,726,221,184,0,405,405,0,151,22,224,1,0,0,1,0,0,0,3,1,0,2,405
151,"CHANDRA SHEKHAR AZAD I.C. GAINI R. NO. 3",483,361,0,844,261,189,0,450,400,0,145,20,198,80,0,0,0,0,0,0,0,2,0,5,450
152,"CHANDRA SHEKHAR AZAD I.C. GAINI R. NO. 6",517,388,0,905,247,205,0,452,452,0,227,4,156,53,3,0,0,0,0,0,2,2,2,3,452
153,"P.P. BHEEKAMPUR",479,397,0,876,297,197,0,494,494,0,139,14,116,209,3,0,0,1,1,0,1,0,2,8,494
154,"P.P. SISAUNA",728,625,0,1353,581,410,0,991,991,0,293,35,526,119,3,0,2,0,3,0,2,2,1,5,991
155,"P.P. TIGAIDDATTANAGAR",407,334,0,741,288,200,0,488,488,0,274,6,95,90,1,1,1,0,1,1,5,3,4,6,488
156,"P.P. KYUNASURATPUR",170,157,0,327,117,107,0,224,220,0,129,2,83,8,0,0,0,0,1,0,0,0,0,1,224
157,"P.P. MAJHAGANWA R. NO. 1",500,402,0,902,324,270,0,594,594,0,340,54,126,60,0,2,0,1,0,0,4,2,1,4,594
158,"P.P. ,AJHAGANWA R. N0. 2",692,576,0,1268,449,337,0,786,580,0,440,177,133,7,0,1,0,0,1,0,1,4,3,19,786
159,"P.P. VEHATA BUJARG R. NO 1",742,630,0,1372,373,307,0,680,680,0,229,286,131,15,3,0,0,0,1,0,3,1,1,10,680
160,"P.P. VEHATA BUJARG R. NO 2",527,469,0,996,369,276,0,645,645,0,114,116,207,194,3,0,1,0,0,2,2,1,2,3,645
161,"P.P. AMRAULI",567,446,0,1013,393,289,0,682,679,0,529,14,80,42,1,0,0,0,0,0,2,0,3,11,682
162,"KANYA PATH. HAIDARGANJ URF ALIGANJ R. NO. 1",566,453,0,1019,336,297,0,633,509,0,132,37,196,252,6,1,0,0,0,2,0,0,0,7,633
163,"KANYA PATH. HAIDARGANJ URF ALIGANJ R. NO. 2",456,361,0,817,222,187,0,409,407,0,57,42,264,21,1,0,0,0,1,0,1,10,4,8,409
164,"P.P. HAIDARGANJ URF ALIGANJ R. NO. 1",576,453,0,1029,329,244,0,573,569,0,220,38,297,6,0,0,1,1,1,0,0,2,2,5,573
165,"P.P. HAIDARGANJ URF ALIGANJ R. NO. 3",472,378,0,850,257,199,0,456,456,0,91,73,230,44,0,1,1,1,1,1,2,2,2,7,456
166,"P.P. HAIDARGANJ URF ALIGANJ R. NO. 2",891,681,0,1572,435,338,0,773,748,0,108,211,418,24,0,2,2,1,1,0,2,1,0,3,773
167,"P.P. HAIDARGANJ URF ALIGANJ R. NO. 4",944,691,0,1635,517,373,0,890,890,0,512,100,255,9,2,0,1,0,0,0,1,3,2,5,890
168,"P.P. BACHERA",587,464,0,1051,377,304,0,681,681,0,319,22,173,142,3,0,1,1,2,2,2,3,0,11,681
169,"P.P. PANDI",258,203,0,461,216,171,0,387,387,0,47,21,314,2,1,0,0,0,0,0,1,1,0,0,387
170,"P.P. SANTTAR NAGAR",610,497,0,1107,425,260,0,685,680,0,213,19,342,94,2,0,1,1,2,0,2,0,3,6,685
171,"P.P. MANDORA R. NO. 1",508,438,0,946,357,300,0,657,657,0,341,60,69,169,0,0,0,0,2,0,3,4,1,8,657
172,"P.P. MANDORA R. NO. 2",587,444,0,1031,372,260,0,632,630,0,256,156,190,16,1,1,1,0,2,0,2,0,1,6,632
173,"P.P. MANSARAMPUR",309,255,0,564,182,169,0,351,333,0,237,0,12,94,2,1,0,0,1,0,1,0,1,2,351
174,"P.P. MOHOLIA",711,645,0,1356,427,375,0,802,802,0,369,31,312,67,0,0,0,0,1,2,2,2,2,14,802
