"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KUNWAR PUSHPENDRA SINGH CHANDEL","2 - PRITAM SINGH LODHI","3 - BISHAMBHAR PRASAD NISHAD","4 - RAKESH KUMAR GOSWAMI","5 - ATUL KUMAR PRAJAPATI","6 - ANIL KUMAR","7 - AVINASH KUMAR MISHRA","8 - KAILASH PRASAD NISHAD","9 - RAMESH PRAJAPATI","10 - RAMSAJIVAN","11 - VIVEK KUMAR","12 - SHRIPAL","13 - KIRAN","14 - PRAVESH KUMAR VYAS","15 - VIMLESH","16 - None of the Above","Total Votes Secured"
13,"P.S. CHITAIYAN",301,240,0,541,190,124,0,314,303,0,122,3,82,79,2,3,3,0,2,3,4,4,0,2,3,2,314
14,"P.S. URWARA",656,531,0,1187,387,310,0,697,136,0,374,18,70,193,0,1,3,2,2,1,6,4,1,3,3,16,697
15,"P.S. ATRARMAF  ROOM NO. 1",573,499,0,1072,361,290,0,651,273,0,456,7,100,63,1,5,3,1,3,1,0,2,3,3,0,3,651
16,"P.S. ATRARMAF  ROOM NO. 2",531,437,0,968,318,212,0,530,517,0,170,22,75,230,6,3,1,2,2,1,1,0,2,4,2,9,530
17,"P.S. IMILIYA",405,336,0,741,281,218,0,499,499,0,307,7,68,77,3,6,1,1,0,3,2,1,4,3,6,10,499
18,"G.I.C. SHRINAGAR  ROOM NO. 1",455,389,0,844,250,125,0,375,305,0,171,68,37,83,2,2,5,3,0,0,1,1,0,1,1,0,375
19,"G.I.C. SHRINAGAR  ROOM NO. 2",430,389,0,819,272,193,0,465,452,0,311,21,47,30,2,1,22,2,2,0,2,2,3,5,4,11,465
20,"G.I.C. SHRINAGAR  ROOM NO. 3",438,385,0,823,298,234,0,532,531,0,391,31,29,31,1,4,11,1,1,2,4,1,1,7,6,11,532
21,"G.I.C. SHRINAGAR  ROOM NO. 4",397,368,0,765,218,177,0,395,392,0,176,25,23,146,3,1,5,1,0,0,2,1,1,1,3,7,395
22,"G.I.C. SHRINAGAR  ROOM NO. 5",757,624,0,1381,454,317,0,771,94,0,489,24,52,144,7,8,19,2,1,8,3,3,2,2,3,4,771
23,"G.I.C. SHRINAGAR  ROOM NO. 6",660,601,0,1261,431,341,0,772,695,0,500,54,147,9,2,1,27,1,1,0,2,0,3,2,15,8,772
24,"P.S.BHAIROGANJ SHRINAGAR",822,717,0,1539,533,439,0,972,972,0,676,32,127,44,1,6,26,3,2,3,9,3,4,5,13,18,972
25,"P.M.V. BHAIROGANJ SHRINAGAR  ROOM NO. 1",474,417,0,891,290,263,0,553,465,0,446,15,14,57,3,7,2,0,0,0,2,1,1,0,0,5,553
26,"P.M.V. BHAIROGANJ SHRINAGAR  ROOM NO. 2",485,364,0,849,298,202,0,500,400,0,338,14,13,96,5,4,1,1,1,2,2,3,7,1,2,10,500
27,"P.S. BILKHI  ROOM NO. 1",464,418,0,882,315,266,0,581,581,0,157,72,195,119,0,3,6,1,2,1,2,2,3,5,1,12,581
28,"P.S. BILKHI  ROOM NO. 2",458,421,0,879,331,259,0,590,73,0,305,61,147,38,2,4,4,0,1,1,3,2,6,4,7,5,590
29,"P.M.V. PAWA  ROOM NO. 1",684,555,0,1239,435,456,0,891,300,0,428,111,31,102,2,4,3,0,2,0,0,0,0,2,1,205,891
30,"P.M.V. PAWA  ROOM NO. 2",591,485,0,1076,371,274,0,645,645,0,390,46,48,117,0,8,7,1,3,1,3,3,4,0,6,8,645
31,"P.M.V. PAWA  ROOM NO. 3",266,228,0,494,135,95,0,230,230,0,58,26,100,18,0,1,1,0,0,4,5,1,6,4,2,4,230
32,P.S.MURANI,304,274,0,578,200,188,0,388,388,0,236,10,12,101,3,7,4,4,0,0,2,1,5,1,1,1,388
33,P.S.MAJHALWARA,706,613,0,1319,453,343,0,796,796,0,368,67,127,194,8,3,8,1,0,0,4,4,1,1,3,7,796
34,U.P.S.RAIPURAKALAN,644,507,0,1151,427,286,0,713,706,0,462,9,177,28,2,1,1,0,0,1,3,2,2,3,10,12,713
35,"P.M.V. KARHRAKALAN  ROOM NO. 1",675,558,0,1233,468,347,0,815,19,0,395,114,64,162,10,6,6,0,0,3,6,3,8,7,10,21,815
36,"P.M.V. KARHRAKALAN  ROOM NO. 2",502,421,0,923,361,281,0,642,582,0,238,77,96,187,7,1,3,0,1,0,6,2,3,2,8,11,642
37,"P.M.V. KARHRAKALAN  ROOM NO. 3",566,438,0,1004,420,289,0,709,209,0,413,46,136,58,1,5,7,0,2,2,8,3,4,4,7,13,709
38,"P.M.V. CHHIKAHARA  ROOM NO. 1",605,494,0,1099,371,297,0,668,667,0,292,31,107,188,3,4,4,0,3,1,1,7,8,5,4,10,668
39,"P.M.V. CHHIKAHARA  ROOM NO. 2",356,281,0,637,238,179,0,417,417,0,131,10,137,101,0,2,7,0,0,2,5,3,5,2,3,9,417
40,"P.M.V. CHHIKAHARA  ROOM NO. 3",506,433,0,939,329,250,0,579,579,0,279,20,202,13,13,5,6,2,3,5,7,2,5,6,3,8,579
41,"K.P.S. CHHIKAHARA",364,309,0,673,263,193,0,456,456,0,236,39,147,7,1,2,6,0,0,1,0,2,1,1,11,2,456
42,"P.S. NATHUPURA",595,511,0,1106,411,323,0,734,683,0,433,19,5,218,13,6,12,0,1,3,5,3,0,1,6,9,734
43,"P.S. PACHPAHARA",831,691,0,1522,483,314,0,797,73,0,368,69,126,164,4,1,14,1,3,1,5,7,5,2,15,12,797
44,"P.S. CHANDO",383,329,0,712,287,217,0,504,502,0,288,12,6,168,3,3,1,0,0,1,2,3,4,0,1,12,504
45,"P.S. CHANPURA",294,262,0,556,257,201,0,458,453,0,308,56,11,56,2,1,2,0,0,1,3,1,5,0,5,7,458
46,"P.M.V. BANIATALA",373,285,0,658,270,205,0,475,475,0,297,2,37,115,2,1,11,0,0,0,2,2,2,0,2,2,475
47,"P.S. PALKA",455,398,0,853,300,267,0,567,400,0,279,19,26,213,1,5,3,1,0,0,5,0,4,1,0,10,567
48,"P.S. BASAURA",419,357,0,776,344,264,0,608,496,0,367,26,27,170,2,2,2,1,0,1,2,1,0,1,1,5,608
49,"P.S. MIRTALA",406,334,0,740,286,235,0,521,504,0,157,36,44,262,2,0,1,0,0,0,3,5,8,2,1,0,521
50,"MILAN KENDRA GRAM PANCHAYAT ADIKARI KARYALA SIJAHARI",688,537,0,1225,450,270,0,720,600,0,471,50,93,47,4,10,18,4,3,1,4,2,1,2,3,7,720
51,"K.P.S. SIJAHARI",642,557,0,1199,349,285,0,634,629,0,251,102,137,111,4,2,2,0,1,2,4,1,1,3,3,10,634
52,"P.M.V. SIJAHARI  ROOM NO. 1",539,438,0,977,331,255,0,586,586,0,221,41,139,137,0,2,3,1,2,6,7,6,2,3,7,9,586
53,"P.M.V. SIJAHARI  ROOM NO. 2",344,253,0,597,203,134,0,337,337,0,78,8,26,194,2,0,1,0,0,2,4,1,5,4,4,8,337
54,"P.S. BARA",804,689,0,1493,493,384,0,877,875,0,431,7,136,99,7,9,138,4,1,5,9,6,3,2,5,15,877
55,"P.S. DHIKWAHA",446,364,0,810,309,232,0,541,538,0,253,35,75,128,1,2,2,1,12,8,2,3,2,5,1,11,541
56,"P.S. BILRAHI  ROOM NO. 1",491,391,0,882,279,205,0,484,338,0,305,10,36,99,2,2,0,1,0,0,2,2,5,2,5,13,484
57,"P.S. BILRAHI  ROOM NO. 2",402,300,0,702,270,173,0,443,340,0,225,21,146,37,1,3,1,0,0,1,0,1,1,1,1,4,443
58,"P.S. KAIMAHA",649,541,0,1190,470,385,0,855,849,0,532,22,228,17,1,3,4,0,0,2,5,4,0,10,1,26,855
59,"P.S. DIGARIYA",705,600,0,1305,451,352,0,803,802,0,364,19,271,79,4,6,6,2,3,4,13,4,4,3,7,14,803
60,"P.S. KHIORAIYA JYORAIYA",673,537,0,1210,496,388,0,884,57,0,256,10,457,115,2,0,2,2,0,3,8,3,3,6,2,15,884
61,"P.S. SIJARIYA",655,553,0,1208,455,366,0,821,814,0,359,63,222,152,3,6,3,4,2,0,3,2,1,0,0,1,821
62,"K.P.S. SIJWAHA  ROOM NO. 1",487,382,0,869,295,211,0,506,477,0,163,25,60,222,6,2,3,1,0,2,5,3,8,1,1,4,506
63,"K.P.S. SIJWAHA  ROOM NO. 2",398,305,0,703,310,203,0,513,414,0,429,5,44,25,1,2,2,1,0,1,1,0,0,0,1,1,513
64,"P.S. MAWAI",369,318,0,687,264,210,0,474,101,0,118,6,314,10,0,0,2,0,3,0,2,3,2,6,3,5,474
65,"P.S. BHANDRA",735,573,0,1308,412,270,0,682,23,0,326,32,210,66,7,4,2,1,3,3,2,1,6,3,9,7,682
66,"K.P.M.V. BHANDRA  ROOM NO. 1",632,494,0,1126,311,229,0,540,538,0,234,51,209,23,1,8,3,1,1,3,1,0,0,2,0,3,540
67,"K.P.M.V. BHANDRA  ROOM NO. 2",651,517,0,1168,321,212,0,533,533,0,144,35,210,92,3,5,4,4,3,4,4,5,2,4,6,8,533
68,"P.M.V. SALARPUR (U.P.)",821,685,0,1506,524,422,0,946,946,0,619,23,66,117,5,7,48,3,6,4,7,3,3,4,6,25,946
69,"P.S. TINDAULI",557,504,0,1061,365,329,0,694,674,0,380,42,31,191,1,5,4,1,2,5,5,2,2,2,4,17,694
70,"P.S. MAMNA",378,293,0,671,264,191,0,455,453,0,273,26,47,64,6,8,9,2,1,2,3,3,4,1,1,5,455
71,"P.S. MUDHAHARA",271,226,0,497,208,156,0,364,360,0,211,19,46,63,1,2,4,0,0,3,2,1,4,1,2,5,364
72,"P.S. RAHELIYA",257,218,0,475,147,136,0,283,283,0,167,5,2,87,1,2,1,1,0,0,0,3,5,0,3,6,283
73,"P,M.V.BAMHAURI GOSAI",244,192,0,436,189,148,0,337,330,0,180,7,76,44,1,1,4,0,1,0,1,0,3,0,11,8,337
74,"G.P. MAHOBA  ROOM NO. 1",729,595,0,1324,430,342,0,772,772,0,311,57,159,206,1,2,15,1,1,0,4,5,2,2,1,5,772
75,"G.P. MAHOBA  ROOM NO. 2",654,514,0,1168,404,347,0,751,750,0,315,34,130,219,1,6,14,3,1,2,5,3,2,2,5,9,751
76,"G.P. MAHOBA  ROOM NO. 3",674,558,0,1232,425,308,0,733,672,0,277,89,246,86,0,0,7,0,2,3,4,3,2,4,3,7,733
77,"G.P. MAHOBA  ROOM NO. 4",803,677,0,1480,399,339,0,738,614,0,432,116,82,66,2,6,4,0,3,1,3,3,4,2,2,12,738
78,"G.M.L.T.I.C. MAHOBA  ROOM NO. 1",653,562,0,1215,386,311,0,697,648,0,271,50,114,205,15,3,18,0,0,2,2,1,0,1,11,4,697
79,"G.M.L.T.I.C. MAHOBA  ROOM NO. 2",782,609,0,1391,421,342,0,763,639,0,375,44,82,187,18,4,20,2,1,3,1,3,3,6,8,6,763
80,"G.M.L.T.I.C. MAHOBA  ROOM NO. 3",695,577,0,1272,475,333,0,808,770,0,398,44,76,247,6,4,18,0,2,1,5,1,2,0,1,3,808
81,"G.M.L.T.I.C. MAHOBA  ROOM NO. 4",646,581,0,1227,374,331,0,705,703,0,383,31,37,170,1,2,62,3,0,0,4,2,0,0,1,9,705
82,"G.M.L.T.I.C. MAHOBA  ROOM NO. 5",398,325,0,723,243,190,0,433,402,0,332,12,10,39,4,0,29,0,0,1,0,0,0,1,2,3,433
83,"G.M.L.T.I.C. MAHOBA  ROOM NO. 6",435,330,0,765,306,220,0,526,525,0,432,12,29,21,1,1,20,1,0,1,0,0,1,0,0,7,526
84,"G.M.L.T.I.C. MAHOBA  ROOM NO. 7",611,463,0,1074,443,323,0,766,763,0,509,34,41,86,5,2,70,2,1,1,2,0,4,1,3,5,766
85,"U.P.S. ALAMPURA MAHOBA ROOM NO. 1",538,448,0,986,404,295,0,699,696,0,604,12,12,19,7,1,29,0,2,0,2,1,1,1,2,6,699
86,"U.P.S. ALAMPURA MAHOBA ROOM NO. 2",477,396,0,873,344,271,0,615,612,0,435,20,33,38,10,2,61,1,0,1,1,1,0,4,0,8,615
87,"G.G.I.C. MAHOBA  ROOM NO. 1",296,243,0,539,209,150,0,359,349,0,244,18,37,40,0,1,5,0,0,2,0,0,0,0,4,8,359
88,"G.G.I.C. MAHOBA  ROOM NO. 2",610,563,0,1173,473,378,0,851,765,0,647,34,91,45,6,1,13,1,0,0,0,2,0,0,5,6,851
89,"G.G.I.C. MAHOBA ROOM NO. 3",383,317,0,700,282,229,0,511,501,0,361,14,89,24,5,1,4,0,2,0,0,1,0,1,6,3,511
90,"G.G.I.C. MAHOBA ROOM NO. 4",670,593,0,1263,467,380,0,847,844,0,364,79,307,65,3,3,5,1,1,1,2,0,3,1,2,10,847
91,"P.S. BANDHANWARD MAHOBA ROOM NO. 1",520,410,0,930,338,246,0,584,563,0,335,24,143,48,0,3,7,0,0,1,4,1,0,4,4,10,584
92,"P.S. BANDHANWARD MAHOBA ROOM NO. 2",662,580,0,1242,477,316,0,793,793,0,373,41,230,85,5,1,19,0,0,1,1,2,5,5,20,5,793
93,"K.P.S. SARAFIPURA BANDHANWARD MAHOBA ROOM NO. 1",640,513,0,1153,416,319,0,735,417,0,447,29,140,82,4,0,18,1,0,2,2,2,2,1,0,5,735
94,"K.P.S. SARAFIPURA BANDHANWARD MAHOBA ROOM NO. 2",644,559,0,1203,443,346,0,789,760,0,331,75,290,67,2,1,8,2,0,0,1,1,3,0,3,5,789
95,"D.A.V.I.C. MAHOBA ROOM NO. 1",477,408,0,885,294,197,0,491,489,0,107,37,217,114,0,1,7,0,1,0,2,1,1,0,0,3,491
96,"D.A.V.I.C. MAHOBA ROOM NO. 2",356,309,0,665,214,142,0,356,282,0,95,31,164,50,1,0,9,0,0,0,0,0,0,1,2,3,356
97,"D.A.V.I.C. MAHOBA ROOM NO. 3",444,346,0,790,294,190,0,484,481,0,156,37,194,72,0,1,18,0,0,0,0,0,0,0,2,4,484
98,"D.A.V.I.C. MAHOBA ROOM NO. 4",450,374,0,824,253,180,0,433,300,0,262,20,91,44,1,0,10,0,0,1,1,0,2,0,0,1,433
99,"D.A.V.I.C. MAHOBA ROOM NO. 5",541,516,0,1057,391,373,0,764,764,0,586,23,66,54,2,1,8,0,3,2,2,3,3,3,0,8,764
100,"D.A.V.I.C. MAHOBA ROOM NO. 6",423,390,0,813,281,210,0,491,483,0,143,47,228,62,1,0,7,0,0,0,0,0,0,1,1,1,491
101,"D.A.V.I.C. MAHOBA ROOM NO. 7",357,323,0,680,228,182,0,410,320,0,190,12,12,168,1,0,12,0,0,2,2,0,1,2,4,4,410
102,"D.A.V.I.C. MAHOBA ROOM NO. 8",410,406,0,816,253,237,0,490,400,0,304,12,21,131,0,3,8,1,0,0,3,0,1,0,1,5,490
103,"D.A.V.I.C. MAHOBA ROOM NO. 9",315,286,0,601,202,181,0,383,280,0,142,22,153,54,0,0,6,0,0,0,0,0,2,2,0,2,383
104,"N.I.C. MAHOBA ROOM NO. 1",721,600,0,1321,406,336,0,742,742,0,515,37,47,110,6,2,15,0,3,0,1,1,0,0,1,4,742
105,"N.I.C. MAHOBA ROOM NO. 2",704,585,0,1289,419,331,0,750,664,0,565,22,54,82,13,3,4,0,2,0,1,0,0,1,1,2,750
106,"N.I.C. MAHOBA ROOM NO. 3",598,503,0,1101,389,272,0,661,656,0,444,11,63,111,5,2,14,2,1,2,0,2,1,1,0,2,661
107,"N.I.C. MAHOBA ROOM NO. 4",403,350,0,753,272,230,0,502,502,0,135,23,68,261,2,0,0,0,0,0,1,0,0,0,4,8,502
108,"N.I.C. MAHOBA ROOM NO. 5",436,390,0,826,257,230,0,487,487,0,211,35,40,176,4,0,7,0,0,2,3,1,3,1,2,2,487
109,"N.I.C. MAHOBA ROOM NO. 6",647,530,1,1178,378,312,0,690,654,0,350,23,104,188,6,2,4,1,0,0,4,1,0,3,1,3,690
110,"TEHSIL BHAVAN S.K. MAHOBA",681,569,0,1250,480,322,0,802,408,0,632,35,41,69,1,1,7,0,1,2,1,1,1,1,4,5,802
111,"TEHSIL BHAVAN R.I.K.MAHOBA",569,446,0,1015,369,266,0,635,635,0,438,38,34,92,5,5,14,1,0,2,2,1,0,0,0,3,635
112,"TEHSIL BHAVAN N.K. MAHOBA",428,346,0,774,244,179,0,423,414,0,298,17,32,69,2,0,1,0,0,3,0,0,0,0,0,1,423
113,"TEHSIL BHAVAN J.K. MAHOBA",621,544,0,1165,340,319,0,659,655,0,446,23,48,117,3,0,11,0,0,3,2,0,0,2,1,3,659
114,"P.S.HAMIRPUR CHUNGI MAHOBA",864,709,0,1573,477,368,0,845,845,0,502,34,74,188,6,3,4,0,1,3,2,2,2,3,4,17,845
115,"K.VIKAS KHAND.K.M.H.N. MAHOBA",699,537,0,1236,386,330,0,716,716,0,344,20,83,236,1,0,6,0,0,1,2,0,0,1,11,11,716
116,"K.VIKAS KHAND.K.OLD. MAHOBA",625,558,0,1183,312,316,0,628,623,0,332,17,54,206,5,0,3,0,0,2,1,1,1,0,2,4,628
117,"SANT SAHU P.S. BADIHAT MAHOBA ROOM NO. 1",629,557,0,1186,292,384,0,676,676,0,170,98,230,151,3,2,5,0,2,0,2,2,2,2,2,5,676
118,"SANT SAHU P.S. BADIHAT MAHOBA ROOM NO. 2",421,370,0,791,220,179,0,399,353,0,105,49,97,123,3,1,10,0,0,2,2,0,1,2,2,2,399
119,"TOWN HAL N.P.P. MAHOBA ROOM NO. 1",230,212,0,442,165,138,0,303,298,0,28,11,220,26,1,0,1,0,0,2,0,1,5,2,4,2,303
120,"TOWN HAL N.P.P. MAHOBA ROOM NO. 2",607,495,0,1102,380,306,0,686,500,0,399,32,76,159,1,3,6,0,0,0,2,1,0,3,1,3,686
121,"P.S.S.S. BADIHAT MAHOBA",610,540,0,1150,439,351,0,790,783,0,561,46,95,59,5,0,15,0,0,1,0,1,0,2,1,4,790
122,"N.P.P. MAHOBA ROOM NO. 1",751,618,0,1369,408,300,0,708,484,0,451,64,93,68,2,2,7,1,2,0,2,0,1,1,10,4,708
123,"N.P.P. MAHOBA ROOM NO. 2",574,472,0,1046,352,280,0,632,595,0,175,102,253,85,1,1,2,0,3,1,2,0,3,0,0,4,632
124,"N.P.P. MAHOBA  ROOM NO. 3",548,438,0,986,352,265,0,617,615,0,310,62,148,79,1,1,3,0,0,0,2,2,1,0,3,5,617
125,"K.P.S. NAIKANA MAHOBA ROOM NO. 1",909,732,0,1641,517,395,0,912,902,0,461,72,266,76,3,0,12,1,1,1,2,6,2,2,2,5,912
126,"K.P.S. NAIKANA MAHOBA ROOM NO. 2",236,187,0,423,117,78,0,195,188,0,133,12,29,11,1,2,2,1,0,0,0,0,1,0,1,2,195
127,"K.P.S. NAIKANA MAHOBA ROOM NO. 3",317,300,0,617,206,145,0,351,351,0,2,49,262,30,0,0,6,0,0,0,1,0,0,0,0,1,351
128,"K.P.S. NAIKANA MAHOBA ROOM NO. 4",468,423,0,891,323,270,0,593,566,0,140,89,298,50,1,0,4,0,0,0,5,0,1,0,2,3,593
129,"G.V.B.M.V. MAHOBA ROOM NO. 1",614,548,0,1162,413,321,0,734,686,0,337,53,136,173,1,3,7,1,1,1,7,1,2,2,3,6,734
130,"G.V.B.M.V. MAHOBA ROOM NO. 2",691,579,0,1270,395,326,0,721,721,0,273,65,211,150,5,2,5,0,1,1,1,0,1,0,6,0,721
131,"G.V.B.M.V. MAHOBA ROOM NO. 3",392,335,0,727,208,209,0,417,414,0,232,24,13,123,3,0,2,1,0,1,5,5,1,1,3,3,417
132,"G.V.B.M.V. MAHOBA ROOM NO. 4",798,682,0,1480,500,405,0,905,905,0,389,68,316,82,8,3,4,0,0,2,4,1,1,3,8,16,905
133,"G.V.B.M.V. MAHOBA ROOM NO. 5",593,460,0,1053,340,276,0,616,580,0,384,42,74,82,2,3,9,0,1,1,2,0,3,1,5,7,616
134,"G.V.B.M.V. MAHOBA ROOM NO. 6",615,518,0,1133,318,309,0,627,611,0,267,55,59,201,6,4,6,0,1,2,3,2,1,5,3,12,627
135,"P.S. SHAHPAHADI ROOM NO. 1",553,489,0,1042,349,302,0,651,518,0,300,29,83,193,3,8,7,2,2,1,4,3,2,1,7,6,651
136,"P.S. SHAHPAHADI ROOM NO. 2",414,351,0,765,307,239,0,546,492,0,403,33,39,37,7,5,6,3,1,2,1,0,1,0,2,6,546
137,"P.S. KUMDAURA MAF",649,536,0,1185,483,337,0,820,8,0,425,27,163,138,6,3,4,1,2,1,8,4,7,8,9,14,820
138,"P.S. CHURBARA",591,534,0,1125,448,381,0,829,773,0,406,87,73,203,2,3,8,2,6,0,3,3,1,2,11,19,829
139,"P.S. BIJANAGAR",591,531,0,1122,361,309,0,670,668,0,425,17,104,79,6,9,8,1,4,3,3,0,2,0,2,7,670
140,"P.S. KIDARI",482,408,0,890,326,288,0,614,550,0,307,20,56,198,4,0,0,0,0,4,1,6,4,3,0,11,614
141,"P.S. TIKAMAU",693,527,0,1220,414,246,0,660,660,0,376,20,126,95,7,3,9,1,1,3,7,1,0,2,0,9,660
142,"P.S. DADHATMAF ROOM NO. 1",716,536,0,1252,492,350,0,842,842,0,434,14,176,133,19,8,5,1,7,13,7,3,7,3,2,10,842
143,"P.S. DADHATMAF ROOM NO. 2",606,504,0,1110,396,270,0,666,295,0,321,9,83,216,5,4,5,0,0,2,4,1,3,6,0,7,666
144,"P.S. KALIPAHADI",743,619,0,1362,435,336,0,771,753,0,395,52,106,176,4,1,1,1,0,4,4,2,5,4,3,13,771
145,"A.U.M.V. BILBAI  ROOM NO. 1",820,662,0,1482,590,390,0,980,721,0,655,138,48,63,3,3,9,2,2,3,3,5,5,2,12,27,980
146,"A.U.M.V. BILBAI ROOM NO. 2",545,437,0,982,358,261,0,619,604,0,281,65,34,197,1,5,7,1,0,6,6,1,3,3,2,7,619
147,"A.U.M.V. BILBAI ROOM NO. 3",521,421,0,942,359,222,0,581,540,0,340,140,27,22,1,3,2,2,2,7,12,5,9,3,4,2,581
148,"P.S. BARATPAHADI",518,393,0,911,357,221,0,578,562,0,332,67,57,96,0,2,4,1,1,1,2,2,4,1,1,7,578
149,"P.S. RAIPURAKHURD",455,360,0,815,313,223,0,536,536,0,336,7,70,82,10,0,0,0,2,1,2,2,4,1,4,15,536
150,"P.M.V. JUJHAR",389,327,0,716,277,183,0,460,460,0,266,50,69,64,2,1,2,0,0,2,0,2,0,0,0,2,460
151,"P.S. BHATEWAR",396,278,0,674,225,169,0,394,394,0,198,12,10,147,2,2,11,0,1,3,3,1,2,0,1,1,394
152,"P.S. BARI",177,137,0,314,96,61,0,157,142,0,106,3,14,26,1,2,1,0,0,0,1,0,0,0,1,2,157
153,"P.S. BAMHAURIKAJI",633,498,0,1131,384,300,0,684,684,0,342,39,114,118,14,3,3,2,4,13,5,3,2,8,2,12,684
154,"B.J.H.S. GAHARA ROOM NO. 1",619,448,0,1067,375,293,0,668,653,0,524,11,28,79,2,3,2,0,0,0,3,0,2,3,2,9,668
155,"B.J.H.S. GAHARA ROOM NO. 2",693,521,0,1214,410,306,0,716,710,0,435,8,59,184,0,4,3,0,1,3,3,2,0,2,4,8,716
156,"P.S. SINGHANPUR BAGHARI ROOM NO. 1",746,637,0,1383,465,428,0,893,887,0,679,8,80,40,3,5,6,2,4,7,3,4,0,15,10,27,893
157,"P.S. SINGHANPUR BAGHARI ROOM NO. 2",651,533,0,1184,309,228,0,537,43,0,277,12,19,170,6,11,3,2,2,3,7,2,2,12,3,6,537
158,"P.S. SURHA ROOM NO. 1",625,460,0,1085,335,220,0,555,400,0,258,19,124,102,7,7,3,0,2,1,1,3,1,0,24,3,555
159,"P.S. SURHA ROOM NO. 2",465,386,0,851,225,185,0,410,408,0,218,9,42,122,1,3,1,1,2,0,3,0,1,0,3,4,410
160,"P.M.V. SURHA",547,398,0,945,313,206,0,519,519,0,251,4,90,138,7,2,1,2,3,5,4,2,1,1,3,5,519
161,"P.S. BABEDI",624,448,0,1072,348,223,0,571,569,0,178,11,237,76,18,4,3,1,1,5,3,4,6,5,11,8,571
162,"P.M.V. KAUHARI",738,561,0,1299,421,303,0,724,92,0,310,17,108,217,15,7,3,3,0,2,8,3,1,4,15,11,724
163,"P.K.P.V. GYORI ROOM NO. 1",802,612,0,1414,412,271,0,683,682,0,338,20,62,181,23,6,3,3,2,2,3,4,3,5,8,20,683
164,"P.K.P.V. GYORI ROOM NO. 2",490,352,0,842,240,180,0,420,9,0,257,17,51,51,5,2,3,2,0,2,5,2,1,1,7,14,420
165,"P.S.CHURERAN PURWA MAZRA GYORI",468,324,0,792,294,181,0,475,350,0,122,9,189,129,2,2,0,0,1,0,3,0,1,1,7,9,475
166,"P.M.V. GYORI ROOM NO. 1",382,276,0,658,189,138,0,327,327,0,113,5,42,136,2,4,5,1,0,0,0,0,0,1,16,2,327
167,"P.M.V. GYORI ROOM NO. 2",498,360,0,858,289,178,0,467,57,0,213,9,95,103,5,2,4,0,1,2,2,2,5,4,14,6,467
