"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ANSHUL VERMA","2 - USHA VERMA","3 - SHIVE PRASAD VERMA","4 - SARVESH KUMAR","5 - CHANDRAPAL","6 - RAMDAYAL","7 - RAMLAKHAN GAUTAM","8 - SANJAY KUMAR","9 - SANTRAM","10 - HIRA LAL VERMA","11 - RAMPAL","12 - SHIVEKUMAR","13 - SAROJ KUMAR","14 - SARVESH","15 - SUNIL BHARTI","16 - None of the Above","Total Votes Secured"
123,"P.P. ASHEYULI",796,625,0,1421,569,385,0,954,954,0,214,391,309,8,0,2,2,0,2,0,2,3,3,1,9,8,954
124,"P.P. DEVARIYA",442,400,0,842,281,239,0,520,520,0,103,286,118,3,2,3,1,0,0,0,0,1,0,3,0,0,520
125,"P.P. KHAJURAHRA R.N. 1",839,626,0,1465,490,338,0,828,1,0,304,361,101,16,4,1,2,3,2,0,1,11,2,4,9,7,828
126,"P.P. KHAJURAHRA R.N. 2",734,615,0,1349,490,292,0,782,1,0,26,242,472,10,3,0,0,0,10,0,2,5,2,3,4,3,782
127,"K.J.H.S. BARHA M. KHAJURAHRA R.N. 1",528,396,0,924,397,285,0,682,682,0,91,368,205,1,1,1,0,0,1,0,0,1,0,3,8,2,682
128,"K.J.H.S. BARHA M. KHAJURAHRA R.N. 2",410,310,0,720,275,175,0,450,1,0,103,173,161,2,0,0,0,5,0,0,0,2,1,0,1,2,450
129,"J.H.S. KHAJURAHRA R.N. 2",884,667,0,1551,492,266,0,758,758,0,100,318,290,14,5,0,0,1,0,1,2,10,3,1,9,4,758
130,"J.H.S. KHAJURAHRA R.N. 3",753,594,0,1347,404,210,0,614,515,0,100,239,246,3,4,0,0,1,3,1,0,3,1,7,3,3,614
131,"J.H.S. KHAJURAHRA R.N. 4",452,363,0,815,238,119,0,357,277,0,63,224,50,2,0,0,0,1,0,1,1,2,3,3,3,4,357
132,"P.P. SATHRI M. KHAJURAHRA R.N. 1",517,409,0,926,309,251,0,560,507,0,246,170,128,0,0,1,0,0,1,0,0,5,0,1,3,5,560
133,"P.P. SATHRI M. KHAJURAHRA R.N. 2",527,466,0,993,393,303,0,696,10,0,428,106,137,2,1,1,0,0,2,0,2,3,3,1,2,8,696
134,"P.P. SURSA R,N, 1",730,637,1,1368,456,396,0,852,16,0,169,377,279,7,0,1,1,0,1,1,1,7,2,1,4,1,852
135,"P.P. NEWADA",462,348,0,810,331,214,0,545,545,0,22,366,133,3,2,0,0,1,1,0,0,2,4,2,6,3,545
136,"P.P. ODRANEVALIYA U. BHAG",630,534,0,1164,452,345,0,797,797,0,256,211,296,7,1,1,1,1,2,0,0,5,3,4,5,4,797
137,"P.P. ODRANEVALIYA D. BHAG",623,551,0,1174,388,344,0,732,1,0,180,307,210,11,0,1,1,0,1,4,0,2,1,2,4,8,732
138,"P.P. DHOLIYA R.N. 1",603,504,0,1107,425,327,0,752,100,0,128,403,189,3,0,0,0,1,1,0,2,3,5,5,7,5,752
139,"P.P. DHOLIYA R.N. 2",264,230,0,494,150,169,0,319,110,0,26,117,166,1,0,0,0,0,0,0,0,4,2,3,0,0,319
140,"P.P. MALIHAMAU",385,346,0,731,302,254,0,556,342,0,121,349,68,4,0,0,0,0,1,0,0,2,4,2,4,1,556
141,"P.P. BAUSRA",831,692,0,1523,551,406,0,957,1,0,110,491,318,11,2,1,1,0,0,1,3,8,4,1,3,3,957
142,"J.H.S. HUSIYAPUR R.N. 1",584,494,0,1078,338,272,0,610,224,0,147,253,174,4,0,1,0,2,0,1,1,7,4,5,3,8,610
143,"J.H.S. HUSIYAPUR R.N. 2",542,476,0,1018,357,276,0,633,1,0,237,247,132,3,1,0,1,1,2,0,0,3,2,2,1,1,633
144,"J.H.S. SUGWAN R.N. 1",649,546,0,1195,469,347,0,816,454,0,142,417,219,5,2,2,0,1,0,3,2,3,2,6,5,7,816
145,"J.H.S. SUGWAN R.N. 2",511,425,0,936,353,257,0,610,452,0,106,337,145,2,1,1,0,0,2,4,1,5,3,2,1,0,610
146,"P.P. RAMAPUR",239,179,0,418,161,109,0,270,270,0,15,72,176,2,0,0,1,0,0,0,1,0,2,0,0,1,270
147,"P.P. FATHIYAPUR R.N. 1",564,457,0,1021,350,250,0,600,1,0,188,291,97,4,1,1,1,0,6,0,1,1,5,3,0,1,600
148,"P.P. FATHIYAPUR R.N. 2",566,452,0,1018,301,237,0,538,1,0,110,336,76,7,0,0,0,0,1,0,1,3,1,0,1,2,538
149,"P.P. FATHIYAPUR EXTRA ROOM",507,398,0,905,334,209,0,543,135,0,157,261,104,1,2,0,0,1,1,0,1,1,3,4,2,5,543
150,"P.P. VIRAHIMPUR",623,527,0,1150,391,267,0,658,83,0,133,307,194,3,0,0,1,0,0,1,0,5,1,4,3,6,658
151,"P.P. MOHKAMPUR",258,236,0,494,163,160,0,323,1,0,101,144,67,1,0,0,1,0,0,0,0,3,1,2,0,3,323
152,"P.P. KAMRAULI",523,463,0,986,351,289,0,640,596,0,258,251,115,6,1,1,0,0,0,0,1,1,1,0,0,5,640
153,"P.P. BHITH",270,253,0,523,222,181,0,403,1,0,134,162,93,4,1,0,0,1,1,0,0,2,4,0,0,1,403
154,"J.H.S. TURTIPUR R.N. 1",796,624,0,1420,516,357,0,873,868,0,187,477,188,7,0,1,0,0,1,1,0,2,2,1,3,3,873
155,"J.H.S. TURTIPUR R.N. 2",610,519,0,1129,325,256,0,581,1,0,43,169,337,3,0,4,0,1,0,0,3,5,3,4,3,6,581
156,"P.P. RAMPUR M. UMRAPUR PU. BHAG",572,454,0,1026,307,210,0,517,514,0,75,150,276,1,0,5,0,3,0,1,1,1,0,2,2,0,517
157,"P.P. RAMPUR M. UMRAPUR P. BHAG",806,556,0,1362,477,267,0,744,17,0,152,362,192,15,4,2,0,1,0,0,2,3,3,4,3,1,744
158,"P.P. BAHRAIYA",455,367,0,822,306,271,0,577,141,0,84,265,205,15,0,0,0,1,1,0,0,2,0,1,0,3,577
159,"P.P. SARSAIYA",805,567,0,1372,520,322,0,842,35,0,46,420,335,6,2,0,1,0,1,1,1,6,4,8,5,6,842
160,"P.P. ICHHNAPUR M. MYOUNI",478,414,0,892,299,207,0,506,1,0,105,235,144,4,2,0,0,0,3,0,1,2,1,2,5,2,506
161,"P.P. NEW MYOUNI R.N. 1",547,464,0,1011,371,255,0,626,626,0,83,219,298,4,0,0,0,0,2,1,2,3,4,0,5,5,626
162,"P.P. NEW MYOUNI R.N. 2",666,544,0,1210,355,233,0,588,550,0,135,229,174,4,3,0,0,1,0,3,2,7,12,4,4,10,588
163,"P.P. KHUTEHNA M. TIKRI",825,596,0,1421,564,338,0,902,902,0,72,533,251,19,4,2,1,0,1,0,2,0,2,3,5,7,902
164,"PANCHAYATGHAR M. DHINNITUSAOURA",540,394,0,934,392,238,0,630,630,0,58,394,162,1,0,2,1,0,1,1,0,2,2,3,2,1,630
165,"P.P. KAIRMAIR",264,202,0,466,196,140,0,336,336,0,25,242,57,1,1,0,0,0,1,0,0,3,2,1,2,1,336
166,"P.P. BHATEURA",481,353,0,834,345,192,0,537,537,0,23,291,210,2,0,1,1,0,0,2,0,2,0,1,2,2,537
167,"P.P. BADAOUA",859,661,0,1520,496,322,0,818,818,0,110,315,342,17,2,1,0,0,3,2,2,5,5,6,6,2,818
168,"P.P. BHAINAMAU  R.N. 1",486,417,0,903,298,227,0,525,12,0,42,332,129,1,0,0,0,0,0,0,1,5,0,2,5,8,525
169,"P.P. BHAINAMAU  R.N. 2",838,666,0,1504,453,195,0,648,646,0,119,288,206,7,0,1,1,0,3,0,1,9,2,3,7,1,648
170,"P.P. SINDHUAMAU R.N. 1",426,382,0,808,286,228,0,514,15,0,155,104,245,1,0,0,0,0,1,0,0,1,1,1,3,2,514
171,"P.P. SINDHUAMAU R.N. 2",521,477,0,998,370,298,0,668,644,0,76,299,251,3,0,0,2,2,0,1,1,5,5,9,8,6,668
172,"P.P. ABDULPUR",284,223,0,507,195,150,0,345,340,0,40,112,171,5,0,0,1,0,2,0,1,2,3,5,2,1,345
173,"P.P. KEHARMAU",632,508,0,1140,426,304,0,730,319,0,152,356,183,18,3,3,2,1,1,0,0,4,3,0,3,1,730
174,"J.H.S. PACHKOHRA R.N. 1",514,467,0,981,364,262,0,626,1,0,176,367,61,13,1,0,0,0,0,0,0,0,2,1,0,5,626
175,"J.H.S. PACHKOHRA  R.N. 2",420,394,0,814,285,208,0,493,493,0,105,163,196,9,2,1,1,0,1,2,1,1,2,2,1,6,493
