"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - JITENDRA KUMAR SINGH BABLU BHAIYA","2 - NIRMAL KHATRI","3 - MITRASEN YADAV","4 - LALLU SINGH","5 - JAI RAM SINGH JAI","6 - NASREEN BANO","7 - MAKASUD ALI","8 - MAYURI TIWARI","9 - RADHIKA PRASAD","10 - RAM JANAM","11 - SHAILENDRA KUMAR SHUKLA","12 - None of the Above","Total Votes Secured"
43,"PS DEWAI EAST",743,658,0,1401,362,388,0,750,700,0,106,64,106,414,6,4,3,4,9,9,8,17,750
44,"PS DEWAI WEST",373,325,0,698,188,177,0,365,300,0,55,26,85,179,1,1,1,0,4,5,1,7,365
45,"PS ALIGANJ ROOM NO. 1",531,502,0,1033,339,318,0,657,584,0,90,147,66,330,3,3,1,3,5,3,3,3,657
46,"PS ALIGANJ ROOM NO. 2",413,403,0,816,218,189,0,407,386,0,80,27,76,200,3,3,0,2,6,2,2,6,407
47,"JHS ARKUNA ROOM NO. 3",782,659,0,1441,467,396,0,863,850,0,109,109,99,510,6,2,4,4,6,3,7,4,863
48,"NAYA PS PILKHAWAN EAST",753,633,0,1386,493,385,0,878,690,0,312,39,74,425,4,2,2,1,6,5,3,5,878
49,"NAYA PS PILKHAWAN WEST",766,732,0,1498,445,379,0,824,235,0,204,62,105,397,3,4,3,5,16,4,5,16,824
50,"PS MUBARAKGANJ ROOM NO. 1",412,401,0,813,241,245,0,486,400,0,115,93,40,215,1,0,0,4,2,7,5,4,486
51,"PS MUBARAKGANJ ROOM NO 2",438,355,0,793,248,210,0,458,458,0,134,66,28,199,5,0,4,1,4,3,3,11,458
52,"JANSAMAJ VIDYAPEETH INTER COLLEGE DEORAKOT MIDDLE 1",362,359,0,721,260,223,0,483,215,0,52,39,95,272,2,2,0,3,9,1,5,3,483
53,"JANSAMAJ VIDYAPEETH INTER COLLEGE DEORAKOT MIDDLE 3",457,398,0,855,265,199,0,464,464,0,89,16,35,306,1,1,1,0,4,4,1,6,464
54,"JANSAMAJ VIDYAPEETH INTER COLLEGE DEORAKOT MIDDLE 2",745,597,0,1342,390,256,0,646,598,0,33,62,19,509,6,0,2,2,7,1,2,3,646
55,"JANSAMAJ VIDYAPEETH INTER COLLEGE DEORAKOT WEST",400,332,0,732,211,154,0,365,365,0,80,6,12,257,0,0,0,0,2,2,2,4,365
56,"PS GODWA",458,424,0,882,325,294,0,619,619,0,92,79,102,318,1,0,3,1,9,3,2,9,619
57,"PS SARAINAMU",697,620,0,1317,485,394,0,879,879,0,47,31,287,485,2,2,1,1,9,3,2,9,879
58,"JHS ISMAILNAGAR SINHORA",777,642,0,1419,447,343,0,790,700,0,79,39,222,408,5,2,2,3,15,6,1,8,790
59,"PS THARERU",591,464,0,1055,322,255,0,577,577,0,124,29,107,301,1,1,2,2,4,1,1,4,577
60,"PS KALAFARPUR",590,490,0,1080,335,241,0,576,495,0,80,63,60,339,1,3,1,0,10,4,5,10,576
61,"PS SANAHA",841,662,0,1503,385,362,0,747,721,0,34,180,97,388,4,2,9,15,4,5,3,6,747
62,"PS DINKARPUR",477,409,0,886,277,224,0,501,480,0,23,25,133,287,3,1,0,5,7,3,4,10,501
63,"PS TAHSEENPUR",709,640,0,1349,456,379,0,835,820,0,56,29,122,567,9,3,5,1,15,7,6,15,835
64,"PS LAHRAPUR",512,422,0,934,331,263,0,594,299,0,47,128,29,364,5,1,2,5,3,2,3,5,594
65,"PATEL SMARAK VIDYAPEETH PARANAPUR",514,449,0,963,351,296,0,647,620,0,52,25,121,407,7,1,1,9,4,2,9,9,647
66,"PS THEONGA",353,302,0,655,240,218,0,458,449,0,18,15,28,372,2,0,1,2,11,2,2,5,458
67,"PS MISRAULI",314,273,0,587,209,195,0,404,390,0,84,10,50,234,7,0,4,2,11,1,0,1,404
68,"GOVT. AYURVEDIC HOSPITAL BAIDARAPUR ROOM NO. 1",263,267,0,530,156,177,0,333,333,0,56,15,75,178,1,1,1,0,2,2,0,2,333
69,"GOVT. AYURVEDIC HOSPITAL BAIDARAPUR ROOM NO.2",530,451,0,981,275,236,0,511,300,0,39,101,104,227,4,1,13,5,5,6,2,4,511
70,"PS KAPASI ROOM NO. 1",547,474,0,1021,346,287,0,633,624,0,19,45,64,453,5,1,2,7,16,6,8,7,633
71,"PS KAPASI ROOM NO. 2",433,369,0,802,256,201,0,457,457,0,18,26,47,348,5,0,0,6,2,4,0,1,457
72,"PS GOPINATHPUR (NEWADA) NORTH",569,546,0,1115,308,302,0,610,487,0,272,37,40,233,4,4,2,2,4,4,3,5,610
73,"PS GOPINATHPUR (NEWADA) SOUTH",309,300,0,609,175,195,0,370,300,0,119,14,62,161,1,0,0,0,3,3,2,5,370
74,"JHS LAKHAURI EAST",571,512,0,1083,374,303,0,677,598,0,136,37,143,319,0,4,3,2,5,5,6,17,677
75,"JHS LAKHAURI WEST",676,552,0,1228,452,298,0,750,735,0,213,35,120,350,4,2,6,0,4,4,3,9,750
76,"PS SHEKHPUR ZAFAR WEST",675,626,0,1301,394,332,0,726,713,0,84,177,192,251,2,2,2,1,2,7,0,6,726
77,"PS SHEKHPUR ZAFAR EAST",405,389,0,794,245,255,0,500,500,0,13,205,182,68,5,4,2,3,3,1,3,11,500
78,"PS DHANNIPUR",521,430,0,951,322,248,0,570,563,0,14,178,160,201,9,0,0,1,2,1,3,1,570
79,"PS RAUNAHI ROOM NO. 1",523,476,0,999,303,242,0,545,545,0,139,74,36,273,4,2,3,2,8,1,1,2,545
80,"PS RAUNAHI EXTRA ROOM",582,456,0,1038,239,191,0,430,428,0,176,117,50,80,2,2,1,0,2,0,0,0,430
81,"PS RAUNAHI ROOM NO. 2",474,393,0,867,260,179,0,439,439,0,129,151,40,105,0,3,0,2,4,1,2,2,439
82,"PS RAUNAHI ROOM NO. 4",520,384,0,904,228,95,0,323,111,0,73,106,59,67,2,3,0,4,5,1,0,3,323
83,"PS RAUNAHI ROOM NO.3",795,613,0,1408,344,291,0,635,632,0,148,339,18,108,1,1,3,4,6,2,1,4,635
84,"KANYA JHS RAUNAHI NORTH",520,411,0,931,280,205,0,485,368,0,87,134,42,198,2,0,5,1,6,3,2,5,485
85,"KANYA JHS RAUNAHI SOUTH",510,414,0,924,253,186,0,439,439,0,68,139,54,161,2,1,0,3,4,2,3,2,439
86,"PS SALHEPUR NIMAICHA EXTRA ROOM",385,311,0,696,195,143,0,338,336,0,74,37,72,142,2,1,0,0,5,0,2,3,338
87,"PS SALHEPUR NIMAICHA EAST",538,481,0,1019,300,292,0,592,591,0,109,261,55,129,2,2,7,3,2,2,7,13,592
88,"PS SALHEPUR NIMAICHA WEST",417,395,0,812,270,255,0,525,400,0,46,87,103,270,2,0,1,1,4,1,3,7,525
89,"PS GOPINATHPUR (SOHAWAL)",461,442,0,903,309,278,0,587,572,0,179,65,31,289,6,0,1,3,4,5,1,3,587
90,"PS UCHITPUR",431,416,0,847,281,246,0,527,527,0,239,31,50,182,3,0,0,4,8,2,0,8,527
91,"PS VISHUNPUR SARA EAST",95,94,0,189,44,39,0,83,82,0,35,0,5,43,0,0,0,0,0,0,0,0,83
92,"PS VISHUNPUR SARA WEST",779,729,0,1508,511,456,0,967,800,0,327,38,153,420,5,0,1,2,3,6,3,9,967
93,"JHS MIRPUR KANTA (NAI BAZAR) EAST",564,512,0,1076,338,291,0,629,388,0,96,8,248,251,4,1,2,2,6,6,0,5,629
94,"JHS MIRPUR KANTA (NAI BAZAR) WEST",533,511,0,1044,290,242,0,532,344,0,150,17,145,204,3,0,0,0,1,3,3,6,532
95,"GOVT. GIRLS INTER COLLEGE MIRPUR KANTA NORTH",573,515,0,1088,332,302,0,634,601,0,156,43,85,315,4,1,1,2,9,4,4,10,634
96,"GOVT. GIRLS INTER COLLEGE MIRPUR KANTA SOUTH",624,556,0,1180,356,319,0,675,674,0,43,20,196,394,3,2,1,5,3,3,2,3,675
97,"JHS SURWARI NORTH",484,450,0,934,304,288,0,592,543,0,126,42,83,308,5,3,4,1,5,5,4,6,592
98,"JHS SURWARI SOUTH",476,392,0,868,226,216,0,442,442,0,39,20,121,236,2,3,6,0,8,2,2,3,442
99,"PS AGETHUWA",449,409,0,858,269,256,0,525,155,0,17,27,86,382,2,1,0,2,2,2,0,4,525
100,"PS MAJNAWAN NORTH",719,643,0,1362,454,371,0,825,825,0,102,39,226,420,4,2,1,8,4,9,4,6,825
101,"PS MAJNAWAN SOUTH",791,705,0,1496,427,343,0,770,740,0,74,125,215,306,5,1,3,5,10,8,2,16,770
102,"PS GAURA BRAMHNAN (SULTANNAGAR)",514,448,0,962,374,305,0,679,82,0,221,46,27,365,4,0,1,5,4,2,1,3,679
103,"PS ARTHAR EAST",663,607,0,1270,354,356,0,710,700,0,106,59,99,421,4,3,0,0,5,3,0,10,710
104,"PS ARTHAR WEST",648,604,0,1252,388,363,0,751,666,0,177,32,128,379,5,1,2,0,14,5,2,6,751
105,"PS BARAULI I FIRST",679,587,0,1266,433,408,0,841,841,0,316,21,280,184,3,6,0,2,9,7,2,11,841
106,"PS PURE DIWAN",471,410,0,881,291,276,0,567,507,0,72,11,122,323,6,6,6,2,6,7,0,6,567
107,"PS SOKHAWAN EAST",572,476,0,1048,305,228,0,533,533,0,79,122,57,249,1,5,2,1,5,1,3,8,533
108,"PS SOKHAWAN WEST",370,315,0,685,179,150,0,329,328,0,35,34,60,193,0,0,0,1,1,2,1,2,329
109,"PS PANDITPUR",432,401,0,833,250,248,0,498,490,0,84,42,61,278,5,3,1,4,7,5,4,4,498
110,"PS KHIRAUNI",657,593,0,1250,368,309,0,677,350,0,120,48,82,403,3,4,2,1,8,2,0,4,677
111,"KANYA PS KHIRAUNI EAST",756,618,0,1374,347,269,0,616,510,0,201,62,111,224,1,1,0,4,1,3,2,6,616
112,"KANYA PS KHIRAUNI WEST",707,656,0,1363,382,337,0,719,709,0,146,71,63,418,2,0,4,2,7,3,2,1,719
113,"PS SUCHITTAGANJ EAST",453,394,0,847,260,210,0,470,470,0,19,81,51,314,0,0,0,2,2,0,0,1,470
114,"PS SUCHITTAGANJ WEST",686,581,0,1267,382,293,0,675,529,0,63,147,72,377,0,1,3,2,4,1,2,3,675
115,"PS SUCHITTAGANJ EXTRA ROOM",357,271,0,628,170,125,0,295,281,0,76,54,27,128,1,0,3,1,0,1,0,4,295
116,"PS KOLA EAST",594,517,0,1111,292,297,0,589,509,0,122,173,244,40,1,0,0,1,1,0,2,5,589
117,"PS KOLA WEST",441,372,0,813,214,203,0,417,417,0,72,81,214,38,0,1,0,1,2,2,3,3,417
118,"PS KATRAULI NORTH",458,456,0,914,276,275,0,551,489,0,28,58,96,340,5,0,1,2,4,4,2,11,551
119,"PS KATRAULI SOUTH",450,412,0,862,304,258,0,562,549,0,145,24,66,303,5,1,1,1,7,2,2,5,562
120,"JHS MAGALSI NORTH",753,625,0,1378,450,331,0,781,777,0,67,46,259,375,4,0,1,13,6,2,4,4,781
121,"JHS MANGALSI MIDDLE 1",778,663,0,1441,548,287,0,835,835,0,113,184,159,336,3,4,1,5,6,11,1,12,835
122,"JHS MANGALSI MIDDLE 2",616,474,0,1090,316,211,0,527,511,0,47,131,149,181,1,1,7,1,4,1,2,2,527
123,"JHS MANGALSI SOUTH",688,513,0,1201,357,257,0,614,604,0,39,50,239,252,6,2,3,0,5,4,0,14,614
124,"AIT INTER COLLEGE JAGANPUR NORTH",640,509,0,1149,240,217,0,457,399,0,28,166,155,86,1,1,9,1,3,2,3,2,457
125,"AIT INTER COLLEGE JAGANPUR SOUTH",492,374,0,866,142,162,0,304,284,0,16,185,72,15,0,2,12,1,0,0,1,0,304
126,"PS JAGANPUR EAST",628,487,0,1115,178,166,0,344,343,0,21,206,50,35,0,1,24,5,1,1,0,0,344
127,"PS JAGANPUR WEST",551,441,1,993,212,202,0,414,414,0,150,141,35,37,1,3,14,14,5,3,3,8,414
128,"PS IBRAHIMPUR DIWLI NORTH",748,624,0,1372,501,341,0,842,839,0,39,138,230,398,2,3,2,3,7,7,4,9,842
129,"PS IBRAHIMPUR DIWLI SOUTH",117,104,0,221,87,69,0,156,130,0,24,16,86,27,0,0,0,0,0,1,1,1,156
130,"PS FIROJPUR UPARHAR",493,419,0,912,258,258,0,516,361,0,83,202,56,151,4,3,9,1,2,0,1,4,516
131,"PS CHIRRA MOHAMMADPUR EAST",694,572,0,1266,336,277,0,613,573,0,27,253,169,147,2,2,0,2,4,4,2,1,613
132,"PS CHIRRA MOHAMMDPUR MIDDLE",594,491,0,1085,227,259,0,486,482,0,6,272,168,21,0,0,7,3,1,2,2,4,486
133,"PS CHIRRA MOHAMMADPUR WEST",420,313,0,733,204,154,0,358,357,0,27,126,63,113,1,0,1,1,1,11,2,12,358
134,"PS RASOOLPUR SAKRAWAL",547,484,0,1031,283,295,0,578,544,0,107,191,110,141,1,2,1,4,5,2,6,8,578
135,"PS BHITAURA",626,481,0,1107,302,258,0,560,538,0,87,183,53,201,13,3,1,9,4,3,2,1,560
136,"PS BHIKHARIPUR",315,310,0,625,215,191,0,406,392,0,211,48,15,118,1,2,0,4,4,0,0,3,406
137,"PS MOIYA BEGAMGANJ NORTH",783,666,0,1449,370,301,0,671,510,0,45,100,147,335,3,2,4,8,7,8,1,11,671
138,"PS MOIYA BEGAMGANJ MIDDLE",807,710,0,1517,419,294,0,713,396,0,94,73,59,450,8,0,8,2,5,6,0,8,713
139,"PS MOIYA BEGAMGANJ SOUTH",402,372,0,774,223,183,0,406,406,0,59,90,61,173,3,0,1,2,3,4,1,9,406
140,"PS HUNSEPUE ROOM NO. 1",435,340,0,775,268,241,0,509,14,0,80,24,64,292,5,1,6,5,8,6,4,14,509
141,"PS HUNSEPUR ROOM NO. 2",424,358,0,782,252,206,0,458,458,0,102,39,32,264,5,2,2,4,3,3,0,2,458
142,"PS SALARPUR",653,533,0,1186,499,380,0,879,563,0,115,66,103,555,4,0,0,3,11,5,7,10,879
143,"JHS HARIPUR JALALABAD SOUTH",343,297,0,640,235,187,0,422,411,0,16,26,90,278,2,1,1,2,1,1,1,3,422
144,"JHS HARIPUR JALALABAD MIDDLE",413,362,0,775,303,224,0,527,500,0,17,220,59,214,4,2,3,3,0,0,1,4,527
145,"JHS HARIPUR JALALABAD NORTH",809,685,0,1494,522,392,0,914,903,0,162,42,219,466,7,1,1,2,6,2,1,5,914
146,"PS MANAPUR",703,619,0,1322,482,427,0,909,900,0,342,23,20,484,12,1,2,3,10,4,4,4,909
147,"PS RAIPUR EAST",798,725,0,1523,539,487,0,1026,1025,0,228,107,56,598,6,4,2,0,10,3,3,9,1026
148,"PS RAIPUR WEST",650,541,0,1191,470,286,0,756,705,0,286,37,54,349,4,1,2,2,7,2,2,10,756
149,"PS KOTSARAI EAST",649,563,0,1212,449,374,0,823,804,0,95,93,216,374,7,4,3,6,13,3,5,4,823
150,"PS KOTSARAI WEST",318,275,0,593,227,196,0,423,423,0,89,24,93,194,2,1,1,1,4,4,1,9,423
151,"PS FATEHPUR SARAIYA",614,509,0,1123,417,309,0,726,582,0,107,107,271,206,4,4,2,2,11,3,4,5,726
152,"PS MANJHAKALA",602,466,0,1068,239,200,0,439,439,0,19,4,94,276,7,3,2,2,7,5,9,11,439
153,"PS GHATAMPUR",507,420,0,927,361,287,0,648,588,0,143,113,81,266,3,2,9,4,10,5,4,8,648
154,"PS MUMTAJNAGAR EAST",560,478,0,1038,384,326,0,710,600,0,44,81,108,455,6,0,0,5,6,0,2,3,710
155,"PS MUMTAJNAGAR WEST",669,551,0,1220,409,332,0,741,630,0,24,113,151,428,6,5,0,1,4,3,2,4,741
156,"PS HAJIPUR SINGHPUR EAST",678,620,0,1298,462,396,0,858,858,0,98,64,42,598,6,4,2,6,15,4,8,11,858
157,"PS HAJIPUR SINGHPUR SOUTH",136,133,0,269,94,85,0,179,170,0,24,5,12,128,1,0,0,2,1,4,1,1,179
158,"PS MIRZAPUR ROOM NO. 1",799,767,0,1566,573,462,0,1035,1000,0,45,213,139,591,7,4,2,8,10,7,2,7,1035
159,"PS BANBIRPUR SOUTH",624,543,0,1167,523,316,0,839,800,0,54,20,22,708,6,5,1,5,5,3,3,7,839
160,"PS JAGDISHPUR",422,369,0,791,349,260,0,609,500,0,197,78,58,251,2,2,5,4,5,1,2,4,609
161,"PS BICHHIYA",419,376,0,795,319,246,0,565,490,0,174,82,16,276,1,1,0,2,7,2,1,3,565
162,"KANYA JHS GOPALPUR ROOM NO. 1",513,468,0,981,305,271,0,576,447,0,135,24,54,324,3,3,1,4,12,5,2,9,576
163,"KANYA JHS GOPALPUR ROOM NO. 2",448,388,0,836,342,178,0,520,487,0,303,21,46,136,0,0,0,1,2,4,3,4,520
164,"PS BHIKHANPUR",328,323,0,651,245,235,0,480,471,0,268,5,25,155,1,0,1,1,2,5,1,16,480
165,"PS TAJPUR KODRA",686,570,0,1256,332,302,0,634,17,0,67,320,102,77,2,3,44,3,1,4,1,10,634
166,"PS VALLIPUR",560,524,0,1084,365,367,0,732,723,0,297,38,28,347,1,1,1,5,7,1,6,0,732
167,"PS GAUHANIA EAST",552,506,0,1058,390,334,0,724,701,0,122,82,47,441,7,1,2,5,7,4,0,6,724
168,"PS GAUHANIA WEST",208,190,0,398,114,85,0,199,199,0,37,24,30,102,0,0,0,0,2,2,0,2,199
169,"PS MOKALPUR",308,226,0,534,214,150,0,364,350,3,3,12,202,136,1,1,0,5,2,2,0,0,364
170,"PS SIRHIR NARSINGHPUR NORTH",615,520,0,1135,417,301,0,718,265,0,95,81,149,346,2,3,5,9,6,4,2,16,718
171,"PS SIRHIR NARSINGHPUR SOUTH",585,524,0,1109,400,322,0,722,530,0,287,80,61,248,8,3,0,4,9,5,6,11,722
172,"PS MOHIUDDINPUR",697,617,0,1314,444,420,0,864,87,0,76,143,204,369,5,2,37,3,8,7,5,5,864
173,"PS BHAIPUR",565,522,0,1087,387,356,0,743,721,0,99,117,126,360,4,1,1,3,5,10,7,10,743
174,"PS DAULATPUR ROOM NO. 1",507,479,0,986,293,266,0,559,558,0,69,146,152,147,1,2,21,1,6,7,1,6,559
175,"PS DAULATPUR ROOM NO. 2",448,447,0,895,210,243,0,453,244,0,62,179,26,133,4,2,25,4,2,6,3,7,453
176,"PS DAULATPUR EXTRA ROOM",476,416,0,892,261,249,0,510,506,0,50,94,40,305,2,1,1,2,5,3,1,6,510
177,"PS AMOUNA NORTH",612,547,0,1159,349,351,0,700,698,0,141,184,41,303,4,2,4,5,4,6,2,4,700
178,"PS AMOUNA SOUTH",499,427,0,926,345,296,0,641,641,103,103,20,89,411,1,0,1,4,6,2,1,3,641
179,"PS KADIPUR",769,631,0,1400,492,384,0,876,874,0,110,26,55,647,3,2,2,9,10,4,1,7,876
180,"PS BANDIDASPUR",312,275,0,587,205,201,0,406,406,0,20,15,176,178,0,0,1,0,5,7,0,4,406
181,"PS USRU AMOUNA",714,631,0,1345,512,461,0,973,854,0,83,75,201,588,3,0,4,3,2,6,3,5,973
182,"PS RANI BAZAR (SATHARI)",679,567,0,1246,520,404,0,924,921,0,69,80,158,587,5,3,2,5,4,2,7,2,924
183,"PS SAKHUPARA",400,368,0,768,295,246,0,541,521,0,89,14,217,197,1,0,4,1,7,5,2,4,541
184,"PS KURAWAN",296,268,0,564,218,217,0,435,412,0,169,25,31,192,1,3,1,1,3,2,2,5,435
185,"PS SARIYAWAN ROOM NO. 1",780,728,0,1508,564,513,0,1077,1014,0,262,36,51,673,4,3,3,5,10,7,6,17,1077
186,"PS SARIYAWAN ROOM NO. 2",380,331,0,711,196,185,0,381,350,0,145,37,32,157,0,0,0,1,2,2,2,3,381
187,"PS SARIYAWAN ROOM NO. 3",759,637,0,1396,427,303,0,730,727,0,216,55,49,387,5,0,2,2,4,2,1,7,730
188,"PS SARIYAWAN ROOM NO. 4",692,628,0,1320,399,321,0,720,440,0,95,23,81,495,7,3,1,4,7,1,0,3,720
189,"PS SARIYAWAN ROOM NO. 5",548,479,0,1027,346,294,0,640,640,0,244,34,18,303,8,2,0,4,7,4,3,13,640
190,"JHS SHIWALA MAU NORTH",711,617,0,1328,546,374,0,920,920,0,59,49,137,627,4,1,2,0,14,7,3,17,920
191,"JHS SHWALA MAU MIDDLE",508,489,0,997,362,292,0,654,650,0,74,60,106,392,3,1,1,0,6,1,5,5,654
192,"JHS SHIWALA MAU SOUTH",671,518,0,1189,472,210,0,682,560,0,192,37,58,368,2,5,2,2,4,2,5,5,682
193,"PS SOPHIYAPARA",409,336,0,745,321,204,0,525,500,0,63,21,108,315,2,0,3,0,2,3,0,8,525
194,"JHS MAHAWAN",374,306,0,680,273,211,0,484,484,0,81,19,42,327,2,1,1,2,1,2,1,5,484
195,"PS MAHAWAN NORTH",537,479,0,1016,398,379,0,777,750,0,300,31,106,322,1,1,1,3,3,2,4,3,777
196,"PS MAHAWAN SOUTH",300,268,0,568,192,185,0,377,300,0,97,11,69,184,2,0,0,3,2,4,1,4,377
197,"PS BARWA NORTH",536,495,0,1031,400,366,0,766,377,0,241,38,197,263,3,0,2,1,12,3,2,4,766
198,"PS BARWA SOUTH",545,506,0,1051,412,315,0,727,400,0,136,27,161,360,4,5,2,5,11,8,1,7,727
199,"PS KANDAILA",737,702,0,1439,527,460,0,987,987,0,245,26,272,391,7,1,0,9,7,11,2,16,987
200,"PS PORA",607,500,0,1107,441,322,0,763,700,0,129,77,185,327,5,1,10,6,7,6,2,8,763
201,"PS ANTPUR",623,531,0,1154,457,324,0,781,781,0,125,53,117,446,5,3,5,3,9,6,1,8,781
