"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - JITENDRA KUMAR SINGH BABLU BHAIYA","2 - NIRMAL KHATRI","3 - MITRASEN YADAV","4 - LALLU SINGH","5 - JAI RAM SINGH JAI","6 - NASREEN BANO","7 - MAKASUD ALI","8 - MAYURI TIWARI","9 - RADHIKA PRASAD","10 - RAM JANAM","11 - SHAILENDRA KUMAR SHUKLA","12 - None of the Above","Total Votes Secured"
64,"PS SANDWA BHELU ROOM NO.1",521,458,0,979,320,238,0,558,558,0,144,93,19,269,5,3,9,1,3,6,1,5,558
65,"PS SANDWA BHELU EXTRA ROOM",383,314,0,697,214,152,0,366,366,0,158,61,18,111,1,0,1,1,6,2,1,6,366
66,"PS AMAHIYA NARTHERN PART",489,435,0,924,284,255,0,539,539,0,74,8,27,404,8,1,1,2,5,2,0,7,539
67,"PS AMAHIYA SAUTHERN PART",699,581,0,1280,397,253,0,650,635,0,147,35,188,249,2,1,1,2,8,7,5,5,650
68,"PS MOHAMMD NAGAR MAJRE  JAMOLI ROOM NO.1",558,470,0,1028,335,221,0,556,556,0,72,172,121,144,5,4,7,5,5,5,6,10,556
69,"PS MOHAMMD NAGAR MAJRE  JAMOLI ROOM NO.2",432,365,0,797,211,136,0,347,344,0,59,65,63,142,1,2,1,1,7,2,0,4,347
70,"KANYA JHS DHEMA ROOM NO.3",579,470,0,1049,318,249,0,567,520,0,86,80,108,255,2,6,0,2,14,6,2,6,567
71,"KANYA JHS DHEMA ROOM NO.4",782,636,0,1418,394,241,0,635,220,0,54,91,157,287,7,5,3,3,7,10,5,6,635
72,"PS PARA HAJI",223,210,0,433,185,167,0,352,352,0,18,18,7,290,3,1,1,4,7,1,1,1,352
73,"PS SALEMPUR",619,518,0,1137,416,292,0,708,12,0,93,23,301,257,6,0,2,1,10,5,2,8,708
74,"PS RASOOLPUR",799,621,0,1420,520,418,0,938,938,0,63,79,337,399,12,7,4,4,10,9,7,7,938
75,"JHS SAROHA",125,106,0,231,84,73,0,157,157,0,11,7,64,63,1,0,0,1,3,0,0,7,157
76,"PS ASHRAFPUR",498,417,0,915,302,241,0,543,543,0,116,28,127,247,5,5,2,1,2,3,2,5,543
77,"PS HAJIPUR",625,453,0,1078,407,258,0,665,665,0,52,52,238,291,5,2,4,2,4,4,6,5,665
78,"PS BELPUR",497,444,0,941,331,257,0,588,580,0,54,89,87,312,8,2,2,3,14,5,3,9,588
79,"PS MAJHAUTI",455,338,0,793,301,242,0,543,543,0,72,59,41,301,7,0,4,2,22,11,9,15,543
80,"PS SARWAN TIKTHA",715,538,0,1253,411,291,0,702,701,0,23,283,66,252,9,2,19,5,15,7,6,15,702
81,"PS OHRAMAU-SAHJANA",471,368,0,839,272,206,0,478,478,0,79,34,177,148,0,1,4,3,7,8,4,13,478
82,"JHS KACHHIYA",271,258,0,529,180,108,0,288,200,0,13,6,21,234,3,0,0,1,1,4,2,3,288
83,"PS NAUROJPUR BAGHERI",826,633,0,1459,488,386,0,874,818,0,184,49,239,314,8,5,2,4,22,15,7,25,874
84,"PS DWARIKAPUR",673,539,0,1212,361,283,0,644,644,0,41,210,95,252,2,3,0,4,9,12,0,16,644
85,"PS SHERPUR",745,633,0,1378,432,359,0,791,791,0,230,106,158,250,7,2,4,5,10,4,4,11,791
86,"JHS BHATMAU NARAINPUR ROOM NO.1",614,468,0,1082,345,257,0,602,602,0,106,88,82,298,2,0,0,2,5,4,3,12,602
87,"JHS BHATMAU NARAINPUR ROOM NO.2",469,378,0,847,229,225,0,454,454,0,204,62,25,138,2,1,8,2,3,3,1,5,454
88,"PS RATANPUR",676,544,1,1221,413,290,0,703,199,0,89,108,177,277,6,3,1,2,15,10,2,13,703
89,"PS NAUGAWAN",598,462,0,1060,350,269,0,619,619,0,41,211,79,247,7,1,3,3,8,3,5,11,619
90,"PS HANSRAJPUR",874,648,0,1522,509,287,0,796,793,0,21,41,231,432,7,4,3,5,14,10,9,19,796
91,"PS DEVAIT",739,597,0,1336,417,312,0,729,713,0,83,125,208,228,5,2,8,3,15,13,9,30,729
92,"PS RAMPUR JANAK",742,578,0,1320,435,303,0,738,738,0,126,45,140,388,7,5,2,1,4,4,7,9,738
93,"PS RECHH ROOM NO.1",692,587,0,1279,425,325,0,750,748,0,136,28,129,384,7,6,4,6,15,12,6,17,750
94,"PS RECHH ROOM NO.2",719,601,0,1320,341,255,0,596,510,0,66,62,99,319,4,6,4,3,11,10,3,9,596
95,"PS FIRST UMAPUR  ROOM NO. 1",611,486,0,1097,385,324,0,709,709,0,52,221,51,330,7,2,16,3,2,7,5,13,709
96,"PS FIRST UMAPUR  ROOM NO. 2",726,582,0,1308,494,326,0,820,820,0,89,181,266,211,7,3,29,2,7,12,5,8,820
97,"JHS BABA BAZAR MAJRE BHAWANIPUR ROOM NO.1",869,718,0,1587,462,334,0,796,796,0,96,144,126,369,7,2,3,8,8,8,6,19,796
98,"JHS BABA BAZAR MAJRE BHAWANIPUR ROOM NO.2",846,651,0,1497,516,367,0,883,880,0,94,125,173,435,11,3,13,2,7,8,5,7,883
99,"PS GANESHPUR ROOM NO.1",591,516,0,1107,307,255,0,562,448,0,68,55,160,249,1,1,3,1,5,5,5,9,562
100,"PS GANESHPUR ROOM NO.2",758,640,0,1398,398,300,0,698,500,0,45,61,363,175,7,1,8,5,4,3,12,14,698
101,"PS SUNBA ROOM NO.1",672,550,0,1222,396,293,0,689,689,0,94,45,64,272,2,4,177,4,6,8,4,9,689
102,"PS SUNBA ROOM NO.2",540,439,0,979,269,210,0,479,479,0,92,74,23,151,4,1,107,4,6,3,3,11,479
103,"KANYA PS  KASARI ROOM NO.1",741,590,0,1331,412,354,0,766,755,0,80,167,176,292,7,2,26,0,2,2,3,9,766
104,"KANYA PS  KASARI ROOM NO.2",795,605,0,1400,382,343,0,725,725,0,14,112,201,365,3,4,9,0,7,4,1,5,725
105,"PS BIHARA ROOM NO.1",627,472,0,1099,352,212,0,564,564,0,18,30,84,389,7,4,10,0,4,1,3,14,564
106,"PS BIHARA ROOM NO.2",564,480,0,1044,338,272,0,610,610,0,110,120,109,224,2,1,6,2,7,6,7,16,610
107,"JHS SAIDPUR ROOM NO.1",766,624,0,1390,355,345,0,700,700,0,166,131,141,204,1,5,30,2,5,4,1,10,700
108,"JHS SAIDPUR ROOM NO.2",651,547,0,1198,305,307,0,612,612,0,59,113,265,135,0,0,19,3,5,6,2,5,612
109,"JHS SAIDPUR ROOM NO.3",766,616,0,1382,444,300,0,744,744,0,62,65,149,429,4,7,6,1,10,2,2,7,744
110,"PS NAIYAMAU MAJRE SAIDPUR ROOM NO.1",541,464,0,1005,295,256,0,551,551,0,45,38,141,297,10,2,0,1,9,0,3,5,551
111,"PS NAIYAMAU MAJRE SAIDPUR ROOM NO.2",767,644,0,1411,394,272,0,666,651,0,207,54,64,298,4,2,7,4,7,8,3,8,666
112,"PS SAIMSI ROOM NO.1",839,690,0,1529,375,350,0,725,725,0,204,23,88,375,11,2,0,3,5,7,0,7,725
113,"PS SAIMSI ROOM NO.2",634,531,0,1165,412,338,0,750,750,0,168,60,62,427,6,2,2,2,4,1,6,10,750
114,"PS SAIMSI ROOM NO.3",818,619,0,1437,450,269,0,719,717,0,141,52,197,294,7,2,7,2,4,3,5,5,719
115,"PS CHANDRAMAU MANGA ROOM NO.1",516,459,0,975,182,281,0,463,452,0,3,186,233,20,1,3,13,0,0,4,0,0,463
116,"PS CHANDRAMAU MANGA ROOM NO.2",407,368,0,775,208,199,0,407,368,0,36,130,173,52,2,0,1,1,0,3,3,6,407
117,"PS RASEED PATTI",680,576,0,1256,337,369,0,706,700,0,33,348,264,33,1,1,22,0,1,2,1,0,706
118,"PS CHANDRAMAU BAIRAM",654,528,0,1182,281,322,0,603,594,0,52,170,312,38,1,1,13,0,2,6,1,7,603
119,"PS TER ROOM NO.1",567,491,0,1058,360,333,0,693,693,0,149,30,209,250,6,4,9,3,9,4,5,15,693
120,"PS TER ROOM NO.2",512,442,0,954,292,216,0,508,400,0,26,34,297,109,2,1,4,2,6,5,5,17,508
121,"PS PAHARPUR ROOM NO.1",684,566,0,1250,405,370,0,775,773,0,74,35,199,413,6,2,9,2,8,10,2,15,775
122,"PS PAHARPUR ROOM NO.2",493,417,0,910,213,238,0,451,451,0,77,17,108,211,3,0,16,2,5,4,1,7,451
123,"PS PAHARPUR EXTRA ROOM",414,307,0,721,196,165,0,361,158,0,13,38,174,125,0,0,4,2,3,1,0,1,361
124,"PS MATHA NEVADA ROOM NO.1",500,438,0,938,347,253,0,600,465,0,29,259,107,165,3,2,1,5,4,2,8,15,600
125,"PS MATHA NEVADA ROOM NO.2",675,561,0,1236,375,308,0,683,680,0,28,354,46,198,0,3,1,7,5,16,11,14,683
126,"PS LODHAURA",349,288,0,637,200,220,0,420,41,0,93,23,58,216,2,0,10,1,4,3,0,10,420
127,"PS AMRAIGAON ROOM NO.1",718,646,0,1364,380,283,0,663,663,0,54,80,137,342,6,1,1,7,6,8,7,14,663
128,"PS AMRAIGAON ROOM NO.2",444,370,0,814,225,130,0,355,355,0,54,30,99,159,1,0,1,1,2,0,4,4,355
129,"PS AMRAIGAON EXTRA ROOM",425,374,0,799,253,192,0,445,445,0,105,75,32,196,2,0,4,2,7,6,5,11,445
130,"PS BANMAU",486,430,0,916,282,282,0,564,300,0,38,30,39,428,6,1,1,1,4,6,2,8,564
131,"PS BHAINSAULI ROOM NO.1",466,430,0,896,202,266,0,468,464,0,98,125,160,41,2,4,19,4,2,4,2,7,468
132,"PS BHAINSAULI EXTRA ROOM 1",372,319,1,692,173,155,0,328,243,0,51,92,91,77,2,0,1,2,3,2,5,2,328
133,"PS BHAINSAULI ROOM NO.2",346,348,0,694,162,180,0,342,342,0,30,143,103,63,0,0,0,0,1,1,1,0,342
134,"PS BHAINSAULI EXTRA ROOM 2",508,444,0,952,297,210,0,507,501,0,48,55,167,218,4,1,2,1,0,2,2,7,507
135,"PS MIRMAU ROOM NO.1",626,542,0,1168,399,334,0,733,730,0,69,190,147,298,7,0,1,1,1,4,6,9,733
136,"PS MIRMAU ROOM NO.2",611,495,0,1106,338,352,0,690,688,0,3,315,223,136,0,0,3,2,0,4,2,2,690
137,"PS MAHMOODMAU ROOM NO.1",416,365,0,781,252,223,0,475,470,0,103,57,29,244,3,1,0,5,11,8,4,10,475
138,"PS MAHMOODMAU ROOM NO.2",480,400,0,880,213,282,0,495,396,0,42,216,119,95,3,0,1,1,2,3,3,10,495
139,"PS TALGAON ROOM NO.1",463,394,0,857,266,210,0,476,473,0,29,23,40,363,3,1,0,0,5,6,1,5,476
140,"PS TALGAON ROOM NO.2",576,469,0,1045,306,248,0,554,554,0,220,56,82,166,6,1,5,1,3,7,2,5,554
141,"PS BADELA",524,474,0,998,351,298,0,649,60,0,84,93,220,220,0,2,9,2,3,7,6,3,649
142,"PS FARIDPUR",336,283,0,619,214,179,0,393,391,0,17,7,33,317,4,0,1,0,2,2,3,7,393
143,"SATYANAMI VIDYA PEETH UMV NARAULI ROOM NO.1",445,348,0,793,277,175,0,452,452,0,51,28,170,179,3,2,1,0,9,6,0,3,452
144,"SATYANAMI VIDYA PEETH UMV NARAULI ROOM NO.2",487,367,0,854,250,169,0,419,377,0,19,125,75,182,0,2,6,1,3,1,3,2,419
145,"SATYANAMI VIDYA PEETH UMV NARAULI ROOM NO.3",515,407,0,922,260,215,0,475,259,0,77,119,128,127,2,1,2,2,5,4,4,4,475
146,"SATYANAMI VIDYA PEETH UMV NARAULI ROOM NO.4",368,311,0,679,225,182,0,407,407,0,33,18,143,187,4,2,0,0,6,2,1,11,407
147,"SATYANAMI VIDYA PEETH UMV NARAULI ROOM NO.5",823,679,0,1502,395,332,0,727,727,0,40,92,387,161,1,2,12,5,9,9,0,9,727
148,"PS HARIHARPUR KAYASTHAN EXTRA ROOM",330,291,0,621,201,179,0,380,320,0,32,49,18,265,1,0,0,2,2,4,1,6,380
149,"PS PAKARIYA GAON",503,440,0,943,266,245,0,511,500,0,28,224,92,140,4,0,1,1,6,6,2,7,511
150,"PS TANDA SUFI",326,301,0,627,270,241,0,511,510,0,95,12,22,367,2,2,3,0,1,2,1,4,511
151,"JHS BAHRAS ROOM NO.1",599,509,0,1108,430,370,0,800,315,0,37,49,307,366,4,3,4,3,8,10,2,7,800
152,"JHS BAHRAS ROOM NO.2",706,594,0,1300,486,346,0,832,790,0,80,48,160,501,9,5,1,4,11,4,2,7,832
153,"PS VIKAWAL",424,375,0,799,285,237,0,522,522,0,13,46,28,392,13,1,0,2,8,6,4,9,522
154,"PS TIKAR ROOM NO.1",448,386,0,834,295,243,0,538,538,0,83,113,202,127,3,2,0,1,1,2,1,3,538
155,"PS TIKAR ROOM NO.2",361,283,0,644,188,149,0,337,337,0,20,55,25,227,3,1,0,0,1,2,0,3,337
156,"PS SULEMPUR",195,171,0,366,142,135,0,277,277,0,17,5,9,237,1,1,1,1,3,1,0,1,277
157,"PS KUTUBJAMAPUR MAJRE FATTAPUR KHURD",583,486,0,1069,396,274,0,670,669,0,110,65,366,95,2,3,4,3,6,4,2,10,670
158,"JHS SARAITHA ROOM NO.1",809,659,0,1468,450,312,0,762,762,0,35,59,152,480,5,0,4,1,3,10,2,11,762
159,"JHS SARAITHA ROOM NO.2",642,553,0,1195,375,310,0,685,685,0,48,100,78,402,5,1,1,3,12,13,2,20,685
160,"PS TANDA KHULASA",723,617,0,1340,385,385,0,770,410,0,46,181,161,336,8,4,2,4,4,5,5,14,770
161,"PS PURAIN ROOM NO.1",750,627,0,1377,385,345,0,730,728,0,200,234,101,164,5,1,0,2,1,3,7,12,730
162,"PS PURAIN ROOM NO.2",786,658,0,1444,421,309,0,730,730,0,148,151,134,268,6,1,2,2,5,8,0,5,730
163,"PS MATAULI",431,391,0,822,283,240,0,523,521,0,107,88,89,208,3,0,1,2,8,3,5,9,523
164,"JHS GANAULI ROOM NO.1",523,475,0,998,320,256,0,576,576,0,219,52,112,178,2,0,0,0,7,1,5,0,576
165,"JHS GANAULI ROOM NO.2",458,380,0,838,256,176,0,432,310,0,129,72,74,142,3,0,1,2,2,5,1,1,432
166,"JHS GANAULI ROOM NO.3",386,342,0,728,188,119,0,307,307,0,49,73,23,147,1,1,6,1,1,1,1,3,307
167,"PS SULEMANPUR MAJRE GANAULI ROOM NO.1",562,419,0,981,313,218,0,531,328,0,21,184,143,152,2,6,1,1,4,2,6,9,531
168,"PS SULEMANPUR MAJRE GANAULI ROOM NO.2",507,485,0,992,246,167,0,413,250,0,24,101,80,190,1,4,0,1,5,1,0,6,413
169,"PS JARAYAL KHURD",241,209,0,450,177,146,0,323,45,0,51,6,79,170,2,1,0,0,3,1,3,7,323
170,"JHS PURE SHAH LAL MAJRE JARAYAL KALA ROOM NO.1",483,413,0,896,234,136,0,370,370,0,53,41,108,123,2,0,2,1,8,10,7,15,370
171,"JHS PURE SHAH LAL MAJRE JARAYAL KALA ROOM NO.2",439,362,0,801,252,207,0,459,459,0,33,166,53,185,2,0,3,0,5,7,2,3,459
172,"JHS PURE SHAH LAL MAJRE JARAYAL KALA ROOM NO.3",347,333,0,680,206,164,0,370,370,0,133,108,80,38,2,1,0,0,1,0,2,5,370
173,"NEW PS SITHAULI ROOM NO.1",628,543,0,1171,349,302,0,651,651,0,124,185,113,217,1,0,0,2,1,1,2,5,651
174,"NEW PS SITHAULI ROOM NO.2",496,462,0,958,292,303,0,595,595,0,49,150,22,352,1,1,2,2,2,6,3,5,595
175,"PS JAKHAULI ROOM NO.1",717,598,0,1315,480,318,0,798,798,0,86,71,169,441,8,2,2,3,5,3,2,6,798
176,"PS JAKHAULI ROOM NO.2",722,568,0,1290,400,304,0,704,700,0,41,75,274,279,4,3,1,1,2,8,2,14,704
177,"PS KHEDIPUR",544,500,0,1044,372,339,0,711,711,0,46,55,320,254,4,0,1,2,8,8,3,10,711
178,"PS PALPUR",446,383,0,829,273,249,0,522,522,0,63,58,134,242,3,1,1,1,9,4,1,5,522
179,"KANYA PS  KHURDAHA",275,284,0,559,228,210,0,438,438,0,15,188,20,167,3,2,1,0,6,13,10,13,438
180,"PS DIWALI",229,259,0,488,181,200,0,381,380,0,87,82,45,141,6,1,1,0,3,3,2,10,381
181,"JHS SEEWAN ROOM NO.1",835,709,0,1544,436,362,0,798,780,0,147,153,257,207,3,2,4,1,6,4,6,8,798
182,"JHS SEEWAN ROOM NO.2",525,474,0,999,254,275,0,529,156,0,18,253,67,173,7,0,1,1,2,4,1,2,529
183,"JHS SEEWAN ROOM NO.3",442,353,0,795,268,208,0,476,476,0,20,243,67,131,3,0,4,2,4,0,1,1,476
184,"PS GERAUNDA ROOM NO.1",323,265,0,588,174,117,0,291,287,0,59,79,18,112,2,0,1,1,3,2,3,11,291
185,"PS GERAUNDA ROOM NO.2",751,674,0,1425,320,263,0,583,583,0,11,207,181,154,6,2,5,2,4,6,1,4,583
186,"PS BAHORIKPUR",436,364,0,800,272,224,0,496,21,0,24,88,70,279,8,3,3,1,4,6,4,6,496
187,"PS ZUNEDPUR",411,334,0,745,263,193,0,456,456,0,48,12,163,221,0,0,2,1,4,3,0,2,456
188,"PS MURADABAD",222,199,0,421,149,127,0,276,275,0,36,35,32,151,4,3,1,2,5,0,1,6,276
189,"PS DAFIYAPUR",601,497,0,1098,364,252,0,616,516,0,69,83,47,379,4,1,1,3,9,7,2,11,616
190,"JHS BHITAURA",674,590,0,1264,464,392,0,856,856,0,100,84,167,449,11,2,3,5,11,5,5,14,856
191,"PS AMRAUTI",180,172,0,352,157,144,0,301,290,0,97,12,4,163,3,0,1,5,2,1,2,11,301
192,"PS SARAI AHMAD",462,400,0,862,302,270,0,572,500,0,97,66,143,230,6,0,1,1,6,4,3,15,572
193,"PS SAHNI",403,339,0,742,255,193,0,448,435,0,47,65,84,224,3,1,1,0,8,7,2,6,448
194,"KANYA JHS RAUJAGAON ROOM NO.1",570,529,1,1100,421,294,0,715,696,0,29,182,34,429,7,3,0,2,11,5,2,11,715
195,"KANYA JHS  RAUJAGAON ROOM NO.2",600,526,0,1126,368,256,0,624,620,0,43,82,120,355,3,2,2,2,6,2,3,4,624
196,"KANYA JHS RAUJAGAON ROOM NO.3",356,321,0,677,190,177,0,367,367,0,63,116,43,124,2,0,8,0,3,1,4,3,367
197,"PS ICHAULIYA",783,619,0,1402,473,398,0,871,867,0,112,142,249,336,4,6,2,4,4,4,1,7,871
198,"PS GOGAWAN",754,643,0,1397,462,358,0,820,820,0,87,127,189,353,8,4,3,3,11,9,4,22,820
