"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ASTBHUJA PRASAD TRIPATHI","2 - ADITYANATH","3 - RAJMATI NISHAD","4 - RAM BHUAL NISHAD","5 - INDRA DEO YADAVA","6 - FAIZ AHAMAD FAIZI","7 - MUNNA","8 - RAJIT MISHRA","9 - RAJESH","10 - RADHE MOHAN MISRA","11 - MOHD. WASEEM KHAN","12 - SUBASH KUMAR MAURYA","13 - ACHHE LAL GUPTA","14 - ASHOK","15 - RAMKISHUN","16 - None of the Above","Total Votes Secured"
24,"P.V MATIYRA",444,344,0,788,240,203,0,443,26,0,29,63,22,303,1,0,11,1,0,5,1,0,5,0,0,2,443
25,"P.V AMSAR",317,272,0,589,190,167,0,357,357,0,4,120,158,66,0,0,0,0,0,2,1,1,2,1,0,2,357
26,"P.V GOHTA",272,240,0,512,152,147,0,299,299,0,48,166,34,40,2,0,0,0,0,0,1,0,1,3,2,2,299
27,"P.V MADAR ROOM NO 1",665,530,0,1195,329,382,0,711,711,0,7,145,50,465,9,1,4,2,0,0,2,2,11,2,5,6,711
28,"P,V MADAR ROOM NO 2",684,546,0,1230,405,240,0,645,56,0,6,179,43,385,3,0,4,1,0,3,2,3,9,1,2,4,645
29,"p.v BHITNI",265,216,0,481,136,132,0,268,268,0,35,109,45,69,0,1,1,0,0,2,0,3,1,2,0,0,268
30,"P.V GHAGHSARA SECOND ROOM NO 1",483,403,0,886,259,243,0,502,11,0,100,218,29,126,1,1,7,0,0,1,0,0,5,4,4,6,502
31,"P.V GHAGHSARA SECOND ROOM NO 2",461,387,0,848,219,211,0,430,15,0,149,171,57,11,3,0,0,1,0,6,4,1,2,6,7,12,430
32,"P.M.V TIKARIYAKHOR",462,385,0,847,252,246,0,498,498,0,61,258,52,100,2,0,4,2,1,0,1,1,5,3,2,6,498
33,"P.V KUSMAHAKHURD",434,362,0,796,255,245,0,500,500,0,85,171,91,123,1,1,0,2,2,3,0,2,1,3,6,9,500
34,"P.M.V LAKHANAPAR",781,634,0,1415,397,403,0,800,800,0,128,399,35,199,2,2,3,2,1,2,0,4,7,5,7,4,800
35,"P.V DUMARI ROOM NO 1",802,682,0,1484,465,381,0,846,846,0,66,616,64,58,0,5,4,1,1,2,3,3,5,5,7,6,846
36,"P.V DUMARI ROOM NO 2",811,650,0,1461,437,397,0,834,6,0,111,252,186,230,2,10,3,2,1,5,0,0,6,3,7,16,834
37,"P.V VIJAUVA ROOM NO 1",448,395,0,843,263,219,0,482,482,0,16,140,161,146,1,1,3,1,1,3,2,0,3,2,0,2,482
38,"DR. AMBEDKAR SA. SWASTH KENDRA VIJAUVA",419,352,0,771,213,191,0,404,16,0,59,138,84,105,2,1,3,0,1,0,0,0,2,2,1,6,404
39,"P.V SAJANAPAR",331,266,0,597,202,189,0,391,3,0,32,274,49,14,0,1,2,2,1,2,2,0,3,2,3,4,391
40,"P.V KODARI",504,403,0,907,321,238,0,559,539,0,211,102,17,216,4,0,2,2,0,0,0,0,0,1,2,2,559
41,"P.V RAMDIHTORNI",321,299,0,620,217,218,0,435,435,0,31,248,53,89,1,1,1,0,1,0,0,1,3,1,4,1,435
42,"P.V DARIVAN",335,264,0,599,196,194,0,390,8,0,41,110,88,132,2,2,2,0,0,0,0,1,4,3,1,4,390
43,"P.M.V USARI",500,413,0,913,277,256,0,533,533,0,25,335,40,115,1,2,3,1,1,2,0,1,4,0,2,1,533
44,"P.V MOHIDDINPUR",263,205,0,468,143,129,0,272,13,0,37,184,4,38,0,0,0,0,1,1,1,0,0,0,2,4,272
45,"P.V BARAIPAR TETARIYA",593,468,1,1062,299,260,0,559,559,0,42,342,43,97,2,10,3,0,1,2,1,2,0,1,8,5,559
46,"P.V MAKARHAT",511,437,0,948,259,257,0,516,5,0,24,323,33,107,0,1,1,1,3,6,0,0,7,3,4,3,516
47,"P.V SURGAHANA",686,519,0,1205,365,275,0,640,640,0,18,215,282,72,2,1,5,0,1,22,0,1,6,5,3,7,640
48,"P.V MADHOPUR",296,252,0,548,164,138,0,302,302,0,4,112,123,58,0,0,1,0,0,0,0,0,2,0,1,1,302
49,"P.V AKUAAPAR",650,542,0,1192,387,314,0,701,17,0,24,496,26,130,0,1,2,0,1,8,1,1,3,4,2,2,701
50,"P.V BELAURA",186,158,0,344,113,100,0,213,1,0,11,153,10,34,0,0,1,0,0,0,0,0,0,0,0,4,213
51,"P.V PALI ROOM NO 1",697,581,1,1279,329,271,0,600,600,0,34,438,34,72,0,1,2,0,0,11,2,0,3,3,0,0,600
52,"P.V PALI ROOM NO 2",811,669,0,1480,370,318,0,688,688,0,32,435,65,114,1,0,9,0,1,7,5,4,5,2,3,5,688
53,"P.M.V PALI ROOM NO. 1",417,343,0,760,257,235,0,492,124,0,21,240,28,176,6,0,3,1,0,3,0,1,4,2,4,3,492
54,"P.M.V PALI ROOM NO 2",422,343,0,765,224,221,0,445,445,0,6,88,22,308,1,0,4,0,0,0,3,0,8,2,0,3,445
55,"JAWAHAR LAL NEHRU INTER COLLAGE TILAURA",530,423,0,953,325,220,0,545,545,0,187,211,88,51,1,0,0,0,0,2,0,0,1,1,0,3,545
56,"P.V THARUAAPAR",421,330,0,751,212,183,0,395,34,0,87,145,26,122,2,0,0,0,0,5,0,1,0,2,0,5,395
57,"P.V VISARI",595,470,0,1065,397,295,0,692,692,0,340,100,13,213,0,0,3,2,1,0,1,2,6,5,5,1,692
58,"P.V NACHANI",310,266,0,576,175,180,0,355,2,0,36,186,109,2,2,2,1,0,0,1,0,0,4,0,5,7,355
59,"P.V ALGATPUR",406,312,0,718,235,216,0,451,451,0,366,61,8,2,0,0,0,0,1,2,1,0,0,0,1,9,451
60,"P.V PANIKA",299,252,0,551,185,160,0,345,345,0,133,138,9,54,0,4,0,1,0,0,1,0,1,0,0,4,345
61,"P.V GHGHSARA STHIT MANJHRIYA",645,447,1,1093,387,252,0,639,4,356,356,216,30,15,2,1,0,0,2,1,2,0,1,5,2,6,639
62,"P.V JAGDISHPUR URF GAHI",445,380,0,825,253,247,0,500,498,0,173,40,176,98,1,1,0,0,1,2,0,0,2,1,4,1,500
63,"P.M.V GHAGHSARA",230,188,0,418,147,129,0,276,276,0,107,85,51,20,0,0,0,0,1,2,2,0,1,0,2,5,276
64,"P.M.V LOHSARA",183,178,0,361,125,118,0,243,37,0,24,70,136,3,0,0,1,0,0,4,1,0,1,3,0,0,243
65,"P.V BADGO",621,492,0,1113,381,339,0,720,210,0,52,208,132,269,4,13,8,1,1,2,5,1,10,3,5,6,720
66,"P.V BHROHIYA",381,322,0,703,222,182,0,404,15,0,22,246,4,123,1,0,1,0,0,0,1,0,1,0,3,2,404
67,"P.V DEVAPAR DUGDUIYA",556,470,0,1026,279,276,0,555,300,0,42,289,46,148,0,4,8,0,0,5,1,1,2,2,3,4,555
68,"BABA RAGHAV DAS INTER COLLAGE KHJURAHI URF JOGIYA",271,215,0,486,136,109,0,245,245,0,13,142,33,44,0,1,1,0,0,0,0,0,4,2,0,5,245
69,"P.V BARAIPAR ROOM NO 1",561,454,0,1015,323,260,0,583,583,0,20,450,69,14,0,0,0,0,1,4,0,0,4,4,7,10,583
70,"P.V BARAIPAR ROOM NO 2",669,549,0,1218,345,299,0,644,45,0,38,286,17,275,1,1,1,0,1,3,0,1,5,2,4,9,644
71,"P.V BAHILPAR",445,413,0,858,275,269,0,544,44,0,21,182,19,274,2,0,11,2,3,2,0,5,9,5,2,7,544
72,"P.M.V KARARIYA",391,298,0,689,167,176,0,343,343,0,35,81,84,128,2,2,5,0,0,2,0,0,2,0,0,2,343
73,"P.V KODARI",832,635,0,1467,460,358,0,818,100,0,44,462,83,161,3,2,5,0,1,14,3,3,6,13,6,12,818
74,"P.V TIKARIYA",797,613,0,1410,368,340,0,708,26,0,46,322,153,146,3,0,5,0,6,4,1,2,6,2,4,8,708
75,"P.V MINVA ROOM NO 1",461,387,0,848,196,213,0,409,409,0,34,240,74,46,1,1,0,0,0,2,0,1,4,2,3,1,409
76,"P.V MINVA ROOM NO 2",495,385,0,880,263,223,0,486,12,0,30,288,17,123,4,2,2,1,0,4,2,0,4,2,3,4,486
77,"P.V VISHUNPURA",521,407,0,928,281,238,0,519,519,0,25,289,88,100,0,0,2,0,0,0,0,3,3,5,3,1,519
78,"P.V DOHARIYA KALA ROOM NO 1",577,467,0,1044,343,272,0,615,598,0,33,317,75,162,3,0,4,0,1,4,0,1,4,3,1,7,615
79,"P.V DOHARIYA KALA ROOM NO 2",351,318,0,669,173,137,0,310,310,0,15,208,30,42,2,0,3,0,1,1,1,0,1,3,1,2,310
80,"P.V MUSTAFABAD URF MALUR",757,643,0,1400,388,413,0,801,96,0,32,431,188,112,3,1,4,1,1,8,2,1,5,3,4,5,801
81,"P.V BHELAUR URF DADAULI",328,267,0,595,201,175,0,376,376,0,38,112,192,5,1,1,0,2,1,1,0,3,4,8,3,5,376
82,"P.V SHAHPUR",334,285,0,619,183,154,0,337,337,0,11,108,154,52,1,0,1,0,0,1,0,3,2,1,2,1,337
83,"P.V BHITHA",439,365,0,804,259,226,0,485,485,0,44,128,73,215,1,9,0,0,1,1,0,0,3,5,3,2,485
84,"P.V PUNDA",567,433,0,1000,300,242,0,542,542,0,73,318,13,124,1,0,0,0,0,2,0,0,3,1,3,4,542
85,"P.V SEHUDA",258,239,0,497,140,142,0,282,282,0,27,98,92,52,1,0,3,0,1,3,0,0,1,2,2,0,282
86,"BARAT GHAR BANOHIYA",206,168,0,374,123,92,0,215,215,0,11,94,24,76,1,0,1,1,1,2,0,0,0,0,1,3,215
87,"P.M.V RITHUAAKHOR ROOM NO 1",564,454,0,1018,318,257,0,575,11,0,44,461,42,8,0,0,1,0,0,9,2,0,3,2,2,1,575
88,"P,M,V RITHUAAKHOR ROOM NO 2",750,618,0,1368,395,370,0,765,765,0,52,342,33,302,7,1,0,0,0,7,1,4,3,3,2,8,765
89,"P.V MEHRUKUNDAL",360,298,0,658,158,136,0,294,204,0,25,134,50,51,1,0,1,3,2,5,3,0,4,2,7,6,294
90,"P.V GOVINDPUR",496,422,0,918,293,296,0,589,589,0,52,233,163,110,0,0,6,2,0,12,0,0,2,6,3,0,589
91,"P.V LONIYA",425,323,0,748,261,206,0,467,467,0,30,142,216,50,0,2,4,3,1,0,2,2,4,5,3,3,467
92,"P.V ITAR",267,225,0,492,118,111,0,229,10,0,30,86,55,52,0,0,0,0,0,1,0,0,1,1,1,2,229
93,"P.V CHIGAUNA",329,298,0,627,178,192,0,370,86,0,37,213,15,89,2,0,0,0,1,6,0,0,0,2,2,3,370
94,"P.V NIBRAHAR",543,462,0,1005,323,284,0,607,600,0,24,236,215,102,0,1,1,2,0,5,2,3,3,8,3,2,607
95,"P,V BANAULI",771,611,0,1382,401,313,0,714,22,0,43,240,223,159,2,1,1,1,0,8,1,4,6,2,6,17,714
96,"P.V SURDAHI",286,225,1,512,167,144,0,311,309,0,11,59,61,164,2,1,0,0,0,3,0,1,6,0,0,3,311
97,"P.V PATTI DHARMDAS",270,228,0,498,160,147,0,307,6,0,62,77,97,57,0,0,1,0,0,3,0,1,2,4,0,3,307
98,"PANCHAYAT BHAWAN SEMRA",519,456,0,975,312,269,0,581,581,0,19,302,16,184,4,0,13,0,2,4,4,3,4,4,11,11,581
99,"P.V BHIMAPAR",385,334,0,719,235,206,0,441,328,0,49,243,17,115,1,1,3,0,0,1,1,0,2,1,3,4,441
100,"P.V TENUHARI",308,257,0,565,181,132,0,313,313,0,34,139,56,70,2,0,0,0,1,2,1,4,1,1,1,1,313
101,P.V.JUDAKODARI,205,184,0,389,121,113,0,234,234,0,13,115,39,55,1,0,0,1,0,4,0,0,0,4,1,1,234
102,P.V.KESHOKUHA,305,261,0,566,201,166,0,367,198,0,29,232,12,86,2,0,1,0,0,1,0,1,0,2,1,0,367
103,"P.V.BHAGURA ROOM NO .1",423,372,0,795,229,204,0,433,433,0,7,342,23,45,0,0,2,0,0,1,0,1,3,4,2,3,433
104,"P.V.BHAGURA ROOM NO.2",462,334,1,797,296,246,0,542,18,0,12,171,110,216,2,0,4,1,0,5,0,1,5,7,3,5,542
105,"P.V. BELHAR",407,290,0,697,292,184,0,476,476,0,15,149,217,77,2,3,0,0,0,2,0,0,3,2,4,2,476
106,P.V.JONHIYA,449,360,0,809,258,202,0,460,11,0,10,249,81,103,1,0,0,1,0,1,0,2,0,2,7,3,460
107,P.V.MAKTAPAR,325,238,0,563,190,152,0,342,342,0,15,126,37,148,1,0,6,0,0,3,1,2,2,0,1,0,342
108,"P.V. MAHUAAPAR",720,565,0,1285,354,458,0,812,8,0,22,433,247,89,1,1,4,0,0,3,0,1,3,2,5,1,812
109,"P.V. MUNDAKODRA",550,436,0,986,347,231,0,578,578,0,94,328,33,88,6,1,6,1,4,0,0,1,3,2,3,8,578
110,P.V.ACHIYAPAR,355,265,0,620,239,188,0,427,10,0,6,49,210,128,0,1,7,1,1,1,0,3,5,8,2,5,427
111,P.V.TANDVAKHURD,275,236,0,511,188,134,0,322,12,0,37,190,48,42,0,1,0,0,0,0,0,0,0,1,3,0,322
112,"P.M.V.SIHAPAR ROOM NO1",658,533,0,1191,406,252,0,658,658,0,18,187,395,38,0,2,0,1,0,4,1,1,5,2,3,1,658
113,"P.M.V.SIHAPAR ROOM NO.2",626,498,0,1124,399,320,0,719,719,0,26,193,288,178,2,0,0,0,5,4,3,1,10,2,5,2,719
114,P.V.SIHAPAR,338,261,0,599,215,148,0,363,10,0,18,63,248,23,0,0,2,0,0,6,1,0,0,0,1,1,363
115,"P.V. BHAISLA",352,255,0,607,199,127,0,326,15,0,38,149,93,29,0,2,4,0,0,0,2,0,3,1,2,3,326
116,"P.V. BANKATIYA",600,473,0,1073,339,292,0,631,13,0,22,202,91,267,2,1,7,1,3,5,1,3,6,3,3,14,631
117,P.V.KUAAVAR,443,345,0,788,215,182,0,397,100,0,31,182,77,95,1,1,3,1,0,0,0,1,0,0,3,2,397
118,"P.V.SEMARDANDI ROOM NO.1",645,543,0,1188,325,308,0,633,27,0,46,274,88,186,1,4,2,1,2,0,1,2,8,5,5,8,633
119,"P.V. SEMARDANDI ROOM NO.2",288,231,0,519,151,146,0,297,26,0,5,2,3,275,3,1,0,0,0,0,0,1,5,0,0,2,297
120,P.V.CHANDBARI,880,655,0,1535,454,387,0,841,14,0,36,446,142,157,4,11,3,4,0,11,2,1,6,4,7,7,841
121,P.V.RANUKHOR,200,164,0,364,111,114,0,225,225,0,7,125,72,1,2,0,0,0,1,9,0,0,1,1,4,2,225
122,P.V.ODVALIYA,652,507,0,1159,264,235,0,499,17,0,46,126,194,28,1,54,1,1,1,14,3,0,5,8,6,11,499
123,P.V.KUSMAUL,425,305,0,730,224,172,0,396,396,0,16,164,162,33,1,2,3,0,0,2,0,0,5,3,1,4,396
124,P.V.MAHRABARI,633,492,0,1125,290,284,0,574,574,0,30,86,271,162,1,1,4,1,0,2,1,0,3,8,2,2,574
125,"P.V.BHARPAHI ROOM NO.1",463,347,0,810,252,205,0,457,57,0,31,221,130,17,0,42,1,0,0,1,0,1,2,3,2,6,457
126,"P.V.BHARPAHI ROOM NO.1",787,617,0,1404,414,318,0,732,729,0,33,329,186,123,3,4,4,2,1,10,3,2,2,10,1,19,732
127,P.V.TANDVAKALA,501,459,0,960,278,246,0,524,524,0,5,137,214,158,0,0,1,0,0,5,0,0,2,1,1,0,524
128,"P.V.RANDAULI URF MATHIYA",332,265,1,598,175,141,0,316,12,0,15,129,41,112,1,0,3,0,0,4,1,0,6,2,1,1,316
129,P.V.KESHVAKHOR,308,260,0,568,197,149,0,346,346,0,9,214,54,65,0,0,0,0,1,0,0,0,0,0,1,2,346
130,P.V.BAVANDRA,358,262,0,620,230,183,0,413,118,0,7,272,26,99,0,1,2,1,1,1,0,1,2,0,0,0,413
131,P.V.MAILA,695,574,0,1269,449,318,0,767,67,0,39,351,168,151,2,3,4,0,4,3,0,9,12,3,6,12,767
132,P.V.BHATVAL,314,251,0,565,179,146,0,325,25,0,26,67,137,73,0,3,2,3,2,1,0,0,4,3,1,3,325
133,P.M.V.GHURIYAPAR,717,589,0,1306,465,367,0,832,32,0,28,405,250,110,0,3,7,0,0,1,3,1,7,8,3,6,832
134,P.M.V.UJJIKHOR,532,456,0,988,344,249,0,593,7,0,17,403,87,73,0,0,1,0,1,4,0,0,1,3,1,2,593
135,"P.V. KESHOPUR ROOM NO.1",706,603,0,1309,503,402,0,905,41,0,61,643,72,85,2,0,2,0,2,13,2,0,1,6,6,10,905
136,"P.V. KESHOPUR ROOM NO.2",603,500,1,1104,410,336,0,746,18,0,25,529,44,117,0,2,3,0,0,15,0,1,0,1,1,8,746
137,"P.V.KESHOPUR ROOM NO.3",539,432,0,971,294,267,0,561,61,0,34,317,61,122,1,1,5,1,0,2,1,2,9,2,2,1,561
138,"P.V.DOMHAR MAFI",687,580,0,1267,422,353,0,775,70,0,36,483,55,173,1,1,1,1,0,5,0,2,1,4,6,6,775
139,"P.V. BASIYA",712,591,0,1303,491,331,0,822,24,0,31,248,251,271,3,3,1,0,0,0,0,0,6,3,2,3,822
140,"P.V. SAHAJANWA SECAND STITH LUCHUI ROOM NO 1",560,440,0,1000,350,256,0,606,23,0,51,333,150,49,1,1,1,1,1,1,0,2,3,3,3,6,606
141,"P.V. SAHJANWA FIST STITH LUCHUI ROOM NO.1",761,610,0,1371,483,322,0,805,780,0,32,506,186,43,0,1,0,2,1,1,1,3,4,6,8,11,805
142,"P.V. SAHJANWA FIST STITH LUCHUI ROOM NO.2",825,646,0,1471,543,414,0,957,40,0,47,746,111,21,1,1,1,3,1,7,2,2,4,3,3,4,957
143,"BHOLARAM MASKARA I.K.GAHASAND ROOM NO.1",700,569,0,1269,455,339,0,794,788,0,41,433,72,217,4,3,1,1,0,4,0,1,6,3,2,6,794
144,"BHOLARAM MASKARA I.K.GAHASAND ROOM NO.2",669,517,0,1186,408,221,0,629,16,0,24,390,127,54,1,3,1,0,2,0,1,1,8,6,5,6,629
145,"BHOLARAM MASKARA I.K.GAHASAND ROOM NO.3",706,542,0,1248,480,208,0,688,600,0,26,410,149,55,0,8,6,3,3,3,3,0,5,8,2,7,688
146,"BHOLARAM MASKARA I.K.GAHASAND ROOM NO.1",636,359,0,995,383,231,0,614,250,0,26,356,44,154,4,2,6,0,0,11,1,0,2,4,1,3,614
147,P.V.BOKTA,688,559,0,1247,475,329,0,804,804,0,10,161,433,168,4,1,2,1,0,5,1,1,9,1,3,4,804
148,"P.V. JUDIYAN",720,566,0,1286,460,338,0,798,500,0,16,398,151,180,0,2,3,3,2,6,1,1,11,5,8,11,798
149,P.V.TENUHARI,370,317,0,687,236,205,0,441,41,0,5,93,57,265,2,0,6,1,1,1,1,0,4,1,2,2,441
150,P.V.BHAPSA,556,428,0,984,335,285,0,620,28,0,14,252,171,167,0,1,0,1,0,1,2,1,1,2,4,3,620
151,"MURARI INTER SAHAJANWA COLLAGE STITH  PIPRA ROOM NO 1",611,530,0,1141,389,297,0,686,19,0,12,368,268,14,0,0,0,1,1,12,0,0,2,3,1,4,686
152,"MURARI INTER COLLAGE SAHAJANWA STITH PIPRA ROOM NO 2",445,391,0,836,299,238,0,537,34,0,11,151,308,51,0,0,0,1,1,4,0,0,2,3,2,3,537
153,"P.V SAHIJANA",459,383,0,842,299,242,0,541,11,0,14,290,113,100,2,1,2,0,0,5,2,1,1,2,6,2,541
154,"P.V JIGINA",403,334,0,737,268,220,0,488,80,0,4,126,15,322,2,2,2,0,1,7,0,0,1,4,2,0,488
155,"SAMUDAYIK  KENDRA SAHBAJGUNG",738,590,0,1328,499,330,0,829,785,0,40,501,37,217,3,1,2,1,0,7,3,2,7,3,3,2,829
156,"P.V SARIYA IN RAHIMABAD",326,269,0,595,185,143,0,328,25,0,8,186,28,101,1,0,2,0,0,0,0,1,0,0,0,1,328
157,"P.V BANGAVAROOM NO 1",487,390,0,877,307,247,0,554,554,0,15,347,123,45,0,2,2,0,3,5,0,3,2,0,2,5,554
158,"P.V BANGAVA ROONM NO 2",473,391,0,864,338,262,0,600,46,0,13,203,49,311,2,0,5,1,0,2,1,1,4,1,0,7,600
159,"P,V BHITIRAWAT ROOM NO 1",777,602,0,1379,497,368,0,865,42,0,5,158,246,420,5,0,7,0,2,3,3,1,8,3,1,3,865
160,"P.V BHITIRAWAT ROOM NO 2",642,491,0,1133,344,247,0,591,4,0,21,200,332,13,1,1,0,2,2,7,2,0,2,2,1,5,591
161,"RESHMARAVAT I.K. BHITIRAWAT ROOM NO.1",773,615,0,1388,456,313,0,769,59,0,12,388,308,31,1,1,3,2,2,6,1,2,5,1,3,3,769
162,"RESHMA RAVAT I.K.BHITIRAWAT ROOM NO.2",697,579,0,1276,381,321,0,702,121,0,26,284,132,233,2,1,7,1,3,5,3,1,1,0,1,2,702
163,"RESHMA RAVAT I.K.BHITIRAWATROOM NO.3",386,319,0,705,188,172,0,360,72,0,11,138,76,99,0,3,7,2,2,3,0,2,3,4,5,5,360
164,P.V.KASRVAL,458,370,0,828,278,240,0,518,229,0,22,76,269,98,0,40,1,0,3,3,0,1,1,1,0,3,518
165,P.V.KHRIDAND,889,657,0,1546,438,388,0,826,36,0,21,322,176,244,2,5,13,1,5,5,2,3,12,7,2,6,826
166,P.V.HARDI,833,696,0,1529,481,365,0,846,425,0,23,398,210,147,2,1,3,5,2,7,2,4,17,9,11,5,846
167,P.V.KUAAVALKHURD,220,182,0,402,129,115,0,244,20,0,1,22,218,0,0,0,0,0,0,1,0,0,2,0,0,0,244
168,"P.V. TITANPAR",407,314,0,721,274,223,0,497,6,0,9,195,200,83,0,1,0,1,0,4,0,0,1,3,0,0,497
169,"P.V.TAKUAAPATI ROOM NO.1",590,469,0,1059,325,269,0,594,3,0,22,223,221,75,1,0,2,0,0,32,1,1,3,3,2,8,594
170,"P.V.TEKUAAPATI ROOM NO.2",324,263,0,587,207,135,0,342,342,0,4,61,243,17,0,0,1,0,0,7,1,3,1,0,1,3,342
171,"P.V. GOGIYAKOL",669,552,0,1221,359,327,0,686,96,0,14,430,92,88,1,3,2,1,0,16,10,2,3,6,8,10,686
172,P.V.KUAAVALKALA,539,434,0,973,313,266,0,579,235,0,21,119,234,173,1,0,7,1,1,5,3,0,11,1,0,2,579
173,"P.V. MISHRVALIYA STITH KATAITIKAR ROOM NO.1",399,353,0,752,235,191,0,426,2,0,13,174,204,25,0,0,3,0,1,2,0,0,1,0,0,3,426
174,"P.V. MISRVALIYA STITH KATAITIKAR ROOM NO.2",758,646,0,1404,456,365,0,821,821,0,23,311,206,223,2,2,2,0,0,5,4,5,10,7,10,11,821
175,"P.V. RAMPUR GARTHAULI",584,514,0,1098,312,296,0,608,28,0,21,275,53,221,2,0,7,1,0,1,1,5,1,6,3,11,608
176,P.V.JABRAILAVISHKHOHAR,850,653,0,1503,468,328,0,796,796,0,65,149,376,167,5,0,4,2,1,7,1,2,2,4,6,5,796
177,"P.V. ANANTPUR",495,403,0,898,293,236,0,529,31,0,11,191,199,97,1,3,3,1,4,3,1,0,6,5,3,1,529
178,P.M.V.HARPUR,797,646,0,1443,468,397,0,865,65,0,45,407,182,178,2,1,4,1,4,11,1,2,10,4,8,5,865
179,"P.V. DARGHAT",603,475,0,1078,369,309,0,678,4,0,18,79,152,371,4,2,12,1,3,3,5,3,11,3,5,6,678
180,"P.V. RAGHUNATHPUR ROOM NO.1",286,238,0,524,125,103,0,228,25,0,6,92,89,32,1,0,1,0,0,1,0,0,1,0,2,3,228
