"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - JITENDRA KUMAR SINGH BABLU BHAIYA","2 - NIRMAL KHATRI","3 - MITRASEN YADAV","4 - LALLU SINGH","5 - JAI RAM SINGH JAI","6 - NASREEN BANO","7 - MAKASUD ALI","8 - MAYURI TIWARI","9 - RADHIKA PRASAD","10 - RAM JANAM","11 - SHAILENDRA KUMAR SHUKLA","12 - None of the Above","Total Votes Secured"
70,"ANIL SARASWATI VIDHYA MANDIR, FZD PURVI BHAVAN KA UTTARI MADHYA KACHHA",813,691,1,1505,582,372,0,954,943,0,67,114,76,674,2,2,1,3,1,5,2,7,954
71,"ANIL SARASWATI SHISHU MANDIR, FZD PURVI",706,592,1,1299,365,369,0,734,734,0,20,21,44,628,1,0,0,7,3,1,0,9,734
72,"ANIL SARASWATI SHISHU MANDIR, FZD MADHYA PURVI PASHCHMI",189,213,0,402,108,105,0,213,191,0,9,6,11,179,0,0,0,3,1,1,0,3,213
73,"ANIL SARASWATI SHISHU MANDIR, FZD PASHCHAMI PURVI BHAVAN  KA UTTARI MADHYA KACHHA",468,399,0,867,247,210,0,457,442,0,12,78,63,294,1,1,2,1,2,1,0,2,457
74,"ANIL SARASWATI SHISHU MANDIR, FZD",645,560,0,1205,363,284,0,647,626,0,14,151,122,332,2,2,11,3,2,3,2,3,647
75,"ANIL SARASWATI VIDHYA MANDIR, FZD DAKSHNI BHAVAN KA PURVI KACHHA",495,444,0,939,310,258,0,568,558,0,21,99,99,329,4,0,6,5,1,3,1,0,568
76,"ANIL SARASWATI VIDHYA MANDIR, FZD DAKSHNI BHAVAN KA MADHYA KACHHA",767,733,0,1500,446,370,0,816,775,0,35,179,85,486,1,1,6,12,0,1,5,5,816
77,"ANIL SARASWATI VIDHYA MANDIR, FZD DAKSHNI BHAVAN KA PASHCHAMI KACHHA",715,649,0,1364,466,345,0,811,800,0,79,221,128,357,1,2,5,11,1,0,1,5,811
78,"PS JANAURA, FAIZABAD UTARI",553,513,0,1066,359,331,0,690,670,0,63,97,38,478,1,1,1,4,4,1,0,2,690
79,"PS JANAURA, FAIZABAD DAKSHRI",612,475,0,1087,366,290,0,656,656,0,71,137,245,189,2,0,3,1,1,1,1,5,656
80,"PS JANAURA, FAIZABAD ATIRIKAT KACHHA",468,434,0,902,324,259,0,583,580,0,31,80,114,335,3,0,1,5,4,2,3,5,583
81,"JILA SIKACHHA AUR PRASIKACHHAN SANSTHAN FAIZABAD PURVI",808,750,0,1558,487,401,0,888,850,0,10,439,176,255,1,0,2,1,1,0,1,2,888
82,"JILA SIKACHHA AUR PRASIKACHHAN SANSTHAN FAIZABAD PASHCHAMI",603,530,1,1134,385,287,0,672,45,0,9,295,111,249,0,1,0,6,1,0,0,0,672
83,"ANIMAL HOSPITAL, HAIDERGANJ, FAIZABAD",442,451,0,893,292,242,0,534,519,0,5,131,21,359,1,0,3,10,1,1,0,2,534
84,"RAJKARAN VAIDIK INTER COLLEGE, FAIZABAD",200,210,0,410,148,132,0,280,276,0,2,47,11,213,0,0,2,4,0,0,0,1,280
85,"ADARSH P.S AND UP.S., HAIDERGANJ, FZD PURVI",557,461,0,1018,272,288,0,560,550,0,6,174,82,290,0,2,1,1,3,1,0,0,560
86,"ADARSH P.S AND UP.S., HAIDERGANJ, FZD PURVI MADHYA",618,505,0,1123,382,268,0,650,554,0,9,281,156,190,0,1,9,0,0,1,1,2,650
87,"ADARSH P.S AND UP.S., HAIDERGANJ, FZD PASHCHAMI",409,389,0,798,266,187,0,453,453,0,8,170,50,216,0,1,1,1,4,1,1,0,453
88,"ADARSH P.S AND UP.S., HAIDERGANJ, FZD PASHCHAMI MADHYA",543,460,0,1003,396,209,0,605,598,0,2,227,67,292,1,0,5,8,1,0,2,0,605
89,"FORBES INTER COLLEGE, REEDGANJ, FZD PURVI KACHHA",536,552,0,1088,341,284,0,625,617,0,19,231,32,329,1,0,1,6,3,0,0,3,625
90,"FORBES INTER COLLEGE, REEDGANJ, FZD PASHCHAMI KACHHA",362,310,6,678,208,170,5,383,381,0,32,55,25,261,0,1,0,6,1,1,1,0,383
91,"FORBES INTER COLLEGE, REEDGANJ, FZD DAKSHNI KACHHA",713,678,0,1391,530,414,0,944,941,0,28,70,27,798,3,0,0,5,6,1,1,5,944
92,"FORBES INTER COLLEGE, REEDGANJ, FZD UTTARI KACHHA",512,490,0,1002,363,308,0,671,659,0,11,72,95,479,1,2,0,4,1,1,0,5,671
93,"BAPU BALIKA  INTER COLLEGE, FAIZABAD PRTHAM BHVAN PSHCHAMI",787,700,0,1487,524,436,0,960,902,0,127,63,30,716,1,1,2,2,4,5,0,9,960
94,"BAPU BALIKA  INTER COLLEGE, FAIZABAD II- BHVAN PSHCHAMI",737,686,0,1423,403,351,0,754,754,0,87,45,24,582,3,1,0,2,4,1,1,4,754
95,"BAPU BALIKA  INTER COLLEGE, FAIZABAD II- BHVAN  MADHYA PSHCHAMI",664,581,0,1245,422,358,0,780,770,0,139,227,51,309,1,4,17,6,11,4,1,10,780
96,"BAPU BALIKA  INTER COLLEGE, FAIZABAD II- BHVAN MADHYA PURVI",701,632,0,1333,422,339,0,761,740,0,108,119,27,481,1,2,3,9,1,5,1,4,761
97,"SITAPUR EYE HOSPITAL, FAIZABAD PASHCHAMI",651,520,0,1171,478,331,0,809,808,0,8,265,196,319,1,1,1,5,1,2,3,7,809
98,"SITAPUR EYE HOSPITAL, FAIZABAD PASHCHAMI MADHYA",434,382,0,816,282,212,0,494,490,0,23,123,40,287,0,3,4,8,1,2,0,3,494
99,"SITAPUR EYE HOSPITAL, FAIZABAD PURVI MADHYA",829,742,0,1571,489,417,0,906,895,0,15,261,63,550,1,1,5,3,4,2,0,1,906
100,"SITAPUR EYE HOSPITAL, FAIZABAD PURVI",330,306,4,640,208,180,0,388,388,0,8,59,34,282,2,0,1,0,1,0,0,1,388
101,"SAMUDAYAK KENDRA, VISHNUPURI AMANIGANJ, FZD PASHCHAMI",579,491,0,1070,373,274,0,647,526,0,55,226,88,248,2,1,10,4,0,2,4,7,647
102,"SAMUDAYAK KENDRA, VISHNUPURI AMANIGANJ, FZD DAKSHNI",505,438,0,943,353,286,0,639,559,0,84,142,154,235,2,2,4,4,1,3,2,6,639
103,"PUMP HOUSE OFFICE BUILDING, AMANIGANJ UTTARI",545,519,1,1065,276,259,0,535,530,0,21,54,27,421,2,0,0,6,0,0,0,4,535
104,"PUMP HOUSE OFFICE BUILDING, AMANIGANJ DAKSHNI",484,467,0,951,242,242,0,484,476,0,25,54,15,375,1,0,1,6,1,0,0,6,484
105,"SAHABDIN SITARAM GIRLS INTER COLLEGE, FAIZABAD KACHHA SANKHYA-9",878,744,0,1622,562,409,0,971,971,0,58,152,78,637,1,1,19,12,6,1,1,5,971
106,"SAHABDIN SITARAM GIRLS INTER COLLEGE, FAIZABAD KACHHA SANKHYA-10",652,585,0,1237,387,335,0,722,708,0,74,82,100,438,1,2,4,4,3,2,3,9,722
107,"SAHABDIN SITARAM GIRLS INTER COLLEGE, FAIZABAD KACHHA SANKHYA-11",406,374,0,780,239,224,0,463,453,0,24,27,16,385,3,0,1,5,0,0,0,2,463
108,"SAHABDIN SITARAM GIRLS INTER COLLEGE, FAIZABAD UTTARI",466,357,0,823,286,232,0,518,507,0,37,65,35,362,1,0,2,7,2,2,1,4,518
109,"SAHABDIN SITARAM GIRLS INTER COLLEGE, FAIZABAD KACHHA-12",565,474,0,1039,313,262,0,575,500,0,35,154,37,319,0,1,20,5,2,0,0,2,575
110,"SHAYM SUNDAR SARASWATI INTER COLLEGE, FZD UTTARI PASHCHAMI",470,425,0,895,279,214,0,493,479,0,3,148,126,204,0,1,0,4,3,0,1,3,493
111,"SHAYM SUNDAR SARASWATI INTER COLLEGE, FZD UTTARI PASHCHAMI MADHYA",602,509,0,1111,332,236,0,568,528,0,14,189,170,181,2,1,1,5,2,0,1,2,568
112,"SHAYM SUNDAR SARASWATI INTER COLLEGE, FZD CAMPOUS PURVI",598,543,0,1141,317,243,0,560,495,0,11,108,124,302,1,0,3,11,0,0,0,0,560
113,"SHAYM SUNDAR SARASWATI INTER COLLEGE, FZD MADHYA BHVAN UTTARI",735,690,0,1425,400,344,0,744,739,0,40,238,243,213,0,0,3,0,1,0,2,4,744
114,"SHAYM SUNDAR SARASWATI INTER COLLEGE, FZD MADHYA BHVAN MADHYA",417,393,1,811,225,168,1,394,394,0,32,123,105,115,1,0,12,3,1,1,0,1,394
115,"PS SAHABGANJ-I PURVI",529,487,0,1016,318,267,0,585,580,0,17,112,107,313,2,1,21,0,4,0,0,8,585
116,"PS SAHABGANJ-I PASHCHAMI",601,527,0,1128,369,329,0,698,519,0,41,45,119,471,2,0,3,0,9,2,1,5,698
117,"PS KHURDABAD PURVI",554,461,0,1015,379,276,0,655,628,0,17,11,210,400,3,1,1,0,3,3,1,5,655
118,"PS KHURDABAD PSHCHAMI",503,474,0,977,320,275,0,595,594,0,16,73,42,455,1,0,3,1,1,0,0,3,595
119,"SARDAR GANPAT RAI S.V.M., RANOPALI, FZD UTTARI PURVI BHAVAN KA UTTARI KACHHA",529,427,0,956,339,292,0,631,628,0,79,29,34,472,5,0,1,3,2,1,2,3,631
120,"SARDAR GANPAT RAI S.V.M., RANOPALI, FZD UTTARI PURVI BHAVAN KA UTTARI MADHYA KACHHA",538,455,0,993,339,298,0,637,637,0,78,38,101,378,4,5,6,4,8,4,4,7,637
121,"SARDAR GANPAT RAI S.V.M.,RANOPALI FZD UTTARI PURVI BHAVAN KA DAKSHNI MADHYA KACHHA",750,650,0,1400,466,337,0,803,803,0,219,24,58,474,6,0,4,5,2,8,0,3,803
122,"SARDAR GANPAT RAI S.V.M., RANOPALI, FZD UTTARI PURVI BHAVAN KA DAKSHNI KACHHA",772,680,0,1452,480,374,0,854,843,0,137,27,70,600,1,1,2,6,3,2,1,4,854
123,"PS HAIBATPUR UTTARI",492,402,0,894,285,315,0,600,585,0,32,184,60,292,3,1,19,4,1,2,0,2,600
124,"SRI VAIDIKADARSH SNATKOTTAR SANSKRIT MAHAVIDAYALAY SARYUBAGH, AYODHYA, FZD KACHHA-7",339,292,0,631,254,200,0,454,294,0,17,35,94,293,1,0,2,2,4,2,0,4,454
125,"U.P.S. KATRA-2, AYODHYA NAGAR KSHETRA, FAIZABAD KACHHA SANKHYA-2 UTTARI",535,228,0,763,256,134,0,390,350,0,11,24,17,330,1,0,0,4,2,0,1,0,390
126,"U.P.S. KATRA-2, AYODHYA NAGAR KSHETRA, FAIZABAD KACHHA SANKHYA-3 MADHYA",381,258,0,639,234,154,0,388,348,0,11,33,22,318,1,0,0,1,0,1,0,1,388
127,"U.P.S. KATRA-2, AYODHYA NAGAR KSHETRA, FAIZABAD KACHHA SANKHYA-4 MADHYA",814,381,1,1196,397,214,0,611,601,0,9,38,31,523,1,2,0,1,2,1,2,1,611
128,"U.P.S. KATRA-2, AYODHYA NAGAR KSHETRA, FAIZABAD KACHHA SANKHYA-5 MADHYA",636,357,0,993,324,203,0,527,527,0,43,71,53,344,1,2,4,3,1,0,3,2,527
129,"PS KATRA-2, AYODHYA NAGAR KSHETRA, FAIZABAD KACHHA SANKHYA-1 PASHCHAMI",411,247,0,658,242,138,0,380,380,0,11,42,18,292,0,1,7,1,4,2,1,1,380
130,"PS KATRA-2, AYODHYA NAGAR KSHETRA, FAIZABAD KACHHA SANKHYA-2 PURVI",502,441,0,943,294,241,0,535,500,0,45,73,74,314,2,0,14,0,7,2,2,2,535
131,"PS RAMKOT-1, AYODHYA, FAIZABAD KACHHA SANKHYA-1 UTTARI",540,481,0,1021,394,301,0,695,690,0,23,122,80,440,3,1,12,5,2,3,2,2,695
132,"PS RAMKOT-1, AYODHYA, FAIZABAD KACHHA SANKHYA-5 DAKSHNI",852,707,0,1559,426,510,0,936,750,0,70,147,62,589,4,1,45,7,4,3,1,3,936
133,"KANYA UP.S., RAIGANJ, AYODHYA (RAMKOT), FZD  KACHHA SANKHYA-1 UTTARI",526,418,0,944,344,237,0,581,500,0,46,16,75,429,3,1,0,2,3,1,1,4,581
134,"KANYA UP.S., RAIGANJ, AYODHYA (RAMKOT), FZD  KACHHA SANKHYA-2 MADHAYA",397,321,0,718,297,206,0,503,350,0,4,58,27,396,3,0,4,2,0,2,2,5,503
135,"KANYA UP.S., RAIGANJ, AYODHYA (RAMKOT), FZD  KACHHA SANKHYA-3 MADHYA",517,406,0,923,390,252,0,642,612,0,29,47,81,444,6,1,9,3,8,2,4,8,642
136,"KANYA UP.S., RAIGANJ, AYODHYA (RAMKOT), FZD  KACHHA SANKHYA-4  DAKSHRI",858,702,0,1560,512,388,0,900,789,0,20,58,105,685,6,1,5,3,3,4,4,6,900
137,"LAKSHMAN B.V.M.I.C. VIDHYAKUND, AYODHYA, FZD  KACHHA SANKHYA-3 PURVI",641,441,0,1082,453,254,0,707,707,0,98,47,81,449,4,0,4,4,5,3,4,8,707
138,"LAKSHMAN B.V.M.I.C. VIDHYAKUND, AYODHYA, FZD KACHHA SANKHYA-2 PASHCHAMI",482,404,0,886,325,255,0,580,565,0,42,55,37,432,1,1,1,3,0,3,1,4,580
139,"LAKSHMAN B.V.M.I.C. VIDHYAKUND, AYODHYA, FZD KACHHA SANKHYA-1 PURVI",405,261,0,666,222,155,0,377,339,0,26,13,15,301,0,0,0,5,2,2,4,9,377
140,"LAKSHMAN B.V.M.I.C. VIDHYAKUND, AYODHYA, FZD KACHHA SANKHYA-1 DAKSHRI",541,391,0,932,309,209,0,518,518,0,6,47,32,422,4,0,0,2,2,0,0,3,518
141,"HANUMAT SANSKRIT SNATKOTTAR MAHAVIDHYALAY, HANUMANGADI, NIRWANI AKHARA, AYODHYA, FZD KACHHA SANKHYA-1 DAKSHNI",454,342,0,796,271,206,0,477,452,0,4,28,10,415,0,0,11,6,1,0,0,2,477
142,"HANUMAT SANSKRIT SNATKOTTAR MAHAVIDHYALAY, HANUMANGADI, NIRWANI AKHARA, AYODHYA, FZD KACHHA SANKHYA-2 DAKSHNI",606,483,0,1089,338,293,0,631,620,0,93,34,18,443,0,1,30,3,5,1,0,3,631
143,"HANUMAT SANSKRIT SNATKOTTAR MAHAVIDHYALAY, HANUMANGADI, NIRWANI AKHARA, AYODHYA, FZD KACHHA SANKHYA-3 DAKSHNI",648,371,0,1019,352,227,0,579,570,0,13,35,65,459,1,1,0,2,2,0,0,1,579
144,"HANUMAT SANSKRIT SNATKOTTAR MAHAVIDHYALAY, HANUMANGADI, NIRWANI AKHARA, AYODHYA, FZD KACHHA SANKHYA-6 UTTARI",499,317,0,816,257,185,0,442,402,0,83,15,25,294,3,2,0,2,7,4,2,5,442
145,"PS RAMKOT-II NAGAR KSHETRA, AYODHYA, FAIZABAD",818,739,0,1557,304,231,0,535,525,0,274,26,20,197,0,1,4,0,4,2,2,5,535
146,"HANUMAT SANSKRIT SNATKOTTAR MAHAVIDHYALAY, HANUMANGADI, NIRWANI AKHARA, AYODHYA, FZD KACHHA SANKHYA-7 UTTARI",603,482,0,1085,376,250,0,626,548,0,8,48,25,525,2,0,3,7,1,0,1,6,626
147,"HANUMAT SANSKRIT SNATKOTTAR MAHAVIDHYALAY, HANUMANGADI, NIRWANI AKHARA, AYODHYA, FZD KACHHA SANKHYA-8 UTTARI",511,421,0,932,396,253,0,649,649,0,14,39,21,564,2,0,1,1,3,0,0,4,649
148,"MAHARAJA INTER COLLEGE,AYODHYA, FAIZABAD KASH SANKHYA-2 DAKSHNI",587,243,0,830,244,124,0,368,340,0,4,36,13,298,0,0,0,2,5,1,1,8,368
