"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ASIF NIZAMUDDIN SIDDIQUE","2 - PRAMOD KUMAR SINGH PATEL","3 - RAJKUMARI RATNA SINGH","4 - ASHOK SHUKLA SENANI","5 - NIRMALA DEVI","6 - FOOLCHANDRA","7 - BAL KRISHNA","8 - RAJENDRA SHARMA","9 - RAM SEWAK","10 - SHESHNATH","11 - SANTOSH KUMAR SINGH","12 - KUWAR HARIVANSH SINGH","13 - AJMAL KHAN","14 - KIRAN MISHRA","15 - HARIVANSH","16 - None of the Above","Total Votes Secured"
21,"PS TALASIRISTABAD",425,412,0,837,199,253,0,452,200,0,75,86,46,8,2,1,2,2,2,0,5,212,2,1,3,5,452
22,"PS PIROOPUR",630,506,0,1136,265,290,0,555,555,0,49,76,37,5,2,5,1,4,7,2,12,346,1,2,0,6,555
23,"PS MAKAI PUR R.N.-1",619,508,0,1127,265,318,0,583,374,0,84,129,70,3,3,0,2,0,2,2,8,271,4,2,1,2,583
24,"PS MAKAI PUR R.N.-2",346,285,0,631,144,136,0,280,14,0,40,40,28,2,1,0,1,0,1,0,2,162,1,0,0,2,280
25,"PS POORE BAIRISHAL",280,264,0,544,146,158,0,304,253,0,30,56,45,6,0,2,0,0,0,0,4,150,3,2,4,2,304
26,"PS DADUPUR RANSINGH R. N.1",622,542,0,1164,281,301,0,582,582,0,57,30,58,5,2,2,1,0,1,1,10,401,4,2,3,5,582
27,"PS DADUPUR RANSINGH R. N.2",313,262,1,576,136,162,0,298,298,0,176,16,15,2,0,0,1,0,1,1,3,74,4,1,2,2,298
28,"PS TRILOK PUR VISAI",306,285,0,591,136,167,0,303,266,0,16,49,53,2,2,0,1,0,0,0,2,172,2,1,1,2,303
29,"PS PURE RAMDEV",310,256,0,566,152,177,0,329,323,0,127,24,43,1,1,0,0,0,2,0,2,118,1,1,6,3,329
30,"PS GAURA DAND R.N.1",432,408,0,840,251,204,0,455,451,0,64,80,108,11,1,4,2,0,0,1,3,174,0,1,3,3,455
31,"PS GAURA DAND R.N.2",404,360,0,764,168,207,0,375,340,0,50,19,93,5,2,1,4,1,0,5,1,186,2,2,2,2,375
32,"PS. RAY CHANDRA PUR",521,434,0,955,264,270,0,534,534,0,101,50,55,5,3,3,1,2,1,2,11,284,2,1,9,4,534
33,"PS JAGDEESH PUR",729,661,0,1390,337,470,0,807,725,0,51,346,51,6,0,1,1,3,6,5,8,312,2,4,8,3,807
34,"PS. SARAI UGAI R.N. 1",300,298,0,598,176,148,0,324,131,0,26,31,11,2,0,1,2,0,0,0,1,250,0,0,0,0,324
35,"PS. SARAY UGAI R.N. 2",387,371,0,758,158,225,0,383,382,0,32,147,6,1,1,0,0,1,0,5,1,176,3,0,4,6,383
36,"PS PASHCHIM GAWN",750,647,0,1397,358,370,0,728,400,0,167,58,71,10,8,4,1,2,2,6,11,382,1,3,1,1,728
37,"PS. POORAB GAWN R.N. 1",643,535,0,1178,328,320,0,648,648,0,225,158,87,8,2,1,2,1,3,2,3,138,1,2,9,6,648
38,"PS. POORAB GAWN R.N. 2",641,523,0,1164,341,291,0,632,632,0,185,77,112,2,0,2,0,1,0,2,11,235,0,3,1,1,632
39,"PS. BALAPUR",358,346,0,704,191,213,0,404,403,0,66,20,109,4,0,1,1,2,0,0,5,189,2,3,0,2,404
40,"PS.RAJAPUR RAINIYA",649,576,0,1225,305,342,0,647,647,0,59,161,28,11,3,2,3,3,12,3,10,332,1,8,5,6,647
41,PS.BISAHULA,436,410,0,846,166,220,0,386,386,0,40,10,22,6,0,1,6,1,1,1,6,285,3,1,2,1,386
42,"PS. BANDAKHUTAR",300,282,0,582,143,171,0,314,272,0,32,17,25,2,0,0,2,0,0,0,0,230,3,2,1,0,314
43,"HPS CHHATARPUR R.N.1",463,348,0,811,179,151,0,330,28,0,124,33,18,5,3,0,5,1,1,1,5,126,1,0,6,1,330
44,"HPS. CHHATARPUR R.N.2",448,383,0,831,197,185,0,382,382,0,74,41,40,6,0,0,0,0,0,1,2,209,0,1,6,2,382
45,"HPS. CHHATARPUR R.N.3",657,612,0,1269,238,243,0,481,465,0,128,51,43,9,4,2,1,0,1,0,9,225,2,1,1,4,481
46,"HPS. CHHATARPUR R.N.4",283,260,0,543,162,120,0,282,282,0,20,39,65,0,1,0,0,0,0,0,1,152,1,0,3,0,282
47,"PS. CHHATAR PUR",853,721,0,1574,343,327,0,670,500,0,67,50,71,4,2,2,3,1,4,2,2,445,4,6,2,5,670
48,"PS. DHARAULI R.N. 1",438,376,0,814,200,207,0,407,312,0,118,100,21,9,0,2,0,0,0,1,1,152,1,0,1,1,407
49,"PS.DHARAULI R.N.2",460,418,0,878,248,228,0,476,440,0,29,73,28,11,1,2,2,1,2,1,3,315,0,2,3,3,476
50,"PS. DHARAULI R.N. 3",277,250,0,527,187,87,0,274,274,0,50,71,28,4,1,0,3,1,1,1,3,104,0,1,3,3,274
51,"PS. PEETHIPATTI",248,235,0,483,126,149,0,275,275,0,100,17,73,8,0,0,0,1,0,0,0,71,1,1,1,2,275
52,"PS. BOJHAWA",869,742,0,1611,304,481,0,785,750,0,200,183,101,7,4,1,2,2,3,7,6,258,3,2,4,2,785
53,"PS. NARI R.N. 1",689,535,0,1224,278,299,0,577,577,0,198,87,55,6,6,1,0,3,0,1,4,204,1,4,2,5,577
54,"PS. NARI R.N. 2",608,483,0,1091,250,295,0,545,526,0,150,40,52,2,2,2,1,0,1,5,6,272,3,2,3,4,545
55,"PS. MAWAIYA KALA",560,470,0,1030,270,249,0,519,500,0,157,120,38,5,0,0,0,0,0,0,8,177,2,5,2,5,519
56,"PS.KODRAMADUPUR R.N.1",929,795,0,1724,262,269,0,531,300,0,105,84,28,1,0,1,4,1,1,1,3,290,2,4,3,3,531
57,"PS.KODRAMADUPUR R.N.2",658,606,0,1264,288,278,0,566,566,0,57,135,50,2,0,0,2,2,1,1,5,302,1,0,5,3,566
58,"HPS. BARISTA",585,550,0,1135,298,314,0,612,600,0,347,63,36,1,0,1,0,0,1,2,1,155,0,0,1,4,612
59,PS.BASOOPUR,563,522,0,1085,253,282,0,535,535,0,104,53,29,3,4,0,0,1,0,2,4,324,1,1,9,0,535
60,PS.TEJGARH,758,701,0,1459,390,408,0,798,798,0,186,67,76,8,5,1,6,1,2,5,7,421,6,2,3,2,798
61,"G.P.S MISIRMAU",463,414,0,877,236,259,0,495,488,0,257,66,41,2,0,1,0,0,0,0,3,110,0,2,2,11,495
62,"PS. BHAGIPUR",791,680,1,1472,368,352,0,720,720,0,272,35,74,4,1,1,2,1,1,1,7,308,2,3,5,3,720
63,"PS. DHEKAHI",552,446,0,998,251,232,0,483,483,0,56,64,67,2,0,0,1,2,2,2,4,277,1,1,3,1,483
64,"PS.BAHUCHARA R.N.1",590,572,0,1162,337,261,0,598,598,0,9,58,22,3,2,0,0,0,0,0,3,494,1,0,3,3,598
65,"PS.BAHUCHARA R.N.2`",630,503,0,1133,341,305,0,646,646,0,31,75,9,1,1,0,0,1,0,1,3,514,3,1,4,2,646
66,"PS.SANGRAMPUR KILA",616,579,0,1195,277,304,0,581,581,0,117,115,40,3,3,2,3,5,5,2,6,272,0,2,3,3,581
67,"PS. NEWADA KALA",860,773,0,1633,422,393,0,815,811,0,125,113,71,11,2,0,3,1,4,2,4,465,3,5,3,3,815
68,"PS. SADHOPUR",704,642,0,1346,375,394,0,769,769,0,239,59,27,8,0,0,0,4,2,1,7,406,1,3,4,8,769
69,"PS. ISHIPUR",622,513,0,1135,280,259,0,539,539,0,55,57,85,7,3,1,6,1,11,3,3,298,3,1,4,1,539
70,"HPS. ISHIPUR",647,558,1,1206,247,295,0,542,542,0,95,130,127,8,3,6,1,2,4,4,5,129,2,3,6,17,542
71,P.B.NARIYA,526,473,0,999,270,253,0,523,490,0,108,81,35,13,1,2,3,0,2,2,9,254,1,3,2,7,523
72,"PS. MAJHILAHA R.N.1",447,389,0,836,221,204,0,425,425,0,49,40,108,10,2,3,2,2,0,1,4,194,3,1,4,2,425
73,"PS.MAJHILAHA R.N.2",502,377,0,879,219,211,0,430,419,0,46,34,119,10,7,3,2,5,0,2,6,180,3,4,2,7,430
74,"PS. VIKRAMPUR",741,660,0,1401,328,402,0,730,730,0,148,147,66,13,4,0,5,1,3,1,6,307,3,2,7,17,730
75,"PS.VIKRAMPUR R.N. 2",798,697,0,1495,444,383,0,827,827,0,82,94,58,6,1,3,1,0,3,1,6,558,2,2,2,8,827
76,"G.H.P.S. BHUWALPUR DOMIPUR R.N.1",735,635,0,1370,402,331,0,733,733,0,74,82,83,11,5,1,2,3,2,1,5,447,4,7,4,2,733
77,"G.H.P.S. BHUWALPUR DOMIPUR R.N.2",543,452,0,995,286,279,0,565,565,0,132,32,35,9,1,0,1,0,2,2,6,335,1,1,1,7,565
78,P.B.PADWASI,333,305,0,638,192,181,0,373,371,0,39,21,57,5,0,2,3,0,0,1,1,241,1,2,0,0,373
79,"PS. REDVEER",498,440,0,938,212,242,0,454,454,0,83,49,53,9,2,1,1,0,2,3,3,236,3,0,3,6,454
80,"PS.SAKRALI R.N.1",751,587,0,1338,335,286,0,621,608,0,109,76,127,14,4,1,2,2,4,2,3,269,1,1,5,1,621
81,"PS.SAKRAULI R.N.2",230,193,0,423,123,119,0,242,242,0,88,56,24,2,4,0,0,1,1,0,1,57,0,2,4,2,242
82,"PS.KATKAWALI R.N.1",707,564,0,1271,320,270,0,590,590,0,72,73,90,6,4,0,3,3,9,2,8,311,3,2,2,2,590
83,"PS.KATKAWALI R.N.2",686,546,0,1232,324,300,0,624,624,0,163,82,47,14,1,2,3,2,0,2,5,293,2,1,6,1,624
84,"PS. BADHANI",720,643,0,1363,386,370,0,756,456,0,119,100,56,7,2,1,7,0,1,1,5,436,6,3,7,5,756
85,P.B.MADUPUR,416,360,0,776,211,198,0,409,387,0,149,18,52,4,1,1,0,1,3,0,1,176,2,1,0,0,409
86,"PS. PURELAL",731,621,0,1352,350,266,0,616,616,0,140,54,114,7,3,2,2,0,2,1,5,261,4,2,6,13,616
87,"PS. GOPAL PUR",381,353,0,734,207,211,0,418,418,0,58,228,33,5,1,0,0,1,1,2,0,80,1,2,2,4,418
88,"PS. PURE MUSTAFA",682,593,0,1275,344,309,0,653,653,0,240,73,38,4,1,3,2,3,1,1,7,263,5,1,2,9,653
89,"P.B.PRABHAITA MAU",400,341,0,741,180,182,0,362,340,0,19,13,11,5,1,1,1,1,2,0,5,299,1,0,1,2,362
90,"PS. BANVEER KACHH R.N.1",556,453,0,1009,240,206,0,446,446,0,85,60,73,5,2,1,1,1,0,1,0,203,2,2,3,7,446
91,"PS.BANVEER KACHH R.N.2",504,444,0,948,241,215,0,456,357,0,90,108,17,3,2,1,2,0,1,1,4,215,3,1,3,5,456
92,"PS. PURE RAYJU",595,521,0,1116,310,319,0,629,629,0,65,25,24,3,3,6,3,2,2,1,7,482,1,2,0,3,629
93,"PS. PURE KHUSHAI R.N.1",608,491,0,1099,274,259,0,533,533,0,40,30,57,6,3,2,1,0,1,1,5,379,2,1,0,5,533
94,"PS. PURE KHUSHAI R.N.2",607,481,0,1088,356,264,0,620,305,0,66,40,85,13,2,0,2,1,2,0,6,388,4,3,6,2,620
95,"PS. DHERAHANA",614,536,2,1152,242,341,0,583,583,0,78,58,13,24,2,0,6,0,1,1,12,372,4,7,1,4,583
96,"PS. RAYPUR BHOJPUR",388,319,0,707,240,223,0,463,134,0,170,8,6,2,1,7,16,0,2,1,3,238,1,0,1,7,463
97,"PS. PURAILI",305,271,0,576,163,167,0,330,321,0,156,9,9,0,1,1,0,0,0,0,1,133,4,8,3,5,330
98,"PS.BARAHUA BHOJPUR",788,696,0,1484,361,347,0,708,605,0,120,91,30,12,5,2,2,4,1,4,13,409,2,3,2,8,708
99,"PS. UDIDEEH",576,460,0,1036,298,280,0,578,578,0,109,88,28,7,4,5,5,2,7,3,13,291,2,3,6,5,578
100,"PS. BELKHARI",775,703,0,1478,317,399,0,716,716,0,322,45,100,10,0,0,2,1,2,1,2,218,4,1,3,5,716
101,"PS.SARAYSUJAN R. N.1",529,446,0,975,208,253,0,461,458,0,153,26,11,1,0,1,0,0,1,1,10,240,3,1,4,9,461
102,"PS.SARAYSUJAN R. N.2",191,184,0,375,92,108,0,200,200,0,41,33,13,4,2,0,2,1,2,0,0,97,0,2,2,1,200
103,"PS. KHURDAHA",220,184,0,404,122,136,0,258,157,0,29,97,5,2,1,0,0,0,0,0,0,114,0,0,9,1,258
104,"PS. GAJIPUR",591,519,0,1110,231,296,0,527,500,0,109,43,34,2,1,1,3,1,1,3,5,306,2,3,6,7,527
105,"PS. BALAPUR",641,495,0,1136,343,281,0,624,600,0,151,63,15,1,0,0,1,0,2,0,2,379,2,7,1,0,624
106,"PS. TIKARI",750,606,0,1356,412,368,0,780,425,0,204,127,47,12,2,0,0,0,4,3,9,358,2,2,4,6,780
107,"PS.USARAPU R",494,441,0,935,287,293,0,580,580,0,140,62,19,2,1,0,1,0,1,0,9,336,3,1,1,4,580
108,"PS. KAILAKALA",487,397,1,885,234,220,0,454,200,0,88,154,26,7,4,2,1,0,2,3,2,155,0,0,5,5,454
109,"PS. SARAY MURAR SINGH",654,605,0,1259,408,385,0,793,30,0,66,76,51,9,2,0,2,2,0,2,3,575,1,0,3,1,793
110,"PS. PURESWAMIDAS",474,430,0,904,200,217,0,417,417,0,76,47,48,8,1,1,0,1,2,0,6,210,8,6,1,2,417
111,"PS. SEEDHAPUR",327,312,0,639,160,175,0,335,335,0,115,40,10,1,1,1,1,3,1,0,5,154,0,0,3,0,335
112,"PS.HARCHET PUR R.N.1",686,663,0,1349,400,370,0,770,770,0,184,93,19,8,4,0,2,0,3,3,5,437,5,1,3,3,770
113,"PS.HARCHET PUR R.N.2",163,134,0,297,89,82,0,171,171,0,16,19,8,1,2,0,0,0,0,0,1,119,3,1,1,0,171
114,"PS. RAMPUR MUSTARKA",537,482,0,1019,259,253,0,512,350,0,63,76,25,7,2,2,1,2,4,2,5,305,2,2,6,8,512
115,"PS.SARAY PRANMATI",347,335,0,682,201,193,0,394,35,0,34,38,61,3,0,0,3,0,0,1,1,243,2,2,2,4,394
116,"PS. MOHIUDDEN PUR",418,417,0,835,230,221,0,451,451,0,38,109,20,0,1,0,0,1,1,0,5,271,1,0,2,2,451
117,"PS. CHANDPUR",605,565,0,1170,334,290,0,624,624,0,179,98,99,12,0,1,0,0,7,1,7,200,1,5,6,8,624
118,"PS. RAJGARH R.N.1",687,599,0,1286,321,307,0,628,525,0,148,61,12,8,7,1,0,3,1,2,7,368,4,0,3,3,628
119,"PS. RAJGARH R.N.2",392,364,0,756,180,177,0,357,357,0,38,50,26,9,1,1,2,0,3,3,7,211,3,0,3,0,357
120,"PS. PURE GOSAI",210,192,0,402,103,122,0,225,225,0,25,39,6,0,1,0,0,0,0,0,2,149,0,1,0,2,225
121,"PS. DANPUR",207,179,0,386,153,102,0,255,255,0,38,16,65,0,0,1,0,0,0,0,1,131,1,0,1,1,255
122,"PS. GHATAMPUR",500,466,0,966,275,252,0,527,527,0,110,78,38,0,0,0,1,0,1,0,2,290,0,1,3,3,527
123,"P.B. RAJGARH",861,766,0,1627,411,356,0,767,767,0,187,43,36,2,3,2,2,5,2,3,9,455,3,5,7,3,767
124,"PS. SHREENATH PUR",386,338,0,724,207,200,0,407,154,0,150,34,18,3,2,2,0,0,2,0,5,189,1,0,1,0,407
125,"PS. KOPA",469,421,0,890,368,300,0,668,666,0,158,34,29,4,3,0,2,1,0,0,9,423,0,1,2,2,668
126,"PS. SAHERUA R.N. 1",532,460,0,992,333,313,0,646,646,0,74,112,20,2,2,2,4,0,1,3,9,408,2,0,4,3,646
127,"PS.SAHERUA R.N.2",598,531,0,1129,324,292,0,616,615,0,233,37,29,3,2,3,2,0,1,1,8,288,1,1,2,5,616
128,"P.B.PUREKHARAG RAY R.N.1",381,313,0,694,160,205,0,365,365,0,12,13,11,0,1,1,1,0,0,0,0,318,2,0,4,2,365
129,"P.B. PURE KHARAG RAY R.N. 2",462,358,0,820,200,186,0,386,386,0,44,69,18,5,2,1,0,1,0,0,3,235,3,1,2,2,386
130,"PS. AKARIUR",524,399,0,923,245,255,0,500,150,0,94,53,21,6,2,2,1,3,2,0,7,288,2,5,5,9,500
131,"PS. PURE NIYADAR",168,166,0,334,117,106,0,223,205,0,24,16,26,1,1,0,0,0,0,0,3,152,0,0,0,0,223
132,"PS. RAGOLI KANESTA",525,508,0,1033,248,304,0,552,552,0,355,30,63,7,0,4,1,0,10,1,2,63,3,3,6,4,552
133,"P.M.S. VISHWANATHGANJ || R.N.1",615,565,0,1180,381,340,0,721,401,0,107,20,28,4,2,4,4,0,1,0,6,539,1,2,3,0,721
134,"P.M.S. VISHWANATHGANJ || R.N.2",593,536,0,1129,308,289,0,597,594,0,306,43,30,2,1,0,0,1,10,0,4,182,4,0,4,10,597
135,"PS. BUAAPUR R.N.1",749,598,0,1347,391,354,0,745,743,0,133,51,16,7,1,0,2,0,3,2,6,513,0,3,1,7,745
136,"PS.BUAAPUR R.N.2",734,617,0,1351,290,289,0,579,579,0,259,25,12,1,1,1,3,2,0,1,1,266,5,0,0,2,579
137,PS.ANTPUR,551,446,0,997,264,275,0,539,539,0,98,84,16,2,0,0,2,1,0,2,8,317,3,0,2,4,539
138,"PS. PPANIYARI",774,724,0,1498,366,352,0,718,718,0,104,99,59,9,0,0,3,1,4,0,6,429,1,1,1,1,718
139,"P.B. SARAY GOVIND RAY",690,566,0,1256,372,353,0,725,725,0,350,94,20,2,2,0,2,1,0,2,4,234,0,1,6,7,725
140,"P.B. SARAY GOVIND RAY",195,183,0,378,112,84,0,196,196,0,47,1,5,0,1,0,0,1,0,1,0,137,0,2,0,1,196
141,"PS. BHAWALPUR",402,344,0,746,246,238,0,484,484,0,119,21,44,5,1,0,0,0,0,0,2,283,2,2,1,4,484
142,"PS. SHEKHANPUR R.N.1",337,317,0,654,144,176,0,320,320,0,142,84,32,5,0,0,0,1,0,0,1,46,0,2,6,1,320
143,"PS.SHEKHANPUR R.N.2",676,547,0,1223,328,314,0,642,642,0,172,73,29,3,1,0,1,0,3,4,6,332,3,3,5,7,642
144,"PS. NARHAR PATTI",280,240,0,520,157,161,0,318,318,0,110,27,14,3,0,2,0,0,0,0,5,153,1,1,1,1,318
145,"PS. SAHIJAN PUR",643,555,0,1198,311,338,0,649,649,0,159,37,28,13,2,2,2,1,0,1,7,390,3,0,3,1,649
146,"PS. HARIHAR PUR",519,479,0,998,268,265,0,533,533,0,280,25,67,2,1,0,0,0,1,1,4,141,0,0,1,10,533
147,"PS. MADAI PUR",558,510,0,1068,320,278,0,598,400,0,333,36,27,2,3,0,0,5,1,1,4,177,0,0,4,5,598
148,"PS. AKODHIYA",673,565,0,1238,365,335,0,700,700,0,146,44,8,5,0,1,5,2,1,4,4,470,1,2,2,5,700
149,"PS. KATATA",324,316,0,640,154,176,0,330,223,0,95,21,19,5,1,0,1,1,2,0,5,174,2,2,2,0,330
150,PS.DAANDI,314,297,0,611,163,171,0,334,300,0,45,77,15,1,0,0,0,1,2,0,5,179,1,0,1,7,334
151,"PS. HARAKHPUR R.N.1",468,425,0,893,211,205,0,416,90,0,44,40,55,2,2,0,0,1,2,0,4,263,0,1,0,2,416
152,"PS.HARAKHPUR R.N. 2",476,415,0,891,245,243,0,488,468,0,129,38,25,1,0,0,2,0,0,0,7,279,2,0,3,2,488
153,"PS. DHANIPUR R.N.1",587,460,0,1047,310,268,0,578,578,0,176,87,4,4,2,0,0,0,0,0,2,297,1,2,2,1,578
154,"PS. DHANIPUR R.N.2",328,261,0,589,187,130,0,317,317,0,124,89,8,1,1,1,1,0,2,1,1,86,0,0,2,0,317
155,"PS. BUJAHA",343,315,0,658,193,207,0,400,400,0,149,108,20,3,1,0,0,0,1,1,1,113,2,0,1,0,400
156,"PS.MANDHATA R.N.1",811,701,0,1512,407,422,0,829,829,0,296,63,21,7,4,0,2,2,4,2,7,409,3,0,3,6,829
157,"PS.MANDHATA R.N.2",699,595,0,1294,391,332,0,723,710,0,237,41,52,2,1,0,4,1,1,1,12,357,1,2,5,6,723
158,"PS. VAISHPUR",637,537,0,1174,322,330,0,652,652,0,281,169,21,5,1,0,3,0,1,3,4,159,0,0,4,1,652
159,"PS. GOVINDPUR LILAULI",515,425,0,940,266,249,0,515,515,0,125,28,31,2,2,1,1,0,1,3,9,303,3,0,4,2,515
160,"PS. GOVINDPUR LILAULI R.N. 2",399,343,0,742,151,188,0,339,132,0,162,14,10,1,0,0,1,0,0,0,3,142,1,1,4,0,339
161,"PS. LAKHAPUR",660,559,1,1220,321,316,0,637,301,0,154,93,52,11,0,0,1,0,4,0,5,302,1,1,5,8,637
162,"PS. BAHAPUR",369,379,0,748,165,216,0,381,381,0,264,40,35,1,3,1,0,0,0,3,2,30,0,0,2,0,381
163,"PS. SUBARNI",328,282,0,610,167,195,0,362,145,0,248,32,3,0,4,3,1,0,1,2,8,52,0,0,5,3,362
164,S.S.BASUPUR,365,330,0,695,200,198,0,398,398,0,192,33,35,3,1,0,0,0,1,0,6,119,1,0,3,4,398
165,PS.LAKHPUR,444,382,0,826,191,192,0,383,383,0,132,20,65,4,1,0,1,2,0,1,4,150,0,1,1,1,383
166,"INTER COLEGE MANDHATA",368,330,0,698,227,160,0,387,305,0,165,22,48,2,0,0,0,0,3,0,4,133,1,0,2,7,387
167,"H.PS. HAINSI PARJI R.N.1",722,607,0,1329,329,352,0,681,681,0,251,40,36,3,3,1,2,1,5,3,9,309,4,4,2,8,681
168,"HPS. HAINSI PARJI R.N.2",606,528,0,1134,239,230,0,469,333,0,193,39,20,0,3,0,1,0,1,1,4,202,0,2,0,3,469
169,"PS. PARASRAMPUR",336,284,0,620,170,165,0,335,331,0,166,36,8,1,1,0,0,0,2,2,0,115,0,0,0,4,335
170,"PS. SKOBHIPUR",611,596,0,1207,256,308,0,564,478,0,88,139,24,4,2,1,2,1,0,2,6,281,3,2,3,6,564
171,"PS. JAMUA R.N. 1`",275,254,0,529,144,156,0,300,300,0,93,40,17,1,2,0,1,0,0,3,4,136,0,0,3,0,300
172,"PS. JAMUA R.N. 2",280,220,0,500,131,136,0,267,150,0,78,11,0,0,0,1,0,2,0,3,2,163,2,0,1,4,267
173,"PS. MEDIRAY",395,335,0,730,177,190,0,367,360,0,51,23,14,2,1,1,1,0,0,0,4,264,2,0,1,3,367
174,"PS.HINDUPUR RAMNAGAR",694,616,0,1310,363,358,0,721,711,0,306,65,16,0,0,2,1,0,0,2,2,314,2,3,3,5,721
175,"PS SHIVRA",476,455,0,931,245,273,0,518,518,0,130,53,117,1,1,0,2,2,2,2,0,198,2,1,1,6,518
176,"P.S. MANEHU",771,691,0,1462,510,450,0,960,960,0,200,89,230,4,2,1,2,2,3,4,12,404,0,1,3,3,960
177,"PS AHINA R N 1",702,623,0,1325,345,352,0,697,595,0,24,55,34,4,3,0,4,0,1,1,5,559,3,1,2,1,697
178,"P.S. AHINA R N-2",870,769,0,1639,404,373,0,777,505,0,105,72,30,5,1,1,2,2,1,0,2,548,2,2,3,1,777
179,"V KH MANDHATA",210,199,0,409,129,129,0,258,230,0,16,49,7,0,1,1,0,0,1,0,4,177,0,0,0,2,258
180,"P.B. SARAY HARNARAYAN",449,398,0,847,228,208,0,436,408,0,26,66,10,3,5,1,1,3,0,1,4,307,2,1,3,3,436
181,"P.S. MISHRAPUR",633,618,0,1251,363,355,0,718,718,0,153,89,36,2,1,1,2,3,1,1,6,416,2,1,0,4,718
182,"RA V CHAMARUPUR PATHAN",658,600,0,1258,299,328,0,627,264,0,257,139,91,7,5,4,1,0,3,2,5,107,1,1,4,0,627
183,"RA V CHAMARUPUR PATHAN KAKSH-2",533,490,0,1023,223,253,0,476,476,0,206,54,83,2,2,0,2,1,3,0,3,113,1,2,3,1,476
