"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ASIF NIZAMUDDIN SIDDIQUE","2 - PRAMOD KUMAR SINGH PATEL","3 - RAJKUMARI RATNA SINGH","4 - ASHOK SHUKLA SENANI","5 - NIRMALA DEVI","6 - FOOLCHANDRA","7 - BAL KRISHNA","8 - RAJENDRA SHARMA","9 - RAM SEWAK","10 - SHESHNATH","11 - SANTOSH KUMAR SINGH","12 - KUWAR HARIVANSH SINGH","13 - AJMAL KHAN","14 - KIRAN MISHRA","15 - HARIVANSH","16 - None of the Above","Total Votes Secured"
32,"PT TRAING CENTURE KARANPUR R.N.1",742,610,0,1352,382,292,0,674,330,0,289,50,68,8,0,3,2,1,2,0,3,235,1,3,1,8,674
33,"PT TRAING CENTURE KARANPUR R.N.2",246,228,0,474,128,106,0,234,201,0,79,23,18,1,0,0,0,0,1,0,1,110,0,0,1,0,234
34,"PT TRAING CENTURE KARANPUR R.N.3",699,596,0,1295,331,244,0,575,375,0,115,39,38,12,1,1,0,0,4,0,1,358,1,0,4,1,575
35,"PB KARANPUR R.N.01",834,637,0,1471,388,335,0,723,315,0,301,17,117,7,0,2,1,1,7,0,4,252,0,2,5,7,723
36,"PB KARANPUR R.N.02",923,717,0,1640,412,336,0,748,450,0,178,14,81,12,0,0,1,0,1,0,1,453,0,2,2,3,748
37,"N.T.GARVARA COURT",721,664,0,1385,350,307,0,657,657,0,205,17,59,12,2,1,1,1,1,0,1,351,0,1,4,1,657
38,"N.T.CITY COURT",239,214,0,453,148,110,0,258,251,0,46,9,33,2,0,0,0,1,0,0,1,161,1,1,2,1,258
39,"PS PURANA MAL GODAM ROAD R.N.01",412,342,0,754,233,168,0,401,401,0,122,37,65,8,0,0,0,0,0,0,0,168,0,0,1,0,401
40,"PS PURANA MAL GODAM ROAD R.N.02",638,559,0,1197,329,284,0,613,366,0,134,131,87,6,1,1,0,3,0,0,0,235,1,0,2,12,613
41,"PURANAMALGODAM ROAD",413,349,0,762,208,157,0,365,365,0,37,138,31,1,0,0,0,0,0,1,0,154,0,0,2,1,365
42,"ABDUL KALAM INTER COLLAGE R.N.1",726,649,0,1375,340,276,0,616,320,0,106,29,122,9,0,0,1,0,0,0,0,344,0,0,0,5,616
43,"ABDUL KALAM INTER COLLAGE R.N.2",386,316,0,702,121,93,0,214,200,0,23,19,51,2,0,0,0,0,0,0,0,115,0,0,0,4,214
44,"ABDUL KALAM INTER COLLAGE EAST ROOM",618,522,0,1140,221,164,0,385,385,0,40,10,59,4,0,0,0,0,0,0,1,269,0,0,1,1,385
45,"ABDUL KALAM INTER COLLAGE R.N.3",511,457,0,968,267,168,0,435,425,0,113,11,61,2,0,0,2,0,1,1,2,237,1,2,0,2,435
46,"ABDUL KALAM INTER COLLAGE R.N.4",628,529,0,1157,353,262,0,615,330,0,67,13,81,8,1,0,1,3,1,0,3,425,4,0,4,4,615
47,"ABDUL KALAM INTER COLLAGE R.N.5",530,458,0,988,265,177,0,442,442,0,18,5,53,3,1,0,0,0,0,1,1,355,4,0,0,1,442
48,"G.I.C. EAST ROOM",529,450,0,979,300,206,0,506,506,0,302,28,44,1,0,0,0,0,0,0,1,126,2,0,2,0,506
49,"PS BEGAM WARD",586,537,0,1123,350,228,0,578,350,0,283,24,94,5,0,0,0,0,0,1,2,164,0,0,0,5,578
50,"K.P.COLLAGE R.N.01",474,394,0,868,213,203,0,416,301,0,240,25,85,2,0,0,0,2,0,0,2,56,0,1,0,3,416
51,"K.P.COLLAGE R.N.02",391,412,0,803,217,178,0,395,250,0,297,26,57,1,0,0,0,0,0,0,0,13,0,0,1,0,395
52,"PS POLIC LINE R.N.1",246,220,0,466,94,57,0,151,151,0,35,18,17,2,0,0,0,0,0,0,0,77,1,0,0,1,151
53,"P.S. POLICE LINE R.N.-1",501,435,0,936,243,187,0,430,209,0,318,38,38,4,0,0,0,0,0,0,0,31,0,1,0,0,430
54,"P.S. POLICE LINE R.N.-3",414,367,0,781,202,166,0,368,351,0,285,23,31,3,0,0,0,0,0,0,0,25,0,0,0,1,368
55,"G.I. COLLEGE W.R.",435,439,0,874,222,212,0,434,434,0,127,10,66,5,0,0,0,1,0,0,2,216,0,1,2,4,434
56,"G.I. COLLEGE W.R.",838,732,0,1570,444,276,0,720,650,0,246,37,75,6,2,0,0,0,0,0,3,346,1,0,2,2,720
57,"G.G.I.COLLEGE S.R.",469,443,0,912,275,214,0,489,454,0,26,5,57,10,0,0,0,0,0,0,2,384,2,0,0,3,489
58,"G.G.I.COLLEGE M.H.",653,595,0,1248,374,307,0,681,601,0,135,9,95,11,1,1,0,1,1,0,5,415,1,0,3,3,681
59,"H.S.G.S. G.G.I.COLLEGE.",425,383,0,808,224,177,0,401,250,0,133,11,97,7,0,1,0,13,1,0,0,134,1,0,0,3,401
60,"G.G.I.COLLEGE S.R.",555,508,0,1063,295,218,0,513,320,0,118,9,71,6,0,0,0,0,0,1,1,301,0,0,1,5,513
61,"H.PS PANDEY KA PURVA R.N.-1",480,466,1,947,263,207,0,470,370,0,42,13,43,9,0,2,0,0,1,0,1,355,1,1,0,2,470
62,"H.PS PANDEY KA PURVA R.N.-2",644,575,0,1219,277,261,0,538,538,0,43,17,64,10,0,2,1,2,1,2,3,386,1,3,2,1,538
63,"H.PS PANDEY KA PURVA R.N.-3",785,705,0,1490,387,252,0,639,360,0,167,12,100,9,1,1,0,0,1,0,2,329,2,3,5,7,639
64,"H.PS PANDEY KA PURVA R.N.-4",437,349,0,786,207,148,0,355,355,0,80,3,33,3,1,0,0,1,0,0,1,224,0,3,2,4,355
65,"ZILL PRISHD HALL W. R.",502,414,0,916,217,151,0,368,252,0,11,18,49,5,2,0,0,0,1,1,1,270,0,3,1,6,368
66,"ZILL PRISHD HALL W. R.",495,447,0,942,205,183,0,388,210,0,42,16,98,10,0,0,0,1,0,0,2,215,0,1,0,3,388
67,"H.G.P.S. DHILAMAU N.R.",786,717,0,1503,433,360,0,793,430,0,193,68,87,13,1,2,3,3,2,0,1,412,1,0,2,5,793
68,"H.G.P.S. DHILAMAU N.R.",694,639,0,1333,319,289,0,608,580,0,127,14,106,7,1,0,2,0,0,0,1,345,0,0,1,4,608
69,"G.P.S. MEHTA PAATHSHALA R.N.-1",889,702,0,1591,385,297,0,682,480,0,173,16,48,9,1,0,0,0,1,0,5,421,2,0,1,5,682
70,"G.P.S. MEHTA PAATHSHALA R.N.-2",754,613,0,1367,339,260,0,599,310,0,222,15,77,10,0,1,1,0,0,0,2,266,0,0,1,4,599
71,"TILAK KOLEGE K0 18",715,577,0,1292,323,258,0,581,350,0,158,25,129,8,1,4,0,1,1,1,4,241,2,0,1,5,581
72,"TILAK KOLEGE K0 20",609,541,0,1150,303,196,0,499,492,0,25,7,64,7,1,0,0,1,1,1,1,386,0,3,1,1,499
73,"TILAK KOLEGE K0 21",272,264,0,536,147,117,0,264,231,0,11,3,32,5,1,0,0,5,0,0,2,199,2,1,0,3,264
74,"PS SADAR BAZAR K0 S0 1",637,528,0,1165,340,247,0,587,330,0,220,16,49,3,0,0,0,0,1,0,1,291,2,0,0,4,587
75,"PS SADAR BAZAR K0 S0 2",535,464,0,999,267,201,0,468,404,0,181,22,41,3,0,0,0,0,0,0,0,220,0,0,0,1,468
76,"PS SADAR BAZAR K0 S0 3",785,619,1,1405,403,285,0,688,515,0,116,21,45,10,0,0,0,0,0,1,8,482,1,2,1,1,688
77,"BPS AJIT NAGAR",612,505,0,1117,282,243,0,525,320,0,214,16,54,4,1,0,3,0,0,2,2,224,2,1,1,1,525
78,"BPS AJIT NAGAR",445,413,0,858,202,210,0,412,390,0,26,4,25,11,0,0,0,0,0,0,3,340,0,0,1,2,412
79,"BPS AJIT NAGAR",429,420,0,849,184,175,0,359,293,0,106,11,20,4,0,0,1,0,0,1,4,207,1,1,1,2,359
80,"SETUNIGAM KARYALAY K0S0 1",416,406,0,822,210,161,0,371,241,0,238,20,56,4,1,0,0,0,0,1,2,46,0,0,0,3,371
81,"SETUNIGAM KARYALAY K0S0 2",402,373,0,775,230,155,0,385,385,0,299,15,23,2,0,0,0,0,0,0,0,41,0,1,0,4,385
82,"PS PADAV K0 S0 1",465,444,0,909,215,169,0,384,210,0,172,5,49,2,0,1,0,0,0,0,1,145,0,0,1,8,384
83,"PS PADAV K0 S0 2",353,321,0,674,148,126,0,274,180,0,27,0,27,3,0,0,0,4,0,1,0,210,0,0,0,2,274
84,"PS JIRIYAMAU",686,596,0,1282,406,341,0,747,410,0,370,64,19,4,1,1,0,1,3,1,0,273,5,3,1,1,747
85,"PS BELHABHAT",809,721,0,1530,393,325,0,718,390,0,89,39,71,9,2,1,0,0,2,0,6,490,1,2,2,4,718
86,"PS SAHODARPUR K0 S0 1",521,452,0,973,259,220,0,479,210,0,109,11,56,7,1,1,1,0,0,0,3,286,0,0,1,3,479
87,"PS SAHODARPUR K0 S0 2",575,554,0,1129,302,301,0,603,410,0,278,26,41,14,2,0,0,0,3,1,0,236,0,0,0,2,603
88,"PS SAHODARPUR R.N. 3",473,432,0,905,197,171,0,368,210,0,205,20,35,3,0,1,0,0,2,0,0,96,0,1,3,2,368
89,"PS SAHODARPUR II M.K.",265,243,0,508,117,110,0,227,110,0,81,12,44,7,1,0,0,0,0,1,4,70,0,1,1,5,227
90,"PS DAHILAMU DEHAT K.S. 1",637,599,0,1236,378,361,0,739,737,0,594,15,8,7,1,1,1,0,1,0,1,99,1,1,2,7,739
91,"PS. DAHILAMAU DEHAT KS. 2",701,573,0,1274,307,214,0,521,511,0,177,19,21,3,0,1,0,0,0,0,2,294,0,0,1,3,521
92,"BPS DAHILAMAU DEHAT KS. 1",519,454,0,973,258,236,0,494,420,0,30,10,64,6,1,0,0,0,1,0,2,371,2,2,2,3,494
93,"BPS DAHILAMAU DEHAT KS. 2",502,430,0,932,263,213,0,476,210,0,34,19,52,5,0,0,2,1,1,2,8,337,4,3,4,4,476
94,"BPS PURE ISHWARNATH KS. 1",567,472,0,1039,329,308,0,637,637,0,76,117,19,11,1,0,0,1,6,1,4,383,3,5,4,6,637
95,"BPS PURE ISHWARNATH KS. 2",774,698,0,1472,352,300,0,652,652,0,124,37,52,6,2,0,1,0,3,2,4,407,3,0,2,9,652
96,"PS. KADIPUR",543,445,0,988,297,237,0,534,420,0,253,8,49,5,1,1,1,0,1,0,3,209,1,0,0,2,534
97,"SA.S.S.U.K. ACHALPUR KS. 1",853,706,1,1560,463,376,0,839,423,0,287,47,72,10,0,2,2,1,0,0,6,399,1,1,4,7,839
98,"SA.S.S.U.K. ACHALPUR KS. 2",684,602,0,1286,367,334,0,701,701,0,227,10,48,2,1,0,1,0,2,0,7,391,3,2,0,7,701
99,"PS KISHUNDASPUR",539,497,0,1036,318,349,0,667,667,0,376,12,27,7,1,1,0,2,1,3,2,227,3,0,2,3,667
100,"PS BHANGAVA PU.K.",822,688,0,1510,397,366,0,763,450,0,413,12,86,4,1,0,0,1,0,2,2,226,1,8,4,3,763
101,"PS BHANGAVA PK.",614,533,0,1147,358,294,0,652,649,0,117,26,31,7,0,1,1,1,0,4,4,446,3,1,3,7,652
102,"PS MAHUAR KS. 1",525,415,0,940,385,237,0,622,480,0,173,35,18,6,1,3,2,1,0,0,5,361,3,1,6,7,622
103,"PS MAHUAR KS. 2",383,337,0,720,183,184,0,367,150,0,271,21,11,1,0,0,0,1,2,1,0,48,1,0,5,5,367
104,"PS PARASURAMPUR",682,604,1,1287,399,322,0,721,344,0,138,8,41,8,5,0,3,5,3,0,6,478,1,2,4,19,721
105,"PS GOPALAPUR",424,388,0,812,275,222,0,497,309,0,61,11,11,7,2,0,1,1,0,0,5,390,2,1,1,4,497
106,"PS. KHAJURNI KS. 1",618,544,0,1162,309,250,0,559,499,0,134,25,49,4,0,0,0,1,33,2,4,294,1,2,2,8,559
107,"PS. KHAJURNI KS. 2",658,526,0,1184,373,259,0,632,632,0,85,6,21,7,2,0,1,3,0,2,5,486,5,4,1,4,632
108,"PS. RAMPUR GAURI",815,701,0,1516,419,401,0,820,480,0,347,19,13,2,0,2,5,2,0,1,3,410,3,1,2,10,820
109,"PS. SARAY BAHELIYA",759,635,0,1394,436,398,0,834,800,0,286,20,37,4,0,1,1,0,17,1,3,450,2,3,5,4,834
110,"PS. SHRIKANTPUR",566,452,0,1018,304,314,0,618,310,0,102,22,53,7,1,1,1,5,0,1,5,410,1,3,3,3,618
111,"PS. KUSAMI",526,489,0,1015,263,223,0,486,406,0,159,96,13,6,1,1,1,3,2,0,1,196,1,2,0,4,486
112,"PS. JAHNAIPUR",568,482,0,1050,327,290,0,617,370,0,191,79,23,10,0,1,1,0,6,1,5,290,1,1,3,5,617
113,"PS. BHUPIYAMAU KS. 1",470,419,0,889,233,210,0,443,422,0,100,12,9,3,0,0,0,0,0,0,3,307,3,1,1,4,443
114,"PS BHUPIYAMAU KS. 2",515,449,0,964,331,248,0,579,569,0,107,6,24,5,0,0,0,1,1,0,6,421,2,0,4,2,579
115,"PS. BADANPUR",673,564,0,1237,485,334,0,819,490,0,203,54,31,9,0,1,2,0,1,2,6,498,2,2,5,3,819
116,"PS. KAMAIPUR",252,228,0,480,153,148,0,301,190,0,48,1,17,1,0,0,0,0,0,0,1,232,0,1,0,0,301
117,"PS. BAHLOLPUR KS. 1",667,558,0,1225,351,301,0,652,619,0,95,62,11,3,0,2,0,0,1,0,3,468,2,0,3,2,652
118,"PS. BAHLOLPUR KS. 2",565,474,0,1039,309,212,0,521,200,0,59,86,15,4,2,0,1,0,0,1,4,341,1,0,1,6,521
119,"PS. BABURAHA",207,196,0,403,116,118,0,234,150,0,74,26,12,4,2,0,0,0,0,0,1,112,0,0,2,1,234
120,"BPMS. DAGAITA BAHLOLPUR",489,473,0,962,313,270,0,583,270,0,75,162,8,4,0,4,5,1,0,0,2,306,3,3,4,6,583
121,"PS. NAUBASTA",338,314,0,652,215,202,0,417,250,0,32,47,5,2,1,0,1,1,0,1,4,318,1,2,0,2,417
122,"HPS KATARAMEDANIGANJ KS. 1",885,713,0,1598,445,333,0,778,460,0,185,13,39,4,0,3,3,2,1,2,4,507,3,1,2,9,778
123,"HPS KATARAMEDANIGANJ KS. 2",437,404,1,842,213,207,0,420,407,0,224,117,24,1,1,0,0,0,0,0,0,49,0,1,0,3,420
124,"HPS KATARAMEDANIGANJ KS. 3",675,609,0,1284,369,341,0,710,450,0,366,176,62,2,0,0,1,0,1,2,1,93,1,1,1,3,710
125,"PS. KATARAMEDANIGANJ KS. 1",689,615,0,1304,334,350,0,684,330,0,420,81,100,5,0,1,0,0,2,0,0,70,0,0,3,2,684
126,"PS KATARAMEDANIGANJ KS. 2",344,284,0,628,197,152,0,349,325,0,137,6,34,0,0,1,1,0,0,1,2,159,1,1,1,5,349
127,"DIGRI COLEGE UK.",420,380,0,800,224,224,0,448,410,0,169,34,26,9,0,1,0,2,1,0,4,190,1,1,3,7,448
128,"DIGRI COLEGE DK.",660,569,0,1229,312,259,0,571,350,0,252,2,40,11,0,0,0,0,0,0,2,261,1,0,0,2,571
129,"INTER COLEGE PU.K.",858,688,0,1546,484,316,0,800,779,0,172,23,12,8,3,1,3,2,4,3,7,543,8,1,3,7,800
130,"INTER COLEGE P.K.",602,525,0,1127,387,315,0,702,600,0,170,16,33,9,0,1,2,0,9,1,5,431,8,0,6,11,702
131,"BPSPP. CITY",897,755,0,1652,356,366,0,722,715,0,326,76,28,4,1,1,2,3,2,1,8,261,3,2,4,0,722
132,"PBDCBPED KS. 1",568,479,0,1047,237,204,0,441,440,0,278,47,21,1,1,0,0,0,0,0,1,82,0,0,4,6,441
133,"PBDCBPED KS. 1",432,351,0,783,210,197,0,407,205,0,261,16,6,2,0,1,1,0,0,0,5,110,1,0,1,3,407
134,"PSP CITY KS. 2",628,549,0,1177,314,299,0,613,410,0,396,32,35,4,0,0,0,0,3,1,0,130,1,1,5,5,613
135,"BPS BHUALPUR KILA KS. 1",384,297,0,681,252,209,0,461,220,0,28,15,28,5,5,0,3,1,1,0,1,362,4,2,0,6,461
136,"BPS BHUALPUR KILA KS. 2",497,468,0,965,257,219,0,476,476,0,147,18,27,1,2,0,2,0,3,2,6,257,3,1,4,3,476
137,"PS NAYA BHAVAN MAHAKANI",595,509,0,1104,239,196,0,435,242,0,58,9,36,3,1,1,2,0,1,1,7,300,3,2,2,9,435
138,"PS. KATARA INDRAKUVAR",938,713,0,1651,342,329,0,671,420,0,116,28,51,67,3,2,2,4,1,1,13,356,3,7,3,14,671
139,"PS BHADOHI KS. 1",719,623,0,1342,389,312,0,701,333,0,204,6,33,14,5,2,2,1,1,0,4,413,2,1,4,9,701
140,"PS BHADOHI KS. 2",190,170,0,360,139,86,0,225,110,0,38,1,4,3,0,2,2,0,0,1,1,162,0,4,6,1,225
141,"PS. KHAJOHARI",954,770,0,1724,351,221,0,572,560,0,167,145,16,1,0,0,0,1,1,0,5,229,1,1,3,2,572
142,"PS. JALALPUR",337,301,0,638,204,189,0,393,390,0,48,23,22,1,0,1,2,0,1,0,2,289,0,1,0,3,393
143,"KPS. KATAKAMANAPUR",687,656,0,1343,345,318,0,663,663,0,145,32,87,19,3,3,4,4,2,4,5,339,5,2,2,7,663
144,"KPS. KATAKAMANAPUR",481,382,0,863,160,,,,,,,,,,,,,,,,,,,,,,
