"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ABHISHEK MISRA","2 - NAKUL DUBEY","3 - RAJ NATH SINGH","4 - PROF. RITA BAHUGUNA JOSHI","5 - SYED JAVED AHMED JAFRI","6 - TARA PATKAR","7 - NAND KUMAR LODHI RAJPOOT","8 - RABI DUBEY","9 - RAJ KUMAR SINGH","10 - RADHA KRISHNAN","11 - RAMPHAL RAWAT","12 - VIJAY BAHADUR SINGH","13 - SHISHU PAL YADAV","14 - MOHD. SARWAR MALIK","15 - SUNIL SINGH","16 - SUMAN VERMA","17 - SANJEEV MEHROTRA ALIAS PIKKU BHAI","18 - HARI RAM ALIAS HARIBHAI PATEL","19 - SYED ALI HUSAIN","20 - ASOK PANDE","21 - ADARSH SHASTRI","22 - GHANSHYAM SINGH","23 - PADAM CHANDRA GUPTA","24 - MANOJ SINGH","25 - YOGESH CHANDRA BHATT","26 - RAJEEV RANJAN TIWARI ALIAS RAJ BEHARI","27 - VINAY PRAKASH MISHRA","28 - SHAILENDRA SINGH YADAV","29 - SUBHASH CHANDRA LEHRI","30 - None of the Above","Total Votes Secured"
11,"SENT ZOJAF INTER COLLAGE HARDOI ROAD ROOM NO 2",806,712,0,1518,485,375,0,860,620,0,31,12,594,180,36,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,860
12,"MHAT. MEMO. PUB. SCHOOL NAGRYA THAKURGANJ ROOM NO -1",498,388,0,886,313,223,0,536,509,0,63,6,376,67,19,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,536
13,"MHAT. MEMO. PUB. SCHOOL NAGRYA THAKURGANJ ROOM NO -2",508,458,0,966,307,234,0,541,432,0,57,12,396,55,14,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,1,0,1,0,1,0,0,541
14,"MHAT. MEMO. PUB. SCHOOL NAGRYA THAKURGANJ ROOM NO -3",582,464,0,1046,420,297,0,717,698,0,58,21,544,71,11,0,1,0,0,0,0,0,0,1,0,1,2,0,1,3,0,0,0,0,0,0,0,1,1,1,717
15,"MHAT. GANDI MON. SCH. NAGRYA THAKURGANJ ROOM NO-1",481,411,0,892,289,197,0,486,486,0,27,14,258,162,17,0,1,0,0,0,0,0,0,0,0,1,1,0,3,0,0,0,0,1,0,0,0,0,1,0,486
16,"MHAT. GANDI MON. SCH. NAGRYA THAKURGANJ ROOM NO -2",657,561,0,1218,374,292,0,666,666,0,56,26,385,176,13,1,1,0,0,0,0,0,2,3,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,666
17,"MHAT. GANDI MON. SCH. NAGRYA THAKURGANJ ROOM NO-3",557,493,0,1050,341,264,0,605,605,0,47,24,350,157,16,1,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,2,0,605
18,"MHAT. GANDI MON. SCH. NAGRYA THAKURGANJ ROOM NO -4",864,736,0,1600,490,337,0,827,820,0,63,34,503,178,25,2,1,1,2,1,1,0,0,2,0,2,1,1,1,1,1,2,2,0,1,0,0,0,2,0,827
19,"PR. VI. MUSHABGANJ LUCKNOW ROOM NO -1",568,461,0,1029,381,283,0,664,659,0,75,26,355,177,7,2,0,3,0,0,1,0,1,0,1,1,2,1,1,1,1,0,0,0,0,2,0,1,1,5,664
20,"PR. VI. MUSHABGANJ LUCKNOW ROOM NO -2",612,489,0,1101,364,255,0,619,425,0,46,40,307,192,9,1,0,0,0,0,0,0,1,2,0,2,1,2,4,4,0,1,0,0,1,1,0,2,0,3,619
21,"PR. VI. MUSHABGANJ LUCKNOW ROOM NO -3",949,805,0,1754,557,419,0,976,973,0,114,143,449,218,10,1,0,1,1,2,0,0,0,2,1,0,8,5,7,2,0,1,3,1,1,0,0,1,2,3,976
22,"PR. VI. MUSHABGANJ LUCKNOW  ROOM NO -4",350,293,0,643,320,162,0,482,361,0,74,52,116,195,34,0,0,1,1,0,0,1,1,2,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,482
23,"PR. VI. MUSHABGANJ LUCKNOW ROOM NO -5",674,605,0,1279,361,280,0,641,432,0,42,15,275,238,53,0,0,0,0,0,1,1,2,1,3,2,0,0,0,0,0,0,2,0,0,0,0,1,1,4,641
24,"PUR MADH KANYA VI MUSAHABGANJ ROOM 1",621,501,0,1122,308,226,0,534,528,0,90,42,160,136,95,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,1,1,0,0,2,1,1,534
25,"PUR MADH KANYA VI MUSAHABGANJ ROOM 2",442,394,0,836,269,221,0,490,490,0,54,15,121,181,113,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,490
26,"C.H.C ACE. SAJJBAGH ROOM NO -1",826,758,0,1584,600,449,0,1049,1045,0,156,77,486,266,37,0,1,0,0,1,0,0,1,5,2,4,1,0,0,1,0,0,0,1,0,0,2,3,1,4,1049
27,"C.H.C ACE. SAJJBAGH ROOM NO -2",917,700,1,1618,500,431,0,931,900,0,102,48,453,245,58,0,0,1,0,0,1,2,2,1,0,2,0,1,2,0,1,0,1,2,0,0,2,0,1,6,931
28,"PR.VI. DOOLATGANJ ROOM NO -1",830,619,0,1449,463,294,0,757,754,0,43,54,435,199,4,0,1,0,0,1,1,0,3,3,0,1,0,0,3,1,0,1,0,0,0,1,0,1,3,2,757
29,"C.H.C ACE. SAJJBAGH ROOM NO -3",610,462,0,1072,391,268,0,659,659,0,59,82,285,189,20,2,1,1,0,0,2,4,3,3,1,3,0,0,1,0,0,0,0,0,1,0,0,1,0,1,659
30,"C.H.C ACE. SAJJBAGH ROOM NO -4",622,520,0,1142,382,342,0,724,639,0,52,55,449,140,12,1,0,0,3,0,0,2,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,4,0,1,724
31,"C.H.C ACE. SAJJBAGH ROOM NO -5",622,449,0,1071,407,257,0,664,664,0,70,92,216,225,41,1,1,0,0,0,0,0,1,2,1,1,2,2,2,0,0,0,0,2,0,1,0,0,2,2,664
32,"C.H.C ACE. SAJJBAGH ROOM NO -6",762,566,0,1328,404,303,0,707,549,0,88,49,311,228,5,0,0,0,0,0,0,4,0,1,0,1,1,1,5,0,0,0,1,0,0,1,0,2,2,7,707
33,"HUSHANBAD TRUST OFF. HUS. ROOM NO -1",539,497,1,1037,332,233,0,565,490,0,43,63,66,101,280,0,0,0,0,2,0,1,0,1,0,5,0,0,1,0,0,0,1,0,0,1,0,0,0,0,565
34,"HUSHANBAD TRUST OFF. HUS ROOM NO .-2",616,435,0,1051,317,214,0,531,499,0,37,54,64,89,272,1,0,0,0,1,0,1,0,2,1,4,1,1,0,1,0,0,0,1,0,1,0,0,0,0,531
35,"HUSHANBAD TRUST OFF. HUS. ROOM NO -3",590,504,0,1094,353,225,0,578,578,0,51,66,102,120,222,2,0,0,2,0,0,0,0,0,0,5,0,4,0,0,0,1,0,2,1,0,0,0,0,0,578
36,"HUSHANBAD TRUST OFF. HUS ROOM NO .-4",604,521,0,1125,346,295,0,641,641,0,279,7,23,213,98,0,0,0,0,0,0,1,0,1,0,0,4,1,2,3,0,0,1,2,0,3,0,2,0,1,641
37,"HUSHANBAD TRUST OFF. HUS ROOM NO .-5",523,466,0,989,299,204,0,503,503,0,163,11,26,192,103,1,0,0,0,0,0,0,0,0,0,0,2,1,0,2,1,0,0,0,0,0,0,0,0,1,503
38,"HUSHANBAD TRUST OFF. HUS ROOM NO .-6",783,672,0,1455,418,299,0,717,417,0,77,34,22,545,24,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,1,0,1,1,0,0,0,2,0,4,717
39,"CAMP. CARYALAY. ZONE 6 GANTAGAR HUS.ROOM NO -1",579,517,0,1096,357,262,0,619,473,0,82,26,357,107,25,1,0,1,1,0,1,0,2,0,0,4,2,0,3,0,0,0,0,1,0,0,0,1,2,3,619
40,"CAMP. CARYALAY. ZONE 6 GANTAGAR HUS ROOM NO.-2",586,455,0,1041,381,233,0,614,608,0,29,8,237,322,9,0,0,0,0,0,2,0,0,1,0,1,0,0,2,1,0,0,0,0,0,0,0,0,2,0,614
41,"CAMP. CARYALAY. ZONE 6 GANTAGAR HUS.ROOM NO -3",599,497,0,1096,361,240,0,601,560,0,35,18,343,182,12,1,0,0,0,0,0,0,1,2,0,3,0,0,1,2,0,0,0,0,0,0,0,0,0,1,601
42,"PR. PAT. LAAJPAT NAGAR ROOM NO -1",771,725,0,1496,521,424,0,945,925,0,31,14,746,83,60,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,7,945
43,"PR. PAT. LAAJPAT NAGAR ROOM NO-2",273,277,0,550,195,168,0,363,179,0,17,41,163,86,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,363
44,"PR. PAT. LAAJPAT NAGAR ROOM NO -3",575,530,0,1105,395,359,0,754,753,0,45,74,330,196,75,0,0,0,3,0,0,0,1,0,0,4,3,4,3,1,1,1,2,2,0,3,0,1,2,3,754
45,"MAHATMA GANDI MONT. I. COL. HATA. SITARA BEGAM ROOM NO -1",837,755,0,1592,538,441,0,979,979,0,169,48,102,601,39,1,0,0,0,2,1,0,1,4,0,1,4,0,0,3,0,0,0,0,0,0,0,0,0,3,979
46,"MAHATMA GANDI MONT. I. COL. HATA. SITARA BEGAM ROOM NO -2",563,550,0,1113,342,283,0,625,617,0,92,56,136,307,22,0,0,0,1,0,0,0,0,1,1,3,0,0,2,1,0,0,1,0,0,1,0,0,0,1,625
47,"UNITI PUBLIC I COL. THASEENGANJ ROAD ROOM NO -1",796,670,0,1466,465,374,0,839,835,0,71,26,14,701,11,0,0,3,1,1,1,0,1,0,0,2,1,1,1,1,0,0,1,0,0,1,0,0,0,1,839
48,"UNITI PUBLIC I COL. THASEENGANJ ROAD ROOM NO-2",512,509,0,1021,270,213,0,483,483,0,39,3,16,401,18,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,483
49,"UNITI PUBLIC I COL. THASEENGANJ ROAD ROOM NO -3",886,677,0,1563,496,350,0,846,840,0,76,12,23,700,16,1,0,1,2,0,2,0,0,2,2,3,0,0,1,2,1,1,0,0,0,0,0,0,1,0,846
50,"UNITI PUBLIC I COL. THASEENGANJ ROAD ROOM NO -4",486,477,0,963,281,241,0,522,522,0,47,9,18,370,58,0,1,0,0,0,0,0,0,2,0,3,1,0,1,4,0,1,0,1,0,1,0,1,0,4,522
51,"UNITI PUBLIC I COL. THASEENGANJ ROAD ROOM NO -5",542,400,0,942,362,186,0,548,467,0,77,19,11,389,37,1,0,0,1,0,0,0,0,0,0,1,1,0,2,4,0,0,1,0,0,1,0,1,0,2,548
52,"UNITI PUBLIC I COL. THASEENGANJ ROAD ROOM NO-6",843,718,0,1561,522,333,0,855,733,0,85,22,31,532,137,0,0,0,0,0,2,1,0,0,0,1,5,5,6,1,3,3,2,5,1,3,2,3,1,4,855
53,"UNITI PUBLIC I COL. THASEENGANJ ROAD ROOM NO -7",675,538,0,1213,391,242,0,633,591,0,64,20,27,489,21,1,1,0,0,0,1,0,1,0,0,3,2,0,0,1,0,0,0,0,1,0,0,0,0,1,633
54,"UNITI PUBLIC I COL. THASEENGANJ ROAD ROOM NO -8",605,540,0,1145,379,210,0,589,563,0,70,27,163,232,85,0,0,0,0,1,0,0,0,0,1,2,1,0,2,0,0,0,0,1,0,1,0,0,1,2,589
55,"UNITI PUBLIC I COL. THASEENGANJ ROAD ROOM NO -9",647,529,0,1176,376,287,0,663,661,0,63,40,111,362,74,1,0,1,0,2,0,0,0,1,0,3,0,0,0,0,0,0,0,0,1,1,0,1,0,2,663
56,"MUFTIGANJ GA. INTER COLLAGE MUFTIGANJ ROOM NO -1",645,570,0,1215,316,179,0,495,484,0,42,27,41,90,279,1,0,1,1,1,0,1,0,0,1,2,1,1,3,0,1,0,0,1,0,0,0,0,1,0,495
57,"MUFTIGANJ GA. INTER COLLAGE MUFTIGANJ ROOM NO -2",688,599,0,1287,427,233,0,660,581,0,48,36,47,92,393,3,1,1,2,1,1,2,2,1,2,6,2,2,2,1,2,1,2,2,2,1,1,1,1,2,660
58,"MUFTIGANJ GA. INTER COLLAGE MUFTIGANJ ROOM NO -3",540,445,0,985,265,187,0,452,442,0,21,12,124,148,140,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,452
59,"MUFTIGANJ GA. INTER COLLAGE MUFTIGANJ ROOM NO -4",487,397,0,884,227,170,0,397,313,0,19,15,86,117,152,1,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0,1,397
60,"MUFTIGANJ GA. INTER COLLAGE MUFTIGANJ ROOM NO -5",588,494,0,1082,310,161,0,471,471,0,60,30,37,105,225,0,0,0,0,1,0,0,0,0,1,6,0,2,2,0,0,0,0,0,1,0,0,0,1,0,471
61,"MUFTIGANJ GA. INTER COLLAGE MUFTIGANJ ROOM NO -6",623,580,0,1203,326,233,0,559,483,0,74,44,26,109,281,0,1,1,1,1,1,1,0,1,1,7,2,1,3,0,0,0,0,0,1,1,1,1,0,0,559
62,"PR. VI. BALLKA & BALIKA SONDHITOLA ROOM NO -1",663,615,0,1278,375,307,0,682,673,0,16,3,490,154,9,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6,682
63,"PR. VI. BALLKA & BALIKA SONDHITOLA ROOM NO -2",660,569,0,1229,382,283,0,665,547,0,18,5,535,88,9,0,0,0,0,0,2,0,0,2,0,2,1,0,0,0,0,0,1,0,0,0,0,0,2,0,665
64,"PR. VI. BALLKA & BALIKA SONDHITOLA ROOM NO -3",806,728,0,1534,522,363,0,885,655,0,23,22,726,85,17,0,2,1,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,885
65,"PR. VI. BALLKA & BALIKA SONDHITOLA ROOM NO -4",393,352,0,745,219,159,0,378,311,0,12,6,309,38,7,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,378
66,"SECREAT WE CONVENT SCHOOL CHAUBDHARI MOL. CHOWK ROOM NO -1",613,531,0,1144,378,258,0,636,441,0,37,2,49,530,16,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,636
67,"LOHIYA PART CHOWK ROOM NO -1",546,463,0,1009,310,206,0,516,504,0,33,7,155,279,34,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,3,516
68,"LOHIYA PART CHOWK ROOM NO -2",607,497,0,1104,380,228,0,608,510,0,29,10,226,316,21,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,608
69,"LOHIYA PART CHOWK ROOM NO-3",584,488,0,1072,296,208,0,504,491,0,15,5,387,77,15,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,504
70,"PRATMIC VID. IERDATNAGAR ROOM NO -1",510,460,0,970,282,221,0,503,477,0,93,16,58,316,10,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,2,0,0,1,503
71,"PRATMIC VID. IERDATNAGAR ROOM NO -2",701,646,2,1349,409,330,0,739,739,0,64,19,454,164,14,0,1,4,2,0,0,0,1,1,3,5,1,0,1,0,1,0,0,0,0,1,0,0,3,0,739
72,"PRATMIC VID. IERDATNAGAR ROOM NO -1",641,568,0,1209,352,225,0,577,416,0,25,10,29,499,7,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,0,2,0,577
73,"ZALILYA MUSLIM GH. HI. SCHOOL IERDATNAGAR ROOM NO -1",795,689,0,1484,538,330,0,868,846,0,54,133,193,459,4,1,0,2,1,1,0,1,0,2,1,0,3,1,0,3,0,0,1,0,1,0,1,2,3,1,868
74,"ZALILYA MUSLIM GH. HI. SCHOOL IERDATNAGAR ROOM NO -2",439,422,0,861,234,205,0,439,418,0,39,76,81,226,6,0,1,1,0,0,1,0,0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,439
75,"ZALILYA MUSLIM GH. HI. SCHOOL IERDATNAGAR ROOM NO -3",743,737,0,1480,412,387,0,799,382,0,49,9,30,676,12,2,0,0,0,0,0,0,0,1,2,3,0,1,0,0,1,1,0,1,1,1,2,2,2,3,799
76,"MUMTAZ DEGREE COLLAGE ROOM NO-1",501,419,2,922,279,221,0,500,311,0,23,20,283,150,16,0,1,0,0,0,0,0,1,0,0,1,1,0,2,0,0,0,0,0,0,0,1,0,0,1,500
77,"MUMTAZ DEGREE COLLAGE ROOM NO-2",609,524,0,1133,422,247,0,669,669,0,58,33,399,155,7,1,0,0,0,0,0,0,0,0,0,2,3,0,3,0,1,0,0,0,1,2,0,1,0,3,669
78,"MUMTAZ DEGREE COLLAGE ROOM NO-3",707,601,0,1308,440,326,0,766,766,0,59,127,226,336,8,0,0,1,0,0,0,0,0,0,2,3,1,0,1,0,0,0,1,1,0,0,0,0,0,0,766
79,"MUMTAZ DEGREE COLLAGE ROOM NO -4",542,463,0,1005,352,263,0,615,491,0,42,86,220,254,5,0,0,0,0,0,0,0,0,1,1,2,1,0,0,1,0,0,1,0,0,0,0,0,0,1,615
80,"SHIA DEGREE COLLAGE SITATPUR ROAD ROOM NO -1",803,667,0,1470,469,313,0,782,628,0,26,20,638,59,6,2,0,0,0,0,0,0,2,1,0,1,1,1,0,0,1,1,0,1,0,1,14,2,0,5,782
81,"SHIA DEGREE COLLAGE SITATPUR ROAD ROOM NO -2",760,733,1,1494,418,366,0,784,773,0,26,46,567,120,16,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,3,0,0,2,784
82,"SHIA DEGREE COLLAGE SITATPUR ROAD ROOM NO -3",365,301,0,666,205,137,0,342,330,0,10,19,242,53,6,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,1,0,3,0,1,1,342
83,"SHIA DEGREE COLLAGE SITATPUR ROAD ROOM NO -4",784,642,0,1426,332,225,0,557,557,0,42,2,405,87,5,2,0,0,0,0,2,0,1,5,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,557
84,"SHIA DEGREE COLLAGE SITATPUR ROAD ROOM NO-5",684,541,0,1225,358,245,0,603,584,0,28,51,366,137,12,1,1,0,0,0,0,1,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,1,603
85,"SHIA DEGREE COLLAGE SITAPUR ROAD ROOM NO -6",779,588,0,1367,487,310,0,797,702,0,54,29,448,234,13,0,0,0,0,0,0,0,0,1,0,3,0,1,2,1,1,1,0,0,0,0,1,0,2,6,797
86,"SHIA DEGREE COLLAGE SITAPUR ROAD ROOM NO-7",666,580,1,1247,402,310,0,712,691,0,19,10,160,495,10,1,1,0,0,1,0,0,0,0,3,1,0,1,4,0,0,0,0,0,0,0,0,1,2,3,712
87,"SHIA DEGREE COLLAGE SITAPUR ROAD ROOM NO-8",672,549,0,1221,362,265,0,627,615,0,27,73,323,183,12,0,0,0,1,1,0,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,627
88,"SHIA INTER COLLAGE SITAPUR ROAD ROOM NO -1",833,676,0,1509,418,355,0,773,750,0,30,24,100,564,18,3,0,1,0,2,2,1,1,12,1,4,0,1,1,1,0,0,0,2,1,2,0,1,0,1,773
89,"SHIA INTER COLLAGE SITAPUR ROAD ROOM NO -2",491,420,0,911,238,215,0,453,442,0,22,42,84,272,17,0,0,0,1,3,0,0,0,7,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,2,453
90,"SHIA INTER COLLAGE SITAPUR ROAD ROOM NO -3",585,523,0,1108,341,266,0,607,597,0,20,24,160,363,21,0,0,0,0,0,0,1,1,13,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,607
91,"SHIA INTER COLLAGE SITAPUR ROAD ROOM NO -4",825,695,1,1521,459,304,0,763,639,0,45,26,229,420,15,0,2,1,0,3,1,2,1,4,3,3,0,0,1,1,0,0,1,0,0,0,3,1,0,1,763
92,"SHIA INTER COLLAGE SITAPUR ROAD ROOM NO -5",892,736,0,1628,444,313,0,757,568,0,31,46,312,352,10,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,757
93,"SHIA INTER COLLAGE SITAPUR ROAD ROOM NO -6",524,437,0,961,263,186,0,449,349,0,16,19,175,215,10,1,0,0,0,0,0,0,1,1,0,0,0,2,1,1,3,0,0,1,2,0,0,0,1,0,449
94,"YOONIK CANVENT GIRLS INTER COOLAGE ROOPPUR KHADRA ROOM NO1",725,565,0,1290,375,273,0,648,648,0,35,19,278,300,3,2,0,0,0,0,1,0,1,0,1,3,0,0,0,0,0,0,1,0,0,1,3,0,0,0,648
95,"SHIA INTER COLLAGE SITAPUR ROAD ROOM NO -7",559,489,0,1048,254,188,0,442,344,0,54,8,78,282,9,0,2,0,0,0,0,1,0,0,2,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,442
96,"SHIA INTER COLLAGE SITAPUR ROAD ROOM NO -8",598,488,0,1086,287,182,0,469,468,0,33,20,49,343,14,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,4,469
97,"YOONIK CANVENT GIRLS INTER COOLAGE ROOPPUR KHADRA ROOM NO2",808,665,0,1473,465,356,0,821,739,0,68,25,551,144,15,1,0,0,1,2,0,1,0,2,0,0,2,0,0,1,0,0,1,1,0,0,0,1,1,4,821
98,"YOONIK CANVENT GIRLS INTER COOLAGE ROOPPUR KHADRA ROOM NO3",641,452,0,1093,307,193,0,500,452,0,28,23,318,118,11,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,500
99,"YOONIK CANVENT GIRLS INTER COOLAGE ROOPPUR KHADRA ROOM NO4",675,545,1,1221,445,357,0,802,700,0,85,14,290,374,17,3,0,1,1,1,0,0,0,2,0,3,2,1,0,1,1,0,0,1,0,0,0,2,0,3,802
100,"ALLMIGHTI SCHOOL MADEHGANJ SITAPUR ROAD ROOM NO -1",595,527,0,1122,404,289,0,693,690,0,56,22,143,450,8,1,1,1,0,0,0,0,1,3,2,1,0,0,0,1,0,0,2,0,0,0,1,0,0,0,693
101,"ALLMIGHTI SCHOOL MADEHGANJ SITAPUR ROAD  ROOM NO -2",578,462,0,1040,368,281,0,649,540,0,36,8,150,406,16,2,2,0,1,1,2,3,0,4,0,2,2,2,3,3,1,0,0,1,0,1,0,0,1,2,649
102,"ALLMIGHTI SCHOOL MADEHGANJ SITAPUR ROAD ROOM NO -3",762,661,0,1423,495,412,0,907,869,0,66,46,174,535,18,1,1,0,2,1,2,3,2,5,2,11,6,3,2,4,1,1,0,2,3,3,2,0,4,7,907
103,"ALLMIGHTI SCHOOL MADEHGANJ SITAPUR ROAD  ROOM NO -4",696,597,0,1293,443,308,0,751,400,0,48,21,151,513,5,0,0,0,1,0,1,1,0,1,0,3,1,1,0,0,0,0,0,1,1,0,1,0,0,1,751
104,"ALLMIGHTI SCHOOL MADEHGANJ SITAPUR ROAD  ROOM NO -5",685,635,0,1320,435,373,0,808,803,0,58,11,22,674,12,0,1,1,0,3,1,0,0,1,1,3,2,1,3,5,0,1,2,1,0,2,0,1,0,2,808
105,"AWAD AZUCATIONAL SCHOOL MADEHGANJ SITAPUR ROAD  ROOM NO -1",607,527,0,1134,361,271,0,632,623,0,48,19,252,287,6,1,0,1,0,1,1,3,2,2,3,0,2,1,0,0,0,0,0,0,0,1,0,0,1,1,632
