"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KU. DEVENDRA SINGH YADAV","2 - NOOR MOHAMMAD KHAN","3 - RAJVEER SINGH RAJU BHAIYA","4 - TH. JOGINDRA SINGH BHADORIYA","5 - RAJENDRA","6 - VINAY","7 - THAKUR HEMENDRA VEER SINGH","8 - HANS  RAJ SINGH","9 - DANVEER","10 - RAKESH GANDHI","11 - RAJVEER SINGH","12 - None of the Above","Total Votes Secured"
13,"SHERWANI INTER COLLEGE NEOLI ROOM NO. 1",692,574,0,1266,317,258,0,575,562,0,247,75,230,5,0,1,2,3,0,2,7,3,575
14,"SHERWANI INTER COLLEGE NEOLI ROOM NO. 2",701,594,0,1295,356,359,0,715,310,0,72,160,432,23,0,3,3,0,3,7,4,8,715
15,"PR.PATH.MIRZAPUR M. MANPUR NAGRIA",763,621,0,1384,414,331,0,745,344,0,274,159,274,10,2,2,2,6,0,1,9,6,745
16,"PR.PATH. MAUJAMPUR HUSAINPUR ROOM NO.1",597,446,0,1043,304,178,0,482,480,0,129,69,227,19,1,1,1,5,4,6,7,13,482
17,"PR.PATH. MAUJAMPUR HUSAINPUR ROOM NO.2",398,331,0,729,210,155,0,365,365,0,56,111,175,5,1,1,2,2,0,3,7,2,365
18,"JR.H.S.GADHARPURA M.BASUPURA ROOM NO.1",593,440,0,1033,380,253,0,633,597,0,221,35,352,6,2,0,1,0,2,2,8,4,633
19,"JR.H.S.GADHARPURA M.BASUPURA ROOM NO.2",358,295,0,653,184,112,0,296,195,0,43,87,119,38,0,2,0,0,0,1,4,2,296
20,"PR.PATH. N.KAIYAN M.BASUPURA",386,300,0,686,233,173,0,406,406,0,65,58,157,101,0,2,3,4,2,3,8,3,406
21,"PR.PATH. MALHAR NAGAR ROOM NO.1",804,674,0,1478,452,354,0,806,800,0,211,204,335,6,2,3,3,4,7,7,14,10,806
22,"PR.PATH. MALHAR NAGAR ROOM NO.2",312,269,0,581,158,128,0,286,200,0,41,43,178,6,1,1,2,0,3,2,6,3,286
23,"PR.PATH. MALHAR NAGAR ROOM NO.3",686,545,0,1231,492,341,0,833,800,0,232,197,123,255,2,4,0,1,1,3,5,10,833
24,"PR.PATH PATNA M. RAIPURPATNA",571,497,0,1068,388,312,0,700,200,0,154,71,451,10,0,2,0,1,2,1,4,4,700
25,"PR.PATH RAIPUR M. RAIPURPATNA",703,576,0,1279,392,314,0,706,650,0,83,3,598,8,0,0,3,0,2,3,4,2,706
26,"PR.PATH GUDGUDI",723,620,0,1343,543,455,0,998,708,0,51,52,849,7,0,2,3,1,3,7,17,6,998
27,"PR.PATH. BHARATPUR",298,263,0,561,246,177,0,423,419,0,23,10,371,6,2,1,1,0,1,1,5,2,423
28,"PR.PATH, HASANPUR.",357,292,0,649,239,183,0,422,422,0,166,39,196,6,1,1,1,1,1,1,6,3,422
29,"PR.PATH, NEOLI.",542,428,0,970,312,272,0,584,524,0,59,177,330,2,1,1,1,1,1,4,4,3,584
30,"PR.PATH, CHANDWA PUKHTA",803,689,1,1493,486,377,0,863,530,0,166,98,557,16,3,4,0,0,2,4,9,4,863
31,"PR.PATH, MANIKAPUR ROOM NO.1",659,529,0,1188,395,285,0,680,600,0,397,100,133,23,1,1,5,2,0,6,2,10,680
32,"PR.PATH, MANIKAPUR ROOM NO.2",311,264,0,575,172,134,0,306,205,0,29,23,178,39,4,6,5,4,3,10,4,1,306
33,"PR.PATH, MUJAFFARNAGAR",415,377,0,792,280,258,0,538,500,0,253,40,229,3,0,1,0,2,0,3,4,3,538
34,"PR.PATH, MANGADPUR",455,385,0,840,269,196,0,465,360,0,42,58,284,48,1,1,4,2,5,7,12,1,465
35,"PR.PATH, NAGLA BADAN",412,322,0,734,286,207,0,493,493,0,136,15,295,25,3,2,4,5,0,1,7,0,493
36,"NAVNIRMIT PR.PATH. BAJNAGAR SAFED",686,588,0,1274,402,311,0,713,713,0,128,217,336,5,0,2,2,4,0,3,12,4,713
37,"PR.PATH, MOHAMMADPUR",548,471,0,1019,316,234,0,550,550,0,62,122,220,105,3,6,2,2,2,11,10,5,550
38,"PR.PATH, KUNWARPUR",511,430,0,941,331,241,0,572,572,0,110,66,317,59,0,1,0,1,2,4,6,6,572
39,"PR.PATH, NAUGAWAN M. KUNWARPUR",386,364,0,750,281,226,0,507,506,0,81,3,190,216,3,5,1,3,0,3,2,0,507
40,"PR.PATH, ROSHAN NAGAR.ROOM NO.1",811,596,0,1407,523,353,0,876,872,0,69,363,409,4,1,5,1,2,3,6,8,5,876
41,"PR.PATH, ROSHAN NAGAR.ROOM NO.2",232,168,0,400,141,52,0,193,193,0,56,4,124,3,1,1,0,0,0,0,3,1,193
42,"PR.PATH. N.ISHWARI M. ROSHAN NAGAR.",329,278,0,607,208,186,0,394,394,0,8,143,212,22,1,1,4,0,1,1,0,1,394
43,"PR.PATH, SYARPUR M.ROSHAN NAGAR",298,254,0,552,223,175,0,398,221,0,36,56,169,130,1,0,0,1,1,3,0,1,398
44,"PR.PATH, GONDRAGANJ M. ROSHAN NAGAR.",254,207,0,461,210,168,0,378,270,0,345,11,20,0,1,0,0,0,1,0,0,0,378
45,"PR.PATH, DEEPPUR",599,468,0,1067,381,270,0,651,649,0,23,42,547,11,0,1,0,0,1,21,1,4,651
46,"PR.PATH. GADIA HIMOLI",349,309,0,658,226,193,0,419,419,0,37,16,289,59,2,1,2,1,4,6,2,0,419
47,"PR.PATH. TARAPUR",374,321,0,695,264,213,0,477,477,0,37,109,313,5,1,1,2,1,0,1,5,2,477
48,"PR.PATH. ALHEDINPUR",500,421,0,921,351,300,0,651,551,0,188,244,190,3,1,1,3,1,1,8,5,6,651
49,"UCHH PR.VIDYALAY, KHALIKPUR",397,352,0,749,336,230,0,566,566,0,3,69,480,4,1,0,1,0,0,3,2,3,566
50,"PR.PATH. BHILOLI ROOM NO.1",474,386,0,860,268,171,0,439,208,0,15,29,298,77,2,2,1,0,1,7,4,3,439
51,"PR.PATH. BHILOLI ROOM NO.2",512,458,0,970,386,318,0,704,610,0,4,623,62,4,0,1,1,0,2,0,3,4,704
52,"PR.PATH. TALI M.LAKHMIPUR SUNDAR SINGH ROOM NO.1",645,472,0,1117,355,201,0,556,256,0,167,51,310,13,1,2,3,1,1,2,5,0,556
53,"PR.PATH. TALI M.LAKHMIPUR SUNDAR SINGH ROOM NO.2",767,660,0,1427,402,381,0,783,683,0,158,74,514,11,3,6,0,0,1,7,4,5,783
54,"PR.PATH. YAKUTGANJ M.LAKHMIPUR GOPAL SINGH  ROOM NO.1",662,592,0,1254,399,295,0,694,685,0,84,205,364,5,3,4,2,4,1,10,4,8,694
55,"PR.PATH. YAKUTGANJ M.LAKHMIPUR GOPAL SINGH  ROOM NO.2",421,333,0,754,250,185,0,435,416,0,73,12,327,7,2,0,0,0,4,4,3,3,435
56,"PR.PATH. FARIDPUR M.LAKHMIPUR GOPAL SING",737,569,0,1306,536,349,0,885,880,0,674,172,24,1,0,2,0,1,0,2,1,8,885
57,"PR.PATH. HANSI M.MIRAPUR",521,429,0,950,391,309,0,700,689,0,593,8,89,0,1,0,0,1,3,1,2,2,700
58,"PR.PATH. RAJPURA",234,198,0,432,134,111,0,245,245,0,7,87,139,1,0,2,1,1,0,2,3,2,245
59,"PR.PATH. BADARI KALA",452,387,0,839,295,275,0,570,570,0,2,276,282,0,0,0,1,1,1,3,3,1,570
60,"JANTA U.M.VIDYALAY, BADARI KALA BHANUPURA.",351,272,0,623,213,199,0,412,312,0,12,5,383,1,0,1,1,0,1,5,2,1,412
61,"PR.PATH. SHEKHPUR NARRAI",523,448,0,971,393,305,0,698,132,0,70,1,615,3,0,0,0,0,1,3,4,1,698
62,"PR.PATH. LALUPURA",481,413,0,894,370,351,0,721,635,0,13,54,645,4,0,1,0,1,0,2,1,0,721
63,"PR.PATH. CHANDI",455,395,0,850,446,311,0,757,25,0,721,1,29,0,0,2,0,1,0,0,0,3,757
64,"PR.PATH. NAWAWGANJ",466,368,0,834,257,165,0,422,422,0,76,19,297,5,2,2,2,1,0,3,6,9,422
65,"AMARGURU J.H.SCHOOL NAWAWGANJ ROOM NO.1",574,496,0,1070,355,175,0,530,530,0,208,52,241,8,2,2,1,1,3,2,4,6,530
66,"AMARGURU J.H.SCHOOL NAWAWGANJ ROOM NO.2",456,351,0,807,196,171,0,367,210,0,91,112,143,6,0,2,2,1,0,4,2,4,367
67,"PR.PATH.BADAGAON ROOM NO.1",676,545,1,1222,377,313,0,690,677,0,130,76,451,5,5,2,2,3,4,6,3,3,690
68,"PR.PATH.BADAGAON ROOM NO.2",695,572,1,1268,251,225,0,476,440,0,148,259,36,2,0,3,2,5,2,5,7,7,476
69,"PR.PATH.PARTAPPUR MOHAMMAD KHAN",468,366,0,834,366,244,0,610,600,0,379,94,129,4,0,1,0,0,0,0,3,0,610
70,PR.PATH.CHANDPUR,181,163,0,344,160,146,0,306,305,0,8,16,273,2,0,0,0,2,0,3,2,0,306
71,"PR.PATH. JAMALPUR ROOM NO.1",650,527,0,1177,439,312,0,751,751,0,31,26,666,9,1,2,1,1,0,5,6,3,751
72,"PR.PATH. JAMALPUR ROOM NO.2",639,535,0,1174,449,366,0,815,390,0,67,4,718,8,1,3,2,1,0,2,8,1,815
73,"U. PR.VIDYALAY BONDAR ROOM NO.1",754,579,0,1333,384,288,0,672,630,0,98,177,366,5,0,1,1,1,1,5,8,9,672
74,"U. PR.VIDYALAY BONDAR ROOM NO.2",355,301,0,656,133,112,0,245,163,0,47,23,154,2,0,0,0,0,2,2,10,5,245
75,"PR.PATH. MADIA M. BONDAR",349,259,0,608,208,156,0,364,312,0,11,200,145,2,0,0,1,0,0,1,3,1,364
76,"PR.PATH. SAHAWAR ROOM NO.1",460,428,1,889,304,265,0,569,568,0,168,19,364,1,0,4,1,2,1,0,2,7,569
77,"PR.PATH. SAHAWAR ROOM NO.2",402,374,0,776,237,230,0,467,363,0,263,36,157,3,0,1,0,0,0,2,3,2,467
78,"KANYA PR.PATH. SAHAWAR GATE KE SAMNE ROOM NO.1",489,383,0,872,279,223,0,502,170,0,162,9,314,0,1,3,1,1,2,2,4,3,502
79,"KANYA PR.PATH. SAHAWAR GATE KE SAMNE ROOM NO.2",518,456,0,974,301,284,0,585,203,0,277,53,235,0,0,4,1,1,0,2,4,8,585
80,"ISLAMIA INTER COLLEGE, SAHAWAR ROOM NO.1",746,660,0,1406,431,351,0,782,782,0,611,85,76,2,0,2,1,1,0,0,0,4,782
81,"ISLAMIA INTER COLLEGE, SAHAWAR ROOM NO.2",809,734,1,1544,463,391,0,854,814,0,165,338,314,11,5,1,4,1,0,5,5,5,854
82,"GANDHI INTER COLLEGE, SAHAWAR ROOM NO.1",699,585,0,1284,479,375,0,854,733,0,650,143,36,0,0,3,3,3,0,3,3,10,854
83,"GANDHI INTER COLLEGE, SAHAWAR ROOM NO.2",437,411,1,849,266,225,0,491,462,0,108,62,285,6,1,2,1,1,2,5,6,12,491
84,"GANDHI INTER COLLEGE, SAHAWAR ROOM NO.3",472,384,0,856,264,212,0,476,401,0,207,32,217,0,0,2,2,1,1,4,2,8,476
85,"GANDHI INTER COLLEGE, SAHAWAR ROOM NO.4",585,496,0,1081,361,290,0,651,428,0,406,34,202,2,1,2,1,1,0,0,1,1,651
86,"VIKAS KHAND KARYALAY, SAHAWAR ROOM NO.1",550,499,0,1049,417,300,0,717,633,0,634,71,5,0,2,2,0,0,0,0,1,2,717
87,"MEETING HALL VIKAS KHAND KARYALAY SAHAWAR",491,424,0,915,338,262,0,600,536,0,456,134,0,0,1,0,1,0,0,1,3,4,600
88,"VIKAS KHAND KARYALAY, SAHAWAR ROOM NO.2",634,555,0,1189,363,288,0,651,605,0,478,146,21,1,0,1,1,2,0,0,1,0,651
89,"TOWN AREA KARYALAY SAHAWAR",639,549,0,1188,393,309,0,702,476,0,133,38,511,2,0,5,3,0,1,3,2,4,702
90,"KSHETRIYA SAHKARI SAMITI SAHAWAR SA BARAMDE MAI",791,716,0,1507,444,374,0,818,388,0,316,81,382,10,1,3,0,1,3,4,7,10,818
91,"PR.PATH. GUNAR",656,524,0,1180,536,416,0,952,853,0,635,273,39,0,0,2,0,1,1,0,1,0,952
92,"PR.PATH. TAJPUR",656,569,0,1225,392,313,0,705,703,0,45,24,559,37,0,2,4,1,1,7,18,7,705
93,"PR.PATH. JOHRI",453,366,0,819,274,220,0,494,404,0,20,216,240,3,1,1,2,0,2,2,4,3,494
94,"PR.PATH. KANOI ROOM NO.1",792,640,0,1432,282,421,0,703,494,0,669,15,9,1,0,0,0,0,1,0,7,1,703
95,"PR.PATH. KANOI ROOM NO.2",545,465,0,1010,168,216,0,384,300,0,137,93,149,0,0,1,1,0,0,1,2,0,384
96,"PR.PATH. SADIQPUR",596,533,0,1129,331,328,0,659,200,0,171,303,173,9,0,0,1,0,0,1,1,0,659
97,"PR.PATH. RAYON",517,431,0,948,333,306,0,639,250,0,16,160,426,9,3,2,3,1,0,4,7,8,639
98,"JR.HITH SCHOOL, CHHITONI",393,319,0,712,193,165,0,358,300,0,82,75,182,3,0,1,3,2,2,1,6,1,358
99,"PR.PATH. RARA",704,619,0,1323,240,408,0,648,275,0,383,8,230,4,3,1,3,1,1,2,4,8,648
100,"PR.PATH. FATEHPUR TA.MOHANPUR",451,370,0,821,252,220,0,472,310,0,147,37,265,4,0,2,1,1,2,2,3,8,472
101,"PR.PATH. MAU M.BASTARMAU",517,437,0,954,342,381,0,723,575,0,40,187,479,2,4,0,2,1,0,1,4,3,723
102,"PR.PATH. NAGLA DEVI M. BASTARMAU",346,266,0,612,344,173,0,517,208,0,468,0,46,0,0,1,0,0,0,0,2,0,517
103,"PR.PATH. BASTAR M. BASTARMAU",621,524,0,1145,344,320,0,664,164,0,93,123,426,2,3,1,1,1,0,4,6,4,664
104,"PR.PATH. JALALPUR M. BASTARMAU",223,198,0,421,207,186,0,393,393,0,387,1,2,0,0,0,0,0,1,1,0,1,393
105,"PR.PATH. KHARPARA",556,458,0,1014,301,249,0,550,250,0,17,129,322,72,1,2,0,2,0,1,4,0,550
106,"PR.PATH. BAHARPUR",473,396,0,869,301,241,0,542,533,0,16,156,192,162,2,5,2,0,2,3,0,2,542
107,"UCHH PR.V.JETHAR",525,438,0,963,386,300,0,686,550,0,88,7,578,2,0,0,0,3,0,4,4,0,686
108,"PR.PATH. LAHRA",240,196,0,436,155,140,0,295,28,0,135,51,102,2,0,0,0,1,1,1,1,1,295
109,"PR.PATH. N. UMMED M. LAHRA",234,226,0,460,213,203,0,416,406,0,10,1,399,0,0,0,0,0,0,1,2,3,416
110,"PR.PATH. N. LAXMAN M. LAHRA",248,201,0,449,198,186,0,384,367,0,34,1,341,2,0,1,0,1,1,0,2,1,384
111,"PR.PATH. N.NENSUKH",447,379,0,826,280,259,0,539,533,0,19,350,163,0,1,2,1,0,1,1,1,0,539
112,"PR.PATH. PADARATHPUR",498,431,0,929,274,243,0,517,516,0,28,50,429,1,0,0,1,1,1,2,2,2,517
113,"U.P.V.GADKA ROOM NO.1",680,541,0,1221,321,267,0,588,588,0,427,84,68,0,1,0,2,1,0,1,3,1,588
114,"U.P.V.GADKA ROOM NO.2",858,666,0,1524,378,312,0,690,690,0,626,40,14,0,2,2,1,1,1,1,0,2,690
115,"PR.PATH. HASANPUR M. PITHANPUR",598,475,0,1073,249,115,0,364,327,0,231,27,99,1,1,0,0,0,1,0,2,2,364
116,"PR.PATH. VIKRAMPUR M. PITHANPUR",264,232,0,496,157,129,0,286,160,0,14,76,186,2,0,1,0,1,0,1,3,2,286
117,"U.PRA.V.SEWANPUR ROOM NO.1",677,538,0,1215,389,270,0,659,259,0,531,109,8,0,0,1,1,2,1,0,1,5,659
118,"U.PRA.V.SEWANPUR ROOM NO.2",712,576,0,1288,487,375,0,862,862,0,584,266,5,0,0,0,1,1,0,0,1,4,862
119,"U.PRA.VIDYALAY, EGAWAN",386,346,0,732,269,247,0,516,515,0,53,52,324,63,0,0,3,0,1,6,9,5,516
120,"PR.PATH. GANESHPUR",335,280,0,615,305,235,0,540,539,0,11,7,508,4,0,0,0,1,1,3,3,2,540
121,"PR.PATH. NATHUPUR",557,466,0,1023,388,306,0,694,240,0,162,6,497,7,1,1,1,0,2,5,6,6,694
122,"PR.PATH. NAUPTI M.NATHUPUR",433,383,0,816,377,318,0,695,675,0,26,6,650,4,1,0,0,1,1,1,4,1,695
123,"U.PRA.VIDYALAY, ABHUPURA",204,195,0,399,134,132,0,266,252,0,6,17,229,2,0,2,0,2,0,6,1,1,266
124,"PR.PATH. KHITOLI ROOM NO.1",694,593,0,1287,280,361,0,641,641,0,609,22,7,0,1,0,0,0,0,0,0,2,641
125,"PR.PATH. KHITOLI ROOM NO.2",649,568,0,1217,332,295,0,627,627,0,310,31,267,5,0,0,0,1,0,4,3,6,627
126,"PR.PATH. SARSAWA",245,224,0,469,203,203,0,406,35,0,29,92,284,0,0,0,0,1,0,0,0,0,406
127,"PR.PATH. N.MOHAN M. SARSAWA",468,412,0,880,325,308,0,633,633,0,113,3,508,4,0,2,0,2,0,0,1,0,633
128,"PR.PATH. FAROLI ROOM NO.1",471,403,0,874,263,225,0,488,35,0,40,158,282,1,0,1,0,2,1,1,0,2,488
129,"PR.PATH. FAROLI ROOM NO.2",430,360,0,790,309,257,0,566,86,0,24,328,205,2,0,1,1,0,0,0,0,5,566
130,"PR.PATH. KHUDATAL M.FAROLI",453,393,0,846,383,283,0,666,490,0,15,9,624,3,0,1,1,0,0,9,1,3,666
131,"PR.PATH. SAINTI",147,139,0,286,113,125,0,238,238,0,13,215,3,2,0,1,2,0,0,1,0,1,238
132,"PR.PATH. BINPUR KALA UTTARI",824,660,1,1485,518,382,0,900,800,0,446,216,208,6,0,4,1,2,1,2,4,10,900
133,"PR.PATH. BINPUR KALA DAKSHINI",568,475,0,1043,345,271,0,616,408,0,234,18,344,5,2,0,1,1,3,1,5,2,616
134,"PR.PATH. NAGLA TALI",235,196,0,431,168,160,0,328,116,0,1,15,308,0,0,1,1,0,0,1,0,1,328
135,"PR.PATH. AMIRASA",293,248,0,541,179,171,0,350,350,0,59,27,231,6,2,7,2,0,2,3,8,3,350
136,"PR.PATH.RAMNAGAR M. AMIRASA",325,273,0,598,194,136,0,330,102,0,55,116,143,3,0,1,2,0,0,3,5,2,330
137,"PR.PATH.NAGARIA M. BODA NAGARIA",305,260,0,565,213,157,0,370,275,0,96,12,239,2,0,14,1,0,0,0,5,1,370
138,"UCHH PR.VI.N.BHOORH M BODA NAGARIA",294,244,0,538,187,153,0,340,337,0,65,7,101,151,1,3,0,0,1,6,1,4,340
139,"PR.PATH. KALIYANPUR M.BODA NAGARIA",336,258,0,594,224,127,0,351,351,0,114,4,189,3,0,35,2,0,0,0,3,1,351
140,"PR.PATH. ITWARPUR",771,658,0,1429,500,409,0,909,908,0,186,114,530,49,1,2,9,0,0,7,10,1,909
141,"CH.INTER COLLEGE, JAHANGIRPUR",423,364,0,787,239,203,0,442,268,0,48,45,309,8,3,2,2,2,2,7,7,7,442
142,"PR.PATH. IMLIA M.KHOJPUR",594,515,0,1109,423,375,0,798,480,0,97,372,149,155,0,3,5,0,1,3,8,5,798
143,"PR.PATH. KHOJPUR",441,381,0,822,235,216,0,451,429,0,45,48,343,6,1,0,0,0,0,1,4,3,451
144,"PR.PATH. HIRAPUR M.  KHOJPUR ROOM NO.1",729,632,0,1361,250,425,0,675,559,0,168,12,457,12,5,3,0,0,0,4,9,5,675
145,"PR.PATH. HIRAPUR M.  KHOJPUR ROOM NO.2",307,264,0,571,89,129,0,218,129,0,52,6,140,1,0,0,2,0,2,4,4,7,218
146,"PR.PATH. BANJARI M.  KHOJPUR",377,311,0,688,213,182,0,395,255,0,7,188,181,0,0,0,0,1,0,1,10,7,395
147,"PR.PATH. BAHAPUR M.  KHOJPUR",668,537,0,1205,452,323,0,775,250,0,52,10,673,10,1,3,3,4,1,10,1,7,775
148,"PR.PATH. NAGLA NAHAR M.  KHOJPUR",199,165,0,364,126,107,0,233,226,0,52,93,77,3,0,0,0,1,0,2,1,4,233
149,"PR.PATH. UDRANPUR M.  KHOJPUR",367,314,0,681,267,226,0,493,316,0,3,81,400,5,1,1,0,1,0,1,0,0,493
150,"UCHH PR.VI. MIDOL BUJURG",467,410,0,877,247,201,0,448,309,0,16,61,342,5,0,2,1,2,1,3,9,6,448
151,"PR.PATH. DHAKPURA M.MIDOL BUJURG",406,339,0,745,282,227,0,509,509,0,32,116,344,5,0,1,2,0,0,2,6,1,509
152,"PR.PATH. BHUJPURA",271,223,0,494,161,132,0,293,293,0,16,0,268,3,0,1,1,0,1,0,1,2,293
153,PR.PATH.KODRA,213,188,0,401,129,103,0,232,232,0,20,1,191,3,0,1,3,1,4,3,2,3,232
154,"PR.PATH. SAROTHI",191,164,0,355,122,88,0,210,197,0,15,10,182,2,0,1,0,0,0,0,0,0,210
155,"PR.PATH. N.KUNDAN",248,220,0,468,217,196,0,413,294,0,11,0,381,4,1,3,0,3,0,5,3,2,413
156,"PR.PATH. SARSAI NARU",646,498,0,1144,394,300,0,694,650,0,74,253,347,6,0,1,1,0,0,3,5,4,694
157,"PR.PATH. RAMPUR",723,604,0,1327,454,354,0,808,805,0,160,278,312,9,1,3,3,3,2,5,18,14,808
158,"PR.PATH. THARA CHITRA",667,597,0,1264,406,351,0,757,740,0,166,30,526,3,1,0,2,5,0,8,9,7,757
159,"PR.PATH. N.HATHI M.BHADERI",219,208,0,427,183,177,0,360,360,0,33,28,292,3,0,1,0,0,0,2,0,1,360
160,U.PR.V.BHADERI,603,526,0,1129,279,384,0,663,533,0,214,55,373,2,1,1,3,5,0,3,5,1,663
161,"PR.PATH. KACHHELA SHERPUR ROOM NO.1",564,456,0,1020,313,256,0,569,563,0,13,435,100,4,1,1,3,1,0,2,4,5,569
162,"PR.PATH. KACHHELA SHERPUR ROOM NO.2",621,533,0,1154,334,267,0,601,344,0,44,127,389,11,1,2,0,2,3,7,5,10,601
163,"PR.PATH. BUDTHRA M. KACHHELA SHERPUR",621,550,0,1171,450,355,0,805,644,0,63,19,697,5,0,0,2,0,3,5,4,7,805
164,"PR.PATH.SHERPUR M. KACHHELA SHERPUR",247,218,0,465,151,139,0,290,284,0,17,74,187,2,2,1,3,0,0,1,1,2,290
165,PR.PATH.YADGARPUR,518,458,0,976,292,216,0,508,301,0,100,78,309,10,0,1,2,1,2,0,3,2,508
166,PR.PATH.BASAWANPUR,368,315,0,683,222,183,0,405,239,0,39,205,100,49,1,3,1,0,3,0,2,2,405
167,PR.PATH.BEHTA,309,268,0,577,155,132,0,287,258,0,115,40,57,67,1,3,1,0,0,3,0,0,287
168,"U.PR.V.BEHTA ROOM NO.1",630,491,0,1121,281,226,0,507,412,0,59,349,79,3,1,0,0,1,0,1,9,5,507
169,"U.PR.V.BEHTA ROOM NO.2",293,246,0,539,167,134,0,301,301,0,17,148,128,1,0,0,1,0,2,3,0,1,301
170,PR.PATH.SUJANPUR,317,260,0,577,188,173,0,361,346,0,65,255,28,3,0,0,0,0,0,1,5,4,361
171,PR.PATH.MUBARIKPUR,272,240,0,512,146,141,0,287,228,0,39,58,180,0,0,0,2,0,1,3,1,3,287
172,"PR.PATH.BADARI KHURD",488,396,0,884,343,266,0,609,609,0,70,26,491,5,1,0,4,3,1,5,1,2,609
173,PR.PATH.MAJIDPUR,244,192,0,436,136,104,0,240,139,0,67,158,14,0,0,0,0,0,1,0,0,0,240
174,PR.PATH.NIMRI,565,483,0,1048,410,342,0,752,752,0,77,105,540,5,0,0,1,1,2,9,7,5,752
175,PR.PATH.REKHPUR,495,421,0,916,247,209,0,456,456,0,26,198,221,2,0,0,2,0,1,4,1,1,456
176,"PR.PATH.SELAI ROOM NO.1",450,381,0,831,292,247,0,539,337,0,37,4,491,1,0,2,0,0,0,1,3,0,539
177,"PR.PATH.SELAI ROOM NO.2",491,439,0,930,356,292,0,648,310,0,52,16,556,2,1,2,0,1,0,2,8,8,648
178,PR.PATH.KISHORPUR,566,492,0,1058,355,261,0,616,616,0,82,11,489,7,3,1,0,0,0,9,8,6,616
179,PR.PATH.DARUAPUR,483,385,0,868,357,264,0,621,436,0,141,95,369,9,0,0,1,0,1,2,1,2,621
180,"PR.PATH.NAGLA SAHJAN M. MUNAWWARPUR",400,327,0,727,245,172,0,417,280,0,52,16,338,2,0,0,2,1,0,4,0,2,417
181,"PR.PATH.NAGLA KOTHI M. KASIMPUR MIHARI",443,391,0,834,249,206,0,455,455,0,188,44,205,4,0,1,0,1,2,2,5,3,455
182,"PR.PATH.MIHARI M.KASIMPUR MIHARI",586,505,0,1091,435,356,0,791,405,0,78,70,624,8,0,0,2,2,1,1,3,2,791
183,"PR.PATH.DIHARI M.KASIMPUR MIHARI",261,227,0,488,188,176,0,364,338,0,79,13,259,1,0,1,1,1,1,3,4,1,364
184,"PR.PATH.NAGLA SAMAS M.BARI KHERA",732,601,0,1333,615,438,0,1053,641,0,12,30,983,13,0,0,0,1,2,5,4,3,1053
