"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - MULAYAM SINGH YADAV","2 - SHATRUGHAN SINGH CHAUHAN","3 - DR. SANGHMITRA MAURYA","4 - ABU NASIM PATHAN","5 - BABA HARDEV SINGH","6 - SHISHUPAL SINGH","7 - SATENDRA VEER SINGH CHAUHAN","8 - ASHOK KUMAR","9 - ALOK NANDAN","10 - MUKESH KUMAR","11 - MUKESH KUMAR SHAKYA","12 - RAJESHWARI","13 - HAKIM SINGH","14 - None of the Above","Total Votes Secured"
33,"P.P. TISAULI ROOM 1",453,407,0,860,302,236,0,538,538,0,138,142,231,3,7,0,0,2,3,1,4,1,1,5,538
34,"P.P. TISAULI ROOM 2",737,644,0,1381,375,316,0,691,691,0,163,265,231,2,2,1,1,1,4,0,5,2,4,10,691
35,"P.P. DHAUKALPUR",384,341,0,725,265,213,0,478,478,0,329,17,109,1,4,0,0,0,2,0,5,3,2,6,478
36,"P.P. JAILI",395,344,0,739,253,173,0,426,426,0,107,300,10,1,2,0,0,0,6,0,0,0,0,0,426
37,"P.P. JIRAULI ROOM 1",507,446,0,953,255,167,0,422,422,0,151,134,123,0,0,1,0,0,3,0,1,1,2,6,422
38,"AMAR SHAHEED JADUNATH CHAUHAN P.M.V. JIRAULI",467,424,0,891,240,179,0,419,419,0,125,246,35,2,0,1,0,0,3,1,1,0,2,3,419
39,"P.P. SHASTRI NAGAR",377,337,0,714,165,210,0,375,375,0,265,77,10,1,4,0,1,0,6,1,1,0,0,9,375
40,"P.P. BARAJPUR",256,235,0,491,127,93,0,220,220,0,78,132,1,0,0,0,0,0,4,1,0,0,1,3,220
41,"P.P. KUNJALPUR SAHARA PURV ROOM",458,409,0,867,295,216,0,511,511,0,72,394,14,1,1,0,1,2,12,1,2,4,3,4,511
42,"P.P. NAGLA DEVI ROOM 1",567,482,0,1049,352,264,0,616,616,0,118,340,141,0,4,0,0,0,6,0,4,2,0,1,616
43,"J.H.SCHOOL SAHARA PURV ROOM",477,463,0,940,298,261,0,559,559,0,37,471,33,0,3,2,0,0,5,1,2,1,2,2,559
44,"J.H.SCHOOLPAKSHIM ROOM",352,303,0,655,201,169,0,370,370,0,35,191,136,0,0,0,0,0,2,0,3,1,2,0,370
45,"P.P. BABEENA",353,326,0,679,284,223,0,507,507,0,165,294,37,0,1,0,0,0,2,0,1,1,2,4,507
46,"P.P. NAGLA BHAJAN ROOM1",426,401,0,827,185,171,0,356,356,0,150,106,71,1,5,1,1,0,5,3,0,1,5,7,356
47,"PANCHAYAT GHAR TEJPURA",455,429,0,884,285,225,0,510,510,0,90,353,25,4,2,3,2,2,15,0,2,1,4,7,510
48,"P.P. CHITAUA",368,327,0,695,333,230,0,563,563,0,99,439,7,0,2,0,0,1,4,1,0,2,4,4,563
49,"P.P. DHANMAU",574,503,0,1077,316,243,0,559,559,0,211,176,161,3,0,0,1,1,1,1,1,0,2,1,559
50,"P.P. KHATANA",479,454,0,933,235,227,0,462,462,0,90,171,180,2,3,0,0,1,5,1,3,1,3,2,462
51,"P.P. NAGLA JEESUKH",259,236,0,495,162,133,0,295,295,0,92,170,21,0,1,0,0,0,6,1,1,0,2,1,295
52,"P.P. KINHAWAR ROOM 1",411,379,0,790,185,160,0,345,341,0,134,155,28,0,5,1,0,2,14,1,2,0,1,2,345
53,"P.P. KINHAWAR ROOM 2",431,380,0,811,234,181,0,415,405,0,135,203,56,1,2,1,0,1,6,1,1,1,2,5,415
54,"KANYA P.P. KINHAWAR",361,320,0,681,231,201,0,432,431,0,129,21,270,1,1,0,0,0,2,0,3,3,0,2,432
55,"ANGAN BADI KENDRA BADANPUR",209,186,0,395,186,156,0,342,302,0,14,1,325,1,0,0,0,0,0,0,1,0,0,0,342
56,"P.P. BHAVICHANDPUR ROOM 1",419,365,0,784,195,173,0,368,368,0,92,93,168,1,1,0,0,0,6,2,1,1,2,1,368
57,"P.P. BHAVICHANDPUR ROOM 2",267,231,0,498,166,137,0,303,3,0,51,237,2,0,2,1,0,0,3,0,0,1,2,4,303
58,"P.P. DULHAPUR PURV ROOM",231,206,0,437,193,151,0,344,55,0,22,290,11,1,0,0,0,0,8,1,1,1,5,4,344
59,"P.P. AURANDH ROOM1",404,355,0,759,198,187,0,385,255,0,26,284,70,0,3,0,0,0,1,0,0,0,0,1,385
60,"P.P. AURANDH ROOM2",566,489,0,1055,280,255,0,535,208,0,50,378,84,0,0,0,0,2,8,1,0,1,4,7,535
61,"P.P. BHOOTA",319,269,0,588,219,168,0,387,380,0,116,145,111,2,0,1,0,0,5,1,0,1,3,2,387
62,"DAYANAND INTER COLLEGE ALEEPUR KHEDA ROOM 1",728,645,0,1373,387,330,0,717,467,0,190,140,334,8,4,2,0,2,7,2,8,4,6,10,717
63,"DAYANAND INTER COLLEGE ALEEPUR KHEDA ROOM 2",701,607,0,1308,382,294,0,676,223,0,434,180,44,0,1,0,1,1,5,1,2,1,3,3,676
64,"DAYANAND INTER COLLEGE ALEEPUR KHEDA ROOM 3",441,402,0,843,282,214,0,496,493,0,85,352,27,2,0,1,3,4,12,1,0,1,6,2,496
65,"J.H. SCHOOL BARDHANIA",570,506,0,1076,345,241,0,586,586,0,115,452,8,0,3,0,0,0,4,1,0,0,1,2,586
66,"P.P. BARDHANIA",319,278,0,597,198,156,0,354,5,0,25,224,86,2,0,0,0,0,5,2,2,0,6,2,354
67,"PANCHAYAT BHAVAN BALARPUR",289,257,0,546,169,162,0,331,331,0,74,180,48,0,21,0,0,1,2,0,2,0,1,2,331
68,"P.P. RAMNAGAR",252,235,0,487,218,137,0,355,355,0,84,232,28,0,4,0,0,1,2,0,3,1,0,0,355
69,"P.P. JAGATPUR ROOM 1",404,349,0,753,184,190,0,374,373,0,80,281,4,0,0,0,1,0,3,0,2,0,1,2,374
70,"P.P. JAGATPUR ROOM 2",390,343,0,733,194,155,0,349,347,0,33,286,21,0,2,1,0,0,3,0,0,0,2,1,349
71,"P.V. NAGLA UJEER",320,265,0,585,177,149,0,326,324,0,184,81,3,1,26,1,0,0,6,2,1,2,6,13,326
72,"P.P. SURAJPUR",280,258,0,538,249,197,0,446,399,0,16,378,32,1,0,1,1,2,10,0,1,0,1,3,446
73,"P.P. BARKHEDA",343,294,0,637,247,164,0,411,247,0,96,297,3,0,3,0,0,0,5,1,2,2,1,1,411
74,"P.P. DUDHAUNA ROOM 1",455,416,0,871,300,260,0,560,560,0,227,208,109,0,7,0,0,1,2,0,0,1,2,3,560
75,"P.P. DEVGUNJ",260,229,0,489,238,128,0,366,281,0,114,127,98,0,6,0,0,1,4,0,3,3,5,5,366
76,"P.P. BURRACHAK SAHARA",381,333,0,714,275,206,0,481,460,0,217,254,2,0,0,0,1,0,3,0,0,0,0,4,481
77,"P.P BHANAU",740,626,0,1366,420,240,0,660,460,0,254,324,64,0,2,0,0,1,8,0,1,1,1,4,660
78,"P.P. AKBELPUR",280,248,0,528,256,213,0,469,275,0,33,357,72,1,2,0,0,0,4,0,0,0,0,0,469
79,"P.P. DALPATPUR",512,451,0,963,408,341,0,749,749,0,727,1,17,0,3,0,0,0,0,0,0,0,0,1,749
80,"P.P. GADIYA GOVINDEPUR",465,399,0,864,317,265,0,582,200,0,66,458,33,2,7,1,0,1,3,2,0,3,3,3,582
81,"P.P. CHATURIBARI",190,167,0,357,161,140,0,301,50,0,44,249,2,0,0,0,1,0,2,0,0,0,2,1,301
82,"J.H. SCHOOL ASAFPUR",246,215,0,461,179,104,0,283,283,0,17,245,10,2,0,0,1,0,3,1,1,0,0,3,283
83,"P.P. HUSSAINPUR",246,211,0,457,205,150,0,355,355,0,8,333,2,0,2,0,0,0,5,0,1,0,1,3,355
84,"P.P. KALYANPUR",414,348,0,762,340,207,0,547,498,0,369,97,73,2,0,0,0,0,3,0,1,0,0,2,547
85,"PANCHAYAT GHAR JASRATHPUR",222,194,0,416,166,139,0,305,299,0,63,149,78,0,1,0,0,0,7,0,0,2,2,3,305
86,"P.P. BARHAT",340,309,0,649,195,163,0,358,293,0,61,180,92,1,0,1,1,1,8,0,3,2,1,7,358
87,"P.P. MANIKPUR ROOM 1",585,497,0,1082,285,219,0,504,504,0,150,168,151,2,1,0,2,0,13,2,2,0,1,12,504
88,"P.P. MANIKPUR ROOM 2",393,353,0,746,193,178,0,371,371,0,85,189,67,0,5,1,0,1,8,3,4,1,2,5,371
89,"P.P. VIKRAMPUR",458,413,0,871,384,312,0,696,475,0,547,128,6,2,1,1,0,0,0,0,0,1,2,8,696
90,"P.P. ALIPURPATTI UTTARI ROOM 1",511,459,0,970,281,190,0,471,471,0,62,199,193,1,1,0,1,0,6,0,1,4,2,1,471
91,"P.P. ALIPURPATTI UTTARI ROOM 3",374,324,0,698,195,148,0,343,269,0,135,178,8,0,8,0,0,0,6,0,1,0,1,6,343
92,"P.P. ALIPURPATTI DAKSHANI ROOM",485,468,1,954,274,227,1,502,483,0,199,242,33,1,12,0,1,0,5,2,0,2,1,4,502
93,"P.P. SHIVPLAPUR",788,688,0,1476,565,463,0,1028,803,0,168,720,84,0,4,0,2,2,20,0,3,5,6,14,1028
94,"P.P. KAMALPUR",239,209,0,448,135,100,0,235,113,0,49,157,17,0,0,0,0,0,6,0,1,2,3,0,235
95,"P.P. VILON ROOM1",569,482,0,1051,294,197,0,491,283,0,183,150,137,0,2,0,0,0,10,3,1,1,0,4,491
96,"P.P. VILON ROOM2",562,466,0,1028,265,152,0,417,360,0,189,155,54,2,1,0,0,1,5,2,2,2,1,3,417
97,"P.P. NAKA",515,458,0,973,394,290,0,684,357,0,60,545,57,1,2,0,0,0,9,1,2,3,2,2,684
98,"P.P. NAGLA DHURA",191,175,0,366,159,133,0,292,58,0,291,1,0,0,0,0,0,0,0,0,0,0,0,0,292
99,"P.P. NAGLA CHIRRA",400,344,0,744,383,302,0,685,645,0,665,15,2,0,2,0,0,0,0,0,0,0,0,1,685
100,"P.P. SULTANGUNJ",438,398,0,836,224,203,0,427,5,0,227,62,110,1,4,1,1,3,3,1,3,4,4,3,427
101,"J.H. SCHOOL SULTANGUNJ",455,409,0,864,250,186,0,436,380,0,217,157,26,1,12,0,0,0,10,0,0,0,2,11,436
102,"P.P. FAKAITA",143,127,0,270,137,117,0,254,210,0,251,3,0,0,0,0,0,0,0,0,0,0,0,0,254
103,"BHAKTAVATSAL INTER COLLEGE VICHWA1",627,548,0,1175,365,279,0,644,644,0,189,308,109,5,1,0,1,0,10,2,4,2,5,8,644
104,"BHAKTAVATSAL INTER COLLEGE VICHWA2",635,580,0,1215,350,307,0,657,442,0,196,244,196,1,5,0,1,1,7,1,0,0,2,3,657
105,"P.P. NAGLA DHARAPUR",215,198,0,413,140,129,0,269,50,0,141,50,52,0,1,0,0,2,5,0,3,3,1,11,269
106,"J.H. SCHOOL SURJANPUR 1",613,525,0,1138,496,340,0,836,735,0,738,32,55,1,1,0,0,0,2,0,1,0,0,6,836
107,"P.P. HAVILIYA",166,145,0,311,155,128,0,283,283,0,267,7,3,1,0,0,1,0,0,0,1,0,0,3,283
108,"P.P. SANTOSHPUR",364,291,0,655,224,164,0,388,360,0,246,21,65,0,45,0,0,0,2,0,2,1,2,4,388
109,"P.P. FARDPUR",398,364,0,762,254,219,0,473,456,0,145,193,115,1,2,0,1,0,5,2,2,0,3,4,473
110,"P.P. MALPUR",599,574,0,1173,380,351,0,731,731,0,156,479,66,2,4,0,0,0,11,1,3,0,2,7,731
111,"P.P. PAL",532,470,0,1002,382,275,0,657,648,0,237,134,272,0,1,0,0,2,4,0,2,0,1,4,657
112,"PANCHAYAT GHAR SURAJPUR",212,187,0,399,169,147,0,316,315,0,79,223,2,1,0,0,0,0,3,2,1,2,2,1,316
113,"P.P. MAKKHANPUR",417,363,0,780,274,226,0,500,483,0,106,365,6,0,4,0,0,1,6,1,2,1,3,5,500
114,"P.P. BARA SURAJPUR",317,290,0,607,217,204,0,421,421,0,52,89,262,2,0,0,2,1,5,1,2,1,1,3,421
115,"P.P. JAMAURA",705,595,0,1300,406,304,0,710,710,0,203,405,56,4,21,0,0,2,9,1,0,1,2,6,710
116,"P.P. HARGANPUR",258,222,0,480,163,132,0,295,295,0,39,237,9,0,0,0,0,0,5,1,1,0,0,3,295
117,"P.P. DULI BHAG MISAURA",211,197,0,408,153,128,0,281,261,0,86,187,3,0,0,0,0,1,0,0,0,0,2,2,281
118,"P.P. SULKHANPUR",476,404,0,880,309,236,0,545,540,0,138,188,197,0,1,0,0,3,5,2,1,2,3,5,545
119,"P.M.V. SULKHANPUR",350,323,0,673,176,149,0,325,200,0,75,96,135,2,0,0,2,0,5,0,5,1,0,4,325
120,"P.P. PARSADPUR",322,283,0,605,243,179,0,422,335,0,40,326,40,1,1,0,0,0,12,0,1,0,0,1,422
121,"P.P. KULIPUR",366,303,0,669,270,190,0,460,460,0,96,352,2,0,0,0,0,1,6,1,1,0,1,0,460
122,"P.P. CHHACHA UTTARI ROOM",792,694,0,1486,422,425,0,847,837,0,154,437,221,6,2,0,0,0,14,2,5,2,4,0,847
123,"P.P. CHHACHA DAKSHANI ROOM",692,576,0,1268,399,320,0,719,692,0,114,393,187,0,5,0,2,0,6,0,2,3,3,4,719
124,"P.P. DWARIKAPUR",383,324,0,707,278,222,0,500,50,0,65,404,9,0,0,0,2,0,11,1,0,0,4,4,500
125,"KANYA P.P. BANHAR",485,406,0,891,399,274,0,673,672,0,60,462,127,0,1,1,1,1,14,0,1,1,1,3,673
126,"P.P. JAGATPURA MAJRA CHHACHA",419,338,0,757,279,199,0,478,272,0,121,149,195,0,5,0,0,0,3,2,0,2,1,0,478
127,"P.P. UMARIHAR",459,420,0,879,343,273,0,616,616,0,76,502,12,1,2,0,0,1,10,3,2,0,3,4,616
128,"P.P. CHANDERPUR",528,423,0,951,355,230,0,585,585,0,450,79,45,3,3,0,0,0,1,0,0,2,1,1,585
129,"P.P. GIGAURA",337,303,0,640,207,175,0,382,300,0,29,225,111,1,0,0,0,0,6,1,2,4,0,3,382
130,"P.P. JALALPUR",414,360,0,774,253,222,0,475,475,0,86,213,153,2,4,0,0,0,8,0,1,1,3,4,475
131,"P.P. JAMTHARI",504,438,0,942,317,236,0,553,517,0,434,45,64,0,4,0,1,0,0,0,0,0,1,4,553
132,"P.P. NAGLA NAYA BHAG JAMTHARI",403,338,0,741,248,157,0,405,50,0,81,257,31,0,15,0,2,0,16,1,0,0,1,1,405
133,"P.P. NAGLA DEEPA",771,616,0,1387,672,534,0,1206,1206,0,1161,37,3,0,2,0,0,0,0,0,0,0,1,2,1206
134,"P.P. RAMNAGAR",342,309,0,651,192,190,0,382,377,0,82,93,182,1,1,0,1,0,6,1,4,5,2,4,382
135,"P.P. NAGLA LAU",348,306,0,654,234,150,0,384,378,0,42,242,93,1,1,1,0,0,3,0,0,0,1,0,384
136,"J.H. SCHOOL AHIRVA UTTARI ROOM",701,563,0,1264,351,243,0,594,500,0,192,296,88,0,2,0,0,0,5,1,2,1,1,6,594
137,"J.H. SCHOOL AHIRVA DAKSHANI ROOM",779,585,0,1364,438,280,0,718,680,0,322,123,231,0,3,1,3,3,4,1,7,5,5,10,718
138,"P.P. NAGLA MANGALI",471,397,0,868,365,221,0,586,586,0,59,472,31,8,2,1,0,0,8,0,1,2,2,0,586
139,"P.P. NARAYANIPUR",478,419,0,897,282,189,0,471,401,0,303,93,64,2,0,1,0,0,4,0,0,0,0,4,471
140,"P.P. SOOJAPUR",404,342,0,746,287,215,0,502,297,0,29,455,5,0,0,1,0,0,6,0,0,1,2,3,502
141,"P.P. NAGLA MUKUND",328,294,0,622,284,219,0,503,50,0,109,303,79,0,1,0,0,0,3,0,2,0,1,5,503
142,"RAJKIY DIKSHA VIDHYALAY MAHAVATPUR",526,498,0,1024,350,284,0,634,50,0,62,456,103,1,0,1,0,0,5,1,0,1,0,4,634
143,"P.P. NAGLA SHEESH",513,461,0,974,325,283,0,608,608,0,296,217,81,1,0,0,0,0,4,0,0,2,3,4,608
144,"P.P. NAGLA KHARA",386,358,0,744,207,198,0,405,405,0,299,85,6,0,0,0,1,0,4,2,2,3,0,3,405
145,"P.P. DEVIPUR",474,422,0,896,357,272,0,629,612,0,610,5,9,0,2,0,0,0,0,0,0,0,0,3,629
146,"P.P. DURGAPUR JASANPUR",236,208,0,444,176,157,0,333,302,0,50,273,2,0,0,0,1,0,3,1,0,0,1,2,333
147,"P.P. JOGPUR",265,238,0,503,197,143,0,340,340,0,37,277,3,1,0,0,1,1,11,0,0,3,3,3,340
148,"P.P. RAJVANA",506,420,0,926,295,208,0,503,503,0,120,261,91,4,1,1,0,2,11,3,5,3,1,0,503
149,"P.V. SHIVPURA",352,306,0,658,272,226,0,498,471,0,94,389,4,0,0,0,0,0,9,0,0,0,1,1,498
150,"P.P. NIJAMPUR",307,287,0,594,222,173,0,395,96,0,24,328,10,1,1,0,2,0,8,1,5,1,3,11,395
151,"P.P. NIJAMPUR 2",396,351,0,747,259,191,0,450,100,0,61,348,24,1,3,0,0,0,9,1,0,1,0,2,450
152,"P.P. RAKRI",501,431,0,932,261,205,0,466,451,0,99,305,45,1,0,3,0,1,7,1,1,1,1,1,466
153,"P.V, NIHALPUR PAKSHMI ROOM",139,136,0,275,105,96,0,201,192,0,59,135,0,0,2,0,0,0,4,0,0,1,0,0,201
154,"P.P. RAKRA",545,488,0,1033,306,225,0,531,531,0,100,304,93,3,2,1,1,0,4,1,3,2,7,10,531
155,"P.P. MURADPUR NAGARIYA",325,293,0,618,179,150,0,329,200,0,66,236,18,0,0,2,0,0,2,0,1,0,0,4,329
156,"P.P. SATGHARA",446,392,0,838,360,278,0,638,629,0,53,542,7,0,18,0,0,1,9,1,0,2,1,4,638
157,"P.P. APOORPUR",266,232,0,498,187,146,0,333,213,0,35,264,17,0,2,0,0,1,6,1,4,1,2,0,333
158,"KANYA P.P. BARAULI",720,610,0,1330,454,372,0,826,826,0,54,611,107,0,21,0,1,0,12,0,4,1,5,10,826
159,"HANS SARVODYA J.H. SCHOOL TAKHRAU JEEVANPUR",578,517,0,1095,367,276,0,643,633,0,65,538,7,1,2,0,1,1,8,0,3,7,5,5,643
160,"P.P. HIMAUPUR",660,585,0,1245,489,322,0,811,811,0,34,695,50,2,9,0,0,1,7,1,1,1,5,5,811
161,"P.P. BHVANI NAGAR DANCHAURA",532,488,0,1020,326,244,0,570,564,0,129,362,49,3,1,0,0,0,14,1,0,1,5,5,570
162,"P.P. VIRSINGHPUR",215,182,0,397,140,109,0,249,249,0,77,163,1,0,2,0,0,0,3,0,0,1,1,1,249
163,"P.M.V. NOORAMPUR",456,394,0,850,370,241,0,611,611,0,578,27,5,0,1,0,0,0,0,0,0,0,0,0,611
164,"P.P. JASRAJPUR",384,337,0,721,220,220,0,440,338,0,102,215,113,0,0,0,1,1,3,2,2,0,0,1,440
165,"P.P. BHAINSRAULI UTTARI ROOM",637,532,0,1169,362,228,0,590,590,0,109,322,139,2,2,0,1,2,6,0,1,0,1,5,590
166,"P.P. BHAINSRAULI DAKSHNI ROOM",696,581,0,1277,395,299,0,694,153,0,344,76,253,4,0,0,0,0,0,0,2,1,6,8,694
167,"P.P. DAYANATPUR MOTA",420,338,0,758,209,144,0,353,353,0,44,247,41,0,8,0,1,1,10,0,1,0,0,0,353
168,"P.P. MADDAPUR BHOGI",209,181,0,390,112,76,0,188,183,0,57,88,34,0,1,0,0,0,4,1,1,0,2,0,188
169,"P.P. TIKURI DAKSHANI ROOM",503,429,0,932,292,231,0,523,523,0,56,293,123,0,10,0,0,2,16,4,5,2,5,7,523
170,"P.P. MADDAPUR DHARAM",354,300,0,654,216,161,0,377,285,0,66,137,157,2,0,0,1,1,5,0,1,1,3,3,377
171,"P.P. MADHAUNAGAR",385,350,0,735,256,187,0,443,100,0,83,256,92,0,1,0,0,0,6,0,1,1,1,2,443
172,"P.P. TIGWA",237,195,0,432,211,147,0,358,98,0,347,6,3,0,0,0,0,0,0,0,0,0,1,1,358
173,"P.P. HASANPUR MALLAMAI",219,192,0,411,139,128,0,267,217,0,20,5,234,4,1,0,0,0,0,0,1,1,0,1,267
174,"P.V. BEELPURKHAS",385,326,0,711,245,176,0,421,374,0,69,312,23,1,5,0,0,0,5,3,1,1,0,1,421
175,"P.M.V. VINODPUR",762,672,0,1434,506,365,0,871,847,0,318,243,260,2,7,0,1,1,9,3,2,6,5,14,871
176,"P.P. MAYACHANDPUR",375,340,0,715,253,190,0,443,414,0,63,215,151,0,0,0,0,1,6,0,1,1,3,2,443
177,"P.P. PARTAPUR",304,284,0,588,179,176,0,355,355,0,145,95,93,2,3,0,0,0,2,0,9,1,1,4,355
178,"P.P. NARSINGHPUR",248,216,0,464,193,147,0,340,340,0,103,149,75,0,0,1,0,1,8,1,0,1,0,1,340
179,"PANCHAYAT GHAR SINGHAI",134,116,0,250,95,86,0,181,181,0,2,3,172,2,0,0,0,0,0,0,1,0,1,0,181
180,"P.P. AMHERA PURV ROOM",700,596,0,1296,367,300,0,667,415,0,290,143,197,1,0,0,1,1,11,2,3,2,4,12,667
181,"P.P. POORANPUR",273,235,0,508,199,158,0,357,355,0,268,76,9,0,1,0,0,0,0,0,0,1,0,2,357
182,"P.P. NAURANGABAD",217,181,0,398,174,112,0,286,274,0,206,74,4,0,0,0,0,0,1,0,0,0,0,1,286
183,"P.P. MAHDIYA",240,199,0,439,145,126,0,271,271,0,53,211,3,0,0,0,0,0,1,0,1,1,1,0,271
184,"P.P. MERAPUR CHDAMI",668,592,1,1261,398,313,1,712,707,0,59,340,270,3,2,0,3,1,14,2,3,7,3,5,712
185,"P.P. ARAMSARAI",506,419,0,925,292,223,0,515,513,0,79,384,35,1,1,0,0,2,9,0,0,1,0,3,515
186,"M.J.H. SCHOOL ARAM SARAY",509,409,0,918,233,153,0,386,376,0,68,254,56,1,1,0,1,0,4,0,1,0,0,0,386
187,"P.P. NAGLAPAYI ROOM 1",278,221,0,499,268,175,0,443,428,0,37,383,4,0,1,1,1,0,9,0,2,0,2,3,443
188,"KANYA P.V. ARAMSARAY",232,201,0,433,176,116,0,292,289,0,239,48,4,0,0,0,0,0,0,0,0,0,0,1,292
189,"P.P. NAGLA MADHU",240,201,0,441,156,122,0,278,165,0,254,6,12,0,0,0,0,0,0,0,0,0,1,5,278
190,"P.P. JASRAJPUR",214,164,0,378,152,98,0,250,248,0,88,7,152,1,0,0,0,0,1,1,0,0,0,0,250
