"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AKSHAY YADAV","2 - ATUL CHATURVEDI","3 - TH. VISHWADEEP SINGH","4 - PROF. S.P. SINGH BAGHEL","5 - UPENDRA SINGH","6 - KHAJAN SINGH","7 - JAY PRAKASH","8 - RAKESH YADAV","9 - RAJENDRA PRASAD","10 - RAHAT AFROZ","11 - LAXMI","12 - LAKSHMI  NARAYAN","13 - SHAMSHER KHA","14 - MIRJA MUKARRAM BAIG","15 - RAJVEER","16 - None of the Above","Total Votes Secured"
20,"P0 S0 JODHPUR",290,205,0,495,247,137,0,384,134,0,310,0,1,69,2,1,0,0,0,1,0,0,0,0,0,0,384
21,"P0 S0 NAGALA PASI",396,295,0,691,369,207,0,576,466,0,350,4,14,200,2,0,0,1,1,0,0,1,1,0,0,2,576
22,"J0 H0 UDESAR GAJADHAR SINGH R.N.1",619,512,0,1131,513,398,0,911,183,0,589,3,53,251,4,0,2,1,0,1,1,0,0,0,3,3,911
23,"J0 H0 UDESAR GAJADHAR SINGH R.N.2",334,260,0,594,331,193,0,524,226,0,504,0,1,15,0,0,0,0,0,0,0,0,0,0,0,4,524
24,"P.P.NAGALA KHEDA",424,322,0,746,404,297,0,701,550,0,691,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,701
25,"P0 P0 NINAVALI",787,617,0,1404,600,363,0,963,362,0,909,1,3,45,2,0,0,1,0,0,0,0,2,0,0,0,963
26,"P0 P0 BHAGANER R.N. 1",582,501,0,1083,447,325,0,772,724,0,223,4,131,385,6,1,0,2,1,2,0,5,6,2,1,3,772
27,"P0 P0 BHAGANER R.N. 2",466,389,0,855,365,264,0,629,627,0,417,4,6,193,3,0,0,0,1,0,0,2,2,0,1,0,629
28,"J0 H0 NAGALA AKOLA",663,566,0,1229,543,440,0,983,783,0,805,4,4,155,4,1,2,0,1,0,0,0,1,1,1,4,983
29,"P0 P0 AAPUR R.N. 1",682,550,0,1232,411,342,0,753,735,0,160,5,97,458,8,0,1,1,0,2,1,2,4,2,4,8,753
30,"P0 P0 AAPUR R.N. 2",313,271,0,584,218,150,0,368,366,0,122,2,3,225,5,1,0,0,0,0,0,1,2,0,2,5,368
31,"P0 P0 SANMATI",309,263,0,572,201,164,0,365,362,0,26,4,6,325,1,1,1,0,0,0,0,0,1,0,0,0,365
32,"P0 P0 KAILAI R.N. 1",481,379,0,860,279,194,0,473,473,0,160,4,60,238,3,0,1,0,0,0,0,0,0,1,2,4,473
33,"P0 P0 KAILAI R.N. 2",260,242,0,502,198,152,0,350,350,0,12,3,0,324,4,2,3,0,0,0,0,0,1,0,1,0,350
34,"P0 P0 NAGALA HARISINGH PUR",389,348,0,737,286,244,0,530,526,0,103,4,7,390,9,1,0,2,1,1,0,3,2,1,3,3,530
35,"P0 S0 MORACHA",222,185,0,407,131,124,0,255,237,0,19,1,40,190,3,0,1,0,0,0,0,1,0,0,0,0,255
36,"P0 P0 SUJAYATPUR",507,402,0,909,357,305,0,662,662,0,72,3,78,485,4,0,3,0,1,0,1,2,1,2,4,6,662
37,"P. P. NAGALA SWAMI",393,331,0,724,263,200,0,463,462,0,85,3,3,353,3,1,2,1,0,0,0,2,6,0,3,1,463
38,"P. P. NAGALA BHARA",268,237,0,505,205,153,0,358,358,0,198,3,38,112,4,0,0,0,0,0,0,0,0,1,1,1,358
39,"P. P. GANESHPUR NAGRIYA",645,455,0,1100,419,239,0,658,640,0,133,4,92,410,1,2,2,0,0,0,0,1,5,1,1,6,658
40,"P. P. RAJPUR KHAS",661,519,0,1180,488,287,0,775,775,0,437,3,9,313,4,0,2,1,0,1,0,1,1,0,1,2,775
41,"P. P. UMMEDPUR",357,263,0,620,283,169,0,452,444,0,218,5,10,206,3,2,1,1,0,0,0,0,2,1,1,2,452
42,"J.H.RAJPUR KHAS NIKAT KUWVARPUR",238,211,0,449,177,163,0,340,330,0,128,1,3,197,2,0,1,1,0,0,0,0,4,0,3,0,340
43,"S.P.G.E.K. AKA",535,427,0,962,457,352,0,809,800,0,233,5,19,530,4,1,4,1,0,1,1,3,4,0,3,0,809
44,"P.P DHARMPUR",270,229,0,499,203,143,0,346,346,0,181,6,15,134,2,1,1,1,0,0,0,0,0,0,2,3,346
45,"K.P.P.EKA R.N. 1",835,661,0,1496,607,460,0,1067,1067,0,432,7,112,492,3,1,1,2,0,0,0,1,2,3,5,6,1067
46,"K.P.P.EKA R.N. 2",440,330,0,770,282,203,0,485,481,0,133,2,7,329,3,1,2,2,0,0,0,0,3,1,1,1,485
47,"P.P CHIMARARI",386,297,0,683,280,163,0,443,440,0,121,3,15,289,3,0,1,2,0,0,0,1,3,1,0,4,443
48,"BLAK SANSADHAN KENDRA EKA",168,147,0,315,102,112,0,214,214,0,208,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,214
49,"P.P. RAMNAGAR",197,182,0,379,148,122,0,270,270,0,252,1,5,12,0,0,0,0,0,0,0,0,0,0,0,0,270
50,"P.P. NAGALA SVETA",622,472,0,1094,495,331,0,826,814,0,340,10,42,425,4,0,0,2,0,0,0,1,1,0,0,1,826
51,"P.P. EKA R.N. 1",612,520,0,1132,409,327,0,736,736,0,211,9,203,297,5,2,0,1,0,0,0,0,0,1,2,5,736
52,"P.P. EKA R.N. 2",762,633,0,1395,465,353,0,818,617,0,336,5,10,449,5,1,1,1,0,0,2,2,0,0,1,5,818
53,"P.P. NAGALA CHITTAR",160,140,0,300,139,117,0,256,254,0,213,0,1,40,1,0,0,0,0,0,0,0,1,0,0,0,256
54,"P.P. GADANPUR",730,499,0,1229,603,410,0,1013,1011,0,941,1,8,54,0,0,1,3,0,1,0,0,3,0,0,1,1013
55,"P.P. FATEHPUR PATH",253,207,0,460,207,111,0,318,318,0,190,2,4,118,1,1,0,0,0,1,0,0,1,0,0,0,318
56,"P.P. MUHABBATPUR",362,289,0,651,304,215,0,519,518,0,493,1,0,20,0,0,1,0,0,0,0,0,0,0,0,4,519
57,"P.P. JAITPUR",213,157,0,370,142,94,0,236,236,0,106,0,3,122,0,0,0,0,0,0,1,0,2,0,1,1,236
58,"P.P. CHHITALI",202,202,1,405,172,168,0,340,340,0,336,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,340
59,"U. M. V. SURAYA",569,476,0,1045,333,267,0,600,580,0,253,6,22,301,6,0,1,3,0,1,2,0,1,4,0,0,600
60,"P.P. KODARA R.N. 1",631,463,1,1095,511,285,0,796,776,0,566,5,102,111,0,0,2,0,0,0,0,1,4,2,1,2,796
61,"P.P. KODARA R.N. 2",562,427,0,989,399,331,0,730,730,0,715,4,1,3,0,1,0,0,0,1,0,0,1,0,3,1,730
62,"P.P. KUCHALPURA",203,166,0,369,159,121,0,280,280,0,261,1,1,15,0,0,0,0,0,0,0,0,0,0,1,1,280
63,"P.P. CHIDARAI PRATHVISINGH",557,423,0,980,395,228,0,623,622,0,186,4,183,233,3,0,0,2,0,0,2,1,1,2,1,5,623
64,"P.P. IKHU",516,377,0,893,308,229,0,537,536,0,149,4,149,222,3,0,0,1,0,0,2,0,1,2,1,3,537
65,"P.P. NAGALA RANJIT",221,144,0,365,155,96,0,251,251,0,32,0,10,206,1,0,1,0,0,0,0,0,1,0,0,0,251
66,"P.P. KUTHILA VATOLAR",279,231,0,510,186,173,0,359,359,0,77,2,46,226,1,0,0,0,0,0,0,2,4,0,0,1,359
67,"P.P. DHARMPUR",239,199,0,438,185,151,0,336,336,0,19,1,30,281,2,0,0,0,0,0,0,1,0,1,1,0,336
68,"P.P. HIMMATPUR",381,270,0,651,275,159,0,434,431,0,195,4,98,127,2,1,0,2,0,0,0,0,0,1,3,1,434
69,"P.P. RUDRAPUR",325,232,0,557,198,166,0,364,364,0,113,1,4,229,4,2,0,2,0,0,1,0,5,2,0,1,364
70,"P.P. NAGALA BHIKI",227,187,0,414,195,127,0,322,322,0,249,5,2,62,2,0,0,1,0,1,0,0,0,0,0,0,322
71,P.P.THARUA,772,594,0,1366,681,490,0,1171,1160,0,1008,3,36,107,0,0,0,16,0,0,0,0,0,0,1,0,1171
72,"P.P. KHERIAMA R.N. 1 ( SITHAT MIHILAL)",517,422,0,939,375,258,0,633,633,0,551,5,3,68,1,0,0,3,0,0,0,1,0,0,1,0,633
73,"P.P. KHERIAMA R.N. 2 ( SITHAT MIHILAL)",387,334,0,721,243,195,0,438,438,0,394,2,4,32,0,0,0,1,1,1,0,1,0,1,1,0,438
74,"P.P. NAGALA PIPAL",238,181,0,419,202,142,0,344,42,0,342,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,344
75,"P.P. KATANA R.N. 1",301,224,0,525,151,193,0,344,342,0,240,6,12,74,0,0,1,1,1,0,0,1,3,1,1,3,344
76,"P.P. KATANA R.N. 2",269,215,0,484,208,152,0,360,352,0,348,1,0,8,0,0,0,0,0,0,0,0,0,0,1,2,360
77,"P.P. DHAKPURA",313,241,0,554,245,153,0,398,298,0,229,1,22,137,1,2,2,1,0,0,0,1,0,0,1,1,398
78,"P.P. NAGALA JORI",262,194,0,456,210,146,0,356,356,0,291,2,6,54,0,0,0,2,0,0,0,0,0,0,1,0,356
79,"P.P. NAGALA JAGANNATH",190,148,0,338,141,94,0,235,232,0,118,2,9,96,3,0,1,1,0,1,0,0,1,1,0,2,235
80,"P.P. RAJGARH",574,463,0,1037,558,362,0,920,919,0,725,5,118,59,1,0,0,1,0,1,0,0,1,3,1,5,920
81,"P.P. NAGALA BHAT",290,246,0,536,211,137,0,348,348,0,285,6,17,35,1,0,0,0,0,0,0,0,0,1,1,2,348
82,"P.P. BHADANA",876,699,0,1575,508,440,0,948,850,0,624,13,115,168,5,1,1,1,1,0,0,1,1,4,5,8,948
83,"P.P. NAGALA DIVARI",280,214,0,494,213,157,0,370,364,0,39,1,2,319,0,0,4,0,0,1,0,2,0,0,1,1,370
84,"P.P. PURKHEDA",489,387,0,876,411,330,0,741,741,0,690,1,11,33,0,0,0,1,0,0,0,1,1,0,1,2,741
85,"P.P. NAVALPUR",494,425,0,919,351,284,0,635,635,0,344,1,2,275,5,0,1,0,0,0,1,0,3,0,1,2,635
86,"P.P. KHERIYA SHIKAMI GAUHANA",368,287,0,655,325,232,0,557,554,0,530,1,16,9,0,0,0,0,0,0,0,0,0,0,0,1,557
87,"P.P. GOHANA",202,166,0,368,144,112,0,256,256,0,37,0,103,112,0,1,1,0,0,0,0,0,0,0,0,2,256
88,"P.P. FAZILPUR JARAILA",222,208,1,431,198,166,0,364,361,0,13,0,7,337,0,1,1,0,0,0,0,0,3,0,1,1,364
89,"PAVAN SUT E.KA.SUNAV",424,335,0,759,275,202,0,477,400,0,277,7,10,164,1,1,0,1,0,0,0,0,2,4,2,8,477
90,"P.P. ULAYATPUR",209,165,0,374,203,138,0,341,339,0,317,1,2,20,0,0,0,0,0,0,0,0,0,0,1,0,341
91,"J.H. PILAKHAR FATEH",615,517,0,1132,424,311,0,735,735,0,414,8,12,272,7,1,2,4,0,3,0,1,3,2,4,2,735
92,"K.P.P. PILAKHTAR FATEH",232,191,0,423,201,110,0,311,311,0,247,0,30,34,0,0,0,0,0,0,0,0,0,0,0,0,311
93,"P.P. NAGALA SUKHI",279,209,0,488,223,165,0,388,388,0,364,1,13,5,0,0,0,0,0,0,0,0,0,0,3,2,388
94,"P.P. NAGALA NAUJAR",337,263,0,600,294,177,0,471,471,0,445,0,5,19,0,0,0,0,0,0,0,1,0,0,1,0,471
95,"P.P. DEVA",773,591,0,1364,586,322,0,908,903,0,535,6,86,266,4,0,0,1,0,0,0,0,1,1,3,5,908
96,"P.P PILAKHTAR JAIT R.N. 1",574,447,0,1021,296,172,0,468,463,0,316,5,65,76,2,0,0,2,0,0,0,0,0,0,2,0,468
97,"P.P PILAKHTAR JAIT R.N. 2",340,279,0,619,163,87,0,250,249,0,224,2,0,22,0,0,0,0,0,0,0,0,0,0,1,1,250
98,"P.P. JEDA R.N. 1",530,426,0,956,514,331,0,845,508,0,820,3,2,18,0,0,0,0,2,0,0,0,0,0,0,0,845
99,"P.P. JEDA R.N. 2",476,398,0,874,391,336,0,727,724,0,629,0,12,62,2,2,0,0,4,1,1,1,3,1,2,7,727
100,"SHREEMATI MARGSHREE E0 K0 PAIDHAT R.N. 1",421,375,0,796,377,334,0,711,711,0,668,2,1,37,0,0,0,0,0,0,0,0,1,0,1,1,711
101,"SHREEMATI MARGSHREE E0 K0 PAIDHAT R.N. 2",399,299,0,698,395,238,0,633,633,0,578,1,0,49,0,0,0,4,0,0,0,0,0,0,0,1,633
102,"SHREEMATI MARGSHREE E0 K0 PAIDHAT R.N. 3",491,429,0,920,458,363,0,821,821,0,748,2,0,57,0,1,0,6,1,0,2,0,1,0,0,3,821
103,"INTER COLLEGE PAIDHAT",796,623,0,1419,660,500,0,1160,1155,0,1137,0,3,20,0,0,0,0,0,0,0,0,0,0,0,0,1160
104,"P.P. GAHERI",594,553,0,1147,550,357,0,907,881,0,799,6,23,64,2,0,1,1,1,0,0,0,0,1,6,3,907
105,"P.P. KACHHAVAI",678,555,1,1234,572,447,0,1019,1017,0,859,2,93,62,1,0,0,0,0,0,0,0,0,1,0,1,1019
106,"P.P. YANGMURPUR PAVRAI",352,278,0,630,253,190,0,443,438,0,365,0,6,68,0,0,0,1,0,0,0,1,0,1,0,1,443
107,"P.P. KARENJUA (NAGALA THANA)",372,321,0,693,353,284,0,637,637,0,516,1,4,100,10,0,0,0,0,0,1,0,2,1,2,0,637
108,"J0 H0 KAURARI SARHAD",410,349,0,759,409,291,0,700,700,0,643,3,28,22,3,0,0,0,0,0,0,0,0,1,0,0,700
109,"PANCHAYAT GHAR AJAYAVPUR",219,195,0,414,201,155,0,356,339,0,293,1,48,13,0,0,0,0,0,0,0,0,0,0,0,1,356
110,"P.P. MACHHARIYA N0 FATEH",406,359,0,765,388,330,0,718,718,0,695,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,718
111,"P.P. CHIRAVALI",384,358,0,742,356,311,0,667,667,0,594,0,62,10,0,0,0,0,1,0,0,0,0,0,0,0,667
112,"PANCHAYAT GHAR VARTHARA",433,388,0,821,307,261,0,568,568,0,161,2,238,163,0,0,0,0,0,0,0,0,0,0,1,3,568
113,"P.P. VARTHARA",183,159,0,342,140,115,0,255,237,0,30,0,7,214,1,0,0,0,0,0,0,1,1,1,0,0,255
114,"PU. M.V. KESHPURA",245,240,0,485,158,143,0,301,301,0,100,2,139,57,1,0,1,0,0,0,0,0,0,1,0,0,301
115,"PANCHAYAT GHAR N. KANS",245,201,0,446,224,184,0,408,408,0,30,0,1,373,1,0,2,0,0,0,0,0,0,0,0,1,408
116,"P.P. ETAHARI R.N. 1",538,409,0,947,464,356,0,820,820,0,774,5,0,39,1,0,1,0,0,0,0,0,0,0,0,0,820
117,"P.P. ETAHARI R.N. 2",557,436,0,993,516,378,0,894,890,0,774,4,37,74,0,0,0,2,0,0,0,0,0,0,2,1,894
118,"P.P. FARIHA R.N. 1",699,528,0,1227,459,302,0,761,726,0,339,6,122,278,0,1,1,0,0,0,0,0,5,3,1,5,761
119,"P.P. FARIHA R.N. 2",825,656,0,1481,515,387,0,902,710,0,214,6,8,666,0,0,1,2,0,0,0,1,0,0,3,1,902
120,"P.P. FARIHA R.N. 3",613,499,0,1112,384,252,0,636,576,0,163,1,19,433,2,0,2,0,0,0,1,4,2,1,5,3,636
121,"P.P. DABHARA",194,163,0,357,187,129,0,316,296,0,305,0,1,8,0,0,1,0,0,0,0,0,0,0,0,1,316
122,"P.P. GULAMAI",259,206,0,465,189,136,0,325,325,0,82,0,195,44,0,0,1,1,0,0,0,0,0,1,1,0,325
123,"P.P. AGAUDHA",344,272,0,616,243,157,0,400,400,0,125,1,30,227,3,0,0,0,0,0,0,1,3,0,4,6,400
124,"PANCHYAT GHAR ANDHPURA",217,181,0,398,181,125,0,306,306,0,121,0,179,1,0,0,0,0,0,0,0,0,0,2,1,2,306
125,"P.P. VALIPUR TAPSYA",832,691,0,1523,621,501,0,1122,1122,0,204,1,156,735,6,2,0,2,0,1,1,0,2,2,5,5,1122
126,"P.P. RAKHAVALI R.N. 1",154,127,0,281,101,98,0,199,188,0,28,2,28,139,0,0,0,0,0,0,0,0,1,0,0,1,199
127,"P.P. RAKHAVALI R.N. 2",543,445,0,988,325,242,0,567,433,0,145,3,73,312,6,1,0,0,0,1,0,0,12,5,2,7,567
128,"P.P. RANIPUR",429,334,0,763,309,197,0,506,506,0,251,1,181,65,1,1,0,0,0,0,0,1,0,4,0,1,506
129,"P.P. AHAMADPUR MADHA",354,279,0,633,345,244,0,589,588,1,570,0,1,17,1,0,0,0,0,0,0,0,0,0,0,0,589
130,"P.P. MADHA",397,300,0,697,317,193,0,510,510,0,455,7,8,28,1,0,0,0,1,0,0,0,0,0,2,8,510
131,"P.P. SHEKHANPUR R.N. 1",421,303,0,724,374,266,0,640,626,14,572,3,28,33,0,0,0,0,0,0,0,0,0,0,2,2,640
132,"P.P. SHEKHANPUR R.N. 2",521,428,0,949,467,337,0,804,802,2,785,1,0,14,0,0,0,0,0,0,0,0,0,0,0,4,804
133,"P.P. MUSTFABAD",655,528,0,1183,447,430,0,877,876,1,803,4,3,58,1,2,0,0,1,1,0,0,1,1,0,2,877
134,"S.S.S MUSTFABAD",607,525,0,1132,527,393,0,920,920,0,885,2,3,28,1,0,0,1,0,0,0,0,0,0,0,0,920
135,"P.P. SINGHPUR",690,548,0,1238,507,272,0,779,779,0,683,3,9,74,2,1,0,1,0,0,1,0,1,1,1,2,779
136,"P.P. MADHIPUR",678,507,0,1185,607,498,0,1105,1105,0,1097,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1105
137,"P.P. AJAMPUR SILAUTA",231,185,0,416,216,152,0,368,368,0,357,1,0,7,0,0,0,1,0,0,0,0,0,0,0,2,368
138,"PANCHAYAT GHAR NAGALA MANDHATI",454,347,0,801,432,285,0,717,716,0,687,1,2,27,0,0,0,0,0,0,0,0,0,0,0,0,717
139,"P.P. JAHANPUR R.N. 1",441,404,0,845,405,323,0,728,728,0,563,0,18,139,0,0,0,1,0,1,0,0,0,0,1,5,728
140,"P.P. JAHANPUR R.N. 2",650,550,0,1200,529,363,0,892,892,0,744,8,9,126,0,0,1,1,1,0,0,0,0,0,1,1,892
141,"P.P. FARIDA PAIDHAT",611,531,0,1142,600,462,0,1062,1062,0,1035,1,2,17,1,0,0,3,0,0,0,0,0,0,0,3,1062
142,"P.P. RAMPUR R.N. 1",626,460,0,1086,321,273,0,594,594,0,234,3,68,263,5,1,2,3,0,0,0,2,3,2,3,5,594
143,"P.P. RAMPUR R.N. 2",152,130,0,282,97,82,0,179,178,0,16,0,1,150,3,1,1,0,0,0,0,2,3,0,1,1,179
144,"P.P. NAGRIYA",239,188,0,427,222,167,0,389,389,0,376,1,0,9,1,0,0,2,0,0,0,0,0,0,0,0,389
145,"P.P. JODHPUR",308,242,0,550,283,221,0,504,504,0,370,1,1,111,1,1,1,9,0,0,0,1,4,1,0,3,504
146,"J.H. SAUNAI",692,588,1,1281,395,262,0,657,657,0,77,4,103,442,2,2,2,2,0,0,2,2,8,3,3,5,657
147,"P.P. GADHI ( SUTHAR SIRSAILA)",372,294,1,667,236,235,0,471,468,0,447,2,6,15,0,0,0,0,0,0,0,0,0,0,0,1,471
148,"P.V. SEUDI",484,395,0,879,380,284,0,664,662,0,165,6,58,418,6,0,0,2,0,0,1,1,1,0,1,5,664
149,"P.P. NAGALA GOKUL",588,444,0,1032,309,215,0,524,524,0,101,3,33,377,5,0,1,2,0,0,0,0,0,1,0,1,524
150,"P.P. ROSHAN NAGAR",434,376,0,810,375,284,0,659,659,0,65,1,4,572,3,0,2,0,0,2,0,2,7,0,1,0,659
151,"P.P. SURELA",403,331,0,734,307,263,0,570,570,0,149,2,77,334,1,0,2,1,1,0,1,0,0,0,0,2,570
152,"P.P. NAGALA RAJARAM",433,349,0,782,339,238,0,577,576,0,441,2,27,93,3,1,2,0,0,0,0,1,0,0,4,3,577
153,"P.P. FARIDA GOKUL",271,192,0,463,204,155,0,359,359,0,37,0,4,310,4,0,0,0,0,0,0,0,3,0,0,1,359
154,"P.P. KHADIT R.N. 1",623,539,0,1162,507,347,0,854,854,0,785,2,2,56,0,0,0,0,2,0,0,0,0,1,1,5,854
155,"P.P. KHADIT R.N. 2",530,454,0,984,492,364,0,856,856,0,740,5,2,101,2,0,0,1,0,0,0,0,0,0,2,3,856
156,"P.P. NAGALA DHIR R.N. 1",381,315,0,696,230,191,0,421,421,0,31,0,116,267,3,0,1,0,0,0,1,0,1,1,0,0,421
157,"P.P. NAGALA DHIR R.N. 2",693,550,0,1243,330,184,0,514,514,0,73,3,2,426,3,0,1,2,1,0,0,1,2,0,0,0,514
158,"P.P. NAGALA KISHAN SINGH",321,294,1,616,308,200,0,508,506,0,373,1,2,118,5,0,1,7,0,0,0,0,1,0,0,0,508
159,"P.P. NAGALA GAVE",489,361,0,850,262,218,0,480,480,0,186,5,23,258,1,1,0,0,1,0,0,0,1,0,2,2,480
160,"P.P. TANDA R.N. 1",620,506,0,1126,432,361,0,793,792,0,212,2,25,530,7,2,3,1,1,1,0,1,2,0,2,4,793
161,"P.P. TANDA R.N. 2",408,376,0,784,286,274,0,560,540,0,529,0,19,7,0,0,0,0,1,1,0,0,1,0,0,2,560
162,"P.P. KADIPUR",310,260,0,570,230,192,0,422,422,0,188,3,38,175,4,0,0,1,1,2,1,7,0,1,1,0,422
163,"P.P. MAKARAOO",297,242,0,539,254,198,0,452,444,0,46,0,1,400,2,0,1,0,0,0,0,0,2,0,0,0,452
164,"KRISHCHAYAN P. SCHOOL PAVITRA STHAN IASAGARH R,N. 1",737,575,0,1312,523,351,0,874,874,0,238,31,49,509,14,1,0,5,2,0,1,7,5,3,2,7,874
165,"KRISHCHAYAN P. SCHOOL PAVITRA STHAN IASAGARH R,N. 2",146,134,0,280,115,99,0,214,214,0,36,1,1,170,1,0,0,0,0,0,0,1,1,0,2,1,214
166,"P.P. MILAVALI R.N. 1",392,278,0,670,353,250,0,603,595,0,518,1,2,73,0,0,0,3,0,0,0,1,0,1,2,2,603
167,"P.P. MILAVALI R.N. 2",771,619,0,1390,682,548,0,1230,1230,0,962,8,55,173,4,0,2,1,2,1,1,2,5,4,5,5,1230
168,"P.P. CHANARI",701,602,0,1303,329,492,0,821,821,0,230,7,85,474,7,2,3,1,0,1,5,3,0,1,2,0,821
169,"S.S.S PADHAM",688,588,0,1276,461,440,0,901,850,0,61,7,51,742,7,1,3,0,0,2,0,1,11,0,3,12,901
170,"P.V. PARHAM 1 R.N. 1",706,574,0,1280,494,314,0,808,764,0,303,7,128,345,8,4,1,3,2,2,0,1,0,1,3,0,808
171,"P.P. PADHAM R.N. 2",571,451,0,1022,465,278,0,743,743,0,406,8,5,298,5,2,1,1,0,1,1,1,7,0,4,3,743
172,"P.P. PADHAM R.N. 3",327,293,0,620,268,175,0,443,419,0,255,1,13,162,1,0,1,4,0,1,1,0,1,1,0,2,443
173,"J.H. PADHAM R.N. 1",147,122,0,269,116,88,0,204,204,0,139,0,0,64,0,0,0,0,1,0,0,0,0,0,0,0,204
174,"J.H. PADHAM R.N. 2",789,643,0,1432,504,349,0,853,654,0,168,3,48,603,9,0,0,1,1,0,1,1,3,2,7,6,853
175,"P.P. USAMANPUR",786,684,0,1470,676,502,0,1178,1178,0,1032,9,14,115,1,0,1,1,0,0,0,0,2,1,1,1,1178
176,"P.P. SIKANDARPUR R.N. 1",803,632,0,1435,782,546,0,1328,1072,0,1241,6,0,77,0,0,0,0,0,0,0,0,1,0,1,2,1328
177,"P.P. SIKANDARPUR R.N. 2",122,101,0,223,121,90,0,211,204,0,196,1,0,9,1,0,0,0,0,0,0,0,0,0,0,4,211
178,"P.P. GOSHPUR",452,303,0,755,441,293,0,734,734,0,676,1,2,48,0,0,0,2,0,1,0,0,1,0,0,3,734
