"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KAILASH NATH SINGH YADAV","2 - MO. MAKSUD KHAN","3 - MANOJ SINHA","4 - SMT SHIVKANYA KUSHWAHA","5 - ISHWAR DEV","6 - ISHWARI","7 - OMKAR CHAUHAN","8 - GUPTESHWAR","9 - DEENDAYAL","10 - DHARM YADAV","11 - PAPPU","12 - BRIJ BHUSHAN","13 - BHARAT","14 - RAJENDRA NATH RAM","15 - SATYA DEV YADAV","16 - ARUN KUMAR SINGH","17 - KUBER","18 - LAKSHAMAN","19 - None of the Above","Total Votes Secured"
22,"P.P. BAGHI (S.WING)",777,669,0,1446,373,360,0,733,733,0,341,8,235,98,2,1,1,0,1,8,8,4,1,5,1,9,7,1,2,733
23,"P.P. BHOJAPUR (S.WING)",473,421,0,894,220,215,0,435,380,0,11,4,244,158,1,0,0,0,0,1,1,2,1,0,0,7,1,0,4,435
24,"P.P. BHOJAPUR (N.WING)",615,519,0,1134,242,236,0,478,315,0,160,6,160,130,1,0,0,0,0,12,1,1,0,1,1,4,0,0,1,478
25,"JANTA ADRASH ENTER CO. LAHURAPUR KACHSH-1",648,511,0,1159,348,265,0,613,611,0,215,4,298,73,1,0,0,0,0,0,0,1,0,1,1,2,10,0,7,613
26,"JANTA  ADRASH ENTER CO. LAHURAPUR-2",477,411,0,888,292,262,0,554,386,0,339,6,87,105,1,0,0,0,0,2,0,1,0,1,0,3,7,1,1,554
27,"P.P. JAMUVARI",231,194,0,425,132,137,0,269,269,0,183,4,26,41,0,1,0,1,0,8,0,1,0,0,0,3,0,1,0,269
28,"P.P. TANTI",365,317,0,682,206,231,0,437,437,0,234,8,71,100,0,2,0,1,1,2,1,6,0,2,0,7,1,0,1,437
29,J.H.S.BAHLOLPUR,807,658,0,1465,475,408,0,883,15,0,114,6,318,413,1,3,1,0,1,2,3,7,0,1,1,5,5,0,2,883
30,"P.P. DHANESHAPUR(N.WING)",422,368,0,790,213,216,0,429,229,0,305,9,80,17,0,0,0,0,1,0,1,0,0,2,0,5,8,0,1,429
31,"P.P. DHANESHPUR(S.WING)",557,490,0,1047,295,276,0,571,571,0,103,5,264,172,3,0,2,2,1,0,1,1,1,2,1,1,1,1,10,571
32,"J.H.S. KODARI(N.WING)",674,502,0,1176,347,254,0,601,601,0,149,7,158,245,4,1,0,2,0,1,1,18,0,1,0,7,4,2,1,601
33,"J.H.S. KODARI(S.WING)",266,215,0,481,155,142,0,297,9,0,214,5,48,20,1,0,0,0,0,1,0,1,0,2,0,2,1,0,2,297
34,"P.P. KODARI 9E.WING)",826,668,0,1494,404,388,0,792,792,0,268,54,327,91,2,3,0,0,0,14,2,9,1,1,1,10,7,1,1,792
35,"P.P. KODARI (E.WING)",792,666,0,1458,397,389,0,786,51,0,391,7,123,179,2,2,1,4,0,6,0,7,5,0,2,18,18,2,19,786
36,"J.SH.S. PIPANAR (E.WING)",787,672,0,1459,446,400,0,846,846,0,204,7,251,284,2,5,0,1,2,40,0,29,0,0,2,6,5,1,7,846
37,"J.H.S.PIPANAR (M.WING)",484,369,0,853,257,238,0,495,495,0,120,8,299,38,1,0,2,0,0,4,3,12,1,1,0,4,1,0,1,495
38,"J.H.S.PIPANAR (W.WING)",551,453,0,1004,276,274,0,550,450,0,139,9,133,172,3,1,21,1,0,7,1,49,4,2,2,4,0,0,2,550
39,"P.P. NARVAR(E.WING)",519,433,0,952,332,273,0,605,605,0,38,7,297,241,1,1,0,1,0,8,3,2,0,1,2,1,2,0,0,605
40,"P.P. NARVAR(W.WING)",346,324,0,670,203,190,0,393,224,0,123,4,67,190,0,1,0,0,0,0,1,0,0,0,0,2,1,2,2,393
41,"P.P. MAHEGAVA",751,599,2,1352,413,408,0,821,819,0,225,15,256,189,5,10,5,2,3,67,7,2,5,4,4,17,3,1,1,821
42,"P.P. PALHIPUR",708,592,0,1300,384,379,0,763,762,0,32,8,369,313,3,2,4,0,2,12,4,0,0,1,0,2,5,1,5,763
43,"P.P. BOAGNA",731,601,0,1332,290,288,0,578,353,0,44,15,210,155,4,10,10,3,1,106,3,5,2,3,2,4,0,1,0,578
44,"P.P. DOADA BEER BOGANA",484,391,0,875,262,222,0,484,466,0,8,12,307,139,3,4,0,0,0,1,1,0,1,0,1,3,0,0,4,484
45,"S.S.S BOGANA",584,503,0,1087,241,245,0,486,486,0,29,9,324,88,1,1,2,1,2,11,1,5,0,2,0,3,6,0,1,486
46,"KANYA P.P BOGANA (E.WING)",835,720,0,1555,413,393,0,806,806,0,117,17,450,121,3,1,2,0,1,47,5,3,1,5,3,18,1,0,11,806
47,"KANYA P.P. BOGNA (W.WING)",835,703,0,1538,321,374,0,695,695,0,421,11,181,9,2,10,0,0,2,27,7,1,0,1,4,6,8,3,2,695
48,"P.P. TACHCHA (N.WING0",458,452,0,910,193,230,0,423,173,0,52,3,143,188,2,0,2,0,0,3,4,1,4,3,5,12,1,0,0,423
49,"P.P. TARCHCHA(S.WING)",446,376,0,822,203,197,0,400,12,0,19,6,262,99,1,0,0,1,1,1,2,2,2,0,0,2,0,0,2,400
50,"P.P. HASARPUR",371,319,0,690,204,195,0,399,368,0,13,3,169,191,4,0,0,0,1,0,0,1,0,1,3,5,0,1,7,399
51,"P.P.MALETHI (W.WING)",743,678,0,1421,346,309,0,655,412,0,278,13,170,135,1,1,1,0,0,10,6,4,3,1,4,8,10,2,8,655
52,"P.P. MALETHI (E.WING)",744,665,0,1409,334,336,0,670,125,0,158,19,224,217,2,6,5,1,0,5,1,4,2,2,3,13,2,0,6,670
53,"P.P. JAGPATPUR",731,666,0,1397,384,400,0,784,85,0,293,16,193,200,1,1,3,2,5,7,3,5,4,2,2,29,5,1,12,784
54,"J.H.S. BADHDHUPUR(W.WING)",826,739,0,1565,450,444,0,894,425,0,278,10,256,274,3,3,1,2,1,19,5,17,5,4,4,7,4,0,1,894
55,"J.H.S. BADHDHUPUR(E.WING)",430,400,0,830,194,184,0,378,292,0,70,20,193,80,1,0,1,0,0,0,1,3,1,0,0,8,0,0,0,378
56,"J.H.S. BADHDHUPUR(C.WING)",485,442,0,927,302,279,0,581,26,0,292,7,154,90,3,2,1,1,0,9,5,6,0,2,1,6,1,0,1,581
57,"P.P. MAHAMUDPUR MO BADDHUPUR",695,572,0,1267,381,341,0,722,720,0,199,8,238,242,2,3,0,1,0,8,0,0,3,3,2,6,2,3,2,722
58,P.P.RAYPUR,696,614,0,1310,342,333,0,675,475,0,128,4,126,226,6,1,145,1,4,4,2,2,3,3,7,10,2,1,0,675
59,"P.P. CHACKAPIL",691,551,0,1242,394,315,0,709,692,0,187,10,286,204,2,2,1,1,2,1,1,7,0,0,1,2,1,0,1,709
60,"P.P. BHAIROPUR",509,431,0,940,288,283,0,571,82,0,285,2,183,24,7,0,3,1,1,2,2,0,0,0,16,42,1,1,1,571
61,"P.P. SARDARPUR",852,753,0,1605,404,430,0,834,834,0,68,13,309,336,6,5,3,0,2,9,6,3,2,2,4,61,1,1,3,834
62,"P.P. TIYARA (E.WING)",673,603,0,1276,337,315,0,652,650,0,203,9,295,89,5,2,4,0,1,4,4,3,1,1,3,18,5,1,4,652
63,"P.P. TIYARA(C.WING)",255,236,0,491,136,156,0,292,292,0,19,6,109,132,3,0,0,1,3,4,1,5,0,0,0,7,2,0,0,292
64,"P.P. TIYARA (W.WING)",281,242,0,523,181,158,0,339,45,0,143,3,59,116,0,0,0,0,0,1,1,0,1,1,1,6,3,0,4,339
65,"J.H.S. GOPALPUR",757,668,0,1425,478,360,0,838,830,0,192,24,242,341,4,11,0,3,0,6,0,0,0,2,2,5,1,1,4,838
66,"P.P. BIRNO(E.WING)",459,434,0,893,251,250,0,501,15,0,214,6,145,101,4,1,1,0,1,9,2,1,0,4,2,3,3,0,4,501
67,"P.P. BIRNO(C.WING)",391,339,0,730,234,188,0,422,422,0,176,9,157,61,0,1,0,0,0,6,3,0,0,0,2,4,1,1,1,422
68,"P.P. BIRNO (W.WING)",886,774,0,1660,528,428,0,956,210,0,62,7,401,366,9,5,1,1,2,56,5,7,3,8,4,13,3,0,3,956
69,"P.P. JAYRAMPUR(W.WING)",675,589,0,1264,322,353,0,675,675,0,194,26,295,84,7,14,1,0,0,22,2,10,0,4,0,4,11,0,1,675
70,"P.P. KHARAGPUR (N.WING)",639,556,0,1195,321,305,0,626,495,0,94,17,321,127,6,12,2,2,1,8,4,17,1,2,0,9,2,0,1,626
71,"P.P. BHADASAR(N.WING)",749,640,0,1389,415,312,0,727,510,0,29,25,434,137,4,2,2,0,1,50,0,2,0,4,3,33,0,0,1,727
72,"P.P. BHARASAR(S.WING)",851,677,0,1528,420,409,0,829,64,0,254,9,176,34,10,35,3,2,12,232,8,7,5,10,4,19,5,2,2,829
73,"P.P. BHAVARAHA(N.WING)",669,517,0,1186,320,272,0,592,300,0,10,2,0,2,6,1,5,0,1,1,0,10,214,92,7,192,23,9,17,592
74,"P.P. BHAVARAHA(S.WING)",262,217,0,479,131,123,0,254,155,0,89,9,44,49,0,9,0,0,3,27,1,0,1,3,3,8,5,0,3,254
75,"P.P.PANDEYPUR RADHE(E.WING)",468,412,0,880,234,188,0,422,422,0,64,16,272,58,0,0,0,0,0,4,0,1,0,1,0,3,0,0,3,422
76,"P.P. PANDAYPUR RADHE(W.WING)",396,374,0,770,231,244,0,475,170,0,207,5,99,118,2,3,0,0,1,23,1,0,0,2,0,6,3,3,2,475
77,"SHRI.POUHARI BAL NI.ARKHAPUR",698,567,0,1265,358,351,0,709,709,0,290,8,283,70,2,3,0,1,2,15,3,0,1,0,0,3,6,1,21,709
78,H.S.S.BARAHI(N.WING),558,443,0,1001,359,218,0,577,577,0,26,9,161,344,1,0,0,0,0,1,1,0,0,0,5,16,4,2,7,577
79,"H.S.S.BARAHAI (M.N.WING)",305,277,0,582,209,156,0,365,365,0,41,9,200,88,0,1,0,0,1,1,4,2,1,3,3,9,0,0,2,365
80,"H.S.S.BARAHI (S.WING)",580,480,0,1060,341,278,0,619,431,0,447,14,100,16,0,1,2,1,0,22,2,3,2,2,1,4,1,1,0,619
81,"P.P. MALIKNATHPUR",192,183,0,375,166,162,0,328,5,0,195,6,11,111,0,1,0,0,0,2,0,0,1,0,0,1,0,0,0,328
82,"P.P. GOVINDPURKIRAT(E.WING)",792,675,0,1467,444,380,0,824,629,0,182,14,341,79,1,18,3,1,2,139,5,3,5,6,4,11,5,1,4,824
83,"P.P. GOVINDPURKIRAT(W.WING)",887,708,0,1595,508,465,0,973,511,0,465,15,112,316,6,4,0,0,3,3,4,5,1,4,4,18,2,1,10,973
84,P.P.GOVINDPURKIRAT(S.WING),807,611,0,1418,455,347,0,802,800,0,66,18,232,434,1,3,2,0,0,18,2,6,1,1,3,7,3,1,4,802
85,"P.P. HARHARI",472,423,0,895,267,291,0,558,223,0,104,33,283,105,3,2,0,0,2,1,4,0,3,0,2,7,2,3,4,558
86,"P.P. SADHOPUR",191,167,0,358,117,110,0,227,220,0,132,3,44,42,1,0,0,0,1,0,0,2,0,0,0,1,1,0,0,227
87,"P.P.SULEMAPUR DEVCAKI(E.WUNG)",685,596,0,1281,321,272,0,593,582,0,103,15,364,76,1,1,0,0,4,2,1,5,2,2,1,7,2,0,7,593
88,"P.P. SULEMAPUR DEVCALI(W.WING)",428,341,0,769,205,169,0,374,103,0,67,4,233,60,0,0,1,0,0,0,0,1,2,0,1,0,3,0,2,374
89,"KANYA P.P. SARAYMUBARKPUR(E.WING)",491,411,0,902,316,259,0,575,500,0,268,5,262,32,1,2,0,0,0,0,0,1,0,1,0,0,1,0,2,575
90,"KANYA P.P. SARAYMUBARKPUR(W.WING)",615,462,0,1077,308,235,0,543,268,0,69,6,102,334,5,5,1,1,3,0,3,5,1,1,1,1,1,1,3,543
91,"P.P.JAGDISHPUR AUTAR‍",548,472,0,1020,318,290,0,608,608,0,117,8,261,164,3,1,3,1,1,3,1,29,3,1,3,4,2,2,1,608
92,"AMBEDKER V.KAROULA (N.WING)",447,402,0,849,270,261,0,531,43,0,385,3,60,46,0,0,0,0,0,1,0,1,1,3,3,15,11,0,2,531
93,"P.P. ABISAHAN(E.WING)",540,493,0,1033,266,245,0,511,511,0,145,3,215,94,2,1,0,2,2,10,3,4,1,4,1,15,2,0,7,511
94,"P.P. ABISAHAN (W.WING)",691,578,0,1269,313,294,0,607,206,0,246,17,228,59,1,4,4,0,0,20,1,0,1,0,4,18,1,2,1,607
95,J.H.S.PRITHAVIPUR(N.WING),668,578,0,1246,321,302,0,623,260,0,114,9,302,161,3,1,0,2,1,3,1,2,0,3,1,10,6,0,4,623
96,J.H.S.PRITHAVIPUR(S.WING),619,535,0,1154,381,324,0,705,705,0,401,10,34,82,3,0,1,3,2,1,1,3,0,3,15,138,6,2,0,705
97,P.P.NASRUDDINPUR,762,649,0,1411,425,359,0,784,426,0,186,14,153,255,6,9,2,0,3,119,3,8,2,2,6,13,1,0,2,784
98,P.P.UCHOUR,655,604,0,1259,412,425,0,837,75,0,528,14,199,63,2,1,0,0,2,1,1,1,3,2,0,9,6,3,2,837
99,"P.P. BARENDA",676,623,0,1299,359,352,0,711,711,0,114,5,379,136,4,2,0,0,2,2,0,3,4,2,6,44,1,2,5,711
100,"P.P JAMIRA",455,409,0,864,277,278,0,555,555,0,316,7,75,146,2,0,0,0,0,0,0,2,0,0,0,0,3,0,4,555
101,P.P.NASARATPUR(E.WING),656,576,1,1233,350,380,0,730,510,0,317,7,151,243,0,1,0,0,3,3,1,1,1,0,0,0,1,0,1,730
102,P.P.NASARATPUR(C.WING),348,290,0,638,211,186,0,397,205,0,28,7,145,190,4,3,3,0,1,9,1,1,0,0,0,1,1,0,3,397
103,P.P.NASARATPUR(W.WING),334,270,0,604,223,205,0,428,128,0,250,10,59,99,1,0,0,1,0,0,2,0,0,0,0,1,3,0,2,428
104,P.P.KASBAGOUR,677,562,0,1239,415,392,0,807,807,0,404,7,180,169,1,2,2,0,4,4,1,1,3,2,2,7,13,0,5,807
105,P.P.GULALSARAY(N.WING),546,462,1,1009,314,272,0,586,455,0,220,11,210,107,2,1,1,0,1,14,2,2,0,5,2,3,1,1,3,586
106,"P.P. GULALSARAY (S.WING)",379,354,0,733,227,208,0,435,400,0,18,9,127,218,4,4,2,0,1,24,2,2,3,3,0,3,5,1,9,435
107,"P.P. BIRBALPUR",461,420,0,881,279,265,0,544,31,0,210,1,185,99,0,4,1,1,1,21,2,1,0,1,0,6,10,0,1,544
108,"P.P BIHARA",631,512,0,1143,360,280,0,640,25,0,290,14,121,24,1,9,3,1,1,118,3,22,2,4,1,2,15,0,9,640
109,"HARIJAN P.P. BIHARA",766,635,0,1401,349,370,0,719,117,0,95,6,201,163,0,21,1,2,3,184,9,6,0,4,0,2,15,3,4,719
110,"P.P. SHAHABUDDINPUR(E.WING)",406,397,0,803,252,267,0,519,519,0,148,8,54,195,4,4,0,0,3,91,1,2,0,0,3,2,1,0,3,519
111,"P.P. SHAHABUDDINPUR (W.WING)",209,202,0,411,119,134,0,253,22,0,32,4,121,50,2,1,0,1,0,25,1,1,0,1,0,2,4,0,8,253
112,"P.P. RAJAPUR",582,512,0,1094,391,348,0,739,200,0,336,12,249,98,2,1,0,0,0,6,5,4,2,1,2,11,7,1,2,739
113,"PANCHAYAT B.RUKKAPUR MU.SHAHABUDDINPUR",774,669,0,1443,449,455,0,904,381,0,606,15,43,77,1,6,1,0,2,118,0,0,2,0,2,7,21,1,2,904
114,"P.P SARVANDIH",563,514,0,1077,321,279,0,600,598,0,63,1,165,253,4,10,0,0,2,57,1,10,0,1,1,8,4,3,17,600
115,P.P.TILADI(E.WING),509,427,0,936,299,200,0,499,498,0,33,8,231,193,1,0,0,0,1,0,2,6,1,1,0,3,5,0,14,499
116,"P.P. TILADI W.WING",664,537,0,1201,370,302,0,672,570,0,281,9,193,127,3,7,1,0,2,20,0,3,0,1,6,3,8,2,6,672
117,"P.P. BAURI (E.WING)",798,642,0,1440,427,308,0,735,700,0,31,11,438,142,1,1,1,1,1,27,2,25,2,2,5,15,6,2,22,735
118,"P.P. BAURI (C.WING)",218,179,0,397,120,82,0,202,202,0,24,2,72,67,1,0,1,0,0,6,0,0,0,1,3,22,0,0,3,202
119,"P.P. BAURI (W.WING)",878,709,0,1587,464,424,0,888,880,0,493,15,132,98,6,4,3,1,2,8,5,2,0,1,21,88,6,2,1,888
120,"P.P BAURI (S.WING)",809,661,0,1470,395,336,0,731,700,0,80,6,325,200,13,6,7,4,2,18,4,4,2,2,18,26,3,0,11,731
121,"JANTA ENTER CO. NARANGPUR",242,245,0,487,145,167,0,312,61,0,20,3,154,107,2,1,1,0,1,9,2,1,1,0,1,5,1,1,2,312
122,"P.P. RANIPUR (N.WING)",600,488,0,1088,334,246,0,580,580,0,49,12,268,220,0,1,0,5,0,1,3,3,0,3,6,4,1,0,4,580
123,"P.P. RANIPUR(E.WING)",380,316,0,696,161,147,0,308,17,0,34,0,206,37,0,1,2,0,0,2,3,0,2,1,5,13,0,1,1,308
124,"P.P RANIPUR(C.WING)",779,646,0,1425,492,393,0,885,885,0,501,17,106,181,4,5,2,2,3,19,1,4,4,1,6,19,5,1,4,885
125,U.M.W.MAHAMUDPUR,288,234,0,522,207,149,0,356,356,0,65,2,28,218,3,1,0,0,1,0,0,2,0,0,1,35,0,0,0,356
126,"P.P CHOURABOJH",717,636,0,1353,377,333,0,710,600,0,280,10,202,76,1,14,3,2,2,74,6,6,1,1,6,25,0,0,1,710
127,"P.P CHANDPUR",342,305,0,647,185,193,0,378,159,0,269,3,42,48,2,0,1,0,2,0,1,1,0,0,0,1,6,1,1,378
128,"P.P PARA",871,756,0,1627,526,491,0,1017,4,0,357,14,251,222,3,2,5,0,22,10,4,7,5,2,19,77,12,0,5,1017
129,"P.P MADANPUR",538,453,0,991,330,275,0,605,605,0,16,1,36,380,6,11,3,2,0,88,1,35,3,5,3,8,1,0,6,605
130,"P.P KAHOTARI",552,467,0,1019,383,350,0,733,733,0,323,9,75,84,4,0,5,4,1,5,0,4,0,2,30,181,2,0,4,733
131,"KANYA P.P. KAHOTARI",469,396,0,865,311,296,0,607,57,0,455,5,25,112,0,1,0,0,0,1,0,1,0,1,3,2,0,1,0,607
132,"AJAD.J.H.S. PHATEHPUR",428,408,0,836,264,250,0,514,263,0,180,7,103,185,0,1,0,0,0,30,1,0,0,1,1,3,2,0,0,514
133,"P.P. MAHAMUDPUR",428,382,0,810,314,294,0,608,42,0,250,8,84,212,4,1,0,0,0,4,1,4,1,2,9,27,0,0,1,608
134,"P.P PALIYA",683,603,0,1286,421,377,0,798,7,0,268,5,159,334,1,3,0,0,0,14,2,2,0,1,0,2,5,1,1,798
135,"GANGA PRASAD RAM U.M.RUHIPUR",847,682,0,1529,560,367,0,927,927,0,73,2,178,406,8,2,3,6,1,11,3,15,4,2,25,174,3,4,7,927
136,"P.P JARGO",658,578,0,1236,422,358,0,780,380,0,218,5,151,298,6,6,2,0,0,64,2,2,2,2,0,10,4,0,8,780
137,"J.H.S. RASULABAD",414,363,0,777,227,227,0,454,400,0,61,4,146,216,7,0,1,0,1,12,0,5,0,0,0,0,0,0,1,454
138,"P.P DIDOHAR",607,556,0,1163,363,375,0,738,455,0,229,15,247,109,3,12,2,1,2,83,5,7,1,5,3,10,2,1,1,738
139,"P.P ARAJI ODASAN",510,440,0,950,345,275,0,620,610,0,143,2,96,345,5,4,0,0,1,5,4,2,0,1,2,9,0,0,1,620
140,"P.P GANNAPUR(N.WING)",366,284,0,650,232,171,0,403,73,0,118,1,81,186,2,1,0,0,0,3,0,1,0,0,0,7,2,0,1,403
141,"P.P GANNAPUR(C.WING)",516,432,0,948,297,250,0,547,547,0,207,9,218,85,2,0,0,0,0,7,0,2,1,4,1,8,1,1,1,547
142,"P.P GANNAPUR (S.WING)",612,560,0,1172,330,297,0,627,150,0,29,9,138,153,0,13,6,2,4,232,1,6,0,2,4,21,1,0,6,627
143,"P.P. JAGDISHPUR VIDYAPAT",572,457,0,1029,340,297,0,637,637,0,201,11,85,308,3,1,0,0,0,14,1,0,0,2,2,6,1,0,2,637
144,"P.P CHAKGANI",388,298,0,686,248,197,0,445,443,0,244,4,24,155,2,0,0,0,1,7,0,3,2,0,0,2,1,0,0,445
145,"P.P. GOPALPUR SALEM",530,415,0,945,344,264,0,608,600,0,163,1,53,371,3,1,2,0,1,5,1,1,1,0,0,1,3,1,0,608
146,"KANYA P.P DADIKALA",601,551,0,1152,324,292,0,616,407,0,26,8,302,245,3,2,2,0,1,14,2,3,0,1,0,4,1,0,2,616
147,"P.P NASIRPURDADI",370,333,0,703,220,181,0,401,10,0,67,0,50,244,5,0,0,0,3,1,1,3,1,1,5,7,1,12,0,401
148,"P.P SARAYBANDI",244,216,0,460,154,156,0,310,260,0,184,1,26,86,0,0,0,0,0,1,0,1,0,0,0,2,7,1,1,310
149,P.P.SHEKHAPUR(N.WING),688,547,0,1235,385,330,0,715,400,0,198,12,165,257,6,0,5,0,1,48,2,4,2,4,0,5,2,1,3,715
150,P.P.SHEKHAPUR(S.WING),363,324,0,687,230,240,0,470,468,0,134,15,231,52,2,0,1,0,0,0,4,5,1,4,0,5,4,0,12,470
151,"P.P ARSADPUR(E.WING)",293,279,0,572,202,152,0,354,269,0,61,3,34,191,2,3,1,0,0,55,1,0,0,1,0,1,1,0,0,354
152,"P.P ARSADPUR(W.WING)",719,592,0,1311,440,356,0,796,96,0,211,6,215,320,8,0,1,3,1,10,0,5,0,2,2,9,2,1,0,796
153,"P.P ARSADPUR(N.WING)",205,182,0,387,102,86,0,188,48,0,34,4,101,31,0,0,0,0,0,9,0,5,0,0,1,1,2,0,0,188
154,"J.H.S. SAADATPUR(N.WING)",712,655,0,1367,469,414,0,883,11,0,288,11,187,319,4,5,0,3,2,34,2,6,1,3,2,9,2,1,4,883
155,J.H.S.SAADATPUR(S.WING),709,615,0,1324,463,366,0,829,800,0,178,11,70,468,3,1,0,0,2,81,1,9,3,0,0,0,1,0,1,829
156,"P.P TURKAWALIA",621,512,0,1133,398,317,0,715,700,0,328,12,127,217,3,0,0,0,2,17,0,3,1,0,1,1,2,0,1,715
157,"P.P MITHTHPARA",600,471,0,1071,417,314,0,731,13,0,72,5,100,527,3,1,0,0,1,1,0,4,2,1,2,8,1,0,3,731
158,"JANTA J.H. JANGIPUR",494,408,0,902,313,272,0,585,585,0,100,5,55,333,4,5,0,0,1,77,3,1,0,0,0,1,0,0,0,585
159,"KANYA P.P JANGIPUR",437,351,0,788,277,210,0,487,381,0,14,6,382,48,1,0,0,1,1,24,1,4,1,1,1,0,1,0,1,487
160,"MADARSA MO.S.JANGIPUR(N.WING)",607,474,0,1081,349,291,0,640,586,0,31,6,294,112,1,0,2,0,2,172,1,4,0,3,1,4,0,0,7,640
161,"MADARSA MO.S.JANGIPUR (S.WING)",629,472,0,1101,393,269,0,662,620,0,16,6,327,153,1,0,0,0,145,5,3,0,0,1,2,0,0,3,0,662
162,"TOWN OFFICE PAKKA BH.JANGIPUR(N.WING)",466,359,0,825,280,245,0,525,525,0,13,20,179,120,1,4,0,0,0,183,1,2,0,1,0,0,0,0,1,525
163,"TOWN OFFICE.PAKKA BHA.JANGIPUR(S.WING)",496,461,0,957,290,269,0,559,9,0,8,21,195,107,1,2,0,0,1,0,218,0,4,0,1,0,0,0,1,559
