"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KAISER JAHAN","2 - BHARAT TRIPATHI","3 - RAJESH VERMA","4 - VAISHALI ALI","5 - ERAJ BEG","6 - CHAUDHARY LAL BAGHEL","7 - JAGDISH NARAYAN SHUKLA","8 - JAGMOHAN SINGH VERMA","9 - R. K. MISRA","10 - RAM AVTAR NISHAD","11 - SHEFALI MISRA","12 - SANT KUMAR","13 - SANJAY TIWARI","14 - TURAB ALI","15 - PUSHPA DEVI","16 - SUCHITA KUMAR","17 - None of the Above","Total Votes Secured"
45,"J.H.S. GORIYA H/O PRAHLADPUR R. NO 1",567,436,0,1003,368,267,0,635,115,0,373,159,72,17,2,0,1,1,0,0,2,0,0,0,0,2,6,635
46,"J.H.S. GORIYA H/O PRAHLADPUR R. NO 2",742,648,0,1390,433,353,0,786,572,0,575,130,28,19,1,0,2,0,0,1,1,0,0,2,2,2,23,786
47,"ISLAMIA SCHOOL R.N.1 SHAHKULIPUR",538,436,0,974,344,262,0,606,4,0,507,35,40,11,0,1,0,0,1,0,2,1,0,0,1,4,3,606
48,"ISLAMIA SCHOOL R.N.2 SHAHKULIPUR",401,335,0,736,247,180,0,427,372,0,317,35,52,10,1,0,1,1,0,0,0,0,0,2,1,5,2,427
49,"ISLAMIA SCHOOL R.N. 3 SHAHKULIPUR",842,688,0,1530,464,376,0,840,678,0,696,65,43,12,1,0,1,0,0,0,1,0,0,2,3,7,9,840
50,"H.M.H.I.C. KATRA R. NO 1",834,667,1,1502,564,308,0,872,150,0,705,79,25,37,1,0,2,0,0,0,0,0,1,0,0,4,18,872
51,"H.M.H.I.C. KATRA R. NO 2",749,700,1,1450,531,423,0,954,1,0,817,92,11,21,0,0,0,0,1,1,1,0,1,2,0,2,5,954
52,"P.S.RUDHA BHAWNATHPUR",620,501,0,1121,441,308,0,749,1,0,338,40,303,4,0,0,4,2,1,0,2,1,3,13,4,21,13,749
53,"P.S. AHIRANPURWA H/O RUDHA BHAWNATHPUR",342,274,0,616,300,193,0,493,92,0,114,237,112,6,1,0,3,1,3,0,2,0,0,2,2,3,7,493
54,"P.S. DARANAGAR",613,509,0,1122,473,364,0,837,10,0,175,67,566,11,0,0,5,0,2,0,0,1,1,4,0,4,1,837
55,"P.S. BASANTIPUR",733,645,0,1378,547,478,0,1025,12,0,406,72,465,24,4,3,7,3,6,2,0,2,2,6,2,6,15,1025
56,"P.S. ANDESHNAGAR",488,418,0,906,340,266,0,606,603,0,275,35,243,10,0,1,0,3,2,0,0,1,3,8,2,12,11,606
57,"P.S. PATWARA",832,678,0,1510,697,537,0,1234,6,0,526,62,594,17,0,2,1,3,0,0,1,0,4,3,0,11,10,1234
58,"P.S. DIGURAPUR",634,534,0,1168,454,282,0,736,695,0,336,187,165,16,2,0,7,3,1,0,0,0,0,3,1,8,7,736
59,"P.S. BENISARAI R. NO 1",614,533,0,1147,494,380,0,874,23,0,191,158,475,16,0,2,6,1,0,1,1,0,1,5,2,5,10,874
60,"P.S. BENISARAI R. NO 2",481,393,0,874,363,255,0,618,12,0,221,116,216,10,5,2,6,1,0,1,2,1,1,4,2,8,22,618
61,"P.S. MAHOLIYA KHURD",225,199,0,424,192,161,0,353,16,0,31,18,289,3,0,0,1,0,0,0,1,0,2,4,2,1,1,353
62,"P.S. NIMOUCHI",400,337,0,737,313,234,0,547,311,0,213,80,242,2,0,1,0,0,1,0,0,0,0,1,1,4,2,547
63,"P.S.POORANPUR PANDE SARAI",486,411,0,897,381,285,0,666,14,0,270,25,341,8,1,0,8,0,0,1,0,0,0,4,2,2,4,666
64,P.S.MAHMOODPUR,625,550,0,1175,453,311,0,764,223,0,338,121,259,11,0,2,2,1,0,0,1,0,2,3,5,9,10,764
65,"P.S. GERUHA",235,211,0,446,208,170,0,378,2,0,167,8,167,7,1,1,2,2,0,0,1,0,1,2,1,3,15,378
66,"P.S. NAYAGAON NEVADA R. NO 1",570,467,0,1037,363,304,0,667,15,0,269,115,248,7,0,2,2,0,0,0,1,0,3,3,2,2,13,667
67,"P.S. NAYAGAON NEVADA R. NO 2",489,396,0,885,336,273,0,609,88,0,249,100,209,4,0,2,1,0,1,1,2,2,0,4,2,6,26,609
68,"P.S. NYAMUPUR KALA R. NO 1",549,488,0,1037,358,261,0,619,1,0,112,85,364,14,0,2,6,0,0,0,4,3,3,1,2,9,14,619
69,"P.S. NYAMUPUR KALA R. NO 2",180,151,0,331,123,99,0,222,60,0,48,23,132,2,0,2,1,2,0,0,0,1,1,3,0,4,3,222
70,"P.S. KALABAHADURPUR H/O NYAMUPURKALAN",584,492,0,1076,381,333,0,714,12,0,385,128,157,8,3,0,1,1,2,1,0,0,2,4,2,4,16,714
71,"P.S. TALVIPUR",346,321,0,667,300,262,0,562,230,0,241,23,276,6,0,0,2,0,0,1,0,0,2,2,2,4,3,562
72,"J.H.S. AKBARPUR R. NO 1",696,682,0,1378,446,363,0,809,1,0,232,41,503,7,0,1,3,2,0,0,0,0,1,5,3,5,6,809
73,"J.H.S. AKBARPUR R. NO 2",598,543,0,1141,364,293,0,657,12,0,146,92,367,9,1,0,2,1,0,0,3,1,0,3,1,5,26,657
74,"J.H.S. AKBARPUR R. NO 3",258,238,0,496,190,155,0,345,21,0,103,85,128,1,0,2,2,0,3,0,1,1,2,6,3,2,6,345
75,"P.S. PARSIYA",471,413,0,884,354,269,0,623,1,0,317,27,225,15,4,0,4,1,0,0,3,0,3,0,2,8,14,623
76,"P.S. TAKELA H/O DOSTPUR",460,408,0,868,354,270,0,624,8,0,124,74,390,12,1,0,3,0,0,1,0,1,2,2,3,4,7,624
77,"P.S. IBRAHIMPUR H/O DOSTPUR",211,190,0,401,186,144,0,330,18,0,30,33,254,3,1,0,1,2,0,0,1,0,1,1,0,2,1,330
78,"J.H.S.TARANPUR R. NO 1",489,341,0,830,378,224,0,602,500,0,248,274,58,3,0,0,2,1,4,0,3,0,0,2,2,4,1,602
79,"J.H.S.TARANPUR R. NO 2",543,407,0,950,418,274,0,692,13,0,231,356,91,5,1,0,0,0,0,0,0,0,1,1,0,1,5,692
80,"P.S. MALLAPUR NAGAI",780,687,0,1467,510,401,0,911,4,0,308,55,480,26,1,3,3,1,1,0,0,1,0,9,4,6,13,911
81,"P.S. GANESHPUR",810,673,0,1483,596,469,0,1065,57,0,503,320,175,27,1,0,6,5,0,1,3,0,3,2,2,9,8,1065
82,"P.S. MAKANPUR R NO 1",487,422,0,909,369,318,0,687,4,0,187,292,155,12,2,1,2,1,1,0,0,1,4,10,2,10,7,687
83,"P.S. MAKANPUR R NO 2",285,246,0,531,223,166,0,389,389,0,143,67,142,6,1,0,2,6,2,0,4,1,0,3,2,2,8,389
84,"P.S. FARIDPUR",282,263,0,545,235,195,0,430,142,0,75,14,314,7,0,0,6,0,1,0,0,1,1,4,1,5,1,430
85,"P.S. MUDIKHERA R. NO 1",519,457,0,976,387,303,0,690,53,0,231,205,218,11,1,0,1,2,0,1,1,0,2,4,3,6,4,690
86,"P.S. MUDIKHERA R. NO 2",474,383,0,857,335,278,0,613,1,0,219,228,149,2,0,0,1,0,0,0,0,0,1,3,1,1,8,613
87,"P.S. PIPARI H/O KANJASHARIFPUR",797,591,0,1388,462,488,0,950,1,0,188,222,477,16,3,0,3,1,1,2,2,1,1,11,2,8,12,950
88,"J,B.V. GULRIPURWA H/O KHANPUR MOHIDDINPUR R NO 1",550,438,0,988,351,267,0,618,95,0,105,110,369,10,0,0,5,1,2,1,0,1,2,4,1,1,6,618
89,"J,B.V. GULRIPURWA H/O KHANPUR MOHIDDINPUR R NO 2",853,760,0,1613,580,395,0,975,55,0,257,309,335,17,3,0,1,4,0,3,0,2,3,12,5,15,9,975
90,"P.S. SULTANPUR HARIPRASAD",683,536,0,1219,527,357,0,884,21,0,211,263,360,12,2,2,9,2,1,0,3,0,2,2,0,7,8,884
91,"P.S. RAWANSI R. NO 1",471,382,0,853,375,238,0,613,9,0,67,108,398,10,0,0,4,1,2,1,1,0,2,2,5,7,5,613
92,"P.S. RAWANSI R. NO 2",467,381,0,848,339,254,0,593,8,0,189,140,236,13,0,0,0,0,0,0,0,0,1,4,1,0,9,593
93,"G.P.S. MEWA RAMNAGAR",453,397,0,850,293,236,0,529,389,0,181,93,225,6,1,0,3,0,0,1,0,1,2,1,2,6,7,529
94,"P.S. MEWA RAMNAGAR",270,228,0,498,181,151,0,332,300,0,117,24,174,3,1,0,2,1,0,0,0,0,1,2,2,3,2,332
95,"P.S. ODARAHA H/O RAMNAGAR",559,438,0,997,524,206,0,730,23,0,178,263,230,10,2,0,2,1,3,0,3,1,3,6,11,14,3,730
96,"P.S. SARAWAN",713,604,0,1317,464,340,0,804,1,0,348,150,229,15,2,1,5,5,1,4,2,2,4,8,2,10,16,804
97,"J.H.S. KORAIYA H/O SARAWAN",763,628,0,1391,602,406,0,1008,814,0,450,209,272,19,1,0,6,5,3,1,2,2,1,3,4,11,19,1008
98,"P.S.MADARPUR H/O UDANAPUR KALA",505,461,0,966,335,287,0,622,254,0,176,198,219,4,3,2,0,0,1,0,0,1,2,6,1,4,5,622
99,"P.S. UDANAPUR KALA",641,496,0,1137,511,364,0,875,20,0,245,142,435,18,0,0,7,5,8,2,2,0,1,4,2,1,3,875
100,"P.S. ANIYAKALA",681,548,0,1229,462,359,0,821,12,0,419,69,253,21,1,3,8,1,1,1,1,1,3,7,4,15,13,821
101,"P.S. SARAIYA UCHAKHERA R. NO 1",575,458,0,1033,364,280,0,644,388,0,397,39,179,13,0,0,2,0,0,0,1,0,2,2,1,8,0,644
102,"P.S. SARAIYA UCHAKHERA R. NO 2",338,264,0,602,233,144,0,377,1,0,137,26,193,7,0,1,4,0,1,0,1,0,1,1,1,2,2,377
103,"P.S. KAMAHRA",488,417,0,905,435,300,0,735,8,0,19,30,652,12,1,5,4,1,0,0,2,0,1,3,0,0,5,735
104,"P.S. RAURAPUR",650,516,0,1166,437,381,0,818,1,0,379,203,198,7,0,0,4,1,0,1,1,2,2,7,1,5,7,818
105,"P.S. BHUSAILA",336,291,0,627,277,247,0,524,5,0,90,245,163,7,2,1,1,2,0,0,0,1,1,2,3,4,2,524
106,"P.S. DHEERPUR",207,149,0,356,178,107,0,285,2,0,59,7,200,3,0,1,6,0,0,0,3,0,0,0,0,0,6,285
107,"P.S. KHANPUR H/O SHERPUR",505,399,0,904,372,254,0,626,1,0,281,140,160,6,2,1,5,2,2,1,2,0,1,3,9,4,7,626
108,"P.S. SHERPUR",392,335,0,727,285,226,0,511,496,0,185,109,188,11,1,0,1,0,0,0,1,2,0,6,1,4,2,511
109,"B.R.AMBEDKAR SHIKSHA NIKETAN ANGETHA H/O SHERPUR",381,336,0,717,293,234,0,527,1,0,247,157,88,9,1,1,1,0,0,0,1,0,0,3,1,7,11,527
110,"J.H.S.DHODHI R. NO 1",530,471,0,1001,386,326,0,712,1,0,298,109,250,9,1,2,1,1,2,1,1,1,1,6,3,8,18,712
111,"J.H.S.DHODHI R. NO 2",201,175,0,376,129,95,0,224,1,0,74,23,110,1,1,1,4,0,0,0,0,1,0,1,1,7,0,224
112,"P.S. UDAYMALLPUR",439,385,0,824,339,278,0,617,24,0,267,47,266,2,0,0,2,1,0,0,1,2,1,3,0,3,22,617
113,"P.S. MADNAPUR",766,614,0,1380,587,373,0,960,1,0,297,203,385,15,7,6,11,1,4,2,1,0,1,5,8,2,12,960
114,"P.S. RAHI",643,537,0,1180,418,324,0,742,462,0,142,219,336,11,1,3,6,1,1,0,0,0,0,7,3,6,6,742
115,"K.P.I.C. PARASARAYN",347,313,0,660,275,204,0,479,209,0,51,158,236,9,1,1,4,0,9,0,0,0,0,1,3,2,4,479
116,"P.S. GAURIYA JHAL",434,378,0,812,338,275,0,613,1,0,122,116,326,6,1,0,6,1,0,0,0,1,1,14,2,10,7,613
117,"P.S. SARAIYA KAYSTHAN H/O GAURIYA  JHAL",329,276,0,605,258,165,0,423,413,0,75,31,282,11,2,3,2,0,0,1,4,0,1,3,4,0,4,423
118,"J.H.S.TALGAON R. NO 1",550,464,0,1014,381,277,0,658,393,0,139,311,167,2,1,2,1,0,2,0,0,1,2,11,9,8,2,658
119,"P.S. PACHDEVRA H/O TALGAON",192,166,0,358,169,126,0,295,1,0,7,18,265,3,0,1,0,0,1,0,0,0,0,0,0,0,0,295
120,"J.H.S.TALGAON R. NO 2",830,710,0,1540,543,395,0,938,18,0,312,335,227,17,0,1,1,1,2,2,5,2,3,10,2,5,13,938
121,"J.H.S.TALGAON R. NO 3",859,707,0,1566,595,416,0,1011,1001,0,288,569,126,4,0,0,1,5,0,0,2,1,0,4,2,5,4,1011
122,"P.S. JARELI R. NO 1",323,248,0,571,244,163,0,407,12,0,139,76,174,5,1,1,1,0,0,0,1,0,1,2,0,3,3,407
123,"P.S. MAKHPUR H/O JARELI",543,415,0,958,424,269,0,693,2,0,450,88,130,7,0,1,0,0,1,0,2,0,2,2,2,3,5,693
124,"P.S. JARELI R. NO 2",762,652,0,1414,528,430,0,958,100,0,551,172,205,10,1,3,4,1,1,0,0,0,1,4,1,3,1,958
125,"P.S. KAMAHARA H/O JARELI",551,386,0,937,387,170,0,557,510,0,266,148,109,2,0,0,7,2,0,2,1,1,0,1,3,3,12,557
126,"P.S. DUGHRA",370,322,0,692,221,177,0,398,1,0,50,9,308,6,0,1,7,1,0,0,0,1,0,6,2,5,2,398
127,"P.S. RASOOLPUR R. NO 1",451,397,0,848,339,227,0,566,65,0,89,30,382,3,1,1,2,1,0,0,0,0,0,7,1,3,46,566
128,"P.S. RASOOLPUR R. NO 2",550,492,0,1042,410,357,0,767,95,0,165,109,434,10,3,3,9,3,4,0,0,2,2,6,1,6,10,767
129,"P.S. PATTISEVAI R. NO 1",334,258,0,592,227,147,0,374,77,0,119,25,200,8,1,1,4,0,0,0,0,0,1,7,2,2,4,374
130,"PANCHAYAT GHAR SHAH ALAMPUR H/O PATTISEVAI",225,182,0,407,184,143,0,327,8,0,83,10,216,5,0,0,4,0,0,0,0,0,2,0,0,5,2,327
131,"P.S. PATTISEVAI R. NO 2",460,399,0,859,331,227,0,558,1,0,108,58,337,12,3,1,9,5,2,1,1,1,3,10,4,3,0,558
132,"J.H.S. KAKRAMAU",251,235,0,486,217,188,0,405,15,0,76,11,301,4,0,0,1,1,0,0,0,1,1,2,1,6,0,405
133,"P.S. SARAIYA H/O KAKRAMAU",390,331,0,721,293,228,0,521,290,0,220,63,203,6,1,0,1,2,0,1,0,1,3,4,2,4,10,521
134,"P.S. KALABAHADURPUR",556,492,0,1048,413,326,0,739,21,0,115,91,447,17,3,1,5,0,3,3,4,0,2,11,4,10,23,739
135,"G.J.H.S MEHDIPURWA",527,455,0,982,388,269,0,657,157,0,183,70,357,13,1,1,3,0,2,0,0,0,0,3,3,6,15,657
136,"P.S. AMAURA BANAIRAMA",489,393,0,882,346,287,0,633,619,0,155,77,337,9,2,2,8,2,2,3,5,2,2,6,1,4,16,633
137,"P.S. AGGARPUR",408,325,0,733,297,193,0,490,78,0,75,58,319,9,0,2,4,2,0,0,1,1,1,5,2,6,5,490
138,"P.S. KANDHELIYA",335,275,0,610,259,174,0,433,1,0,125,56,212,14,0,0,8,0,0,1,1,0,0,3,2,2,9,433
139,"P.S. DANIYALPUR FATTEMALPUR R. NO 1",554,515,0,1069,410,346,0,756,48,0,294,360,43,6,0,0,0,0,3,0,0,1,1,4,4,5,35,756
140,"P.S. DANIYALPUR FATTEMALPUR R. NO 2",401,338,0,739,320,257,0,577,60,0,260,52,220,11,2,0,7,0,4,1,1,1,2,6,3,3,4,577
141,"P.S. BADATAL H/O BHELAVA",650,507,0,1157,467,302,0,769,638,0,368,132,230,1,0,0,7,1,1,0,0,1,4,7,4,8,5,769
142,"P.S. SHARIFPURTALHA",471,390,0,861,311,251,0,562,559,0,89,55,368,20,1,1,7,0,2,0,1,1,0,9,4,1,3,562
143,"J.H.S. MUBARAKPUR H/O GOKULPUR",806,696,0,1502,500,364,0,864,86,0,387,129,294,3,3,3,2,0,0,0,1,2,2,7,6,7,18,864
144,"P.S. GOKULPUR",587,464,0,1051,439,281,0,720,87,0,236,56,379,12,0,0,8,0,3,0,0,1,5,2,1,5,12,720
145,"P.S. MIRKILLIPUR R. NO 1",533,479,0,1012,377,309,0,686,17,0,192,76,365,8,1,0,4,1,0,1,0,1,0,4,5,7,21,686
146,"P.S. MIRKILLIPUR R. NO 2",416,367,0,783,261,282,0,543,43,0,355,177,0,1,0,0,0,3,0,0,0,0,1,1,1,2,2,543
147,"P.S. TAKELI",705,596,0,1301,490,381,0,871,29,0,195,125,505,3,1,0,4,1,1,2,3,0,5,9,4,10,3,871
148,"J.H.S. KARSEVARA R. NO 1",571,492,0,1063,405,370,0,775,43,0,264,243,197,9,2,0,1,3,0,1,1,1,1,6,2,2,42,775
149,"J.H.S. KARSEVARA R. NO 2",726,591,0,1317,522,384,0,906,9,0,361,301,183,5,1,0,4,0,1,1,2,0,2,2,0,9,34,906
150,"P.S. VAKARNAGAR",347,279,0,626,239,189,0,428,310,0,228,18,160,5,1,0,0,1,2,0,2,0,1,3,0,0,7,428
151,"P.S. SHARIFPUR KASMANDA",257,223,0,480,157,126,0,283,213,0,38,16,207,13,1,0,1,0,0,0,4,0,0,0,0,1,2,283
152,"P.S. JEETAMAU KALA R. NO 1",481,410,1,892,367,263,0,630,3,0,259,55,281,5,1,0,4,2,0,0,0,1,0,3,1,3,15,630
153,"P.S. JEETAMAU KALA R. NO 2",230,208,0,438,139,99,0,238,38,0,128,14,89,2,0,0,1,0,0,0,0,0,0,0,0,0,4,238
154,"P.S.KHURD H/O JEETAMAUKALA",323,314,0,637,265,147,0,412,8,0,250,21,112,2,0,1,2,0,0,0,0,0,0,8,6,6,4,412
155,"PANCHAYAT GHAR SHERPUR",284,239,0,523,189,166,0,355,2,0,132,31,169,9,0,2,1,0,0,0,0,1,0,2,2,1,5,355
156,"P.S. MOHAMMDIPUR H/0 SHERPUR",580,464,0,1044,439,321,0,760,1,0,436,156,126,5,3,0,4,1,1,3,0,0,3,2,3,10,7,760
157,"P.S. SHAHABAD H/O SHERPUR",611,463,0,1074,470,358,0,828,1,0,390,31,350,14,2,2,1,2,2,0,0,0,3,6,3,12,10,828
158,"JANTA I.C.KALYANPUR",372,345,0,717,238,196,0,434,91,0,161,34,218,8,1,0,0,0,0,0,1,1,0,0,1,3,6,434
159,"J.H.S.BAHADURPUR H/O KALYANPUR",264,257,0,521,175,159,0,334,180,0,55,87,167,6,1,0,1,1,2,1,1,0,2,5,1,0,4,334
160,"P.S.ERAPUR H/O KHAIRULLAPUR",509,437,0,946,383,307,0,690,16,0,397,71,162,5,0,0,3,0,2,0,3,2,0,1,3,7,34,690
161,"P.S. KHAIRULLAPUR",599,528,0,1127,387,282,0,669,6,0,95,302,228,7,0,0,0,1,1,0,8,1,0,3,1,5,17,669
162,"PANCHAYAT GHAR GUREPARA H/O MANPUR",660,576,0,1236,413,339,0,752,1,0,245,118,323,12,1,2,3,0,1,0,0,1,1,1,3,7,34,752
163,"P.S. MANPUR R. NO 1",492,467,0,959,304,221,0,525,472,0,169,26,307,4,0,2,0,2,0,1,0,1,0,3,1,4,5,525
164,"P.S. MANPUR R. NO 2",395,333,0,728,289,220,0,509,292,0,245,7,227,0,0,0,5,0,0,0,0,1,2,3,1,9,9,509
