"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KU. DEVENDRA SINGH YADAV","2 - NOOR MOHAMMAD KHAN","3 - RAJVEER SINGH RAJU BHAIYA","4 - TH. JOGINDRA SINGH BHADORIYA","5 - RAJENDRA","6 - VINAY","7 - THAKUR HEMENDRA VEER SINGH","8 - HANS  RAJ SINGH","9 - DANVEER","10 - RAKESH GANDHI","11 - RAJVEER SINGH","12 - None of the Above","Total Votes Secured"
30,"J.H.SCHOOL CHANDAUS",892,656,0,1548,477,331,0,808,699,0,229,257,278,6,2,4,4,1,1,3,12,11,808
31,"PRA.PATH. KAMPUR",373,302,0,675,251,229,0,480,480,0,45,348,76,1,2,2,2,0,1,0,1,2,480
32,"PRA.PATH. TAKHRU R. NO. 1",636,493,0,1129,377,270,0,647,210,0,52,252,279,28,3,5,1,0,2,6,6,13,647
33,"PRA.PATH. TAKHRU R. NO. 2",439,338,0,777,238,174,0,412,34,0,74,37,272,6,0,0,1,0,3,3,5,11,412
34,"PRA.PATH. NAGLA ULFAT",503,422,0,925,236,216,0,452,451,0,233,51,119,24,2,3,1,2,1,3,3,10,452
35,"PRA.PATH BIRAUCHI",609,545,0,1154,353,312,0,665,600,0,219,138,254,4,0,1,4,24,2,6,3,10,665
36,"PRA.PATH. HARNATHPUR",329,260,0,589,232,186,0,418,415,0,192,79,136,1,0,0,1,1,0,3,1,4,418
37,"PRA.PATH KHUSALPUR",294,245,0,539,207,165,0,372,372,0,245,4,117,1,0,1,0,0,0,0,3,1,372
38,"PRA.PATH. SOHABATPUR BHOOD",357,288,0,645,275,220,0,495,100,0,359,84,46,0,0,1,0,0,0,4,1,0,495
39,"J.H. SCHOOL PACHORA SCHOOL",238,217,0,455,126,126,0,252,252,0,50,12,174,2,2,0,0,3,0,4,0,5,252
40,"PRA.PATH KUNVARPUR",469,411,0,880,327,256,0,583,6,0,39,17,510,9,0,0,0,2,0,3,0,3,583
41,"PRA.PATH. GYOTI",575,532,0,1107,365,331,0,696,350,0,163,87,422,3,0,1,5,3,3,4,2,3,696
42,"PRA.PATH. BADANPUR",583,482,0,1065,360,286,0,646,23,0,93,67,453,8,1,2,6,3,1,5,5,2,646
43,"PRA.PATH. NAURATA",809,697,0,1506,506,363,0,869,867,0,492,149,184,3,2,2,1,5,1,6,12,12,869
44,"PRA.PATH. AGOLI M. AGOLI KIRAMAI",512,422,0,934,324,256,0,580,19,0,112,431,28,2,0,1,0,0,0,3,0,3,580
45,"PRA.PATH. RAMPUR",128,142,0,270,116,107,0,223,223,0,5,0,214,1,1,0,0,0,0,0,2,0,223
46,"PRA.PATH. KIRAMAI",305,241,0,546,207,151,0,358,152,0,322,2,29,0,0,0,0,0,0,5,0,0,358
47,"PRA.PATH. BHIDONI",738,595,0,1333,513,406,0,919,518,0,805,26,21,2,0,1,1,5,2,49,4,3,919
48,"PRA.PATH. KARUVARA M. FATEHPUR KALAN R.NO. 2",351,301,0,652,252,184,0,436,421,0,284,11,13,109,2,3,2,0,0,5,1,6,436
49,"PRA.PATH. KARUVARA M. FATEHPUR KALAN R.NO. 1",396,294,0,690,290,206,0,496,496,0,246,209,28,1,0,3,4,0,1,1,0,3,496
50,"PRA.PATH. FATEHPUR KALAN R.NO. 1",579,491,0,1070,386,260,0,646,47,0,311,249,52,2,2,3,0,2,2,6,5,12,646
51,"PRA.PATH. FATEHPUR KALAN R.NO. 2",316,315,0,631,196,170,0,366,287,0,242,43,67,2,0,1,1,0,1,1,1,7,366
52,"PRA.PATH. FATEHPUR KALAN R.NO. 3",406,316,0,722,248,140,0,388,106,0,120,29,85,121,4,7,0,4,0,6,3,9,388
53,"PRA. PATH. BHAUPUR",504,436,0,940,337,216,0,553,55,0,289,89,78,72,2,4,4,2,0,5,5,3,553
54,"PRA.PATH. ADHPURA",442,333,0,775,276,219,0,495,6,0,359,24,93,1,0,0,2,1,3,4,2,6,495
55,"J.H.SCHOOL SALEMPUR BIBI R.NO. 1",711,576,0,1287,512,343,0,855,123,0,349,143,320,3,0,0,2,1,1,4,18,14,855
56,"J.H.SCHOOL SALEMPUR BIBI R.NO. 2",187,172,0,359,120,88,0,208,64,0,128,2,67,0,0,1,0,1,0,2,4,3,208
57,"J.H.SCHOOL SALEMPUR BIBI R.NO. 3",496,450,0,946,222,150,0,372,369,0,113,36,198,5,1,1,3,0,1,4,3,7,372
58,"PRA.PATH. BHADPURA",599,426,0,1025,511,309,0,820,801,0,754,23,33,1,0,0,2,0,1,2,1,3,820
59,PRA.PATH.BARODA,533,430,0,963,362,229,0,591,24,0,420,45,64,5,1,2,4,2,2,27,9,10,591
60,"PRA.PATH. UKURRI",688,578,0,1266,463,394,0,857,108,0,153,230,418,12,2,3,4,6,5,7,7,10,857
61,"PRA.PATH. BANUPUR PUKHTA",689,553,0,1242,461,328,0,789,399,0,371,203,144,26,4,3,6,1,3,12,7,9,789
62,"PURV MADHYAMIKK VIDYALAYA MALIKPUR",378,325,0,703,330,222,0,552,552,0,494,14,39,0,0,0,0,1,0,2,1,1,552
63,"PRA.PATH. JARAITHA",271,232,0,503,212,133,0,345,93,0,136,88,87,17,2,3,1,0,0,0,4,7,345
64,"PRA.PATH. PASOI",543,465,0,1008,397,275,0,672,344,0,657,5,1,1,0,2,1,0,0,1,0,4,672
65,"PRA.PATH. NAGLA LALE",353,284,0,637,296,198,0,494,25,0,286,115,35,48,2,2,0,0,0,3,1,2,494
66,"PRA.PATH. TARAPUR KANAK",261,210,0,471,188,149,0,337,247,0,40,3,286,1,1,0,0,0,0,3,2,1,337
67,"PRA.PATH. TARAPUR NASIRPUR PUKHTA",293,222,0,515,228,134,0,362,1,0,316,12,31,2,0,0,0,1,0,0,0,0,362
68,"PRA.PATH. KADARBADI R.NO. 1",778,635,0,1413,478,416,0,894,111,0,213,91,522,13,5,6,5,5,1,4,13,16,894
69,"PRA.PATH. KADARBADI R.NO. 2",576,459,0,1035,370,278,0,648,648,0,145,101,358,20,1,1,1,1,2,3,11,4,648
70,"PRA.PATH. THATERPUR",524,417,0,941,372,281,0,653,1,0,219,87,264,61,1,3,3,1,2,2,5,5,653
71,PRA.PATH.LAHERA,805,629,0,1434,453,321,0,774,774,0,133,35,511,19,1,6,6,5,4,16,20,18,774
72,"PRA.PATH. PATHAKPUR",464,340,0,804,240,186,0,426,126,0,104,62,214,3,0,5,3,8,1,4,9,13,426
73,"PRA.PATH. SHAHPUR MAFI",595,508,0,1103,463,337,0,800,797,0,32,660,72,4,1,0,3,7,2,3,8,8,800
74,"PRA.PATH. MILKINIYA M. SHYAMSAR",389,301,0,690,300,222,0,522,519,0,105,96,222,82,1,3,1,2,2,4,3,1,522
75,"PRA.PATH. SHYAMSAR R. NO. 1",799,692,0,1491,491,380,0,871,835,0,208,179,419,28,1,3,4,1,1,8,14,5,871
76,"PRA.PATH. SHYAMSAR R. NO. 2",280,244,0,524,187,142,0,329,292,0,65,20,215,16,0,0,1,0,1,3,4,4,329
77,"PRA.PATH. TIMBARPUR",560,415,0,975,412,270,0,682,65,0,518,48,90,18,0,0,0,0,0,3,2,3,682
78,"PRA.PATH. HIMAYUNPUR",542,477,0,1019,366,325,0,691,66,0,88,81,491,9,2,3,2,0,4,2,6,3,691
79,"PRA.PATH. BAHADURNAGAR",486,346,0,832,292,221,0,513,21,0,15,182,187,112,1,2,1,2,2,2,5,2,513
80,"SANT TULSIDAS INT. COLL. SORON R. NO. 1",849,659,0,1508,438,280,0,718,294,0,137,153,381,14,2,1,4,4,1,8,5,8,718
81,"SANT TULSIDAS INT. COLL. SORON R. NO. 2",576,498,0,1074,304,207,0,511,507,0,106,92,292,3,0,3,2,0,1,7,0,5,511
82,"SANT TULSIDAS INT. COLL. SORON R. NO. 3",520,427,0,947,277,216,0,493,340,0,131,39,309,3,1,0,0,0,0,4,0,6,493
83,"SANT TULSIDAS INT. COLL. SORON R. NO. 4",623,493,0,1116,337,243,0,580,565,0,105,34,429,1,1,2,0,2,1,0,2,3,580
84,"SANT TULSIDAS INT. COLL. SORON R. NO. 5",556,440,0,996,300,235,0,535,518,0,93,15,409,10,0,1,0,0,1,1,2,3,535
85,"SANT TULSIDAS INT. COLL. SORON R. NO. 6",394,317,0,711,186,161,0,347,147,0,55,7,270,1,0,2,0,2,1,3,4,2,347
86,"N.P. KARYALAYA SORON R.NO. 1",765,569,0,1334,466,281,0,747,430,0,136,15,572,4,1,1,1,0,4,6,4,3,747
87,"PRA.KANYA PATHSHALA WARD NO. 4 SORON (MULTIPURPOSE ROOM)",774,601,1,1376,437,311,0,748,745,0,175,20,516,13,2,4,2,1,1,4,3,7,748
88,"KANYA PRA.VIDH. WARD NO. 3 SORON R.NO. 1",770,611,0,1381,381,264,0,645,445,0,415,21,191,5,0,3,0,2,0,3,2,3,645
89,"KANYA PRA.VIDH. WARD NO. 3 SORON R.NO. 2",648,551,0,1199,253,236,0,489,20,0,151,244,82,2,1,1,1,0,1,2,2,2,489
90,"KANYA PRA.PATH. WARD NO. 2 SORON",771,645,0,1416,433,330,0,763,748,0,243,7,500,3,0,5,1,1,0,0,1,2,763
91,"BALAK PRA.VIDH. WARD NO. 2 SORON R.NO. 1(MULTIPURPOSE ROOM)",418,395,0,813,254,216,0,470,443,0,56,5,396,2,0,1,1,2,0,2,3,2,470
92,"BALAK PRA.VIDH.WARD NO. 2 SORON R.NO. 2",443,371,0,814,242,168,0,410,410,0,53,13,314,5,1,7,1,0,1,2,7,6,410
93,"PRA.PATH. PAHADPUR KATRA (GADIYA RET)",190,149,0,339,102,91,0,193,101,0,77,30,76,3,2,0,0,0,0,1,4,0,193
94,"PRA.PATH. BADARIYA",871,644,0,1515,435,342,0,777,583,0,157,17,566,9,1,2,2,3,1,3,7,9,777
95,"KANYA PRA.PATH. BADARIYA",796,644,0,1440,472,373,0,845,628,0,300,149,380,4,0,3,1,0,2,0,1,5,845
96,"PRA.PATH. BASANTNAGAR",563,457,0,1020,434,316,0,750,19,0,348,69,207,88,1,1,3,1,3,13,5,11,750
97,"PURVA MADHMAMIK VIDYALAYA MIRZAPUR",353,282,0,635,317,234,0,551,551,0,545,2,3,0,0,0,0,0,0,0,1,0,551
98,"PRA.PATH. TOLAKPUR R.NO. 1",492,389,0,881,359,259,0,618,9,0,253,158,119,54,0,3,1,6,2,11,5,6,618
99,"PRA.PATH. TOLAKPUR R.NO. 2",433,406,0,839,264,211,0,475,10,0,142,80,133,88,2,3,1,3,2,6,9,6,475
100,"PRA.PATH.NAGLA KASHI",242,196,0,438,156,145,0,301,146,0,11,43,222,8,0,5,0,1,0,3,4,4,301
101,"PRA.PATH. VARKULA",799,694,0,1493,547,397,0,944,244,0,652,72,90,116,5,2,0,2,0,3,1,1,944
102,"PRA.PATH. KHERPUR",475,409,0,884,334,256,0,590,570,0,497,6,70,1,0,1,0,0,0,12,1,2,590
103,"PRA.PATH. NAGLA. SUKHA",308,233,0,541,284,193,0,477,223,0,7,5,457,4,0,0,0,0,0,2,1,1,477
104,"PRA.PATH. NAGLA JHADDI",285,259,0,544,254,228,0,482,197,0,12,3,456,0,0,0,1,0,1,4,5,0,482
105,"PRA.PATH. KHALILPUR",356,310,0,666,267,243,0,510,490,0,19,436,48,3,0,0,0,0,2,0,1,1,510
106,"PRA.PATH. ANANDIPUR",260,221,0,481,206,148,0,354,354,0,30,4,254,56,0,2,2,1,2,1,1,1,354
107,"PRA.PATH. HODELPUR R.NO. 1",539,451,0,990,300,261,0,561,556,0,90,8,409,7,0,1,3,4,2,6,14,17,561
108,"PRA.PATH. HODELPUR R.NO. 2",546,460,0,1006,318,221,0,539,3,0,96,38,377,3,0,5,1,0,3,6,5,5,539
109,"PRA.PATH. FARIDNAGAR",376,319,0,695,258,237,0,495,495,0,42,8,427,7,0,1,0,1,2,1,5,1,495
110,"PRA.PATH. MUSAVALI",465,385,0,850,304,250,0,554,2,0,71,56,398,4,0,3,1,0,4,5,5,7,554
111,"PRA.PATH. SALEMPUR URF NAGLA BHUTAL",241,216,0,457,198,151,0,349,26,0,36,106,83,106,3,2,1,1,4,2,1,4,349
112,"PRA.PATH. SAGARPUR M. GANGAGARH",529,427,0,956,402,287,0,689,216,0,65,18,585,4,0,0,1,0,1,4,6,5,689
113,"PRA.PATH. GANGAGARH R.NO. 1",645,551,0,1196,364,294,0,658,641,0,154,95,384,5,0,3,0,0,1,4,4,8,658
114,"PRA.PATH. GANGAGARH R.NO. 2",633,517,0,1150,404,337,0,741,6,0,511,70,134,5,3,0,0,2,1,11,1,3,741
115,"PRA.PATH. BRAHMPURI",693,580,0,1273,398,304,0,702,685,0,45,81,541,6,0,1,1,0,1,19,3,4,702
116,"PRA.PATH. HARNATHPUR",366,334,0,700,269,222,0,491,15,0,11,6,469,1,0,0,0,2,0,2,0,0,491
117,"J.H. SCHOOL DEVRI M. DEVRI PRAHALADPUR",426,364,0,790,305,220,0,525,1,0,338,97,83,1,1,2,0,0,0,0,0,3,525
118,"PRA.PATH. PRAHALADPUR M. DEVRI PRAHLADPUR R. NO. 1",427,348,0,775,290,211,0,501,45,0,257,5,231,3,0,0,0,1,1,0,2,1,501
119,"PRA.PATH. PRAHALADPUR M. DEVRI PRAHLADPUR R. NO. 2",465,384,0,849,305,243,0,548,204,0,28,53,451,5,2,1,1,1,0,1,5,0,548
120,"PRA.PATH. PRAHALADPUR M. DEVRI PRAHLADPUR R. NO. 3",492,398,0,890,340,267,0,607,10,0,181,214,200,0,0,2,3,0,1,1,3,2,607
121,"PRA.PATH. PAHADPUR KHURD",393,362,0,755,256,213,0,469,11,0,42,204,202,1,1,0,3,3,1,3,7,2,469
122,"J.H.SCHOOL NAGLA SURJI",349,316,0,665,303,262,0,565,12,0,14,3,531,5,0,0,0,0,0,3,7,2,565
123,"PRA.PATH. NAGLA KHANJI M. TAKUAVAR R.NO. 1",373,298,0,671,223,163,0,386,1,0,169,123,69,3,2,1,1,0,0,13,3,2,386
124,"PRA.PATH. NAGLA KHANJI M. TAKUAVAR R.NO. 2",725,596,0,1321,543,439,0,982,250,0,35,1,901,10,0,2,1,2,3,8,8,11,982
125,"PRA.PATH. DORAI",500,413,0,913,342,276,0,618,613,0,63,152,386,5,2,0,0,1,2,1,3,3,618
126,"PRA.PATH. NAGLA HEERA M. GORHA",234,192,0,426,178,159,0,337,254,0,6,2,316,2,0,0,1,0,2,6,1,1,337
127,"J.H. SCHOOL GORHA R.NO. 1",678,542,0,1220,365,304,0,669,8,0,94,315,233,4,1,1,5,2,2,1,6,5,669
128,"J.H. SCHOOL GORHA R.NO. 2",370,314,0,684,220,210,0,430,39,0,203,130,67,26,1,1,0,0,0,0,1,1,430
129,"PRA.PATH. GURHENA",721,608,0,1329,403,332,0,735,70,0,198,50,466,6,1,0,1,0,0,5,5,3,735
130,"PRA.PATH.KYAMPUR M. KYAMPUR BAHERIYA",356,289,0,645,173,121,0,294,281,0,73,2,186,5,2,0,1,15,3,2,3,2,294
131,"PRA.PATH. BAHERIYA M. KYAMPUR BAHERIYA R. NO. 1",543,415,0,958,380,259,0,639,639,0,402,140,81,2,1,1,2,3,0,1,5,1,639
132,"PRA.PATH. BAHERIYA M. KYAMPUR BAHERIYA R. NO. 2",412,304,0,716,345,172,0,517,450,0,404,8,96,1,0,0,0,1,0,0,4,3,517
133,"PRA.PATH. MAMON R.NO. 1",529,472,0,1001,386,354,0,740,9,0,60,116,536,9,4,1,4,0,1,4,4,1,740
134,"PRA.PATH. MAMON R.NO. 2",498,421,0,919,390,341,0,731,100,0,8,560,143,1,0,3,4,1,1,1,3,6,731
135,"PRA.PATH. BHITONA R.NO. 1",507,424,0,931,295,234,0,529,12,0,284,32,189,5,1,1,0,0,1,4,4,8,529
136,"PRA.PATH. BHITONA R.NO. 2",760,656,0,1416,519,426,0,945,45,0,118,6,782,6,0,2,0,0,1,8,8,14,945
137,"PRA.PATH. KILONI RAFATPUR R.NO. 1",550,467,0,1017,340,276,0,616,41,0,320,162,107,2,1,3,0,3,0,1,3,14,616
138,"PRA.PATH. KILONI RAFATPUR R.NO. 2",376,330,0,706,284,223,0,507,507,0,196,14,281,5,0,0,2,1,0,1,3,4,507
139,"PRA.PATH. NAGLA NAUKAS",209,195,0,404,125,131,0,256,10,0,108,0,140,0,1,0,1,1,0,2,2,1,256
140,"J.H.SCHOOL NAGLA THAN",467,389,0,856,339,270,0,609,609,0,118,71,397,5,1,1,1,0,0,1,4,10,609
141,"PRA.PATH. NARAULI R.NO. 1",746,607,0,1353,509,403,0,912,62,0,178,68,634,2,0,2,1,2,1,6,11,7,912
142,"PRA.PATH. NARAULI R.NO. 2",269,236,0,505,203,163,0,366,365,0,8,5,342,5,0,1,0,0,0,3,1,1,366
143,"PRA.PATH. KISRAULI",712,581,0,1293,399,311,0,710,408,0,71,277,327,8,2,2,3,1,2,7,6,4,710
144,"CHAMPADEVI J.H. SCHOOL NAGLA CHINTI",261,221,0,482,213,171,0,384,14,0,294,6,65,0,0,1,2,0,0,2,4,10,384
145,"J.H. SCHOOL JHAVAR",448,370,0,818,347,272,0,619,500,0,542,2,62,1,0,2,1,1,0,3,3,2,619
146,"PRA.PATH. PACHGAI",837,654,0,1491,458,355,0,813,14,0,158,174,394,48,2,1,4,3,1,8,13,7,813
147,"PRA.PATH. NAGLA MANDANPUR",197,144,0,341,118,109,0,227,11,0,201,24,0,0,0,0,0,0,0,1,0,1,227
148,"PRA.PATH. NAGLA SAMMA",272,230,0,502,166,134,0,300,10,0,281,4,9,0,0,0,0,0,1,3,0,2,300
149,"PRA.PATH. AKBARPUR",599,520,0,1119,370,301,0,671,136,0,59,15,524,45,1,3,1,0,3,3,10,7,671
150,"PRA.PATH. GANGABAS M. PACHGAI",298,282,0,580,225,194,0,419,419,0,30,2,367,6,0,2,0,0,3,3,4,2,419
151,"PRA.PATH. BHAGVANTPUR R.NO. 1",381,321,0,702,232,156,0,388,10,0,75,9,293,1,0,0,0,0,0,1,3,6,388
152,"PRA.PATH. BHAGVANTPUR R.NO. 2",254,226,0,480,118,97,0,215,215,0,23,122,59,1,0,2,1,1,1,2,2,1,215
153,"PRA.PATH. NAGLA BICH URF NAGLA BIDHA",353,305,0,658,236,230,0,466,284,0,57,66,333,0,0,0,0,1,2,3,1,3,466
154,"PRA.PATH. GHINAUNA R. NO. 1",654,563,0,1217,354,288,0,642,552,0,396,94,127,6,5,2,1,0,0,1,4,6,642
155,"PRA.PATH. GHINAUNA R. NO. 2",642,552,0,1194,347,295,0,642,4,0,258,37,316,6,1,2,3,0,1,5,5,8,642
156,"PRA.PATH. MEHAVA KHURD",229,170,0,399,201,135,0,336,100,0,300,5,22,1,0,1,1,0,1,2,1,2,336
157,"J.H. SCHOOL MAHEVA KALAN",246,216,0,462,156,141,0,297,99,0,153,100,35,1,0,0,0,2,0,1,2,3,297
158,"PRA.PATH. GAUSPUR BHUPALGARHI R. NO. 1",530,419,0,949,403,281,0,684,1,0,647,4,27,0,0,0,0,1,0,2,1,2,684
159,"PRA.PATH. GAUSPUR BHUPALGARHI R. NO. 2",410,328,0,738,289,197,0,486,15,0,394,45,34,1,0,0,0,1,0,2,4,5,486
160,"PRA.PATH. IKHONA",755,574,0,1329,549,388,0,937,931,0,720,157,44,0,0,1,1,0,1,3,3,7,937
161,"PRA.PATH. CHHICHORA",516,396,0,912,333,196,0,529,490,0,454,21,41,0,0,2,0,4,1,0,1,5,529
162,"PRA.PATH. NAGLA SUMRA",620,488,0,1108,355,244,0,599,599,0,530,6,54,1,1,2,0,1,0,2,0,2,599
163,"PRA.PATH. INAYTI",428,392,0,820,234,197,0,431,431,0,89,181,143,4,0,0,2,1,0,2,4,5,431
164,"PRA.PATH. NAGLA AMBAR M. INAYATI",351,293,0,644,298,243,0,541,340,0,499,4,31,0,1,0,0,1,0,4,0,1,541
165,"PRA.PATH. TAYYAB KHAN M. KINAWA",343,263,0,606,241,169,0,410,13,0,361,16,33,0,0,0,0,0,0,0,0,0,410
166,"PRA.PATH. KINAWA R.N.1 WEST",483,403,0,886,266,265,0,531,179,0,157,349,12,2,2,0,2,1,0,1,2,3,531
167,"PRA.PATH. KINAWA R.N. 2 EAST",727,604,0,1331,337,297,0,634,445,0,173,358,63,2,1,1,3,4,2,3,11,13,634
168,"PRA.PATH. BHAMON",814,658,0,1472,429,395,0,824,804,0,136,637,29,3,0,2,4,2,2,1,1,7,824
169,"PRA.PATH. BAHIDPUR MAFI",799,700,0,1499,424,454,0,878,24,0,102,32,711,4,2,0,1,9,4,2,6,5,878
170,"U.PRA.VIDYALAYA DHOLNA R. NO. 1",452,385,0,837,244,254,0,498,433,0,64,170,225,4,2,5,2,5,1,8,3,9,498
171,"U.PRA.VIDYALAYA DHOLNA R. NO. 2",415,366,0,781,282,212,0,494,4,0,44,28,398,6,0,4,0,2,1,3,3,5,494
172,"PRA.VIDYALAYA DOLHNA (PRATHAM)",404,341,0,745,226,195,0,421,331,0,66,157,174,3,2,0,2,1,2,1,6,7,421
173,"PRA.PATH. NAGLA BHOOR",470,377,0,847,279,229,0,508,377,0,68,71,354,1,0,2,1,0,1,0,6,4,508
174,"J.H. SCHOOL BHARSOLI JUNGLE R.NO. 1",474,432,0,906,261,240,0,501,450,0,42,122,297,11,0,1,3,3,1,6,6,9,501
175,"J.H. SCHOOL BHARSOLI JUNGLE R.NO. 2",370,302,0,672,292,168,0,460,70,0,54,4,389,5,0,0,2,0,0,1,2,3,460
176,"PRA.PATH. TAWALPUR",819,647,0,1466,448,358,0,806,104,0,315,268,193,7,1,2,2,2,1,5,3,7,806
177,"PRA.PATH. ITAUA",403,382,0,785,331,268,0,599,17,0,504,48,20,8,0,0,3,1,0,8,2,5,599
178,"PRA.PATH. ISHEPUR",261,208,0,469,188,165,0,353,38,0,97,9,236,3,1,0,0,3,2,1,0,1,353
179,"PRA.PATH. MOHAMMADPUR",520,440,0,960,358,300,0,658,558,0,21,37,582,5,0,4,1,1,0,5,2,0,658
180,"MANPAL SINGH INT.COLL. MAHAVAR R. NO. 1",546,449,0,995,319,224,0,543,1,0,157,2,370,2,0,0,0,1,0,6,5,0,543
181,"MANPAL SINGH INT.COLL. MAHAVAR R. NO. 2",603,487,0,1090,364,285,0,649,239,0,108,19,488,9,1,3,4,1,3,2,6,5,649
182,"PRA.PATH. NAGLA CHANDAN",315,298,0,613,152,180,0,332,1,0,123,7,176,4,2,0,1,1,2,5,2,9,332
183,"PRA.PATH. HARIYATHER",241,217,0,458,177,135,0,312,4,0,250,6,46,1,0,1,1,0,1,0,3,3,312
184,"J.H.SCHOOL NAGLA GODHI",309,271,0,580,241,214,0,455,65,0,48,3,386,4,0,0,0,0,1,2,7,4,455
185,"PRA.PATH. TAYYABPUR KAMALPUR R.NO. 1",175,140,0,315,108,82,0,190,186,0,66,11,92,18,0,0,0,0,0,0,2,1,190
