"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AFZAL SIDDIQUI","2 - USHA MAURYA","3 - NIRANJAN JYOTI","4 - RAKESH SACHAN","5 - ASHOK MISHRA","6 - ZAINUL ABDIN","7 - MOHAMMAD JAVED","8 - RAMKRISHNA TRIPATHI","9 - RAMLOCHAN SEN","10 - RUKMINI DEVI NISHAD","11 - ARVIND KUMAR","12 - CHANDRABHAN SINGH","13 - RANJANA KAKKAR","14 - SRIDEVI","15 - None of the Above","Total Votes Secured"
48,"SA.S.SAMITI  LALAULI  ROOM N0 1",448,388,0,836,252,203,0,455,450,0,116,5,285,20,2,0,2,8,1,2,2,0,6,3,3,455
49,"SA.S.SAMITI  LALAULI  ROOM N0 2",375,364,0,739,131,192,0,323,323,0,209,6,63,20,0,7,0,2,0,2,0,0,1,5,8,323
50,"ANGANVADI KENDRA LALULI",874,779,0,1653,443,490,0,933,929,0,884,3,2,14,0,2,0,0,1,0,1,1,1,3,21,933
51,"P.S. LALAULI ROOM N0 1",751,667,0,1418,230,273,0,503,496,0,386,5,55,42,0,1,0,0,0,0,0,0,0,5,9,503
52,"P.S. LALAULI ROOM N0 2",717,622,0,1339,230,345,0,575,480,0,461,2,85,18,0,0,0,1,0,0,1,0,2,1,4,575
53,"INTER COLLEGE LALAULI ROOM N0 1",489,439,0,928,152,243,0,395,395,0,340,3,35,4,0,0,0,0,1,1,0,0,1,0,10,395
54,"INTER COLLEGE LALAULI ROOM N0 2",421,377,0,798,192,222,0,414,200,0,344,7,38,15,0,0,0,1,0,0,0,0,0,0,9,414
55,"INTER COLLEGE LALAULI ROOM N0 3",459,409,0,868,210,251,0,461,461,0,332,15,47,32,1,1,0,7,0,1,1,1,3,7,13,461
56,"INTER COLLEGE LALAULI ROOM N0 4",455,395,0,850,155,190,0,345,333,0,299,3,3,29,0,0,0,1,1,2,0,0,1,2,4,345
57,"KANYA U.P.S. LALAULI ROOM N0 1",493,428,0,921,178,258,0,436,420,0,341,2,48,18,1,0,1,3,2,0,1,1,0,2,16,436
58,"KANYA U.P.S. LALAULI ROOM N0 2",509,447,0,956,146,239,0,385,385,0,317,8,2,41,1,1,1,1,2,0,1,0,1,0,9,385
59,"P.S. LALAULI II ROOM N0 1",446,434,0,880,126,216,0,342,284,0,261,1,0,64,0,0,0,0,0,0,0,0,1,7,8,342
60,"P.S. LALAULI II ROOM N0 2",494,416,0,910,153,216,0,369,366,0,266,2,42,39,1,2,2,0,0,0,0,1,0,6,8,369
61,"P.S. PALTU KA PURWA MAJRE LALAULI   ROOM N0 1",488,433,0,921,299,271,0,570,570,0,118,12,363,17,2,5,0,13,0,0,2,3,12,8,15,570
62,"P.S. PALTU KA PURWA MAJRE LALAULI   ROOM N0 2",338,305,0,643,198,203,0,401,401,0,15,3,330,25,0,1,0,5,0,2,1,1,11,3,4,401
63,"U.P.S. KORRANKANAK ROOM N0 1",588,509,0,1097,338,308,0,646,642,0,304,10,274,30,2,0,0,2,0,1,1,3,6,6,7,646
64,"U.P.S. KORRANKANAK ROOM N0 2",532,395,0,927,312,253,0,565,565,0,51,7,457,24,4,0,1,5,1,2,1,1,3,3,5,565
65,"P.S. KORRANKANAK ROOM N0 1",470,336,0,806,218,192,0,410,410,0,85,7,279,26,0,0,1,1,2,0,0,1,2,2,4,410
66,"P.S. KORRANKANAK ROOM N0 2",468,365,0,833,213,153,0,366,293,0,134,5,193,15,1,0,0,3,1,1,0,0,1,4,8,366
67,"P.S.   RASI KA DERA MAJRE KORRA KANAK ROOM N0 1",447,399,0,846,229,218,0,447,204,0,32,3,119,269,3,0,0,4,0,0,1,0,6,3,7,447
68,"P.S.   RASI KA DERA MAJRE KORRA KANAK ROOM N0 2",450,403,0,853,266,271,0,537,300,0,39,7,372,104,0,1,0,7,0,0,1,0,3,2,1,537
69,"P.S.  ONAI KA DERA MAJRE  KORRA KANAK ROOM N0 1",479,435,0,914,279,239,0,518,516,0,69,8,320,95,3,0,1,6,0,2,1,1,6,1,5,518
70,"P.S.  ONAI KA DERA MAJRE  KORRA KANAK ROOM N0 2",452,396,0,848,244,178,0,422,422,0,14,8,316,60,2,1,1,3,2,0,0,1,4,5,5,422
71,"P.S.  MAHNA  ROOM N0 1",794,635,0,1429,477,379,0,856,856,0,149,11,557,88,6,3,3,12,3,0,0,2,3,4,15,856
72,"P.S.  MAHNA  ROOM N0 2",551,394,0,945,372,244,0,616,614,0,119,10,421,17,2,2,4,10,3,0,2,1,7,4,14,616
73,"P.S. DASHARI",268,227,0,495,163,138,0,301,296,0,47,4,155,74,2,0,1,3,5,0,1,0,2,1,6,301
74,"P.S.  PAWARANPUR MAJRE SAMRAI ROOM N0 1",445,358,0,803,286,235,0,521,521,0,54,5,427,22,0,0,0,1,0,1,1,1,3,2,4,521
75,"P.S.  PAWARANPUR MAJRE SAMRAI ROOM N0 2",426,355,0,781,224,199,0,423,320,0,120,7,239,30,1,0,1,3,0,0,0,3,5,2,12,423
76,"KANYA  SIDHAO P.S. ROOM N0 1",429,376,0,805,300,249,0,549,540,0,188,22,220,90,5,2,0,8,0,0,1,1,2,4,6,549
77,"KANYA  SIDHAO P.S. ROOM N0 2",454,372,0,826,278,217,0,495,463,0,142,4,297,18,6,2,0,1,1,1,1,0,1,7,14,495
78,"KANYA  SIDHAO P.S. ROOM N0 3",487,413,0,900,306,273,0,579,579,0,166,13,345,27,1,5,1,2,1,0,0,2,1,3,12,579
79,"P.S. CHAK PAIGAMBARPUR",496,410,0,906,268,235,0,503,503,0,145,13,274,60,1,2,0,2,0,1,0,0,2,1,2,503
80,"P.S. KARAIHA",554,460,0,1014,296,297,0,593,586,0,59,10,426,39,1,4,1,8,2,1,3,2,18,8,11,593
81,"P.S.  MUTTAUR ROOM N0 1",734,522,0,1256,425,307,0,732,700,0,235,15,443,17,4,0,0,2,0,0,1,1,3,4,7,732
82,"P.S.  MUTTAUR ROOM N0 2",685,577,0,1262,432,388,0,820,656,0,238,13,381,149,4,3,0,2,0,0,0,3,10,5,12,820
83,"P.S.  UMARPUR",366,238,0,604,218,124,0,342,247,0,21,2,195,104,5,1,2,2,1,0,0,1,0,1,7,342
84,P.S.JAMENI,530,422,0,952,287,235,0,522,522,0,72,8,399,17,0,0,0,5,1,1,2,2,7,3,5,522
85,"P.S. SAMADPUR",290,240,0,530,151,112,0,263,210,0,19,4,165,40,0,0,0,9,1,0,5,3,3,4,10,263
86,"P.S. OTI",729,488,0,1217,414,298,0,712,672,0,230,17,389,49,2,0,0,3,1,0,1,0,1,8,11,712
87,"JANTA INTER COLLEGE DATAULI  ROOM N0 1",848,697,0,1545,454,407,0,861,853,0,135,14,629,23,2,0,1,8,4,1,1,1,10,14,18,861
88,"JANTA INTER COLLEGE DATAULI  ROOM N0 2",774,559,0,1333,410,294,0,704,704,0,138,7,421,84,3,1,1,3,1,2,4,5,11,9,14,704
89,"JANTA INTER COLLEGE DATAULI  ROOM N0 3",602,455,0,1057,302,230,0,532,532,0,104,8,377,30,1,2,0,2,2,1,0,1,1,0,3,532
90,"P.S. SAIMBSI",434,354,0,788,245,230,0,475,475,0,136,8,284,34,2,2,1,3,0,0,1,0,2,0,2,475
91,"P.S. DEV GAON",792,650,0,1442,395,415,0,810,810,0,281,21,338,111,9,2,1,11,4,3,3,0,4,4,18,810
92,"P.S. GANGAIPAR",302,259,0,561,223,192,0,415,415,0,81,6,247,38,2,2,2,8,3,1,0,6,10,4,5,415
93,"ASHOK INTER COLLEGE SANKHA ROOM N0 1",599,525,0,1124,340,327,0,667,540,0,264,8,364,11,2,5,1,1,1,0,0,3,1,0,6,667
94,"ASHOK INTER COLLEGE SANKHA ROOM N0 1",635,506,0,1141,358,314,0,672,672,0,283,9,337,11,4,1,0,4,2,0,0,0,3,5,13,672
95,"P.S. SANKHA . ROOM N0 1",735,646,0,1381,403,356,0,759,759,0,218,7,445,33,0,1,0,9,1,1,3,2,9,5,25,759
96,"P.S. SANKHA . ROOM N0 2",637,487,0,1124,347,282,0,629,629,0,193,13,335,47,4,1,0,9,2,0,1,1,9,7,7,629
97,"P.S. JAJRAHA",287,247,0,534,161,166,0,327,327,0,216,8,87,3,0,0,0,1,1,0,0,0,0,6,5,327
98,"P.S. GHAGHAURA",489,410,0,899,309,258,0,567,567,0,142,8,255,134,4,2,1,1,1,0,1,1,4,0,13,567
99,"P.S. RATANTARA MAJRE SATKHARA",389,295,0,684,241,185,0,426,405,0,164,11,170,64,3,2,0,4,0,1,0,0,2,1,4,426
100,"P.S. GADHI",784,624,0,1408,399,286,0,685,685,0,25,10,548,73,6,1,0,6,2,4,0,0,5,1,4,685
101,P.S.MAWAIYA,488,435,0,923,320,270,0,590,589,0,166,8,335,51,2,0,0,3,5,0,0,4,1,5,10,590
102,"P.S. BAWAN",531,455,0,986,348,280,0,628,623,0,174,12,194,226,3,1,0,4,0,1,0,1,4,2,6,628
103,"P.S. KUDWARI",534,419,0,953,353,277,0,630,630,0,228,8,75,287,2,3,1,1,1,0,3,1,2,3,15,630
104,"P.S. FULURUWA",238,168,0,406,222,141,0,363,363,0,87,0,27,248,0,0,0,0,0,0,0,0,1,0,0,363
105,"P.S. JIVKARA",691,575,0,1266,455,376,0,831,831,0,194,15,231,335,3,1,1,7,3,1,4,7,6,8,15,831
106,"P.S. GAMBHIRI ROOM N0 1",759,629,0,1388,410,386,0,796,786,0,213,13,461,34,3,4,1,14,4,0,3,3,13,5,25,796
107,"P.S. GAMBHIRI   ROOM N0 2",504,420,0,924,295,245,0,540,540,0,181,13,263,70,2,1,2,3,0,0,0,1,0,1,3,540
108,"P.S. GAMBHIRI   ROOM N0 3",352,307,0,659,184,146,0,330,324,0,57,12,184,60,1,2,0,3,1,0,0,2,2,3,3,330
109,"P.S.  LOHARAN GADHWA MAJRE GAMBHIRI  ROOM N0 1",578,500,0,1078,353,290,0,643,643,0,47,4,549,19,1,1,0,3,1,2,2,1,4,5,4,643
110,"P.S.  LOHARAN GADHWA MAJRE GAMBHIRI  ROOM N0 2",231,213,0,444,124,110,0,234,220,0,83,2,135,3,1,1,0,1,0,1,0,0,1,0,6,234
111,"P.S.  SIMAUR  ROOM N0 1",625,486,0,1111,348,272,0,620,620,0,206,20,301,56,2,0,5,12,2,1,1,2,5,2,5,620
112,"P.S.  SIMAUR  ROOM N0 2",500,439,0,939,254,288,0,542,518,0,415,6,56,56,1,0,1,0,0,0,0,0,1,1,5,542
113,"U.P.S.SIMAUR   ROOM N0 1",586,479,0,1065,361,260,0,621,621,0,167,29,368,43,1,0,1,1,1,0,1,0,3,0,6,621
114,"U.P.S.SIMAUR   ROOM N0 2",439,357,0,796,251,217,0,468,468,0,157,8,207,67,2,2,0,8,4,1,3,1,2,2,4,468
115,"P.S. MIRJAPUR",237,226,0,463,149,160,0,309,270,0,111,3,119,66,0,0,1,1,0,0,0,0,2,0,6,309
116,"P.S.MUSENAGAR HATHEMA",420,355,0,775,299,264,0,563,563,0,159,5,97,279,2,0,0,1,0,3,5,2,1,1,8,563
117,P.S.BIJHAULI,291,245,0,536,175,170,0,345,342,0,108,1,200,29,0,0,0,2,0,0,0,0,0,2,3,345
118,"P.S. KATHAWARA",520,433,0,953,310,261,0,571,571,0,73,9,230,225,6,0,1,6,0,0,2,1,7,4,7,571
119,"P.S. MARDANPUR",315,299,0,614,225,214,0,439,176,0,120,5,105,179,5,7,1,2,2,1,1,2,5,1,3,439
120,"P.S. DHANSINGHPUR",482,409,0,891,279,248,0,527,438,0,164,6,219,99,0,18,0,3,2,1,0,4,3,3,5,527
121,"P.S. CHAKSKARAN",387,337,0,724,218,183,0,401,351,0,145,11,153,79,0,0,0,1,0,0,1,1,2,2,6,401
122,"P.S.AYAH   ROOM N0 1",767,605,0,1372,396,335,0,731,730,0,105,9,481,81,2,0,1,6,2,1,3,2,10,9,19,731
123,"P.S.AYAH   ROOM N0 2",807,661,0,1468,500,407,0,907,902,0,281,11,506,92,0,1,2,5,0,0,1,0,1,3,4,907
124,"KANYA P.S. AYAH",727,587,0,1314,415,372,0,787,780,0,367,11,360,32,2,0,1,4,0,0,0,1,1,1,7,787
125,"P.S. CHAK ALLIPUR",225,197,0,422,161,167,0,328,328,0,82,11,213,7,2,0,2,3,0,0,0,1,3,2,2,328
126,"P.S. CHAK KAJIPUR",345,294,0,639,211,194,0,405,405,0,118,6,196,61,1,3,1,1,1,0,1,0,5,6,5,405
127,"EKI.U.P.S. SHAH ROOM N0 1",811,683,0,1494,478,414,0,892,882,0,395,14,444,25,0,1,1,1,0,3,0,0,4,0,4,892
128,"EKI.U.P.S. SHAH ROOM N0 2",676,539,0,1215,428,362,0,790,775,0,269,14,433,24,2,1,6,7,1,3,4,1,3,6,16,790
129,"P.S. SHAH",653,558,0,1211,445,373,0,818,452,0,274,14,475,26,2,1,0,9,1,0,1,1,2,6,6,818
130,"KANYA P.S. SHAH ROOM N0 1",512,378,0,890,336,250,0,586,425,0,127,26,393,22,0,0,1,3,0,1,0,1,1,2,9,586
131,"KANYA P.S. SHAH ROOM N0 2",360,293,0,653,248,189,0,437,249,0,92,4,277,38,1,4,2,7,0,0,2,0,4,2,4,437
132,"KANYA P.S. SHAH ROOM N0 3",785,670,0,1455,481,372,0,853,651,0,346,35,398,26,0,1,2,5,0,1,4,3,7,5,20,853
133,"P.S. GOPALPUR MAJRE SHAH",796,678,0,1474,515,401,0,916,881,0,176,9,544,139,2,3,1,11,0,1,1,3,10,5,11,916
134,P.S.MAHMADPUR,633,547,0,1180,443,343,0,786,738,0,161,18,437,138,5,1,1,10,3,1,1,3,1,4,2,786
135,"P.S.FATEHNAGAR KARSUMA",620,555,0,1175,364,362,0,726,726,0,142,38,450,60,1,0,2,9,6,0,1,2,5,2,8,726
136,"P.S. BALIPUR",377,310,0,687,283,246,0,529,321,0,295,12,143,51,0,3,0,2,2,2,1,1,2,1,14,529
137,"P.S. DUNDARA   ROOM N0 1",556,472,0,1028,344,290,0,634,634,0,133,42,347,82,2,1,0,1,2,0,0,3,5,0,16,634
138,"P.S. DUNDARA   ROOM N0 2",446,379,0,825,291,207,0,498,425,0,23,9,409,35,1,1,0,8,1,0,2,1,3,2,3,498
139,"P.S. MOHANPUR",293,256,0,549,195,165,0,360,300,0,60,2,171,111,1,0,0,2,0,0,0,1,3,1,8,360
140,"P.S. PAHADPUR",689,540,0,1229,413,302,0,715,675,0,134,6,422,98,2,1,2,5,3,2,2,2,9,13,14,715
141,"P.S. BANKATA",563,455,0,1018,290,255,0,545,545,0,157,6,315,43,3,1,0,3,1,0,1,1,6,2,6,545
142,"P.S. AHIRANKHEDA",173,157,0,330,111,105,0,216,170,0,82,8,111,6,1,0,0,0,0,0,0,0,1,0,7,216
143,"P.S. PAKHRAULI   ROOM N0 1",460,400,0,860,309,274,0,583,464,0,199,4,206,131,2,1,0,10,5,0,0,2,5,4,14,583
144,"P.S. PAKHRAULI   ROOM N0 2",426,358,0,784,289,234,0,523,523,0,95,9,245,141,1,3,0,9,2,0,1,3,4,3,7,523
145,"P.S. KARSAWAN",787,691,0,1478,506,442,0,948,945,0,355,21,452,57,1,0,2,11,3,2,1,3,15,7,18,948
146,"P.S. MOHMMADPUR",802,658,0,1460,586,454,0,1040,1021,0,256,9,154,563,5,2,0,8,0,1,7,6,2,10,17,1040
147,"P.S. MAKHDOOMPUR",442,409,0,851,242,256,0,498,498,0,218,5,231,19,0,3,0,5,2,0,0,0,4,4,7,498
148,"P.S. PAMRAULI",689,605,1,1295,434,380,0,814,813,0,191,22,489,77,2,0,0,8,2,0,0,0,13,2,8,814
149,"P.S. SONBARSA",605,484,1,1090,392,314,0,706,590,0,194,6,441,36,2,7,1,6,1,0,2,0,1,5,4,706
150,P.S.NARTAULI,332,312,0,644,232,186,0,418,418,0,249,5,91,61,1,3,0,1,0,0,0,0,0,0,7,418
151,"MARTAND VIDAYALAYA INTER COLLEGE CHURYANISAMIYANA ROOM N0 1",774,603,0,1377,490,350,0,840,836,0,413,8,334,64,4,0,0,1,0,0,1,3,3,1,8,840
152,"MARTAND VIDAYALAYA INTER COLLEGE CHURYANISAMIYANA ROOM N0 2",291,233,0,524,161,128,0,289,260,0,37,5,184,57,2,0,0,2,0,0,0,0,1,1,0,289
153,"P.S. CHURIYANI  ROOM N0 1",541,478,0,1019,349,302,0,651,618,0,207,7,323,90,1,0,0,1,1,0,1,3,3,3,11,651
154,"P.S. CHURIYANI  ROOM N0 2",554,481,0,1035,387,302,0,689,504,0,254,9,354,48,0,0,0,5,1,1,2,0,2,7,6,689
155,"P.S.  FULWAMAU  ROOM N0 1",772,670,0,1442,460,409,0,869,796,0,282,58,431,57,2,2,2,15,0,0,1,3,1,6,9,869
156,"P.S.  FULWAMAU  ROOM N0 2",713,553,0,1266,446,356,0,802,656,0,241,13,247,263,2,2,0,3,1,2,1,3,5,3,16,802
157,"P.S KHESHAN . ROOM N0 1",752,597,0,1349,471,360,0,831,831,0,336,51,312,73,4,1,1,8,2,9,0,8,7,9,10,831
158,"P.S KHESHAN . ROOM N0 2",423,297,0,720,224,160,0,384,210,0,172,4,163,13,2,2,1,2,0,0,2,1,4,4,14,384
159,"U.P.S.  KHESHAN  ROOM N0 1",689,529,0,1218,326,231,0,557,557,0,202,23,275,36,3,1,0,7,3,2,0,0,1,3,1,557
160,"U.P.S.  KHESHAN  ROOM N0 2",573,421,0,994,326,231,0,557,557,0,160,12,306,50,2,2,1,4,1,0,0,1,4,3,11,557
161,"U.P.S.  KHESHAN  ROOM N0 3",392,292,0,684,225,158,0,383,383,0,98,17,226,30,2,1,0,2,1,0,0,0,2,1,3,383
162,"P.S. NAHARKHOR",444,384,0,828,299,274,0,573,573,0,150,95,274,34,0,1,1,4,2,0,0,0,3,3,6,573
163,"P.S. CHAK ITAULI",438,369,0,807,292,236,0,528,526,0,56,10,253,187,5,1,0,1,2,2,3,5,0,1,2,528
164,"P.S. PAINA KHURD",515,433,0,948,320,294,0,614,604,0,125,21,346,94,4,1,2,7,0,1,0,0,5,3,5,614
165,"P.S. PAINA KALA",317,257,0,574,194,168,0,362,362,0,49,3,216,86,1,0,0,1,0,0,0,0,0,1,5,362
166,"P.S. GAJIPUR    ROOM N0 1",518,455,0,973,337,287,0,624,619,0,79,8,437,58,1,2,3,11,2,0,3,2,8,3,7,624
167,"P.S. GAJIPUR   ROOM N0 2",396,354,0,750,239,201,0,440,440,0,227,7,121,72,2,1,0,1,2,0,0,0,2,1,4,440
168,"P.S. GAJIPUR    ROOM N0 3",832,698,0,1530,521,432,0,953,889,0,107,14,760,42,1,1,4,7,0,0,0,0,7,1,9,953
169,"JA.INTER COLLEGE   GAJIPUR  ROOM N0 1",586,527,0,1113,300,318,0,618,616,0,460,4,30,100,2,0,1,2,1,0,1,0,1,4,12,618
170,"JA.INTER COLLEGE   GAJIPUR  ROOM N0 2",450,387,0,837,264,243,0,507,504,0,301,6,80,101,1,0,2,5,0,0,0,2,2,2,5,507
171,"JA.INTER COLLEGE   GAJIPUR  ROOM N0 3",832,676,0,1508,478,383,0,861,850,0,248,15,517,35,1,1,1,4,3,2,0,5,9,5,15,861
172,"P.S. GAJIPUR II",388,330,0,718,294,236,0,530,453,0,16,5,406,64,2,1,1,3,1,0,2,5,11,5,8,530
173,"P.S. BAWARA  ROOM N0 1",432,352,0,784,293,272,0,565,562,0,231,5,63,255,2,1,0,2,0,0,0,1,0,1,4,565
174,"P.S. BAWARA  ROOM N0 2",614,511,0,1125,428,350,0,778,775,0,189,3,217,343,2,2,0,0,1,2,2,0,3,1,13,778
175,"P.S. CHAK KAJIPUR",727,635,0,1362,490,404,0,894,648,0,176,16,598,63,7,3,2,16,2,1,1,1,3,3,2,894
176,"P.S. BHAULI",395,368,0,763,240,266,0,506,483,0,242,13,155,70,1,3,2,1,1,1,1,3,3,3,7,506
177,"P.S. INDRO",256,230,0,486,192,179,0,371,371,0,26,1,204,111,1,1,1,11,0,1,0,0,5,2,7,371
178,"P.S. ASALPUR",589,524,0,1113,354,347,0,701,551,0,295,62,151,168,4,1,1,1,2,5,0,0,0,6,5,701
