"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ANSHUL VERMA","2 - USHA VERMA","3 - SHIVE PRASAD VERMA","4 - SARVESH KUMAR","5 - CHANDRAPAL","6 - RAMDAYAL","7 - RAMLAKHAN GAUTAM","8 - SANJAY KUMAR","9 - SANTRAM","10 - HIRA LAL VERMA","11 - RAMPAL","12 - SHIVEKUMAR","13 - SAROJ KUMAR","14 - SARVESH","15 - SUNIL BHARTI","16 - None of the Above","Total Votes Secured"
20,"P P SARANGAPUR MO SAKRA ROOM NO 02",642,542,0,1184,559,237,0,796,796,0,85,385,288,5,0,2,0,2,1,5,1,5,2,6,6,3,796
21,"P P SARANGAPUR MO SAKRA ROOM NO 02",314,258,0,572,191,149,0,340,300,0,42,113,176,5,0,0,0,0,0,0,0,1,0,1,1,1,340
22,"P P NAURADEV ROOM NO 01",673,569,0,1242,526,390,0,916,912,0,226,585,57,6,2,0,0,0,1,1,1,4,6,4,12,11,916
23,"UPS SAKRA ROOM NO. 1",293,263,0,556,175,139,0,314,200,0,61,185,62,2,0,0,0,0,0,1,0,0,1,0,0,2,314
24,"U P S SAKRA ROOM 02",322,294,0,616,223,211,0,434,434,0,127,215,74,2,0,0,1,0,0,1,1,0,1,3,2,7,434
25,"P.P. GAJHATHAN",281,251,0,532,162,123,0,285,285,0,73,198,2,2,1,0,1,0,1,0,0,0,0,1,4,2,285
26,"P.P. JATAULI",338,290,0,628,266,211,0,477,247,0,71,222,155,1,1,0,1,0,1,1,0,5,2,6,3,8,477
27,"P.P. AIZA  ROOM NO. 1",689,527,0,1216,318,217,0,535,535,0,165,230,112,5,3,3,0,0,3,0,0,3,1,2,3,5,535
28,"P.P. AIZA ROOM NO. 2",703,612,0,1315,435,257,0,692,690,0,142,178,340,8,2,0,1,0,3,0,1,6,3,2,3,3,692
29,"P.P. GADAIPUR",710,560,0,1270,417,282,0,699,699,0,273,247,150,1,0,0,0,1,0,1,1,4,2,3,1,15,699
30,"P.P. MANSOORPUR",415,359,0,774,213,177,0,390,386,0,62,94,225,3,0,0,0,0,0,0,0,2,1,0,1,2,390
31,"J.H.S. MAANPUR  ROOM NO. 1",565,494,0,1059,398,308,0,706,650,0,205,350,135,6,1,0,1,3,0,0,1,0,0,2,2,0,706
32,"J.H.S. MAANPUR ROOM NO. 2",551,473,0,1024,403,315,0,718,718,0,46,201,449,4,4,1,0,2,0,0,0,1,3,3,2,2,718
33,"G.P.P. MAANPUR",681,604,0,1285,447,328,0,775,771,0,250,373,109,7,2,3,0,0,0,5,3,6,1,2,9,5,775
34,"P.P. SIKANDARPUR",309,280,1,590,223,211,0,434,434,0,17,120,265,7,0,1,0,0,0,4,2,10,2,2,2,2,434
35,"P.P. RAMPUR MO UDHRANPUR",751,596,0,1347,484,343,0,827,827,0,341,368,93,3,1,1,0,1,1,0,1,1,3,4,7,2,827
36,"P.P. KUNWARPUR",426,304,0,730,315,247,0,562,562,0,40,238,260,1,1,1,1,0,0,0,0,4,3,4,4,5,562
37,"P.P. MAGANPUR",440,346,0,786,252,211,0,463,463,0,155,145,148,7,1,1,0,1,0,0,0,0,2,1,1,1,463
38,"P.P. KHALIFAPUR MATTI",369,302,0,671,255,202,0,457,50,0,134,177,121,3,2,1,0,0,1,0,1,7,1,2,1,6,457
39,"J.H.S. BEHTA GOKUL ROOM NO. 1",534,435,0,969,327,254,0,581,580,0,225,229,110,4,0,1,3,2,2,0,0,2,0,1,1,1,581
40,"J.H.S. BEHTA GOKUL ROOM NO. 2",436,381,0,817,263,238,0,501,501,0,151,172,160,4,1,0,1,0,0,0,0,6,1,2,0,3,501
41,"P.P. BEHTA GOKUL",570,499,0,1069,368,271,0,639,639,0,215,255,142,15,1,0,0,1,0,1,0,2,0,2,4,1,639
42,"P.P. YASEENPUR MOBEHTA GOKUL CENTRE",829,677,0,1506,688,401,0,1089,889,0,40,317,674,14,4,1,0,1,1,1,1,9,5,8,4,9,1089
43,"P.P. BEHTA DHEERA  ROOM NO. 1",522,482,0,1004,366,342,0,708,708,0,188,303,170,12,2,1,1,2,0,0,2,4,6,6,4,7,708
44,"P.P. BEHTA DHEERA  EXT. ROOM",402,316,0,718,251,176,0,427,427,0,148,212,57,5,3,0,0,0,0,0,1,0,0,0,0,1,427
45,"P.P. BEHTA DHEERA WEST ROOM NO. 2",317,271,0,588,248,185,0,433,433,0,37,89,291,6,2,1,0,1,1,0,0,1,1,1,0,2,433
46,"SANSKRIT UNIVERSITY SAKAHA WEST ROOM NO. 1",805,630,0,1435,519,348,0,867,867,0,271,438,129,5,0,2,0,0,0,2,2,2,2,0,6,8,867
47,"SANSKRIT UNIVERSITY SAKAHA WEST ROOM NO.",559,508,0,1067,386,300,0,686,686,0,156,234,266,2,2,0,0,0,1,1,1,5,2,3,1,12,686
48,"P.P. SAHIJANA",424,332,0,756,324,233,0,557,557,0,25,296,221,1,0,1,1,0,0,0,2,5,0,1,3,1,557
49,"P.P. MUSEPUR  ROOM NO. 1",460,387,0,847,327,262,0,589,589,0,72,135,356,7,1,0,0,0,0,1,2,2,5,4,2,2,589
50,"P.P. MUSEPUR  ROOM NO. 2",444,382,0,826,232,155,0,387,385,0,63,130,188,1,0,0,0,0,0,0,0,2,0,1,2,0,387
51,"P.P. BALEHRA ROOM NO. 1",793,612,0,1405,543,368,0,911,909,0,187,509,175,4,1,0,2,0,1,0,1,1,7,5,8,10,911
52,"P.P.BALHERA ROOM NO. 2",295,258,0,553,188,159,0,347,347,0,74,186,70,5,1,0,1,0,1,0,0,2,2,1,0,4,347
53,"P.P. BAJEHRA",728,624,0,1352,326,346,0,672,672,0,307,126,218,7,1,2,0,0,1,0,1,3,2,1,1,2,672
54,"P.P. RAMAPUR RAHOLIYA",624,529,0,1153,418,361,0,779,777,0,266,260,211,9,3,0,0,0,2,3,3,4,1,6,3,8,779
55,"P.P. HASNAPUR",338,282,0,620,215,172,0,387,387,0,222,88,66,2,2,0,0,0,0,0,2,1,1,2,1,0,387
56,"P.P. DULARPUR ROOM NO. 1",75,65,0,140,56,37,0,93,93,0,13,71,6,2,0,0,0,0,0,0,0,0,0,0,1,0,93
57,"P.P. DULARPUR ROOM NO. 2",436,381,0,817,318,262,0,580,505,0,215,284,52,6,0,0,0,0,1,1,0,4,3,3,5,6,580
58,"P.P. BHIKHPUR",592,499,0,1091,371,247,0,618,261,0,191,300,107,2,0,2,0,1,0,1,0,0,2,2,1,9,618
59,"P.P. ITORIYA",252,203,0,455,214,170,0,384,384,0,13,265,100,0,0,1,0,0,1,0,0,1,0,0,2,1,384
60,"P.P. BABNAPUR",504,463,0,967,360,286,0,646,45,0,211,192,214,6,3,0,2,0,0,0,2,4,1,3,2,6,646
61,"P.P. BARAILA",263,245,0,508,211,191,0,402,402,0,34,210,154,1,0,0,1,0,0,0,0,0,2,0,0,0,402
62,"P.P. MUJAHIDPUR",749,647,0,1396,501,456,0,957,946,0,288,472,146,9,1,2,0,1,0,0,1,5,6,4,9,13,957
63,"P.P. TERIYA 1",736,633,0,1369,565,408,0,973,973,0,222,532,169,18,0,0,0,0,1,1,1,0,4,4,14,7,973
64,"P.P. NIJAMPUR",511,404,0,915,357,304,0,661,661,0,80,431,125,3,1,0,1,0,1,0,0,4,2,3,2,8,661
65,"G.J.H.S. BAWAN ROOM NO. 2",584,535,0,1119,391,315,0,706,706,0,364,234,94,2,0,0,0,1,1,0,0,3,1,5,0,1,706
66,"G.J.H.S. BAWAN  ROOM NO. 3",500,420,0,920,313,252,0,565,490,0,309,185,39,4,0,0,0,0,0,1,0,1,1,2,3,20,565
67,"P.P. BAWAN  ROOM NO. 1",867,654,0,1521,531,296,0,827,827,0,124,605,53,13,0,1,0,2,1,1,1,9,5,3,3,6,827
68,"P.P. BAWAN NORTH ROOM NO. 2",554,514,0,1068,343,298,0,641,641,0,180,280,152,7,0,0,1,1,2,1,2,3,1,1,6,4,641
69,"P.P. BAWAN NORTH  EXT. ROOM",522,460,0,982,296,265,0,561,369,0,114,386,36,5,2,1,0,0,0,0,0,3,0,4,5,5,561
70,"J.H.S. BAWAN  ROOM NO. 1",572,422,0,994,363,229,0,592,592,0,184,145,238,14,1,0,1,0,0,0,0,4,1,1,1,2,592
71,"J.H.S. BAWAN  ROOM NO. 2",595,436,0,1031,337,303,0,640,640,0,270,252,78,4,2,0,0,1,0,0,0,6,6,3,8,10,640
72,"J.H.S. BAWAN  ROOM NO. 3",523,398,0,921,274,184,0,458,458,0,117,299,27,4,0,1,0,0,0,0,1,1,1,1,1,5,458
73,"J.H.S. BAWAN  EXT. ROOM",214,160,0,374,89,79,0,168,38,0,103,39,20,2,0,0,1,0,0,0,0,0,2,0,0,1,168
74,"P.P. DARVESHPUR",513,444,0,957,328,220,0,548,539,0,40,123,365,3,1,0,1,1,0,0,2,2,3,1,0,6,548
75,"P.P. VISKULA",473,381,0,854,321,249,0,570,473,0,42,346,154,4,1,1,0,0,1,1,0,2,0,5,7,6,570
76,"P.P. TATYORA   ROOM NO. 1",541,467,0,1008,346,271,0,617,595,0,193,278,121,10,0,1,0,0,0,0,0,0,2,1,6,5,617
77,"P.P. TATYORA  ROOM NO. 2",481,398,0,879,328,220,0,548,548,0,274,213,44,1,1,2,0,0,0,3,1,1,0,2,2,4,548
78,"G.J.H.S. TATYORA ROOM NO. 1",417,293,0,710,208,115,0,323,321,0,52,97,158,7,1,0,0,0,0,2,1,2,0,1,0,2,323
79,"G.J.H.S. TATYORA SOUTH ROOM NO. 1",605,524,0,1129,422,294,0,716,714,0,100,203,333,6,4,1,1,0,4,2,2,18,6,15,7,14,716
80,"G.J.H.S. TATYORA  ROOM NO. 2",463,360,0,823,224,169,0,393,170,0,38,172,155,5,2,2,1,1,3,1,0,2,3,3,3,2,393
81,"G.J.H.S. SHAHBUDDINPUR ROOM NO. 1",653,554,0,1207,454,376,0,830,830,0,128,468,195,10,1,2,0,1,3,4,0,5,0,4,4,5,830
82,"G.J.H.S. SHAHBUDDINPUR ROOM NO. 2",816,652,0,1468,578,361,0,939,939,0,71,363,470,16,0,1,0,1,0,0,0,4,0,6,2,5,939
83,"P.P. SIKANDARPUR",263,212,0,475,211,156,0,367,367,0,24,132,195,4,0,0,0,0,1,1,1,0,4,3,1,1,367
84,"P.P. KOTHELIYA",541,422,0,963,359,259,0,618,618,0,147,246,196,6,1,0,1,0,0,1,0,3,0,6,8,3,618
85,"P.P. RAJEPUR 1",541,424,0,965,415,265,0,680,601,0,133,257,261,12,1,1,0,2,0,1,1,4,2,3,2,0,680
86,"P.P. RAJEPUR SHIT TASKHERA",462,434,0,896,300,401,0,701,701,0,38,333,296,10,2,0,0,0,0,4,3,7,3,3,0,2,701
87,"P.P. FARDAPUR",543,495,0,1038,391,330,0,721,721,0,157,230,313,5,0,0,0,0,3,1,0,2,0,3,4,3,721
88,"P.P. KASRAWAN  ROOM NO. 1",487,397,0,884,358,294,0,652,647,0,135,161,316,11,2,0,0,0,0,0,2,4,6,8,3,4,652
89,"P.P. KASRAWAN ROOM NO. 2",620,503,0,1123,415,299,0,714,692,0,151,320,201,9,3,0,0,1,0,2,2,6,7,4,5,3,714
90,"J.H.S. KASRAWAN",536,445,0,981,344,227,0,571,571,0,24,293,224,4,0,3,1,0,0,2,3,6,0,3,6,2,571
91,"P.P. SARAIYA",496,408,0,904,395,263,0,658,650,0,141,201,287,4,1,0,0,0,2,2,1,3,1,4,4,7,658
92,"J.H.S. NAYAGAON MUBARAKPUR ROOM NO. 1",713,515,0,1228,469,303,0,772,772,0,389,243,126,5,1,0,1,1,2,0,0,0,1,1,2,0,772
93,"J.H.S. NAYAGAON MUBARAKPUR BHAG 2 ROOM NO. 2",492,402,0,894,305,227,0,532,529,0,35,134,346,4,4,0,0,0,0,0,0,3,1,1,2,2,532
94,"P.P. GHOSAR",638,548,0,1186,455,348,0,803,750,0,103,443,239,7,0,1,0,0,1,0,2,3,0,0,4,0,803
95,"P.P. KHETUI NORTH  ROOM NO. 1",620,509,0,1129,446,302,0,748,730,0,228,272,229,5,0,1,1,0,0,0,0,2,1,0,3,6,748
96,"P.P. KHETUI  ROOM NO. 2",466,401,0,867,313,221,0,534,533,0,242,247,19,3,2,0,0,0,0,3,1,2,0,2,5,8,534
97,"P.P. KHETUI ROOM",453,435,0,888,312,250,0,562,562,0,11,166,365,4,5,0,1,0,0,0,0,2,0,0,2,6,562
98,"P.P. MEHUNA MAHESHPUR",634,520,0,1154,440,294,0,734,513,0,47,400,259,3,3,0,0,1,1,0,1,5,2,4,5,3,734
99,"J.H.S. LALPALPUR ROOM NO. 1",627,459,0,1086,397,273,0,670,670,0,209,325,118,3,1,0,0,1,0,0,0,0,3,2,2,6,670
100,"J.H.S. LALPALPUR ROOM NO. 2",477,357,0,834,330,236,0,566,49,0,163,211,178,6,2,0,0,0,0,0,0,0,0,3,1,2,566
101,"J.H.S. LALPALPUR ROOM NO. 3",488,380,0,868,318,226,0,544,544,0,120,155,234,5,3,2,0,1,0,0,3,5,1,5,3,7,544
102,"J.H.S. LALPALPUR ROOM NO. 4",428,382,0,810,271,193,0,464,462,0,76,321,62,3,0,0,0,0,0,0,0,2,0,0,0,0,464
103,"P.P. KODHWA",326,293,0,619,222,195,0,417,417,0,45,279,72,11,2,1,0,0,0,0,1,0,1,0,3,2,417
104,"P.P. MADARA ROOM NO. 1",608,525,0,1133,368,254,0,622,591,0,103,206,285,7,1,1,0,0,1,1,1,4,1,6,1,4,622
105,"P.P. MADARA ROOM NO. 2",155,136,0,291,110,77,0,187,187,0,85,38,54,2,1,0,0,0,0,0,0,2,0,1,1,3,187
106,"P.P. MADARA EXT. ROOM",741,623,0,1364,434,230,0,664,600,0,56,307,260,6,1,0,3,2,2,2,2,7,0,3,2,11,664
107,"P.P. MAHUIPURI KHAS ROOM NO. 1",465,388,0,853,315,277,0,592,565,0,165,384,17,2,1,0,1,2,1,0,1,6,1,3,3,5,592
108,"P.P. MAHUIPURI KHAS ROOM NO. 2",439,307,0,746,290,191,0,481,481,0,189,170,103,6,0,0,0,0,0,0,0,3,1,2,3,4,481
109,"P.P. MAHUIPURI ROOM NO. 3",358,269,1,628,234,175,0,409,300,0,20,144,232,1,0,0,0,0,0,0,1,2,2,3,3,1,409
110,"PANCHAYATGHAR  NEER",755,558,0,1313,390,249,0,639,639,0,271,229,99,8,2,3,0,1,0,3,2,8,0,2,5,6,639
111,"P.P. NEER  ROOM NO. 1",577,480,0,1057,399,251,0,650,600,0,157,262,205,7,0,0,0,0,2,0,0,3,2,5,2,5,650
112,"P.P. NEER ROOM NO. 2",480,401,0,881,297,141,0,438,438,0,122,192,109,1,2,0,0,1,1,0,2,0,4,0,3,1,438
113,"J.H.S. NEER",746,574,0,1320,460,217,0,677,677,0,43,327,272,4,1,2,1,0,2,0,0,7,1,4,6,7,677
114,"P P PHEDA MO BAHAR",868,683,0,1551,630,384,0,1014,32,0,355,399,174,17,1,0,2,0,1,6,0,9,3,7,20,20,1014
115,"P.P. KANDUHANA MO BAHAR ROOM NO 01",530,495,0,1025,362,290,0,652,652,0,93,285,255,8,0,1,2,0,0,0,1,1,3,2,1,0,652
116,"P.P. KANDUHANA MO BAHAR ROOM NO 02",455,396,0,851,332,264,0,596,596,0,132,213,239,6,0,0,0,1,0,0,0,3,1,0,0,1,596
117,"P P KANTHA THOK ROOM NO 01",641,509,0,1150,314,372,0,686,686,0,290,224,118,8,1,0,0,1,2,2,1,4,5,10,3,17,686
118,"P P KANTHA THOK ROOM NO 02",323,255,0,578,198,143,0,341,341,0,100,55,165,5,1,0,0,1,1,0,1,1,2,5,1,3,341
119,"G.JHS ASHA",588,447,0,1035,459,328,0,787,787,0,240,351,166,1,1,1,1,0,1,0,1,4,2,9,4,5,787
120,"P.P. ASHA ROOM NO. 1",635,534,0,1169,402,315,0,717,698,0,114,341,219,8,2,1,3,0,4,0,0,4,3,5,5,8,717
121,"P.P. ASHA ROOM NO. 2",578,464,0,1042,381,236,0,617,490,0,166,320,111,2,0,2,0,1,0,2,0,5,2,2,0,4,617
122,"P.P. RAMNAGAR",738,578,0,1316,459,280,0,739,670,0,127,316,243,24,4,13,3,0,0,2,2,1,1,1,1,1,739
123,"G. P.P. DHIYAR MAHOLIYA",825,595,0,1420,343,251,0,594,500,0,98,121,311,27,3,1,1,0,3,14,2,1,2,5,2,3,594
124,"G. JHS BEHTA CHAND ROOM NO. 1",609,533,0,1142,376,285,0,661,661,0,216,196,218,10,1,0,0,0,0,3,1,2,3,4,2,5,661
125,"G.JHS BEHTA CHAND EAST ROOM NO. 2",607,524,0,1131,267,218,0,485,463,0,212,112,137,9,0,0,0,0,5,4,1,0,0,2,1,2,485
126,"G.P.P. BEHTA CHAND",595,496,0,1091,300,219,0,519,402,0,152,175,160,12,0,0,0,0,4,5,1,0,1,3,5,1,519
127,"G.P.P. BEHTA CHAND EXT. ROOM",632,490,0,1122,309,210,0,519,490,0,264,112,100,24,1,1,0,0,1,3,0,2,2,2,1,6,519
128,"K.T.S. NANAK GANJ GRANT NORTH ROOM NO. 1",636,547,0,1183,368,232,0,600,387,0,160,243,173,16,1,0,0,0,0,1,0,1,1,1,2,1,600
129,"K.T.S. NANAKGANJ GRANT ROOM NO. 3",407,363,0,770,212,148,0,360,357,0,145,129,69,9,0,5,0,0,0,0,1,0,0,1,0,1,360
130,"K.T.S. NANAK GANJ GRANT SOUTH ROOM NO. 1",316,264,0,580,171,107,0,278,9,0,92,110,62,9,2,0,0,2,0,0,0,1,0,0,0,0,278
131,"K.T.S. NANAK GANJ GRANT ROOM NO. 2",997,767,0,1764,430,273,0,703,660,0,125,283,274,14,2,0,0,1,0,1,1,1,0,1,0,0,703
132,"P.P. BAHLOLI",434,370,0,804,354,259,0,613,320,0,207,181,168,8,2,1,1,0,1,0,0,6,8,8,13,9,613
133,"P.P. KASHIRAM COLONY ROOM NO. 1",450,432,0,882,230,211,0,441,441,0,59,80,287,4,1,0,1,1,0,2,0,2,0,2,1,1,441
134,"P.P. KASHIRAM COLONY ROOM NO. 2",717,668,0,1385,364,339,0,703,602,0,102,154,419,8,1,0,0,0,2,1,0,4,2,4,0,6,703
135,"P.P. KASHIRAM COLONY ROOM NO. 3",429,403,0,832,232,203,0,435,435,0,71,97,256,7,0,0,0,0,0,0,1,0,0,0,2,1,435
136,"I.T.T. LADY HARDOI ROOM NO. 1",752,576,0,1328,321,236,0,557,126,0,153,183,181,21,1,0,0,1,4,0,0,4,2,5,0,2,557
137,"I.T.I. LADY HARDOI ROOM NO. 2",658,533,0,1191,414,288,0,702,702,0,210,427,48,11,0,0,0,0,0,0,0,1,0,1,1,3,702
138,"I.T.I. LADY HARDOI DEHAT ROOM NO. 3",598,527,0,1125,376,297,0,673,206,0,307,253,87,12,0,3,1,0,1,1,0,2,0,0,3,3,673
139,"P.P. DHANNUPURWA ROOM NO. 1",564,441,0,1005,341,256,0,597,502,0,118,239,218,4,0,0,0,1,0,2,3,2,0,3,2,5,597
140,"P.P. DHANNUPURWA ROOM NO. 3",502,398,0,900,254,171,0,425,403,0,160,122,119,10,1,0,0,0,0,2,0,3,2,3,0,3,425
141,"P.P. DHANNUPURWA ROOM NO. 2",838,662,0,1500,570,442,0,1012,1006,0,346,361,232,13,6,3,1,4,12,1,3,6,2,4,8,10,1012
142,"P.P. RADHHEPURWA ROOM NO. 1",457,403,0,860,265,165,0,430,430,0,204,156,35,25,0,0,0,0,0,3,0,1,2,1,1,2,430
143,"P.P. RADHHEPURWA ROOM NO. 2",643,557,0,1200,243,145,0,388,373,0,263,61,45,13,1,1,0,0,0,0,0,1,1,0,1,1,388
144,"P.W.D. ROOM NO. 1",885,756,0,1641,379,299,0,678,427,0,458,92,98,8,1,1,0,0,1,6,2,2,0,2,3,4,678
145,"P.W.D. HARDOI ROOM NO. 5",586,547,0,1133,234,193,0,427,327,0,304,53,58,4,0,0,0,0,1,2,0,1,0,0,1,3,427
146,"P.W.D. HARDOI ROOM NO. 2",894,743,0,1637,398,278,0,676,621,0,397,146,103,13,1,1,0,0,1,3,0,3,2,2,0,4,676
147,"P.W.D. ROOM NO. 3",372,339,0,711,161,128,0,289,289,0,165,56,50,11,0,0,0,0,2,1,0,1,0,0,1,2,289
148,"J.H.S. AZAD NAGAR ROOM NO-1",655,550,0,1205,306,234,0,540,520,0,377,65,78,6,0,0,0,0,6,1,0,0,1,0,0,6,540
149,"J.H.S. AZAD NAGAR ROOM NO. 2",443,340,1,784,193,143,0,336,336,0,216,51,57,7,0,0,0,0,3,1,0,1,0,0,0,0,336
150,"P.P. ABDULPURWA NORTH",782,608,0,1390,357,226,0,583,502,0,118,297,141,13,0,0,1,1,0,4,0,3,0,1,1,3,583
151,"P.P. ABDUL PURWA SOUTH",463,371,0,834,198,164,0,362,307,0,145,34,162,10,1,1,1,0,0,0,1,1,0,1,2,3,362
152,"P.P. ABDULPURWA EXT. ROOM",993,844,0,1837,501,378,0,879,845,0,347,140,355,9,0,1,0,0,8,1,1,3,0,3,3,8,879
153,"KRISHI PRASAR BHAWAN ROOM NO. 1",578,488,0,1066,309,233,0,542,542,0,138,170,218,5,1,1,0,0,0,1,0,1,1,3,1,2,542
154,"P.P. BAKHTAWARPURWA ROOM NO. 1",587,512,0,1099,305,234,0,539,498,0,272,148,101,10,2,0,0,0,0,2,1,0,0,0,0,3,539
155,"P.P. BAKHTAWARPURWA EXT. ROOM",362,313,0,675,162,94,0,256,256,0,126,84,39,1,0,0,0,0,0,1,0,0,0,0,0,5,256
156,"P.P. BAKHTAWARPURWA ROOM NO. 2",351,293,0,644,254,188,0,442,402,0,89,225,110,3,2,0,0,0,0,0,0,3,1,6,1,2,442
157,"KRISHI PRASAR BHAWAN ROOM NO. 2",484,443,0,927,217,199,0,416,386,0,283,118,8,2,1,0,1,0,0,0,0,0,0,1,1,1,416
158,"KRISHI PRASAR BHAWAN ROOM NO. 3",404,343,0,747,218,170,0,388,388,0,269,95,20,2,0,0,0,0,0,1,0,0,0,0,0,1,388
159,"G.I.C. ROOM NO. 1 N0 (P0 PARI0)HARDOI",859,729,0,1588,387,241,0,628,628,0,107,432,56,17,1,0,0,0,1,6,1,2,0,2,0,3,628
160,"G.I.C. ROOM NO. 2 (N P P HARDOI)",681,545,0,1226,310,206,0,516,495,0,104,355,44,8,0,1,0,0,0,2,0,0,1,0,0,1,516
161,"G.I.C. ROOM NO. 3 (N P P HARDOI)",696,609,0,1305,366,316,0,682,675,0,337,134,184,14,1,1,0,0,0,0,1,2,2,1,1,4,682
162,"R.A.V. ROOM NO. 4 (N P P HARDOI)",511,445,0,956,248,146,0,394,145,0,99,255,27,10,1,0,0,0,0,0,0,0,0,1,0,1,394
163,"R.A.V. ROOM NO. 5 (N P P HARDOI)",741,599,0,1340,315,219,0,534,4,0,51,439,24,10,0,1,1,1,0,1,0,2,0,0,1,3,534
164,"KRISHI RAKSHA IKAI ROOM NO. 1 (N P P HARDOI)",557,470,0,1027,325,202,0,527,487,0,216,266,27,9,0,1,0,0,0,4,0,0,0,0,2,2,527
165,"KRISHI RAKSHA IKAI ROOM NO. 2 (N P P HARDOI)",332,290,0,622,161,121,0,282,282,0,75,167,30,4,0,0,0,0,0,0,1,1,0,0,0,4,282
166,"RAFI AHMAD KIDWAI I.C.ROOM NO. 1 (N P P HARDOI)",851,695,1,1547,249,254,0,503,503,0,128,331,16,13,0,1,0,0,0,3,0,2,0,0,5,4,503
167,"RAFI AHMAD KIDWAI I.C. ROOM NO. 2",630,561,0,1191,269,222,0,491,491,0,208,231,20,15,0,0,0,0,1,10,1,1,0,1,0,3,491
168,"J.H.S. HARDEV GANJ ROOM NO. 1 (N P P HARDOI)",723,629,0,1352,385,283,0,668,610,0,258,314,68,18,0,0,0,0,0,5,0,0,0,0,0,5,668
169,"J.H.S. HARDEV GANJ ROOM NO. 2 (N P P HARDOI)",541,426,0,967,235,118,0,353,353,0,123,151,48,22,0,0,0,0,0,5,0,2,0,0,1,1,353
170,"J.H.S. HARDEV GANJ ROOM NO. 4 (N P P HARDOI)",637,512,0,1149,281,174,0,455,431,0,249,161,22,18,0,0,0,0,0,1,0,1,1,0,1,1,455
