"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - DR.BHOLA PANDEY","2 - RAVINDRA KUSHAWAHA","3 - RAVI SHANKER SINGH","4 - HARIBANSH SAHAI KUSHWAHA","5 - ONKAR SINGH","6 - OM PRAKASH RAJBHAR","7 - CHANDRA PRATAP SINGH","8 - FIROZ AKHTAR","9 - SHRIRAM CHAUDHARY","10 - DR SANJAY KR. SINGH","11 - RAM KRIPAL","12 - SIYARAM DAS","13 - SUSHANT RAJ PATHAK","14 - None of the Above","Total Votes Secured"
23,"P.V. AMAWA",303,237,0,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,"P.V. DHARAMKHOR  BABU",536,498,0,1034,275,230,0,505,505,0,28,269,113,45,1,3,6,2,3,4,8,6,7,10,505
25,"P.V. GOPALPUR",592,508,0,1100,251,216,0,467,467,0,36,340,28,43,3,8,5,0,1,0,1,0,2,0,467
26,"P.V. RANIGHAT",490,391,0,881,225,211,0,436,431,0,6,208,69,129,2,0,0,0,0,1,4,3,2,12,436
27,"P.V. GHATI KHAS R.N. 1",671,572,0,1243,330,285,0,615,590,0,48,413,53,37,4,12,0,2,4,3,7,2,11,19,615
28,"P.V. GHATI KHAS R.N. 2",792,670,0,1462,447,343,0,790,790,0,59,505,92,105,3,1,2,0,2,2,2,2,3,12,790
29,"P.V. GHATI KHAS R.N. 3",738,621,0,1359,327,304,0,631,21,0,183,293,48,70,5,1,3,0,3,3,2,1,2,17,631
30,"P.V. CHAURIYA",387,337,0,724,221,207,0,428,300,0,101,220,58,37,1,5,1,2,0,0,0,0,0,3,428
31,"P.V. LAKSHMIPUR",277,233,0,510,140,148,0,288,287,0,42,170,25,35,2,2,2,0,0,0,3,1,4,2,288
32,"P.V. MOTIPUR TIKAIT",833,641,0,1474,398,273,0,671,371,0,32,367,109,122,7,8,3,1,2,2,8,0,2,8,671
33,"P.V. MOTIPUR BHUWAL",750,584,0,1334,382,353,0,735,10,0,75,436,72,96,16,9,3,2,2,2,16,2,1,3,735
34,"P.V. KHAIRAT",873,664,0,1537,442,434,0,876,876,0,18,530,89,119,7,34,1,5,6,1,5,7,19,35,876
35,"P.V. DHARAMKHOR DUBEY R.NO. 1",482,381,0,863,259,225,0,484,484,0,121,216,36,93,1,3,1,0,1,1,2,1,2,6,484
36,"P.V. DHARAMKHOR DUBEY R.NO. 2",442,370,0,812,199,204,0,403,200,0,9,164,123,72,6,8,3,2,2,1,1,2,4,6,403
37,"P.V. KHUTAHA",266,189,0,455,181,63,0,244,244,0,41,78,101,14,0,0,0,0,1,0,4,0,4,1,244
38,"P.V. CHUHIYA",608,495,0,1103,298,236,0,534,362,0,18,383,50,39,3,9,6,1,2,2,4,4,6,7,534
39,"P.V. DULLAH CHHAPARA",410,336,0,746,207,175,0,382,10,0,13,346,9,1,0,7,0,0,0,0,1,0,4,1,382
40,"P.V. BAS GHATI R.N.1",470,434,0,904,223,171,0,394,376,0,19,327,29,3,0,4,1,1,2,0,2,1,2,3,394
41,"P.V. BASGHATI R.N. 2",433,376,0,809,196,219,0,415,415,0,18,152,149,38,9,9,1,0,6,2,12,6,5,8,415
42,"P.V. MADANCHAK",338,232,0,570,143,127,0,270,16,0,50,86,101,23,1,3,0,0,1,0,4,0,0,1,270
43,"P.V. JAGARNATH CHHAPRA",490,412,0,902,253,241,0,494,20,0,74,309,38,44,3,9,0,0,2,0,0,4,2,9,494
44,"J.H.S. KUKURGHATI R.N.-1",816,658,0,1474,403,410,0,813,813,0,46,423,20,205,6,56,2,4,5,6,9,10,9,12,813
45,"J.H.S. KUKURGHATI R.N.-2",747,617,0,1364,357,323,0,680,670,0,40,192,11,255,5,128,3,2,4,2,10,3,2,23,680
46,"P.V. KUKURGHATI R.N.1",574,471,0,1045,296,263,0,559,559,0,23,221,111,61,6,92,6,1,2,1,4,8,4,19,559
47,"P.V. KUKURGHATI R.N.2",304,248,0,552,146,129,0,275,275,0,31,144,40,48,3,0,1,0,1,1,2,1,1,2,275
48,"P.V. NISHANIYA PAIKAULI R.N. 1",654,529,0,1183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,"P.V. NISHANIYA PAIKAULI R.N. 2",788,656,0,1444,420,250,0,670,670,0,69,419,47,43,2,46,6,3,5,1,7,3,7,12,670
50,"P.V. MADHOCHHAPRA",356,278,0,634,158,204,0,362,362,0,37,170,4,132,1,4,0,0,1,0,0,2,7,4,362
51,"P.V. SARAYA R.N. 1",785,608,0,1393,356,380,0,736,50,0,258,322,13,73,9,30,0,0,1,3,2,3,6,16,736
52,"P.V. SARAYA R.N. 2",733,617,0,1350,315,288,0,603,603,0,75,396,14,91,3,1,2,1,1,1,3,2,4,9,603
53,"P.V. SARAYA NAYA BHAWAN",674,550,0,1224,369,343,0,712,712,0,83,260,250,93,2,1,1,2,2,1,2,3,4,8,712
54,"J.H.S. SARAYA",580,466,0,1046,261,204,0,465,405,0,26,196,116,108,5,6,0,0,0,2,1,1,3,1,465
55,"P.V. BANDHI  BHISA",524,401,0,925,264,259,0,523,481,0,12,401,43,36,3,3,1,3,2,0,1,2,5,11,523
56,"P.V. BHINGARI R.N.1",682,557,0,1239,418,341,0,759,400,0,91,493,50,105,3,1,2,1,1,3,1,2,2,4,759
57,"P.V. BHINGARI R.N.2",677,556,0,1233,301,297,0,598,438,0,23,298,181,52,4,7,2,1,0,3,9,3,6,9,598
58,"PANCHAYAT BHAWAN BHINGARI",736,539,0,1275,396,307,0,703,675,0,22,497,26,120,8,10,3,0,0,1,4,3,4,5,703
59,"P.V. BANDHI BABU",389,312,0,701,196,176,0,372,372,0,17,218,55,63,2,0,3,0,0,2,2,1,0,9,372
60,"P.V. CHHAPIYA R.N.-1",640,527,0,1167,300,312,0,612,612,0,20,293,158,95,10,3,1,1,1,3,5,7,5,10,612
61,"P.V. CHHAPIYA R.N.-2",642,507,0,1149,331,347,0,678,620,0,75,517,17,51,4,0,2,0,1,2,3,1,1,4,678
62,"P.V. NARAYANPUR DUBEY",675,537,0,1212,358,316,0,674,200,0,40,483,25,95,5,5,7,2,0,1,2,1,3,5,674
63,"P.V. KHAMPAR BANGARBARI",736,642,0,1378,357,360,0,717,714,0,21,447,80,104,8,5,2,1,3,4,7,7,8,20,717
64,"I.C. KHAMPAR R.N.1",624,511,0,1135,315,276,0,591,591,0,9,318,20,200,2,3,0,1,4,2,9,1,8,14,591
65,"I.C. KHAMPAR R.N.-2",771,605,0,1376,382,387,0,769,41,0,24,495,17,182,4,1,4,4,3,3,5,6,5,16,769
66,"I.C. KHAMPAR R.N.-3",626,524,0,1150,309,316,0,625,300,0,43,331,96,119,7,2,2,0,2,2,3,5,4,9,625
67,"P.V. KHAMPAR",639,510,0,1149,278,191,0,469,469,0,15,343,16,65,0,3,2,2,1,1,3,5,4,9,469
68,"P.V. MISKARCHAK",283,238,0,521,179,151,0,330,330,0,10,239,16,50,2,1,4,0,2,1,0,1,3,1,330
69,"P.V. BELAHI",432,375,0,807,262,210,0,472,472,0,24,293,51,80,3,7,2,0,2,1,0,1,3,5,472
70,"P.V. NARAYANPUR TIWARI",405,341,0,746,190,184,0,374,374,0,8,98,28,190,6,38,0,1,0,1,1,2,0,1,374
71,"P.V. SIRSIYA MISHRA",522,397,0,919,211,205,0,416,50,0,14,182,77,124,2,7,0,2,1,0,4,1,0,2,416
72,"RAMMANOHAR LOHIYA I.C. PAKADI BABU R.N.-1",681,520,0,1201,326,235,0,561,45,0,40,219,163,128,2,2,1,0,1,1,1,1,2,0,561
73,"RAMMANOHAR LOHIYA I.C. PAKADI BABU R.N.-2",503,457,1,961,213,191,0,404,400,0,12,288,46,46,0,0,3,0,0,0,4,0,2,3,404
74,"P.V. DHARAMKHOR KARAN R.N.1",442,338,0,780,203,203,0,406,406,0,11,167,89,104,2,29,1,0,0,0,0,0,2,1,406
75,"P.V. DHARAMKHOR KARAN R.N.-2",437,376,0,813,211,217,0,428,28,0,3,218,34,103,7,31,3,1,5,2,4,2,7,8,428
76,"P.V. KEHUNIYA R.N.-1",516,400,0,916,206,194,0,400,400,0,30,217,32,66,4,17,0,0,1,2,7,0,8,16,400
77,"P.V. KEHUNIYA R.N.-2",550,436,0,986,273,232,0,505,505,0,45,272,68,63,2,12,6,0,1,4,8,4,9,11,505
78,"P.V. BANKATA SHAMBHOO",650,511,0,1161,320,236,0,556,55,0,36,122,106,263,2,6,3,1,1,2,2,1,1,10,556
79,"P.V. BADAKA GAON R.N. -1",737,610,0,1347,335,259,0,594,591,0,50,343,38,122,7,8,1,0,2,1,6,4,6,6,594
80,"P.V. BADAKA GAON R.N. -2",820,632,0,1452,320,374,0,694,694,0,80,357,74,122,5,8,4,1,1,2,4,2,7,27,694
81,"P.V. BADAKA GAON NAYA BHAWAN",631,502,0,1133,314,287,0,601,601,0,57,385,33,90,3,3,0,0,1,3,5,6,3,12,601
82,"P.V. MATHDANAUR",523,399,0,922,262,232,0,494,20,0,14,244,23,98,5,80,0,2,0,0,19,3,3,3,494
83,"J.H.S. BANKATA MISHRA R.N.-1",600,482,0,1082,238,173,0,411,411,0,24,309,58,10,0,1,0,0,0,0,1,1,3,4,411
84,"J.H.S. BANKATA MISHRA R.N.-2",636,538,0,1174,305,280,0,585,585,0,41,256,122,149,1,0,1,0,2,1,3,2,2,5,585
85,"P.V. JIRASO",522,422,0,944,248,202,0,450,450,0,4,125,130,158,2,2,4,0,1,0,5,3,4,12,450
86,"P.V. MALHANA",487,412,0,899,245,213,0,458,5,0,13,227,41,159,2,3,0,1,1,0,3,1,5,2,458
87,"P.V. MALHANI",745,584,0,1329,327,364,0,691,691,0,35,176,75,386,4,0,11,1,1,0,1,0,0,1,691
88,"P.V. CHHATRAPURA",421,374,0,795,190,193,0,383,10,0,12,290,11,47,5,6,0,1,0,0,2,1,1,7,383
89,"P.V. LAKHOPAR R.N. -1",534,426,0,960,316,203,0,519,519,0,48,196,27,118,7,85,3,16,1,1,12,2,0,3,519
90,"P.V. LAKHOPAR R.N. -2",628,538,0,1166,278,223,0,501,501,0,39,229,19,188,4,1,8,1,1,1,1,3,2,4,501
91,"P.V. CHHOTAKA GAON R.N.-1",311,255,0,566,174,118,0,292,292,0,10,160,5,107,1,8,0,0,0,0,0,0,0,1,292
92,"P.V. CHHOTAKA GAON R.N.-2",564,460,0,1024,269,286,0,555,458,0,35,287,62,61,5,93,3,0,1,1,0,0,2,5,555
93,"P.V. BHINDA MISHRA",728,603,0,1331,378,267,0,645,645,0,37,397,113,58,2,15,1,2,3,0,7,1,2,7,645
94,"P.V. RUCHCHAPAR",518,441,0,959,266,243,0,509,509,0,19,156,151,132,4,32,0,0,4,0,5,3,0,3,509
95,"P.V. SURJIPUR",335,269,0,604,167,164,0,331,331,0,5,161,77,48,5,19,1,0,1,1,4,0,5,4,331
96,"P.V. JAGAHATHA",762,688,0,1450,370,402,0,772,772,0,25,393,216,82,4,24,4,3,4,0,6,4,5,2,772
97,"P.V. RAUNIGANGACHAK",330,283,0,613,174,193,0,367,118,0,7,148,54,127,5,4,1,1,0,0,6,5,4,5,367
98,"P.V. KALYANI",418,334,0,752,185,177,0,362,100,0,20,231,65,23,1,5,2,0,0,0,3,1,4,7,362
99,"P.V. BARAIPAR",581,480,0,1061,273,264,0,537,537,0,22,249,146,71,4,25,2,0,2,1,6,1,0,8,537
100,"P.V. PADARI UMAN",357,271,0,628,144,158,0,302,14,0,25,172,56,28,2,5,2,0,0,0,2,1,4,5,302
101,"P.V. BELTHARA",283,247,0,530,141,151,0,292,292,0,11,167,15,88,5,1,1,0,1,1,0,1,1,0,292
102,"P.V. DHAWARKAN",292,251,0,543,161,147,0,308,308,0,7,190,82,16,1,1,2,0,0,0,1,3,3,2,308
103,"P.V. DHAWARKAN EXTRA ROOM",166,125,0,291,75,63,0,138,138,0,16,98,0,19,1,0,1,0,1,0,0,1,1,0,138
104,"P.V. KODARA R.N. -1",523,429,0,952,284,227,0,511,511,0,21,438,22,6,0,7,2,0,0,3,1,3,3,5,511
105,"P.V. KODARA R.N. -2",442,388,0,830,220,188,0,408,408,0,19,263,31,90,1,1,0,1,0,1,0,0,1,0,408
106,"SIYARAMDAS I.C. MALAHCHAK",513,416,0,929,285,201,0,486,486,0,41,164,50,177,7,19,2,2,0,2,15,0,3,4,486
107,"P.V. MADANCHAK",578,542,0,1120,260,273,0,533,533,0,33,306,41,105,10,4,2,1,1,2,4,6,9,9,533
108,"P.V. KHAROHAWA THAKUR R.N. -1",282,247,0,529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,"P.V. KHAROHAWA THAKUR R.N. -2",165,125,0,290,69,62,0,131,131,0,3,56,55,14,0,0,1,0,1,0,0,0,0,1,131
110,"P.V. SHANKARPURA",321,247,0,568,134,138,0,272,272,0,12,199,26,27,2,0,1,0,1,1,1,1,0,1,272
111,"P.V. BANSI",305,262,0,567,164,136,0,300,300,0,8,181,79,24,0,3,0,0,0,0,0,2,1,2,300
112,"P.V. BHEDAPAKAD R.N.-1",536,482,0,1018,253,230,0,483,483,0,15,255,104,88,2,3,3,0,2,0,1,1,3,6,483
113,"P.V. BHEDAPAKAD R.N.-2",394,351,0,745,175,162,0,337,337,0,9,237,5,74,2,0,1,0,0,1,1,1,1,5,337
114,"P.V. KATHAUDI",430,378,0,808,257,274,0,531,531,0,2,182,301,24,0,6,0,0,1,0,6,1,6,2,531
115,"P.V. DISTAULI",279,235,0,514,163,127,0,290,290,0,10,191,6,65,1,1,0,1,0,1,4,0,4,6,290
116,"P.V. KARAMUWA",660,521,0,1181,311,344,0,655,655,0,15,207,19,75,38,151,4,5,3,1,121,3,5,8,655
117,"P.V. CHANUKI  R.N.-1",451,340,0,791,214,211,0,425,425,0,23,257,67,42,1,12,4,2,0,2,4,5,2,4,425
118,"P.V. CHANUKI  R.N.-2",409,330,0,739,204,235,0,439,439,0,16,263,94,30,2,3,0,0,1,2,3,1,10,14,439
119,"P.V. HOLAIPUR",208,163,0,371,150,89,0,239,239,0,11,49,5,171,0,1,0,0,0,0,0,1,0,1,239
120,"P.V. MAHAICHPAR",409,317,0,726,211,177,0,388,388,0,15,161,105,9,2,85,2,0,0,2,3,3,0,1,388
121,"MAHANTH RAMNARESHDAS I.C. MATHADAMODARA (SITUATED BABHANAULI)",311,291,0,602,165,173,0,338,338,0,20,279,3,16,0,1,3,0,1,1,5,2,4,3,338
122,"P.V. DAMODARA",191,180,0,371,91,99,0,190,190,0,2,129,9,41,1,2,0,1,1,0,1,0,3,0,190
123,"P.V. MAHUJA",579,437,0,1016,302,244,0,546,546,0,11,345,92,31,6,39,0,1,3,2,4,2,6,4,546
124,"P.V. AMARI CHAK",305,247,0,552,156,144,0,300,300,0,13,211,37,13,5,6,2,0,2,0,0,3,6,2,300
125,"P.V. KHARWANIYA",401,347,0,748,153,177,0,330,330,0,32,115,72,61,4,33,2,2,1,1,1,0,0,6,330
126,"P.V. BANKATA AMETHIYA R.N.-1",641,496,0,1137,310,255,0,565,565,0,46,388,83,23,2,2,4,1,2,0,1,2,4,7,565
127,"P.V. BANKATA AMETHIYA R.N.-2",391,290,0,681,183,136,0,319,319,0,23,198,74,10,2,1,5,0,1,0,1,0,3,1,319
128,"P.V. SUKAWA R.N.-1",476,325,0,801,177,131,0,308,308,0,7,101,39,151,2,1,1,0,1,0,3,0,0,2,308
129,"P.V. SUKAWA R.N.-2",469,345,0,814,236,189,0,425,425,0,9,219,84,33,1,62,0,1,3,1,4,1,4,3,425
130,"P.V. AJORIYA",630,538,0,1168,251,241,0,492,492,0,40,271,71,93,1,3,3,1,0,2,2,1,3,1,492
131,"RAGHURAJ SINGH I.C. BAHIYARI BAGHEL R.N.-1",677,536,0,1213,322,250,0,572,572,0,32,403,53,29,3,35,3,2,1,1,1,0,7,2,572
132,"RAGHURAJ SINGH I.C. BAHIYARI BAGHEL R.N.-2",804,644,0,1448,345,260,0,605,605,46,46,429,41,54,1,11,0,1,5,0,6,2,3,6,605
133,"P.V. PHULAWARIYA",657,567,1,1225,325,299,0,624,624,0,18,362,164,38,3,11,2,1,0,3,4,1,9,8,624
134,"P.V. KUIECHWAR",771,607,0,1378,375,339,0,714,714,0,38,357,133,135,6,7,6,1,3,4,6,4,3,11,714
135,"P.V. BHARAULI",377,294,0,671,237,186,0,423,423,0,7,140,77,182,3,1,2,0,1,2,1,1,1,5,423
136,"J.H.S. SOHANPAR  R.N.-1",746,604,0,1350,329,275,0,604,604,0,46,248,207,75,2,0,9,0,0,2,2,0,1,12,604
137,"J.H.S. SOHANPAR  R.N.-2",695,542,0,1237,350,277,0,627,627,0,54,358,32,143,2,22,1,1,2,1,2,0,3,6,627
138,"B.R.D.I.C. BHATPAR RANI, BELPAR PANDIT R.N. - 1",573,505,0,1078,271,268,0,539,539,0,33,340,53,104,1,0,4,0,0,1,0,2,0,1,539
139,"B.R.D.I.C. BHATPAR RANI, BELPAR PANDIT R.N. - 2",542,426,0,968,221,168,0,389,389,0,50,270,7,51,1,4,0,0,0,0,2,0,0,4,389
140,"B.R.D.I.C. BHATPAR RANI, BELPAR PANDIT R.N. - 3",512,361,1,874,262,173,0,435,435,0,50,219,93,63,0,0,2,0,0,0,0,1,1,6,435
141,"M.M.M. DEGREE COLLEGE LAKHANA URF DOMDIH R.N. -1",672,483,0,1155,275,196,0,471,471,0,46,306,25,85,2,1,1,2,0,0,2,0,0,1,471
142,"M.M.M. DEGREE COLLEGE LAKHANA URF DOMDIH R.N. -2",415,336,0,751,188,158,0,346,346,0,29,163,16,115,6,6,1,3,1,2,0,1,1,2,346
143,"M.M.M. DEGREE COLLEGE LAKHANA URF DOMDIH R.N. -3",404,315,0,719,167,134,0,301,301,0,9,216,33,29,0,7,0,0,0,0,2,1,2,2,301
144,"M.M.M. DEGREE COLLEGE LAKHANA URF DOMDIH R.N. -4",634,485,0,1119,292,215,0,507,507,0,34,373,8,63,1,2,4,8,0,2,3,2,2,5,507
145,"M.M.M. DEGREE COLLEGE LAKHANA URF DOMDIH R.N. -5",623,478,0,1101,331,197,0,528,528,0,15,384,13,113,0,0,2,0,0,0,0,0,0,1,528
146,"MADAN MOHAN.MALVIYA I.C. BHATPAR RANI",368,314,0,682,202,170,0,372,372,0,27,288,12,37,0,1,0,1,2,0,0,0,0,4,372
147,"P.V. BELPAR PANDIT R.N.-1",623,493,0,1116,328,244,0,572,572,0,42,352,41,74,4,30,1,1,2,2,4,4,2,13,572
148,"P.V. BELPAR PANDIT R.N.-2",438,370,0,808,206,163,0,369,369,0,27,227,15,49,1,35,1,1,0,1,2,1,2,7,369
149,"P.V. BISHUNPURA",644,496,0,1140,221,324,0,545,545,0,43,248,24,185,4,11,3,5,2,2,2,5,5,6,545
150,"P.V. PIPARAHIYA",379,316,0,695,193,154,0,347,347,0,49,263,14,15,0,2,1,0,0,0,0,0,1,2,347
151,"P.V. JASHUE",428,332,0,760,222,154,0,376,376,0,12,144,27,172,7,2,1,0,0,1,3,1,1,5,376
152,"P.V. JOGAUR",570,490,0,1060,244,235,0,479,479,0,30,340,29,36,3,25,2,1,1,0,1,4,2,5,479
153,"P.V. MADHAUR",619,516,0,1135,274,261,0,535,535,0,42,392,45,38,1,4,0,0,1,1,0,2,3,6,535
154,"P.V. MEHARAUNA",595,544,0,1139,258,266,0,524,524,0,131,68,164,99,0,40,12,5,0,1,3,1,0,0,524
155,"P.V. KARAHI PANDEY",328,272,0,600,163,189,0,352,352,0,27,238,12,21,0,35,2,2,3,0,2,1,2,7,352
156,"P.C. KARAHI BHUWAN",366,315,0,681,180,172,0,352,352,0,22,191,50,69,3,10,0,1,0,1,3,1,1,0,352
157,"P.V. BHATHAWA TIWARI R.N.-1",641,509,0,1150,361,286,0,647,647,0,23,316,138,135,4,8,1,0,3,2,4,4,1,8,647
158,"P.V. BHATHAWA TIWARI R.N.-2",658,536,0,1194,272,248,0,520,520,0,18,405,26,43,1,0,5,1,1,3,2,3,5,7,520
159,"KANYA P.V. BHATHAWA TIWARI",691,558,1,1250,282,263,0,545,545,0,28,391,43,51,5,4,2,1,2,0,3,2,6,7,545
160,"P.V. TATAYAR BUJURG",322,279,0,601,201,189,0,390,390,0,60,184,5,130,3,1,0,0,0,0,2,3,0,2,390
161,"P.V. TATAYAR  KHURD",282,238,0,520,119,142,0,261,261,0,45,102,16,64,1,24,0,0,1,0,1,1,4,2,261
162,"P.V. BAHORAWA",775,644,0,1419,375,375,0,750,750,0,248,326,93,53,7,4,1,3,1,4,1,1,3,5,750
163,"P.V. MALICHHAPAR",468,386,0,854,271,207,0,478,478,0,34,239,118,64,3,2,2,1,1,1,3,0,2,8,478
164,"P.V. DHANAUTI",430,352,0,782,210,214,0,424,424,0,6,127,74,187,6,3,0,0,3,2,2,2,3,9,424
165,"P.V. PURAINA",806,650,0,1456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,"P.V. GAUTAMA KHAS",438,371,0,809,220,259,0,479,479,0,21,196,55,172,2,3,5,1,5,0,3,3,6,7,479
167,"P.V. PAHADPUR",365,339,0,704,160,208,0,368,368,0,3,189,121,44,0,0,0,1,0,0,2,2,1,5,368
168,"BRAMHCHARI I.C. AHIRAULI TIWARI",784,614,0,1398,407,382,0,789,789,0,95,562,40,64,4,4,2,2,0,1,1,1,7,6,789
169,"P.V. TIKAMPAR R.N.-1",772,596,0,1368,389,300,0,689,689,0,65,436,24,121,3,5,2,2,1,3,7,4,3,13,689
170,"P.V. TIKAMPAR R.N.-2",829,674,0,1503,419,361,0,780,780,0,35,465,140,85,8,11,4,1,0,1,7,3,9,11,780
171,"P.V. KATAI TICKER",398,355,0,753,245,179,0,424,424,0,42,91,5,270,0,1,2,1,1,1,2,1,2,5,424
172,"P.V. BHATHAWA PANDEY",697,544,0,1241,344,272,0,616,616,0,107,350,62,49,3,19,3,1,1,0,5,2,5,9,616
173,"P.V. KHADESAR  R.N.-1",687,554,0,1241,330,283,0,613,613,0,175,252,2,156,0,1,0,0,2,3,1,4,6,11,613
174,"P.V. KHADESAR  R.N.-2",556,467,0,1023,273,251,0,524,524,0,206,190,39,60,5,5,1,2,0,2,2,4,3,5,524
175,"J.H.S. RAGHUNATPUR R.N.-1",435,367,0,802,224,220,0,444,444,0,16,264,77,51,4,7,1,1,3,2,5,4,4,5,444
176,"J.H.S.  RAGHUNATPUR R.N.-2",485,363,0,848,228,199,0,427,427,0,27,254,43,64,3,14,3,0,1,1,2,2,4,9,427
177,"J.H.S. RAGHUNATHPUR R.N.-3",562,457,0,1019,269,268,0,537,537,0,31,395,5,86,2,8,1,0,1,0,1,2,0,5,537
178,"J.H.S. RAGHUNATHPUR R.N.-4",534,406,0,940,296,185,0,481,481,0,17,309,10,103,4,2,2,1,4,3,3,4,5,14,481
179,"P.V. RUSTAM BAHIYARI",586,466,0,1052,324,223,0,547,547,0,34,293,20,130,3,12,1,3,2,4,8,8,14,15,547
180,"P.V. KOTHILAWA",709,599,0,1308,380,385,0,765,765,0,164,503,58,14,1,1,2,2,0,1,3,3,7,6,765
181,"P.V. NONAD PANDEY R.N.1",598,461,0,1059,272,226,0,498,498,0,50,363,54,7,2,1,3,0,0,1,2,4,6,5,498
182,"P.V. NONAD PANDEY R.N.-2",398,273,0,671,177,130,0,307,307,0,57,189,8,20,2,19,1,1,0,0,0,3,5,2,307
183,"P.V. DHARAHANIYA",379,306,0,685,239,199,0,438,438,0,30,232,143,24,1,3,0,0,0,0,1,3,0,1,438
184,"P.V. KATHAGHARA",568,455,0,1023,259,238,0,497,497,0,26,246,102,71,6,18,5,1,5,1,4,3,2,7,497
