"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AKHILESH","2 - KASHI NATH SHUKLA","3 - PANKAJ","4 - HARSH VARDHAN","5 - ARAT KHARVAR","6 - KAVILAS","7 - MUMMATAJ","8 - MANGAL LAL","9 - PASHUPATI NATH GUPTA","10 - RADHEYSHYAM","11 - RAMSAMUJH","12 - VIMLESH TRIPATHI","13 - SHIVCHARAN","14 - SHREE AKHILESH KUMAR","15 - AJAYDHAR","16 - ANIL KUMAR SHAHANI","17 - GOVIND DAS","18 - TEJ PRATAP","19 - DAYARAM NISHAD","20 - DINESH KUMAR","21 - DINANATH","22 - RAKESH KUMAR GIRI","23 - RAKESH KUMAR GUPTA","24 - None of the Above","Total Votes Secured"
37,"P.V. J. BADAHARA ROOM NO. 1",456,331,0,787,221,220,0,441,11,0,164,136,114,15,2,0,2,0,1,0,2,0,0,1,0,2,1,0,0,0,0,0,0,1,441
38,"P.V. J. BADAHARA ROOM NO. 2",501,418,0,919,299,301,0,600,395,0,198,118,228,20,2,0,2,2,2,0,4,1,1,0,4,4,1,1,6,1,0,3,0,2,600
39,"R.I.T.I.S.J. BADAHARA",874,671,0,1545,473,413,0,886,876,0,62,237,490,32,3,0,1,0,0,1,2,1,3,8,2,21,5,9,4,0,0,0,1,4,886
40,"P.V. GEHUANA",806,639,1,1446,487,426,0,913,913,0,79,276,451,27,1,4,0,0,1,1,1,0,0,0,0,3,13,20,10,9,8,3,3,3,913
41,"P.V. SOHAS ROOM NO. 1",582,492,0,1074,366,302,0,668,667,0,219,102,295,17,0,4,1,1,1,0,7,4,2,3,3,8,0,0,0,0,0,0,1,0,668
42,"P.V. SOHAS ROOM NO. 2",599,519,0,1118,358,305,0,663,663,0,116,165,328,8,0,1,4,1,2,1,1,1,1,3,3,6,7,1,2,4,1,0,0,7,663
43,"P.V. KAMASIN BUZURG",694,526,0,1220,402,390,0,792,790,0,211,152,369,17,0,0,2,1,3,2,2,2,2,9,3,10,1,2,1,1,0,0,0,2,792
44,"P.V. KAMASIN KHURD ROOM NO. 1",538,413,0,951,291,220,0,511,490,0,131,35,292,32,3,0,1,0,3,0,0,1,1,3,2,3,1,1,1,0,0,0,0,1,511
45,"P.V. KAMASIN KHURD ROOM NO. 2",498,350,1,849,277,229,0,506,455,0,110,153,183,40,1,0,0,0,3,0,4,0,0,4,2,5,0,0,0,0,0,0,0,1,506
46,"P.V. BASADILA ROOM NO. 1",643,533,0,1176,350,375,0,725,725,0,66,99,440,49,1,19,2,1,1,3,2,2,3,10,0,4,1,4,4,3,1,3,4,3,725
47,"P.V. BASADILA ROOM NO. 2",584,474,0,1058,360,292,0,652,652,0,43,135,432,15,0,3,1,0,2,4,2,2,1,1,3,2,0,5,0,0,0,0,0,1,652
48,"P.V. DINGURI ROOM NO. 1",581,517,0,1098,320,340,0,660,659,0,109,135,319,44,1,1,2,0,0,3,7,2,4,4,1,13,2,4,3,0,1,2,1,2,660
49,"P.V. DINGURI ROOM NO. 2",478,403,0,881,257,270,0,527,505,0,56,196,197,17,6,9,0,1,1,2,4,3,5,5,3,6,4,1,1,1,3,0,2,4,527
50,"P.V. DINGURI ROOM NO. 3",474,407,0,881,282,267,0,549,539,0,46,36,394,29,0,14,1,1,0,2,0,0,4,1,1,3,2,3,5,2,1,2,0,2,549
51,"P.V. DINGURI ADITIONAL ROOM",452,400,0,852,261,265,0,526,517,0,131,77,192,31,0,26,1,1,2,0,5,3,3,5,2,8,3,8,9,2,3,4,3,7,526
52,"P.V. KUACHAP ROOM NO. 1",530,466,0,996,354,300,0,654,654,0,101,188,271,14,2,5,1,4,1,1,4,2,6,4,6,23,1,4,2,1,2,4,0,7,654
53,"P.V. KUACHAP ROOM NO. 2",584,502,0,1086,369,308,0,677,675,0,128,67,343,40,1,2,2,1,1,5,4,5,4,9,8,18,3,6,14,1,3,3,3,6,677
54,"P.V. RATANPURWA ROOM NO. 1",685,546,0,1231,366,348,0,714,714,0,96,175,358,31,1,0,4,1,0,0,3,2,0,3,1,10,2,9,10,2,1,3,2,0,714
55,"P.V. RATANPURWA ROOM NO. 2",424,323,0,747,220,171,0,391,86,0,49,95,208,12,1,1,0,0,3,0,3,0,1,0,0,0,1,3,5,1,2,0,4,2,391
56,"P.V. BENIGANJ ROOM NO. 1",626,484,0,1110,353,332,0,685,685,0,108,73,450,29,1,1,0,0,0,0,1,2,0,0,0,2,3,7,4,0,1,1,1,1,685
57,"P.V. BENIGANJ ROOM NO. 2",408,336,0,744,243,231,0,474,86,0,48,18,340,24,1,1,3,1,0,0,1,2,2,4,3,11,0,5,8,1,0,0,0,1,474
58,"P.V. DEVIPUR ROOM NO. 1",792,668,0,1460,451,406,0,857,845,0,80,117,605,15,3,0,0,0,2,1,1,0,1,2,0,7,4,10,6,0,2,0,0,1,857
59,"P.V. DEVIPUR ROOM NO. 2",463,390,1,854,288,252,0,540,537,0,106,117,282,8,1,0,1,0,0,1,4,0,2,0,1,3,4,3,2,1,2,0,1,1,540
60,"P.V. ADABADAHAWA",873,631,0,1504,398,335,0,733,710,0,47,171,422,12,4,1,1,2,1,1,3,7,2,5,5,36,2,4,3,2,0,2,0,0,733
61,"P.V. BARWAS",321,252,0,573,208,147,0,355,355,0,85,11,192,4,1,2,0,1,0,0,4,1,1,3,1,38,1,2,5,0,0,1,0,2,355
62,"P.V. RANIPUR ROOM NO. 1",389,329,0,718,254,211,0,465,35,0,55,58,284,9,2,1,5,1,0,0,5,0,0,2,0,20,4,5,8,1,3,1,0,1,465
63,"P.V. RANIPUR ROOM NO. 2",465,379,0,844,269,239,0,508,17,0,70,58,340,13,2,0,1,0,0,1,3,0,2,0,2,2,1,6,2,2,3,0,0,0,508
64,"P.M.V. AURAHIYA",534,397,0,931,307,273,0,580,575,0,117,197,238,10,0,1,0,3,2,1,2,0,2,0,1,1,1,1,1,0,0,1,1,0,580
65,"P.V. AURAHIYA ROOM NO. 1",655,545,0,1200,319,337,0,656,656,0,30,117,424,25,6,1,0,3,3,0,1,0,3,2,6,13,2,8,2,0,0,3,1,6,656
66,"P.V. AHIRAULI",428,324,0,752,195,215,0,410,410,0,69,124,154,11,1,23,1,0,4,0,1,2,2,3,0,5,2,4,0,1,1,1,1,0,410
67,"P.M.V. HARAKHPURA ROOM NO. 1",652,471,0,1123,349,278,0,627,595,0,153,242,178,9,1,2,0,0,3,2,3,0,3,8,0,11,1,5,2,0,1,0,0,3,627
68,"P.M.V. HARAKHPURA ROOM NO. 2",368,253,0,621,179,132,0,311,311,0,100,57,105,11,2,2,1,0,2,2,1,2,3,5,2,9,0,0,2,0,0,2,2,1,311
69,"P.V. DOMARA KHAS NEW BHAWAN",993,702,0,1695,428,384,0,812,812,0,124,144,429,16,5,0,2,2,5,2,6,1,4,7,3,37,3,1,7,0,3,2,2,7,812
70,"P.V. BARDIHAWA DOMARA",767,543,0,1310,332,282,0,614,2,0,47,118,334,20,2,2,1,0,2,0,1,1,0,6,4,26,6,9,16,2,2,5,3,7,614
71,"P.V. NARKATAHA ROOM NO. 1",621,453,0,1074,294,227,0,521,60,0,57,76,276,87,1,0,0,2,1,1,3,0,2,3,0,6,1,3,1,0,0,0,0,1,521
72,"P.V. NARKATAHA ROOM NO. 2",472,404,0,876,223,223,0,446,445,0,68,140,173,44,1,3,0,0,2,0,1,1,0,2,1,1,1,3,2,0,2,1,0,0,446
73,"P.V. NARKATAHA ROOM NO. 3",794,627,0,1421,409,356,0,765,763,0,31,158,472,33,5,4,0,5,1,2,5,0,5,6,3,14,2,4,1,2,3,3,2,4,765
74,"P.M.V. NARKATAHA",873,691,0,1564,421,391,0,812,800,0,51,144,463,26,5,1,2,2,6,4,5,3,3,3,7,55,1,5,3,1,3,5,4,10,812
75,"P.V. GANGI ROOM NO. 1",679,575,0,1254,351,361,0,712,578,0,31,58,549,31,0,0,1,1,3,1,4,1,2,1,4,4,1,6,1,3,4,2,0,4,712
76,"P.V. GANGI ROOM NO. 2",480,345,0,825,213,145,0,358,348,0,66,90,155,29,2,0,1,0,0,1,2,0,3,1,4,4,0,0,0,0,0,0,0,0,358
77,"P.V. SAURAHA ROOM NO. 1",820,585,0,1405,386,296,0,682,682,0,244,123,213,35,4,3,1,1,2,1,3,2,1,6,4,14,6,5,3,1,2,2,1,5,682
78,"P.V. SAURAHA ROOM NO. 2",640,455,0,1095,310,173,0,483,1,0,168,34,205,38,2,2,0,3,0,1,4,0,0,4,1,9,2,1,1,1,3,0,1,3,483
79,"P.V. RAMPUR ROOM NO. 1",622,516,0,1138,346,298,0,644,636,0,91,155,344,22,1,2,0,1,0,1,3,2,1,3,1,7,0,2,7,0,0,0,1,0,644
80,"P.V. RAMPUR ROOM NO. 2",512,439,0,951,286,239,0,525,509,0,91,134,255,17,2,1,2,0,0,1,1,2,1,1,2,6,2,2,1,0,0,1,0,3,525
81,"P.V. MANSOORGANJ ROOM NO. 1",440,355,0,795,230,208,0,438,435,0,73,107,211,12,1,0,0,0,0,0,0,1,2,3,0,8,2,7,2,1,2,1,0,5,438
82,"P.V. MANSOORGANJ ROOM NO. 2",646,527,1,1174,396,326,0,722,722,0,91,264,297,34,2,0,0,2,3,0,3,2,4,2,1,6,1,1,0,2,1,1,2,3,722
83,"K.P.V. MANSOORGANJ",420,333,0,753,223,164,0,387,379,0,65,30,256,11,0,0,1,1,4,2,2,1,0,3,0,4,0,3,0,0,0,0,1,3,387
84,"P.V. BAHARAMPUR",658,573,0,1231,365,345,0,710,710,0,107,88,454,22,1,1,2,1,1,2,8,0,0,1,1,3,4,5,6,1,0,1,0,1,710
85,"P.V. BHAWANIPUR ROOM NO. 1",736,624,0,1360,400,395,0,795,795,0,130,166,359,30,3,2,3,0,5,4,6,2,2,8,3,17,2,19,7,2,4,5,4,12,795
86,"P.V. BHAWANIPUR ROOM NO. 2",489,404,0,893,300,235,0,535,534,0,130,204,160,4,0,0,1,3,0,0,1,1,2,0,6,10,3,2,2,0,1,1,2,2,535
87,"P.V. GONAHA ROOM NO. 1",653,512,0,1165,400,336,0,736,736,0,86,117,457,12,7,1,1,2,1,1,6,1,0,4,4,12,0,5,4,0,1,2,3,9,736
88,"P.V. GONAHA ROOM NO. 2",652,496,0,1148,416,333,0,749,749,0,61,272,333,12,2,0,1,1,2,2,3,4,4,3,4,17,4,6,4,1,2,1,4,6,749
89,"P.V. HARIRAMPUR",531,430,1,962,298,264,0,562,532,0,90,41,384,14,2,1,2,1,3,0,3,0,2,3,3,1,4,3,0,1,1,1,0,2,562
90,"P.V. HEMCHHAPAR ROOM NO. 1",716,582,0,1298,419,425,0,844,794,0,191,102,446,26,1,4,5,5,3,4,0,1,0,6,3,10,6,6,9,4,2,4,4,2,844
91,"P.V. HEMCHHAPAR ROOM NO. 2",518,418,0,936,334,241,0,575,574,0,51,29,437,15,0,1,2,0,2,0,2,0,3,4,3,9,2,4,3,0,0,2,1,5,575
92,"P.V. RAJAUDA KALA",602,481,0,1083,292,247,0,539,534,0,66,191,193,32,2,5,1,0,0,1,0,3,5,9,2,11,0,7,2,3,1,1,1,3,539
93,"P.V. RAJAUDA PANJUM",855,646,0,1501,452,393,0,845,840,0,184,146,476,14,1,2,1,2,0,3,7,0,0,0,0,2,3,2,1,0,1,0,0,0,845
94,"P.V. BELTIKARA",886,672,0,1558,472,483,0,955,955,0,252,83,526,26,3,1,2,4,2,1,4,3,1,1,1,8,3,12,4,3,0,3,4,8,955
95,"P.V. RAJAUDA KHURD ROOM NO. 1",341,271,0,612,196,127,0,323,323,0,50,120,100,9,1,3,3,1,2,0,2,0,2,3,6,10,4,2,0,1,1,1,2,0,323
96,"P.V. RAJAUDA KHURD ROOM NO. 2",813,657,0,1470,458,374,0,832,832,0,144,356,240,23,1,11,2,0,3,4,10,1,5,7,5,12,1,2,2,0,1,1,0,1,832
97,"R.I.C. PANIYARA ROOM NO. 1",557,449,0,1006,312,297,0,609,607,0,186,220,163,10,0,0,1,0,4,2,2,0,0,2,4,11,0,0,0,0,1,0,1,2,609
98,"R.I.C. PANIYARA ROOM NO. 2",576,452,0,1028,308,289,0,597,597,0,285,75,196,8,1,2,2,1,0,0,2,2,1,2,3,9,1,1,1,0,1,0,1,3,597
99,"R.I.C. PANIYARA ROOM NO. 3",816,616,0,1432,432,390,0,822,820,0,274,154,319,27,3,9,0,2,1,0,3,2,4,4,3,1,2,6,1,1,0,3,0,3,822
100,"R.I.C. PANIYARA ROOM NO. 4",464,340,0,804,232,215,0,447,1,0,133,65,209,12,1,7,0,1,0,2,3,0,2,0,0,4,3,1,0,1,2,1,0,0,447
101,"R.I.C. PANIYARA ROOM NO. 5",552,461,0,1013,334,262,0,596,1,0,101,51,377,23,7,4,0,1,3,0,4,1,4,1,1,5,2,3,1,1,1,1,1,3,596
102,"R.I.C. PANIYARA ROOM NO. 6",451,351,0,802,239,199,0,438,1,0,61,126,205,16,1,0,0,0,10,0,0,1,1,0,0,2,1,4,7,0,0,0,1,2,438
103,"P.M.V. BADWAR ROOM NO. 1",692,580,0,1272,390,386,0,776,121,0,140,260,334,9,2,0,0,0,1,1,0,1,0,3,7,2,1,4,4,1,1,1,2,2,776
104,"P.M.V. BADWAR ROOM NO. 2",451,389,0,840,265,256,0,521,191,0,74,97,320,9,1,0,0,0,2,1,2,0,1,4,2,2,0,2,1,0,1,1,1,0,521
105,"P.V. BAIJUDEHARA ROOM NO. 1",414,378,0,792,208,280,0,488,488,0,52,24,325,12,1,42,1,1,0,2,2,4,2,0,1,5,0,2,3,2,2,2,2,1,488
106,"P.V. BAIJUDEHARA ROOM NO. 3",424,383,0,807,271,248,0,519,519,0,51,57,378,8,0,9,0,2,1,1,0,0,0,4,2,1,2,0,1,0,0,0,0,2,519
107,"P.V. BAIJUDEHARA ROOM NO. 2",244,224,0,468,162,173,0,335,335,0,5,225,67,4,2,9,1,0,1,0,2,0,1,1,0,3,0,4,1,1,2,1,0,5,335
108,"P.V. NEWAS POKHAR ROOM NO. 1",786,561,0,1347,417,330,0,747,5,0,124,124,388,19,2,18,0,2,2,0,1,4,5,2,2,15,3,12,7,1,2,2,5,7,747
109,"P.V. NEWAS POKHAR ROOM NO. 2",681,541,0,1222,364,280,0,644,644,0,190,90,297,24,4,5,0,2,1,0,2,2,3,3,4,10,0,2,1,0,1,2,0,1,644
110,"P.V. MAHUAWA ROOM NO. 1",555,463,0,1018,311,266,0,577,575,0,98,136,299,8,2,4,0,0,2,0,4,3,3,0,4,2,2,3,1,2,0,1,1,2,577
111,"P.V. MAHUAWA ROOM NO. 2",630,493,0,1123,385,307,0,692,692,0,121,73,410,18,3,11,3,2,1,1,7,0,5,2,1,9,1,2,5,2,1,3,2,9,692
112,"P.V. ALLAHABAS",642,544,0,1186,415,355,0,770,642,0,158,192,364,13,2,0,2,1,3,4,6,1,3,4,2,10,1,0,2,0,0,1,0,1,770
113,"P.V. KHAICHA ROOM NO. 1",566,492,1,1059,327,317,0,644,643,0,180,61,316,20,1,3,2,1,4,2,7,2,6,1,3,15,1,1,9,1,0,4,0,4,644
114,"P.V. KHAICHA ROOM NO. 2",680,565,0,1245,417,371,0,788,788,0,130,241,381,10,0,2,2,0,1,0,1,2,0,0,0,1,5,5,2,3,0,0,1,1,788
115,"P.V. AUSANI",552,465,0,1017,322,339,0,661,650,0,67,350,220,10,0,2,4,0,1,0,1,2,1,0,0,1,1,1,0,0,0,0,0,0,661
116,"P.V. HASKHORI ROOM NO. 1",618,514,0,1132,334,336,0,670,668,0,126,88,402,8,2,1,1,1,0,1,4,1,1,3,5,13,4,3,1,1,0,2,0,2,670
117,"P.V. HAKHORI ROOM NO. 2",660,557,1,1218,401,381,0,782,782,0,41,356,343,12,2,2,1,1,0,3,0,1,2,2,3,10,0,0,1,0,0,2,0,0,782
118,"P.V. SARAY KHUTAHA URF LAKHARAW",741,642,0,1383,483,455,0,938,938,0,110,181,568,20,2,0,0,1,0,2,3,4,7,3,6,12,0,5,2,0,9,0,0,3,938
119,"P.V. BADAHARA",659,532,0,1191,383,338,0,721,721,0,162,152,310,46,3,3,0,1,1,1,3,1,1,5,2,6,3,3,3,2,4,2,2,5,721
120,"P.V. CHUNWATIYA",383,274,0,657,191,171,0,362,354,0,173,28,131,12,2,2,1,0,0,0,0,0,0,0,0,5,2,0,1,1,1,1,1,1,362
121,"P.V. BRAHMAPUR",412,337,0,749,242,247,0,489,488,0,20,204,216,13,0,0,2,1,0,0,7,1,0,2,3,16,1,2,0,0,0,0,0,1,489
122,"P.V. PIPARA DARGAH",246,223,0,469,156,155,0,311,311,0,45,86,150,6,0,1,0,0,1,0,1,0,0,4,1,5,3,4,2,0,0,0,1,1,311
123,"P.V. KAMATA BUZURG ROOM NO. 1",638,534,0,1172,385,344,0,729,728,0,51,106,531,24,4,1,0,0,0,0,1,0,1,3,1,1,1,1,1,1,1,0,0,0,729
124,"P.V. KAMATA BUZURG ROOM NO. 2",398,370,1,769,243,225,0,468,435,0,102,120,206,7,3,5,1,0,0,0,2,2,0,7,0,4,0,4,1,1,0,2,0,1,468
125,"P.V. MITHAURA ROOM NO. 1",721,591,0,1312,366,399,0,765,14,0,80,81,537,10,4,4,4,1,5,2,1,1,3,6,2,7,2,3,5,2,0,1,1,3,765
126,"P.V. MITHAURA ROOM NO. 2",545,448,0,993,275,277,0,552,246,0,162,134,196,22,0,1,1,0,2,1,1,1,2,5,2,18,1,2,0,0,0,1,0,0,552
127,"P.V. VISHUNPURA",851,702,0,1553,462,444,0,906,800,0,49,183,580,43,6,0,2,0,5,2,3,2,0,1,3,5,2,3,3,1,2,2,4,5,906
128,"P.V. USKA",674,573,0,1247,393,376,0,769,740,0,101,106,512,11,1,2,1,0,3,0,3,1,1,5,4,11,0,2,2,0,0,3,0,0,769
129,"P.V. LAXMIPUR DEURWA ROOM NO. 1",657,557,1,1215,364,387,0,751,751,0,237,189,283,22,3,3,0,0,0,1,1,1,2,4,1,0,2,1,0,0,0,1,0,0,751
130,"P.V. LAXMIPUR DEURWA ROOM NO. 2",431,376,0,807,249,197,0,446,426,0,30,91,302,7,0,0,0,2,0,0,1,1,0,2,0,2,1,0,0,2,3,0,1,1,446
131,"LT. JOKHAN MUNI J.H.S. LAXMIPUR DEURWA ROOM NO. 1",474,394,0,868,277,255,0,532,527,0,44,198,261,10,0,0,0,1,1,2,1,0,2,3,1,5,0,0,1,0,1,0,1,0,532
132,"LT. JOKHAN MUNI J.H.S. LAXMIPUR DEURWA ROOM NO. 2",513,431,0,944,285,260,0,545,545,0,18,205,273,9,2,1,0,1,3,1,2,1,0,2,0,3,3,7,7,0,1,2,2,2,545
133,"P.V. BARIYARPUR",517,423,0,940,240,246,0,486,483,0,105,135,187,16,4,0,4,1,1,0,3,2,0,0,0,14,3,1,5,0,1,0,1,3,486
134,"P.M.V. BARIYARPUR ROOM NO. 1",643,446,0,1089,216,237,0,453,453,0,153,64,90,22,2,0,109,0,0,1,0,0,0,1,1,1,2,2,4,0,0,1,0,0,453
135,"P.M.V. BARIYARPUR ROOM NO. 2",585,429,0,1014,282,254,0,536,526,0,183,246,47,20,0,0,32,0,1,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,536
136,"P.V. PIPARPATI",622,510,0,1132,313,319,0,632,632,0,155,160,256,27,0,0,2,0,1,2,2,0,2,1,2,5,1,5,3,1,0,1,2,4,632
137,"P.V. SISWA MUNSHI",785,647,1,1433,374,358,0,732,624,0,294,71,310,17,1,1,2,1,1,3,2,0,0,2,2,6,4,7,0,0,2,2,0,4,732
138,"P.V. DERWA ROOM NO. 1",497,421,0,918,242,288,0,530,529,0,204,100,118,76,2,0,0,0,4,1,3,0,1,1,4,5,4,1,0,0,0,2,2,2,530
139,"P.V. DERAWA ROOM NO. 2",446,333,0,779,177,199,0,376,375,0,230,69,32,20,2,1,0,0,2,2,2,0,1,2,1,7,0,1,2,0,1,1,0,0,376
140,"P.V. VISHUNPUR KHURD",651,522,1,1174,315,339,0,654,653,0,222,102,269,24,1,3,14,1,1,1,0,1,1,1,1,1,0,0,1,1,5,0,1,3,654
