"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ANIL SHUKLA WARSI","2 - DEVENDRA SINGH BHOLE SINGH","3 - RAJARAM PAL","4 - LAL SINGH TOMAR","5 - AMAR SINGH","6 - ARVIND KUMAR","7 - DR. OMKAR NATH KATIYAR","8 - GOPI RAMAN","9 - JASWANT SINGH","10 - DR. BAJARANG PRATAP SONKAR","11 - RAMA KANT VERMA","12 - RAMENDRA SINGH TOMAR","13 - ASHOK YADAV","14 - NEERAJ KUMAR ADVOCATE","15 - BHARTI DEVI PASI ADVOCATE","16 - MUNNI DEVI","17 - RAM SEVAK","18 - VIJAY KUMAR SHARMA","19 - None of the Above","Total Votes Secured"
43,"SHRI LALMADI INTER COLLEGE REVNA ROOM NO.3",502,366,0,868,253,176,0,429,426,0,160,65,38,152,2,0,1,0,1,0,3,0,0,1,0,0,5,0,1,429
44,"PR. PATHSHALA ISMAILPUR QADEEM",494,359,0,853,292,238,0,530,527,0,231,230,25,17,0,1,0,0,1,1,1,1,0,0,0,1,8,10,3,530
45,"PR. PATHSHALA CHAINAPUR M. ISMAILPUR QADEEM",277,240,0,517,215,170,0,385,385,0,116,230,29,6,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,385
46,"PR. PATHSHALA MAVAEE MADHAU",592,447,0,1039,326,206,0,532,532,0,139,243,24,111,0,0,0,0,2,1,3,0,0,2,2,2,2,0,1,532
47,"PR. PATHSHALA BICHHIPUR",302,277,0,579,176,152,0,328,326,0,62,189,60,4,0,1,0,1,0,1,0,1,0,0,2,2,4,0,1,328
48,"PR. PATHSHALA BARADAULATPUR ROOM NO.1",825,647,0,1472,515,415,0,930,929,0,561,243,60,13,0,5,1,0,9,2,4,0,1,0,8,11,5,5,2,930
49,"PR. PATHSHALA BARADAULATPUR CLASS NO.2",433,319,0,752,189,150,0,339,330,0,33,254,25,17,0,1,0,0,0,0,0,0,0,0,1,4,1,0,3,339
50,"PR. PATHSHALA GAURA",255,197,0,452,166,127,0,293,290,0,132,108,16,28,0,2,0,0,0,0,2,0,0,0,1,0,2,1,1,293
51,"NAYA PR. PATHSHALA DIVLI",630,515,0,1145,378,280,0,658,650,0,136,330,32,124,0,0,0,1,0,0,0,1,1,1,5,11,4,7,5,658
52,"PR. PATHSHALA RATHIGAON",863,668,0,1531,481,335,0,816,790,0,295,301,25,154,2,1,1,0,2,2,0,1,1,5,4,19,1,2,0,816
53,"POORV M. VIDHYALAY DURAULI ROOM NO.1",530,402,0,932,265,243,0,508,506,0,154,293,20,9,0,1,2,0,1,0,0,0,2,0,4,7,8,3,4,508
54,"POORV M. VIDHYALAY DURAULI ROOM NO.2",521,429,0,950,320,262,0,582,375,0,236,297,17,12,1,0,0,0,0,0,1,0,0,0,5,7,2,4,0,582
55,"PR. PATHSHALA SARGAWAN",411,326,0,737,234,181,0,415,415,0,213,85,85,9,0,1,0,1,0,0,1,4,0,1,5,2,5,1,2,415
56,"PR. PATHSHALA ARKHARI",228,184,0,412,135,118,0,253,243,0,151,62,21,5,1,0,0,1,0,1,0,1,0,4,1,3,0,2,0,253
57,"PR. PATHSHALA PARARAIB",297,249,0,546,198,178,0,376,375,0,200,137,29,6,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,376
58,"PR. PATHSHALA AKBARPUR JHAWAIYA ROOM NO.1",667,493,0,1160,397,297,0,694,684,0,343,110,11,196,1,1,0,1,1,2,0,1,0,1,8,13,1,2,2,694
59,"PR. PATHSHALA AKBARPUR JHAWAIYA ROOM NO.2",471,357,0,828,283,211,0,494,494,0,191,203,9,72,0,1,2,0,0,0,0,0,3,2,2,5,2,1,1,494
60,"PR. PATHSHALA ASWAKPUR",250,209,0,459,151,140,0,291,291,0,39,238,1,9,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,291
61,"PR. PATHSHALA MUSEPUR",372,275,0,647,188,163,0,351,344,0,216,97,8,15,0,1,0,0,2,0,4,0,1,0,3,2,1,1,0,351
62,"PR. PATHSHALA AGAPUR",491,378,0,869,254,189,0,443,442,0,130,217,35,31,1,3,3,0,0,1,1,0,0,1,2,3,6,6,3,443
63,"PR. PATHSHALA BHADAULI M. KHEMPUR",689,504,0,1193,419,269,0,688,668,0,159,377,18,56,0,2,1,0,0,1,0,0,1,3,5,9,22,27,7,688
64,"PR. PATHSHALA HATHEHI ROOM NO. 1",833,566,0,1399,403,269,0,672,666,0,45,572,22,16,0,0,0,0,1,2,0,2,0,0,6,4,0,1,1,672
65,"PR. PATHSHALA HATHEHI ROOM NO. 2",660,503,0,1163,383,257,0,640,640,0,239,304,79,9,0,0,1,0,0,0,0,0,0,1,2,0,3,1,1,640
66,"PR. PATHSHALA MUGULPUR M. HATHEHI",282,213,0,495,169,128,0,297,213,0,109,127,10,35,0,1,0,0,0,0,2,3,0,1,2,2,4,1,0,297
67,"PR. PATHSHALA BHAGWANTPUR M. HATHEHI",398,270,0,668,248,142,0,390,390,0,81,176,10,96,1,0,0,0,0,1,0,1,0,1,1,2,5,11,4,390
68,"PR. PATHSHALA NANDANA ROOM NO.1",747,543,0,1290,457,270,0,727,718,0,149,434,21,100,1,0,1,0,0,0,1,0,2,6,2,1,0,7,2,727
69,"PR. PATHSHALA GANESHPUR M. NANDANA",344,291,0,635,157,228,0,385,245,0,72,297,4,1,0,1,0,0,0,1,1,0,0,1,1,5,0,1,0,385
70,"PR. PATHSHALA SARKHELPUR",343,286,0,629,232,180,0,412,410,0,231,98,45,13,1,4,0,0,0,0,1,8,0,0,4,3,2,1,1,412
71,"PR. PATHSHALA DATARI",228,189,0,417,140,127,0,267,260,0,148,93,17,7,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,267
72,"NAYA PR. PATHSHALA PATARSA ROOM NO.1",328,270,0,598,192,155,0,347,347,0,196,134,4,1,0,2,0,0,0,1,0,1,1,1,3,1,0,1,1,347
73,"NAYA PR. PATHSHALA PATARSA ROOM NO.2",546,443,0,989,309,251,0,560,550,0,169,323,31,9,0,7,0,0,1,1,0,0,3,0,3,3,2,6,2,560
74,"JR. H. SCHOOL SYODHARI ROOM NO.1",605,466,0,1071,339,203,0,542,541,0,152,297,39,39,0,0,0,0,0,2,2,0,1,0,6,1,0,2,1,542
75,"JR. H. SCHOOL SYODHARI ROOM NO.2",442,356,0,798,278,220,0,498,450,0,367,58,22,33,0,0,0,0,1,0,0,0,1,1,2,7,3,3,0,498
76,"PR. PATHSHALA TADA M. SYODHARI",340,278,0,618,168,166,0,334,334,0,11,224,8,79,2,0,0,0,0,0,1,0,1,1,4,2,1,0,0,334
77,"PR. PATHSHALA FARAUR M. SYODHARI",302,232,0,534,220,142,0,362,362,0,45,246,4,21,1,32,1,0,0,0,0,0,2,3,4,2,1,0,0,362
78,"PR. PATHSHALA SALAMATPUR M. SYODHARI",177,147,0,324,112,105,0,217,217,0,193,5,0,7,0,0,0,0,9,1,0,0,0,0,0,1,1,0,0,217
79,"PR. PATHSHALA BAMBURAHA",549,438,0,987,342,265,0,607,407,0,164,310,93,13,1,1,0,0,3,1,1,1,2,1,9,1,4,1,1,607
80,"PR. PATHSHALA GHATWA M. BAMBURAHA",152,107,0,259,90,67,0,157,156,0,0,6,0,142,0,0,0,0,0,0,1,0,0,0,2,1,1,1,3,157
81,"PR. PATHSHALA CHANVAR",856,630,0,1486,458,334,0,792,604,0,156,339,33,195,6,10,0,0,2,2,1,4,2,2,7,6,7,17,3,792
82,"PR. PATHSHALA BEHUNTA ROOM NO.1",76,55,0,131,48,37,0,85,85,0,0,74,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85
83,"PR. PATHSHALA BEHUNTA ROOM NO.2",520,445,0,965,347,272,0,619,619,0,123,393,25,42,1,0,0,0,10,0,10,1,2,1,7,2,0,1,1,619
84,"PR. PATHSHALA MOTIPUR",370,319,0,689,240,212,0,452,452,0,97,294,19,18,1,0,2,1,2,0,1,1,2,0,3,5,3,2,1,452
85,"PR. PATHSHALA MIRANPUR",481,395,0,876,321,257,0,578,551,0,285,158,97,6,0,0,2,0,3,1,0,3,0,4,8,7,2,1,1,578
86,"PR. PATHSHALA CHILLI",472,358,0,830,334,262,0,596,586,0,247,142,49,149,2,1,0,0,0,0,0,0,0,1,1,1,3,0,0,596
87,"PR. PATHSHALA JURAIYAN",559,465,0,1024,354,306,0,660,660,0,248,349,15,15,2,1,0,1,0,0,0,2,1,2,6,9,3,5,1,660
88,"PR. PATHSHALA CHAUBEPUR",460,379,0,839,306,270,0,576,421,0,312,82,143,6,2,0,1,0,5,1,0,9,1,2,5,2,2,1,2,576
89,"PR. PATHSHALA NAVEDI",275,238,0,513,162,182,0,344,340,0,30,122,146,23,0,0,0,0,0,0,2,5,1,1,3,0,2,5,4,344
90,"NAYA PR. PATHSHALA BENDA ROOM NO.1",801,626,0,1427,464,332,0,796,796,0,239,330,48,154,1,1,0,0,1,0,0,0,1,4,6,3,2,5,1,796
91,"NAYA PR. PATHSHALA BENDA ROOM NO.2",326,256,0,582,151,95,0,246,240,0,26,35,15,160,2,1,0,0,0,1,1,0,1,2,0,2,0,0,0,246
92,"PR. PATHSHALA SHERPUR M. BENDA",332,254,0,586,218,129,0,347,342,0,0,17,14,300,4,3,1,0,0,0,0,0,1,0,2,2,0,0,3,347
93,"PR. PATHSHALA NIMDHA",623,548,0,1171,361,305,0,666,666,0,220,340,11,44,2,3,0,2,2,2,0,2,0,5,9,8,4,7,5,666
94,"PR. PATHSHALA TILHALI",209,159,0,368,173,100,0,273,273,0,40,65,17,144,2,0,0,1,0,0,0,0,0,0,0,0,0,1,3,273
95,"PR. PATHSHALA PARACHAND",456,342,0,798,253,191,0,444,430,0,123,133,63,114,1,2,0,1,0,0,0,0,1,0,1,2,0,2,1,444
96,"PR. PATHSHALA RAMPUR NIHURA",155,142,0,297,105,92,0,197,186,0,182,0,0,10,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0,197
97,"PR. PATHSHALA DAULATPUR GHATAMPUR",280,222,0,502,183,165,0,348,348,0,139,126,41,12,1,0,0,0,0,0,0,0,0,0,4,1,17,5,2,348
98,"JR. H. SCHOOL NIHURA",579,479,0,1058,347,294,0,641,641,0,202,43,303,77,2,0,0,0,2,0,1,0,3,1,1,4,1,0,1,641
99,"PR. PATHSHALA DAULATPUR GHATAMPUR",488,419,0,907,304,262,0,566,554,0,163,144,29,208,0,1,0,0,1,0,0,0,0,1,2,3,7,5,2,566
100,"PR. PATHSHALA  MAKRANDPUR BANGAR STHIT GRAM SUJANPUR M. MAKRANDPUR BANGAR",244,200,0,444,155,126,0,281,277,0,75,123,32,42,1,0,0,0,0,0,0,0,1,3,2,2,0,0,0,281
101,"KANYA PURV MADHYAMIC VIDYALAY MAKRANDPUR BANGAR ROOM NO.1",525,431,0,956,264,224,0,488,488,0,79,244,13,108,3,4,0,0,0,1,0,7,0,0,6,7,0,4,12,488
102,"KANYA PURV MADHYAMIC VIDYALAY MAKRANDPUR BANGAR ROOM NO.2",459,380,0,839,262,221,0,483,453,0,70,235,22,130,2,1,0,0,1,3,0,7,1,3,3,4,0,1,0,483
103,"PR. PATHSHALA USMANPUR M. MAKRANDPUR BANGAR",227,209,0,436,168,147,0,315,308,0,206,87,2,5,0,0,0,0,0,0,1,2,0,1,5,3,2,0,1,315
104,"JR. H. SCHOOL AKBARPUR BEERBAL BANGAR ROOM NO. 1",691,547,0,1238,431,353,0,784,777,0,253,414,11,41,2,0,3,1,1,0,1,0,2,1,10,9,16,19,0,784
105,"JR. H. SCHOOL AKBARPUR BEERBAL BANGAR ROOM NO. 2",529,448,0,977,338,228,0,566,566,0,39,386,17,99,0,1,2,1,3,0,1,5,2,1,1,7,0,1,0,566
106,"PR. PATHSHALA GURAIYANNPUR M. AKBARPUR BEERBAL BANGAR",420,368,0,788,246,264,0,510,506,0,14,341,14,80,4,0,0,1,1,1,1,13,0,1,9,9,2,14,5,510
107,"PR. PATHSHALA GHURAUPUR",230,175,0,405,152,107,0,259,255,0,86,114,21,28,0,3,0,0,1,0,0,0,1,0,3,0,1,1,0,259
108,"PR. PATHSHALA SARGAON",883,639,0,1522,535,316,0,851,851,0,224,408,12,147,1,6,2,0,1,0,0,9,1,0,8,3,7,17,5,851
109,"PR. PATHSHALA RAIPURA",470,375,0,845,288,216,0,504,500,0,312,54,32,94,0,1,1,0,0,1,0,0,0,0,2,4,1,0,2,504
110,"PR. PATHSHALA RADAULI",177,155,0,332,133,109,0,242,242,0,111,120,1,7,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,242
111,"PR. PATHSHALA MADHA",570,410,0,980,363,290,0,653,650,0,244,194,21,169,2,0,1,1,0,1,1,0,1,3,3,6,4,1,1,653
112,"PR. PATHSHALA MAYA KA PURWA",271,238,0,509,189,146,0,335,335,0,180,55,3,89,0,0,0,0,0,0,1,1,0,0,0,1,4,1,0,335
113,"PR. PATHSHALA ITAURA",416,351,0,767,263,196,0,459,458,0,201,200,19,10,2,1,0,0,1,2,0,3,1,1,5,8,1,4,0,459
114,"PR. PATHSHALA KURSEDA",494,404,0,898,334,271,0,605,600,0,223,241,14,91,3,2,0,2,0,1,1,1,1,4,2,3,6,5,5,605
115,"PR. PATHSHALA SUKHAPUR",838,698,0,1536,559,434,0,993,983,0,359,445,116,34,2,3,0,3,1,3,1,2,3,2,5,4,3,1,6,993
116,"PR. PATHSHALA HATHERUA",601,449,0,1050,378,266,0,644,619,0,241,292,17,73,0,1,0,0,0,1,0,0,1,3,5,6,1,2,1,644
117,"PR. PATHSHALA RAHA ROOM NO.1",470,363,0,833,290,205,0,495,495,0,215,188,14,56,1,0,1,1,1,0,0,1,0,0,7,7,1,1,1,495
118,"PR. PATHSHALA RAHA ROOM NO.2",449,383,0,832,284,235,0,519,501,0,421,52,8,15,0,0,0,0,0,1,0,0,0,1,1,7,8,3,2,519
119,"PR. PATHSHALA SHEETALPUR M. RAHA",655,524,0,1179,380,323,0,703,690,0,18,595,27,37,1,0,1,0,0,0,1,7,1,2,2,2,0,5,4,703
120,"PR. PATHSHALA LAUKAHA",661,510,0,1171,338,224,0,562,562,0,165,267,17,60,1,2,0,2,1,1,2,5,5,5,11,9,5,2,2,562
121,"PR. PATHSHALA JALALA",382,290,0,672,185,119,0,304,300,0,13,246,7,25,0,0,0,0,0,0,0,0,0,3,5,1,0,3,1,304
122,"PR. PATHSHALA RATANPUR ROOM NO.1",447,347,0,794,279,183,0,462,462,0,83,343,5,22,0,0,0,0,0,0,0,0,0,0,4,1,1,2,1,462
123,"PR. PATHSHALA RATANPUR ROOM NO.2",442,330,0,772,280,204,0,484,360,0,202,189,12,59,1,2,1,1,3,1,0,1,0,1,6,2,0,3,0,484
124,"PR.SCHOOL BARAULI",645,508,0,1153,433,341,0,774,765,0,478,186,25,37,1,5,0,0,0,1,0,2,1,0,4,11,9,7,7,774
125,"PR. PATHSHALA KATHETHA",190,152,0,342,97,68,0,165,158,0,14,76,3,70,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,165
126,"PR. PATHSHALA TEJPUR",673,500,1,1174,281,392,0,673,670,0,149,261,14,221,3,1,0,0,2,0,1,0,0,2,7,8,1,1,2,673
127,"PR. PATHSHALA KUNWARPUR",455,363,0,818,299,230,0,529,529,0,28,455,17,4,0,0,1,0,0,0,2,0,2,1,9,5,1,2,2,529
128,"PR. PATHSHALA TARGAON ROOM NO.1",743,483,0,1226,400,232,0,632,630,0,161,275,17,147,2,2,1,3,2,1,1,2,0,4,4,4,4,1,1,632
129,"PR. PATHSHALA TARGAON ROOM NO.2",583,383,0,966,266,203,0,469,469,0,20,389,8,34,1,0,0,2,0,0,2,0,1,3,2,3,1,2,1,469
130,"PR. PATHSHALA BAKHARIYA M. TARGAON",401,281,0,682,232,156,0,388,341,0,33,218,68,58,0,1,0,0,0,0,0,1,0,1,5,1,0,0,2,388
131,"PR. PATHSHALA MOMINPUR M. TARGAON ROOM NO.1",487,336,0,823,271,169,0,440,408,0,89,299,9,20,0,0,0,0,0,0,18,0,0,1,1,1,0,1,1,440
132,"PR. PATHSHALA MOMINPUR M. TARGAON ROOM NO.2",420,276,0,696,225,106,0,331,331,0,180,135,6,2,0,0,1,0,1,0,0,0,0,0,0,2,1,3,0,331
133,"PR. PATHSHALA TILSADA CLASS NO.1",467,356,0,823,288,225,0,513,500,0,122,235,13,109,1,0,0,0,1,0,3,0,1,0,3,3,10,5,7,513
134,"PR. PATHSHALA TILSADA ROOM NO.2",354,257,0,611,232,149,0,381,378,0,61,257,7,48,1,0,1,0,1,0,1,0,1,0,2,0,0,1,0,381
135,"PR. PATHSHALA TILSADA ROOM NO.3",480,381,0,861,293,228,0,521,509,0,311,143,13,39,1,1,0,0,0,0,2,0,1,1,1,3,4,1,0,521
136,"PR. PATHSHALA TILSADA ROOM NO.4",390,299,0,689,224,134,0,358,355,0,67,142,5,129,2,1,0,0,0,1,0,1,1,0,2,3,1,0,3,358
137,"NAYA PR. PATHSHALA BALHAPARA KALA",800,621,0,1421,479,360,0,839,837,0,270,409,12,125,2,1,0,0,0,0,0,1,1,2,9,5,0,1,1,839
138,"PR. PATHSHALA BALHAPARA KHURD",295,239,0,534,156,112,0,268,258,0,55,200,3,4,0,0,0,1,0,0,0,0,0,0,2,1,1,1,0,268
139,"PR. PATHSHALA KEWADIYA",631,467,0,1098,357,253,0,610,610,0,220,211,5,154,0,2,0,0,0,0,0,0,0,2,1,3,4,6,2,610
140,"PR. PATHSHALA SIROMANPUR",297,232,0,529,206,156,0,362,200,0,144,196,5,4,0,0,0,0,0,0,0,4,0,1,0,1,3,3,1,362
141,"PR. PATHSHALA BARNAV ROOM NO.1",575,450,0,1025,320,231,0,551,400,0,129,227,27,140,0,0,0,0,0,0,1,1,0,3,6,10,3,3,1,551
142,"PR. PATHSHALA BARNAV ROOM NO.2",672,472,0,1144,414,264,0,678,638,0,121,441,40,23,2,3,0,1,0,1,1,6,2,6,15,8,5,1,2,678
143,"JR. H. SCHOOL GADARIYANPUR M. BARNAV",405,353,0,758,232,209,0,441,438,0,52,38,302,11,0,2,1,1,3,2,3,0,3,4,6,6,1,1,5,441
144,"PR. PATHSHALA KANWANPUR M. BARNAV ROOM NO.1",255,184,0,439,168,96,0,264,264,0,143,24,3,86,0,1,0,1,1,0,0,1,0,0,0,3,1,0,0,264
145,"PR. PATHSHALA KANWANPUR M. BARNAV ROOM NO.2",439,336,0,775,289,222,0,511,510,0,65,371,6,49,0,2,0,1,0,1,0,0,0,0,2,4,2,6,2,511
146,"PR. PATHSHALA SANCHITPUR",456,408,0,864,313,239,0,552,550,0,200,256,20,54,2,1,0,0,8,0,0,0,1,1,1,2,4,2,0,552
147,"PR. PATHSHALA KAKRAHIYA",479,379,0,858,263,198,0,461,350,0,167,196,6,60,5,0,0,0,0,1,0,1,2,4,3,8,5,1,2,461
148,"NAVEEN PR. PATHSHALA PATARA",808,659,0,1467,470,341,0,811,638,0,84,362,278,49,1,0,0,1,0,2,9,1,2,3,1,6,1,6,5,811
149,"PR. PATHSHALA PATARA ROOM NO.1",792,678,0,1470,300,476,0,776,743,0,248,404,52,55,0,0,0,0,1,0,2,1,0,2,3,5,2,0,1,776
150,"PR. PATHSHALA PATARA ROOM NO.2",497,408,0,905,312,242,0,554,542,0,172,169,99,58,0,5,0,0,1,0,38,0,0,2,2,4,3,1,0,554
