"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - NARENDRA BHATI","2 - DR.MAHESH  SHARMA","3 - RAMESH CHAND TOMAR","4 - SATISH KUMAR","5 - UDAYVEER","6 - KISHAN PAL SINGH","7 - GAJENDRA","8 - DHARMENDER","9 - RAVINDER SHARMA","10 - RAM VILAS","11 - RUVEZ ALAM RAHI","12 - MOHD. SABIR ANSARI","13 - LT COL SP SINGH","14 - SEEMA","15 - SONIA SHARMA","16 - KADEEM","17 - KADIR KHAN JAISWAL","18 - GRISA KUMAR","19 - MAHESH","20 - RAKESH","21 - SAFRUDDIN","22 - SAVITRI","23 - SUNIL GAUTAM","24 - SUMITI","25 - None of the Above","Total Votes Secured"
11,"PRIMARY SCHOOL HARAULA MAKANPUR R.NO. 7",864,429,0,1293,378,217,0,595,595,0,51,196,23,232,1,67,0,7,0,1,2,4,0,0,0,2,0,3,0,2,1,0,0,1,2,595
12,"INDIRA GANDHI KALA KENDRA SEC- 6 NOIDA",486,198,0,684,197,91,0,288,280,0,27,175,10,33,0,32,1,7,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,288
13,"SAMUDAIK KENDRA JHUNDPURA",1029,457,0,1486,428,171,0,599,590,0,117,303,21,64,3,65,0,11,0,0,0,3,0,1,0,2,0,0,0,0,1,2,1,5,0,599
14,"SAMUDAIK KENDRA JHUNDPURA",917,471,0,1388,365,187,0,552,541,0,98,269,23,66,3,56,5,8,0,1,2,5,1,0,2,5,2,1,0,1,0,1,1,2,0,552
15,"SAMUDAIK KENDRA JHUNDPURA",926,401,0,1327,360,158,0,518,519,0,99,250,17,72,0,53,0,10,3,1,1,3,1,1,1,2,0,0,0,0,0,2,1,1,0,518
16,"SAMUDAIK KENDRA JHUNDPURA",793,387,0,1180,306,133,0,439,437,0,108,186,18,50,0,60,0,8,1,0,0,4,0,0,1,1,0,0,0,0,0,0,0,2,0,439
17,"SAMUDAIK KENDRA JHUNDPURA",977,402,0,1379,451,178,0,629,614,0,138,291,19,69,1,78,2,16,0,0,0,2,0,1,0,1,2,1,1,2,1,0,0,1,3,629
18,"SAMUDAIK KENDRA JHUNDPURA",534,453,0,987,223,169,0,392,392,0,85,197,16,20,0,33,0,13,2,0,1,10,0,1,3,7,0,0,0,1,1,2,0,0,0,392
19,"SAMUDAIK KENDRA JHUNDPURA",1126,528,0,1654,588,279,0,867,863,0,270,363,34,55,0,88,1,10,3,0,0,5,2,0,2,10,2,3,1,1,1,3,1,3,9,867
20,"SAMUDAIK KENDRA JHUNDPURA",769,550,0,1319,345,210,0,555,551,0,106,279,18,52,0,54,0,10,2,0,2,13,1,1,5,7,0,0,1,0,1,0,0,0,3,555
21,"SAMUDAIK KENDRA JHUNDPURA",766,430,0,1196,324,177,0,501,499,0,67,252,36,56,1,54,1,10,1,0,1,6,0,2,1,2,0,3,0,0,0,4,0,3,1,501
22,"SAMUDAIK KENDRA JHUNDPURA",545,305,0,850,220,126,0,346,340,0,59,180,17,38,0,30,0,8,0,0,0,3,0,0,2,3,1,0,0,0,0,1,1,1,2,346
23,"SAMUDAIK KENDRA JHUNDPURA",883,497,0,1380,408,242,0,650,650,0,134,340,21,41,0,54,1,12,0,2,1,14,2,1,3,10,1,1,0,1,0,4,2,2,3,650
24,"PANCHAYAT GHAR JHUNDPURA SECTOR-11 R.NO. 1",546,467,1,1014,228,170,0,398,398,0,81,210,16,29,0,41,1,4,1,1,0,5,0,0,0,1,2,1,1,0,0,2,0,1,1,398
25,"I. T. I. BHAWAN SECTOR 11 R.NO. 1",774,346,0,1120,358,160,0,518,518,0,98,282,20,37,0,49,0,5,0,0,1,5,1,1,0,6,1,3,2,0,0,2,0,2,3,518
26,"I. T. I. BHAWAN SECTOR 11 R.NO. 2",762,384,0,1146,292,177,0,469,460,0,116,244,14,34,0,36,1,9,0,3,1,3,1,1,0,4,0,0,0,0,0,1,0,1,0,469
27,"I. T. I. BHAWAN SECTOR 11 R.NO. 3",874,446,0,1320,395,206,0,601,600,0,116,320,23,47,1,63,1,9,2,0,1,7,0,1,0,0,0,2,1,2,0,2,0,2,1,601
28,"I. T. I. BHAWAN SECTOR 11 R.NO. 4",764,308,0,1072,330,132,0,462,460,0,79,237,19,58,0,46,2,10,0,0,1,1,0,1,2,3,0,1,0,0,0,1,1,0,0,462
29,"I. T. I. BHAWAN SECTOR 11 R.NO. 5",831,554,0,1385,344,224,0,568,450,0,91,312,14,58,0,55,2,9,1,0,0,8,1,0,1,7,0,2,1,0,1,0,0,2,3,568
30,"I. T. I. BHAWAN SECTOR 11 R.NO. 6",776,370,0,1146,358,168,0,526,526,0,55,263,14,91,0,72,1,8,1,0,0,2,1,0,1,2,1,3,0,1,0,3,0,2,5,526
31,"I. T. I. BHAWAN SECTOR 11 R.NO. 7",806,441,0,1247,267,173,0,440,430,0,67,215,20,69,0,46,0,4,0,0,0,0,0,2,0,0,1,1,1,1,0,2,3,4,4,440
32,"PRY. PATH. JHUNDPURA R.NO. 1",972,524,1,1497,481,234,0,715,690,0,176,403,15,53,2,32,0,8,1,2,0,4,2,1,0,2,2,4,1,0,1,2,1,0,3,715
33,"PRY. PATH. JHUNDPURA R.NO. 2",852,629,0,1481,419,294,0,713,710,0,46,493,17,55,0,78,1,8,0,0,1,5,0,0,3,0,0,0,1,1,0,0,1,0,3,713
34,"PRY. PATH. JHUNDPURA SECTOR- 11  R.NO. 3",780,406,0,1186,340,167,0,507,507,0,120,206,20,70,1,60,2,13,0,1,0,3,0,2,1,3,1,1,0,0,0,0,0,2,1,507
35,"PRY. PATHSALA JHUNDPURA R.NO. -4",707,618,1,1326,386,317,0,703,700,0,54,496,22,16,1,90,0,13,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,8,703
36,"MORDEN /MADAL SCHOOL S-1 SEC-11 R.NO. 1",677,642,0,1319,422,375,0,797,797,0,34,586,14,46,1,85,1,8,1,0,0,2,1,0,1,1,0,3,1,0,0,0,0,0,12,797
37,"MORDEN /MADAL SCHOOL S-1 SEC-11 R.NO. 2",610,547,1,1158,287,200,0,487,423,0,137,201,22,46,1,61,0,9,0,0,0,0,0,1,2,1,1,1,0,0,1,0,0,1,2,487
38,"MORDEN /MADAL SCHOOL S-1 SEC-11 R.NO. 3",714,481,0,1195,323,230,0,553,517,0,38,268,22,112,2,79,0,15,0,1,0,0,0,0,0,4,2,0,1,1,0,0,0,0,8,553
39,"MORDEN /MADAL SCHOOL S-1 SEC-11 R.NO. 1",814,536,0,1350,383,209,0,592,588,0,144,280,18,57,2,53,1,14,2,0,0,0,1,2,2,7,1,3,0,0,1,2,1,0,1,592
40,"MORDEN /MADAL SCHOOL S-1 SEC-11 R.NO. 5",953,462,0,1415,496,204,0,700,700,0,120,278,24,184,0,55,0,15,2,0,1,1,3,1,1,2,3,2,0,0,0,3,0,4,1,700
41,"MORDEN/MADAL SCHOOL S-1 SEC-11 R.NO. 6",812,463,1,1276,381,283,0,664,638,0,80,358,21,100,2,58,1,12,0,2,0,3,2,2,0,3,0,6,2,0,1,3,1,5,2,664
42,"MORDEN /MADAL SCHOOL S-1 SEC-11 R.NO. 7",818,375,0,1193,278,124,0,402,400,0,60,203,6,68,0,47,0,4,0,0,0,2,0,1,2,2,1,1,0,0,1,0,1,0,3,402
43,"MORDEN /MADAL SCHOOL S-1 SEC-11 R.NO. 8",399,205,0,604,212,95,0,307,302,0,94,112,11,37,0,33,0,6,1,2,1,1,0,0,1,0,1,0,0,1,0,2,0,4,0,307
44,"MORDEN /MADAL SCHOOL S-1 SEC-11 R.NO. 9",834,445,0,1279,429,202,0,631,625,0,132,292,16,70,0,93,1,10,2,1,1,4,0,2,3,1,0,1,0,0,0,0,0,1,1,631
45,"COMMUNITY CENTRE SECTOR 11",721,381,0,1102,362,173,0,535,530,0,115,186,15,97,2,88,1,15,0,1,0,0,0,2,0,3,3,0,0,0,1,0,1,3,2,535
46,"COMMUNITY CENTRE SECTOR 11",443,166,0,609,161,61,0,222,221,0,50,99,3,29,1,27,0,6,1,0,1,3,1,0,0,0,0,0,1,0,0,0,0,0,0,222
47,"COMMUNITY CENTRE SECTOR 11",1172,700,0,1872,633,334,0,967,960,0,205,354,23,332,2,36,0,6,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,2,3,967
48,"YASH MEMORIYAL J. H. CSHOOL VISHANPURA SECTOR 58 R.NO. 1",877,562,1,1440,536,311,0,847,780,0,122,620,14,40,2,24,0,7,1,0,1,3,1,0,1,6,0,1,0,2,0,0,0,0,2,847
49,"YASH MEMORIYAL J. H. CSHOOL VISHANPURA SECTOR 58 R.NO. 2",721,431,0,1152,301,186,0,487,481,0,48,366,12,33,1,21,0,2,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,487
50,"GANDHI SMARAK J. H. SCHOOL CHAURA SADATPUR R.NO. 1",920,594,0,1514,546,352,0,898,885,0,111,545,23,157,0,42,1,7,0,0,1,1,0,0,0,2,0,1,1,0,1,1,1,1,2,898
51,"GANDHI SMARAK J. H. SCHOOL CHAURA SADATPUR R.NO. 2",824,560,0,1384,517,336,0,853,835,0,185,559,17,48,0,29,0,3,0,0,0,2,1,1,0,3,1,1,1,1,0,0,0,0,1,853
52,"GANDHI SMARAK J. H. SCHOOL CHAURA SADATPUR R.NO. 3",676,386,1,1063,382,223,0,605,602,0,39,450,18,42,0,32,0,4,0,0,1,1,0,13,0,2,0,0,0,0,0,0,1,0,2,605
53,"GANDHI SMARAK J. H. SCHOOL CHAURA SADATPUR R.NO. 4",853,568,0,1421,512,295,0,807,795,0,106,597,20,16,0,30,0,11,0,0,0,5,0,3,1,3,0,3,1,1,1,0,2,1,6,807
54,"GANDHI SMARAK J. H. SCHOOL CHAURA SADATPUR R.NO. 5",257,214,0,471,176,146,0,322,320,0,7,258,6,16,0,27,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,322
55,"GANDHI SMARAK J. H. SCHOOL CHAURA SADATPUR R.NO. 6",278,166,0,444,138,97,0,235,226,0,10,174,10,16,1,20,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,235
56,"GANDHI SMARAK J. H. SCHOOL CHAURA SADATPUR R.NO. 7",746,482,0,1228,327,298,0,625,606,0,49,451,21,32,0,47,1,11,0,1,0,3,1,0,0,3,0,1,0,1,0,0,1,0,2,625
57,"GANDHI SMARAK J. H. SCHOOL CHAURA SADATPUR R.NO. 8",148,136,0,284,91,89,0,180,164,0,12,136,5,9,0,14,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,180
58,"GANDHI SMARAK J. H. SCHOOL CHAURA SADATPUR R.NO. 9",276,254,0,530,149,158,0,307,307,0,7,201,13,24,0,56,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,307
59,"RAJKIYA I. C. SECTOR 12 R. NO. 1",673,543,0,1216,431,327,0,758,750,0,15,594,28,28,0,72,1,5,0,0,0,0,2,0,0,0,0,10,0,1,0,1,0,0,1,758
60,"RAJKIYA I. C. SECTOR 12 R. NO. 2",566,457,0,1023,331,280,0,611,600,0,18,493,22,20,1,46,0,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,611
61,"RAJKIYA I. C. SECTOR 12 R. NO. 3",791,650,0,1441,527,371,0,898,877,0,24,675,40,22,1,110,2,8,1,0,0,0,1,0,1,0,1,2,3,0,0,0,0,0,7,898
62,"RAJKIYA I. C. SECTOR 12 R. NO. 4",568,471,0,1039,362,266,0,628,627,0,16,514,9,18,0,52,0,6,0,0,0,0,1,0,0,0,0,2,2,1,0,1,0,1,5,628
63,"RAJKIYA I. C. SECTOR 12 R. NO. 5",454,355,0,809,292,243,0,535,502,0,23,393,22,22,1,54,0,7,2,0,0,0,0,1,0,1,0,4,0,0,0,0,0,1,4,535
64,"RAJKIYA I. C. SECTOR 12 R. NO. 6",372,289,0,661,239,192,0,431,400,0,9,353,5,11,0,44,0,5,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,431
65,"RAJKIYA I. C. SECTOR 12 R. NO. 7",514,402,0,916,295,249,0,544,514,0,16,436,15,13,0,50,0,3,0,0,0,1,0,0,0,2,0,1,1,0,0,0,0,0,6,544
66,"RAJKIYA I. C. SECTOR 12 R. NO. 8",446,398,0,844,282,251,0,533,500,0,41,401,9,20,0,43,0,8,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,4,533
67,"RAJKIYA I. C. SECTOR 12 R. NO. 9",607,442,0,1049,327,243,0,570,564,0,36,438,9,12,0,61,0,7,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,2,2,570
68,"RAJKIYA I. C. SECTOR 12 R. NO. 10",295,228,0,523,169,125,0,294,279,0,10,228,9,8,0,28,0,5,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,3,294
69,"SUMMERBAELLY S. S. SCHOOL SECTOR 22 R.NO. 1",475,425,0,900,300,275,0,575,562,0,16,439,5,31,1,66,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,575
70,"SUMMERBAELLY S. S. SCHOOL SECTOR 22 R.NO. 2",646,580,0,1226,440,344,0,784,784,0,14,620,18,30,0,83,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,784
71,"SUMMERBAELLY S. S. SCHOOL SECTOR 22 R.NO. 3",246,203,0,449,152,141,0,293,289,0,9,191,16,14,0,54,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,293
72,"SUMMERBAELLY S. S. SCHOOL SECTOR 22 R.NO. 4",257,216,0,473,149,131,0,280,277,0,39,154,10,29,0,40,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,3,280
73,"ADRASH PRY. PATH. SECTOR 12 PRIYA DARSHANI PARK KE PAS R.NO. 1",565,443,0,1008,335,274,0,609,604,0,39,437,22,19,2,71,0,9,0,0,0,1,0,0,1,0,2,1,1,0,0,0,0,0,4,609
74,"ADRASH PRY. PATH. SECTOR 12 PRIYA DARSHANI PARK KE PAS R.NO. 2",420,358,0,778,273,227,0,500,465,0,29,371,12,21,0,53,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,500
75,"ADRASH PRY. PATH. SECTOR 12 PRIYA DARSHANI PARK KE PAS R.NO. 3",726,633,0,1359,453,369,0,822,814,0,45,591,24,20,2,111,0,14,0,0,0,1,0,0,0,1,0,1,2,0,1,0,0,1,8,822
76,"ADRASH PRY. PATH. SECTOR 12 PRIYA DARSHANI PARK KE PAS R.NO. 4",572,490,0,1062,340,284,0,624,579,0,21,475,14,21,0,77,0,10,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,3,624
77,"ADRASH PRY. PATH. SECTOR 12 PRIYA DARSHANI PARK KE PAS R.NO. 5",428,377,0,805,274,216,0,490,462,0,13,346,17,27,2,70,0,5,0,1,0,2,0,1,0,0,0,1,1,0,0,0,0,0,4,490
78,"ADRASH PRY. PATH. SECTOR 12 PRIYA DARSHANI PARK KE PAS R.NO. 6",548,487,0,1035,352,303,0,655,655,0,20,494,16,21,0,86,0,6,0,0,1,2,0,1,1,2,0,0,0,0,0,0,0,0,5,655
79,"ADRASH PRY. PATH. SECTOR 12 PRIYA DARSHANI PARK KE PAS R.NO. 7",524,411,0,935,328,259,0,587,560,0,26,424,10,40,0,64,0,7,1,0,0,1,0,0,2,1,0,1,3,0,0,1,0,1,5,587
80,"ADRASH PRY. PATH. SECTOR 12 PRIYA DARSHANI PARK KE PAS R.NO. 8",345,292,0,637,237,187,0,424,424,0,14,286,27,13,0,70,1,6,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,3,424
81,"ADRASH PRY. PATH. SECTOR 12 PRIYA DARSHANI PARK KE PAS R.NO. 9",412,324,0,736,213,177,0,390,390,0,22,301,7,13,0,39,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,390
82,"ADRASH PRY. PATH. SECTOR 12 PRIYA DARSHANI PARK KE PAS R.NO. 10",708,569,0,1277,467,365,0,832,783,0,36,619,36,43,2,68,0,16,1,0,1,0,2,1,0,2,1,0,1,0,0,0,0,0,3,832
83,"PURVA M.V. SECTOR 12 NOIDA R.NO. 1",471,413,0,884,353,243,0,596,595,0,9,447,21,31,3,69,0,5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,9,596
84,"PURVA M.V. SECTOR 12 NOIDA R.NO. 2",665,562,0,1227,445,365,0,810,760,0,20,609,24,40,1,84,0,8,3,0,0,0,0,2,1,2,1,2,1,0,0,2,1,1,8,810
85,"PURVA M.V. SECTOR 12 NOIDA R.NO. 3",463,355,0,818,308,194,0,502,468,0,20,387,12,14,1,54,0,4,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,5,502
86,"PURVA M.V. SECTOR 12 NOIDA R.NO. 4",680,507,0,1187,456,309,0,765,727,0,64,550,22,22,0,85,0,5,0,1,0,1,1,1,0,2,0,2,1,0,0,0,0,1,7,765
87,"PURVA M.V. SECTOR 12 NOIDA R.NO. 5",518,481,0,999,354,311,0,665,615,0,25,503,20,21,0,77,0,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,665
88,"BAL BHARTI PUBLIC SCHOOL SECTOR 21 R.NO. 1",502,502,0,1004,265,255,0,520,487,0,13,350,26,20,0,92,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,14,520
89,"BAL BHARTI PUBLIC SCHOOL SECTOR 21 R.NO. 2",453,434,0,887,313,232,0,545,508,0,5,402,21,9,0,81,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19,545
90,"BAL BHARTI PUBLIC SCHOOL SECTOR 21 R.NO. 3",405,424,0,829,213,244,0,457,457,0,7,338,16,3,1,76,1,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,457
91,"BAL BHARTI PUBLIC SCHOOL SECTOR 21 R.NO. 4",421,422,0,843,261,253,0,514,514,0,13,384,15,11,0,70,0,7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,11,514
92,"BAL BHARTI PUBLIC SCHOOL SECTOR 21 R.NO. 5",628,624,0,1252,365,324,0,689,687,0,28,507,22,10,2,93,1,4,0,0,0,2,1,0,0,2,0,0,5,0,0,0,0,0,12,689
93,"BAL BHARTI PUBLIC SCHOOL SECTOR 21 R.NO. 6",457,427,0,884,248,217,0,465,455,0,31,328,10,12,0,70,0,6,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,6,465
94,"R. K. MORDEN SCHOOL C-75A SECTOR 55 R.NO. 1",522,479,0,1001,283,222,0,505,500,0,37,370,16,21,0,51,0,2,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,4,505
95,"R. K. MORDEN SCHOOL C-75A SECTOR 55 R.NO. 2",633,571,0,1204,380,337,0,717,707,0,15,533,22,49,0,82,1,3,1,0,0,0,0,0,1,0,0,1,3,0,0,0,1,0,5,717
96,"R. K. MORDEN SCHOOL C-75A SECTOR 55 R.NO. 3",678,599,0,1277,457,372,0,829,725,0,43,618,28,26,0,92,0,4,0,0,1,3,0,1,1,0,0,1,1,0,0,1,0,0,9,829
97,"R. K. MORDEN SCHOOL C-75A SECTOR 55 R.NO. 4",685,593,0,1278,395,352,0,747,740,0,56,531,16,26,1,99,0,8,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,7,747
98,"R. K. MORDEN SCHOOL C-75A SECTOR 55 R.NO. 5",625,544,0,1169,360,320,0,680,670,0,27,505,11,21,0,91,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,19,680
99,"D. A. V. SCHOOL SECTOR 56 BLOCK A-53 R.NO. 1",614,482,0,1096,316,264,0,580,557,0,22,353,57,46,0,76,1,8,0,0,1,2,1,0,1,1,0,0,0,1,0,2,0,1,7,580
100,"D. A. V. SCHOOL SECTOR 56 BLOCK A-53 R.NO. 2",603,557,0,1160,402,370,0,772,590,0,58,546,20,24,0,101,0,13,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,7,772
101,"D. A. V. SCHOOL SECTOR 56 BLOCK A-53 R.NO. 3",544,518,0,1062,382,348,0,730,673,0,16,531,18,56,0,82,0,13,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,11,730
102,"D. A. V. SCHOOL SECTOR 56 BLOCK A-53 R.NO. 4",542,416,0,958,355,270,0,625,595,0,59,468,20,19,0,44,0,3,0,0,0,0,0,0,0,3,0,1,0,0,1,0,0,0,7,625
103,"D. A. V. SCHOOL SECTOR 56 BLOCK A-53 R.NO. 5",334,232,0,566,202,151,0,353,327,0,29,253,7,14,1,38,0,2,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,5,353
104,"D. A. V. SCHOOL SECTOR 56 BLOCK A-53 R.NO. 3",655,609,0,1264,401,350,0,751,736,0,32,581,12,41,2,67,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,751
105,"D. A. V. SCHOOL SECTOR 56 BLOCK A-53 R.NO. 7",721,611,0,1332,341,300,0,641,580,0,18,517,21,14,0,60,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,1,0,6,641
106,"M. A. F. ACADEMY SECTOR 62 R.NO. 1",633,516,0,1149,309,251,0,560,540,0,9,446,17,15,0,65,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,560
107,"M. A. F. ACADEMY SECTOR 62 R.NO. 2",549,491,0,1040,330,300,0,630,630,0,22,473,14,15,0,95,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,630
108,"M. A. F. ACADEMY SECTOR 62 R.NO. 3",781,699,0,1480,407,398,0,805,767,0,16,593,21,22,1,138,0,6,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,6,805
109,"M. A. F. ACADEMY SECTOR 62 R.NO. 4",603,552,0,1155,291,313,0,604,443,0,14,466,16,13,0,78,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,604
110,"M. A. F. ACADEMY SECTOR 62 R.NO. 4",528,502,0,1030,280,275,0,555,551,0,9,417,8,15,0,88,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13,555
111,"M. A. F. ACADEMY SECTOR 62 R.NO. 6",531,495,0,1026,317,289,0,606,606,0,7,457,12,31,0,85,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,606
112,"M. A. F. ACADEMY SECTOR 62 R.NO. 6",564,521,0,1085,290,278,0,568,560,0,7,409,15,18,0,107,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,568
113,"M. A. F. ACADEMY SECTOR 62 R.NO. 8",671,598,0,1269,349,321,0,670,660,0,15,513,15,15,0,94,0,7,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,9,670
114,"M. A. F. ACADEMY SECTOR 62 R.NO. 9",385,334,0,719,209,183,0,392,389,0,14,295,10,11,0,58,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,392
115,"M. A. F. ACADEMY SECTOR 62 R.NO. 10",424,383,0,807,251,213,0,464,452,0,2,369,5,10,2,63,0,7,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,464
116,"PANCHAYAT GHAR HAZRATPUR VAZIDPUR R.NO. 1",655,385,0,1040,392,199,0,591,584,0,191,331,12,20,0,15,0,2,1,0,0,5,0,1,4,7,1,0,0,0,0,1,0,0,0,591
117,"PRY. PATH. NO.-1 MAHIUDDINPUR KANAVANI R.NO. 1",618,482,0,1100,408,259,0,667,652,0,122,381,9,85,0,50,0,1,0,1,0,2,0,0,1,5,0,1,0,0,2,1,0,3,3,667
118,"PRY. PATH. NO.-1 MAHIUDDINPUR KANAVANI R.NO. 2",640,480,0,1120,402,239,0,641,630,0,82,411,12,67,3,48,1,8,0,0,0,3,0,0,1,2,0,1,0,0,0,0,1,0,1,641
119,"PRY. PATH. NO.-1 MAHIUDDINPUR KANAVANI R.NO. 3",785,512,0,1297,452,269,0,721,715,0,49,379,13,215,3,41,2,3,1,0,1,0,0,0,2,1,2,3,0,3,3,0,0,0,0,721
120,"PRY. PATH. NO.-1 MAHIUDDINPUR KANAVANI R.NO. 4",715,499,0,1214,445,285,0,730,730,0,24,241,20,380,5,45,1,5,0,0,0,2,2,0,0,1,0,0,0,1,1,1,0,1,0,730
