"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ARVIND KUMAR JAISWAL","2 - MULAYAM SINGH YADAV","3 - RAMAKANT YADAV","4 - SHAH ALAM ALIAS GUDDU JAMALI","5 - M. AMIR RASHADI","6 - KIRAN SHARAMA","7 - DURG VIJAY YADAV","8 - PRAKASH CHANDRA","9 - MADAN","10 - RAJDHARI RAJBHAR","11 - RAJESH YADAV","12 - SANJAY KUMAR CHATURVEDI","13 - SANTOSH KUMAR GAUTAM","14 - PRAMOD SINGH","15 - RAM SINGH CHAUHAN","16 - SHAMSHAD AHMAD","17 - SUGRIV CHAUHAN","18 - SANJAY CHAUHAN","19 - None of the Above","Total Votes Secured"
98,"M.B.I.N.P.D.MUBARAKPUR R.N-2",523,439,0,962,311,211,0,522,501,0,2,206,215,87,4,0,1,0,3,0,2,1,0,0,1,0,0,0,0,522
99,"M.B.I.N.P.D.MUBARAKPUR R.N-3",765,664,1,1430,520,324,0,844,832,0,7,393,157,276,3,0,0,0,1,0,0,6,0,1,0,0,0,0,0,844
100,"M.DARUL T.PURA SOFI R.N-1",872,659,0,1531,525,402,0,927,920,0,7,410,21,469,10,0,0,0,4,0,3,1,2,0,0,0,0,0,0,927
101,"M.DARUL T.PURA SOFI R.N-2",709,574,0,1283,432,315,0,747,740,0,35,226,33,414,24,0,0,0,3,1,2,2,1,1,1,3,0,0,1,747
102,"M.DARUL T.PURA SOFI R.N-3",759,565,0,1324,501,382,0,883,850,0,4,335,166,358,3,0,0,3,1,0,0,2,0,1,2,5,0,1,2,883
103,"M.DARUL T.PURA SOFI R.N-4",740,581,0,1321,415,314,0,729,669,0,6,352,180,177,3,0,0,0,1,0,2,2,1,1,0,0,0,2,2,729
104,"P.P.CHEKSIKTHI R.N-1",527,377,0,904,378,252,0,630,590,0,14,302,77,206,16,1,0,1,1,0,2,3,1,3,0,0,0,0,3,630
105,"P.P.CHEKSIKTHI R.N-2",566,387,0,953,369,273,0,642,641,0,5,217,130,265,8,1,0,3,3,0,3,0,1,0,2,2,0,0,2,642
106,"P.P.CHEKSIKTHI R.N-3",617,438,0,1055,426,276,0,702,650,0,6,271,21,386,10,0,0,0,1,0,4,0,0,1,0,1,0,1,0,702
107,"P.P.CHEKSIKTHI R.N-4",690,466,1,1157,409,257,0,666,664,0,4,268,83,294,5,0,2,0,3,0,2,1,0,0,0,1,0,3,0,666
108,P.P.PIYAROPUR,699,557,0,1256,390,355,0,745,735,0,7,247,229,227,5,1,1,1,5,0,0,4,3,2,2,5,0,2,4,745
109,"P.P.DHAKA R.N.-1",649,476,0,1125,327,241,0,568,564,0,5,308,41,195,10,0,0,1,3,0,1,2,1,1,0,0,0,0,0,568
110,"P.P.DHAKA R.N.-2",453,308,0,761,221,145,0,366,351,0,1,196,46,106,8,1,0,0,0,0,0,1,1,1,1,1,0,1,2,366
111,"P.P.DAUDPUR KURMI",760,600,0,1360,471,389,0,860,854,0,5,471,208,133,3,0,4,2,6,2,3,7,3,4,0,0,2,1,6,860
112,P.P.SALARPUR,792,660,0,1452,513,475,0,988,980,0,6,469,51,440,4,2,0,0,2,0,6,1,1,0,0,0,1,3,2,988
113,"P.P.CHIWATAHI R.N-1",549,375,0,924,328,270,0,598,500,0,6,111,385,67,3,2,1,0,6,0,1,4,1,6,2,0,0,1,2,598
114,"P.P.CHIWATAHI R.N-2",435,316,0,751,219,192,0,411,410,0,6,94,58,244,2,0,1,1,0,1,0,3,0,1,0,0,0,0,0,411
115,P.P.BASAUDHA,589,474,0,1063,390,281,0,671,660,0,6,435,47,150,2,1,2,0,3,1,2,9,0,1,1,7,0,3,1,671
116,"P.P.BAMHAUR R.N-1",460,356,0,816,315,219,0,534,514,0,8,454,33,25,1,0,0,0,1,0,0,0,1,2,3,1,1,1,3,534
117,"P.P.BAMHAUR R.N-2",456,400,0,856,210,217,0,427,390,0,2,221,23,177,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,427
118,"P.P.BAMHAUR R.N-3",744,622,1,1367,437,262,0,699,600,0,0,302,36,314,13,2,0,1,3,0,0,3,0,0,1,0,4,13,7,699
119,"P.P.BAMHAUR R.N-4",568,451,0,1019,315,275,0,590,580,0,3,41,39,457,7,2,4,0,0,0,4,1,1,2,2,6,5,0,16,590
120,"KASI P.M.V. HAZIPUR",519,380,0,899,330,208,0,538,489,0,3,256,226,30,2,0,0,0,0,2,2,0,2,5,5,2,0,3,0,538
121,"P.P.NIBI BUJURG",588,411,0,999,417,306,0,723,714,0,5,420,70,197,0,1,9,1,0,0,0,6,3,1,2,2,0,5,1,723
122,"P.P. NIBI KHURD",381,282,0,663,264,202,0,466,456,0,1,413,45,2,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,466
123,P.P.MAHALIYA,239,207,0,446,179,162,0,341,326,0,4,108,77,137,1,0,0,1,3,0,0,3,2,1,1,1,1,1,0,341
124,"J.H.S. MOHABBATPUR",631,511,0,1142,447,328,0,775,774,0,18,510,175,42,0,1,2,0,3,4,3,2,1,1,1,7,0,3,2,775
125,"P.P.MOHABBATPUR R.N-1",601,466,0,1067,408,310,0,718,710,0,15,380,106,179,2,2,4,0,5,0,3,5,3,5,0,5,2,1,1,718
126,"P.P.MOHABBATPUR R.N-2",609,484,0,1093,404,266,0,670,660,0,13,309,134,181,6,1,2,2,1,0,2,3,3,4,0,2,0,1,6,670
127,P.P.DAMODARPUR,337,269,0,606,220,193,0,413,400,0,9,197,51,132,0,0,1,0,1,1,0,4,1,2,2,5,1,5,1,413
128,"P.P. GAJAHADA R.N-1",617,485,0,1102,325,268,0,593,583,0,13,363,139,50,5,0,3,0,3,0,3,1,1,2,0,4,4,0,2,593
129,"P.P.GAJAHADA R.N-2",490,381,0,871,277,244,0,521,410,0,6,252,39,217,2,0,1,0,0,0,2,0,1,1,0,0,0,0,0,521
130,"J.H.S. GAJAHADA",943,665,0,1608,522,403,0,925,920,0,7,260,48,579,9,2,0,1,2,1,1,1,1,2,3,6,0,0,2,925
131,P.P.FAKHARUDDINPUR,800,652,1,1453,400,473,0,873,800,0,2,429,83,276,74,0,0,0,1,0,3,1,1,1,0,0,0,1,1,873
132,P.P.KUKUDIPUR,402,337,0,739,248,245,0,493,483,0,12,196,185,76,2,0,0,0,4,6,4,1,2,1,1,0,0,0,3,493
133,"J.H.S. LOHARA R.N-1",503,410,0,913,299,279,0,578,574,0,6,179,21,343,2,5,1,0,2,1,3,5,0,0,1,2,1,2,4,578
134,"J.H.S.LOHARA R.N-2",401,303,0,704,145,139,0,284,255,0,3,54,97,118,3,0,0,1,0,0,2,0,1,1,0,1,0,1,2,284
135,"J.H.S.LOHARA R.N-3",490,368,0,858,252,187,0,439,429,4,4,83,94,240,2,0,2,1,3,1,1,3,1,2,0,1,0,1,0,439
136,P.P.BHAGWANPUR,505,435,0,940,469,280,0,749,700,0,3,483,28,216,2,1,1,0,3,0,2,1,3,1,0,1,1,2,1,749
137,"P.P.KHUJIYA RAGHUNATHPUR R.N-1",667,502,0,1169,376,354,0,730,725,0,12,132,106,437,5,0,0,1,3,2,2,6,5,5,3,6,1,1,3,730
138,"P.P.KHUJIYA RAGHUNATHPUR R.N-2",468,371,0,839,334,278,0,612,603,0,8,417,67,89,0,0,1,2,2,2,3,4,2,1,1,6,0,0,7,612
139,"P.P.JAMUDI R.N-1",532,392,0,924,292,220,0,512,500,0,2,378,17,84,29,0,0,1,0,0,0,0,0,0,0,0,0,1,0,512
140,"P.P.JAMUDI R.N-2",657,522,0,1179,421,360,0,781,775,0,8,238,219,280,7,2,0,0,4,1,5,1,0,5,1,2,2,3,3,781
141,"P.P.SAHAGARH R.N.-1",457,346,0,803,267,221,0,488,450,0,10,158,206,71,1,16,2,0,4,1,5,1,1,4,0,2,1,1,4,488
142,"P.P.SAHAGARH R.N.-2",548,429,0,977,285,300,0,585,500,0,9,153,138,262,3,3,2,1,4,0,0,0,1,0,1,2,0,1,5,585
143,"P.P.SAHAGARH R.N.-3",534,439,0,973,297,260,0,557,537,0,10,188,274,47,1,1,1,1,2,1,4,1,2,3,3,5,0,3,10,557
144,"J.H.S. SAHAGARH",514,420,0,934,333,277,0,610,593,0,18,217,253,71,2,4,0,1,1,1,4,5,4,2,1,10,2,2,12,610
145,"P.P.SARDARPUR RAJPOOT",526,484,0,1010,372,340,0,712,700,0,14,606,5,74,0,0,0,0,0,0,0,3,0,0,2,4,2,1,1,712
146,P.P.DAULATPUR,562,427,0,989,337,285,0,622,581,0,5,158,188,242,0,0,2,0,2,0,0,4,1,3,1,2,2,3,9,622
147,"B.P.M.V. BAITHAULI",472,404,0,876,344,272,0,616,549,0,3,349,126,110,3,0,0,0,0,2,1,1,5,2,1,3,2,4,4,616
148,"P.P.PAIKAULI NAKATHPUR",769,633,0,1402,443,390,0,833,820,0,29,203,344,212,1,0,1,3,10,3,2,7,1,3,2,2,4,5,1,833
149,"P.P.KASBA SARAI",612,493,0,1105,339,370,0,709,700,0,5,180,97,402,7,1,2,2,0,0,1,2,5,2,1,0,0,0,2,709
150,"J.H.S. KASBA SARAI",404,331,0,735,237,208,0,445,443,0,15,170,222,16,2,2,0,0,4,3,0,2,0,5,1,3,0,0,0,445
151,"P.P.RANIPUR R.N-1",505,449,0,954,332,294,0,626,624,0,5,265,34,294,3,1,0,0,3,1,2,6,1,0,3,3,0,3,2,626
152,"P.P.RANIPUR R.N-2",440,353,0,793,323,251,0,574,568,0,11,491,63,1,1,0,1,0,1,0,2,1,0,0,0,1,0,0,1,574
153,"P.P.SATHIYAON R.N-1",820,677,0,1497,478,381,0,859,849,0,16,330,202,270,3,0,7,0,2,1,1,4,3,2,4,6,6,0,2,859
154,"P.P.SATHIYAON R.N-2",703,619,0,1322,410,385,0,795,784,0,2,245,149,352,13,3,7,0,3,3,0,3,1,1,2,5,0,2,4,795
155,"K.P.P.SATHIYAON R.N-1",423,333,0,756,254,173,0,427,410,0,24,229,134,20,3,1,1,1,0,1,0,1,0,2,0,4,0,3,3,427
156,"K.P.P.SATHIYAON R.N-2",466,353,0,819,221,167,0,388,350,0,10,114,173,69,3,0,1,1,2,1,2,2,1,1,0,2,2,4,0,388
157,V.K.K.SATHIYON,802,610,0,1412,651,381,0,1032,982,0,4,873,124,9,1,0,0,0,0,2,4,2,2,1,3,5,0,0,2,1032
158,"J.H.S. HARAIYA",403,314,0,717,324,261,0,585,583,0,10,336,182,40,2,0,0,0,2,0,0,3,0,4,4,1,0,0,1,585
159,P.P.KASIPUR,802,667,0,1469,490,442,0,932,849,0,13,212,92,567,12,0,0,0,0,0,5,7,5,3,3,5,0,5,3,932
