"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KAILASH NATH SINGH YADAV","2 - MO. MAKSUD KHAN","3 - MANOJ SINHA","4 - SMT SHIVKANYA KUSHWAHA","5 - ISHWAR DEV","6 - ISHWARI","7 - OMKAR CHAUHAN","8 - GUPTESHWAR","9 - DEENDAYAL","10 - DHARM YADAV","11 - PAPPU","12 - BRIJ BHUSHAN","13 - BHARAT","14 - RAJENDRA NATH RAM","15 - SATYA DEV YADAV","16 - ARUN KUMAR SINGH","17 - KUBER","18 - LAKSHAMAN","19 - None of the Above","Total Votes Secured"
12,"JANTA U.M.V.BHALA KHURD (M.WING)",290,236,0,526,166,154,0,320,320,0,216,4,18,76,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,320
13,"JANTA U.M.V.BHALA KHURD (W.WING)",269,207,0,476,125,118,0,243,243,0,73,4,39,121,1,2,0,0,0,0,0,1,0,0,0,1,0,0,1,243
14,"JANTA U.M.V.BHALA KHURD (N.WING)",698,592,0,1290,380,338,0,718,718,0,226,9,227,219,1,3,9,1,2,1,8,2,1,1,2,4,1,0,1,718
15,"P.P. BHALA BUJURG N.WING",436,381,0,817,190,220,0,410,410,0,179,6,124,76,0,21,0,0,0,1,1,0,0,0,1,1,0,0,0,410
16,"P.P. BEWADA",659,522,0,1181,294,283,0,577,441,0,90,11,344,81,9,1,5,2,1,9,3,1,3,3,2,9,0,1,2,577
17,"P.P. NADEPUR",536,463,0,999,269,256,0,525,525,0,191,10,184,101,2,4,1,0,0,10,0,2,1,1,2,5,6,2,3,525
18,P.P.TISARA,405,332,0,737,191,211,0,402,377,0,98,2,195,78,2,1,0,0,0,5,1,1,3,3,1,5,2,2,3,402
19,"H.S. SCHOOL BAHARIYABAD(W.WIMG)",672,617,0,1289,297,413,0,710,504,0,370,13,237,41,1,6,1,0,0,3,2,2,1,1,2,20,5,1,4,710
20,"H.S. SCHOOL BAHARIYABAD(E.WIMG)",667,535,0,1202,364,299,0,663,30,0,185,18,254,126,1,0,0,1,0,65,1,3,0,2,0,4,2,0,1,663
21,"H.S. SCHOOL BAHARIYABAD(W.WIMG)",387,268,0,655,179,160,0,339,79,0,199,15,76,28,2,0,0,0,0,10,0,0,0,1,2,2,3,0,1,339
22,"H.S. SCHOOL BAHARIYABAD(S.WIMG)",792,633,0,1425,372,398,0,770,770,0,239,8,253,178,0,3,1,2,1,67,3,5,0,1,0,2,7,0,0,770
23,"P.P. BAHARIYABAD (E.WING)",795,658,0,1453,466,388,0,854,154,0,82,30,238,288,8,5,2,2,2,179,2,3,2,2,0,5,1,1,2,854
24,"P.P. BAHARIYABAD (W.WING)",704,597,0,1301,375,308,0,683,184,0,58,28,131,316,0,2,2,0,4,125,2,0,2,2,0,6,2,2,1,683
25,P.P.KABIRPUR,292,239,0,531,146,136,0,282,282,282,91,3,122,58,1,0,0,0,0,2,0,1,0,0,0,1,0,0,3,282
26,"P,P,BHARATPUR S.WING",777,672,0,1449,401,390,0,791,791,0,162,17,277,208,5,14,1,1,3,75,6,0,4,4,1,6,3,0,4,791
27,"B.P.P.BIRBHANPUR S.WING",626,530,0,1156,271,266,0,537,37,0,107,2,80,200,3,12,3,1,8,104,3,1,1,2,2,5,1,2,0,537
28,"B.P.P.BIRBHANPUR N.WING",499,396,0,895,222,218,0,440,435,0,95,6,107,151,1,2,0,1,0,67,1,1,0,0,0,3,3,0,2,440
29,"P.P.GAHANI E.WING",703,651,0,1354,312,333,0,645,253,0,256,16,147,199,4,1,0,0,0,2,6,0,1,1,0,9,0,2,1,645
30,"P.P.GAHANI W.WING",294,295,0,589,125,125,0,250,250,0,8,22,129,70,1,0,0,0,0,3,2,2,0,2,1,0,2,1,7,250
31,P.P.FAULADPUR,548,460,0,1008,349,290,0,639,639,0,229,8,179,182,1,3,0,1,0,2,2,5,0,2,0,9,14,0,2,639
32,"P.P.DAHARMAUVA E.WING",733,627,0,1360,349,328,0,677,677,0,52,5,197,160,1,16,2,5,3,208,7,2,1,5,1,9,0,1,2,677
33,"P.P.DAHARMAUVA M.WING",273,226,0,499,149,128,0,277,266,0,32,7,118,64,5,3,2,0,2,27,3,3,1,2,1,4,1,2,0,277
34,"P.P.DAHARMAUVA W.WING",433,378,0,811,210,189,0,399,9,0,23,10,111,109,2,15,2,1,2,99,7,4,2,1,4,5,1,0,1,399
35,P.P.PYAREPUR,502,411,0,913,229,244,0,473,473,0,202,13,195,25,1,1,1,0,2,9,2,1,0,1,3,9,5,1,2,473
36,"P.P. BASUKHARI",198,183,0,381,140,118,0,258,26,0,48,1,13,176,0,4,0,0,1,6,0,4,0,0,0,2,0,2,1,258
37,"P.P.DADAWAL W.WING",646,517,1,1164,314,275,0,589,94,0,336,12,73,139,2,2,0,0,0,2,1,1,0,2,0,9,6,1,3,589
38,"P.P.DADAWAL EX.ROOM",295,274,0,569,148,145,0,293,293,0,82,27,117,36,1,2,1,0,1,7,1,3,0,2,1,4,1,1,6,293
39,"P.P.DADAWAL E.WING",589,527,0,1116,307,282,0,589,9,0,141,50,292,58,2,2,0,1,0,20,3,3,2,1,1,10,3,0,0,589
40,"P.P.UKARAW N.WING",715,608,0,1323,328,350,0,678,26,0,29,14,293,286,4,0,2,1,1,8,6,2,3,8,3,6,5,1,6,678
41,"P.P.UKARAW S.WING",892,726,0,1618,484,427,0,911,90,0,302,23,144,248,2,13,3,1,3,112,7,4,4,8,4,13,12,3,5,911
42,P.P.AASPUR,523,451,0,974,263,266,0,529,400,0,330,2,83,63,2,2,0,1,0,20,4,1,1,3,2,6,8,0,1,529
43,"P.P.MUBARKPUR HARTRA",425,339,0,764,235,215,0,450,437,0,128,6,100,176,3,2,0,0,0,29,2,0,0,0,0,3,1,0,0,450
44,P.P.LARPUR,412,325,0,737,220,209,0,429,350,0,202,12,107,92,1,0,0,0,0,2,1,2,0,1,0,6,1,1,1,429
45,P.P.BABURA,483,443,0,926,255,245,0,500,500,0,149,4,200,118,1,1,1,0,1,7,0,1,0,2,2,5,3,1,4,500
46,"P.P.BABURA EX.ROOM",402,353,0,755,180,194,0,374,272,0,37,7,167,127,3,2,6,0,0,8,1,2,2,1,1,6,1,1,2,374
47,P.P.BHABHAURA,838,671,1,1510,377,409,0,786,786,0,261,21,159,229,4,2,1,2,5,46,5,5,5,7,4,18,3,4,5,786
48,"P.P.SALEMPUR BAGHAI N. WING",590,477,0,1067,346,282,0,628,628,0,214,8,38,331,0,2,0,1,2,11,2,2,2,1,2,7,3,1,1,628
49,"P.P.SALEMPUR BAGHAI S.WING",319,271,0,590,200,194,0,394,183,0,187,4,41,128,4,7,1,0,0,9,2,1,2,0,2,1,3,1,1,394
50,"P.P. BAGHAW E.WING",588,499,0,1087,313,297,0,610,39,0,289,7,204,67,0,17,0,0,0,6,1,3,0,0,0,1,11,0,4,610
51,"P.P.BAGHAW W.WING",487,381,1,869,286,227,0,513,513,0,109,6,111,173,4,28,1,0,2,61,2,1,1,1,2,8,2,0,1,513
52,P.P.HAJIPUR,357,303,0,660,177,184,0,361,86,0,72,13,133,110,4,4,1,2,0,1,4,1,1,2,3,8,1,1,0,361
53,"P.P.RAIPUR E.WING",527,424,0,951,235,229,0,464,460,0,148,4,147,143,1,1,0,0,2,7,2,0,0,2,0,0,6,0,1,464
54,"P.P.RAIPUR W.WING",381,275,0,656,190,163,0,353,353,0,50,12,218,38,0,2,2,2,1,3,4,6,1,0,0,0,7,4,3,353
55,"SADHAN SAHAKARI SAMEETI RAIPUR",763,648,0,1411,435,398,0,833,400,0,255,43,328,156,4,5,0,1,0,27,2,5,0,0,0,1,3,2,1,833
56,P.P.BELAHARA,663,612,0,1275,329,365,0,694,190,0,229,13,230,169,4,5,2,0,1,10,1,2,2,1,2,13,4,3,3,694
57,"P.P. RAJAPUR",824,669,0,1493,436,377,0,813,565,0,103,11,82,499,10,5,1,3,0,23,3,32,2,6,4,23,1,2,3,813
58,J.H.SCHOOL.EBRAHIMPUR,617,523,0,1140,314,306,0,620,30,0,147,13,182,89,0,27,5,1,2,125,4,1,6,1,1,12,1,3,0,620
59,P.P.BAGHAI,582,503,0,1085,263,256,0,519,125,0,79,11,179,179,3,9,10,1,0,24,5,5,1,2,0,4,2,3,2,519
60,"P.P. AKABARPUR",698,595,0,1293,344,329,0,673,100,0,154,8,198,184,5,6,2,1,2,84,2,5,0,5,1,8,2,2,4,673
61,"P.P.TADA E.WING",560,473,0,1033,253,275,0,528,528,0,247,11,195,45,0,0,1,0,0,4,0,1,0,3,2,13,5,0,1,528
62,"P.P.TADA W.WING",477,388,0,865,238,251,0,489,387,0,148,14,166,112,2,2,1,1,2,19,6,3,2,3,1,3,4,0,0,489
63,"P.P. DIHAWA",536,453,0,989,286,286,0,572,571,0,135,8,259,24,0,9,1,0,1,112,8,3,2,2,2,3,2,1,0,572
64,"P.P. MAJUI N.WING",879,715,0,1594,436,365,0,801,738,0,18,10,255,295,1,9,4,0,2,166,5,5,4,5,2,13,3,0,4,801
65,"P.P. MAJUI S.WING",576,451,0,1027,293,258,0,551,551,0,220,6,108,175,4,0,3,2,1,3,2,4,0,3,2,13,5,0,0,551
66,P.P.MARDAPUR,329,277,0,606,172,170,0,342,175,0,21,3,41,264,2,0,0,0,0,5,0,1,0,2,0,1,0,0,2,342
67,"P.P.BIJAHARI E.WING",640,543,0,1183,352,340,0,692,150,0,15,13,422,175,1,27,1,2,0,19,2,2,1,3,1,2,1,1,4,692
68,"P.P.BIJAHARI W.WING",367,299,0,666,191,206,0,397,321,0,134,5,72,47,3,13,3,4,4,93,6,2,1,2,1,3,0,0,4,397
69,P.P.ODASAN,520,453,0,973,242,267,0,509,210,0,208,7,112,55,1,8,1,0,2,86,1,1,4,6,2,6,5,0,4,509
70,"P.P.MIRPUR N.WING",630,545,0,1175,324,316,0,640,92,0,302,15,147,116,1,2,0,3,0,0,1,2,5,3,4,17,16,2,4,640
71,"P.P.MIRPUR S.WING",256,227,0,483,139,135,0,274,274,0,14,0,29,212,1,0,1,0,0,8,0,2,0,0,0,1,2,1,3,274
72,"P.P. BRINDABAN N.WING",825,735,0,1560,423,431,0,854,700,0,352,11,87,272,3,5,2,0,3,88,3,7,1,6,1,8,3,0,2,854
73,"P.P. BRINDABAN S.WING",845,729,0,1574,333,468,0,801,496,0,164,3,356,194,1,2,8,2,1,42,3,5,3,3,1,2,6,0,5,801
74,"P.P. MOLNAPUR",726,586,0,1312,373,356,0,729,254,0,159,14,138,340,1,2,0,1,1,52,1,6,0,2,1,8,3,0,0,729
75,"P.P. MOLNAPUR",204,174,0,378,122,113,0,235,226,0,41,7,70,56,2,4,0,1,0,36,1,3,1,3,0,3,2,3,2,235
76,"P.P. JANHI N.WING",560,445,0,1005,315,248,0,563,563,0,90,15,286,89,1,7,10,0,2,19,8,6,4,1,1,7,5,3,9,563
77,"P.P. JANHI EX. ROOM",379,301,0,680,192,184,0,376,376,0,112,2,58,161,2,3,7,1,1,12,3,1,0,0,2,9,0,0,2,376
78,"P.P. JANHI S.WING",909,742,0,1651,455,422,0,877,876,0,166,18,196,393,7,13,5,0,0,45,7,1,2,3,0,10,8,2,1,877
79,P.P.KUDILA,628,512,1,1141,388,287,0,675,200,0,117,23,267,185,4,2,1,1,0,16,5,9,1,8,5,24,2,1,4,675
80,"P.P. JHOTANA N .WING",554,449,0,1003,247,201,0,448,48,0,37,27,255,101,0,2,1,0,0,11,0,5,1,0,0,2,3,1,2,448
81,"P.P. JHOTANA S. WING",680,576,0,1256,341,313,0,654,654,0,315,14,161,50,0,7,3,0,1,95,1,2,1,0,0,2,1,1,0,654
82,"P.P. HATHIYARAM",827,696,2,1525,455,434,0,889,289,0,288,14,143,362,6,11,1,1,2,16,3,2,3,6,6,9,12,2,2,889
83,"P.P. BUDHANPUR",627,549,0,1176,283,280,0,563,363,0,113,13,297,80,4,12,0,0,0,27,0,2,1,4,0,4,1,4,1,563
84,"SRIMATU L.M.V. GAJADHARPUR",320,280,0,600,181,154,0,335,333,0,6,2,36,278,1,3,1,0,0,3,0,2,0,0,1,0,0,1,1,335
85,"P.P. PAKHANPUR",479,427,0,906,260,285,0,545,543,0,132,2,121,259,5,6,0,1,0,9,1,2,0,2,1,2,1,0,1,545
86,"P.P. GHATARO",766,626,0,1392,361,400,0,761,761,0,357,6,171,165,3,16,1,0,5,14,6,1,3,0,1,0,8,0,4,761
87,"RAMDULARI SHIKSHA SANSTHAN J.H. SCHOOL. PARASPUR",594,510,0,1104,312,279,0,591,591,0,42,24,371,29,1,9,1,0,1,96,1,0,2,2,1,2,1,2,6,591
88,"RAMDULARI SHIKSHA SANSTHAN J.H. SCHOOL. PARASPUR",798,695,0,1493,375,403,0,778,553,0,471,21,220,29,2,0,1,3,0,0,3,0,0,2,2,13,10,1,0,778
89,"SRI MAHANTH RAMBARAN DAS H.S. BHUDKURA",868,732,0,1600,396,454,0,850,725,0,484,23,181,36,2,7,0,2,3,76,4,2,4,5,0,9,7,3,2,850
90,"SRI MAHANTH RAMBARAN DAS H.S. BHUDKURA N.WING",801,761,0,1562,456,441,0,897,725,0,35,46,318,376,4,5,1,1,1,63,5,9,8,5,5,10,2,1,2,897
91,"SRI MAHANTH RAMBARAN DAS H.S. BHUDKURA",362,275,0,637,190,178,0,368,179,0,25,2,157,77,1,14,1,0,1,76,3,3,1,3,0,0,1,0,3,368
92,P.P.GODAHARA,374,314,0,688,222,250,0,472,372,0,260,4,141,32,2,4,1,0,0,13,0,1,0,4,1,3,4,1,1,472
93,P.P.RAMBAN,713,599,0,1312,352,369,0,721,31,0,61,5,170,396,4,10,1,1,1,38,3,5,2,1,3,14,1,2,3,721
94,"P.P. CHAKFATIMA U. BAIRAKH",753,666,0,1419,327,344,0,671,3,0,208,8,255,146,5,5,7,1,2,5,4,9,2,2,0,6,2,1,3,671
95,"P.P. HUSANPUR",836,714,0,1550,342,371,0,713,713,0,312,22,272,70,1,3,0,0,0,27,0,0,1,1,0,2,1,0,1,713
96,"J.H.SCHOOL BARODIH MUBARKPUR",719,623,0,1342,320,347,0,667,667,0,274,21,239,100,3,2,0,2,1,0,0,0,2,0,1,12,8,0,2,667
97,"P.P. JAIHARPUR",443,369,0,812,222,245,0,467,50,0,207,10,194,38,0,0,0,0,0,1,1,1,0,0,1,4,2,1,7,467
98,"P.P. SADARJAHAPUR N.W.WING",786,682,0,1468,372,381,0,753,753,0,145,22,323,207,5,4,0,0,2,18,5,4,1,1,2,9,0,5,0,753
99,"P.P. SADARJAHAPUR S.WING",313,277,0,590,179,175,0,354,160,0,198,2,18,130,1,1,0,0,0,0,0,0,0,0,0,0,1,2,1,354
100,"P.P. SAHABPUR",602,556,0,1158,333,380,0,713,600,0,377,16,123,160,3,8,1,0,0,1,0,2,2,2,0,3,9,1,5,713
101,"P.P. LULAPUR",634,488,0,1122,258,289,0,547,322,0,108,8,234,124,1,7,0,0,2,44,1,0,3,4,1,1,6,2,1,547
102,"P.P.EMABANSHI R.N.1",548,440,0,988,286,234,0,520,425,0,27,22,195,234,1,9,0,0,0,18,2,5,1,0,0,2,0,1,3,520
103,"P.P.EMABANSHI R.N.2",543,466,0,1009,276,294,0,570,566,0,228,14,166,118,1,5,0,1,2,11,4,1,1,8,3,4,1,1,1,570
104,"P.P. JALALPUR DHANI",675,567,0,1242,353,323,0,676,323,0,232,14,194,218,1,1,0,1,0,0,0,7,1,1,0,3,2,0,1,676
105,"P.P. RAGHUNATHPUR BHADEWAR",617,528,0,1145,305,287,0,592,592,0,277,9,136,157,1,0,0,0,0,4,2,1,2,0,1,0,1,0,1,592
106,"P.P. SAUNA",825,652,0,1477,389,359,0,748,684,238,238,21,305,137,2,3,1,2,0,6,8,7,0,2,3,6,2,1,4,748
107,"P.P. MANJHANPUR N. WING",496,443,0,939,235,215,0,450,398,0,85,16,263,48,3,6,0,0,1,3,1,3,0,0,3,12,3,0,3,450
108,"P.P. MANJHANPUR S. WING",608,521,0,1129,263,236,0,499,499,0,150,11,164,136,0,1,5,0,0,3,0,14,0,0,3,6,2,1,3,499
109,"P.P. REWARIYA E.WING",819,723,0,1542,463,448,0,911,692,0,375,15,233,237,3,9,2,0,2,10,2,2,1,1,1,8,0,0,10,911
110,"P.P. REWARIYA W.WING",390,346,0,736,201,190,0,391,331,0,19,6,52,300,1,0,0,0,0,0,1,0,0,1,0,4,2,0,5,391
111,"P.P. CHAUJAKHAS",320,250,0,570,127,142,0,269,116,0,153,2,105,0,0,0,0,1,0,0,0,1,0,0,0,1,2,1,3,269
112,"PANCHAYAT BHAWAN DHIRJOT",351,312,0,663,192,180,0,372,372,0,80,6,139,99,1,3,0,1,0,14,1,7,1,1,1,4,3,3,8,372
113,"MAHANTH RAMASRAY DAS U.M.V. TIRACHHI N.WING",712,600,0,1312,346,343,0,689,226,0,45,15,509,46,1,6,3,2,1,31,5,2,3,2,2,8,3,1,4,689
114,"MAHANTH RAMASRAY DAS U.M.V. TIRACHHI S.WING",469,420,0,889,281,167,0,448,405,0,179,4,49,171,3,1,15,1,1,5,4,0,0,2,1,9,2,0,1,448
115,"P.P. MIRA REHATI",408,341,0,749,236,200,0,436,400,0,54,12,94,257,1,1,0,0,0,1,3,0,0,3,0,9,0,0,1,436
116,"P.M.V. MIRA REHATI",691,596,0,1287,326,342,0,668,210,0,124,13,311,146,8,6,0,1,1,14,6,8,4,3,3,5,5,1,9,668
117,"P.P. SHIVPUR",547,474,0,1021,276,304,0,580,210,0,218,26,147,128,4,3,2,0,5,3,4,1,2,6,3,21,1,3,3,580
118,"P.P. LEDIHA",526,442,0,968,297,273,0,570,159,0,143,19,200,154,0,0,1,1,2,15,3,7,2,1,0,5,4,1,12,570
119,"BABA BELADIH INTER COLLEGE KATAULI",413,363,0,776,206,251,0,457,1,0,97,10,232,97,6,0,0,0,0,0,1,3,2,1,2,3,2,0,1,457
120,"P.P. PARASAULI W.WING",637,550,0,1187,357,350,0,707,688,0,311,9,218,117,0,0,9,1,1,14,3,1,2,3,2,8,8,0,0,707
121,P.P.DAMODARPUR,519,447,0,966,278,254,0,532,500,0,172,5,53,284,5,1,0,1,0,0,0,0,0,0,1,6,1,3,0,532
122,"P.P. DULLAHAPUR SHANKAR SINGH",675,562,0,1237,433,386,0,819,4,0,108,31,561,67,1,1,2,0,2,15,3,5,1,5,1,8,1,1,6,819
123,"P.P. DULLAHAPUR SHANKAR SINGH W.WING",453,352,0,805,283,204,0,487,129,0,10,15,361,71,0,1,1,1,0,20,1,0,0,0,0,2,0,0,4,487
124,"J.H.SCHOOL DEVA R.N.-1",291,243,0,534,155,150,0,305,149,0,51,8,190,32,2,2,0,0,0,16,0,0,0,0,0,2,0,0,2,305
125,"J.H.SCHOOL DEVA R.N.-2",737,587,0,1324,376,281,0,657,227,0,75,21,390,120,2,2,1,1,1,20,1,2,1,0,1,2,5,1,11,657
126,"J.H.SCHOOL DEVA R.N.-3",345,287,0,632,180,174,0,354,252,0,36,16,239,22,0,2,0,0,0,26,1,6,0,0,2,1,1,0,2,354
127,"J.H.SCHOOL JASAULEE",437,365,0,802,235,225,0,460,253,0,191,13,105,139,0,2,3,0,1,0,1,0,0,1,1,0,3,0,0,460
128,"P.P. TANAWA TAPPA JALALABAD",778,686,0,1464,417,459,0,876,100,0,287,17,292,130,5,18,1,0,1,90,6,1,0,2,2,2,7,8,7,876
129,"SWAMI SAHAJANAND J.H. SCHOOL JALALABAD S.WING",781,639,0,1420,412,360,0,772,624,0,96,18,284,141,3,12,0,3,3,179,8,2,5,3,2,11,1,0,1,772
130,"SWAMI SAHAJANAND J.H. SCHOOL JALALABAD N.WING",794,598,0,1392,471,379,0,850,700,0,49,15,478,157,2,5,4,1,1,84,10,6,4,6,3,13,3,2,7,850
131,"P.P.JALALABAD  E.WING",903,732,0,1635,475,486,0,961,647,0,558,12,245,97,1,0,2,1,1,4,6,2,1,4,3,19,3,0,2,961
132,"P.P.JALALABAD W.WING",923,740,0,1663,443,459,0,902,100,0,55,11,700,96,5,2,2,2,2,6,4,1,3,3,1,3,1,0,5,902
133,"P.P.KHOJAWA JALALABAD",867,676,0,1543,431,453,0,884,884,0,354,13,288,159,5,5,2,2,0,22,4,2,0,1,7,11,5,2,2,884
134,"P.P.KHOJAWA JALALABAD S,WING",842,673,0,1515,437,425,0,862,200,0,170,39,332,57,7,12,8,2,0,69,6,2,1,1,29,112,6,3,6,862
135,"J.H.SCHOOL E.WING",541,448,0,989,240,212,0,452,200,0,53,0,157,131,2,7,3,1,1,70,4,4,1,3,3,5,1,1,5,452
136,"J.H.SCHOOL SULTANPUR M.WING",527,433,0,960,297,253,0,550,300,0,211,17,72,208,4,2,2,2,0,3,2,2,1,2,2,10,6,0,4,550
137,"J.H.SCHOOL SULTANPUR W.WING",894,684,0,1578,408,342,0,750,450,0,55,4,151,497,7,1,0,2,2,6,5,3,0,2,1,6,1,2,5,750
138,P.P.CHURAMANAPUR,868,715,0,1583,508,457,0,965,500,0,188,18,386,252,5,5,3,1,3,23,1,4,3,3,8,22,12,5,23,965
139,"JAY SATGUROODEV JANTA V. DULLAHAPUR S.WING",265,202,0,467,156,122,0,278,200,0,7,1,95,29,0,13,2,1,0,118,0,2,1,3,0,3,2,0,1,278
140,"P.P. AMARI",319,274,0,593,177,189,0,366,200,0,236,5,44,65,1,0,0,0,0,4,1,0,0,0,0,3,5,0,2,366
141,"P.P. MATUKAPUR",553,509,0,1062,364,289,0,653,14,0,414,6,64,149,2,1,1,1,0,0,0,0,0,4,1,2,4,2,2,653
142,"U.M.V.BAIRAKH RANI U. JHOTARI",806,686,0,1492,516,430,0,946,102,0,130,11,265,497,4,2,1,2,0,26,1,1,1,0,0,2,0,1,2,946
143,"P.P. GODASAIYA",650,548,0,1198,370,330,0,700,55,0,233,49,83,275,3,2,1,1,1,10,7,1,1,6,5,9,4,2,7,700
144,"P.P. SARAY DHANESH E.WING",655,579,0,1234,390,380,0,770,55,0,390,9,281,47,0,0,1,0,1,4,3,3,0,3,0,11,13,1,3,770
145,"P.P.DHAMUPUR E.WING",788,639,0,1427,451,399,0,850,850,0,402,7,137,257,6,1,0,0,3,18,0,4,1,0,0,4,7,1,2,850
146,"P.P.DHAMUPUR W.WING",806,651,0,1457,460,293,0,753,725,0,192,12,226,205,2,9,2,2,1,68,4,6,1,1,3,9,4,1,5,753
147,"P.M.MO.MA.I.CO.SIKHARI N.WING",686,550,0,1236,344,326,0,670,662,0,43,5,150,396,3,2,2,0,0,25,0,4,3,0,2,8,6,4,17,670
148,"P.M.MO.MA.I.CO.SIKHARI S.WING",525,424,0,949,251,300,0,551,62,0,36,11,165,278,1,4,0,0,0,37,0,5,2,2,0,3,2,0,5,551
149,"P.P.SIKHARI E.WING",590,484,0,1074,283,328,0,611,111,0,320,12,153,83,2,0,1,1,1,1,4,5,3,0,0,12,8,3,2,611
150,"P.P.SIKHARI W.WING",588,467,0,1055,282,245,0,527,380,0,19,9,322,149,0,0,0,0,1,2,3,8,1,1,1,8,1,1,1,527
151,"J.H.SCHOOL SIKHARI E.WING",309,264,0,573,179,175,0,354,346,0,71,1,87,181,3,0,1,0,0,4,1,0,0,1,1,1,0,1,1,354
152,"P.P. BAKHARA 2ND",478,424,0,902,286,281,0,567,8,0,178,9,169,173,1,4,1,0,0,0,1,4,1,2,4,7,2,1,10,567
153,"J.H.SCHOOL SIKHARI W.WING",775,608,0,1383,405,387,0,792,126,0,236,10,176,291,7,1,3,0,8,5,3,14,3,7,2,20,2,1,3,792
154,"KRAMOTTAR V. PADUMAPUR RAMARAI J.H. W.WING",712,592,0,1304,325,290,0,615,55,0,59,30,219,114,3,10,1,3,4,154,0,1,0,5,3,3,1,1,4,615
155,"KRAMOTTAR V. PADUMAPUR RAMARAI J.H. E.WING",560,448,0,1008,259,266,0,525,424,0,174,4,51,125,1,8,1,0,3,140,1,4,0,2,2,7,1,0,1,525
156,"KRAMOTTAR V. PADUMAPUR RAMARAI J.H. M.WING",346,283,0,629,206,166,0,372,372,0,50,5,120,145,4,3,2,0,1,9,2,3,2,1,2,9,4,4,6,372
157,"P.P. NASARATPUR DHIRAJI",554,461,0,1015,380,200,0,580,102,0,279,7,101,125,2,3,5,2,1,35,1,3,0,0,1,4,7,0,4,580
158,"J.H.SCHOOL PADUMAPUR MAIGAR RAI",713,612,0,1325,364,333,0,697,692,0,235,25,274,56,1,12,1,1,4,58,4,5,2,3,0,6,4,2,4,697
159,"P.P. ALIPUR MADARA E.WING",853,678,0,1531,377,348,0,725,598,0,146,25,160,299,4,19,0,0,2,35,6,2,4,1,3,9,3,3,4,725
160,"P.P. ALIPUR MADAR W.WING",756,689,0,1445,430,415,0,845,112,0,98,15,413,198,3,1,0,0,2,87,2,4,1,2,4,11,2,0,2,845
161,"D.C.F.GODAM ALIPUR MADAR",743,634,0,1377,425,432,0,857,652,0,366,39,155,33,5,16,4,2,5,199,6,4,4,2,3,9,2,0,3,857
