"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KAISER JAHAN","2 - BHARAT TRIPATHI","3 - RAJESH VERMA","4 - VAISHALI ALI","5 - ERAJ BEG","6 - CHAUDHARY LAL BAGHEL","7 - JAGDISH NARAYAN SHUKLA","8 - JAGMOHAN SINGH VERMA","9 - R. K. MISRA","10 - RAM AVTAR NISHAD","11 - SHEFALI MISRA","12 - SANT KUMAR","13 - SANJAY TIWARI","14 - TURAB ALI","15 - PUSHPA DEVI","16 - SUCHITA KUMAR","17 - None of the Above","Total Votes Secured"
93,"P.S.BARAULI H/O REUSA R.N2",406,351,0,757,321,248,0,569,167,0,123,128,295,2,1,0,7,3,2,0,0,0,4,0,3,0,1,569
94,"TRIBHUWANDATT H.S.S. REUSA R.N.2",510,457,0,967,406,292,0,698,698,0,166,61,411,12,3,2,12,1,1,1,3,1,0,4,4,11,5,698
95,"TRIBHUWANDATT  H.S.S REUSA R.N.3",687,567,1,1255,450,342,1,793,793,0,358,36,348,13,2,2,6,1,1,1,1,0,0,5,6,10,3,793
96,"TRIBHUWANDATT H.S.S REUSA R.N.4",572,489,0,1061,392,294,0,686,686,0,153,49,432,16,1,0,9,0,2,3,0,0,1,5,0,11,4,686
97,"TRIBHUWANDATT H.S.S REUSA R.N.5",845,668,0,1513,543,430,0,973,960,0,435,68,401,13,0,1,6,5,6,4,4,1,6,5,4,9,5,973
98,"P.S. AMLOR",489,459,0,948,371,309,0,680,679,0,184,85,384,2,0,1,3,4,2,1,1,1,0,2,3,2,5,680
99,"P.S. BAMBHANAWA R.N.1",878,735,0,1613,563,495,0,1058,1058,0,458,250,291,5,2,1,10,6,4,0,1,0,0,3,0,2,25,1058
100,"P.S. BAMBHANAWA R.N.2",634,481,0,1115,473,258,0,731,729,0,141,158,378,17,4,1,6,1,1,1,0,2,1,8,5,7,0,731
101,"P.S. BAMBHANAWA R.N.3",389,357,0,746,260,207,0,467,466,0,214,94,129,8,1,0,6,1,1,0,1,0,1,1,0,4,6,467
102,"P.S. KARSA R.N.1",701,609,0,1310,428,398,0,826,826,0,605,19,156,2,1,1,3,6,1,0,1,1,1,5,3,2,19,826
103,"P.S. KARSA R.N.2",624,501,0,1125,407,276,0,683,663,0,307,14,328,3,0,1,5,1,0,2,3,0,2,5,2,6,4,683
104,"P.S. KARSA R.N.3",351,273,0,624,235,132,0,367,367,0,200,11,131,3,1,0,6,0,1,0,0,1,0,2,2,8,1,367
105,"P.S. GURGUJPUR",735,643,0,1378,487,507,0,994,994,0,382,258,292,38,0,1,7,2,0,2,1,0,0,4,1,2,4,994
106,"P.S. JAGDEESHPUR",236,188,0,424,208,112,0,320,318,0,8,1,4,2,2,0,2,1,0,15,2,3,14,168,23,59,16,320
107,"SADHAN SAHKARI SAMITI SUKHETHA",446,379,0,825,363,280,0,643,643,0,164,104,351,5,2,3,3,1,0,1,0,0,1,4,2,2,0,643
108,"P.S. BHARTHA R.N.1",643,599,0,1242,505,386,0,891,891,0,237,107,430,17,2,2,19,5,5,2,0,3,5,8,11,29,9,891
109,"P.S. BHARTHA R.N.2",239,225,0,464,189,165,0,354,354,0,38,25,254,2,0,0,6,1,0,1,0,3,2,2,4,5,11,354
110,"J.H.S. RAJAPUR KALAN R.N.1",673,506,0,1179,487,348,0,835,835,0,309,50,381,14,1,3,21,1,3,20,0,1,0,7,8,11,5,835
111,"J.H.S. RAJAPUR KALAN R.N.2",626,517,0,1143,512,248,0,760,602,0,287,45,334,15,0,4,11,5,2,8,2,2,4,16,1,16,8,760
112,"P.S. SHIVPURI",678,624,0,1302,476,369,0,845,773,0,429,117,209,15,1,1,11,0,3,3,2,2,5,12,6,17,12,845
113,"P.S. MAHESHPUR",512,425,0,937,407,312,0,719,616,0,20,30,566,15,3,2,26,9,2,0,3,2,3,12,1,17,8,719
114,"P.S LALPUR R.N.1",691,547,0,1238,465,371,0,836,835,0,212,18,536,17,2,3,9,7,0,6,1,2,3,3,2,2,13,836
115,"P.S LALPUR R.N.2",314,266,0,580,217,158,0,375,375,0,267,10,80,1,0,0,1,0,0,0,0,1,1,0,1,5,8,375
116,"P.S NASEERPUR KODAR STHIT HUSANPURKHANI",659,581,0,1240,345,308,0,653,353,0,79,31,420,22,4,4,15,5,1,26,3,3,4,13,5,12,6,653
117,"P.S. CHAHLARI",462,375,0,837,293,278,0,571,571,0,325,6,182,9,0,0,2,1,1,3,0,2,0,4,2,8,26,571
118,"P.S. FAUJDAPUR H/O GOLOK KONDAR",617,520,0,1137,503,296,0,799,795,0,248,284,129,23,1,1,10,7,6,9,2,5,7,8,11,24,24,799
119,"P.S. RAMLALPURWA H/O GOLOK KONDAR",734,602,0,1336,549,360,0,909,906,0,381,230,212,18,7,3,11,5,1,6,4,0,3,6,1,9,12,909
120,"J.H.S. GAOLOK KONDAR",772,623,0,1395,582,323,0,905,905,0,238,261,291,30,6,1,29,5,4,5,4,3,1,4,2,10,11,905
121,"P.S. TAPRHABABA H/O GOLOK KONDAR",708,580,0,1288,362,179,0,541,540,0,110,84,271,10,4,3,14,7,4,1,0,0,1,9,0,21,2,541
122,"P.S. JAITAHIYA H/O GOLOK KONDAR R.N.1",537,435,0,972,389,256,0,645,645,0,197,174,195,13,5,1,17,1,3,2,3,1,4,6,2,14,7,645
123,"P.S. JAITAHIYA H/O GOLOK KONDAR R.N.2",383,315,0,698,236,167,0,403,403,0,148,31,188,7,2,1,3,0,1,6,0,0,1,1,1,1,12,403
124,"P.S. RAMIPUR GODWA R.N.1",528,464,0,992,450,344,0,794,794,0,339,51,347,5,2,3,12,3,0,2,1,1,2,5,1,11,9,794
125,"P.S. RAMIPUR GODWA R.N.2",505,433,0,938,310,266,0,576,576,0,62,19,415,36,5,1,8,3,0,16,1,0,2,3,2,1,2,576
126,"P.S. BACHWARIYA",325,265,0,590,300,175,0,475,475,0,83,40,303,13,2,3,14,0,1,1,2,2,0,7,0,3,1,475
127,"P.S. RANDAKONDAR R.N.1",641,475,0,1116,482,290,0,772,769,0,179,199,331,10,3,3,17,3,4,6,0,0,2,4,3,3,5,772
128,"P.S. RANDAKONDAR R.N.2",567,444,0,1011,395,266,0,661,661,0,49,109,352,15,6,5,22,7,5,4,3,6,3,13,9,20,33,661
129,"P.S. BAJWARI",427,340,0,767,326,229,0,555,555,0,41,63,345,22,1,1,14,1,2,2,3,3,4,9,2,22,20,555
130,P.S.MUJEHNA,528,402,0,930,368,246,0,614,614,0,184,42,318,17,0,2,14,4,2,4,1,0,2,5,6,4,9,614
131,"J.H.S.GANGAPURVA H/O LADILAPUR",827,697,0,1524,576,449,0,1025,1025,0,396,252,288,10,2,1,16,9,3,2,3,4,4,10,2,16,7,1025
132,"P.S. GANGAPURVA STHIT KAITHORA",312,276,0,588,256,199,0,455,450,0,27,115,281,6,0,4,4,0,2,3,1,1,1,4,2,2,2,455
133,"P.S. EATGAWN",816,726,0,1542,589,471,0,1060,1060,0,394,131,439,19,3,4,15,4,2,1,3,2,5,7,5,19,7,1060
134,"P.S. BELOTA",532,428,0,960,371,286,0,657,594,0,281,29,290,9,1,0,9,4,1,3,1,1,0,3,2,11,12,657
135,"P.S. VANSOHALIYA",340,288,0,628,265,197,0,462,460,0,172,114,127,6,0,1,12,0,1,2,6,1,3,4,2,6,5,462
136,P.S.KAROT,275,257,0,532,216,172,0,388,350,0,126,19,202,18,1,2,6,0,0,1,2,0,1,2,1,2,5,388
137,"P.S. PARSIYA",621,506,0,1127,426,321,0,747,747,0,223,126,309,18,1,1,11,4,0,1,2,1,5,10,4,18,13,747
138,"P.S. BAMBHIYA",747,691,0,1438,546,360,0,906,906,0,117,151,562,22,2,2,8,0,7,2,2,1,4,6,4,9,7,906
139,"P.S. TARSEWRA",462,366,0,828,322,251,0,573,573,0,247,19,286,5,0,1,3,2,0,0,0,0,1,0,0,1,8,573
140,"J.H.S. HALEEMNAGAR H/O TARSEWRA",811,664,0,1475,503,425,0,928,920,0,538,110,223,2,3,0,6,6,2,0,5,2,0,3,2,9,17,928
141,"P.S. BERRA BERAORA",608,481,0,1089,450,318,0,768,740,0,469,40,188,5,2,3,15,2,4,2,3,0,4,4,5,16,6,768
142,"P.S. MEWDHI SELHVA",611,518,0,1129,505,306,0,811,811,0,230,246,263,17,2,1,5,7,0,1,2,3,1,9,4,15,5,811
143,"P.S. SARAIYA CHATAUNA",813,700,0,1513,610,432,0,1042,1042,0,236,69,607,20,3,4,42,7,2,6,4,3,4,10,5,13,7,1042
144,"P.S. GAVARI R.N.1",624,533,0,1157,350,310,0,660,660,0,509,90,27,1,1,1,3,0,0,3,2,1,0,3,1,6,12,660
145,"P.S. GAVARI R.N.2",517,422,0,939,431,244,0,675,675,0,158,180,309,9,2,0,3,2,1,0,0,0,1,2,1,0,7,675
146,"P.S. GAVARI R.N.3",469,383,0,852,360,250,0,610,610,0,263,128,191,6,0,1,10,2,2,0,1,0,0,1,2,0,3,610
147,"P.S. SHUKLANPURWA H/O GAVARI",276,227,0,503,227,173,0,400,393,0,113,13,246,8,2,2,2,1,3,0,0,0,2,2,0,5,1,400
148,"P.S.BHATPURWA H/O SARAYYAN BHATPURWA",682,533,0,1215,447,348,0,795,795,0,483,99,119,4,0,6,8,0,13,2,0,2,2,4,4,10,39,795
149,"P.S. SARAYYAN BHATPURWA STHIT SARAYYAN",484,386,1,871,372,245,0,617,617,0,140,110,321,3,2,2,6,1,2,2,2,2,3,2,5,10,4,617
150,"P.S. SUJATPUR R.N.1",781,610,0,1391,534,390,0,924,924,0,207,23,576,14,6,2,32,4,4,4,4,1,6,12,8,8,13,924
151,"P.S. SUJATPUR R.N.2",906,737,0,1643,686,460,0,1146,1146,0,702,7,357,6,2,2,16,0,1,0,1,2,6,12,5,15,12,1146
152,"P.S. MAGDAPUR H/O GHEWDA II",448,387,0,835,324,245,0,569,564,0,165,89,212,19,2,0,5,3,2,32,3,1,4,4,3,13,12,569
153,"P.S. CHAINPURAWA H/O GHEWDA I",284,232,0,516,233,165,0,398,388,0,65,92,182,10,1,1,14,0,1,15,2,0,3,3,0,3,6,398
154,"P.S. JAGDISHPUR HAJARIA",569,436,0,1005,301,289,0,590,590,0,164,161,178,11,1,2,5,2,5,1,1,3,1,19,3,15,18,590
155,"P.S. KATRA H/O THANGAON",608,510,0,1118,507,376,0,883,883,0,397,47,392,12,1,0,6,1,3,1,2,0,4,2,0,9,6,883
156,"J.H.S. KATRA H/O THANGAON R.N.1",552,477,0,1029,383,319,0,702,693,0,343,56,236,23,1,1,10,0,1,1,1,0,0,6,1,8,14,702
157,"J.H.S. KATRA H/O THANGAON R.N.2",465,359,0,824,321,185,0,506,506,0,300,37,127,6,0,1,4,2,2,1,0,0,1,4,0,10,11,506
158,"P.S. DEWARIYA H/O NASERPUR DEWARIYA",516,420,0,936,436,322,0,758,758,0,194,177,324,11,4,3,7,2,2,4,0,4,2,4,3,13,4,758
159,"P.S. NASERPUR H/O NASERPUR DEWARIYA",339,293,0,632,274,228,0,502,502,0,70,126,262,15,2,1,6,3,2,0,0,4,2,2,3,3,1,502
160,"P.S. THAURA R.N.1",782,631,0,1413,551,472,0,1023,1023,0,388,61,502,15,4,1,12,1,0,1,1,0,1,10,5,8,13,1023
161,"P.S. THAURA R.N.2",732,585,0,1317,465,403,0,868,868,0,131,123,494,31,6,6,20,5,3,0,0,2,8,8,5,16,10,868
162,"J.H.S. THAURA R.N.1",471,406,0,877,376,253,0,629,629,0,187,45,324,20,3,3,12,2,2,3,0,1,2,12,3,9,1,629
163,"J.H.S. THAURA R.N.2",387,328,0,715,242,207,0,449,313,0,316,30,80,5,0,0,3,1,0,0,0,0,2,0,0,9,3,449
164,"P.S. RAJPUR H/O RAJPUR KEWTANA",352,278,0,630,274,216,0,490,490,0,116,12,278,13,3,0,20,3,2,3,0,2,6,14,1,15,2,490
165,"P.S. MANGALPURWA H/O RAJPUR KEWTANA",770,625,0,1395,520,442,0,962,961,0,277,59,521,15,6,4,18,1,4,3,3,2,9,6,6,26,2,962
166,"P.S. KEWTANA H/O RAJPUR KEWTANA",398,352,0,750,345,238,0,583,583,0,102,41,382,12,2,1,13,3,1,1,3,1,2,6,2,6,5,583
167,"P.S. SHANKARPUR H/O SHANKARPUR JHISNI",372,303,0,675,314,236,0,550,550,0,80,32,393,6,4,0,4,3,3,2,1,1,0,10,3,4,4,550
168,"P.S. JHISNI H/O SHANKARPUR JHISNI",413,330,0,743,311,229,0,540,527,0,107,85,309,12,0,3,7,0,1,2,0,1,1,2,1,5,4,540
169,"P.S. SEEPATPUR NEW R.N.1",691,524,0,1215,523,269,0,792,788,0,56,339,282,27,1,3,28,3,3,3,1,1,1,8,6,10,20,792
