ST_CODE,PC_CODE,STATE,PC,NO,NAME,PARTY
S01,8,S01-Andhra Pradesh,8-Secundrabad,18,SHAKTHI SATYAVATHI,Pyramid Party of India
S01,8,S01-Andhra Pradesh,8-Secundrabad,19,K. SRINIVASULU,Jai Samaikyandhra Party
S01,8,S01-Andhra Pradesh,8-Secundrabad,20,SYED SAJID ALI,Yuvajana Sramika Rythu Congress Party
S01,8,S01-Andhra Pradesh,8-Secundrabad,21,K.SAI KRISHNA MOHAN RAO,Indian Christian Secular Party
S01,8,S01-Andhra Pradesh,8-Secundrabad,22,SONU SARSAL VALMIKI,Telangana Communist Party of India
S01,8,S01-Andhra Pradesh,8-Secundrabad,23,ANANTH RAO GUNDEPALLY,Independent
S01,8,S01-Andhra Pradesh,8-Secundrabad,24,AVULA RANGANAYAKULU,Independent
S01,8,S01-Andhra Pradesh,8-Secundrabad,25,MICHAEL DANIEL OVELZ,Independent
S01,8,S01-Andhra Pradesh,8-Secundrabad,26,MOHD ABUBAKAR PARWAIZ SIDDIQUI,Independent
S01,8,S01-Andhra Pradesh,8-Secundrabad,27,MOHAMMED RIZWAN HUSSAIN,Independent
S01,8,S01-Andhra Pradesh,8-Secundrabad,28,S. LAKSHMAN RAO,Independent
S01,8,S01-Andhra Pradesh,8-Secundrabad,29,SYED MADANI QUADRI,Independent
S01,8,S01-Andhra Pradesh,8-Secundrabad,30,B.SUBRAMANYAM,Independent
S01,9,S01-Andhra Pradesh,9-Hyderabad,1,S KRISHNA REDDY,Indian National Congress
S01,9,S01-Andhra Pradesh,9-Hyderabad,2,DR.BHAGAVANTH RAO,Bharatiya Janata Party
S01,9,S01-Andhra Pradesh,9-Hyderabad,3,RASHID SHAREEF,Telangana Rashtra Samithi
S01,9,S01-Andhra Pradesh,9-Hyderabad,4,VENU GOPAL.P,Bahujan Samaj Party
S01,9,S01-Andhra Pradesh,9-Hyderabad,5,ASADUDDIN OWAISI,All India Majlis-E-Ittehadul Muslimeen
S01,9,S01-Andhra Pradesh,9-Hyderabad,6,S.KHAJA MOINUDDIN,All India Azaad Congress Party
S01,9,S01-Andhra Pradesh,9-Hyderabad,7,JAYA VINDHYALA,Socialist Party (India)
S01,9,S01-Andhra Pradesh,9-Hyderabad,8,BINGHI RAJASHEKAR,Pyramid Party of India
S01,9,S01-Andhra Pradesh,9-Hyderabad,9,BODDU SAINATH REDDY,Yuvajana Sramika Rythu Congress Party
S01,9,S01-Andhra Pradesh,9-Hyderabad,10,N.MAHENDER SINGH,Nava Bharat National Party
S01,9,S01-Andhra Pradesh,9-Hyderabad,11,LUBNA SARWATH,Aam Aadmi Party
S01,9,S01-Andhra Pradesh,9-Hyderabad,12,SYED MUSTAFA MAHMOOD,Majlis Bachao Tahreek
S01,9,S01-Andhra Pradesh,9-Hyderabad,13,MD OSMAN,Independent
S01,9,S01-Andhra Pradesh,9-Hyderabad,14,SHAIK MOIN,Independent
S01,9,S01-Andhra Pradesh,9-Hyderabad,15,SYED ABDUL GAFFER,Independent
S01,9,S01-Andhra Pradesh,9-Hyderabad,16,M A HABEEB,Independent
S01,10,S01-Andhra Pradesh,10-CHELVELLA,1,KONDA VISHWESHWAR REDDY,Telangana Rashtra Samithi
S01,10,S01-Andhra Pradesh,10-CHELVELLA,2,TULLA VEERENDER,Telugu Desam
S01,10,S01-Andhra Pradesh,10-CHELVELLA,3,PATLOLLA KARTIK REDDY,Indian National Congress
S01,10,S01-Andhra Pradesh,10-CHELVELLA,4,SAMALA RAVINDAR,Bahujan Samaj Party
S01,10,S01-Andhra Pradesh,10-CHELVELLA,5,KUMMARI GIRI,Pyramid Party of India
S01,10,S01-Andhra Pradesh,10-CHELVELLA,6,KONDA RAGHAVA REDDY,Yuvajana Sramika Rythu Congress Party
S01,10,S01-Andhra Pradesh,10-CHELVELLA,7,DR.GOLLA RAMAIAH,Telangana Loksatta Party
S01,10,S01-Andhra Pradesh,10-CHELVELLA,8,CHAN PASHA,Akhil Bharatiya Muslim League (Secular)
S01,10,S01-Andhra Pradesh,10-CHELVELLA,9,MD YUNUS MIYA,Marxist Communist Party of India (United)
S01,10,S01-Andhra Pradesh,10-CHELVELLA,10,REGATTE VENKAT REDDY,Aam Aadmi Party
S01,10,S01-Andhra Pradesh,10-CHELVELLA,11,SYED HASHMATHULLAH QUADRI,Indian Union Muslim League
S01,10,S01-Andhra Pradesh,10-CHELVELLA,12,DR. P. SADHU SATYANADHAN,Indian Christian Secular Party
S01,10,S01-Andhra Pradesh,10-CHELVELLA,13,SUTHARAPU PADMAIAH,Andhra Pradesh Rashtra Samaikya Samithi Party
S01,10,S01-Andhra Pradesh,10-CHELVELLA,14,G.MALLESHAM GOUD,Independent
S01,10,S01-Andhra Pradesh,10-CHELVELLA,15,SANIKE RAM GOPAL YADAV,Independent
S01,11,S01-Andhra Pradesh,11-Mahbubnagar,1,KADIRE KRISHNA,Bahujan Samaj Party
S01,11,S01-Andhra Pradesh,11-Mahbubnagar,2,DR. JANARDHAN REDDY NAGAM,Bharatiya Janata Party
S01,11,S01-Andhra Pradesh,11-Mahbubnagar,3,JAIPAL REDDY SUDINI,Indian National Congress
S01,11,S01-Andhra Pradesh,11-Mahbubnagar,4,AP JITHENDER REDDY,Telangana Rashtra Samithi
S01,11,S01-Andhra Pradesh,11-Mahbubnagar,5,S.R.PREMAIAH,Pyramid Party of India
S01,11,S01-Andhra Pradesh,11-Mahbubnagar,6,H.A. RAHMAN,Yuvajana Sramika Rythu Congress Party
S01,11,S01-Andhra Pradesh,11-Mahbubnagar,7,IBRAHIM SYED,Independent
S01,11,S01-Andhra Pradesh,11-Mahbubnagar,8,DR. CHANDRA SEKHAR. A,Independent
S01,11,S01-Andhra Pradesh,11-Mahbubnagar,9,S. SHIVA SHANKAR,Independent
S01,12,S01-Andhra Pradesh,12-Nagarkurnool,1,YELLAIAH NANDI,Indian National Congress
S01,12,S01-Andhra Pradesh,12-Nagarkurnool,2,BAKKANI NARSIMLU,Telugu Desam
S01,12,S01-Andhra Pradesh,12-Nagarkurnool,3,BAHADHUR SRINIVAS,Bahujan Samaj Party
S01,12,S01-Andhra Pradesh,12-Nagarkurnool,4,DR. MANDA JAGANNATH,Telangana Rashtra Samithi
S01,12,S01-Andhra Pradesh,12-Nagarkurnool,5,MAREDU GOPAL,Yuvajana Sramika Rythu Congress Party
S01,12,S01-Andhra Pradesh,12-Nagarkurnool,6,BUDDULA SRINIVAS,Independent
S01,13,S01-Andhra Pradesh,13-Nalgonda,1,KUNDARAPU RAMESH,Bahujan Samaj Party
S01,13,S01-Andhra Pradesh,13-Nalgonda,2,GUTHA SUKHENDER REDDY,Indian National Congress
S01,13,S01-Andhra Pradesh,13-Nalgonda,3,TERA CHINNAPA REDDY,Telugu Desam
S01,13,S01-Andhra Pradesh,13-Nalgonda,4,NANDYALA NARSIMHA REDDY,Communist Party of India  (Marxist)
S01,13,S01-Andhra Pradesh,13-Nalgonda,5,DR. PALLA RAJESHWAR REDDY,Telangana Rashtra Samithi
S01,13,S01-Andhra Pradesh,13-Nalgonda,6,GUNNAM NAGI REDDY,Yuvajana Sramika Rythu Congress Party
S01,13,S01-Andhra Pradesh,13-Nalgonda,7,TEJAVATH BELLAIAH NAIK,Aam Aadmi Party
S01,13,S01-Andhra Pradesh,13-Nalgonda,8,MANUPURI DAYA SAGAR,Pyramid Party of India
S01,13,S01-Andhra Pradesh,13-Nalgonda,9,MARRI NEHEMIAH,Independent
S01,14,S01-Andhra Pradesh,14-Bhongir,1,ARVAPALLY AMBATI,Bahujan Samaj Party
S01,14,S01-Andhra Pradesh,14-Bhongir,2,N. INDRASENA REDDY,Bharatiya Janata Party
S01,14,S01-Andhra Pradesh,14-Bhongir,3,KOMATIREDDY RAJGOPAL REDDY,Indian National Congress
S01,14,S01-Andhra Pradesh,14-Bhongir,4,CHERUPALLY SEETHARAMULU,Communist Party of India  (Marxist)
S01,14,S01-Andhra Pradesh,14-Bhongir,5,DR. NARSAIAH BOORA,Telangana Rashtra Samithi
S01,14,S01-Andhra Pradesh,14-Bhongir,6,KAPILAVAI DILEEP KUMAR,Rashtriya Lok Dal
S01,14,S01-Andhra Pradesh,14-Bhongir,7,GUDURU JANARDHAN REDDY,Jai Samaikyandhra Party
S01,14,S01-Andhra Pradesh,14-Bhongir,8,GUAHATI MOTILAL,All India Majlis-E-Ittehadul Muslimeen
S01,14,S01-Andhra Pradesh,14-Bhongir,9,NAGULA SRINIVAS YADAV,Mahajana Socialist Party
S01,14,S01-Andhra Pradesh,14-Bhongir,10,BOILLA NARENDER,Republican Party of India
S01,14,S01-Andhra Pradesh,14-Bhongir,11,NAVULLA MALLAREDDY,Independent
S01,14,S01-Andhra Pradesh,14-Bhongir,12,RAVULAPALLY KONDAL RAO,Independent
S01,14,S01-Andhra Pradesh,14-Bhongir,13,VARIKUPPALA KRISHNA,Independent
S01,15,S01-Andhra Pradesh,15-Warangal,1,KADIYAM SRIHARI,Telangana Rashtra Samithi
S01,15,S01-Andhra Pradesh,15-Warangal,2,GANNARAPU SURENDER,Bahujan Samaj Party
S01,15,S01-Andhra Pradesh,15-Warangal,3,PARAMESHWAR RAMAGALLA,Bharatiya Janata Party
S01,15,S01-Andhra Pradesh,15-Warangal,4,RAJAIAH SIRICILLA,Indian National Congress
S01,15,S01-Andhra Pradesh,15-Warangal,5,CHINTHA SWAMY,Aam Aadmi Party
S01,15,S01-Andhra Pradesh,15-Warangal,6,THUPPARI NARASIMHA SWAMY,Pyramid Party of India
S01,15,S01-Andhra Pradesh,15-Warangal,7,VENKANNA KANNAM,Marxist Communist Party of India (United)
S01,15,S01-Andhra Pradesh,15-Warangal,8,VENKANNA NEERUDU,Bahujan Mukti Party
S01,15,S01-Andhra Pradesh,15-Warangal,9,VENU ESAMPELLY,All India Forward Bloc
S01,15,S01-Andhra Pradesh,15-Warangal,10,KANAKAM RAMESH,Independent
S01,15,S01-Andhra Pradesh,15-Warangal,11,CHILUVERU PRATHAP,Independent
S01,15,S01-Andhra Pradesh,15-Warangal,12,JANNU MAHENDAR,Independent
S01,16,S01-Andhra Pradesh,16-Mahabubabad,1,PROF. AZMEERA SEETARAM NAIK,Telangana Rashtra Samithi
S01,16,S01-Andhra Pradesh,16-Mahabubabad,2,P. BALRAM,Indian National Congress
S01,16,S01-Andhra Pradesh,16-Mahabubabad,3,BANOTH MOHANLAL,Telugu Desam
S01,16,S01-Andhra Pradesh,16-Mahabubabad,4,BODA RAASI,Bahujan Samaj Party
S01,16,S01-Andhra Pradesh,16-Mahabubabad,5,KAVITHA RANI LUNAVATH,Pyramid Party of India
S01,16,S01-Andhra Pradesh,16-Mahabubabad,6,GUGULOTU JAGAN,Marxist Communist Party of India (United)
S01,16,S01-Andhra Pradesh,16-Mahabubabad,7,TELLAM VENKATA RAO,Yuvajana Sramika Rythu Congress Party
S01,16,S01-Andhra Pradesh,16-Mahabubabad,8,EESAM SUDHAKAR,Independent
S01,16,S01-Andhra Pradesh,16-Mahabubabad,9,V. GOURI NAGAMANI,Independent
S01,16,S01-Andhra Pradesh,16-Mahabubabad,10,DATLA NAGESHWAR RAO,Independent
S01,16,S01-Andhra Pradesh,16-Mahabubabad,11,PADIGA YARRAIAH,Independent
S01,16,S01-Andhra Pradesh,16-Mahabubabad,12,PAYAM CHANDHAR RAO (CHINNA CHANDHRANNA),Independent
S01,16,S01-Andhra Pradesh,16-Mahabubabad,13,PONAKA SAMMAKKA,Independent
S01,16,S01-Andhra Pradesh,16-Mahabubabad,14,BALUNAYAK BHUKYA,Independent
S01,16,S01-Andhra Pradesh,16-Mahabubabad,15,METLA PAPAIAH,Independent
S01,16,S01-Andhra Pradesh,16-Mahabubabad,16,LAXMAN BUKYA,Independent
S01,16,S01-Andhra Pradesh,16-Mahabubabad,17,LAXMINARAYANA BORRA,Independent
S01,17,S01-Andhra Pradesh,17-Khammam,1,KANKANALA NARAYANA,Communist Party of India
S01,17,S01-Andhra Pradesh,17-Khammam,2,DODDA RAM BABU,Bahujan Samaj Party
S01,17,S01-Andhra Pradesh,17-Khammam,3,NAMA NAGESWARA RAO,Telugu Desam
S01,17,S01-Andhra Pradesh,17-Khammam,4,BUDAN BAIG SHAIK,Telangana Rashtra Samithi
S01,17,S01-Andhra Pradesh,17-Khammam,5,NAGARJUNA CHERUKURU,Jai Samaikyandhra Party
S01,17,S01-Andhra Pradesh,17-Khammam,6,PONGULETI  SRINIVASA REDDY,Yuvajana Sramika Rythu Congress Party
S01,17,S01-Andhra Pradesh,17-Khammam,7,MEDARAMETLA  RAMA RAO,Pyramid Party of India
S01,17,S01-Andhra Pradesh,17-Khammam,8,KANAKAM TIRUMALA RAO,Independent
S01,17,S01-Andhra Pradesh,17-Khammam,9,KALTHI RAMULAMMA,Independent
S01,17,S01-Andhra Pradesh,17-Khammam,10,KALTHI VENKATESWARLU,Independent
S01,17,S01-Andhra Pradesh,17-Khammam,11,KAKI BHASKAR,Independent
S01,17,S01-Andhra Pradesh,17-Khammam,12,GUGULOTHU RANJITH KUMAR,Independent
S01,17,S01-Andhra Pradesh,17-Khammam,13,GUGULOTHU SARVAN,Independent
S01,17,S01-Andhra Pradesh,17-Khammam,14,GOKINEPALLI VENKATESWARA RAO,Independent
S01,17,S01-Andhra Pradesh,17-Khammam,15,JERRIPOTHULA SRINIVAS,Independent
S01,17,S01-Andhra Pradesh,17-Khammam,16,NAGIREDDY RAJI REDDY,Independent
S01,17,S01-Andhra Pradesh,17-Khammam,17,BACHALA LAXMAIAH,Independent
S01,17,S01-Andhra Pradesh,17-Khammam,18,BANOTH KISHAN NAYAK,Independent
S01,17,S01-Andhra Pradesh,17-Khammam,19,BANOTH LAXMA NAIK,Independent
S01,17,S01-Andhra Pradesh,17-Khammam,20,BUSIREDDY SHANKAR REDDY,Independent
S01,17,S01-Andhra Pradesh,17-Khammam,21,MARIKANTI VASUDASU,Independent
S01,17,S01-Andhra Pradesh,17-Khammam,22,MUDIGE NAGESWARA RAO,Independent
S01,17,S01-Andhra Pradesh,17-Khammam,23,MOKALLA RAMESH,Independent
S01,17,S01-Andhra Pradesh,17-Khammam,24,RAMESH KOMMU,Independent
S01,17,S01-Andhra Pradesh,17-Khammam,25,RAMU KANDULA,Independent
